PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,CON,CN,GR,RF,TT,CI,DEP,CIN,SI,LID,PS,FPS,RIN,EIN,CRF,MID
11472608,NLM,MEDLINE,20011101,20191105,1397-3142 (Print) 1397-3142 (Linking),5,4,2001 Aug,Polyclonal anti-T-cell globulin as part of the preparative regimen for pediatric allogeneic stem-cell transplantation.,285-92,"To prevent graft rejection and graft-versus-host disease (GvHD) after allogeneic stem-cell transplantation (ASCT), 56 children were given polyclonal anti-T-cell globulin (ATG) as part of the conditioning regimen. Of the 56 children in the cohort, 27 had a non-malignant disease and 29 had different hematological malignancies. Eight were in first remission of leukemia and the remainder in later stages. Donors were in 16 cases a human leucocyte antigen (HLA)-identical sibling and in 40 a matched unrelated donor (MUD). The control group comprised 16 patients with an HLA-identical donor; the children in this group were not treated with ATG. Side-effects related to the ATG treatment occurred in 63% of the patients and included fever, chills, headache, dyspnoea, nausea/vomiting, body pain, fall in blood pressure, and transient respiratory arrest. Engraftment occurred in 55 (98%) of the ATG-treated patients at a median of 17 (11-27) days after ASCT. One rejection occurred at 23 days post-SCT. The probabilities of acute graft-versus-host disease (GvHD) of grades II-IV were 6% for patients with an HLA-identical donor, 12% for controls, and 26% for the MUD group. Chronic GvHD occured in 20%, 50%, and 50% of patients in the three groups, respectively. Transplant-related mortality rates at 100 days were 6%, 6%, and 7%, respectively. The 5-yr survival rate was 94% and 81% using sibling donors, with and without ATG respectively, and 53% using unrelated donors (p = 0.002). Disregarding donor type, among the ATG-treated patients 5-yr survival rates were 46% in patients with a malignant disease and 77% in non-malignant disorders. Relapse and relapse-free survival rates were 42% and 46%, respectively. Five out of 12 patients who showed an early full donor chimerism in the T-cell lineage developed acute GvHD of grades II-IV, compared to none out of 13 patients being mixed chimeras (p = 0.01). Hence, the use of polyclonal ATG as part of conditioning prior to ASCT in children is safe and the survival rate encouraging.","['Remberger, M', 'Mattsson, J', 'Ringden, O']","['Remberger M', 'Mattsson J', 'Ringden O']","['Center for allogeneic stem-cell transplantation, Department of Clinical Immunology, F79 Karolinska Institutet, Huddinge University Hospital, Huddinge, SE-141 86 Stockholm, Sweden. Mats.Remberger@impi.ki.se']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Denmark,Pediatr Transplant,Pediatric transplantation,9802574,"['0 (Antilymphocyte Serum)', '0 (Immunosuppressive Agents)']",IM,"['Adolescent', 'Antilymphocyte Serum/*therapeutic use', 'Case-Control Studies', 'Chi-Square Distribution', 'Child', 'Child, Preschool', 'Female', 'Graft Rejection/immunology/*prevention & control', 'Graft vs Host Disease/immunology/*prevention & control', '*Hematopoietic Stem Cell Transplantation/mortality', 'Histocompatibility Testing', 'Humans', 'Immunosuppressive Agents/*therapeutic use', 'Infant', 'Male', 'Risk Factors', 'Statistics, Nonparametric', 'Survival Rate', 'Transplantation Conditioning/methods', 'Transplantation, Homologous/immunology', 'Treatment Outcome']",2001/07/27 10:00,2001/11/03 10:01,['2001/07/27 10:00'],"['2001/07/27 10:00 [pubmed]', '2001/11/03 10:01 [medline]', '2001/07/27 10:00 [entrez]']","['ptr006 [pii]', '10.1034/j.1399-3046.2001.005004285.x [doi]']",ppublish,Pediatr Transplant. 2001 Aug;5(4):285-92. doi: 10.1034/j.1399-3046.2001.005004285.x.,,,,,,,,,,,,,,,,,
11472578,NLM,MEDLINE,20011004,20191105,1328-8067 (Print) 1328-8067 (Linking),43,4,2001 Aug,Serum levels and differential expression of CD44 in childhood leukemia and malignant lymphoma: correlation with prognostic criteria and survival.,354-60,"BACKGROUND: The CD44, a cell surface proteoglycan, participates in a variety of function including tumor dissemination and metastasis. However, there are no available data on the prognostic significance of CD44 expression of tumor tissue correlated with serum sCD44 level in childhood leukemias and lymphomas. METHODS: Serum levels and leukemic cell tumor tissue expression of CD44 were detected in 54 children with acute leukemia and malignant lymphoma. Serum samples were obtained from all patients before treatment and during remission. Twelve age-matched healthy children were included as a control group. RESULTS: The serum CD44 levels were significantly higher in patients with Hodgkin's disease (HD), non-Hodgkin's lymphoma (NHL), Burkitt's lymphoma (BL) and acute lymphoblastic leukemia (ALL) than those in the control group. The median values were 1627.0, 1336.0, 1318.5, 1730.4, 902.7 ng/mL, respectively, and P<0.001, P<0.01, P<0.01, P<0.05 in comparisons, respectively. However, there was no significant difference between acute myeloid leukemia (AML) and the control group (median values: 900.3 and 902.7 ng/mL, respectively, P>0.05). Serum sCD44 levels significantly declined in HD, NHL and ALL patients who were in complete remission (median values: 684.0, 573.8 and 1101.1 ng/mL, respectively, P<0.05 in each comparison). Patients with HD had higher levels of serum sCD44 and correlated well with higher erythrocyte sedimentation rate (ESR), B-symptoms and advanced-stage disease (P<0.05, P<0.05 and P<0.01, respectively). Expression of CD44 was significantly high in patients with HD and NHL who were in advanced stages of disease. High serum CD44 level was also associated with high tumor tissue expression of CD44 in patients with HD and BL. In addition, patients with higher levels of serum sCD44, had a poorer outcome and survival than those with lower sCD44 levels in HD and NHL groups. CONCLUSIONS: A high serum sCD44 level and/or tumor tissue expression at diagnosis is associated with poor prognostic criteria and/or unfavorable outcome in childhood leukemias and lymphomas.","['Tacyildiz, N', 'Cavdar, A O', 'Yavuz, G', 'Gozdasoglu, S', 'Unal, E', 'Ertem, U', 'Duru, F', 'Ikinciogullari, A', 'Babacan, E', 'Kuzu, I', 'Cin, S']","['Tacyildiz N', 'Cavdar AO', 'Yavuz G', 'Gozdasoglu S', 'Unal E', 'Ertem U', 'Duru F', 'Ikinciogullari A', 'Babacan E', 'Kuzu I', 'Cin S']","['Department of Pediatric Oncology, Ankara University Medical School, Turkey. nurdan@hitit.ato.org.tr']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Australia,Pediatr Int,Pediatrics international : official journal of the Japan Pediatric Society,100886002,['0 (Hyaluronan Receptors)'],IM,"['Adolescent', 'Burkitt Lymphoma/blood/*metabolism/mortality', 'Child', 'Child, Preschool', 'Female', 'Hodgkin Disease/blood/*metabolism/mortality', 'Humans', 'Hyaluronan Receptors/blood/*metabolism', 'Infant', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood/*metabolism/mortality', 'Prognosis']",2001/07/27 10:00,2001/10/05 10:01,['2001/07/27 10:00'],"['2001/07/27 10:00 [pubmed]', '2001/10/05 10:01 [medline]', '2001/07/27 10:00 [entrez]']","['ped1415 [pii]', '10.1046/j.1442-200x.2001.01415.x [doi]']",ppublish,Pediatr Int. 2001 Aug;43(4):354-60. doi: 10.1046/j.1442-200x.2001.01415.x.,,,,,,,,,,,,,,,,,
11472428,NLM,MEDLINE,20010906,20190513,0009-9104 (Print) 0009-9104 (Linking),125,1,2001 Jul,Somatostatin receptor (SSTR) expression and function in normal and leukaemic T-cells. Evidence for selective effects on adhesion to extracellular matrix components via SSTR2 and/or 3.,71-9,"We have examined normal T-cells and T-cell lines with respect to expression of various somatostatin receptor subtypes (SSTR1--5) using RT-PCR and PCR. To evaluate the function of these receptors we have further studied the effects of subtype specific signalling on T-cell adhesion using somatostatin analogs specific for various receptors as probes. Human T-lymphocytes showed SSTR expression related to activation and stage of differentiation. Normal T-cells (peripheral blood, T-cell clone) and T-leukaemia cell lines expressed SSTR2, SSTR3 and SSTR4. Normal T-cells expressed SSTR1 and SSTR5 while T-leukaemia lines did not. SSTR5 was selectively expressed in activated normal T-cells. T-lymphocytes produced no somatostatin themselves. Somatostatin and somatostatin analogs specific for SSTR2 and/or SSTR3 enhanced adhesion of T-cells to fibronectin (FN), and to a certain extent, also to collagen type IV (CIV) and laminin (LAM). T-lymphocytes express multiple SSTR and somatostatin may therefore regulate lymphocyte functions via distinct receptor subtypes as shown here for adhesion to extracellular matrix components (ECM) via SSTR2 and SSTR3. SSTR expression also distinguishes normal and leukaemic T-cells. Our findings suggest that SSTR subtypes may be useful targets for therapy during inflammatory diseases and malignancies affecting lymphocytes.","['Talme, T', 'Ivanoff, J', 'Hagglund, M', 'Van Neerven, R J', 'Ivanoff, A', 'Sundqvist, K G']","['Talme T', 'Ivanoff J', 'Hagglund M', 'Van Neerven RJ', 'Ivanoff A', 'Sundqvist KG']","['Department of Medicine, Section of Dermatology and Venereology, Karolinska Institutet at Huddinge University Hospital, Huddinge, Sweden.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Clin Exp Immunol,Clinical and experimental immunology,0057202,"['0 (Fibronectins)', '0 (Laminin)', '0 (Membrane Proteins)', '0 (RNA, Messenger)', '0 (Receptors, Somatostatin)', '0 (somatostatin receptor 3)', '0 (somatostatin receptor subtype-4)', '0 (somatostatin receptor type 1)', '8X85ZJG6XJ (somatostatin receptor 5)', '9007-34-5 (Collagen)', 'D73QL0OMU2 (somatostatin receptor 2)']",IM,"['Amino Acid Sequence', 'Cell Adhesion', 'Cell Line', 'Collagen/*metabolism', 'Fibronectins/*metabolism', 'Gene Expression', 'Humans', 'Laminin/*metabolism', 'Membrane Proteins', 'Molecular Sequence Data', 'RNA, Messenger', 'Receptors, Somatostatin/genetics/*metabolism', 'T-Lymphocytes/*metabolism/physiology', 'Tumor Cells, Cultured']",2001/07/27 10:00,2001/09/08 10:01,['2001/07/27 10:00'],"['2001/07/27 10:00 [pubmed]', '2001/09/08 10:01 [medline]', '2001/07/27 10:00 [entrez]']","['cei1577 [pii]', '10.1046/j.1365-2249.2001.01577.x [doi]']",ppublish,Clin Exp Immunol. 2001 Jul;125(1):71-9. doi: 10.1046/j.1365-2249.2001.01577.x.,PMC1906108,,,,,,,,,,,,,,,,
11472395,NLM,MEDLINE,20010830,20190513,0009-9104 (Print) 0009-9104 (Linking),124,3,2001 Jun,Enhancement of cALL immunogenicity by co-culture with a CD154 expressing 293 cell line.,359-68,"Pre-B cell acute lymphoblastic leukaemia (cALL) commonly occurs in young patients and although successful conventional therapies are available (such as cytotoxic drugs and bone marrow transplantation) for a proportion of patients (approximately 30%) these are ultimately unsuccessful. Recurrence of disease is a result of the failure of the immune system to recognize these abnormal cells and down-regulation of crucial molecules required for cognate CD4(+) T cell recognition has been postulated as a means of immune escape. In this study we show that an embryonic kidney cell line (293 cells) transfected with CD154 (40 L.1) are capable of not only maintaining the viability of primary ALL cells in culture but can also up-regulate the expression of a number of crucial molecules involved in antigen recognition. We show that 40 L.1 cell stimulation of primary ALL cell cultures can not only enhance the allogeneic and autologous MLR response to such cells but will also induce CTL effectors which are capable of lysing wild-type autologous ALL cells. It is therefore conceivable that such an approach could be used to generate an active anti-tumour response in patients, following conventional therapy, reducing the incidence of recurrence.","['Lee, A J', 'Haworth, C', 'Hutchinson, R M', 'Patel, R', 'Carter, R', 'James, R F']","['Lee AJ', 'Haworth C', 'Hutchinson RM', 'Patel R', 'Carter R', 'James RF']","['Department of Surgery, University of Leicester, Leicester, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Clin Exp Immunol,Clinical and experimental immunology,0057202,"['0 (CD40 Antigens)', '147205-72-9 (CD40 Ligand)']",IM,"['Burkitt Lymphoma/*immunology', 'CD40 Antigens/immunology', 'CD40 Ligand/*immunology', 'Cell Division', 'Cell Line', 'Coculture Techniques', 'Cytotoxicity, Immunologic/immunology', 'Humans', 'Leukocytes, Mononuclear/cytology', 'Lymphocyte Activation']",2001/07/27 10:00,2001/08/31 10:01,['2001/07/27 10:00'],"['2001/07/27 10:00 [pubmed]', '2001/08/31 10:01 [medline]', '2001/07/27 10:00 [entrez]']","['cei1562 [pii]', '10.1046/j.1365-2249.2001.01562.x [doi]']",ppublish,Clin Exp Immunol. 2001 Jun;124(3):359-68. doi: 10.1046/j.1365-2249.2001.01562.x.,PMC1906064,,,,,,,,,,,,,,,,
11472375,NLM,MEDLINE,20010816,20190705,0007-1048 (Print) 0007-1048 (Linking),114,1,2001 Jul,Testing Sokal's and the new prognostic score for chronic myeloid leukaemia treated with alpha-interferon: comments.,241-3,,"['Pfirrmann, M', 'Hasford, J']","['Pfirrmann M', 'Hasford J']",,['eng'],"['Comment', 'Letter']",England,Br J Haematol,British journal of haematology,0372544,['0 (Interferon-alpha)'],IM,"['Adult', 'Humans', 'Interferon-alpha/*therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Middle Aged', 'Prognosis', 'Risk', 'Sensitivity and Specificity']",2001/07/27 10:00,2001/08/17 10:01,['2001/07/27 10:00'],"['2001/07/27 10:00 [pubmed]', '2001/08/17 10:01 [medline]', '2001/07/27 10:00 [entrez]']","['bjh2873 [pii]', '10.1046/j.1365-2141.2001.02873.x [doi]']",ppublish,Br J Haematol. 2001 Jul;114(1):241-3. doi: 10.1046/j.1365-2141.2001.02873.x.,,['Br J Haematol. 2000 Nov;111(2):587-95. PMID: 11122107'],,,,,,,,,,,,,,,
11472369,NLM,MEDLINE,20010816,20190705,0007-1048 (Print) 0007-1048 (Linking),114,1,2001 Jul,An in situ study of CD34(+) cells in human fetal bone marrow.,201-10,"The purpose of this study was to characterize the spatial distribution, number and size of CD34(+) cells in fetal bone marrow. Thin sections of normal fetal bone marrow from lumbar vertebrae were stained using CD34 antibody QBend/10. Sections were used under light microscopy with various eyepiece graticules to make measurements of CD34(+) cells in situ. Results showed that at mid- and late gestation, approximately 2% and 0.5% of fetal bone marrow cells were CD34(+) respectively. The mean distance of CD34(+) cells from the nearest trabecular bone surface was 61 +/- 4 and 46 +/- 4 microm, respectively, for mid- and late gestation. The mean distance to the nearest neighbour was 46 +/- 5 and 105 +/- 15 microm, and the mean distance to the nearest blood vessel was 13 +/- 1 and 17 +/- 2 microm respectively. The concentration of CD34(+) cells in the peripheral region was 6.5 times greater than that at the centre of the sections. Overall, the percentage number of CD34(+) cells decreased with gestational age. The cellular and nuclear diameters of CD34(+) cells remained unchanged throughout mid- and late gestation at 5.4 +/- 0.1 and 3.8 +/- 0.1 microm respectively. This information will be used to calculate the natural background alpha-radiation dose to haemopoietic stem cells.","['Allen, J E', 'Henshaw, D L']","['Allen JE', 'Henshaw DL']","['H. H. Wills Physics Laboratory, University of Bristol, Bristol, UK. janet.allen@bris.ac.uk']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Antigens, CD34)', '0 (Biomarkers)']",IM,"['Antigens, CD34/*analysis', 'Biomarkers/analysis', 'Bone Marrow/*embryology/ultrastructure', 'Cell Count', 'Gestational Age', 'Hematopoietic Stem Cells/cytology/*immunology', 'Humans', 'Immunohistochemistry/methods', 'Lumbar Vertebrae', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/embryology']",2001/07/27 10:00,2001/08/17 10:01,['2001/07/27 10:00'],"['2001/07/27 10:00 [pubmed]', '2001/08/17 10:01 [medline]', '2001/07/27 10:00 [entrez]']","['bjh2898 [pii]', '10.1046/j.1365-2141.2001.02898.x [doi]']",ppublish,Br J Haematol. 2001 Jul;114(1):201-10. doi: 10.1046/j.1365-2141.2001.02898.x.,,,,,,,,,,,,,,,,,
11472353,NLM,MEDLINE,20010816,20190705,0007-1048 (Print) 0007-1048 (Linking),114,1,2001 Jul,Response to vaccination against different types of antigens in patients with chronic lymphocytic leukaemia.,107-10,"We investigated responses to vaccination against pneumococcal polysaccharide, Haemophilus influenzae b (Hib) conjugate and tetanus toxoid antigens in 31 patients with chronic lymphocytic leukaemia (CLL) and 25 controls. While in the control group all antibody responses against different antigens were highly significant, in the patient group clear evidence for responsiveness was detected only in the case of Hib polysaccharide antigen. Certain CLL patient subgroups showed low reactivity against tetanus toxoid antigen. In conclusion, plain polysaccharide vaccines seem to be ineffective in patients with CLL. Conjugate vaccines, in turn, are immunogenic and may offer protection against infections caused by encapsulated bacteria in these patients. Further studies concerning an optimal vaccination scheme and clinical efficiency are warranted.","['Sinisalo, M', 'Aittoniemi, J', 'Oivanen, P', 'Kayhty, H', 'Olander, R M', 'Vilpo, J']","['Sinisalo M', 'Aittoniemi J', 'Oivanen P', 'Kayhty H', 'Olander RM', 'Vilpo J']","['Department of Internal Medicine, Tampere University Hospital, Tampere, Finland. marjatta.sinisalo@tays.fi']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Antibodies)', '0 (Haemophilus Vaccines)', '0 (Pneumococcal Vaccines)', '0 (Tetanus Toxoid)']",IM,"['Aged', 'Aged, 80 and over', 'Antibodies/*blood', 'Case-Control Studies', 'Female', 'Haemophilus Vaccines/*administration & dosage', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*immunology', 'Male', 'Middle Aged', 'Pneumococcal Vaccines/*administration & dosage', 'Tetanus Toxoid/*administration & dosage']",2001/07/27 10:00,2001/08/17 10:01,['2001/07/27 10:00'],"['2001/07/27 10:00 [pubmed]', '2001/08/17 10:01 [medline]', '2001/07/27 10:00 [entrez]']","['bjh2882 [pii]', '10.1046/j.1365-2141.2001.02882.x [doi]']",ppublish,Br J Haematol. 2001 Jul;114(1):107-10. doi: 10.1046/j.1365-2141.2001.02882.x.,,,,,,,,,,,,,,,,,
11472352,NLM,MEDLINE,20010816,20190705,0007-1048 (Print) 0007-1048 (Linking),114,1,2001 Jul,Clearance of maternal leukaemic cells in a neonate.,104-6,"A 36-week pregnant woman was diagnosed with acute lymphoblastic leukaemia. Delivery was initiated prematurely, and a healthy child was born. Cord blood and peripheral blood samples from the neonate (obtained at 6 weeks, 3 months and 6 months) were analysed for the presence of minimal residual disease by polymerase chain reaction analysis of a leukaemia-specific IGH gene rearrangement and the E2A--PBX1 fusion gene transcript. In the cord blood sample, a tumour load of approximately 4 x 10(-4) was found, whereas all later blood samples were negative. Our data indicate that the maternal leukaemic cells did not engraft in the neonate.","['van der Velden, V H', 'Willemse, M J', 'Mulder, M F', 'Szczepanski, T', 'Langerak, A W', 'Wijkhuijs, J M', 'van Dongen, J J']","['van der Velden VH', 'Willemse MJ', 'Mulder MF', 'Szczepanski T', 'Langerak AW', 'Wijkhuijs JM', 'van Dongen JJ']","['Department of Immunology, Erasmus University Rotterdam/University Hospital Rotterdam, Rotterdam, The Netherlands.']",['eng'],"['Case Reports', 'Journal Article']",England,Br J Haematol,British journal of haematology,0372544,"['0 (Homeodomain Proteins)', '0 (Oncogene Proteins, Fusion)', '146150-85-8 (E2A-Pbx1 fusion protein)']",IM,"['Female', 'Fetal Blood/*immunology', 'Gene Rearrangement', 'Heteroduplex Analysis', 'Homeodomain Proteins/genetics', 'Humans', 'Infant, Newborn', '*Leukemic Infiltration', 'Leukocytes, Mononuclear/metabolism', 'Oncogene Proteins, Fusion/genetics', 'Placenta/*pathology', 'Polymerase Chain Reaction/methods', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/embryology/immunology/*pathology', 'Pregnancy', 'Pregnancy Complications, Neoplastic/immunology/*pathology', 'Pregnancy Trimester, Third', 'Reverse Transcriptase Polymerase Chain Reaction']",2001/07/27 10:00,2001/08/17 10:01,['2001/07/27 10:00'],"['2001/07/27 10:00 [pubmed]', '2001/08/17 10:01 [medline]', '2001/07/27 10:00 [entrez]']","['bjh2914 [pii]', '10.1046/j.1365-2141.2001.02914.x [doi]']",ppublish,Br J Haematol. 2001 Jul;114(1):104-6. doi: 10.1046/j.1365-2141.2001.02914.x.,,,,,,,,,,,,,,,,,
11472351,NLM,MEDLINE,20010816,20190705,0007-1048 (Print) 0007-1048 (Linking),114,1,2001 Jul,Pretreatment characteristics and clinical outcome of acute promyelocytic leukaemia patients according to the PML-RAR alpha isoforms: a study of the PETHEMA group.,99-103,"Of 167 newly diagnosed acute promyelocytic leukaemia patients, 83 patients were long (L)-form (50%), eight variable (V)-form (5%) and 76 short (S)-form (45%). The V-form and S-form groups presented a significantly higher percentage of patients with white blood cell counts > 10 x 10(9)/l (P < 0.05). The S-form cases displayed a significantly higher number of cases with M3v microgranular features (P = 0.005) and CD34 expression (P < 0.0001). There were no differences between the three isoforms in complete remission (CR) rate (overall CR 90%), but the 3-year disease-free survival was lower for V-form cases than it was for L- and S-form cases (62% vs. 94% and 89%, P = 0.056). We conclude that the V-form and S-form types are associated with some negative prognostic features at diagnosis. However, our data were only able to demonstrate an association with adverse prognosis in the V-form type and, moreover, as the number of cases was limited, needs to be confirmed in large, uniformly treated series.","['Gonzalez, M', 'Barragan, E', 'Bolufer, P', 'Chillon, C', 'Colomer, D', 'Borstein, R', 'Calasanz, M J', 'Gomez-Casares, M T', 'Villegas, A', 'Marugan, I', 'Roman, J', 'Martin, G', 'Rayon, C', 'Deben, G', 'Tormo, M', 'Diaz-Mediavilla, J', 'Esteve, J', 'Gonzalez-San Miguel, J', 'Rivas, C', 'Perez-Equiza, K', 'Garcia-Sanz, R', 'Capote, F J', 'Ribera, J M', 'Arias, J', 'Leon, A', 'Sanz, M A']","['Gonzalez M', 'Barragan E', 'Bolufer P', 'Chillon C', 'Colomer D', 'Borstein R', 'Calasanz MJ', 'Gomez-Casares MT', 'Villegas A', 'Marugan I', 'Roman J', 'Martin G', 'Rayon C', 'Deben G', 'Tormo M', 'Diaz-Mediavilla J', 'Esteve J', 'Gonzalez-San Miguel J', 'Rivas C', 'Perez-Equiza K', 'Garcia-Sanz R', 'Capote FJ', 'Ribera JM', 'Arias J', 'Leon A', 'Sanz MA']","['Department of Haematology, Hospital Universitario, Salamanca, Spain. margondi@usal.es']",['eng'],"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Multicenter Study', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Antigens, CD34)', '0 (Neoplasm Proteins)', '0 (Oncogene Proteins, Fusion)', '0 (Protein Isoforms)', '0 (promyelocytic leukemia-retinoic acid receptor alpha fusion oncoprotein)', '5688UTC01R (Tretinoin)']",IM,"['Adolescent', 'Adult', 'Aged', 'Antigens, CD34/analysis', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Child', 'Child, Preschool', 'Disease-Free Survival', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia, Promyelocytic, Acute/drug therapy/immunology/*metabolism', 'Leukocyte Count', 'Male', 'Middle Aged', 'Neoplasm Proteins/*genetics', 'Oncogene Proteins, Fusion/*genetics', 'Polymerase Chain Reaction/methods', 'Prognosis', 'Proportional Hazards Models', 'Protein Isoforms/genetics', 'Treatment Outcome', 'Tretinoin/therapeutic use']",2001/07/27 10:00,2001/08/17 10:01,['2001/07/27 10:00'],"['2001/07/27 10:00 [pubmed]', '2001/08/17 10:01 [medline]', '2001/07/27 10:00 [entrez]']","['bjh2915 [pii]', '10.1046/j.1365-2141.2001.02915.x [doi]']",ppublish,Br J Haematol. 2001 Jul;114(1):99-103. doi: 10.1046/j.1365-2141.2001.02915.x.,,,"['Spanish Programme for the Study and Treatment of Haematological Malignancies', '(PETHEMA) Group']",,,,,,,,,,,,,,
11472347,NLM,MEDLINE,20010816,20190705,0007-1048 (Print) 0007-1048 (Linking),114,1,2001 Jul,Flavopiridol circumvents Bcl-2 family mediated inhibition of apoptosis and drug resistance in B-cell chronic lymphocytic leukaemia.,70-7,"Flavopiridol, a synthetic flavone, is currently under clinical investigation for the treatment of B-cell chronic lymphocytic leukaemia (B-CLL). In this study, we examined the in vitro effects of flavopiridol and fludarabine on B-CLL cells from 64 patients (36 treated and 28 untreated) in terms of apoptosis induction and Bcl-2 family expression. Both flavopiridol and fludarabine induced apoptosis in all the samples tested with mean LD(50) values (+/- SD) of 59.7 nmol/l (+/- 36.5) and 6.2 micromol/l (+/- 7.5) respectively. Mean flavopiridol LD(50) values were not significantly different between the treated and untreated patient groups (P = 0.35), whereas the fludarabine LD(50) values were significantly higher in the previously treated patient group (P = 0.01). Bcl-2 and Mcl-1 expression were downregulated in both flavopiridol and fludarabine-induced apoptotic cells, but the increase in Bax expression that accompanied fludarabine-induced apoptosis was not evident in flavopiridol-treated cells. In addition, Bcl-2:Bax ratios were not predictive of flavopiridol cytotoxicity (P = 0.82), whereas they were highly predictive of in vitro responsiveness to fludarabine (P = 0.001). Overall, these findings suggest that flavopiridol exerts its cytotoxic effect through a novel cell-death pathway that is not subject to the Bcl-2 family mediated resistance mechanisms that reduce the efficacy of many conventional chemotherapeutic drugs.","['Pepper, C', 'Thomas, A', 'Hoy, T', 'Fegan, C', 'Bentley, P']","['Pepper C', 'Thomas A', 'Hoy T', 'Fegan C', 'Bentley P']","['Department of Haematology, Llandough Hospital, Penarth, South Glamorgan, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Antineoplastic Agents)', '0 (BAX protein, human)', '0 (Flavonoids)', '0 (Piperidines)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (Tumor Suppressor Protein p53)', '0 (bcl-2-Associated X Protein)', '45AD6X575G (alvocidib)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",IM,"['Antineoplastic Agents/therapeutic use', 'Apoptosis/drug effects', 'Drug Resistance, Neoplasm/genetics', 'Flavonoids/*therapeutic use', 'Flow Cytometry', 'Humans', 'Lethal Dose 50', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy/metabolism', 'Lymphocytes/drug effects', 'Piperidines/*therapeutic use', 'Proto-Oncogene Proteins/analysis', 'Proto-Oncogene Proteins c-bcl-2', 'Tumor Suppressor Protein p53/analysis', 'Vidarabine/analogs & derivatives/therapeutic use', 'bcl-2-Associated X Protein']",2001/07/27 10:00,2001/08/17 10:01,['2001/07/27 10:00'],"['2001/07/27 10:00 [pubmed]', '2001/08/17 10:01 [medline]', '2001/07/27 10:00 [entrez]']","['bjh2895 [pii]', '10.1046/j.1365-2141.2001.02895.x [doi]']",ppublish,Br J Haematol. 2001 Jul;114(1):70-7. doi: 10.1046/j.1365-2141.2001.02895.x.,,,,,,,,,,,,,,,,,
