PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,CIN,PS,FPS,TT,RF,PMC,CN,CI,DEP,LID,EIN,CON,OAB,OABL,SI,OTO,OT,IR,FIR,IRAD
11380397,NLM,MEDLINE,20010705,20190705,0007-1048 (Print) 0007-1048 (Linking),113,2,2001 May,Pharmacological basis for cladribine resistance in a human acute T lymphoblastic leukaemia cell line selected for resistance to etoposide.,339-46,"Cross-resistance between different classes of anti-neoplastic agents can jeopardize successful combination cancer chemotherapy. In this study, we observed an unexpected cross-resistance between the podophyllotoxine derivative etoposide (VP) and the nucleoside analogue cladribine (CdA) in CCRF-CEM cells developed for resistance to VP. The resistant cells also displayed 14- and twofold resistance to cytarabine (ara-C) and gemcitabine respectively. Closer analysis of these cells showed that they contained lower amounts of topoisomerase (topo) IIalpha (P < 0.001) and beta protein (P < 0.026), formed substantially lower amounts of the topo II-DNA complex, and had a markedly decreased level of Fas (CD95/APO-1)-ligand mRNA expression. Interestingly, Fas expression in the resistant cells did not differ from that in the parental cell line. No differences were observed in the accumulation/efflux of daunorubicin or in the gene expressions of P-glycoprotein, multidrug resistance-associated protein and the lung resistance-related protein. The activity of deoxycytidine kinase (dCK), responsible for activation of CdA and ara-C, was the same for resistant and wild-type cells. However, there was an increase in the activity of the cytosolic 5'-nucleotidases (5'-NT), responsible for deactivation of nucleotides, amounting to 206% (P < 0.001) for the high Km and 134% (P < 0.331) for the low Km 5'-NT in resistant cells. The high Km 5'-NT is probably responsible for the decreased amount of the active metabolite CdA 5'-triphosphate [40% decreased (P < 0.045)], as well as for other purine ribonucleosides and deoxyribonucleosides triphosphates in the resistant cells. In contrast, a significantly higher deoxycytidine triphosphate (dCTP) level (167%, P < 0.001) was observed in the resistant cells. Thus, this study suggests that the major cause of resistance to the nucleoside analogues CdA and ara-C in cells selected for resistance to VP is a result of metabolic alterations producing increased activity of 5'-NT and higher dCTP levels. Furthermore, these results indicate that there is a common factor in the regulation of nucleotide-degrading enzymes and DNA topoisomerases, which may be altered in cross-resistant cells.","['Lotfi, K', 'Mansson, E', 'Chandra, J', 'Wang, Y', 'Xu, D', 'Knaust, E', 'Spasokoukotskaja, T', 'Liliemark, E', 'Eriksson, S', 'Albertioni, F']","['Lotfi K', 'Mansson E', 'Chandra J', 'Wang Y', 'Xu D', 'Knaust E', 'Spasokoukotskaja T', 'Liliemark E', 'Eriksson S', 'Albertioni F']","['Department of Medicine and Care, Clinical Pharmacology, Faculty of Health Sciences, Linkoping, Sweden. koulo@imv.liu.se']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Deoxycytosine Nucleotides)', '0 (FASLG protein, human)', '0 (Fas Ligand Protein)', '0 (Isoenzymes)', '0 (Membrane Glycoproteins)', '04079A1RDZ (Cytarabine)', ""2056-98-6 (2'-deoxycytidine 5'-triphosphate)"", '47M74X9YT5 (Cladribine)', '6PLQ3CP4P3 (Etoposide)', 'EC 2.7.1.74 (Deoxycytidine Kinase)', ""EC 3.1.3.5 (5'-Nucleotidase)"", 'EC 5.99.1.3 (DNA Topoisomerases, Type II)']",IM,"[""5'-Nucleotidase/metabolism"", 'Blotting, Western', 'Cell Line', '*Cladribine', 'Cytarabine', 'DNA Topoisomerases, Type II/metabolism', 'Deoxycytidine Kinase/metabolism', 'Deoxycytosine Nucleotides/metabolism', '*Drug Resistance, Microbial', '*Etoposide', 'Fas Ligand Protein', 'Genes, MDR', 'Humans', 'Isoenzymes/metabolism', 'Leukemia-Lymphoma, Adult T-Cell/*metabolism', 'Membrane Glycoproteins/genetics']",2001/06/14 10:00,2001/07/06 10:01,['2001/06/14 10:00'],"['2001/06/14 10:00 [pubmed]', '2001/07/06 10:01 [medline]', '2001/06/14 10:00 [entrez]']","['bjh2751 [pii]', '10.1046/j.1365-2141.2001.02751.x [doi]']",ppublish,Br J Haematol. 2001 May;113(2):339-46. doi: 10.1046/j.1365-2141.2001.02751.x.,,,,,,,,,,,,,,,,,,,,,
11380396,NLM,MEDLINE,20010705,20190705,0007-1048 (Print) 0007-1048 (Linking),113,2,2001 May,Hypermethylation of the calcitonin gene in acute lymphoblastic leukaemia is associated with unfavourable clinical outcome.,329-38,"We analysed calcitonin (CALC1) gene hypermethylation using semiquantitative differential polymerase chain reaction in 105 patients with adult (n = 49) and childhood (n = 56) acute lymphoblastic leukaemia (ALL), and studied the association of CALC1 hypermethylation with clinical presentation features and disease outcome. We also investigated the possible relationship between CALC1 methylation status and expression of the cell cycle inhibitor gene p57KIP2. We observed CALC1 hypermethylation in bone marrow cells from 43% (45 out of 105) of ALL patients. Clinical, molecular and laboratory features did not differ significantly between hypermethylated and hypomethylated patients, only T-cell lineage was associated with hypermethylation (14% vs. 47%, P = 0025). Complete remission rate was similar in both groups although hypermethylated patients had a higher relapse rate (68% vs. 19%, P < 0.00001) and mortality rate (55% vs. 36%, P = 0.06) than hypomethylated patients. Estimated disease-free survival (DFS) at 6 years was 66.1% for hypomethylated patients and 5.3% for hypermethylated patients (P < 0,00001). Multivariate analysis from potential prognostic factors demonstrated that CALC1 methylation status was an independent prognostic factor in predicting DFS (P = 0.0001). Separate analysis of adult and childhood ALL patients showed similar results to the whole series. In addition, hypermethylated patients showed downregulation of p57KIP2 expression. Our results suggest that CALC1 gene hypermethylation is associated with an enhanced risk of relapse independently of known poor-prognostic factors and we describe, for the first time, a possible implication of the p57KIP2 gene in the genesis and prognosis of ALL.","['Roman, J', 'Castillejo, J A', 'Jimenez, A', 'Bornstein, R', 'Gonzalez, M G', 'del Carmen Rodriguez, M', 'Barrios, M', 'Maldonado, J', 'Torres, A']","['Roman J', 'Castillejo JA', 'Jimenez A', 'Bornstein R', 'Gonzalez MG', 'del Carmen Rodriguez M', 'Barrios M', 'Maldonado J', 'Torres A']","['Department of Haematology, Reina Sofia Hospital, Cordoba, Spain.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (CDKN1C protein, human)', '0 (Cyclin-Dependent Kinase Inhibitor p57)', '0 (Nuclear Proteins)', '9007-12-9 (Calcitonin)']",IM,"['Adult', 'Calcitonin/*genetics', 'Cyclin-Dependent Kinase Inhibitor p57', 'DNA Methylation', 'Female', 'Gene Expression Regulation', 'Humans', 'Male', 'Middle Aged', 'Nuclear Proteins/genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics', 'Prognosis', 'Recurrence', 'Retrospective Studies']",2001/05/31 10:00,2001/07/06 10:01,['2001/05/31 10:00'],"['2001/05/31 10:00 [pubmed]', '2001/07/06 10:01 [medline]', '2001/05/31 10:00 [entrez]']","['bjh2764 [pii]', '10.1046/j.1365-2141.2001.02764.x [doi]']",ppublish,Br J Haematol. 2001 May;113(2):329-38. doi: 10.1046/j.1365-2141.2001.02764.x.,,,,,,,,,,,,,,,,,,,,,
11380395,NLM,MEDLINE,20010705,20190705,0007-1048 (Print) 0007-1048 (Linking),113,2,2001 May,INK4A/ARF deletions are acquired at relapse in childhood acute lymphoblastic leukaemia: a paired study on 25 patients using real-time polymerase chain reaction.,323-8,"Current risk-adjusted intensive therapies for childhood acute lymphoblastic leukaemia (ALL) are expected to result in an event-free survival of greater than 75%. In sharp contrast, relapsed paediatric ALL is a difficult disease to treat. In this study, 25 paediatric patients with ALL were analysed at diagnosis and relapse for their p16 (exon 2) status using the most accurate method of detection, real-time polymerase chain reaction (PCR). The median time to relapse for the group was 27 months. At diagnosis, the incidence of p16 homozygous and hemizygous deletion in this group was 32% and 20% respectively. The incidence of homozygous p16 deletion at relapse was 64%. A large number of patients, eight of 16 (50%), developed p16 homozygous deletion at relapse. Of those eight patients, four were hemizygous and four were germline at diagnosis. At diagnosis, those patients with a homozygous or hemizygous p16 deletion relapsed sooner than those germline for p16. We have shown that p16 alterations are frequently present in relapsed lymphoblastic leukaemia in children.","['Carter, T L', 'Reaman, G H', 'Kees, U R']","['Carter TL', 'Reaman GH', 'Kees UR']","[""Division of Children's Leukaemia and Cancer Research, TVWT Institute for Child Health Research and Centre for Child Health Research, University of Western Australia, Perth, Australia. tinac@ichr.uwa.edu.au""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Br J Haematol,British journal of haematology,0372544,['0 (Cyclin-Dependent Kinase Inhibitor p16)'],IM,"['Adolescent', 'Child', 'Child, Preschool', 'Cyclin-Dependent Kinase Inhibitor p16/genetics', 'Female', '*Gene Deletion', '*Genes, p16', 'Germ-Line Mutation', 'Homozygote', 'Humans', 'Infant', 'Male', 'Polymerase Chain Reaction/methods', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics', 'Recurrence']",2001/06/14 10:00,2001/07/06 10:01,['2001/06/14 10:00'],"['2001/06/14 10:00 [pubmed]', '2001/07/06 10:01 [medline]', '2001/06/14 10:00 [entrez]']","['bjh2729 [pii]', '10.1046/j.1365-2141.2001.02729.x [doi]']",ppublish,Br J Haematol. 2001 May;113(2):323-8. doi: 10.1046/j.1365-2141.2001.02729.x.,['CA83088/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,,,,,,
11380394,NLM,MEDLINE,20010705,20190705,0007-1048 (Print) 0007-1048 (Linking),113,2,2001 May,Unusual T-cell receptor-delta gene rearrangement patterns revealed by screening of a large series of childhood acute lymphoblastic leukaemia by multiplex polymerase chain reaction.,318-22,"Rearrangements of the T-cell receptor (TCR) and immunoglobulin genes are considered as useful clonal markers in lymphoproliferative disorders of B- and T-cell lineage, and are frequently used for the detection of minimal residual disease (MRD). In this paper, we report on the unexpected results of an extensive analysis of TCR-delta chain gene rearrangement frequencies and patterns in leukaemic bone marrow DNA samples collected from 438 children with initial (n = 112) or relapsed (n = 326) acute lymphoblastic leukaemia (ALL). By applying a previously described multiplex polymerase chain reaction, the overall incidence of non-deleted TCR-delta gene rearrangements in ALL was 47% (206/438), 52% in initial ALL (58/112) and 45% in relapsed ALL (148/326). As expected, the majority of B-cell precursor (BCP) ALL had incomplete Vdelta2-Ddelta3 or Ddelta2-Ddelta3 TCR-delta gene rearrangements, whereas most T-ALL showed complete rearrangements of the TCR-delta gene locus (Vdelta1-Jdelta1, Vdelta2-Jdelta1, Vdelta3-Jdelta1). However, unexpectedly, 5/206 rearranged TCR-delta alleles in BCP-ALL showed a complete Vdelta-(Ddelta)-Jdelta gene rearrangement pattern, and 3/31 T-ALL had an incomplete recombination. Theoretically, complete TCR-delta gene rearrangements should not occur in cells other than T-lymphocytes and have only been reported once previously in BCP-ALL. The data contribute to the discussion about the reliable screening for clonal markers in ALL.","['Seeger, K', 'Taube, T', 'Eckert, C', 'Hanel, C', 'Pogodda, M', 'Henze, G']","['Seeger K', 'Taube T', 'Eckert C', 'Hanel C', 'Pogodda M', 'Henze G']","['Charite, Otto-Heubner-Centre for Paediatric and Adolescent Medicine, Department of Paediatric Oncology/Haematology, Humboldt-University, Berlin, Germany. karl.sseeger@charite.de']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,,IM,"['Child', '*Gene Rearrangement, delta-Chain T-Cell Antigen Receptor', 'Heteroduplex Analysis', 'Humans', 'Leukemia, Prolymphocytic/genetics', 'Leukemia, T-Cell/genetics', 'Polymerase Chain Reaction/methods', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma/genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics', 'Recurrence', 'Sequence Analysis, DNA']",2001/05/31 10:00,2001/07/06 10:01,['2001/05/31 10:00'],"['2001/05/31 10:00 [pubmed]', '2001/07/06 10:01 [medline]', '2001/05/31 10:00 [entrez]']","['bjh2732 [pii]', '10.1046/j.1365-2141.2001.02732.x [doi]']",ppublish,Br J Haematol. 2001 May;113(2):318-22. doi: 10.1046/j.1365-2141.2001.02732.x.,,,,,,,,,,,,,,,,,,,,,
11380393,NLM,MEDLINE,20010705,20190705,0007-1048 (Print) 0007-1048 (Linking),113,2,2001 May,"Spectral karyotyping and fluorescence in situ hybridization detect novel chromosomal aberrations, a recurring involvement of chromosome 21 and amplification of the MYC oncogene in acute myeloid leukaemia M2.",305-17,"Recurring chromosomal aberrations are of aetiological, diagnostic, prognostic and therapeutic importance in acute myeloid leukaemia (AML). However, aberrations are detected in only two thirds of AML cases at diagnosis and recurrent balanced translocations in only 50%. Spectral karyotyping (SKY) enables simultaneous visualization of all human chromosomes in different colours, facilitating the comprehensive evaluation of chromosomal abnormalities. Therefore, SKY was used to characterize 37 cases of newly diagnosed AML-M2, previously analysed using G-banding. In 15/23 patients it was possible to obtain metaphases from viably frozen cells; in 22 additional cases, fixed-cell suspensions were used. Of the 70 chromosomal aberrations identified by SKY, 30 aberrations were detected for the first time, 18 aberrations were redefined and 22 were confirmed. SKY detected two reciprocal translocations, t(X;3) and t(11;19). In five cases, eight structural aberrations resulted in partial gains of chromosome 21, six of which were undetected by G-banding. In 4/5 cases, these resulted in copy number increases for AML1. Amplification of MYC was detected in three cases. Using SKY and FISH, clonal aberrations were identified in 5/18 cases with a presumed normal karyotype; 3/5 aberrations were of known unfavourable prognostic significance. Karyotypes were entered into a custom-designed SKY database, which will be integrated with other cytogenetic and genomic databases.","['Hilgenfeld, E', 'Padilla-Nash, H', 'McNeil, N', 'Knutsen, T', 'Montagna, C', 'Tchinda, J', 'Horst, J', 'Ludwig, W D', 'Serve, H', 'Buchner, T', 'Berdel, W E', 'Schrock, E', 'Ried, T']","['Hilgenfeld E', 'Padilla-Nash H', 'McNeil N', 'Knutsen T', 'Montagna C', 'Tchinda J', 'Horst J', 'Ludwig WD', 'Serve H', 'Buchner T', 'Berdel WE', 'Schrock E', 'Ried T']","['Genetics Department, Division of Clinical Sciences, National Cancer Institute, Bethesda, MD, USA. hilgenfe@mail.nih.gov']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,,IM,"['Chromosome Aberrations/*genetics', 'Chromosome Banding', 'Chromosome Disorders', 'Chromosomes, Human, Pair 17', 'Chromosomes, Human, Pair 18', '*Chromosomes, Human, Pair 21', 'Chromosomes, Human, Pair 8', 'Databases, Factual', 'Female', '*Genes, myc', 'Humans', 'In Situ Hybridization, Fluorescence', 'Karyotyping/methods', 'Leukemia, Myeloid, Acute/*genetics', 'Male', 'Retrospective Studies', 'Signal Processing, Computer-Assisted', 'Translocation, Genetic']",2001/06/14 10:00,2001/07/06 10:01,['2001/06/14 10:00'],"['2001/06/14 10:00 [pubmed]', '2001/07/06 10:01 [medline]', '2001/06/14 10:00 [entrez]']","['bjh2723 [pii]', '10.1046/j.1365-2141.2001.02723.x [doi]']",ppublish,Br J Haematol. 2001 May;113(2):305-17. doi: 10.1046/j.1365-2141.2001.02723.x.,,,,,,,,,,,,,,,,,,,,,
11380392,NLM,MEDLINE,20010705,20190705,0007-1048 (Print) 0007-1048 (Linking),113,2,2001 May,Increased bone marrow vascularization in patients with acute myeloid leukaemia: a possible role for vascular endothelial growth factor.,296-304,"The present study demonstrated that the vessel number in bone marrow biopsies from acute myeloid leukaemia (AML) patients (n = 23) was significantly increased at diagnosis compared with normal bone marrow (P = 0.019) and was restored to normal levels after achieving complete remission (P = 0.03). The in vitro angiogenic potential of culture supernatant of AML cells was assessed using endothelial cell (EC) migration and proliferation assays. Increased EC migration and EC proliferation was induced in 7/20 and 19/20 AML supernatents respectively. The degree of in vivo neovascularization did not correlate with the ability of AML cells to stimulate in vitro endothelial cell migration and/or proliferation. This might be in part a result of the heterogeneous pattern of angiogenic factors produced by AML cells. The expression of different angiogenic factors was studied using reverse transcription polymerase chain reaction. Cells from 17/20 AML patients showed wide variation in spontaneous vascular endothelial growth factor (VEGF) expression, 4/19 expressed varied spontaneous blastic fibroblast growth factor mRNA levels and all patient samples showed spontaneous interleukin 8 mRNA expression. All AML samples expressed matrix metalloproteinase (MMP)-2 and/or MMP-9. VEGF mRNA expression correlated well with protein level (P = 0.006). A correlation was found between the degree of VEGF expression and neoangiogenesis (correlation coefficient = 0.448, P = 0.05). These results suggest that malignant cell proliferation, angiogenesis and VEGF expression are linked in AML and might contribute to the growth advantage of the malignant counterpart as a result of the paracrine production of growth factors produced by the surrounding endothelial cells.","['de Bont, E S', 'Rosati, S', 'Jacobs, S', 'Kamps, W A', 'Vellenga, E']","['de Bont ES', 'Rosati S', 'Jacobs S', 'Kamps WA', 'Vellenga E']","[""Division of Paediatric Oncology and Haematology, Department of Paediatrics, Beatrix Children's Hospital, Groningen, The Netherlands. e.de.bont@bkk.azg.nl""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Culture Media, Conditioned)', '0 (Endothelial Growth Factors)', '0 (Lymphokines)', '0 (RNA, Messenger)', '0 (Vascular Endothelial Growth Factor A)', '0 (Vascular Endothelial Growth Factors)']",IM,"['Acute Disease', 'Adult', 'Aged', 'Biological Assay', 'Bone Marrow/*blood supply', 'Bone Marrow Examination', 'Case-Control Studies', 'Cell Division', 'Cell Movement', 'Culture Media, Conditioned', 'Endothelial Growth Factors/analysis/genetics/*metabolism', 'Endothelium, Vascular/cytology', 'Enzyme-Linked Immunosorbent Assay/methods', 'Humans', 'Immunohistochemistry', 'Leukemia, Myeloid/*metabolism/*pathology', 'Lymphokines/analysis/genetics/*metabolism', 'Middle Aged', '*Neovascularization, Pathologic', 'RNA, Messenger/analysis', 'Remission Induction', 'Reverse Transcriptase Polymerase Chain Reaction', 'Statistics, Nonparametric', 'Vascular Endothelial Growth Factor A', 'Vascular Endothelial Growth Factors']",2001/05/31 10:00,2001/07/06 10:01,['2001/05/31 10:00'],"['2001/05/31 10:00 [pubmed]', '2001/07/06 10:01 [medline]', '2001/05/31 10:00 [entrez]']","['bjh2722 [pii]', '10.1046/j.1365-2141.2001.02722.x [doi]']",ppublish,Br J Haematol. 2001 May;113(2):296-304. doi: 10.1046/j.1365-2141.2001.02722.x.,,,,,,,,,,,,,,,,,,,,,
11380388,NLM,MEDLINE,20010705,20190705,0007-1048 (Print) 0007-1048 (Linking),113,2,2001 May,Pure red cell aplasia associated with small lymphocytic lymphoma.,260,,"['Cobcroft, R']",['Cobcroft R'],"['Department of Haematology, Princess Alexandra Hospital, Brisbane, Australia.']",['eng'],"['Case Reports', 'Journal Article']",England,Br J Haematol,British journal of haematology,0372544,"['0 (Glucocorticoids)', '0 (Immunoglobulins, Intravenous)', '0 (Immunosuppressive Agents)', '8N3DW7272P (Cyclophosphamide)', '9PHQ9Y1OLM (Prednisolone)']",IM,"['Anemia, Aplastic/*complications/drug therapy/*pathology', 'B-Lymphocytes/immunology', 'CD8-Positive T-Lymphocytes', 'Cyclophosphamide/therapeutic use', 'Drug Therapy, Combination', 'Erythrocytes/*pathology', 'Female', 'Gene Rearrangement, beta-Chain T-Cell Antigen Receptor', 'Glucocorticoids/therapeutic use', 'Humans', 'Immunoglobulins, Intravenous', 'Immunosuppressive Agents/therapeutic use', 'Leukemia, Lymphocytic, Chronic, B-Cell/*complications/immunology/*pathology', 'Middle Aged', 'Prednisolone/therapeutic use']",2001/05/31 10:00,2001/07/06 10:01,['2001/05/31 10:00'],"['2001/05/31 10:00 [pubmed]', '2001/07/06 10:01 [medline]', '2001/05/31 10:00 [entrez]']","['bjh2693 [pii]', '10.1046/j.1365-2141.2001.02693.x [doi]']",ppublish,Br J Haematol. 2001 May;113(2):260. doi: 10.1046/j.1365-2141.2001.02693.x.,,,,,,,,,,,,,,,,,,,,,
11380253,NLM,MEDLINE,20010816,20201208,0006-2960 (Print) 0006-2960 (Linking),40,22,2001 Jun 5,Phospholipases stimulate secretion in RBL mast cells.,6589-97,"Roles for glycerophospholipids in exocytosis have been proposed, but remain controversial. Phospholipases are stimulated following the activation of the high-affinity receptor for immunoglobulin E (IgE) in mast cells. To study the biochemical sequelae that lead to degranulation, broken cell systems were employed. We demonstrate that the addition of three distinct types of exogenous phospholipases (i.e., bcPLC, scPLD, and tfPLA(2)), all of which hydrolyze phosphatidylcholine (PC), trigger degranulation in permeabilized RBL-2H3 cells, a mucosal mast cell line. Production of bioactive lipids by these phospholipases promotes release of granule contents through the plasma membrane and acts downstream of PKC, PIP(2), and Rho subfamily GTPases in regulated secretion. These exogenous phospholipase-induced degranulation pathways circumvent specific factors activated following stimulation of the IgE receptor as well as in ATP- and GTP-dependent intracellular pathways. Taken together, these results suggest that regulated secretion may be achieved in vitro in the absence of cytosolic factors via phospholipase activation and that products of PC hydrolysis can promote exocytosis in mast cells.","['Cohen, J S', 'Brown, H A']","['Cohen JS', 'Brown HA']","['Department of Molecular Medicine, Veterinary Medical Center, and Field of Biochemistry, Molecular and Cellular Biology, Cornell University, Ithaca, New York 14853-6401, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biochemistry,Biochemistry,0370623,"['0 (Bacterial Proteins)', '0 (Bacterial Toxins)', '0 (Enzyme Inhibitors)', '0 (Membrane Proteins)', '0 (Naphthalenes)', '0 (toxB protein, Clostridium difficile)', 'EC 3.1.4.- (Type C Phospholipases)', 'EC 3.1.4.4 (Phospholipase D)', 'I16QD7X297 (Neomycin)', 'I271P23G24 (calphostin C)']",IM,"['Animals', 'Bacillus cereus/enzymology', '*Bacterial Proteins', 'Bacterial Toxins/pharmacology', 'Biological Transport', 'Cell Degranulation/drug effects', 'Cell Membrane/immunology/metabolism', 'Clostridioides difficile/physiology', 'Cytoplasmic Granules/enzymology/metabolism', 'Enzyme Inhibitors/pharmacology', 'Immunohistochemistry', 'Leukemia, Basophilic, Acute/enzymology/metabolism', 'Mast Cells/*enzymology/*metabolism', 'Membrane Proteins/immunology/metabolism', 'Naphthalenes/pharmacology', 'Neomycin/pharmacology', 'Phospholipase D/antagonists & inhibitors/*metabolism', 'Rats', 'Streptomyces/enzymology', 'Tumor Cells, Cultured/enzymology/metabolism', 'Type C Phospholipases/antagonists & inhibitors/*metabolism']",2001/05/31 10:00,2001/08/17 10:01,['2001/05/31 10:00'],"['2001/05/31 10:00 [pubmed]', '2001/08/17 10:01 [medline]', '2001/05/31 10:00 [entrez]']","['bi0103011 [pii]', '10.1021/bi0103011 [doi]']",ppublish,Biochemistry. 2001 Jun 5;40(22):6589-97. doi: 10.1021/bi0103011.,['GM58516/GM/NIGMS NIH HHS/United States'],,,,,,,,,,,,,,,,,,,,
11379876,NLM,MEDLINE,20010705,20190722,0340-6717 (Print) 0340-6717 (Linking),108,4,2001 Apr,Mutation analysis of the origin recognition complex subunit 5 (ORC5L) gene in adult patients with myeloid leukemias exhibiting deletions of chromosome band 7q22.,304-9,"The ORC5L gene encoding a subunit of the human origin recognition complex (ORC) maps to chromosome band 7q22, a region frequently deleted in adult acute myeloid leukemia (AML) and myelodysplastic syndrome (MDS). Because of its localization within a region that is commonly deleted in patients with myeloid malignancies and because of the implication of its protein product in cell cycle control (DNA replication) and regulation of gene expression (transcriptional silencing), ORC5L appeared to be a candidate tumor suppressor gene for myeloid disorders associated with 7q22 deletions. Polymerase chain reaction amplification and sequencing analysis of the coding region of the remaining ORC5L allele has not revealed any mutations in nine patients with AML or MDS exhibiting 7q22 deletions. Allelic expression analysis indicates that ORC5L is not imprinted. These data suggest that ORC5L does not function as a tumor suppressor in patients with myeloid neoplasms.","['Frohling, S', 'Nakabayashi, K', 'Scherer, S W', 'Dohner, H', 'Dohner, K']","['Frohling S', 'Nakabayashi K', 'Scherer SW', 'Dohner H', 'Dohner K']","['Abteilung Innere Medizin III, Medizinische Universitatsklinik und Poliklinik, Universitat, Ulm, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Hum Genet,Human genetics,7613873,"['0 (DNA-Binding Proteins)', '0 (ORC5 protein, human)', '0 (Origin Recognition Complex)']",IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', '*Chromosome Deletion', '*Chromosomes, Human, Pair 7', 'DNA-Binding Proteins/*genetics', 'Female', 'Genomic Imprinting', 'Humans', 'Leukemia, Myeloid/*genetics', 'Male', 'Middle Aged', 'Mutation', 'Origin Recognition Complex']",2001/05/31 10:00,2001/07/06 10:01,['2001/05/31 10:00'],"['2001/05/31 10:00 [pubmed]', '2001/07/06 10:01 [medline]', '2001/05/31 10:00 [entrez]']",['10.1007/s004390100498 [doi]'],ppublish,Hum Genet. 2001 Apr;108(4):304-9. doi: 10.1007/s004390100498.,,,,,,,,,,,,,,,,,,,,,
11379763,NLM,MEDLINE,20010927,20190719,0918-6158 (Print) 0918-6158 (Linking),24,5,2001 May,Mechanism of resistance to oxidative stress in doxorubicin resistant cells.,474-9,"Doxorubicin (DOX) is an anthracycline drug widely used in chemotherapy for cancer patients, but it often gives rise to multidrug resistance in cancer cells. The purpose of this work was to study the effect of hydrogen peroxide in DOX-sensitive mouse P388/S leukemia cells and in the DOX-resistant cell line. Hydrogen peroxide induced a significant increase in dose- and time-response cell death in cultured P388/S cells. The degree of cell death in P388/DOX cells induced by hydrogen peroxide was less than that in P388/S cells treated with hydrogen peroxide. Parent cells exposed to 3 mM of hydrogen peroxide showed a loss of mitochondrial membrane potential correlated with cell death. Hydrogen peroxide at a concentration greater than 0.3 mM increased the intracellular Ca2+ of P388/S cells dose-dependently; however, no change following addition of hydrogen peroxide (0.3-1 mM) was observed in the resistant cells. Hydrogen peroxide (0.1 and 1 mM) treatment also induced the production of intracellular ROS in P388/S cells, while no such increase was produced by this substance in P388/DOX cells. Resistant cells also showed a significant level of glutathione (GSH) compared with the parent cells. In addition, N-acetyl-L-cysteine and reduced GSH antioxidants abolished death of P388/S cells caused by hydrogen peroxide. Therefore, it is believed that the reduced effect of oxidative stress towards the resistant cells may be related to an increase in intracellular GSH level.","['Furusawa, S', 'Kimura, E', 'Kisara, S', 'Nakano, S', 'Murata, R', 'Tanaka, Y', 'Sakaguchi, S', 'Takayanagi, M', 'Takayanagi, Y', 'Sasaki, K']","['Furusawa S', 'Kimura E', 'Kisara S', 'Nakano S', 'Murata R', 'Tanaka Y', 'Sakaguchi S', 'Takayanagi M', 'Takayanagi Y', 'Sasaki K']","['Department of Pharmacology and Toxicology, Cancer Research Institute, Tohoku Pharmaceutical University, Sendai, Japan. furusawa@tohoku-pharm.ac.jp']",['eng'],['Journal Article'],Japan,Biol Pharm Bull,Biological & pharmaceutical bulletin,9311984,"['0 (Antibiotics, Antineoplastic)', '0 (Reactive Oxygen Species)', '80168379AG (Doxorubicin)', 'GAN16C9B8O (Glutathione)', 'SY7Q814VUP (Calcium)']",IM,"['Animals', 'Antibiotics, Antineoplastic/*pharmacology', 'Calcium/metabolism', 'Cell Death/drug effects', 'Dose-Response Relationship, Drug', 'Doxorubicin/*pharmacology', 'Drug Resistance, Neoplasm', 'Glutathione/physiology', 'Mice', '*Oxidative Stress', 'Reactive Oxygen Species', 'Tumor Cells, Cultured']",2001/05/31 10:00,2001/09/28 10:01,['2001/05/31 10:00'],"['2001/05/31 10:00 [pubmed]', '2001/09/28 10:01 [medline]', '2001/05/31 10:00 [entrez]']",['10.1248/bpb.24.474 [doi]'],ppublish,Biol Pharm Bull. 2001 May;24(5):474-9. doi: 10.1248/bpb.24.474.,,,,,,,,,,,,,,,,,,,,,
