PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,TT,CI,AID,PMC,GR,CN,CIN,CON,SI,DEP,CRI,EIN,LID,OTO,OT,MID,ECI
11285852,NLM,MEDLINE,20021030,20061115,1001-5515 (Print) 1001-5515 (Linking),17,3,2000 Sep,[Progress in researches on anti-tumor agent L-asparaginase for treatment of leukemia].,343-5,"L-asparaginase is a very effective anti-tumor agent. To take the most advantage of enzyme treatment method, the natural L-asparaginase could be chemically modified, entrapped or immobilized into/onto other carriers. The extracorporeal shunt system with immobilized enzyme reactor deserves to receive special attention. It provides an entirely new idea for leukemia treatment and is proved to be very prospective in the future leukemia cure.","['Zhou, J', 'Jin, H', 'Li, Y', 'Jiang, T']","['Zhou J', 'Jin H', 'Li Y', 'Jiang T']","['Chemical Engineering College, East China University of Science and Technology, Shanghai 200237.']",['chi'],"['English Abstract', 'Journal Article', 'Review']",China,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,9426398,"['0 (Antineoplastic Agents)', '0 (Enzymes, Immobilized)', 'EC 3.5.1.1 (Asparaginase)']",IM,"['Antineoplastic Agents/administration & dosage/*therapeutic use', 'Asparaginase/administration & dosage/*therapeutic use', 'Enzymes, Immobilized/therapeutic use', 'Humans', 'Leukemia/*drug therapy']",14,2001/04/05 10:00,2002/10/31 04:00,['2001/04/05 10:00'],"['2001/04/05 10:00 [pubmed]', '2002/10/31 04:00 [medline]', '2001/04/05 10:00 [entrez]']",ppublish,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi. 2000 Sep;17(3):343-5.,,,,,,,,,,,,,,,,,
11285777,NLM,MEDLINE,20010419,20041117,0179-7158 (Print) 0179-7158 (Linking),177,3,2001 Mar,[Role of radiotherapy in induction of myeloid secondary neoplasms after high dosage therapy of malignant lymphomas].,165-6,,"['Belka, C']",['Belka C'],,['ger'],['Journal Article'],Germany,Strahlenther Onkol,Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et al],8603469,,IM,"['Bone Marrow/*radiation effects', 'Cause of Death', 'Follow-Up Studies', 'Humans', 'Leukemia, Radiation-Induced/*etiology/mortality', 'Lymphoma, B-Cell/mortality/*radiotherapy', 'Lymphoma, T-Cell/mortality/*radiotherapy', 'Myelodysplastic Syndromes/*etiology/mortality', 'Radiotherapy Dosage', 'Risk Factors', 'Survival Rate']",,2001/04/05 10:00,2001/04/21 10:01,['2001/04/05 10:00'],"['2001/04/05 10:00 [pubmed]', '2001/04/21 10:01 [medline]', '2001/04/05 10:00 [entrez]']",ppublish,Strahlenther Onkol. 2001 Mar;177(3):165-6.,Rolle der Strahlentherapie bei der Induktion von myeloiden Sekundarneoplasien nach Hochdosistherapie von malignen Lymphomen.,,,,,,,,,,,,,,,,
11285618,NLM,MEDLINE,20010705,20190910,8755-1039 (Print) 1097-0339 (Linking),24,4,2001 Apr,Significance of lymphoglandular bodies in bone marrow aspiration smears.,240-3,"The presence of lymphoglandular bodies (LGB) or Soderstrom bodies is often stated to be a feature of lymphoid processes. In our experience, LGB are typically identified in B-cell processes but not in T-cell lymphomas or myeloid leukemias. We reviewed 136 bone marrow aspirate smears. The number of LGB per five high-power fields was counted, and median counts for B-cell processes, non-B-cell processes, myeloid leukemias, and T-cell malignancies were obtained and compared by the Wilcoxon rank sum test. Bone marrow aspirate smears involved with B-cell malignancies contained a median of 30 (range, 1-250) LGB per five high-power fields. Compared to myeloid leukemias (median, 11; range, 1-253) and T-cell malignancies (median, 7; range, 0-41), the differences were statistically significant (P < 0.001 and P = 0.01, respectively). While lymphoglandular bodies can be seen in a variety of malignant hematopoietic and nonhematopoietic disorders, they are found in significantly greater numbers in B-cell malignancies.","['Stern, R C', 'Liu, K', 'Dodge, R K', 'Elenitoba-Johnson, K S', 'Layfield, L J']","['Stern RC', 'Liu K', 'Dodge RK', 'Elenitoba-Johnson KS', 'Layfield LJ']","['Department of Pathology, Duke University Medical Center, Durham, North Carolina, USA.']",['eng'],['Journal Article'],United States,Diagn Cytopathol,Diagnostic cytopathology,8506895,,IM,"['Biopsy, Needle', 'Bone Marrow/*pathology', 'Bone Marrow Examination/methods', 'Cytoplasm/*pathology', 'Humans', 'Leukemia, T-Cell/pathology', 'Lymphoma, B-Cell/pathology']",,2001/04/04 10:00,2001/07/11 10:01,['2001/04/04 10:00'],"['2001/04/04 10:00 [pubmed]', '2001/07/11 10:01 [medline]', '2001/04/04 10:00 [entrez]']",ppublish,Diagn Cytopathol. 2001 Apr;24(4):240-3. doi: 10.1002/dc.1051.,,"['Copyright 2001 Wiley-Liss, Inc.']","['10.1002/dc.1051 [pii]', '10.1002/dc.1051 [doi]']",,,,,,,,,,,,,,
11285407,NLM,MEDLINE,20010621,20190906,0193-1091 (Print) 0193-1091 (Linking),23,2,2001 Apr,Anetoderma arising in cutaneous B-cell lymphoproliferative disease.,124-32,"Anetoderma is circumscribed atrophy of the skin due to a localized deficiency in elastic tissue. It can follow inflammatory skin diseases of several types, and occasionally is present in the skin around neoplasms. There are a few reports of anetoderma in the lesional skin of cutaneous lymphoma. We report on two patients who presented with multiple lesions of anetoderma and who later proved to have low-grade cutaneous B-cell lymphomas. One patient (Patient 1) is a 39-year-old man and the other patient is a 26-year-old woman who is a renal transplant recipient (Patient 2). Some biopsy specimens from the anetodermic skin of Patient 1 appeared to show an urticarial reaction, although plasma cells were present. A large nodule showed lymphoid follicles surrounded by plasmacytoid lymphocytes, with loss of elastic tissue in the adjacent dermis. The plasmacytoid cells stained overwhelmingly for lambda light chain, and staining of the urticarial lesions from this patient also showed a marked majority of lambda positive cells. Immunoglobulin heavy chain gene (IgH) rearrangements showed a dominant clonal pattern in the nodular lesion. We classified the disease in Patient 1 as marginal zone lymphoma and the disease in Patient 2 as a post-transplant lymphoproliferative disorder. Because of the intimate association of anetoderma and cutaneous B-cell lymphoproliferative disorders in these two patients, it seems possible that anetoderma could result from either a local effect of the neoplastic cells or associated inflammatory cells, especially neutrophils as in Case 1. The infiltrates of Case 1 had many interstitial neutrophils and only a few clonal plasmacytoid lymphocytes, indicating that this presentation of B-cell lymphoma can be a diagnostic pitfall. Given these two cases and similar ones in the literature, biopsy of lesional skin in anetoderma should be performed to ensure that lymphomatous infiltrates are not present. Even if plasma cells are sparse, studies to detect clonality are appropriate. Cutaneous B-cell lymphoma can be added to the list of associations of elastolysis and cutaneous lymphoma, which includes granulomatous slack skin (T-cell lymphoma) and cutis laxa (myeloma).","['Kasper, R C', 'Wood, G S', 'Nihal, M', 'LeBoit, P E']","['Kasper RC', 'Wood GS', 'Nihal M', 'LeBoit PE']","['Department of Pathology, University of California, San Francisco 94115, USA.']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Dermatopathol,The American Journal of dermatopathology,7911005,"['0 (Epstein-Barr virus encoded RNA 1)', '0 (RNA, Viral)', '83HN0GTJ6D (Cyclosporine)', '9007-49-2 (DNA)', 'I223NX31W9 (Fluorescein-5-isothiocyanate)', 'WM0HAQ4WNM (Tacrolimus)']",IM,"['Adult', 'Atrophy/pathology', 'Cutis Laxa/etiology/genetics/metabolism/*pathology', 'Cyclosporine/adverse effects', 'DNA/analysis', 'Elastic Tissue/pathology', 'Female', 'Fluorescein-5-isothiocyanate', 'Gene Rearrangement, B-Lymphocyte, Heavy Chain', 'Herpesvirus 4, Human/genetics/isolation & purification', 'Humans', 'Immunocompromised Host', 'Immunohistochemistry', 'In Situ Hybridization', 'Kidney Transplantation/adverse effects', 'Leukemia, Lymphocytic, Chronic, B-Cell/chemistry/complications/genetics/*pathology', 'Lymphoma, B-Cell/chemistry/complications/genetics/*pathology', 'Lymphoproliferative Disorders/complications/*pathology/virology', 'Male', 'Polymerase Chain Reaction', 'RNA, Viral/analysis', 'Skin Neoplasms/chemistry/complications/genetics/*pathology', 'Tacrolimus/adverse effects']",,2001/04/04 10:00,2001/06/22 10:01,['2001/04/04 10:00'],"['2001/04/04 10:00 [pubmed]', '2001/06/22 10:01 [medline]', '2001/04/04 10:00 [entrez]']",ppublish,Am J Dermatopathol. 2001 Apr;23(2):124-32. doi: 10.1097/00000372-200104000-00007.,,,['10.1097/00000372-200104000-00007 [doi]'],,,,,,,,,,,,,,
11285233,NLM,MEDLINE,20010607,20191210,0261-4189 (Print) 0261-4189 (Linking),20,7,2001 Apr 2,The ciliary neurotrophic factor receptor alpha component induces the secretion of and is required for functional responses to cardiotrophin-like cytokine.,1692-703,"Ciliary neurotrophic factor (CNTF) is involved in the survival of a number of different neural cell types, including motor neurons. CNTF functional responses are mediated through a tripartite membrane receptor composed of two signalling receptor chains, gp130 and the leukaemia inhibitory factor receptor (LIFR), associated with a non-signalling CNTF binding receptor alpha component (CNTFR). CNTFR-deficient mice show profound neuronal deficits at birth, leading to a lethal phenotype. In contrast, inactivation of the CNTF gene leads only to a slight muscle weakness, mainly during adulthood, suggesting that CNTFR binds to a second ligand that is important for development. Modelling studies of the interleukin-6 family member cardiotrophin-like cytokine (CLC) revealed structural similarities with CNTF, including the conservation of a site I domain involved in binding to CNTFR. Co-expression of CLC and CNTFR in mammalian cells generates a secreted composite cytokine, displaying activities on cells expressing the gp130-LIFR complex on their surface. Correspondingly, CLC-CNTFR activates gp130, LIFR and STAT3 signalling components, and enhances motor neuron survival. Together, these observations demonstrate that CNTFR induces the secretion of CLC, as well as mediating the functional responses of CLC.","['Plun-Favreau, H', 'Elson, G', 'Chabbert, M', 'Froger, J', 'deLapeyriere, O', 'Lelievre, E', 'Guillet, C', 'Hermann, J', 'Gauchat, J F', 'Gascan, H', 'Chevalier, S']","['Plun-Favreau H', 'Elson G', 'Chabbert M', 'Froger J', 'deLapeyriere O', 'Lelievre E', 'Guillet C', 'Hermann J', 'Gauchat JF', 'Gascan H', 'Chevalier S']","[""INSERM EMI 9928, CHU d'Angers, 4 Rue Larrey, 49033 Angers Cedex, France.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,EMBO J,The EMBO journal,8208664,"['0 (Antigens, CD)', '0 (Cytokines)', '0 (DNA-Binding Proteins)', '0 (IL6ST protein, human)', '0 (Il6st protein, mouse)', '0 (LIFR protein, human)', '0 (Leukemia Inhibitory Factor Receptor alpha Subunit)', '0 (Lifr protein, mouse)', '0 (Membrane Glycoproteins)', '0 (Receptor, Ciliary Neurotrophic Factor)', '0 (Receptors, Cytokine)', '0 (Receptors, OSM-LIF)', '0 (Recombinant Fusion Proteins)', '0 (STAT3 Transcription Factor)', '0 (STAT3 protein, human)', '0 (Stat3 protein, mouse)', '0 (Trans-Activators)', '0 (cardiotrophin-like cytokine)', '133483-10-0 (Cytokine Receptor gp130)']",IM,"['Amino Acid Sequence', 'Animals', 'Antigens, CD/metabolism', 'Binding Sites', 'COS Cells', 'Cell Line', 'Cell Membrane/metabolism', 'Cell Survival', 'Chlorocebus aethiops', 'Cytokine Receptor gp130', 'Cytokines/chemistry/genetics/metabolism/*physiology', 'DNA-Binding Proteins/metabolism', 'Dimerization', 'Humans', 'Leukemia Inhibitory Factor Receptor alpha Subunit', 'Membrane Glycoproteins/metabolism', 'Mice', 'Models, Molecular', 'Molecular Sequence Data', 'Motor Neurons', 'Protein Structure, Secondary', 'Receptor, Ciliary Neurotrophic Factor/*metabolism/physiology', 'Receptors, Cytokine/metabolism', 'Receptors, OSM-LIF', 'Recombinant Fusion Proteins/chemistry/genetics/metabolism/physiology', 'STAT3 Transcription Factor', 'Signal Transduction/physiology', 'Trans-Activators/metabolism', 'Tumor Cells, Cultured']",,2001/04/04 10:00,2001/06/19 10:01,['2001/04/04 10:00'],"['2001/04/04 10:00 [pubmed]', '2001/06/19 10:01 [medline]', '2001/04/04 10:00 [entrez]']",ppublish,EMBO J. 2001 Apr 2;20(7):1692-703. doi: 10.1093/emboj/20.7.1692.,,,['10.1093/emboj/20.7.1692 [doi]'],PMC145510,,,,,,,,,,,,,
11285191,NLM,MEDLINE,20010503,20190513,0143-3334 (Print) 0143-3334 (Linking),22,4,2001 Apr,p53 is dispensable for UV-induced cell cycle arrest at late G(1) in mammalian cells.,573-8,"Genotoxic agents, including gamma-rays and UV light, induce transient arrest at different phases of the cell cycle. These arrests are required for efficient repair of DNA lesions, and employ several factors, including the product of the tumor suppressor gene p53 that plays a central role in the cellular response to DNA damage. p53 protein has a major function in the gamma-ray-induced cell cycle delay in G(1) phase. However, it remains uncertain as to whether p53 is also involved in the UV-mediated G(1) delay. This report provides evidence that p53 is not involved in UV-induced cellular growth arrest in late G(1) phase. This has been demonstrated in HeLa cells synchronized at the G(1)/S border by aphidicolin, followed by UV exposure. Interestingly, the length of this p53-independent G(1) arrest has been shown to be UV dose-dependent. Similar results were also obtained with other p53-deficient cell lines, including human promyelocytic leukemia HL-60 and mouse p53 knock-out cells. As expected, all of these cell lines were defective in gamma-ray-induced cell growth arrest at late G(1). Moreover, it is shown that in addition to cell cycle arrest, HL-60 cells undergo apoptosis in G(1) phase in response to UV light but not to gamma-rays. Together, these findings indicate that p53- compromised cells have a differential response following exposure to ionizing radiation or UV light.","['Al-Mohanna, M A', 'Al-Khodairy, F M', 'Krezolek, Z', 'Bertilsson, P A', 'Al-Houssein, K A', 'Aboussekhra, A']","['Al-Mohanna MA', 'Al-Khodairy FM', 'Krezolek Z', 'Bertilsson PA', 'Al-Houssein KA', 'Aboussekhra A']","['King Faisal Specialist Hospital and Research Center, Biological and Medical Research Department, MBC No. 03, PO Box 3354, Riyadh 11211, Saudi Arabia.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Carcinogenesis,Carcinogenesis,8008055,['0 (Tumor Suppressor Protein p53)'],IM,"['Animals', 'Apoptosis/radiation effects', 'Cell Cycle/*radiation effects', 'Cell Line', 'DNA Fragmentation', 'Dose-Response Relationship, Radiation', 'Flow Cytometry', 'G1 Phase/*radiation effects', 'Gamma Rays', 'HL-60 Cells', 'HeLa Cells', 'Humans', 'Light', 'Mice', 'Mice, Knockout', 'Time Factors', 'Tumor Suppressor Protein p53/*physiology', 'Ultraviolet Rays']",,2001/04/04 10:00,2001/05/22 10:01,['2001/04/04 10:00'],"['2001/04/04 10:00 [pubmed]', '2001/05/22 10:01 [medline]', '2001/04/04 10:00 [entrez]']",ppublish,Carcinogenesis. 2001 Apr;22(4):573-8. doi: 10.1093/carcin/22.4.573.,,,['10.1093/carcin/22.4.573 [doi]'],,,,,,,,,,,,,,
11285189,NLM,MEDLINE,20010503,20190513,0143-3334 (Print) 0143-3334 (Linking),22,4,2001 Apr,Se-methylselenocysteine induces apoptosis through caspase activation in HL-60 cells.,559-65,"Apoptosis, a programmed process of cell suicide, has been proposed as the most plausible mechanism for the chemopreventive activities of selenocompounds. In our study, we found that Se-methylselenocysteine (MSC) induced apoptosis through caspase activation in human promyelocytic leukemia (HL-60) cells. Measurements of cytotoxicity, DNA fragmentation and apoptotic morphology revealed that MSC was more efficient at inducing apoptosis than selenite, but was less toxic. Moreover, MSC increased both the apoptotic cleavage of poly(ADP-ribose) polymerase (PARP) and caspase-3 activity, whereas selenite did not. We next examined whether caspases and serine proteases are required for the apoptotic induction by MSC. A general caspase inhibitor, z-VAD-fmk, dramatically decreased cytotoxicity in MSC-treated HL-60 cells and several other apoptotic features, such as, caspase-3 activation, the apoptotic DNA ladder, TUNEL-positive staining and the DNA double-strand break. Interestingly, a general serine protease inhibitor, AAPV-cmk, also effectively inhibited MSC-mediated cytotoxicity and apoptosis. These results demonstrate that MSC is a selenocompound that efficiently induces apoptosis in leukemia cells and that proteolytic machinery, in particular caspase-3, is necessary for MSC-induced apoptosis. On the other hand, selenite-induced cell death could be derived from necrosis rather than apoptosis, since selenite did not significantly induce several apoptotic phenomena, including the activation of caspase-3.","['Kim, T', 'Jung, U', 'Cho, D Y', 'Chung, A S']","['Kim T', 'Jung U', 'Cho DY', 'Chung AS']","['Department of Biological Sciences, Korea Advanced Institute of Science and Technology, Taejon 305-701, Korea.']",['eng'],['Journal Article'],England,Carcinogenesis,Carcinogenesis,8008055,"['0 (Amino Acid Chloromethyl Ketones)', '0 (Anticarcinogenic Agents)', '0 (Organoselenium Compounds)', '0 (benzyloxycarbonylvalyl-alanyl-aspartyl fluoromethyl ketone)', '0CH9049VIS (Selenocysteine)', 'EC 2.4.2.30 (Poly(ADP-ribose) Polymerases)', 'EC 3.4.22.- (CASP3 protein, human)', 'EC 3.4.22.- (Caspase 3)', 'EC 3.4.22.- (Caspases)', 'HIW548RQ3W (Sodium Selenite)', 'K848JZ4886 (Cysteine)', 'TWK220499Z (selenomethylselenocysteine)']",IM,"['Amino Acid Chloromethyl Ketones/metabolism', 'Anticarcinogenic Agents/*pharmacology', '*Apoptosis', 'Caspase 3', 'Caspases/*metabolism', 'Cysteine/*analogs & derivatives/*pharmacology', 'DNA Damage', 'DNA Fragmentation', 'Dose-Response Relationship, Drug', 'Enzyme Activation', 'HL-60 Cells', 'Humans', 'Immunoblotting', 'In Situ Nick-End Labeling', 'Organoselenium Compounds/*pharmacology', 'Poly(ADP-ribose) Polymerases/metabolism', 'Selenocysteine/analogs & derivatives', 'Sodium Selenite/pharmacology', 'Time Factors']",,2001/04/04 10:00,2001/05/22 10:01,['2001/04/04 10:00'],"['2001/04/04 10:00 [pubmed]', '2001/05/22 10:01 [medline]', '2001/04/04 10:00 [entrez]']",ppublish,Carcinogenesis. 2001 Apr;22(4):559-65. doi: 10.1093/carcin/22.4.559.,,,['10.1093/carcin/22.4.559 [doi]'],,,,,,,,,,,,,,
11285072,NLM,MEDLINE,20010719,20191104,1328-8067 (Print) 1328-8067 (Linking),43,2,2001 Apr,Successful donor lymphocyte infusion in a patient with relapse of lymphoblastic leukemia after bone marrow transplantation.,169-71,,"['Shibuya, A', 'Ishii, S', 'Sasaki, N']","['Shibuya A', 'Ishii S', 'Sasaki N']","['Department of Pediatrics, Saitama Medical School, Saitama, Japan. ashibuya@saitama-med.ac.jp']",['eng'],"['Case Reports', 'Journal Article']",Australia,Pediatr Int,Pediatrics international : official journal of the Japan Pediatric Society,100886002,,IM,"['Adolescent', '*Bone Marrow Transplantation', 'Humans', 'Lymphocyte Transfusion/*methods', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*therapy', 'Recurrence', 'Treatment Failure', 'Treatment Outcome']",,2001/04/04 10:00,2001/07/27 10:01,['2001/04/04 10:00'],"['2001/04/04 10:00 [pubmed]', '2001/07/27 10:01 [medline]', '2001/04/04 10:00 [entrez]']",ppublish,Pediatr Int. 2001 Apr;43(2):169-71. doi: 10.1046/j.1442-200x.2001.01356.x.,,,"['ped1356 [pii]', '10.1046/j.1442-200x.2001.01356.x [doi]']",,,,,,,,,,,,,,
11285069,NLM,MEDLINE,20010719,20191104,1328-8067 (Print) 1328-8067 (Linking),43,2,2001 Apr,Disseminated tuberculosis in acute leukemia.,161-3,,"['Menon, B S', 'Maziah, W', 'Aiyar, S', 'Zainul, F', 'Shuaib, I', 'Noh, L']","['Menon BS', 'Maziah W', 'Aiyar S', 'Zainul F', 'Shuaib I', 'Noh L']","['Department of Paediatrics, Universiti Sains Malaysia, Kelantan, Malaysia.']",['eng'],"['Case Reports', 'Journal Article']",Australia,Pediatr Int,Pediatrics international : official journal of the Japan Pediatric Society,100886002,"['0 (Antitubercular Agents)', '0 (BCG Vaccine)']",IM,"['Antitubercular Agents/therapeutic use', 'BCG Vaccine', 'Child', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*complications/diagnosis', 'Mycobacterium tuberculosis/isolation & purification', 'Tomography, X-Ray Computed', 'Tuberculosis, Miliary/*complications/diagnosis/drug therapy/microbiology']",,2001/04/04 10:00,2001/07/27 10:01,['2001/04/04 10:00'],"['2001/04/04 10:00 [pubmed]', '2001/07/27 10:01 [medline]', '2001/04/04 10:00 [entrez]']",ppublish,Pediatr Int. 2001 Apr;43(2):161-3. doi: 10.1046/j.1442-200x.2001.01354.x.,,,"['ped1354 [pii]', '10.1046/j.1442-200x.2001.01354.x [doi]']",,,,,,,,,,,,,,
11284716,NLM,MEDLINE,20010524,20190501,0264-6021 (Print) 0264-6021 (Linking),355,Pt 2,2001 Apr 15,Differential effects of oncostatin M and leukaemia inhibitory factor expression in astrocytoma cells.,307-14,"The effects of the production of two closely related cytokines, oncostatin M (OSM) and leukaemia inhibitory factor (LIF), by astrocytoma cells were investigated using the stable cell line human U373-MG, which expressed and secreted both biologically active polypeptides. The expression of LIF by these cells caused resistance to this cytokine due to loss of the LIF receptor (LIFR), from the cell surface, suggesting its retention. In contrast, cells expressing OSM were stimulated by this cytokine, utilizing an autocrine mechanism, and possessed receptors for OSM, but not LIF, on the cell surface. In these cells the continuous up-regulation of OSM-induced gene expression was found even though the Janus kinase-signal transducer and activator of transcription ('JAK/STAT') pathway was almost exhausted due to long-term autocrine stimulation of the cells by OSM. The amount of LIFR was down-regulated in both LIF- and OSM-producing cells and this effect was not found in wild-type U373-MG cells treated with externally added cytokines. To investigate the mechanism of autocrine stimulation by OSM we constructed a stable cell line expressing a form of OSM that is retained in the endoplasmic reticulum (ER). This biologically active cytokine was not secreted, but was localized in the ER. In addition, it did not stimulate the astrocytoma cells in an autocrine manner. We conclude that expression of LIF causes resistance of astrocytoma cells to this cytokine, whereas expression of OSM leads to autocrine stimulation.","['Kasza, A', 'Rogowski, K', 'Kilarski, W', 'Sobota, R', 'Bernas, T', 'Dobrucki, J', 'Travis, J', 'Koj, A', 'Bugno, M', 'Kordula, T']","['Kasza A', 'Rogowski K', 'Kilarski W', 'Sobota R', 'Bernas T', 'Dobrucki J', 'Travis J', 'Koj A', 'Bugno M', 'Kordula T']","['Department of Animal Biochemistry, Institute of Molecular Biology, Jagiellonian University, 31-120 Krakow, Poland.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Biochem J,The Biochemical journal,2984726R,"['0 (Antigens, CD)', '0 (DNA Primers)', '0 (Growth Inhibitors)', '0 (IL6ST protein, human)', '0 (Interleukin-6)', '0 (LIF protein, human)', '0 (LIFR protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Leukemia Inhibitory Factor Receptor alpha Subunit)', '0 (Lymphokines)', '0 (Membrane Glycoproteins)', '0 (OSM protein, human)', '0 (Peptides)', '0 (Receptors, Cytokine)', '0 (Receptors, OSM-LIF)', '0 (Transcription Factors)', '106956-32-5 (Oncostatin M)', '133483-10-0 (Cytokine Receptor gp130)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (JAK1 protein, human)', 'EC 2.7.10.2 (Janus Kinase 1)']",IM,"['Antigens, CD/metabolism', 'Astrocytoma/*metabolism/pathology', 'Base Sequence', 'Cytokine Receptor gp130', 'DNA Primers', 'Endoplasmic Reticulum/metabolism', 'Gene Expression Regulation, Neoplastic/physiology', 'Growth Inhibitors/*metabolism/physiology', 'Humans', '*Interleukin-6', 'Janus Kinase 1', 'Leukemia Inhibitory Factor', 'Leukemia Inhibitory Factor Receptor alpha Subunit', 'Lymphokines/*metabolism/physiology', 'Membrane Glycoproteins/metabolism', 'Oncostatin M', 'Peptides/*metabolism/physiology', 'Protein-Tyrosine Kinases/metabolism', 'Receptors, Cytokine/metabolism', 'Receptors, OSM-LIF', 'Transcription Factors/metabolism', 'Tumor Cells, Cultured']",,2001/04/04 10:00,2001/06/02 10:01,['2001/04/04 10:00'],"['2001/04/04 10:00 [pubmed]', '2001/06/02 10:01 [medline]', '2001/04/04 10:00 [entrez]']",ppublish,Biochem J. 2001 Apr 15;355(Pt 2):307-14. doi: 10.1042/0264-6021:3550307.,,,['10.1042/0264-6021:3550307 [doi]'],PMC1221740,['HL37090/HL/NHLBI NIH HHS/United States'],,,,,,,,,,,,
