PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,TT,AID,PMC,CON,GR,CIN,CN,EIN,DEP,CI,MID,OID,SI,LID
11190053,NLM,MEDLINE,20010315,20171116,0970-258X (Print) 0970-258X (Linking),13,5,2000 Sep-Oct,Radioactive iodine therapy in Graves' hyperthyroidism.,246-51,"Graves' disease is a common condition encountered in clinical practice. The available modes of therapy for Graves' disease are antithyroid drugs, radioiodine and surgery. Radioiodine therapy is indicated in patients with nearly all causes of hyperthyroidism and is considered the treatment of choice for most patients with Graves' hyperthyroidism who are beyond the adolescent years. Pregnancy and breast-feeding are absolute contraindications. Although there are many ways of calculating the dose of radioiodine, fixed dose regimens are gaining acceptance. Hypothyroidism follows sooner or later in nearly all patients treated with radioiodine. Available evidence suggest that patients are best treated by a single thyroablative dose, the aim being elimination of hyperthyroidism, with larger doses accomplishing it with more certainty, and the inevitable hypothyroidism develops under physician control. Radioiodine therapy can lead to exacerbation of infiltrative ophthalmopathy and this can be prevented by the concomitant administration of corticosteroids. Radioiodine therapy for Graves' hyperthyroidism has no adverse effects on the health of the offspring of treated patients. There are no definitive data that provide evidence for increased rates of thyroid cancer, leukaemia, infertility or neonatal abnormality in patients treated with radioiodine. Radioiodine therapy is safe, definitive and cost-effective.","['Sankar, R', 'Sripathy, G']","['Sankar R', 'Sripathy G']","['Institute of Nuclear Medicine and Allied Sciences, Lucknow Road, Timarpur, Delhi 110054, India. natram@mantraonline.com']",['eng'],"['Journal Article', 'Review']",India,Natl Med J India,The National medical journal of India,8809315,['0 (Iodine Radioisotopes)'],IM,"['Adult', 'Child', 'Contraindications', 'Female', 'Graves Disease/*radiotherapy', 'Humans', 'Hypothyroidism/etiology', 'Iodine Radioisotopes/administration & dosage/*therapeutic use', 'Male', 'Monitoring, Physiologic', 'Pregnancy', 'Radiation Dosage', 'Radiotherapy/adverse effects']",81,2001/02/24 12:00,2001/03/17 10:01,['2001/02/24 12:00'],"['2001/02/24 12:00 [pubmed]', '2001/03/17 10:01 [medline]', '2001/02/24 12:00 [entrez]']",ppublish,Natl Med J India. 2000 Sep-Oct;13(5):246-51.,,,,,,,,,,,,,,
11189872,NLM,MEDLINE,20010222,20131121,0031-7144 (Print) 0031-7144 (Linking),55,12,2000 Dec,Cytotoxicity of copper and cobalt complexes of furfural semicarbazone and thiosemicarbazone derivatives in murine and human tumor cell lines.,937-41,"The 2-furfural semicarbazone and thiosemicarbazone copper and cobalt complexes demonstrated potent cytotoxicity against the growth of suspended leukemias and lymphomas as well as human lung MB9812, colon SW480, ovary 1-A9 and HeLa-S3 uterine carcinoma. In L1210 lymphoid leukemia cell the complexes inhibited preferentially DNA synthesis over 60 min at 25 to 100 microM. The copper and cobalt complexes functioned by multiple mechanisms to suppress synthetic steps in nucleic acid metabolism to reduce deoxynucleotide pools for incorporation into DNA. At high concentrations the complexes suppressed human DNA topoisomerase II activity with DNA nicks and DNA fragmentation but they did not alkylate the bases of DNA, cause intercalation between base pairs or cause cross-linking of DNA strands.","['Hall, I H', 'Lackey, C B', 'Kistler, T D', 'Durham, R W Jr', 'Jouad, E M', 'Khan, M', 'Thanh, X D', 'Djebbar-Sid, S', 'Benali-Baitich, O', 'Bouet, G M']","['Hall IH', 'Lackey CB', 'Kistler TD', 'Durham RW Jr', 'Jouad EM', 'Khan M', 'Thanh XD', 'Djebbar-Sid S', 'Benali-Baitich O', 'Bouet GM']","['Division of Medicinal Chemistry & Natural Products, School of Pharmacy, University of North Carolina, Chapel Hill, USA. iris_hall@unc.edu']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Pharmazie,Die Pharmazie,9800766,"['0 (Antineoplastic Agents)', '0 (DNA, Neoplasm)', '0 (Enzyme Inhibitors)', '0 (Semicarbazones)', '0 (Thiosemicarbazones)', '0 (Topoisomerase I Inhibitors)', '3G0H8C9362 (Cobalt)', '789U1901C5 (Copper)', 'DJ1HGI319P (Furaldehyde)']",IM,"['Antineoplastic Agents/*chemical synthesis/pharmacology', 'Cobalt/chemistry', 'Copper/chemistry', 'DNA, Neoplasm/drug effects', 'Drug Screening Assays, Antitumor', 'Enzyme Inhibitors/pharmacology', 'Furaldehyde/analogs & derivatives/chemical synthesis/pharmacology', 'Humans', 'Semicarbazones/chemical synthesis/pharmacology', 'Spectrophotometry, Ultraviolet', 'Thiosemicarbazones/chemical synthesis/pharmacology', 'Topoisomerase I Inhibitors', 'Tumor Cells, Cultured']",,2001/02/24 12:00,2001/03/03 10:01,['2001/02/24 12:00'],"['2001/02/24 12:00 [pubmed]', '2001/03/03 10:01 [medline]', '2001/02/24 12:00 [entrez]']",ppublish,Pharmazie. 2000 Dec;55(12):937-41.,,,,,,,,,,,,,,
11189777,NLM,MEDLINE,20010315,20061115,0034-3536 (Print) 0034-3536 (Linking),39,6,2000 Dec,[Promoting social integration as the responsibility of rehabilitation in pediatric oncology].,324-37,Survival rates of most paediatric cancers are steadily improving as a result of improvements in diagnostics and treatment protocols. Long-term survival renders physical late effects and psychosocial adjustment problems ever more visible. The focus of this article is on school re-entry and social reintegration as core tasks of comprehensive rehabilitation efforts. So far only few systematic programmes exist in Germany to facilitate school re-entry and social integration of paediatric cancer survivors. The article outlines the prerequisites for such interventions and provides examples of re-entry programmes.,"['Kroll, T', 'Petermann, F']","['Kroll T', 'Petermann F']","['National Rehabilitation Hospital, Center for Health and Disability Research, Washington, D.C., USA. txk6@mhg.edu']",['ger'],"['English Abstract', 'Journal Article', 'Review']",Germany,Rehabilitation (Stuttg),Die Rehabilitation,0401273,,IM,"['Adaptation, Psychological', 'Adolescent', 'Child', 'Combined Modality Therapy', 'Female', 'Humans', 'Leukemia/psychology/*rehabilitation', 'Male', 'Neoplasms/psychology/*rehabilitation', 'Patient Care Team', 'Peer Group', 'Sick Role', '*Social Adjustment', 'Socioenvironmental Therapy']",87,2001/02/24 12:00,2001/03/17 10:01,['2001/02/24 12:00'],"['2001/02/24 12:00 [pubmed]', '2001/03/17 10:01 [medline]', '2001/02/24 12:00 [entrez]']",ppublish,Rehabilitation (Stuttg). 2000 Dec;39(6):324-37. doi: 10.1055/s-2000-8940.,Soziale Integrationsforderung als Aufgabe der Rehabilitation in der padiatrischen Onkologie.,['10.1055/s-2000-8940 [doi]'],,,,,,,,,,,,
11189521,NLM,MEDLINE,20010222,20071115,0253-2727 (Print) 0253-2727 (Linking),19,7,1998 Jul,[DNA sequencing of variable regions of anti-idiotypic monoclonal antibody SM6 to B-CLL].,367-70,"OBJECTIVE: To analyze the variable region sequences of an anti-idiotypic monoclonal antibody to human chronic B cell leukemia (B-CLL). METHODS: The variable region sequences of light and heavy chains (VL, VH) of anti-idiotypic McAb SM6 to B-CLL were analyzed by their cDNA cloning and sequencing. Total RNA was extracted from a hybridoma cell line producing SM6. The VH and VL genes were amplified by RT-PCR with specific primers. The PCR products were cloned into pGEM-T vectors, then transfected into JM109. RESULTS AND CONCLUSION: It was confirmed by DNASIS7 sequence analysis that the full-length and potentially functional genes were successfully cloned. The VH gene expressed in SM6 belongs to Q52, the JH region using the JH3. The VL gene belongs to VK19, the JK region using JK2.","['Su, N', 'Yang, J', 'Wang, X']","['Su N', 'Yang J', 'Wang X']","['Department of Immunology, Tongji Medical University, Wuhan 430030.']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,"['0 (Antibodies, Anti-Idiotypic)', '0 (Antibodies, Monoclonal)', '0 (Antibodies, Neoplasm)', '0 (Immunoglobulin Variable Region)']",IM,"['Antibodies, Anti-Idiotypic/*genetics', 'Antibodies, Monoclonal', 'Antibodies, Neoplasm/*genetics', 'Base Sequence', 'Humans', 'Immunoglobulin Variable Region/*genetics', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics/immunology', 'Molecular Sequence Data', 'Sequence Analysis, DNA']",,2001/02/24 12:00,2001/03/03 10:01,['2001/02/24 12:00'],"['2001/02/24 12:00 [pubmed]', '2001/03/03 10:01 [medline]', '2001/02/24 12:00 [entrez]']",ppublish,Zhonghua Xue Ye Xue Za Zhi. 1998 Jul;19(7):367-70.,,,,,,,,,,,,,,
11189520,NLM,MEDLINE,20010222,20071115,0253-2727 (Print) 0253-2727 (Linking),19,7,1998 Jul,[Application of comparative genomic hybridization to hyperdiploid acute lymphoblastic leukemia].,363-6,"OBJECTIVE: To evaluate the implication of comparative genomic hybridization (CGH) in leukemia study. METHODS: Genomic abnormalities in 14 ALL patients were assayed by CGH, and the results were compared with those of conventional karyotype analysis. RESULTS AND CONCLUSION: Regional and/or whole chromosome over-representation was found to be more frequent than under-representation (43 gains versus 6 losses), the most common gains involved being chromosomes 21 and X. Comparison between the results of CGH and conventional R-banding analysis showed that: 1. In 2 cases with trisomy, both the methods gave identical results. 2. In 8 cases, both the results were consistent excepting for minor discrepancies. 3. In 3 cases, including 2 each with triploidy and tetraploidy respectively, and one with chimeric karyotype of normal/+22, the results from the two methods were discrepant.","['Cao, Q', 'Wu, Q', 'Su, X']","['Cao Q', 'Wu Q', 'Su X']","['Institute of Hematology, Ruijin Hospital, Shanghai Second Medical University, Shanghai 200025.']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,,IM,"['Adolescent', 'Adult', 'Child', 'Child, Preschool', 'Chromosome Banding', 'Diploidy', 'Female', 'Humans', 'Male', 'Nucleic Acid Hybridization', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics']",,2001/02/24 12:00,2001/03/03 10:01,['2001/02/24 12:00'],"['2001/02/24 12:00 [pubmed]', '2001/03/03 10:01 [medline]', '2001/02/24 12:00 [entrez]']",ppublish,Zhonghua Xue Ye Xue Za Zhi. 1998 Jul;19(7):363-6.,,,,,,,,,,,,,,
11189519,NLM,MEDLINE,20010222,20071115,0253-2727 (Print) 0253-2727 (Linking),19,7,1998 Jul,[Aberrant expression of immunoglobulin germline gene C mu in leukemias].,359-62,"OBJECTIVE: To investigate the significance of immunoglobulin germline gene C mu expression in leukemias. METHODS: Immunoglobulin germline gene C mu transcripts in 63 bone marrow samples from 59 leukemia patients were examined by RT-PCR. RESULTS: Germline C mu transcripts could be identified in 17 of 26 AML, 9 of 12 ALL, 4 CML-BC and 2 CLL patients. HLA-DR was expressed in 80% C mu(+) patients and in 92.9% C mu(+) AML patients. In 10 normal bone marrow or peripheral blood samples C mu transcripts were undetectable. CONCLUSION: Leukemogenesis in most acute leukemia may originate from the common progenitors of early B-lymphoid and myeloid cells.","['Guo, M', 'Dong, L', 'Huang, S']","['Guo M', 'Dong L', 'Huang S']","['Beijing North Taiping Road Hospital, Beijing 100039.']",['chi'],"['English Abstract', 'Journal Article']",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,['0 (Immunoglobulin mu-Chains)'],IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Immunoglobulin mu-Chains/biosynthesis/*genetics', 'Leukemia, Myeloid/*genetics/*immunology', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics/*immunology']",,2001/02/24 12:00,2001/03/03 10:01,['2001/02/24 12:00'],"['2001/02/24 12:00 [pubmed]', '2001/03/03 10:01 [medline]', '2001/02/24 12:00 [entrez]']",ppublish,Zhonghua Xue Ye Xue Za Zhi. 1998 Jul;19(7):359-62.,,,,,,,,,,,,,,
11189518,NLM,MEDLINE,20010222,20181130,0253-2727 (Print) 0253-2727 (Linking),19,7,1998 Jul,[Secretive activity of tumor necrosis factor alpha (TNF alpha) of marrow stromal cells in acute leukemia and its clinical significance].,356-8,OBJECTIVE: To investigate the TNF alpha secreting activity of marrow stromal cells in acute leukemia. METHODS: TNF alpha in vitro culture supernate of marrow stromal cells from 20 acute leukemia patients and 10 normal controls was detected. TNF alpha activities in patients and control serum and in patients leukemic cell culture supernate were also detected. RESULTS: TNF alpha activity in leukemic stromal cell supernate was significantly higher than that of the control (P < 0.05). Some AML cell could spontaneously secret TNF alpha. Serum TNF alpha activity of the patient group is also evidently higher than that of the control group (P < 0.001). CONCLUSION: There were qualitative and quantitative defects of marrow stromal cells in acute leukemia patients. Increased secretion of TNF alpha is probably an important factor leading to the abnormal proliferation of acute leukemia cells.,"['Hou, L', 'Zhai, M', 'Lu, X']","['Hou L', 'Zhai M', 'Lu X']","['Laboratory of Hematology, First Affiliated Hospital, China Medical University, Shenyang 110001.']",['chi'],['Journal Article'],China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,['0 (Tumor Necrosis Factor-alpha)'],IM,"['Adolescent', 'Adult', 'Aged', 'Bone Marrow/metabolism', 'Cells, Cultured', 'Female', 'Humans', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*metabolism', 'Stromal Cells/metabolism', 'Tumor Necrosis Factor-alpha/*metabolism']",,2001/02/24 12:00,2001/03/03 10:01,['2001/02/24 12:00'],"['2001/02/24 12:00 [pubmed]', '2001/03/03 10:01 [medline]', '2001/02/24 12:00 [entrez]']",ppublish,Zhonghua Xue Ye Xue Za Zhi. 1998 Jul;19(7):356-8.,,,,,,,,,,,,,,
11189517,NLM,MEDLINE,20010222,20071115,0253-2727 (Print) 0253-2727 (Linking),19,7,1998 Jul,[Detection of TCR gamma gene in acute lymphoblastic leukemia after remission and its clinical significance].,353-5,"OBJECTIVES: To investigate the quantitative evaluation of chemotherapy efficiency in patients with acute leukemia and its clinical significance. METHODS: Clonal rearrangement of T-cell receptor gamma gene in ALL was detected quantitatively by using competitive PCR. RESULTS: One handred and fifty-eight samples were collected from 54 childhood ALL. The median follow-up duration was 33.5 months. At remission, the amount of leukemic cells in 36 cases was less than 1 x 10(-5), and in 18, was (354 +/- 327) x 10(-5). The efficiency of induction therapy was related significantly to the amount of the detectable residual leukemic cells in the early remission phase and to clinical relapse. In some patients in remission, the amount of leukemic cells persistently under 1 x 10(-5) without clinical relapse. CONCLUSION: Quantitative evaluation of the chemotherapy efficiency is helpful for individualized treatment.","['Liu, L', 'Sun, J', 'Yin, H']","['Liu L', 'Sun J', 'Yin H']","[""Pediatric Department of People's Hospital, Beijing Medical University, Beijing 100044.""]",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,,IM,"['Child', 'Female', 'Follow-Up Studies', '*Gene Rearrangement, gamma-Chain T-Cell Antigen Receptor', '*Genes, T-Cell Receptor gamma', 'Humans', 'Male', 'Polymerase Chain Reaction', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/*genetics', 'Remission Induction']",,2001/02/24 12:00,2001/03/03 10:01,['2001/02/24 12:00'],"['2001/02/24 12:00 [pubmed]', '2001/03/03 10:01 [medline]', '2001/02/24 12:00 [entrez]']",ppublish,Zhonghua Xue Ye Xue Za Zhi. 1998 Jul;19(7):353-5.,,,,,,,,,,,,,,
11189516,NLM,MEDLINE,20010222,20161124,0253-2727 (Print) 0253-2727 (Linking),19,7,1998 Jul,[Study on MDM2 and p53 gene proteins expression on acute leukemic cells and its correlation with chemotherapeutic efficacy].,350-2,"OBJECTIVE: To explore MDM2 and p53 gene proteins expression on human acute leukemia (AL) cells and their predictive value for chemotherapeutic efficacy. METHODS: MDM2 and p53 gene proteins expression was assayed by immunohistochemical staining. RESULTS: 1. The expression rates of MDM2 and p53 gene proteins were 71.7% and 21.7% respectively in 46 AL patients. The rates were slightly higher in relapse/refractory AL than in previously untreated AL; there was no difference among AL subtypes. 2. MDM2+ and p53- accounted for 67.4%, while the uniform expression of MDM2 and p53 15.2% (P < 0.01). 3. The marrow complete remission (CR) rate (69.2%) of MDM2- patients was higher than that (33.3%) of MDM2+ patients (P < 0.05). 4. Two of 4 patients with MDM2+++ gained CR and then MDM2 turned negative. CONCLUSION: MDM2 gene protein was negatively related with p53 gene protein in AL cells. Different expression patterns of the two gene proteins could influence the therapeutic efficacy, and combined detection of the two may be used as a prognostic parameter for AL patients.","['Lin, M', 'Liu, Y', 'Jin, J']","['Lin M', 'Liu Y', 'Jin J']","['First Affiliated Hospital, Zhejiang Medical University, Hangzhou 310003.']",['chi'],['Journal Article'],China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,"['0 (Nuclear Proteins)', '0 (Proto-Oncogene Proteins)', '0 (Tumor Suppressor Protein p53)', 'EC 2.3.2.27 (MDM2 protein, human)', 'EC 2.3.2.27 (Proto-Oncogene Proteins c-mdm2)']",IM,"['Adolescent', 'Adult', 'Female', 'Gene Expression', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy/*genetics', 'Male', 'Middle Aged', '*Nuclear Proteins', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/*genetics/metabolism', 'Proto-Oncogene Proteins/*biosynthesis', 'Proto-Oncogene Proteins c-mdm2', 'Tumor Suppressor Protein p53/*biosynthesis']",,2001/02/24 12:00,2001/03/03 10:01,['2001/02/24 12:00'],"['2001/02/24 12:00 [pubmed]', '2001/03/03 10:01 [medline]', '2001/02/24 12:00 [entrez]']",ppublish,Zhonghua Xue Ye Xue Za Zhi. 1998 Jul;19(7):350-2.,,,,,,,,,,,,,,
11189515,NLM,MEDLINE,20010222,20131121,0253-2727 (Print) 0253-2727 (Linking),19,7,1998 Jul,[Expression of interleukin-8 and its receptor in acute promyelocytic leukemia under all-trans retinoic acid treatment].,346-9,"OBJECTIVE: To evaluate the clinical significance of expression of interleukin-(IL-8) and its type A receptor(IL-8RA) in acute promyelocytic leukemia(APL) patients under all trans-retinoic acid(ATRA) induction. METHODS: Serum IL-8 level of 18 APL patients were dynamically studied(ELISA). Fresh APL cells from 3 patients were cultured with ATRA(10(-6) mmol/L). Supernatant IL-8 level and IL-8RA expression on APL cells were measured by FACS. RESULTS: In vitro, IL-8 concentrations decreased 72 hours after incubation, while IL-8RA increased. In vivo, IL-8 increased more rapidly and markedly than temperature and WBC counts did before retinoic acid syndrome(RA-S) occurred. Serum IL-6 and IL-8 levels significantly increased when the patients suffered infection, and IL-8 increased even before fever. Both IL-8 and D-dimer increased while DIC progressed. CONCLUSION: ATRA inhibited IL-8 secretion of APL cells while increased the expression of IL-8RA. Monitoring serum IL-8 concentrations could predict the development of RA-S and infection. Increase of both IL-8 and D-dimer concentrations suggested DIC progression.","['Zeng, H', 'Zhang, X', 'Tao, R']","['Zeng H', 'Zhang X', 'Tao R']","['Department of Hematology, First Affiliated Hospital, Suzhou Medical College, Suzhou 215006.']",['chi'],"['English Abstract', 'Journal Article']",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,"['0 (Antineoplastic Agents)', '0 (Interleukin-8)', '0 (Receptors, Interleukin-8A)', '5688UTC01R (Tretinoin)']",IM,"['Adolescent', 'Adult', 'Antineoplastic Agents/*therapeutic use', 'Female', 'Humans', 'Interleukin-8/*biosynthesis', 'Leukemia, Promyelocytic, Acute/*drug therapy/metabolism', 'Male', 'Middle Aged', 'Receptors, Interleukin-8A/biosynthesis', 'Tretinoin/*therapeutic use']",,2001/02/24 12:00,2001/03/03 10:01,['2001/02/24 12:00'],"['2001/02/24 12:00 [pubmed]', '2001/03/03 10:01 [medline]', '2001/02/24 12:00 [entrez]']",ppublish,Zhonghua Xue Ye Xue Za Zhi. 1998 Jul;19(7):346-9.,,,,,,,,,,,,,,
