PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,CIN,TT,RF,GR,CI,SI,DEP,CN,CON,MID,EIN,RIN
11101597,NLM,MEDLINE,20010103,20200724,0095-1137 (Print) 0095-1137 (Linking),38,12,2000 Dec,Acrophialophora fusispora brain abscess in a child with acute lymphoblastic leukemia: review of cases and taxonomy.,4569-76,"A 12-year-old girl with acute lymphoblastic leukemia was referred to King Faisal Specialist Hospital and Research Center. The diagnosis without central nervous system (CNS) involvement was confirmed on admission, and chemotherapy was initiated according to the Children Cancer Group (CCG) 1882 protocol for high-risk-group leukemia. During neutropenia amphotericin B (AMB) (1 mg/kg of body weight/day) was initiated for presumed fungal infection when a computed tomography (CT) scan of the chest revealed multiple nodular densities. After 3 weeks of AMB therapy, a follow-up chest CT revealed progression of the pulmonary nodules. The patient subsequently suffered a seizure, and a CT scan of the brain was consistent with infarction or hemorrhage. Because of progression of pulmonary lesions while receiving AMB, antifungal therapy was changed to liposomal AMB (LAMB) (6 mg/kg/day). Despite 26 days of LAMB, the patient continued to have intermittent fever, and CT and magnetic resonance imaging of the brain demonstrated findings consistent with a brain abscess. Aspiration of brain abscess was performed and the Gomori methenamine silver stain was positive for hyphal elements. Culture of this material grew Acrophialophora fusispora. Lung biopsy showed necrotizing fungal pneumonia with negative culture. The dosage of LAMB was increased, and itraconazole (ITRA) was added; subsequently LAMB was discontinued and therapy was continued with ITRA alone. The patient demonstrated clinical and radiological improvement. In vitro, the isolate was susceptible to low concentrations of AMB and ITRA. A. fusispora is a thermotolerant, fast-growing fungus with neurotropic potential. We report the first case of human infection involving the CNS. Acrophialophora resembles Paecilomyces but differs in having colonies that become dark and in the development of phialides along the sides or at the tips of echinulate brown conidiophores. Conidia are borne in long chains and are smooth or ornamented with fine-to-coarse echinulations, sometimes in spiral bands. The taxonomy of the genus Acrophialophora is reviewed, and Acrophialophora nainiana and Acrophialophora levis are considered as synonyms of A. fusispora.","['Al-Mohsen, I Z', 'Sutton, D A', 'Sigler, L', 'Almodovar, E', 'Mahgoub, N', 'Frayha, H', 'Al-Hajjar, S', 'Rinaldi, M G', 'Walsh, T J']","['Al-Mohsen IZ', 'Sutton DA', 'Sigler L', 'Almodovar E', 'Mahgoub N', 'Frayha H', 'Al-Hajjar S', 'Rinaldi MG', 'Walsh TJ']","['King Faisal Specialist Hospital & Research Center, Riyadh, Saudi Arabia. imohsen@kfshrc.edu.sa']",['eng'],"['Case Reports', 'Journal Article']",United States,J Clin Microbiol,Journal of clinical microbiology,7505564,IM,"['Brain Abscess/*microbiology/pathology', 'Child', 'Female', 'Humans', 'Microbial Sensitivity Tests', 'Mitosporic Fungi/*classification/drug effects/isolation & purification', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*microbiology/pathology']",PMC87638,2000/12/02 11:00,2001/02/28 10:01,['2000/12/02 11:00'],"['2000/12/02 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/12/02 11:00 [entrez]']",['10.1128/JCM.38.12.4569-4576.2000 [doi]'],ppublish,J Clin Microbiol. 2000 Dec;38(12):4569-76. doi: 10.1128/JCM.38.12.4569-4576.2000.,,,,,,,,,,,,,
11101551,NLM,MEDLINE,20010201,20190513,0300-5771 (Print) 0300-5771 (Linking),29,6,2000 Dec,Human T-cell lymphotropic virus testing of blood donors in Norway: a cost-effect model.,1076-84,"BACKGROUND: Human T-cell lymphotropic virus type I and II (HTLV-I and II) are human retroviruses that can be transmitted by transfusion of whole blood. An HTLV-I infection is associated with adult T-cell leukaemia (ATL) and with tropical spastic paraparesis (TSP). Antibody tests from 5.5 million European blood donors have shown that the HTLV prevalence is low, ranging from 0 to 0.02%. This paper examines costs and effects associated with the intervention of testing all new blood donors for HTLV. METHODS: A mathematical model was used to calculate the number of cases prevented by the intervention. For a given prevalence of HTLV in the blood donor population, the model calculates the number of recipients infected by transfusion, and the number of partners and offspring that will in turn be infected. The model then calculates the number of subjects with disease due to HTLV-I infection and the number of deaths from disease. From these numbers the measures of cost and effect are calculated. RESULTS: Testing all new blood donors for HTLV is calculated to cost US$ 9.2 million per life saved, or US$ 420,000 per quality adjusted life year gained by the intervention, when the HTLV prevalence among donors is 1 per 100,000. When the prevalence among donors is 10 per 100,000 the intervention will cost US$ 0.9 million per life saved, or US$ 41,000 per quality adjusted life year gained. The same analysis shows that testing blood donors for human immunodeficiency virus (HIV) saves money when the HIV prevalence among donors is above 0.7 per 100,000. CONCLUSION: For Norway, studies suggest a willingness to pay to save a statistical life of approximately US$ 1.2 million. The costs fall under this value when the number of infected persons is > or = 8 per 100,000 donors. The results are uncertain because of the uncertainty in HTLV infection and disease parameters.","['Stigum, H', 'Magnus, P', 'Samdal, H H', 'Nord, E']","['Stigum H', 'Magnus P', 'Samdal HH', 'Nord E']","['Department of Population Health Sciences, National Institute of Public Health, Oslo, Norway. Hein.Stigum@Folkehelsa.no']",['eng'],['Journal Article'],England,Int J Epidemiol,International journal of epidemiology,7802871,IM,"['*Blood Donors', 'Cost-Benefit Analysis', 'HIV Seroprevalence', 'HTLV-I Infections/*diagnosis/economics/*epidemiology/transmission', 'HTLV-II Infections/*diagnosis/economics/*epidemiology/transmission', 'Humans', '*Models, Statistical', 'Norway/epidemiology', 'Quality-Adjusted Life Years', 'Sensitivity and Specificity', 'Seroepidemiologic Studies', 'Transfusion Reaction']",,2000/12/02 11:00,2001/02/28 10:01,['2000/12/02 11:00'],"['2000/12/02 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/12/02 11:00 [entrez]']",['10.1093/ije/29.6.1076 [doi]'],ppublish,Int J Epidemiol. 2000 Dec;29(6):1076-84. doi: 10.1093/ije/29.6.1076.,,,,,,,,,,,,,
11101356,NLM,MEDLINE,20010823,20190710,0022-2623 (Print) 0022-2623 (Linking),43,24,2000 Nov 30,"5-Substituted N(4)-hydroxy-2'-deoxycytidines and their 5'-monophosphates: synthesis, conformation, interaction with tumor thymidylate synthase, and in vitro antitumor activity.",4647-56,"Convenient procedures are described for the synthesis of 5-substituted N(4)-hydroxy-2'-deoxycytidines 5a,b,d-h via transformation of the respective 5-substituted 3', 5'-di-O-acetyl-2'-deoxyuridines 1a-c,e-h. These procedures involved site-specific triazolation or N-methylimidazolation at position C(4), followed by hydroxylamination and deblocking with MeOH-NH(3). Nucleosides 5a,b,d-h were selectively converted to the corresponding 5'-monophosphates 6a,b,d-h with the aid of the wheat shoot phosphotransferase system. Conformation of each nucleoside in D(2)O solution, deduced from (1)H NMR spectra and confirmed by molecular mechanics calculations, showed the pentose ring to exist predominantly in the conformation S (C-2'-endo) and the N(4)-OH group as the cis rotamer. Cell growth inhibition was studied with two L5178Y murine leukemia cell lines, parental and 5-fluoro-2'-deoxyuridine (FdUrd)-resistant, the latter 70-fold less sensitive toward FdUrd than the former. With FdUrd-resistant L5178Y cells, 5-fluoro-N(4)-hydroxy-2'-deoxycytidine (5e) caused almost 3-fold stronger growth inhibition than FdUrd; 5e was only some 3-fold weaker growth inhibitor of the resistant cells than of the parental cells. Thymidylate synthase inhibition was studied with two forms of the enzyme differing in sensitivities toward 5-fluoro-2'-deoxyuridine 5'-monophosphate (FdUMP), isolated from parental and FdUrd-resistant L1210 cell lines. All N(4)-hydroxy-dCMP (6a,b,d-h) and dUMP analogues studied were competitive vs dUMP inhibitors of the enzyme. Analogues 6b,d-h and 5-hydroxymethyl-dUMP, similar to N(4)-hydroxy-dCMP (6a) and FdUMP, were also N(5), N(10)-methylenetetrahydrofolate-dependent, hence mechanism-based, slow-binding inhibitors. 5-Chloro-dUMP, 5-bromo-dUMP, and 5-iodo-dUMP, similar to dTMP, did not cause a time-dependent inactivation of the enzyme. Instead, they behaved as classic inhibitors of tritium release from [5-(3)H]dUMP. 5-Bromo-dUMP and 5-iodo-dUMP showed substrate activity independent of N(5), N(10)-methylenetetrahydrofolate in the thymidylate synthase-catalyzed dehalogenation reaction. The =N-OH substituent of the pyrimidine C(4) prevented the enzyme-catalyzed release from the C(5) of Br(-) and I(-) (the same shown previously for H(+)). While FdUMP and 6a showed a higher affinity and greater inactivation power with the parental cell than FdUrd-resistant cell enzyme, an opposite relationship could be seen with 5-hydroxymethyl-dUMP.","['Felczak, K', 'Miazga, A', 'Poznanski, J', 'Bretner, M', 'Kulikowski, T', 'Dzik, J M', 'Golos, B', 'Zielinski, Z', 'Ciesla, J', 'Rode, W']","['Felczak K', 'Miazga A', 'Poznanski J', 'Bretner M', 'Kulikowski T', 'Dzik JM', 'Golos B', 'Zielinski Z', 'Ciesla J', 'Rode W']","['Institute of Biochemistry and Biophysics, Polish Academy of Sciences, 5a Pawinskiego Street, 02-106 Warszawa, Poland.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,IM,"['Animals', 'Antineoplastic Agents/*chemical synthesis/chemistry/pharmacology', 'Bromodeoxyuridine/chemistry', 'Catalysis', 'Cell Division/drug effects', 'Deoxycytidine/analogs & derivatives/*chemical synthesis/chemistry/pharmacology', 'Deoxycytidine Monophosphate/analogs & derivatives/*chemical synthesis/chemistry/pharmacology', 'Drug Resistance, Neoplasm', 'Drug Screening Assays, Antitumor', 'Enzyme Inhibitors/*chemical synthesis/chemistry/pharmacology', 'Idoxuridine/chemistry', 'Kinetics', 'Mice', 'Molecular Conformation', 'Stereoisomerism', 'Structure-Activity Relationship', 'Thymidylate Synthase/*antagonists & inhibitors/chemistry', 'Tumor Cells, Cultured']",,2000/12/02 00:00,2001/08/24 10:01,['2000/12/02 00:00'],"['2000/12/02 00:00 [pubmed]', '2001/08/24 10:01 [medline]', '2000/12/02 00:00 [entrez]']","['jm000975u [pii]', '10.1021/jm000975u [doi]']",ppublish,J Med Chem. 2000 Nov 30;43(24):4647-56. doi: 10.1021/jm000975u.,"[""0 (5-fluoro-N(4)-hydroxy-2'-deoxycytidine)"", '0 (Antineoplastic Agents)', '0 (Enzyme Inhibitors)', '0W860991D6 (Deoxycytidine)', '1032-65-1 (Deoxycytidine Monophosphate)', '114333-22-1 (N(4)-hydroxy-5-fluorodeoxycytidine monophosphate)', 'EC 2.1.1.45 (Thymidylate Synthase)', 'G34N38R2N1 (Bromodeoxyuridine)', 'LGP81V5245 (Idoxuridine)']",,,,,,,,,,,,
11101010,NLM,MEDLINE,20010125,20200315,0960-7722 (Print) 0960-7722 (Linking),33,6,2000 Dec,Increased cellular hypoxia and reduced proliferation of both normal and leukaemic cells during progression of acute myeloid leukaemia in rats.,381-95,"The microenvironmental changes in the bone marrow, spleen and liver during progression of the transplantable promyelocytic leukaemia in the Brown Norwegian rat (BNML) have been studied. We used flow cytometry to estimate cellular hypoxia and proliferation based on in vivo pulse-labelling with a mixture of 2-nitroimidazole linked to theophylline (NITP) and bromodeoxyuridine (BrdUrd). The leukaemic cells were identified with the RM124 antibody. In rats inoculated with leukaemic cells the fraction of RM124+ cells was significantly increased from day 20 onwards in the spleen and from day 27 in the bone marrow and liver, reaching a level of 65-87% in these organs at day 32. At day 32, the NITP+ fraction of RM124+ cells had increased significantly in the bone marrow and spleen to 88% and 90%, respectively. The corresponding fractions of NITP+ normal cells reached 63% and 65%, respectively. From day 13 to day 32, the DNA-synthesizing (BrdUrd+) fraction of RM124+ cells in the bone marrow decreased significantly from 52% to 25%, and of normal cells from about 20% to 6%. In the bone marrow and spleen at day 27 and 32, the S-phase and G2/M-phase fractions according to DNA content were higher for the NITP+ than for the NITP- cells. This could partly be explained by an impaired cell cycle progression due to hypoxia. Nevertheless, we found indications of leukaemic cells that were simultaneously labelled with NITP and BrdUrd, in the bone marrow and spleen. These latter findings suggest that in contrast to normal cells some of the leukaemic cells can proliferate even during hypoxia, and this subpopulation may consequently renew and expand the leukaemic cell load.","['Jensen, P O', 'Mortensen, B T', 'Hodgkiss, R J', 'Iversen, P O', 'Christensen, I J', 'Helledie, N', 'Larsen, J K']","['Jensen PO', 'Mortensen BT', 'Hodgkiss RJ', 'Iversen PO', 'Christensen IJ', 'Helledie N', 'Larsen JK']","['Department L, Finsen Center, Rigshospitalet, Copenhagen, Denmark.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Cell Prolif,Cell proliferation,9105195,IM,"['Acute Disease', 'Animals', 'Cell Division', 'Cell Hypoxia', 'Disease Models, Animal', 'Disease Progression', 'Leukemia, Myeloid/metabolism/*physiopathology', 'Oxygen/*metabolism', 'Rats', 'Rats, Inbred BN', 'Tumor Cells, Cultured']",PMC6496496,2000/12/02 11:00,2001/02/28 10:01,['2000/12/02 11:00'],"['2000/12/02 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/12/02 11:00 [entrez]']",['10.1046/j.1365-2184.2000.00183.x [doi]'],ppublish,Cell Prolif. 2000 Dec;33(6):381-95. doi: 10.1046/j.1365-2184.2000.00183.x.,['S88TT14065 (Oxygen)'],,,,,,,,,,,,
11100752,NLM,MEDLINE,20001214,20190921,0939-5555 (Print) 0939-5555 (Linking),79,10,2000 Oct,Sweet's syndrome and accelerated phase of chronic myelogenous leukemia.,585-7,"Sweet's syndrome is a neutrophilic dermatosis characterized clinically by raised, erythematous, tender lesions on the face, neck, upper thorax and extremities. Several diseases have been associated with this entity. We report a case of Sweet's syndrome associated with chronic myelogenous leukemia: a 48-year-old woman who developed recurrent skin lesions 3 years after the diagnosis of chronic myelogenous leukemia. Progression to an accelerated phase of the disease was detected 3 months after the beginning of the skin lesions. This case shows the convenience of evaluation and closer follow-up of patients with chronic myelogenous leukemia who develop skin lesions, especially if these lesions are recurrent.","['Fernandez-Jimenez, M C', 'Herraez, R', 'Ojeda, E', 'Hernandez-Navarro, F']","['Fernandez-Jimenez MC', 'Herraez R', 'Ojeda E', 'Hernandez-Navarro F']",['fdezjnez@teleline.es'],['eng'],"['Case Reports', 'Journal Article']",Germany,Ann Hematol,Annals of hematology,9107334,IM,"['Biopsy', 'Female', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*complications/*pathology', 'Middle Aged', 'Skin/pathology', 'Sweet Syndrome/*complications']",,2000/12/02 11:00,2001/02/28 10:01,['2000/12/02 11:00'],"['2000/12/02 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/12/02 11:00 [entrez]']",['10.1007/s002770000191 [doi]'],ppublish,Ann Hematol. 2000 Oct;79(10):585-7. doi: 10.1007/s002770000191.,,['Ann Hematol. 2002 Mar;81(3):178. PMID: 11904748'],,,,,,,,,,,
11100744,NLM,MEDLINE,20001214,20190921,0939-5555 (Print) 0939-5555 (Linking),79,10,2000 Oct,High-dose therapy with peripheral blood stem cell transplantation for patients with relapsed or refractory Hodgkin's disease: long-term outcome and prognostic factors.,547-55,"From March 1986 to March 1998, 82 patients with relapsed or refractory Hodgkin's disease underwent high-dose chemotherapy (HDCT) with peripheral blood stem cell (PBSC) transplantation in our center. This is a retrospective analysis of the long-term clinical outcome. There were 52 males and 30 females with a median age of 32 years (range 18-59 years). Prior to transplantation, 36 patients were in complete remission (CR), 34 in partial remission (PR), and 12 had refractory disease after salvage therapy. For HDCT, 78 patients were treated with CBV (cyclophosphamide, 6.0-6.8 g/ m2; etoposide, 1.0-1.6 g/m2; carmustine, 0.45-0.8 g/m2), while four patients received different regimens. Probability of freedom from progression (FFP), overall survival (OS), and event-free survival (EFS) at 5 years of the entire group was 63%, 61%, and 54%, respectively. Early mortality rate ( < or = 100 days) declined from 17% to 6% after 1992. Five patients died of late transplant-related complications (> 100 days), including secondary lymphoma and leukemia in two patients. None of the refractory patients survived beyond 3.5 years. Multivariate analyses identified extranodal sites of disease at relapse and refractory disease status prior to transplantation as significant prognostic factors for FFP, EFS, and OS. As we have shown in our study, remarkable progress was achieved in reducing early morbidity and mortality over time, but this was associated with only a slight, not significant improvement of long-term outcome (OS 66% vs 57% at 5 years for patients undergoing PBSC transplantation before and after 1992, P = 0.26). Although the results as a whole are encouraging for chemosensitive patients, new therapeutic strategies are needed to reduce toxicity and improve the clinical outcome of patients, especially of those with a less favorable prognosis.","['Neben, K', 'Hohaus, S', 'Goldschmidt, H', 'Egerer, G', 'Voso, M T', 'Ho, A D', 'Haas, R']","['Neben K', 'Hohaus S', 'Goldschmidt H', 'Egerer G', 'Voso MT', 'Ho AD', 'Haas R']","['Department of Internal Medicine V, University of Heidelberg, Germany.']",['eng'],['Journal Article'],Germany,Ann Hematol,Annals of hematology,9107334,IM,"['Adolescent', 'Adult', 'Disease-Free Survival', 'Dose-Response Relationship, Drug', 'Female', '*Hematopoietic Stem Cell Transplantation/adverse effects', 'Hodgkin Disease/mortality/*surgery', 'Humans', 'Male', 'Middle Aged', 'Prognosis', 'Survival Rate', 'Treatment Outcome']",,2000/12/02 11:00,2001/02/28 10:01,['2000/12/02 11:00'],"['2000/12/02 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/12/02 11:00 [entrez]']",['10.1007/s002770000190 [doi]'],ppublish,Ann Hematol. 2000 Oct;79(10):547-55. doi: 10.1007/s002770000190.,,,,,,,,,,,,,
11100743,NLM,MEDLINE,20001214,20190921,0939-5555 (Print) 0939-5555 (Linking),79,10,2000 Oct,Flow-cytometric detection of minimal residual disease with atypical antigen combinations in patients with de novo acute myeloid leukemia.,543-6,"The immunophenotypic features in adult de novo acute myeloid leukemia (AML) patients at diagnosis using flow cytometry double marker analysis and the detection of minimal residual disease with atypical leukemia-associated antigen combinations during remission were investigated. Fifty adult patients with de novo AML at diagnosis were studied. Bone marrow samples from 21 patients with AML were analyzed upon achievement of complete remission and during continuous complete remission. Ten bone marrow samples of normal donors were also studied. CD34/CD13, CD34/CD33, CD33/CD7, CD33/CD10, CD33/CD19 and CD33/TdT are the leukemia-associated antigen combinations used for the detection of minimal residual disease. The outcome of 19 patients has been evaluated. Of these 19 patients, 10 were found to be in immunophenotypic remission (median follow-up after the study: 837 days, range 620-1343 days). Only one patient in this group has relapsed so far. In the other nine patients residual disease was detected. Seven of these patients developed systemic relapse following a median follow-up time of 86 days after the study (range 34-273 days), one received allogeneic bone marrow transplantation 70 days after the study, and another has been in complete remission and off chemotherapy for 36 months. The presence of cells with atypical antigen combinations identified at diagnosis in certain patients is valuable for monitoring the disease in remission. The persistence of such a population in remission has indicated the impending relapse in this study.","['Plata, E', 'Choremi-Papadopoulou, H', 'Viglis, V', 'Yataganas, X']","['Plata E', 'Choremi-Papadopoulou H', 'Viglis V', 'Yataganas X']","['First Department of Internal Medicine, University of Athens Medical School, Laiko General Hospital, Greece.']",['eng'],['Journal Article'],Germany,Ann Hematol,Annals of hematology,9107334,IM,"['Acute Disease', 'Adult', 'Antigens, Neoplasm/*analysis', '*Flow Cytometry', 'Follow-Up Studies', 'Humans', 'Immunophenotyping', 'Leukemia, Myeloid/*immunology', 'Neoplasm, Residual/*diagnosis/pathology', 'Prognosis']",,2000/12/02 11:00,2001/02/28 10:01,['2000/12/02 11:00'],"['2000/12/02 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/12/02 11:00 [entrez]']",['10.1007/s002770000183 [doi]'],ppublish,Ann Hematol. 2000 Oct;79(10):543-6. doi: 10.1007/s002770000183.,"['0 (Antigens, Neoplasm)']",,,,,,,,,,,,
11100742,NLM,MEDLINE,20001214,20190921,0939-5555 (Print) 0939-5555 (Linking),79,10,2000 Oct,Long-term survival after induction therapy with idarubicin and cytosine arabinoside for de novo acute myeloid leukemia.,533-42,"We treated 153 patients with de novo acute myeloid leukemia (AML) with two induction courses of conventional-dose cytosine arabinoside (ara-C) and idarubicin (AIDA) followed by either a third course of AIDA, high-dose ara-C or bone-marrow transplantation. The complete remission (CR) rate for all patients was 63.4%, with a higher CR rate for patients with a normal (versus unfavorable) karyotype (73.2% vs 52.5%; P=0.038). The probability of overall survival (OS) was 30.7% after 5 years (26.3% after 7 years). Improved OS at 5 years could be observed for patients up to 50 years old versus patients older than 50 years of age (37.6% vs 19.9%; P=0.001) and patients with a normal (versus unfavorable) karyotype (42.9% vs 14.1%; P=0.0016). Disease-free survival (DFS) after 5 years was 33.2% for all 97 CR patients and was significantly better for patients with a normal (versus unfavorable) karyotype (44.3% vs 12.3%; P= 0.003). Multivariate analysis revealed that the age for OS (P < 0.02) and the karyotype for both OS (P<0.03) and DFS (P< 0.05) were independent prognostic factors. In conclusion, AIDA is an effective and well-tolerated induction regimen (even in elderly patients) with a 5-year survival of more than 30% when combined with ara-C-containing postremission therapy. The karyotype is the most powerful prognostic factor for predicting the outcome of patients treated with this protocol.","['Flasshove, M', 'Meusers, P', 'Schutte, J', 'Noppeney, R', 'Beelen, D W', 'Sohrab, S', 'Roggenbuck, U', 'Kemmeries, G', 'Brittinger, G', 'Seeber, S', 'Scheulen, M E']","['Flasshove M', 'Meusers P', 'Schutte J', 'Noppeney R', 'Beelen DW', 'Sohrab S', 'Roggenbuck U', 'Kemmeries G', 'Brittinger G', 'Seeber S', 'Scheulen ME']","['Department of Internal Medicine, University of Essen Medical School, Germany.']",['eng'],['Journal Article'],Germany,Ann Hematol,Annals of hematology,9107334,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Cytarabine/*therapeutic use/toxicity', 'Disease-Free Survival', 'Female', 'Humans', 'Idarubicin/*therapeutic use/toxicity', 'Leukemia, Myeloid/*drug therapy/*mortality', 'Leukemia, Myeloid, Acute/drug therapy/mortality', 'Male', 'Middle Aged', 'Multivariate Analysis', 'Remission Induction', 'Survival Rate']",,2000/12/02 11:00,2001/02/28 10:01,['2000/12/02 11:00'],"['2000/12/02 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/12/02 11:00 [entrez]']",['10.1007/s002770000193 [doi]'],ppublish,Ann Hematol. 2000 Oct;79(10):533-42. doi: 10.1007/s002770000193.,"['04079A1RDZ (Cytarabine)', 'ZRP63D75JW (Idarubicin)']",,,,,,,,,,,,
11100609,NLM,MEDLINE,20010103,20201125,0212-6567 (Print) 0212-6567 (Linking),26,5,2000 Sep 30,[Cardiac tamponade: suspected diagnosis in primary care].,348-9,,"['Cerrada Cerrada, E', 'Barajas Gutierrez, M A', 'Garcia Sanchez, G']","['Cerrada Cerrada E', 'Barajas Gutierrez MA', 'Garcia Sanchez G']",,['spa'],"['Case Reports', 'Letter']",Spain,Aten Primaria,Atencion primaria,9111075,IM,"['Adult', 'Cardiac Tamponade/*diagnosis/diagnostic imaging/*etiology', 'Echocardiography', 'Electrocardiography', 'Female', 'Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications/diagnosis', 'Primary Health Care']",PMC7675808,2000/12/02 11:00,2001/02/28 10:01,['2000/12/02 11:00'],"['2000/12/02 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/12/02 11:00 [entrez]']","['S0212-6567(00)78680-X [pii]', '10.1016/s0212-6567(00)78680-x [doi]']",ppublish,Aten Primaria. 2000 Sep 30;26(5):348-9. doi: 10.1016/s0212-6567(00)78680-x.,,,Taponamiento cardiaco: sospecha diagnostica en atencion primaria.,,,,,,,,,,
11100559,NLM,MEDLINE,20010103,20041117,1120-9135 (Print) 1120-9135 (Linking),12,4 Suppl 2,2000 Jul-Aug,[Surveillance and prevention of invasive candidiasis in oncohematology].,103-9,,"['Vescia, N', 'Chierichini, A', 'Mastroeni, I']","['Vescia N', 'Chierichini A', 'Mastroeni I']","['Ist. di Igiene Universita di Roma La Sapienza, ITBA Milano.']",['ita'],['Journal Article'],Italy,Ann Ig,Annali di igiene : medicina preventiva e di comunita,9002865,IM,"['Candida/isolation & purification', 'Candidiasis/diagnosis/etiology/mortality/*prevention & control', 'Catheterization/adverse effects', 'Cross Infection/mortality/*prevention & control', 'Fungemia/diagnosis/etiology/*prevention & control', 'Hematologic Neoplasms/*complications', 'Humans', 'Leukemia/*complications', 'Neutropenia/complications', 'Opportunistic Infections/diagnosis/*prevention & control', 'Risk Factors']",,2000/12/02 11:00,2001/02/28 10:01,['2000/12/02 11:00'],"['2000/12/02 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/12/02 11:00 [entrez]']",,ppublish,Ann Ig. 2000 Jul-Aug;12(4 Suppl 2):103-9.,,,Sorveglianza e prevenzione delle candidosi invasive in oncoematologia.,,,,,,,,,,
