PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,CIN,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,SI,GR,TT,CI,LID,PMC,CON,EIN,DEP,CN,MID
11007918,NLM,MEDLINE,20001013,20131121,1066-5099 (Print) 1066-5099 (Linking),18,5,2000,New strategies in the treatment of acute myelogenous leukemia: mobilization and transplantation of autologous peripheral blood stem cells in adult patients.,343-51,"During the last decade high-dose Ara-C (HIDAC; single doses of 3 g/m(2)) and autologous stem cell transplantation have been increasingly used as postremission therapy in adult acute myelogenous leukemia (AML). Controlled clinical trials have demonstrated a long-term disease-free survival of 40%-50% for patients treated with at least two courses of HIDAC. Other studies have demonstrated that postremission autologous bone marrow transplantation results in a disease-free survival equal to or better than conventional chemotherapy. However, autotransplantation with mobilized peripheral blood stem cells (PBSC) would now be preferred instead of autologous bone marrow, due to the shorter hematopoietic reconstitution period. The results reviewed in the present article suggest that HIDAC and autologous PBSC transplantation can be combined in the postremission treatment of adult AML, and this combination therapy may also reduce minimal residual disease and the risk of posttransplant relapse. From the available studies it cannot be concluded whether graft purging further reduces the relapse risk. However, the possible advantage of combination therapy with repeated courses of HIDAC and autologous PBSC transplantation needs to be demonstrated in prospective clinical trials before it can be recommended as a part of the routine treatment in AML.","['Bruserud, O', 'Tjonnfjord, G', 'Gjertsen, B T', 'Foss, B', 'Ernst, P']","['Bruserud O', 'Tjonnfjord G', 'Gjertsen BT', 'Foss B', 'Ernst P']","['Division for Hematology, Department of Medicine, Haukeland University Hospital and The University of Bergen, Bergen, Norway. oystein.bruserud@haukeland.no']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Stem Cells,"Stem cells (Dayton, Ohio)",9304532,['04079A1RDZ (Cytarabine)'],IM,['Stem Cells. 2000;18(6):459-60. PMID: 11072036'],"['Adult', 'Clinical Trials as Topic', 'Combined Modality Therapy', 'Cytarabine/therapeutic use', 'Hematopoietic Stem Cell Mobilization/*methods', 'Hematopoietic Stem Cell Transplantation/*methods', 'Humans', 'Leukemia, Myeloid, Acute/*therapy', 'Transplantation, Autologous/*methods']",74,2000/09/29 11:00,2000/10/21 11:01,['2000/09/29 11:00'],"['2000/09/29 11:00 [pubmed]', '2000/10/21 11:01 [medline]', '2000/09/29 11:00 [entrez]']",['10.1634/stemcells.19-1-1 [doi]'],ppublish,Stem Cells. 2000;18(5):343-51. doi: 10.1634/stemcells.19-1-1.,,,,,,,,,,,
11007914,NLM,MEDLINE,20001013,20071115,1066-5099 (Print) 1066-5099 (Linking),18,5,2000,Interrupting the inhibiton of normal hematopoiesis in myelogenous leukemia: a hypothetical approach to therapy.,304-6,,"['Lichtman, M A']",['Lichtman MA'],"['Biochemistry and Biophysics, University of Rochester Medical Center, Rochester, New York 14642, USA. mal@urmc.rochester.edu']",['eng'],['Journal Article'],United States,Stem Cells,"Stem cells (Dayton, Ohio)",9304532,,IM,['Stem Cells. 2000;18(5):iii. PMID: 11007927'],"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Bone Marrow/*pathology', 'Hematopoiesis/*drug effects', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy/pathology/physiopathology']",,2000/09/29 11:00,2000/10/21 11:01,['2000/09/29 11:00'],"['2000/09/29 11:00 [pubmed]', '2000/10/21 11:01 [medline]', '2000/09/29 11:00 [entrez]']",['10.1634/stemcells.18-5-304 [doi]'],ppublish,Stem Cells. 2000;18(5):304-6. doi: 10.1634/stemcells.18-5-304.,,,,,,,,,,,
11007757,NLM,MEDLINE,20001103,20190513,0953-8178 (Print) 0953-8178 (Linking),12,10,2000 Oct,"Identification and characterization of a molecule, BAM11, that associates with the pleckstrin homology domain of mouse Btk.",1397-408,"Bruton's tyrosine kinase (Btk) is required for normal B cell development and signal transduction through cell surface molecules, and its defects lead to X-linked immune deficiency in mice and X-linked agammaglobulinemia in humans. In this report, we will describe the identification and characterization of a molecule, BAM11, which binds to the pleckstrin homology domain of Btk. A sequence homology search revealed that BAM11 has 89% homology, at the amino acid level, to human LTG19/ENL, that was originally identified as one of the fusion partners involved in chromosomal translocations of 11q23, MLL/ALL-1/HRX, in leukemia cells. Deletion mutants demonstrated that the region of BAM11 required for binding to Btk was localized between amino acid residues 240 and 256. Forced expression of a truncated form of BAM11 (amino acids 246-368) inhibited IL-5-induced proliferation by 50%, whereas forced expression of full-length BAM11 in Y16 cells did not affect the IL-5 responsiveness. We have also shown that BAM11 (amino acids 246-368) inhibited the kinase activity of Btk. These results suggest that the binding of BAM11 to Btk plays a regulatory role in the Btk signal transduction pathway. A cell fractionation study and analysis using EGFP-fused Btk protein demonstrated that a proportion of Btk is present within the nucleus.","['Kikuchi, Y', 'Hirano, M', 'Seto, M', 'Takatsu, K']","['Kikuchi Y', 'Hirano M', 'Seto M', 'Takatsu K']","['Department of Immunology, Institute of Medical Science, University of Tokyo, 4-6-1 Shirokanedai, Minato-ku, Tokyo 108-8639, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Int Immunol,International immunology,8916182,"['0 (Blood Proteins)', '0 (Interleukin-2)', '0 (Interleukin-5)', '0 (Phosphoproteins)', '0 (platelet protein P47)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Agammaglobulinaemia Tyrosine Kinase)', 'EC 2.7.10.2 (BTK protein, human)', 'EC 2.7.10.2 (Btk protein, mouse)']",IM,,"['Agammaglobulinaemia Tyrosine Kinase', 'Amino Acid Sequence', 'Animals', 'Base Sequence', 'Blood Proteins/*metabolism', 'Cell Line', 'Interleukin-2/pharmacology', 'Interleukin-5/pharmacology', 'Mice', 'Molecular Sequence Data', 'Phosphoproteins/*metabolism', 'Protein-Tyrosine Kinases/analysis/antagonists & inhibitors/*metabolism', 'Sequence Homology, Amino Acid']",,2000/09/29 11:00,2001/02/28 10:01,['2000/09/29 11:00'],"['2000/09/29 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/09/29 11:00 [entrez]']",['10.1093/intimm/12.10.1397 [doi]'],ppublish,Int Immunol. 2000 Oct;12(10):1397-408. doi: 10.1093/intimm/12.10.1397.,['GENBANK/AF298887'],,,,,,,,,,
11007455,NLM,MEDLINE,20010118,20131121,1044-9523 (Print) 1044-9523 (Linking),11,9,2000 Sep,K562 cells resistant to phorbol 12-myristate 13-acetate-induced growth arrest: dissociation of mitogen-activated protein kinase activation and Egr-1 expression from megakaryocyte differentiation.,501-6,"The K562 cell line undergoes megakaryocytic differentiation in response to phorbol 12-myristate 13-acetate (PMA) stimulation. This event correlates with mitogen-activated protein kinase activation, cell cycle arrest, and expression of the Egr-1 transcription factor. We have isolated K562 cells that are resistant to the growth-inhibitory action of PMA. Molecular characterization demonstrates that PMA resistance is downstream from PMA-induced activation of the mitogen-activated protein kinase pathway. Although the levels of Egr-1 expression and cyclic AMP-responsive element-binding protein phosphorylation are comparable in wild-type and PMA-resistant clones in response to PMA, the expression of megakaryocytic cell surface marker CD41 is detected only in the wild-type cells. The lack of differentiation of the PMA-resistant clones correlates with a failure of the PMA-treated cells to induce dephosphorylation and down-regulation of the retinoblastoma protein. These cells may provide a useful model system to distinguish those events that are connected to cell cycle arrest from those involved in the differentiation program initiated by PMA.","['Shelly, C', 'Petruzzelli, L', 'Herrera, R']","['Shelly C', 'Petruzzelli L', 'Herrera R']","['Department of Cell Biology, Parke-Davis Pharmaceutical Research Division of Warner-Lambert Company, Ann Arbor, Michigan 48105, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cell Growth Differ,Cell growth & differentiation : the molecular biology journal of the American Association for Cancer Research,9100024,"['0 (DNA-Binding Proteins)', '0 (EGR1 protein, human)', '0 (Early Growth Response Protein 1)', '0 (Immediate-Early Proteins)', '0 (Retinoblastoma Protein)', '0 (Transcription Factors)', 'EC 2.7.11.24 (Mitogen-Activated Protein Kinases)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,,"['Animals', 'Cell Cycle/drug effects/genetics', 'Cell Differentiation/*drug effects/physiology', 'DNA-Binding Proteins/*drug effects/metabolism', 'Drug Resistance, Neoplasm/*physiology', 'Early Growth Response Protein 1', 'Humans', '*Immediate-Early Proteins', 'K562 Cells/cytology/*drug effects/*metabolism', 'Leukemia, Megakaryoblastic, Acute/drug therapy/genetics/metabolism', 'Megakaryocytes/cytology/*drug effects/metabolism', 'Mitogen-Activated Protein Kinases/*drug effects/metabolism', 'Mutation/drug effects/physiology', 'Phosphorylation', 'Retinoblastoma Protein/metabolism', 'Signal Transduction/drug effects/physiology', 'Tetradecanoylphorbol Acetate/*pharmacology', 'Transcription Factors/*drug effects/metabolism']",,2000/09/28 11:00,2001/02/28 10:01,['2000/09/28 11:00'],"['2000/09/28 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/09/28 11:00 [entrez]']",,ppublish,Cell Growth Differ. 2000 Sep;11(9):501-6.,,"['AR20557/AR/NIAMS NIH HHS/United States', 'CA46592/CA/NCI NIH HHS/United States']",,,,,,,,,
11007356,NLM,MEDLINE,20010104,20190915,0952-7915 (Print) 0952-7915 (Linking),12,5,2000 Oct,Tolerance induction by 'megadose' transplants of CD34+ stem cells: a new option for leukemia patients without an HLA-matched donor.,536-41,"Early studies in murine models and more recent clinical data in heavily pre-treated leukemia patients have shown that escalation of the dose of hematopoietic progenitor cells can overcome major genetic barriers and enable rapid and durable engraftment of haploidentical, three-locus-mismatched transplants without graft-versus-host disease. In vitro studies suggest that veto cells within the progenitor population most probably mediate this facilitating effect.","['Reisner, Y', 'Martelli, M F']","['Reisner Y', 'Martelli MF']","['Department of Immunology, Weizmann Institute of Science, Rehovot, Israel. Yair.Reisner@weizmann.ac.il']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Curr Opin Immunol,Current opinion in immunology,8900118,"['0 (Antigens, CD34)']",IM,,"['Animals', 'Antigens, CD34/*analysis', 'Graft vs Host Disease/prevention & control', 'Graft vs Leukemia Effect', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Killer Cells, Natural/immunology', 'Leukemia/*therapy', '*Transplantation Tolerance']",47,2000/09/28 11:00,2001/02/28 10:01,['2000/09/28 11:00'],"['2000/09/28 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/09/28 11:00 [entrez]']","['S0952-7915(00)00135-7 [pii]', '10.1016/s0952-7915(00)00135-7 [doi]']",ppublish,Curr Opin Immunol. 2000 Oct;12(5):536-41. doi: 10.1016/s0952-7915(00)00135-7.,,,,,,,,,,,
11007164,NLM,MEDLINE,20000929,20190513,0368-2811 (Print) 0368-2811 (Linking),30,7,2000 Jul,"Essential thrombocythemia transformed to acute myelogenous leukemia with t(3;17)(p24; q12), del(5)(q13q34) after treatment with carboquone and hydroxyurea.",310-2,"In 1991, a 52-year-old woman was diagnosed as having essential thrombocythemia (ET). She was doing well with continuous medication with carboquone (CQ) and subsequently hydroxyurea (HU). However, substantial leukocytosis with leukemic blast cells, anemia and thrombocytopenia developed in 1996. Analysis of peripheral blood showed 4.4 x 10(3)/microl white blood cells with 82% of leukemic blast cells. These blasts showed negative staining with myeloperoxidase by immunostaining, but the myeloperoxidase was positive by electron microscopic analysis. Cytogenetic analysis of bone marrow cells revealed a t(3;17)(p24; q12), del(5)(q13q34). On the basis of these findings, the leukemic blast cells were classified as acute myelogenous leukemia (AML:M0) in the FAB classification. The causative agent, CQ and HU in secondary leukemia from ET and chromosomal abnormality related to ET blastic crisis (BC) are discussed.","['Tabata, M', 'Imagawa, S', 'Tarumoto, T', 'Ohmine, K', 'Hatake, K', 'Miura, Y', 'Ozawa, K']","['Tabata M', 'Imagawa S', 'Tarumoto T', 'Ohmine K', 'Hatake K', 'Miura Y', 'Ozawa K']","['Department of Hematology, Jichi Medical School, Tochigi, Japan.']",['eng'],"['Case Reports', 'Journal Article']",England,Jpn J Clin Oncol,Japanese journal of clinical oncology,0313225,"['1CB0HBT12C (Carbazilquinone)', 'X6Q56QN5QC (Hydroxyurea)']",IM,,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Blast Crisis/*pathology', 'Carbazilquinone/administration & dosage', '*Chromosomes, Human, Pair 17', '*Chromosomes, Human, Pair 3', 'Female', 'Humans', 'Hydroxyurea/administration & dosage', 'Leukemia, Myeloid, Acute/*genetics/*pathology', 'Middle Aged', 'Thrombocythemia, Essential/drug therapy/*pathology']",,2000/09/28 11:00,2000/10/07 11:01,['2000/09/28 11:00'],"['2000/09/28 11:00 [pubmed]', '2000/10/07 11:01 [medline]', '2000/09/28 11:00 [entrez]']",['10.1093/jjco/hyd084 [doi]'],ppublish,Jpn J Clin Oncol. 2000 Jul;30(7):310-2. doi: 10.1093/jjco/hyd084.,,,,,,,,,,,
11007059,NLM,MEDLINE,20001010,20190910,0902-4441 (Print) 0902-4441 (Linking),65,3,2000 Sep,"The pathogenetic mechanism of myeloid malignancies associated with deletions of the long arm of chromosome 20 can not be explained by a ""one hit"" model. An acute myeloid leukemia patient who developed with 20q- clone during complete remission for 9 years.",210-1,,"['Matsuda, A', 'Jinnai, I', 'Yagasaki, F', 'Ito, Y', 'Ito, K', 'Kusumoto, S', 'Murohashi, I', 'Bessho, M', 'Hirashima, K']","['Matsuda A', 'Jinnai I', 'Yagasaki F', 'Ito Y', 'Ito K', 'Kusumoto S', 'Murohashi I', 'Bessho M', 'Hirashima K']",,['eng'],"['Case Reports', 'Letter']",England,Eur J Haematol,European journal of haematology,8703985,,IM,,"['*Chromosomes, Human, Pair 20', '*Gene Deletion', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy/*genetics', 'Male', 'Middle Aged', 'Remission Induction']",,2000/09/28 11:00,2000/10/14 11:01,['2000/09/28 11:00'],"['2000/09/28 11:00 [pubmed]', '2000/10/14 11:01 [medline]', '2000/09/28 11:00 [entrez]']",['10.1034/j.1600-0609.2000.9l209.x [doi]'],ppublish,Eur J Haematol. 2000 Sep;65(3):210-1. doi: 10.1034/j.1600-0609.2000.9l209.x.,,,,,,,,,,,
11007057,NLM,MEDLINE,20001010,20190910,0902-4441 (Print) 0902-4441 (Linking),65,3,2000 Sep,Molecular and cytogenetic remission in a case of subtype M4E acute myelogenous leukemia with minimal monochemotherapy: high sensitivity or spontaneous remission?,203-6,"Complete remission was observed in an adult patient with acute myelogenous leukemia after minimal monochemotherapy. Remission occurred after a severe febrile pneumonia and was accompanied by cytogenetic and molecular remission. The hypothesis of spontaneous remission was raised, even if a high sensitivity to low-dose cytostatics cannot be excluded. Such spontaneous complete remissions, often associated with bacterial infections and blood transfusions, are extremely rare, and are usually of short duration. Previous cases are summarized, and the role of etiologic factors is discussed.","['Martelli, M P', 'Latagliata, R', 'Spadea, A', 'Avvisati, G', 'Mancini, M', 'Romano, A', 'Luzi, G', 'Petti, M C']","['Martelli MP', 'Latagliata R', 'Spadea A', 'Avvisati G', 'Mancini M', 'Romano A', 'Luzi G', 'Petti MC']","['Ematologia, Dipartimento di Biotecnologie Cellulari ed Ematologia, University La Sapienza, Rome.']",['eng'],"['Case Reports', 'Journal Article']",England,Eur J Haematol,European journal of haematology,8703985,['0 (Antineoplastic Agents)'],IM,,"['Adult', 'Antineoplastic Agents/*therapeutic use', 'Bone Marrow Transplantation', 'Cytogenetic Analysis', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/diagnosis/*genetics/*therapy', 'Neoplasm Regression, Spontaneous', 'Pneumonia/complications', 'Recurrence', 'Remission Induction', 'Reverse Transcriptase Polymerase Chain Reaction']",,2000/09/28 11:00,2000/10/14 11:01,['2000/09/28 11:00'],"['2000/09/28 11:00 [pubmed]', '2000/10/14 11:01 [medline]', '2000/09/28 11:00 [entrez]']",['10.1034/j.1600-0609.2000.9c220.x [doi]'],ppublish,Eur J Haematol. 2000 Sep;65(3):203-6. doi: 10.1034/j.1600-0609.2000.9c220.x.,,,,,,,,,,,
11007056,NLM,MEDLINE,20001010,20190910,0902-4441 (Print) 0902-4441 (Linking),65,3,2000 Sep,Elevated serum levels of soluble CD44 variant 6 are correlated with shorter survival in aggressive non-Hodgkin's lymphoma.,195-202,"A variant form of CD44 that has additional amino acids in the common protein backbone (CD44-v6) seems to play a role in the metastasis of malignancies. We measured soluble CD44-v6 (sCD44-v6) by ELISA in 201 patients with malignant lymphoma. The sCD44-v6 level was significantly elevated in patients with non-Hodgkin's lymphoma (NHL) (n = 184). The sCD44-v6 level was correlated significantly with the standard sCD44 and soluble interleukin-2 receptor levels, but only weakly with serum lactate dehydrogenase (LDH). In 149 patients with aggressive NHL, the sCD44-v6 level was elevated in the subgroups with a high LDH level, stage III/IV disease, T-cell lymphoma, and high-intermediate or high risk group as identified by the International Prognostic Index (IPI). When the sCD44-v6 level was > or = 800 ng/ml the overall survival rate was significantly decreased (p = 0.0001). In the low + low-intermediate risk group (IPI) both overall survival rates (log-rank p = 0.0005, Wilcoxon p =0.002) were significantly decreased when the sCD44-v6 level was > or = 800 ng/ml. In multivariate analysis, sCD44-v6 was shown to be independent of the five prognostic factors in the IPI (age, performance status, number of extranodal sites, Ann Arbor stage and LDH level), so it may be useful for predicting the outcome of aggressive NHL.","['Sasaki, K', 'Niitsu, N']","['Sasaki K', 'Niitsu N']","['First Department of Internal Medicine, Toho University School of Medicine, Tokyo, Japan.']",['eng'],['Journal Article'],England,Eur J Haematol,European journal of haematology,8703985,"['0 (Hyaluronan Receptors)', '0 (Receptors, Interleukin-2)', 'EC 1.1.1.27 (L-Lactate Dehydrogenase)']",IM,,"['Female', '*Genetic Variation', 'Hodgkin Disease/blood', 'Humans', 'Hyaluronan Receptors/*blood/*genetics', 'L-Lactate Dehydrogenase/blood', 'Leukemia-Lymphoma, Adult T-Cell/blood', 'Lymphoma, B-Cell/blood', 'Lymphoma, Non-Hodgkin/*blood/genetics/*mortality', 'Lymphoma, T-Cell/blood', 'Male', 'Middle Aged', 'Prognosis', 'Receptors, Interleukin-2/blood', 'Risk Factors', 'Solubility', 'Survival Rate']",,2000/09/28 11:00,2000/10/14 11:01,['2000/09/28 11:00'],"['2000/09/28 11:00 [pubmed]', '2000/10/14 11:01 [medline]', '2000/09/28 11:00 [entrez]']",['10.1034/j.1600-0609.2000.065003195.x [doi]'],ppublish,Eur J Haematol. 2000 Sep;65(3):195-202. doi: 10.1034/j.1600-0609.2000.065003195.x.,,,,,,,,,,,
11007055,NLM,MEDLINE,20001010,20190910,0902-4441 (Print) 0902-4441 (Linking),65,3,2000 Sep,"CyclOBEAP (cyclophosphamide, vincristine, bleomycin, etoposide, doxorubicin, prednisolone) regimen with granulocyte colony-stimulating factor (G-CSF) for patients with aggressive non-Hodgkin's lymphoma: a pilot study. The Adult Lymphoma Treatment Study Group (ALTSG).",188-94,"We conducted a multi-institutional collaborative study to examine the usefulness and safety of third-generation chemotherapy CyclOBEAP (cyclophosphamide, vincristine, bleomycin, etoposide, doxorubicin, prednisolone) combined with granulocyte colony-stimulating factor (G-CSF) in the treatment of aggressive non-Hodgkin's lymphoma (NHL). Subjects included patients with aggressive NHL who were 60 yr of age or younger and had been diagnosed as having a low-intermediate, high-intermediate, or high risk using the International Prognostic Index (IPI). A total of 24 patients were enrolled in the study between May 1997 and March 1998, including 9 low-intermediate-risk cases, 13 high-intermediate-risk cases and 2 high-risk cases. Although all 24 patients were originally enrolled in the study, one adult T-cell leukemia/lymphoma case was subsequently excluded. Thus, in the end, 23 cases were evaluated. Evaluation of the efficacy of therapy revealed complete remission in 20 patients (87%). Of these 20 patients, 8 were low-intermediate-risk cases (89%) and 12 were either high-intermediate- or high-risk cases (86%). Partial remission was achieved in 2 patients (8.7%). The 2-yr survival rate was 91.3%, and the 2-yr disease-free survival rate was 81.8%. Grade 3 or higher adverse reactions were granulocytopenia (87%), thrombocytopenia (17.4%) and liver dysfunction (4.3%). CyclOBEAP therapy has been associated with a high remission rate for aggressive NHL. When combined with G-CSF, a high relative dose intensity was maintained for each drug administered (0.94-0.97). Furthermore, although the observation period was short, both the survival rate and disease-free survival rate were good. Hence, we concluded that there were no problems associated with the procedure in terms of safety.","['Niitsu, N', 'Okamoto, M', 'Kuraishi, Y', 'Nakamura, S', 'Kodama, F', 'Hirano, M']","['Niitsu N', 'Okamoto M', 'Kuraishi Y', 'Nakamura S', 'Kodama F', 'Hirano M']","['First Department of Internal Medicine, Toho University School of Medicine, Tokyo, Japan. nniitsu@med.toho-u.ac.jp']",['eng'],"['Clinical Trial', 'Journal Article', 'Multicenter Study']",England,Eur J Haematol,European journal of haematology,8703985,"['11056-06-7 (Bleomycin)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '5J49Q6B70F (Vincristine)', '6PLQ3CP4P3 (Etoposide)', '80168379AG (Doxorubicin)', '8N3DW7272P (Cyclophosphamide)', '9PHQ9Y1OLM (Prednisolone)', 'PACEBO protocol']",IM,,"['Adolescent', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage/adverse effects/*therapeutic use', 'Bleomycin/administration & dosage', 'Cyclophosphamide/administration & dosage', 'Doxorubicin/administration & dosage', 'Etoposide/administration & dosage', 'Female', 'Granulocyte Colony-Stimulating Factor/*therapeutic use', 'Humans', 'Lymphoma, Non-Hodgkin/*drug therapy/pathology', 'Male', 'Middle Aged', 'Pilot Projects', 'Prednisolone/administration & dosage', 'Prognosis', 'Remission Induction', 'Risk Factors', 'Treatment Outcome', 'Vincristine/administration & dosage']",,2000/09/28 11:00,2000/10/14 11:01,['2000/09/28 11:00'],"['2000/09/28 11:00 [pubmed]', '2000/10/14 11:01 [medline]', '2000/09/28 11:00 [entrez]']",['10.1034/j.1600-0609.2000.00250.x [doi]'],ppublish,Eur J Haematol. 2000 Sep;65(3):188-94. doi: 10.1034/j.1600-0609.2000.00250.x.,,,,,,,,,,,
