PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,CON,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,AD,RN,RF,CI,CIN,GR,PMC,TT,DEP,EIN,SI,OID,OTO,OT,GN,MID,PS,FPS
10918417,NLM,MEDLINE,20000925,20071115,0268-3369 (Print) 0268-3369 (Linking),26,1,2000 Jul,Hepatitis B viremia in a patient with documented previous HBV immunity after autologous transplantation of highly purified PBSC.,114-6,"['Dreger, P', 'Rautenberg, P', 'Kneba, M', 'Schmitz, N']","['Dreger P', 'Rautenberg P', 'Kneba M', 'Schmitz N']",['eng'],"['Case Reports', 'Comment', 'Letter']",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,IM,"['Bone Marrow Transplant. 1997 Sep;20(5):415-20. PMID: 9339759', 'Bone Marrow Transplant. 1999 Dec;24(11):1243-4. PMID: 10642815']","['Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Hematopoietic Stem Cell Mobilization', 'Hematopoietic Stem Cell Transplantation/*adverse effects', 'Hepatitis B/*physiopathology', 'Hepatitis B virus/growth & development', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/therapy', 'Lymphocyte Depletion', 'Male', 'Middle Aged', 'Recurrence', 'Transplantation, Autologous', 'Viremia/*physiopathology', 'Virus Activation']",2000/08/05 11:00,2000/09/30 11:01,['2000/08/05 11:00'],"['2000/08/05 11:00 [pubmed]', '2000/09/30 11:01 [medline]', '2000/08/05 11:00 [entrez]']",['10.1038/sj.bmt.1702455 [doi]'],ppublish,Bone Marrow Transplant. 2000 Jul;26(1):114-6. doi: 10.1038/sj.bmt.1702455.,,,,,,,,,,,,,,,,,,,
10918414,NLM,MEDLINE,20000925,20161124,0268-3369 (Print) 0268-3369 (Linking),26,1,2000 Jul,Acute pancreatitis during immunosuppression with tacrolimus following an allogeneic umbilical cord blood transplantation.,109-11,"['Nieto, Y', 'Russ, P', 'Everson, G', 'Bearman, S I', 'Cagnoni, P J', 'Jones, R B', 'Shpall, E J']","['Nieto Y', 'Russ P', 'Everson G', 'Bearman SI', 'Cagnoni PJ', 'Jones RB', 'Shpall EJ']",['eng'],"['Case Reports', 'Journal Article']",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,IM,,"['Adult', 'Female', 'Fetal Blood', 'Graft vs Host Disease/prevention & control', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Immunosuppressive Agents/*adverse effects', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*therapy', 'Multiple Organ Failure/chemically induced/therapy', 'Pancreatitis/*chemically induced/diagnostic imaging/therapy', 'Renal Dialysis', 'Tacrolimus/*adverse effects', 'Tomography, X-Ray Computed', 'Transplantation, Homologous/*immunology']",2000/08/05 11:00,2000/09/30 11:01,['2000/08/05 11:00'],"['2000/08/05 11:00 [pubmed]', '2000/09/30 11:01 [medline]', '2000/08/05 11:00 [entrez]']",['10.1038/sj.bmt.1702471 [doi]'],ppublish,Bone Marrow Transplant. 2000 Jul;26(1):109-11. doi: 10.1038/sj.bmt.1702471.,"Tacrolimus is increasingly used for graft-versus-host disease (GVHD) prophylaxis and therapy in the allogeneic stem cell transplant (allo-SCT) setting. Pancreatitis, previously described as a side-effect of cyclosporine, has not been reported in allo-SCT recipients receiving tacrolimus. We present here a case of acute pancreatitis in a 28-year-old patient with chronic myelogenous leukemia (CML) who received an unrelated umbilical cord blood transplant (UCBT) and tacrolimus for GVHD prophylaxis. On day +31 post-transplant, she developed severe acute pancreatitis with multiorgan failure, from which she recovered completely. Tacrolimus was the probable cause of pancreatitis in this patient.","['University of Colorado Bone Marrow Transplant Program, Denver, CO 80262, USA.']","['0 (Immunosuppressive Agents)', 'WM0HAQ4WNM (Tacrolimus)']",,,,,,,,,,,,,,,,
10918413,NLM,MEDLINE,20000925,20161124,0268-3369 (Print) 0268-3369 (Linking),26,1,2000 Jul,Late onset cyclosporine-induced cerebral blindness with abnormal SPECT imagings in a patient undergoing unrelated bone marrow transplantation.,105-8,"['Uoshima, N', 'Karasuno, T', 'Yagi, T', 'Kawamoto, S', 'Hasegawa, T', 'Yasumi, M', 'Murakami, M', 'Teshima, H', 'Nakamura, H', 'Hiraoka, A', 'Masaoka, T']","['Uoshima N', 'Karasuno T', 'Yagi T', 'Kawamoto S', 'Hasegawa T', 'Yasumi M', 'Murakami M', 'Teshima H', 'Nakamura H', 'Hiraoka A', 'Masaoka T']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,IM,,"['Aged', 'Blindness, Cortical/*chemically induced/diagnosis/diagnostic imaging', 'Bone Marrow Transplantation/*immunology', 'Cyclosporine/*adverse effects', 'Female', 'Frontal Lobe/diagnostic imaging', 'Humans', 'Immunosuppressive Agents/*adverse effects', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*therapy', 'Magnetic Resonance Imaging', 'Occipital Lobe/diagnostic imaging', 'Remission, Spontaneous', 'Tomography, Emission-Computed, Single-Photon']",2000/08/05 11:00,2000/09/30 11:01,['2000/08/05 11:00'],"['2000/08/05 11:00 [pubmed]', '2000/09/30 11:01 [medline]', '2000/08/05 11:00 [entrez]']",['10.1038/sj.bmt.1702467 [doi]'],ppublish,Bone Marrow Transplant. 2000 Jul;26(1):105-8. doi: 10.1038/sj.bmt.1702467.,"A 23-year-old woman underwent HLA-matched unrelated BMT for CML. She developed cerebral blindness on day 81. Brain magnetic resonance imaging revealed hyperintensity on a T2-weighted image in the white and gray matter of the right frontal and both occipital lobes. Single-photon emission computed tomography (SPECT) was consistent with a decrease in radionuclide uptake in these areas, suggesting a vasoconstrictive mechanism. A diagnosis of CsA-induced encephalopathy was made and CsA was discontinued. Her vision recovered completely after 24 h and abnormal imaging resolved within 2 weeks. This case demonstrates late onset CsA-induced cerebral blindness with the previously unreported abnormalities on SPECT.","['Fifth Department of Internal Medicine, Osaka Medical Center for Cancer and Cardiovascular Diseases, Osaka, Japan.']","['0 (Immunosuppressive Agents)', '83HN0GTJ6D (Cyclosporine)']",,,,,,,,,,,,,,,,
10918412,NLM,MEDLINE,20000925,20061115,0268-3369 (Print) 0268-3369 (Linking),26,1,2000 Jul,Agrobacterium yellow group: bacteremia and possible septic arthritis following peripheral blood stem cell transplantation.,101-4,"['Chalandon, Y', 'Roscoe, D L', 'Nantel, S H']","['Chalandon Y', 'Roscoe DL', 'Nantel SH']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,IM,,"['Anti-Bacterial Agents/therapeutic use', 'Arthritis, Infectious/drug therapy/*etiology', 'Bacteremia/drug therapy/*etiology', 'Catheterization, Central Venous/adverse effects', '*Hematopoietic Stem Cell Transplantation', 'Hodgkin Disease/*therapy', 'Humans', 'Male', 'Microbial Sensitivity Tests', 'Middle Aged', 'Recurrence', '*Rhizobium/drug effects', 'Transplantation, Autologous']",2000/08/05 11:00,2000/09/30 11:01,['2000/08/05 11:00'],"['2000/08/05 11:00 [pubmed]', '2000/09/30 11:01 [medline]', '2000/08/05 11:00 [entrez]']",['10.1038/sj.bmt.1702470 [doi]'],ppublish,Bone Marrow Transplant. 2000 Jul;26(1):101-4. doi: 10.1038/sj.bmt.1702470.,A 47-year-old male patient developed sepsis and monoarticular arthritis following autologous stem cell transplantation for recurrent Hodgkin's disease. Blood cultures were positive for Agrobacterium yellow group. The knee pain and swelling responded promptly to the institution of empirical broad-spectrum antibiotics. Recurrent bacteremia developed necessitating Hickman line removal for eventual resolution of the infection. Transplant physicians should be aware of this unusual pathogen and the potential for both persistent line-related sepsis and possible septic arthritis.,"['Division of Hematology and Leukemia/Bone Marrow Transplantation Program of British Columbia, Canada.']",['0 (Anti-Bacterial Agents)'],,,,,,,,,,,,,,,,
10918408,NLM,MEDLINE,20000925,20041117,0268-3369 (Print) 0268-3369 (Linking),26,1,2000 Jul,Evaluation of CMV/human herpes virus-6 positivity in bronchoalveolar lavage fluids as early detection of acute GVHD following BMT: evidence of a significant relationship.,77-81,"['Takemoto, Y', 'Takatsuka, H', 'Wada, H', 'Mori, A', 'Saheki, K', 'Okada, M', 'Tamura, S', 'Fujimori, Y', 'Okamoto, T', 'Kakishita, E', 'Kanamaru, A']","['Takemoto Y', 'Takatsuka H', 'Wada H', 'Mori A', 'Saheki K', 'Okada M', 'Tamura S', 'Fujimori Y', 'Okamoto T', 'Kakishita E', 'Kanamaru A']",['eng'],['Journal Article'],England,Bone Marrow Transplant,Bone marrow transplantation,8702459,IM,,"['Adolescent', 'Adult', 'Anemia, Aplastic/therapy', 'Bone Marrow Transplantation/*immunology', 'Bronchoalveolar Lavage Fluid/*virology', 'Cytomegalovirus/*isolation & purification', 'Cytomegalovirus Infections/*diagnosis', 'DNA, Viral/*analysis', 'Female', 'Graft vs Host Disease/*diagnosis', 'Herpesviridae Infections/*diagnosis', 'Herpesvirus 6, Human/*isolation & purification', 'Humans', 'Immunocompromised Host', 'Leukemia/therapy', 'Male', 'Middle Aged', 'Monitoring, Physiologic/methods', 'Myeloproliferative Disorders/therapy']",2000/08/05 11:00,2000/09/30 11:01,['2000/08/05 11:00'],"['2000/08/05 11:00 [pubmed]', '2000/09/30 11:01 [medline]', '2000/08/05 11:00 [entrez]']",['10.1038/sj.bmt.1702459 [doi]'],ppublish,Bone Marrow Transplant. 2000 Jul;26(1):77-81. doi: 10.1038/sj.bmt.1702459.,"We evaluated the relationship between CMV and human herpes virus-6 (HHV-6) reactivation and the incidence of grades 2 to 4 acute GVHD post BMT. Bronchoalveolar lavage fluid (BALF) samples extracted from 54 BMT recipients on post-BMT day 35 were analyzed by PCR for detection of CMV DNA, HHV-6 DNA and CMV plus HHV-6 DNA. CMV DNA was detected in 26 patients and 13 (50%) developed grades 2 to 4 acute GVHD. Of the 28 who were CMV negative, only six (21.4%) developed grades 2 to 4 acute GVHD. HHV-6 was detected in 18 patients, and 11 (61.1%) developed grades 2 to 4 acute GVHD. Of the 36 who were HHV-6 negative, only eight (22.2%) developed grades 2 to 4 acute GVHD. CMV and HHV-6 were detected in 13 patients, and eight (61.5%) developed grades 2 to 4 acute GVHD. Of the 23 who were negative for both CMV and HHV-6, only three (13%) developed grades 2 to 4 acute GVHD. In all experiments, the difference between the groups was significant (P<0.05, P<0.05 and P<0.01, respectively). We conclude that herpes virus infection, in particular CMV concurrent with HHV-6 reactivation, is predictive of moderate to severe acute GVHD.","['Second Department of Internal Medicine, Hyogo College of Medicine, Hyogo, Japan.']","['0 (DNA, Viral)']",,,,,,,,,,,,,,,,
10918401,NLM,MEDLINE,20000925,20131121,0268-3369 (Print) 0268-3369 (Linking),26,1,2000 Jul,Outcome of T cell-depleted transplantation after conditioning with an intensified regimen in patients aged 50 years or more is comparable with that in younger patients.,17-22,"['Schattenberg, A', 'Schaap, N', 'Preijers, F', 'van der Maazen, R', 'de Witte, T']","['Schattenberg A', 'Schaap N', 'Preijers F', 'van der Maazen R', 'de Witte T']",['eng'],"['Comparative Study', 'Journal Article']",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,IM,,"['Adolescent', 'Adult', 'Age Factors', 'Bone Marrow Transplantation/immunology/mortality/*physiology', 'Cyclophosphamide/*therapeutic use', 'Female', 'Graft vs Host Disease/epidemiology', 'Humans', 'Idarubicin/therapeutic use', 'Immunosuppressive Agents/*therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*therapy', 'Leukemia, Myeloid, Acute/mortality/*therapy', '*Lymphocyte Depletion', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/mortality/*therapy', 'Retrospective Studies', 'Survival Rate', 'T-Lymphocytes/*immunology']",2000/08/05 11:00,2000/09/30 11:01,['2000/08/05 11:00'],"['2000/08/05 11:00 [pubmed]', '2000/09/30 11:01 [medline]', '2000/08/05 11:00 [entrez]']",['10.1038/sj.bmt.1702451 [doi]'],ppublish,Bone Marrow Transplant. 2000 Jul;26(1):17-22. doi: 10.1038/sj.bmt.1702451.,"One hundred and thirty-one patients were transplanted for AML-CR1, ALL-CR1 or CML-CP1 after conditioning with 120 mg/kg body weight cyclophosphamide and 2 x 4.5 Gy TBI. Conditioning was intensified with the addition of 42 mg/m2 idarubicin. Grafts were T cell-depleted using counterflow centrifugation. Donors were HLA-identical siblings. We compared outcome of BMT in 109 patients aged less than 50 (median, 35) years with that of 22 patients with an age of 50 years or more (median, 53 years). For the patients aged <50 years, 2-year probabilities of treatment-related mortality, relapse, survival and leukemia-free survival were 26% (95% CI, 17% to 35%), 26% (95% CI, 17% to 35%), 64% (95% CI, 55% to 73%), and 56% (95% CI, 47% to 65%). For the patients aged > or =50 years, these figures were 13% (95% CI, 0% to 30%), 24% (95% CI, 6% to 42%), 66% (95% CI, 46% to 86%), and 67% (95% CI, 47% to 87%), respectively. Outcome did not differ significantly between the two age groups. TRM was within the range of that reported in the literature for recipients of T cell-depleted grafts. We conclude that T cell-depleted transplantation after a conditioning regimen that was intensified with the addition of idarubicin is feasible in patients aged > or =50 years. For this age group of patients, results of nonmyeloablative regimens should be compared with that obtained with T cell-depleted grafts.","['Department of Hematology, University Medical Center St Radboud, Nijmegen, The Netherlands.']","['0 (Immunosuppressive Agents)', '8N3DW7272P (Cyclophosphamide)', 'ZRP63D75JW (Idarubicin)']",,,,,,,,,,,,,,,,
10918400,NLM,MEDLINE,20000925,20041117,0268-3369 (Print) 0268-3369 (Linking),26,1,2000 Jul,Immunobiology of allogeneic peripheral blood mononuclear cells mobilized with granulocyte-colony stimulating factor.,1-16,"['Gyger, M', 'Stuart, R K', 'Perreault, C']","['Gyger M', 'Stuart RK', 'Perreault C']",['eng'],"['Journal Article', 'Review']",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,IM,,"['Bone Marrow Transplantation', 'Cell Differentiation', 'Granulocyte Colony-Stimulating Factor/*therapeutic use', 'Hematopoietic Stem Cell Mobilization/*methods', '*Hematopoietic Stem Cell Transplantation', 'Hematopoietic Stem Cells/cytology/drug effects/physiology', 'Humans', 'Lymphocytes/cytology', 'Monocytes/cytology', '*Transplantation, Homologous']",2000/08/05 11:00,2000/09/30 11:01,['2000/08/05 11:00'],"['2000/08/05 11:00 [pubmed]', '2000/09/30 11:01 [medline]', '2000/08/05 11:00 [entrez]']",['10.1038/sj.bmt.1702464 [doi]'],ppublish,Bone Marrow Transplant. 2000 Jul;26(1):1-16. doi: 10.1038/sj.bmt.1702464.,"The use of mobilized peripheral blood (PB) stem cells for autologous transplantation initially generated much enthusiasm because of enhanced engraftment in comparison to marrow stem cells and avoidance of general anesthesia for the donor. Its application to the allogeneic setting seemed inevitable. For obvious ethical reasons, allogeneic donors are mobilized with cytokines only, mainly granulocyte colony-stimulating factor (G-CSF). Results from preliminary studies suggest that in comparison to standard bone marrow transplants, outcomes such as engraftment, host-versus-graft reaction, graft-versus-host disease, graft-versus-leukemia and immunological reconstitution may be different. Surprisingly, G-CSF, previously recognized as a late acting lineage-specific factor for neutrophil production, not only disrupts homeostasis between stem cells and their microenvironment, but also induces significant quantitative and qualitative changes in the accessory cell compartment, affecting lymphocytes, monocytes, natural killer, dendritic, and stromal cells. Furthermore, mobilization of huge numbers of non-professional antigen presenting cells (CD34+ stem cells) amplifies the tolerizing potential of PB stem cell grafts. Thus, G-CSF mobilization provides PB transplants with different immunobiologic properties in comparison to standard bone marrow grafts. Whether these immunobiologic differences will lead to better transplant outcomes remains to be shown through much awaited results of large randomized clinical trials.","['Bone Marrow Transplant Unit, King Faisal Specialist Hospital and Research Center, Kingdom of Saudi Arabia.']",['143011-72-7 (Granulocyte Colony-Stimulating Factor)'],228,,,,,,,,,,,,,,,
10918392,NLM,MEDLINE,20000920,20191025,1045-2257 (Print) 1045-2257 (Linking),29,1,2000 Sep,MLL amplification in myeloid leukemias: A study of 14 cases with multiple copies of 11q23.,40-7,"['Michaux, L', 'Wlodarska, I', 'Stul, M', 'Dierlamm, J', 'Mugneret, F', 'Herens, C', 'Beverloo, B', 'Verhest, A', 'Verellen-Dumoulin, C', 'Verhoef, G', 'Selleslag, D', 'Madoe, V', 'Lecomte, M', 'Deprijck, B', 'Ferrant, A', 'Delannoy, A', 'Marichal, S', 'Duhem, C', 'Dicato, M', 'Hagemeijer, A']","['Michaux L', 'Wlodarska I', 'Stul M', 'Dierlamm J', 'Mugneret F', 'Herens C', 'Beverloo B', 'Verhest A', 'Verellen-Dumoulin C', 'Verhoef G', 'Selleslag D', 'Madoe V', 'Lecomte M', 'Deprijck B', 'Ferrant A', 'Delannoy A', 'Marichal S', 'Duhem C', 'Dicato M', 'Hagemeijer A']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Genes Chromosomes Cancer,"Genes, chromosomes & cancer",9007329,IM,,"['Adult', 'Aged', 'Aged, 80 and over', 'Blotting, Southern', 'Chromosomes, Human, Pair 11/*genetics', 'DNA-Binding Proteins/*genetics', 'Female', 'Gene Amplification/*genetics', 'Gene Dosage', 'Histone-Lysine N-Methyltransferase', 'Humans', 'Immunophenotyping', 'In Situ Hybridization, Fluorescence', 'Karyotyping', 'Leukemia, Myeloid/diagnosis/*genetics/*pathology', 'Male', 'Middle Aged', 'Myeloid-Lymphoid Leukemia Protein', '*Proto-Oncogenes', 'Retrospective Studies', '*Transcription Factors']",2000/08/05 11:00,2000/09/23 11:01,['2000/08/05 11:00'],"['2000/08/05 11:00 [pubmed]', '2000/09/23 11:01 [medline]', '2000/08/05 11:00 [entrez]']","['10.1002/1098-2264(2000)9999:9999<::AID-GCC1003>3.0.CO;2-U [pii]', '10.1002/1098-2264(2000)9999:9999<::aid-gcc1003>3.3.co;2-l [doi]']",ppublish,Genes Chromosomes Cancer. 2000 Sep;29(1):40-7. doi: 10.1002/1098-2264(2000)9999:9999<::aid-gcc1003>3.3.co;2-l.,"We here report the clinical, cytogenetic, fluorescence in situ hybridization (FISH), and Southern blot data on 14 patients with a myeloid malignancy and structural aberration of chromosome band 11q23 associated with overrepresentation or amplification of the MLL gene. The number of copies of MLL varied from three (two cases) to a cluster consisting of multiple hybridization spots. Together with previous reports, available data indicate that amplification of 11q23/MLL is a recurrent genetic change in myeloid malignancy. It affects mainly elderly patients and is often associated with dysplastic bone marrow changes or with complex karyotypic aberrations, suggestive of genotoxic exposure. It is associated with a poor prognosis. In addition, FISH analysis of nine cases with additional 11q probes showed that the overrepresented chromosomal region is generally not restricted to MLL, and Southern blot analysis indicated that amplification does not involve a rearranged copy of this gene. The significance of MLL amplification and the mechanisms by which it could play a role in leukemogenesis and/or disease progression remain to be elucidated.","['Center for Human Genetics, University of Leuven, Leuven, Belgium.']","['0 (DNA-Binding Proteins)', '0 (KMT2A protein, human)', '0 (Transcription Factors)', '149025-06-9 (Myeloid-Lymphoid Leukemia Protein)', 'EC 2.1.1.43 (Histone-Lysine N-Methyltransferase)']",,"['Copyright 2000 Wiley-Liss, Inc.']",,,,,,,,,,,,,,
10918284,NLM,MEDLINE,20000829,20191104,0196-4763 (Print) 0196-4763 (Linking),40,4,2000 Aug 1,Flow cytometric analysis of the Vbeta repertoire in healthy controls.,336-45,"['van den Beemd, R', 'Boor, P P', 'van Lochem, E G', 'Hop, W C', 'Langerak, A W', 'Wolvers-Tettero, I L', 'Hooijkaas, H', 'van Dongen, J J']","['van den Beemd R', 'Boor PP', 'van Lochem EG', 'Hop WC', 'Langerak AW', 'Wolvers-Tettero IL', 'Hooijkaas H', 'van Dongen JJ']",['eng'],['Journal Article'],United States,Cytometry,Cytometry,8102328,IM,,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'CD4-Positive T-Lymphocytes/*immunology', 'CD8-Positive T-Lymphocytes/*immunology', 'Child', 'Child, Preschool', 'Female', 'Fetal Blood', 'Flow Cytometry/*methods', 'Humans', 'Immunophenotyping', 'Infant', 'Infant, Newborn', 'Male', 'Microscopy, Fluorescence', 'Middle Aged', 'Receptors, Antigen, T-Cell, alpha-beta/*analysis']",2000/08/05 11:00,2000/09/02 11:01,['2000/08/05 11:00'],"['2000/08/05 11:00 [pubmed]', '2000/09/02 11:01 [medline]', '2000/08/05 11:00 [entrez]']","['10.1002/1097-0320(20000801)40:4<336::AID-CYTO9>3.0.CO;2-0 [pii]', '10.1002/1097-0320(20000801)40:4<336::aid-cyto9>3.0.co;2-0 [doi]']",ppublish,Cytometry. 2000 Aug 1;40(4):336-45. doi: 10.1002/1097-0320(20000801)40:4<336::aid-cyto9>3.0.co;2-0.,"BACKGROUND: Analysis of the T-cell receptor (TCR)-Vbeta repertoire has been used for studying selective T-cell responses in autoimmune disease, alloreactivity in transplantation, and protective immunity against microbial and tumor antigens. For the interpretation of these studies, we need information about the Vbeta repertoire usage in healthy individuals. METHODS: We analyzed blood T-lymphocyte (sub)populations of 36 healthy controls (age range: from neonates to 86 years) with a carefully selected most complete panel of 22 Vbeta monoclonal antibodies, which together recognized 70-75% of all blood TCRalphabeta(+) T lymphocytes. Subsequently, we developed a six-tube test kit with selected Vbeta antibody combinations for easy and rapid detection of single (""clonal"") Vbeta domain usage in large T-cell expansions. RESULTS: The mean values of the Vbeta repertoire usage were stable during aging in blood TCRalphabeta(+) T lymphocytes as well as in the CD4(+) and CD8(+) T-cell subsets, although the standard deviations increased in the elderly. The increased standard deviations were caused by the occurrence of oligoclonal T-cell expansions in the elderly, mainly consisting of CD8(+) T lymphocytes. The 15 detected T-cell expansions did not reach 40% of total TCRalphabeta(+) T lymphocytes and represented less than 0.4 x 10(9) cells per liter in our study. Vbeta usage of the CD4(+) and CD8(+) subsets was comparable for most tested Vbeta domains, but significant differences (P < 0.01) between the two subsets were found for Vbeta2, Vbeta5.1, Vbeta6.7, Vbeta9.1, and Vbeta22 (higher in CD4(+)), as well as for Vbeta1, Vbeta7.1, Vbeta14, and Vbeta23 (higher in CD8(+)). Finally, single Vbeta domain expression in large T-cell expansions can indeed be detected by the six-tube test kit. CONCLUSIONS: The results of our study can now be used as reference values in studies on distortions of the Vbeta repertoire in disease states. The six-tube test kit can be used for detection of single Vbeta domain expression in large T-cell expansions (>2.0 x 10(9)/l), which are clinically suspicious of T-cell leukemia.","['Department of Immunology, Erasmus University Rotterdam/University Hospital Rotterdam, The Netherlands.']","['0 (Receptors, Antigen, T-Cell, alpha-beta)']",,"['Copyright 2000 Wiley-Liss, Inc.']",['Cytometry. 2001 Aug 1;44(4):369. PMID: 11500854'],,,,,,,,,,,,,
10918232,NLM,MEDLINE,20000825,20190905,0098-1532 (Print) 0098-1532 (Linking),35,2,2000 Aug,Spontaneous remission of congenital acute nonlymphoblastic leukemia with normal karyotype in twins.,110-3,"['Mora, J', 'Dobrenis, A M', 'Bussel, J B', 'Aledo, A']","['Mora J', 'Dobrenis AM', 'Bussel JB', 'Aledo A']",['eng'],"['Case Reports', 'Journal Article']",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,IM,,"['Bone Marrow/pathology', '*Diseases in Twins', 'Female', 'Humans', 'Immunophenotyping', 'Infant, Newborn', 'Karyotyping', 'Leukemia, Myeloid, Acute/blood/*congenital/immunology', 'Placenta/pathology', 'Remission, Spontaneous', 'Skin/pathology']",2000/08/05 11:00,2000/09/02 11:01,['2000/08/05 11:00'],"['2000/08/05 11:00 [pubmed]', '2000/09/02 11:01 [medline]', '2000/08/05 11:00 [entrez]']","['10.1002/1096-911X(200008)35:2<110::AID-MPO4>3.0.CO;2-Z [pii]', '10.1002/1096-911x(200008)35:2<110::aid-mpo4>3.0.co;2-z [doi]']",ppublish,Med Pediatr Oncol. 2000 Aug;35(2):110-3. doi: 10.1002/1096-911x(200008)35:2<110::aid-mpo4>3.0.co;2-z.,"BACKGROUND: Congenital acute nonlymphoblastic leukemia (cANLL) is an extremely rare event and represents only 0.5-1% of the leukemias in the first year of life. It is usually more common among patients with chromosomal abnormalities. Transient myeloproliferative disease (TMD) is an hyperleukocytosis entity that occurs almost exclusively in Down syndrome patients and remits spontaneously. Spontaneous remission of congenital leukemia has been reported and related to the presence of an extra chromosome 21. PROCEDURE: A pair of non-Down syndrome newborn twins presented with a clinical picture of skin rash and hyperleukocytosis. Twin B had full-blown cANLL with bone marrow, peripheral blood, skin, CSF, and placental invasion. Twin A presented transient peripheral blood and skin involvement by the same type of blast cells. No cytotoxic therapy was given. With 2 years follow-up, they continue to do well. RESULTS: Histologic and immunophenotypical analysis of placentas, cord blood, skin, CSF, bone marrows, and peripheral blood revealed a consistent picture of intrautero cANLL in twin B, with transplacental invasion of twin A. Normal and blast cells were found to be karyotypically normal. Spontaneous remission occurred. CONCLUSIONS: cANLL with karyotypically normal blasts can develop a self-limited clinical course, which has resemblances to TMD.","['Department of Pediatrics, Memorial Sloan-Kettering Cancer Center, New York, New York 10021, USA. MoraJ@MSKCC.org']",,,"['Copyright 2000 Wiley-Liss, Inc.']",,,,,,,,,,,,,,
