PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,RF,PMC,CI,GR,CIN,CON,EIN,TT,LID,SI,UIN,RIN,OTO,OT,IR,FIR,IRAD,DEP,OID,GN
10833248,NLM,MEDLINE,20000727,20190826,0364-2313 (Print) 0364-2313 (Linking),24,7,2000 Jul,Landmarks in the development of hematopoietic cell transplantation.,815-8,"The field of bone marrow transplantation has evolved over a period of 50 years. Reports of beneficial treatment of murine leukemia by irradiation and injection of marrow cells from another mouse stimulated interest in attempting to use these techniques to treat patients with leukemia. The first few bold attempts at human application were generally met with a total lack of success except for a few transplants involving identical twins. Understanding the HLA system led to the ability to select compatible sibling donors. The first successful long-term survivors were reported at the end of the 1960s. During the 1970's patients were given transplants for leukemia after failure of all other treatment. Survivals were poor, but some patients were cured. Transplantation early in the course of the disease resulted in greatly improved survival. During the 1980s improved control of infections, the use of peripheral blood as the source of stem cells, and the ability to select donors other than family members resulted in wide application of hematopoietic cell grafting.","['Thomas, E D']",['Thomas ED'],"['Department of Medicine, University of Washington, Fred Hutchinson Cancer Research Center, Seattle, WA 98109, USA.']",['eng'],"['Historical Article', 'Journal Article']",United States,World J Surg,World journal of surgery,7704052,IM,"['Hematopoietic Stem Cell Transplantation/*history/methods', 'History, 20th Century', 'United States']",2000/06/01 00:00,2000/06/01 00:01,['2000/06/01 00:00'],"['2000/06/01 00:00 [pubmed]', '2000/06/01 00:01 [medline]', '2000/06/01 00:00 [entrez]']","['10.1007/s002680010130 [pii]', '10.1007/s002680010130 [doi]']",ppublish,World J Surg. 2000 Jul;24(7):815-8. doi: 10.1007/s002680010130.,,,,,,,,,,,,,,,,,,,,,
10833173,NLM,MEDLINE,20000712,20190501,1468-2044 (Electronic) 0003-9888 (Linking),82,6,2000 Jun,Recent advances in management of acute leukaemia.,438-42,There have been significant improvements in the outlook for children with acute leukaemia but these advances are only available to a minority of the world's children. There is still room for improvements in conventional chemotherapy and these need evaluation in randomised trials. The role of bone marrow transplants in first remission is evolving as chemotherapy becomes more effective. New treatments are needed for relapsed patients. Molecular diagnosis has refined the assessment of prognosis but the extra value afforded by measurement of minimal residual disease is not clear. International collaboration is needed to evaluate treatment for rare subtypes of leukaemia.,"['Chessells, J M']",['Chessells JM'],"['Camelia Botnar Laboratories, Institute of Child Health, 30 Guilford Street, London WC1N 1EH, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Arch Dis Child,Archives of disease in childhood,0372434,IM,"['Acute Disease', 'Antineoplastic Agents/*therapeutic use', 'Bone Marrow Transplantation/*methods', 'Child', 'Child, Preschool', 'Humans', 'Leukemia/diagnosis/*therapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/therapy', 'Recurrence', 'Remission Induction', 'Risk Assessment']",2000/06/01 09:00,2000/07/15 11:00,['2000/06/01 09:00'],"['2000/06/01 09:00 [pubmed]', '2000/07/15 11:00 [medline]', '2000/06/01 09:00 [entrez]']",['10.1136/adc.82.6.438 [doi]'],ppublish,Arch Dis Child. 2000 Jun;82(6):438-42. doi: 10.1136/adc.82.6.438.,['0 (Antineoplastic Agents)'],51,PMC1718359,,,,,,,,,,,,,,,,,,
10832723,NLM,MEDLINE,20000907,20190915,0031-3998 (Print) 0031-3998 (Linking),47,6,2000 Jun,Susceptibility to leukemia and resistance to solid tumors in Down syndrome.,704,,"['Zipursky, A']",['Zipursky A'],,['eng'],['News'],United States,Pediatr Res,Pediatric research,0100714,IM,"['Child, Preschool', 'Down Syndrome/*complications', 'Humans', 'Incidence', 'Infant', 'Infant, Newborn', 'Leukemia, Megakaryoblastic, Acute/*complications/epidemiology', 'Neoplasms/*epidemiology']",2000/06/01 09:00,2000/09/09 11:01,['2000/06/01 09:00'],"['2000/06/01 09:00 [pubmed]', '2000/09/09 11:01 [medline]', '2000/06/01 09:00 [entrez]']",['10.1203/00006450-200006000-00002 [doi]'],ppublish,Pediatr Res. 2000 Jun;47(6):704. doi: 10.1203/00006450-200006000-00002.,,,,,,,,,,,,,,,,,,,,,
10832235,NLM,MEDLINE,20000614,20190722,0019-5456 (Print) 0019-5456 (Linking),67,2,2000 Feb,Cytogenetics investigation in childhood chronic myeloid leukemia.,107-12,"Cytogenetics investigations, mostly from peripheral blood, were carried out in 30 children with CML. Amongst a sample of 30 patients, 18 had chronic myeloid leukemia of adult variety (ACML), while the remaining 12 children had the juvenile type of chronic myeloid leukemia (JCML). Sixteen (88.9%) out of the 18 patients suffering from ACML tested positive for the classical Philadelphia chromosome translocation t(9; 22). Of the remaining two ACML patients, one tested positive for t(9; 13; 22) while no visible chromosomal changes were observed in the other patient. The activity of Nucleolar Organizer Region (NOR) was significantly reduced in 11 (61.1%) of the 18 patients suffering from ACML, when compared to that of 21 normal healthy controls. Ten out of the 12 patients suffering from JCML had normal karyotypes, while monosomy 8 and 21 q deletion were seen in the remaining two patients respectively. Amongst the 30 CML patients, chromosomal abnormalities were observed in 19 patients. Variant Philadelphia chromosome translocation (9; 13; 22) and monosomy B were observed in ACML and JCML, respectively. In two ACML patients, cytogenetic studies were helpful in diagnosis of the disease.","['Chinnappan, D', 'Verma, I C', 'Choudhry, V P', 'Arya, L S']","['Chinnappan D', 'Verma IC', 'Choudhry VP', 'Arya LS']","['Center for Human Genetics, University School of Medicine, Boston, MA 02118, USA.']",['eng'],['Journal Article'],India,Indian J Pediatr,Indian journal of pediatrics,0417442,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Cytogenetic Analysis', 'Female', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Male', 'Nucleolus Organizer Region', 'Philadelphia Chromosome', 'Translocation, Genetic']",2000/06/01 09:00,2000/06/17 09:00,['2000/06/01 09:00'],"['2000/06/01 09:00 [pubmed]', '2000/06/17 09:00 [medline]', '2000/06/01 09:00 [entrez]']",['10.1007/BF02726178 [doi]'],ppublish,Indian J Pediatr. 2000 Feb;67(2):107-12. doi: 10.1007/BF02726178.,,,,,,,,,,,,,,,,,,,,,
10831918,NLM,MEDLINE,20000728,20191104,0955-3886 (Print) 0955-3886 (Linking),22,3,2000 Jun,PCR testing for HCV in anti-HCV negative blood donors involved in the so called HCV +ve post-transfusion hepatitis.,161-4,"UNLABELLED: Although it is infrequent, post-transfusion HCV infection may occur if the donors blood is collected in the window period between exposure and anti-HCV detectability by ELISA testing. STUDY DESIGN: In these last years, despite of routine application of anti-HCV testing, our blood transfusion center has been involved in 53 cases of alleged post-transfusion HCV hepatitis and look-back programs were set up with the goal of finding out the donors possibly involved in viral transmission. Most of these patients were hematological cases with multiple transfusions given because of aplastic anemia (3 cases), leukemia with or without bone marrow transplantation (5/4 cases) but necessitating long-term platelet support, leukemia and solid cancer patients undergoing autologous PBSC transplantation (3/4 cases) and TTP (2 cases). Only 32 patients were of the simple medical or surgical type, 9 transfused because of cardiac or vascular surgery, 8 because of spine surgery, 5 for different diseases and 5 for different types of cancer surgery. Donor's infectivity was determined by ELISA anti-HCV testing, by recombinant immunoblotting assay, and by nucleic acid testing. RESULTS AND CONCLUSION: No donors out of 267 traced of a total of 359 involved was found with anti-HCV seroconversion, or positive on PCR testing. This suggests that the responsibility for HCV transmission can only hypothetically be related to blood or blood components and that other transmission routes should be found out.","['Ruzzenenti, M R', 'De Luigi, M C', 'Bruni, R', 'Giannini, G', 'Bo, A', 'Valbonesi, M', 'Barresi, R', 'Torretta, F', 'Gianotti, P', 'Bruzzone, B']","['Ruzzenenti MR', 'De Luigi MC', 'Bruni R', 'Giannini G', 'Bo A', 'Valbonesi M', 'Barresi R', 'Torretta F', 'Gianotti P', 'Bruzzone B']","['Immunohematology Services, San Martino University Hospital, Largo R. Benzi 10, 16132, Genoa, Italy.']",['eng'],['Journal Article'],England,Transfus Sci,Transfusion science,9001514,,"['Blood Donors/legislation & jurisprudence', 'Blood Transfusion/legislation & jurisprudence/*standards', 'Disease Transmission, Infectious/economics/legislation & jurisprudence', '*Hepacivirus/genetics', 'Hepatitis C/blood/epidemiology/*transmission', 'Hepatitis C Antibodies/*blood', 'Humans', 'Italy', 'Polymerase Chain Reaction', 'Population Surveillance', 'RNA, Viral/blood', 'Seroepidemiologic Studies', 'Transfusion Reaction']",2000/06/01 09:00,2000/09/08 11:01,['2000/06/01 09:00'],"['2000/06/01 09:00 [pubmed]', '2000/09/08 11:01 [medline]', '2000/06/01 09:00 [entrez]']","['S0955-3886(00)00043-6 [pii]', '10.1016/s0955-3886(00)00043-6 [doi]']",ppublish,Transfus Sci. 2000 Jun;22(3):161-4. doi: 10.1016/s0955-3886(00)00043-6.,"['0 (Hepatitis C Antibodies)', '0 (RNA, Viral)']",,,,,,,,,,,,,,,,,,,,
10831734,NLM,MEDLINE,20000720,20131121,0003-4878 (Print) 0003-4878 (Linking),44,4,2000 Jun,Retrospective exposure assessment for benzene in the Australian petroleum industry.,301-20,"An excess of lympho-haematopoietic (LH) cancers has been identified in the Australian petroleum industry through the Health Watch surveillance programme. A nested case-control study is being conducted to investigate this excess. This paper describes the methods used to provide quantitative estimates of benzene exposure for each of the subjects in the case-control study. Job histories were compiled for each subject from interviews and company employment records. Site visits and telephone interviews were used to identify the tasks included in each job title. Details about the tasks such as their frequency, the technology in use and about changes that had taken place over the years were also gathered. Exposure dated back to the late 1940s for a few subjects. Collaborating petroleum companies provided recent benzene exposure monitoring data. These were used to generate Base Estimates of exposure for each task, augmented with data from the literature where necessary. Past exposures were estimated from the Base Estimates by means of an exposure algorithm. The modifying effects of technological changes and changes to the product were used in the algorithm. The algorithm was then computed to give, for each job, for each subject, an estimate of average benzene exposure in ppm in the workplace atmosphere (Workplace Estimate). This value was multiplied by the years for which the job was held and these values summed to give an estimate of Cumulative Estimate of benzene in ppm-years. The occupational hygienists performing the exposure assessment did so without knowledge of the case or control status of subjects. Overall exposures to benzene in the Australian petroleum industry were low, and virtually all activities and jobs were below a time-weighted average of 5 ppm. Exposures in terminals were generally higher than at refineries. Exposures in upstream areas were extremely low. Estimates of Cumulative Estimate to benzene ranged from 0.005 to 50.9 ppm-years.","['Glass, D C', 'Adams, G G', 'Manuell, R W', 'Bisby, J A']","['Glass DC', 'Adams GG', 'Manuell RW', 'Bisby JA']","['Occupational Hygiene Unit, Faculty of Science and Technology, Deakin University, Victoria 3217, Geelong, Australia.']",['eng'],"['Journal Article', 'Multicenter Study']",England,Ann Occup Hyg,The Annals of occupational hygiene,0203526,IM,"['Australia', 'Benzene/*analysis', 'Case-Control Studies', 'Humans', 'Leukemia/prevention & control', 'Models, Theoretical', 'Occupational Exposure/*analysis', '*Petroleum', 'Retrospective Studies']",2000/06/01 09:00,2000/07/25 11:00,['2000/06/01 09:00'],"['2000/06/01 09:00 [pubmed]', '2000/07/25 11:00 [medline]', '2000/06/01 09:00 [entrez]']",['S0003-4878(99)00105-2 [pii]'],ppublish,Ann Occup Hyg. 2000 Jun;44(4):301-20.,"['0 (Petroleum)', 'J64922108F (Benzene)']",,,,,,,,,,,,,,,,,,,,
10831317,NLM,MEDLINE,20000713,20171116,0008-8749 (Print) 0008-8749 (Linking),201,2,2000 May 1,"The epithelial mucin, MUC1, is expressed on resting T lymphocytes and can function as a negative regulator of T cell activation.",83-8,"MUC1 is a mucinous glycoprotein which is normally expressed on the surface of a variety of epithelia and aberrantly overexpressed on some human tumors. In this report, we demonstrate that the epithelial mucin, MUC1, is expressed on resting human peripheral blood T cells and two leukemia T cell lines, Jurkat and Hut 78. Crosslinking of MUC1 on peripheral blood T cells by plate-bound anti-MUC1 (DF3-P) antibody inhibits cell proliferation, IL-2 and GM-CSF production, and up-regulation of the IL-2 receptor upon anti-CD3 stimulation. Induction of IL-2 production by Jurkat and HUT 78 is also suppressed and cannot be reversed by the addition of anti-CD28 mAb. These findings suggest that MUC1 can be a potent negative regulator for T cell activation at the resting stage.","['Chang, J F', 'Zhao, H L', 'Phillips, J', 'Greenburg, G']","['Chang JF', 'Zhao HL', 'Phillips J', 'Greenburg G']","['Cell Genesys Inc., Foster City, CA 94404, USA.']",['eng'],['Journal Article'],Netherlands,Cell Immunol,Cellular immunology,1246405,IM,"['CD28 Antigens/metabolism', 'Cell Line', 'Flow Cytometry', 'Granulocyte-Macrophage Colony-Stimulating Factor/biosynthesis', 'Humans', 'Immune Tolerance', 'Immunologic Capping', 'Interleukin-2/biosynthesis', 'Leukemia, T-Cell/*immunology', 'Lymphocyte Activation/*genetics', 'Mucin-1/genetics/*metabolism', 'RNA, Messenger/isolation & purification', 'Signal Transduction', 'T-Lymphocytes/*immunology', 'Tumor Necrosis Factor-alpha/biosynthesis']",2000/06/01 09:00,2000/07/15 11:00,['2000/06/01 09:00'],"['2000/06/01 09:00 [pubmed]', '2000/07/15 11:00 [medline]', '2000/06/01 09:00 [entrez]']","['10.1006/cimm.2000.1643 [doi]', 'S0008-8749(00)91643-5 [pii]']",ppublish,Cell Immunol. 2000 May 1;201(2):83-8. doi: 10.1006/cimm.2000.1643.,"['0 (CD28 Antigens)', '0 (Interleukin-2)', '0 (Mucin-1)', '0 (RNA, Messenger)', '0 (Tumor Necrosis Factor-alpha)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",,,['Copyright 2000 Academic Press.'],,,,,,,,,,,,,,,,,
10831287,NLM,MEDLINE,20000926,20191104,0037-1963 (Print) 0037-1963 (Linking),37,2 Suppl 4,2000 Apr,Thrombopoietin in the treatment of acute myeloid leukemia and in stem-cell transplantation.,35-40,"Recent studies indicate that thrombopoietin (TPO) may be highly effective in mobilizing autologous peripheral blood stem cells (PBSCs) for transplantation in patients undergoing intensive chemotherapy. The yield of CD34+ progenitor cells can be increased as can the percentage of patients achieving adequate grafts for use in transplantation. However, the effect of TPO in patients with hematologic malignancies undergoing induction or postremission chemotherapy or in the stem-cell transplantation setting has not been demonstrated. Further study is warranted for better definition of the role of TPO in the treatment of severe thrombocytopenia in these settings.","['Linker, C']",['Linker C'],"['Division of Hematology/Oncology, University of California, San Francisco 94143-0324, USA.']",['eng'],"['Journal Article', 'Review']",United States,Semin Hematol,Seminars in hematology,0404514,IM,"['Acute Disease', 'Antineoplastic Agents/adverse effects', 'Clinical Trials as Topic', 'Hematopoietic Stem Cell Mobilization', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Leukemia, Myeloid/complications/drug therapy/*therapy', 'Polyethylene Glycols/therapeutic use', 'Recombinant Proteins/therapeutic use', 'Thrombocytopenia/chemically induced/drug therapy', 'Thrombopoietin/*therapeutic use']",2000/06/01 09:00,2000/09/30 11:01,['2000/06/01 09:00'],"['2000/06/01 09:00 [pubmed]', '2000/09/30 11:01 [medline]', '2000/06/01 09:00 [entrez]']","['S0037-1963(00)90051-9 [pii]', '10.1016/s0037-1963(00)90051-9 [doi]']",ppublish,Semin Hematol. 2000 Apr;37(2 Suppl 4):35-40. doi: 10.1016/s0037-1963(00)90051-9.,"['0 (Antineoplastic Agents)', '0 (Recombinant Proteins)', '0 (polyethylene glycol-recombinant human megakaryocyte growth and development', 'factor)', '3WJQ0SDW1A (Polyethylene Glycols)', '9014-42-0 (Thrombopoietin)']",20,,,,,,,,,,,,,,,,,,,
10831280,NLM,MEDLINE,20001005,20190915,0959-4973 (Print) 0959-4973 (Linking),11,3,2000 Mar,Structure-activity studies on gossypol in tumor cell lines.,209-16,"Gossypol [(2,2'-binaphthalene)-8,8'-dicarboxaldehyde-1,1',6,6',7,7'-hexahydroxy-5,5'-diiso propyl-3,3'-dimethyl] 1a is a naturally occurring compound extracted from the cotton plant and has been extensively studied as an oral male contraceptive. Its favorable toxicity profile, and the more recent demonstration of anti-tumor activity in animals and humans, prompted us to investigate the role of the aldehyde groups in a structure-activity study in cultured tumor cells. Four racemic compounds were evaluated: gossypol 1a, gossypolone 2, the bis Schiff's base of L-phenylalanine methyl ester with gossypol (bis Schiff's base) 1c and apogossypol 1b. The former two compounds both retain the aldehyde functional groups at positions 8 and 8' of the molecule whilst in the latter two compounds the aldehydes are blocked or absent, respectively. In addition, the l- and d-isomers of gossypol 1a, the bis Schiff's base 1c and the half Schiff's base 1d (one aldehyde blocked) were tested. The cell lines studied included melanoma (SK-mel-19), cervix (Sihas), small cell lung (H69) and myelogenous leukemia (K562). Cytotoxicity was measured using the MTT and flow cytometric viability assays. Racemic gossypol 1a and gossypolone 2 induced similar dose-dependent decreases in cell viability in all the cell lines with IC50 values of 23-46 and 28-50 microM, respectively. In contrast, the racemic bis Schiff's base derivative of gossypol 1c and apogossypol 1b showed minimal activity in any cell line up to 50 microM. The l-enantiomer of gossypol 1a was significantly more active than the d-enantiomer (IC50 of 20 versus > 50 microM, respectively). When one aldehyde of either enantiomer was blocked 1d cytoxicity was comparable to the l-enantiomer of gossypol. The data suggest that only one aldehyde group is required for the cytotoxicity of gossypol 1a, irrespective of the stereoconfiguration.","['Shelley, M D', 'Hartley, L', 'Groundwater, P W', 'Fish, R G']","['Shelley MD', 'Hartley L', 'Groundwater PW', 'Fish RG']","['Research Laboratories, Velindre NHS Trust, Whitchurch, Cardiff, UK. mike.shelley@velindre.tr.wales.nhs.uk']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Anticancer Drugs,Anti-cancer drugs,9100823,IM,"['Antineoplastic Agents/*chemistry/*pharmacology', 'Cell Survival/drug effects', 'Flow Cytometry', 'Gossypol/*chemistry/*pharmacology', 'Humans', 'Structure-Activity Relationship', 'Tumor Cells, Cultured/drug effects']",2000/06/01 09:00,2000/10/07 11:01,['2000/06/01 09:00'],"['2000/06/01 09:00 [pubmed]', '2000/10/07 11:01 [medline]', '2000/06/01 09:00 [entrez]']",['10.1097/00001813-200003000-00009 [doi]'],ppublish,Anticancer Drugs. 2000 Mar;11(3):209-16. doi: 10.1097/00001813-200003000-00009.,"['0 (Antineoplastic Agents)', 'KAV15B369O (Gossypol)']",,,,,,,,,,,,,,,,,,,,
10831073,NLM,MEDLINE,20000822,20191104,0897-7194 (Print) 0897-7194 (Linking),18,1,2000,"T-cell-specific expression of kinase-defective Eph-family receptor protein, EphB6 in normal as well as transformed hematopoietic cells.",63-78,"Although most kinase-defective growth factor receptor proteins are associated with pathogenic conditions, a kinase-defective Eph-family receptor protein, EphB6, is expressed in normal human tissues. We generated monoclonal antibodies specific for human EphB6 to characterize its expression on human hematopoietic cells. A very small population of normal human peripheral white blood cells (0.57 +/- 0.07%, n = 12) expressed EphB6. The EphB6-positive cells were CD2+, CD7+, CD3+ and CD4+ or CD8+ lymphocytes, but they did not express CD19 or CD11b. In human bone marrow, only 1.5 +/- 0.19% of lymphocytes expressed EphB6. Compared with the expression in peripheral lymphocytes, prominent expression of EphB6 protein was demonstrated in CD4+CD8+ double-positive mouse thymocytes. The T-cell lineage-specific expression was strictly conserved in human leukemia/lymphoma cells. Among T-cell-derived leukemia cells, the expression level of EphB6 seemed to decrease with maturation of the cells. These results suggest that EphB6 expression is regulated in T-cell development.","['Shimoyama, M', 'Matsuoka, H', 'Tamekane, A', 'Ito, M', 'Iwata, N', 'Inoue, R', 'Chihara, K', 'Furuya, A', 'Hanai, N', 'Matsui, T']","['Shimoyama M', 'Matsuoka H', 'Tamekane A', 'Ito M', 'Iwata N', 'Inoue R', 'Chihara K', 'Furuya A', 'Hanai N', 'Matsui T']","['Department of Medicine, Kobe University School of Medicine, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Growth Factors,"Growth factors (Chur, Switzerland)",9000468,IM,"['Animals', 'Bone Marrow Cells/metabolism', 'Cell Lineage', '*Cell Transformation, Neoplastic', 'Hematopoietic Stem Cells/*metabolism', 'Humans', 'Immunoblotting', 'Immunohistochemistry', 'Leukocytes, Mononuclear/metabolism', 'Mice', 'Protein-Tyrosine Kinases/deficiency', 'Receptor Protein-Tyrosine Kinases/*biosynthesis/*genetics', 'T-Lymphocytes/*metabolism', 'Thymus Gland/cytology/immunology', 'Tissue Distribution', 'Tumor Cells, Cultured']",2000/06/01 09:00,2000/08/29 11:01,['2000/06/01 09:00'],"['2000/06/01 09:00 [pubmed]', '2000/08/29 11:01 [medline]', '2000/06/01 09:00 [entrez]']",['10.3109/08977190009003234 [doi]'],ppublish,Growth Factors. 2000;18(1):63-78. doi: 10.3109/08977190009003234.,"['EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.1 (Receptor Protein-Tyrosine Kinases)']",,,,,,,,,,,,,,,,,,,,
