PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,TT,AID,CI,GR,EIN,CIN,SI,PMC,CRF,CON,LID,DEP,OID,OTO,OT,GN,IR,FIR,IRAD
10740632,NLM,MEDLINE,20000407,20161124,0385-0684 (Print) 0385-0684 (Linking),27,3,2000 Mar,[New combination therapies in hematological malignancies].,388-94,"New combination therapies against hematological malignancies have recently been reported. Anti-CD20 chimeric antibody adds a therapeutic benefit to standard-dose CHOP therapy without causing significant additional toxicity in the treatment of indolent B cell lymphoma. Multidrug resistant modifiers such as PSC833 and MS209 in combination with chemotherapy are useful for treating poor risk AML patients, whose leukemia/lymphoma cells express P-glycoprotein. Fludarabine containing FL and FLAG therapy were effective in patients with AML in relapse. The early addition of chemotherapy to ATRA, and maintenance therapy with chemotherapy and intermittent ATRA, can reduce the incidence of relapse in cases of acute promyelocytic leukemia.","['Takeshita, A', 'Ohno, R']","['Takeshita A', 'Ohno R']","['Department of Internal Medicine III, Hamamatsu University School of Medicine, Japan.']",['jpn'],"['Journal Article', 'Review']",Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Murine-Derived)', '0 (Cyclosporins)', '0 (Quinolines)', '04079A1RDZ (Cytarabine)', '0BJK6B565B (dofequidar)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '4F4X42SYQ6 (Rituximab)', '5688UTC01R (Tretinoin)', '5J49Q6B70F (Vincristine)', '80168379AG (Doxorubicin)', '8N3DW7272P (Cyclophosphamide)', 'FA2DM6879K (Vidarabine)', 'Q7ZP55KF3X (valspodar)', 'VB0R961HZT (Prednisone)', 'CHOP protocol', 'FLAG protocol']",IM,"['Antibodies, Monoclonal/administration & dosage', 'Antibodies, Monoclonal, Murine-Derived', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Cyclophosphamide/administration & dosage', 'Cyclosporins/administration & dosage', 'Cytarabine/administration & dosage', 'Doxorubicin/administration & dosage', 'Drug Administration Schedule', 'Granulocyte Colony-Stimulating Factor/administration & dosage', 'Humans', 'Lymphoma, B-Cell/*drug therapy', 'Myelodysplastic Syndromes/drug therapy', 'Prednisone/administration & dosage', 'Quinolines/administration & dosage', 'Rituximab', 'Tretinoin/administration & dosage', 'Vidarabine/administration & dosage/analogs & derivatives', 'Vincristine/administration & dosage']",17,2000/03/31 00:00,2000/03/31 00:01,['2000/03/31 00:00'],"['2000/03/31 00:00 [pubmed]', '2000/03/31 00:01 [medline]', '2000/03/31 00:00 [entrez]']",ppublish,Gan To Kagaku Ryoho. 2000 Mar;27(3):388-94.,,,,,,,,,,,,,,,,,,,
10740408,NLM,MEDLINE,20000509,20171116,,101,4,1999 Apr,"[Expression of CD5 antigen in B and T cells from umbilical cord blood, from blood of healthy adults and patients with chronic lymphocytic B-cell leukemia (PBL-B)].",307-14,"Antigen CD5 is the glycoprotein which belong to the scavenger receptor cysteine-rich family. Mainly there is on the T cells subpopulation. During fetal life B CD5+ cells are major subpopulation of B cells in the spleen, lymph nodes and there are also in the cord blood. In adult CD5+ cells are minor subpopulation (27%) of B cells from the peripheral blood. CD5 there are on chronic lymphocyte leukaemia B cells (B-CLL) also. Usually expression CD5 on B-CLL cells associated with weak or lack expression of the surface immunoglobulins and CD79 beta, CD20, CD22, CD21 (CR-2), CD35 (CR-1) antigens. It appeared interesting to compare the expression of CD5 antigen (the mean fluorescence intensity--MFI of CD5) on B cells from the cord blood, adults peripheral blood and B-CLL patients. MFI of CD5 on B and T cells were also compared in each groups. MFI of CD 19 was studied too. Lymphocytes from the cord blood (11 assays), adult peripheral blood of healthy volunteers (18 assays) and the peripheral blood of no treated patients with B-CLL (56 assays) were studied. The immunological phenotype of lymphocytes was evaluated with the monoclonal antibodies anti-CD5 and anti-CD19 by the flow cytometry method. We have demonstrated that MFI of CD5 on B cells from patients with B-CLL was strongest and weakest from normal individuals. MFI of CD5 on T cells from patients with B-CLL is stronger in comparison to healthy volunteers. MFI of CD19 is weakest on cells from patients with B-CLL and strongest in normal individuals. On the basis of the our results and other medical papers we suggest on the one hand that biology of B-CLL depend on deficit antigens specific for B cells lines on the other hand depend on overexpression of CD5 antigens on leukaemic B and T cells also.","['Rolinski, J', 'Rupniewska, Z M', 'Wasik-Szczepanek, E']","['Rolinski J', 'Rupniewska ZM', 'Wasik-Szczepanek E']",['Zaklad Immunologii Klinicznej AM w Lublinie.'],['pol'],['Journal Article'],Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,['0 (CD5 Antigens)'],IM,"['Adult', 'B-Lymphocytes/*immunology', 'CD5 Antigens/*analysis', 'Fetal Blood/*immunology', 'Humans', 'Immunophenotyping', 'Infant, Newborn', 'Leukemia, Lymphocytic, Chronic, B-Cell/*immunology', 'Reference Values', 'T-Lymphocytes/*immunology']",,2000/03/31 09:00,2000/05/16 09:00,['2000/03/31 09:00'],"['2000/03/31 09:00 [pubmed]', '2000/05/16 09:00 [medline]', '2000/03/31 09:00 [entrez]']",ppublish,Pol Arch Med Wewn. 1999 Apr;101(4):307-14.,"Ekspresja czasteczki CD5 na komorkach B i T we krwi pepowinowej, we krwi doroslych osob zdrowych i chorych na przewlekla bialaczke limfatyczna B-komorkowa (PBL-B).",,,,,,,,,,,,,,,,,,
10740373,NLM,MEDLINE,20000405,20041117,0023-7205 (Print) 0023-7205 (Linking),97,7,2000 Feb 16,[The connection between magnetic fields and cancer is still of current interest].,677,,"['Ahlbom, A']",['Ahlbom A'],"['Institutet for miljomedicin, Karolinska institutet, Stockholm.']",['swe'],['Journal Article'],Sweden,Lakartidningen,Lakartidningen,0027707,,IM,"['Electromagnetic Fields/*adverse effects', 'Environmental Exposure/adverse effects', 'Humans', 'Leukemia/etiology', 'Neoplasms/*etiology', 'Risk Factors']",,2000/03/31 00:00,2000/03/31 00:01,['2000/03/31 00:00'],"['2000/03/31 00:00 [pubmed]', '2000/03/31 00:01 [medline]', '2000/03/31 00:00 [entrez]']",ppublish,Lakartidningen. 2000 Feb 16;97(7):677.,Fortfarande mojligt samband mellan magnetfalt och cancer.,,,,,,,,,,,,,,,,,,
10740074,NLM,MEDLINE,20000511,20161124,0221-0363 (Print) 0221-0363 (Linking),81,3,2000 Mar,[Legionella pneumophila: unusual lung and hepatic manifestations].,241-2,We report an uncommon presentation of Legionella pneumophila infection following a placentalblood transplantation in an immunodeficient child. The patient presented with lung nodules and liver abscesses. We discuss how a digestive contamination can be suspected.,"['Leluc, O', 'Doucet, V', 'Petit, P', 'Thuret, I', 'Devred, P']","['Leluc O', 'Doucet V', 'Petit P', 'Thuret I', 'Devred P']","['Service de radiologie pediatrique, CHU Timone-Adultes, 13385 Marseille Cedex 5, France.']",['fre'],"['Case Reports', 'Journal Article']",France,J Radiol,Journal de radiologie,7906266,,IM,"['Autopsy', 'Blood Transfusion', 'Child', 'Fatal Outcome', 'Female', 'Fetal Blood', 'Humans', '*Immunocompromised Host', '*Legionella pneumophila/classification', ""Legionnaires' Disease/*diagnostic imaging/etiology/*microbiology"", 'Leukemia/complications/therapy', 'Liver Abscess/*diagnostic imaging/etiology/*microbiology', 'Lung Diseases/*diagnostic imaging/etiology/*microbiology', 'Serotyping', 'Tomography, X-Ray Computed']",,2000/03/31 09:00,2000/05/16 09:00,['2000/03/31 09:00'],"['2000/03/31 09:00 [pubmed]', '2000/05/16 09:00 [medline]', '2000/03/31 09:00 [entrez]']",ppublish,J Radiol. 2000 Mar;81(3):241-2.,Legionella pneumophila: presentation thoracique inhabituelle et localisations hepatiques.,['MDOI-JR-03-2000-81-3-0221-0363-101019-ART9 [pii]'],,,,,,,,,,,,,,,,,
10739974,NLM,MEDLINE,20000515,20071115,0151-9638 (Print) 0151-9638 (Linking),127,2,2000 Feb,[Extracorporeal photopheresis as an alternative therapy for drug-resistant graft versus host disease: three cases].,166-70,"BACKGROUND: Graft versus host reaction is a life-threatening complication of allogenic bone marrow transplantation. Extracorporeal photopheresis has been used for some years in the treatment of graft versus host reaction. We report on three children treated with extracorporeal photopheresis for a graft versus host reaction resistant to immunosuppresive drugs. MATERIAL AND METHODS: Three children with a graft versus host reaction were submitted to 18, 30 and 46 extracorporeal photopheresis courses respectively. In the same time, the other immunosuppressive treatments were tapered or definitively stopped (ciclosporin). RESULTS: A dramatic improvement of cutaneous status and biological data was observed after the first courses. However, the extracorporeal photopheresis treatment did not improve the mucous lesions. No serious adverse effect was encountered. COMMENTS: As published elsewhere, extracorporeal photopheresis was effective on the graft versus host reaction lichenoid cutaneous lesions and in case of visceral involvement. In all of our cases, the immunosuppressive drug could have been tapered. No adverse event was observed. Thus, extracorporeal photopheresis should be indicated in case of resistance to immunosuppressive drugs.","[""D'incan, M"", 'Kanold, J', 'Halle, P', 'De Lumley, L', 'Souteyrand, P', 'Demeocq, F']","[""D'incan M"", 'Kanold J', 'Halle P', 'De Lumley L', 'Souteyrand P', 'Demeocq F']","['Service de Dermatologie, CHRU-Hotel-Dieu, BP 69, 63001 Clermont-Ferrand Cedex 01, France.']",['fre'],"['Case Reports', 'English Abstract', 'Journal Article']",France,Ann Dermatol Venereol,Annales de dermatologie et de venereologie,7702013,,IM,"['Antineoplastic Combined Chemotherapy Protocols/adverse effects/therapeutic use', '*Bone Marrow Transplantation', 'Child', 'Child, Preschool', 'Female', 'Graft vs Host Disease/*drug therapy', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy', 'Male', '*Photopheresis', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy', 'Treatment Outcome']",,2000/03/31 09:00,2000/05/20 09:00,['2000/03/31 09:00'],"['2000/03/31 09:00 [pubmed]', '2000/05/20 09:00 [medline]', '2000/03/31 09:00 [entrez]']",ppublish,Ann Dermatol Venereol. 2000 Feb;127(2):166-70.,Photochimiotherapie extracorporelle dans le traitement de la reaction chronique du greffon contre l'hote: trois cas.,['MDOI-AD-03-2000-127-2-0151-9638-101019-ART60 [pii]'],,,,,,,,,,,,,,,,,
10739816,NLM,MEDLINE,20000505,20190513,0268-1161 (Print) 0268-1161 (Linking),15,4,2000 Apr,Testicular and sperm DNA damage after treatment with fludarabine for chronic lymphocytic leukaemia.,762-6,"This study investigated whether chemotherapy using fludarabine (FLU) caused testicular damage and if cytotoxicity could be detected as sperm DNA damage in the single cell Comet assay. A patient with chronic lymphocytic leukaemia requesting preservation of fertility was treated with seven monthly cycles of fludarabine (45.8 mg total dose per cycle). Testicular assessments, serum follicle stimulating hormone (FSH), luteinizing hormone (LH), and testosterone measurements, semen analysis and sperm Comet assays were carried out at presentation (pre-FLU therapy), after 1 and 7 months of FLU treatment, and finally at 11 months after completion of chemotherapy. We found that testicular damage occurred within a month, as indicated by reduced testicular volume, oligozoospermia, elevated FSH and LH, and lower testosterone concentrations. Spermatozoa with a large range of DNA damage were detected in the samples from both the control and treated men. DNA damage in the spermatozoa was marked by 7 months of FLU treatment. The high levels of sperm DNA damage seen during and possibly persisting after treatment suggests that caution should be exercised if the ejaculates from these men are used for in-vitro fertility treatment. Further experiments are needed to assess the biological significance of these DNA changes; it may, however, be prudent at present to be cautious when counselling these patients.","['Chatterjee, R', 'Haines, G A', 'Perera, D M', 'Goldstone, A', 'Morris, I D']","['Chatterjee R', 'Haines GA', 'Perera DM', 'Goldstone A', 'Morris ID']","['Department of Obstetrics and Gynaecology, University College Hospital, London WC1E 6AU, UK.']",['eng'],"['Case Reports', 'Journal Article']",England,Hum Reprod,"Human reproduction (Oxford, England)",8701199,"['0 (Antineoplastic Agents)', '3XMK78S47O (Testosterone)', '9002-67-9 (Luteinizing Hormone)', '9002-68-0 (Follicle Stimulating Hormone)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",IM,"['Antineoplastic Agents/*adverse effects', '*DNA Damage', 'Female', 'Follicle Stimulating Hormone/blood', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy', 'Luteinizing Hormone/blood', 'Male', 'Middle Aged', 'Oligospermia/chemically induced/pathology', 'Spermatozoa/*chemistry', 'Testicular Diseases/*chemically induced/pathology', 'Testis/*chemistry/pathology', 'Testosterone/blood', 'Time Factors', 'Vidarabine/adverse effects/*analogs & derivatives']",,2000/03/31 09:00,2000/05/16 09:00,['2000/03/31 09:00'],"['2000/03/31 09:00 [pubmed]', '2000/05/16 09:00 [medline]', '2000/03/31 09:00 [entrez]']",ppublish,Hum Reprod. 2000 Apr;15(4):762-6. doi: 10.1093/humrep/15.4.762.,,['10.1093/humrep/15.4.762 [doi]'],,,,,,,,,,,,,,,,,
10739673,NLM,MEDLINE,20000512,20131121,0014-4827 (Print) 0014-4827 (Linking),256,1,2000 Apr 10,A role for serine proteases in mediating phorbol ester-induced differentiation of HL-60 cells.,264-71,"Treatment of human HL-60 promyelocytic leukemia cells with the phorbol ester 12-O-tetradecanoylphorbol-13-acetate (TPA) results in increases in proteolytic activity and maturation toward the monocytic lineage. To investigate the potential roles that different classes of proteases play in the monocytic differentiation of HL-60 cells, cells were treated with phorbol ester in the presence of various serine and cysteine protease inhibitors. The serine protease inhibitors 4-(2-aminoethyl)-benzenesulfonyl fluoride (AEBSF), N-alpha-tosyl-phenylalanine chloromethyl ketone (TPCK), and N-alpha-tosyl-lysine chloromethyl ketone (TLCK) repressed a number of phenotypic markers of monocytic differentiation including surface expression of the CD11b integrin, cell aggregate formation, cell cycle exit, and cell death. CD11b was not detected at the cell surface by FACS analysis up to 24 h after induction of differentiation; however, both CD11b mRNA and protein were present. Downregulation of c-myc mRNA and upregulation of c-fos and egr-1 mRNA and protein, which normally occur during TPA-induced differentiation, were not affected by inclusion of the protease inhibitors. These data indicate that serine proteases specifically mediate many of the phenotypic aspects of TPA-induced monocytic differentiation but are not involved with the induction or repression of differentiation-sensitive transcription factors and suggest that serine protease activity is required for intracellular processing of CD11b.","['Bestilny, L J', 'Riabowol, K T']","['Bestilny LJ', 'Riabowol KT']","['Departments of Biochemistry & Molecular Biology and Oncology, The University of Calgary Health Sciences Centre, 3330 Hospital Drive NW, Calgary, Alberta, T2N 4N1, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Exp Cell Res,Experimental cell research,0373226,"['0 (Antigens, CD)', '0 (Cysteine Proteinase Inhibitors)', '0 (Macrophage-1 Antigen)', '0 (Serine Proteinase Inhibitors)', '0 (Sulfones)', '2104-86-1 (Tosyllysine Chloromethyl Ketone)', '34284-75-8 (4-(2-aminoethyl)benzenesulfonylfluoride)', '402-71-1 (Tosylphenylalanyl Chloromethyl Ketone)', 'EC 3.4.21.- (Serine Endopeptidases)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Antigens, CD/genetics/physiology', 'Cell Differentiation/drug effects/*physiology', 'Cysteine Proteinase Inhibitors/*pharmacology', 'Gene Expression Regulation/drug effects', 'HL-60 Cells', 'Humans', 'Kinetics', 'Macrophage-1 Antigen/genetics/physiology', 'Serine Endopeptidases/*metabolism', 'Serine Proteinase Inhibitors/*pharmacology', 'Sulfones/pharmacology', 'Tetradecanoylphorbol Acetate/*pharmacology', 'Tosyllysine Chloromethyl Ketone/pharmacology', 'Tosylphenylalanyl Chloromethyl Ketone/pharmacology', 'Transcription, Genetic']",,2000/03/31 09:00,2000/05/20 09:00,['2000/03/31 09:00'],"['2000/03/31 09:00 [pubmed]', '2000/05/20 09:00 [medline]', '2000/03/31 09:00 [entrez]']",ppublish,Exp Cell Res. 2000 Apr 10;256(1):264-71. doi: 10.1006/excr.2000.4821.,,"['10.1006/excr.2000.4821 [doi]', 'S0014-4827(00)94821-3 [pii]']",['Copyright 2000 Academic Press.'],,,,,,,,,,,,,,,,
10739671,NLM,MEDLINE,20000512,20131121,0014-4827 (Print) 0014-4827 (Linking),256,1,2000 Apr 10,The interferon regulatory factors 1 and 2 bind to a segment of the human c-myb first intron: possible role in the regulation of c-myb expression.,248-56,"The preferential expression of the protooncogene c-myb in hematopoietic cells is in part regulated by a mechanism of transcriptional block in the first intron. By electrophoresis mobility shift assays using probes corresponding to different segments of the putative human c-myb intron 1 transcription pause region and nuclear extracts from myeloid leukemia HL 60 and fibroblast WI 38 cells, we detected a HL-60-specific DNA-protein complex with a 123-bp fragment containing binding sites for the interferon regulatory factors (IRFs) nuclear proteins. Formation of the DNA-protein complex was abrogated by competition with an oligomer containing the wild-type, but not the mutated, IRF binding site and the complex was specifically supershifted by the anti-IRF-1 or the anti-IRF-2 antibody. Moreover, in vitro translated IRF-1 or IRF-2 protein did interact with the 123-bp c-myb intron 1 fragment. Upon TPA-induced differentiation, c-myb expression was readily down-modulated in parental HL 60 cells, but not in cells transfected with an antisense IRF-1 plasmid. Moreover, chloramphenicol acetyltransferase activity driven by a c-myb promoter containing the entire intron 1 was suppressed upon IRF-1, but not IRF-2 expression. Together, these results are consistent with the existence of a functional relationship between IRF-1 and c-myb in which IRF-1 negatively regulates c-myb expression at the transcriptional level by a mechanism that may depend on the interaction of IRF-1 with a segment of the c-myb gene implicated in transcription pausing.","['Manzella, L', 'Gualdi, R', 'Perrotti, D', 'Nicolaides, N C', 'Girlando, G', 'Giuffrida, M A', 'Messina, A', 'Calabretta, B']","['Manzella L', 'Gualdi R', 'Perrotti D', 'Nicolaides NC', 'Girlando G', 'Giuffrida MA', 'Messina A', 'Calabretta B']","['Department of Microbiology and Immunology and Kimmel Cancer Institute, Thomas Jefferson University, Bluemle Life Sciences Building, 233 South 10th Street, Philadelphia, Pennsylvania 19107, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Exp Cell Res,Experimental cell research,0373226,"['0 (DNA-Binding Proteins)', '0 (IRF1 protein, human)', '0 (IRF2 protein, human)', '0 (Interferon Regulatory Factor-1)', '0 (Interferon Regulatory Factor-2)', '0 (Irf1 protein, mouse)', '0 (Irf2 protein, mouse)', '0 (Nuclear Proteins)', '0 (Phosphoproteins)', '0 (Proto-Oncogene Proteins c-myb)', '0 (Recombinant Proteins)', '0 (Repressor Proteins)', '0 (Transcription Factors)', 'EC 2.3.1.28 (Chloramphenicol O-Acetyltransferase)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Animals', 'Base Sequence', 'Binding Sites', 'Chloramphenicol O-Acetyltransferase/genetics', 'DNA-Binding Proteins/genetics/*metabolism', 'Gene Expression Regulation/drug effects', '*Genes, myb', 'Genomic Library', 'HL-60 Cells', 'Humans', 'Interferon Regulatory Factor-1', 'Interferon Regulatory Factor-2', '*Introns', 'Mice', 'Nuclear Proteins/metabolism', 'Phosphoproteins/genetics/*metabolism', 'Proto-Oncogene Proteins c-myb/genetics', 'Recombinant Proteins/metabolism', '*Repressor Proteins', 'Tetradecanoylphorbol Acetate/pharmacology', 'Transcription Factors/*metabolism', 'Transfection']",,2000/03/31 09:00,2000/05/20 09:00,['2000/03/31 09:00'],"['2000/03/31 09:00 [pubmed]', '2000/05/20 09:00 [medline]', '2000/03/31 09:00 [entrez]']",ppublish,Exp Cell Res. 2000 Apr 10;256(1):248-56. doi: 10.1006/excr.1999.4794.,,"['10.1006/excr.1999.4794 [doi]', 'S0014-4827(99)94794-8 [pii]']",['Copyright 2000 Academic Press.'],['CA09644/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,
10739669,NLM,MEDLINE,20000512,20191210,0014-4827 (Print) 0014-4827 (Linking),256,1,2000 Apr 10,Differential expression of human topoisomerase IIIalpha during the cell cycle progression in HL-60 leukemia cells and human peripheral blood lymphocytes.,225-36,"Human topoisomerase IIIalpha (huTop IIIalpha) has been demonstrated to belong to type IA subfamily. In this study, we found that huTop IIIalpha expressed constitutively and remained at high levels throughout the cell cycle in HL-60 cells when compared to the cell-cycle-dependent expression of huTop IIIalpha in phytohemagglutinin-activated peripheral blood lymphocytes. During the cell cycle progression, this protein remained accentuated in the nucleolus without significant translocation from the nucleolus to the nucleoplasm. In addition, during the course of granulocytic maturation in DMSO-treated HL-60 cells, huTop IIIalpha levels decreased when cells stopped proliferation and nucleoli diminished in size. However, its level remained unchanged during the course of monocytic maturation of vitamin D(3)-treated HL-60 cells which still retained its proliferative capacity and did not change the size of the nucleolus. The data suggested that huTop IIIalpha is involved in rDNA metabolism, such as rDNA transcription. Its cellular level appeared to be under control during the cell cycle progression of normal lymphocytes, but was found to be deregulated in HL-60 cells which may be associated with the tumor transformed cell phenotypes.","['Lin, C W', 'Darzynkiewicz, Z', 'Li, X', 'Traganos, F', 'Bedner, E', 'Tse-Dinh, Y C']","['Lin CW', 'Darzynkiewicz Z', 'Li X', 'Traganos F', 'Bedner E', 'Tse-Dinh YC']","['Department of Biochemistry and Molecular Biology, New York Medical College, Valhalla, New York 10595, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Exp Cell Res,Experimental cell research,0373226,"['0 (Antibodies)', '0 (Peptide Fragments)', 'EC 5.99.1.2 (DNA Topoisomerases, Type I)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Amino Acid Sequence', 'Antibodies', 'Cell Cycle/*physiology', 'Cell Differentiation/drug effects', 'Cell Nucleolus/enzymology', 'Cell Nucleus/metabolism', 'Cells, Cultured', 'DNA Topoisomerases, Type I/analysis/*metabolism', 'Dimethyl Sulfoxide/pharmacology', 'Granulocytes/enzymology', 'HL-60 Cells', 'Humans', 'Lymphocyte Activation', 'Lymphocytes/*cytology/*enzymology', 'Molecular Sequence Data', 'Peptide Fragments/chemistry/immunology', 'Photolysis']",,2000/03/31 09:00,2000/05/20 09:00,['2000/03/31 09:00'],"['2000/03/31 09:00 [pubmed]', '2000/05/20 09:00 [medline]', '2000/03/31 09:00 [entrez]']",ppublish,Exp Cell Res. 2000 Apr 10;256(1):225-36. doi: 10.1006/excr.1999.4778.,,"['10.1006/excr.1999.4778 [doi]', 'S0014-4827(99)94778-X [pii]']",['Copyright 2000 Academic Press.'],"['R01 CA028704/CA/NCI NIH HHS/United States', 'R01 CA028704-21/CA/NCI NIH HHS/United States', 'GM-R01-54226/GM/NIGMS NIH HHS/United States', 'CA-R01-28704/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,,
10739292,NLM,MEDLINE,20000516,20161124,0271-6798 (Print) 0271-6798 (Linking),20,2,2000 Mar-Apr,The risk of carcinogenesis from radiographs to pediatric orthopaedic patients.,251-4,"This study set out to determine whether cumulative radiograph exposure of children significantly increases their risk of radiation-induced carcinogenesis or hereditary defects. Records of children treated for idiopathic scoliosis, hip dysplasia, or leg-length discrepancy between 1980 and 1993 at the Shriners Hospital in Spokane, WA, were retrospectively reviewed. Total radiation and organ dose exposures were calculated using information from individual radiology reports. Surgically treated idiopathic scoliosis patients had the largest total radiation skin entrance and organ dose exposures. This group's risks for developing leukemia, breast cancer, or a heritable defect, respectively, were 0.8%, 2.1%, and 3.0% higher than baseline risks. The other treatment groups had increased carcinogenic risks of <1%. The use of serial radiographs during the treatment of idiopathic scoliosis, hip dysplasia, and leg-length discrepancy appears relatively safe. The increased risk of carcinogenesis or hereditary defects in these patients is minimal.","['Bone, C M', 'Hsieh, G H']","['Bone CM', 'Hsieh GH']","['Shriners Hospital for Children, Spokane, Washington, USA. cmbone1@pol.net']",['eng'],"['Comparative Study', 'Journal Article']",United States,J Pediatr Orthop,Journal of pediatric orthopedics,8109053,,IM,"['Adolescent', 'Adult', 'Age Distribution', 'Child', 'Child, Preschool', 'Congenital Abnormalities/*diagnostic imaging', 'Female', 'Hip Dislocation, Congenital/diagnostic imaging', 'Humans', 'Incidence', 'Limb Deformities, Congenital/diagnostic imaging', 'Male', 'Neoplasms, Radiation-Induced/diagnosis/*epidemiology', 'Orthopedics/methods', 'Radiation Dosage', 'Radiography', 'Retrospective Studies', 'Risk Assessment', 'Scoliosis/congenital/diagnostic imaging', 'Sex Distribution', 'United States/epidemiology']",,2000/03/30 09:00,2000/05/20 09:00,['2000/03/30 09:00'],"['2000/03/30 09:00 [pubmed]', '2000/05/20 09:00 [medline]', '2000/03/30 09:00 [entrez]']",ppublish,J Pediatr Orthop. 2000 Mar-Apr;20(2):251-4.,,,,,,,,,,,,,,,,,,,
