PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,TT,PMC,CI,RF,CON,EIN,GR,CIN,SI,OTO,OT,IR,FIR,IRAD,LID,DEP
10663579,NLM,MEDLINE,20000309,20190831,0093-7711 (Print) 0093-7711 (Linking),51,2,2000 Feb,Identification of novel polymorphisms in the human TNFR1 gene: distribution in acute leukemia patients and healthy individuals.,159-63,"['Bazzoni, F', 'Gatto, L', 'Lenzi, L', 'Vinante, F', 'Pizzolo, G', 'Zanolin, E', 'De Gironcoli, M']","['Bazzoni F', 'Gatto L', 'Lenzi L', 'Vinante F', 'Pizzolo G', 'Zanolin E', 'De Gironcoli M']","['Department of Pathology, Section of General Pathology, University of Medicine of Verona, Strada le Grazie, I-37134 Verona, Italy. bazzon@borgoroma.univr.it']",['eng'],"['Clinical Trial', 'Controlled Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Immunogenetics,Immunogenetics,0420404,"['0 (Antigens, CD)', '0 (Receptors, Tumor Necrosis Factor)', '0 (Receptors, Tumor Necrosis Factor, Type I)', '0 (Receptors, Tumor Necrosis Factor, Type II)']",IM,"['Adolescent', 'Adult', 'Aged', 'Alleles', 'Antigens, CD/*genetics', 'DNA Mutational Analysis', 'Female', 'Gene Frequency', 'Genotype', 'Humans', 'Leukemia, Myeloid, Acute/*genetics/immunology', 'Male', 'Middle Aged', 'Molecular Sequence Data', 'Polymerase Chain Reaction', 'Polymorphism, Genetic/*genetics', 'Polymorphism, Single-Stranded Conformational', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics/immunology', 'Receptors, Tumor Necrosis Factor/*genetics', 'Receptors, Tumor Necrosis Factor, Type I', 'Receptors, Tumor Necrosis Factor, Type II']",2000/02/09 09:00,2000/03/11 09:00,['2000/02/09 09:00'],"['2000/02/09 09:00 [pubmed]', '2000/03/11 09:00 [medline]', '2000/02/09 09:00 [entrez]']","['00510159.251 [pii]', '10.1007/s002510050025 [doi]']",ppublish,Immunogenetics. 2000 Feb;51(2):159-63. doi: 10.1007/s002510050025.,,,,,,,,,,,,,,,,,
10663572,NLM,MEDLINE,20000309,20190831,0093-7711 (Print) 0093-7711 (Linking),51,2,2000 Feb,Human cytotoxic T-lymphocyte responses specific for peptides of the wild-type Wilms' tumor gene (WT1 ) product.,99-107,"['Oka, Y', 'Elisseeva, O A', 'Tsuboi, A', 'Ogawa, H', 'Tamaki, H', 'Li, H', 'Oji, Y', 'Kim, E H', 'Soma, T', 'Asada, M', 'Ueda, K', 'Maruya, E', 'Saji, H', 'Kishimoto, T', 'Udaka, K', 'Sugiyama, H']","['Oka Y', 'Elisseeva OA', 'Tsuboi A', 'Ogawa H', 'Tamaki H', 'Li H', 'Oji Y', 'Kim EH', 'Soma T', 'Asada M', 'Ueda K', 'Maruya E', 'Saji H', 'Kishimoto T', 'Udaka K', 'Sugiyama H']","['Department of Molecular Medicine, Osaka University Medical School, 2-2, Yamada-Oka, Suita City, Osaka 565-0871, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Immunogenetics,Immunogenetics,0420404,"['0 (CD3 Complex)', '0 (DNA-Binding Proteins)', '0 (Epitopes)', '0 (HLA-A2 Antigen)', '0 (Peptide Fragments)', '0 (Transcription Factors)', '0 (WT1 Proteins)']",IM,"['CD3 Complex/metabolism', 'CD8-Positive T-Lymphocytes/cytology/immunology/metabolism', 'Cells, Cultured', 'Cytotoxicity Tests, Immunologic', 'DNA-Binding Proteins/biosynthesis/*immunology', 'Epitopes/*immunology', 'Flow Cytometry', 'HLA-A2 Antigen/immunology/metabolism', 'Humans', 'Immunity, Cellular/immunology', 'Leukemia/immunology/pathology', 'Leukocytes, Mononuclear/cytology/immunology', 'Peptide Fragments/chemical synthesis/*immunology/metabolism', 'Protein Binding/immunology', 'T-Lymphocytes, Cytotoxic/cytology/*immunology/metabolism', 'Transcription Factors/biosynthesis/*immunology', 'WT1 Proteins']",2000/02/09 09:00,2000/03/11 09:00,['2000/02/09 09:00'],"['2000/02/09 09:00 [pubmed]', '2000/03/11 09:00 [medline]', '2000/02/09 09:00 [entrez]']","['00510099.251 [pii]', '10.1007/s002510050018 [doi]']",ppublish,Immunogenetics. 2000 Feb;51(2):99-107. doi: 10.1007/s002510050018.,"The product of the Wilms' tumor gene WT1 is a transcription factor overexpressed not only in leukemic blast cells of almost all patients with acute myeloid leukemia, acute lymphoid leukemia, and chronic myeloid leukemia, but also in various types of solid tumor cells. Thus, it is suggested that the WT1 gene plays an important role in both leukemogenesis and tumorigenesis. Here we tested the potential of WT1 to serve as a target for immunotherapy against leukemia and solid tumors. Four 9-mer WT1 peptides that contain HLA-A2.1-binding anchor motifs were synthesized. Two of them, Db126 and WH187, were determined to bind to HLA-A2.1 molecules in a binding assay using transporter associated with antigen processing-deficient T2 cells. Peripheral blood mononuclear cells from an HLA-A2.1-positive healthy donor were repeatedly sensitized in vitro with T2 cells pulsed with each of these two WT1 peptides, and CD8(+) cytotoxic T lymphocytes (CTLs) that specifically lyse WT1 peptide-pulsed T2 cells in an HLA-A2.1-restricted fashion were induced. The CTLs also exerted specific lysis against WT1-expressing, HLA-A2.1-positive leukemia cells, but not against WT1-expressing, HLA-A2.1-negative leukemia cells, or WT1-nonexpressing, HLA-A2. 1-positive B-lymphoblastoid cells. These data provide the first evidence of human CTL responses specific for the WT1 peptides, and provide a rationale for developing WT1 peptide-based adoptive T-cell therapy and vaccination against leukemia and solid tumors.",,,,,,,,,,,,,,,,
10663505,NLM,MEDLINE,20000225,20071115,0301-0449 (Print) 0301-0449 (Linking),30,1,2000 Jan,Peri-optic nerve infiltration during leukaemic relapse: MRI diagnosis.,30-2,"['Madani, A', 'Christophe, C', 'Ferster, A', 'Dan, B']","['Madani A', 'Christophe C', 'Ferster A', 'Dan B']","['Department of Imaging, Hopital Universitaire des Enfants Reine Fabiola, 15 Avenue J. J. Crocq, B-1020 Brussels, Belgium.']",['eng'],"['Case Reports', 'Journal Article']",Germany,Pediatr Radiol,Pediatric radiology,0365332,,IM,"['Child', 'Humans', 'Leukemic Infiltration/*diagnosis', '*Magnetic Resonance Imaging', 'Male', 'Optic Nerve/*pathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*pathology', 'Recurrence']",2000/02/09 09:00,2000/03/04 09:00,['2000/02/09 09:00'],"['2000/02/09 09:00 [pubmed]', '2000/03/04 09:00 [medline]', '2000/02/09 09:00 [entrez]']","['00300030.247 [pii]', '10.1007/s002470050008 [doi]']",ppublish,Pediatr Radiol. 2000 Jan;30(1):30-2. doi: 10.1007/s002470050008.,"BACKGROUND: A 10-year-old boy with a history of acute lymphoblastic leukaemia (ALL), but without previous evidence of central nervous system involvement, presented with seizures 3 years after complete remission. MATERIALS AND METHODS: MRI showed bilateral enlargement of the optic nerves despite normal ophthalmological examination. RESULTS: Only the third cerebrospinal fluid examination showed 2 % blasts without concomitant bone-marrow infiltration. Enlargement of the optic nerves was consistent with bilateral leukaemic peri-optic nerve infiltration. The appearances returned to normal after chemotherapy. CONCLUSION: The optic nerves are a potential site of relapse in patients with systemic and meningeal ALL, even in the absence of ophthalmological signs.",,,,,,,,,,,,,,,,
10663064,NLM,MEDLINE,20000424,20191024,0017-6192 (Print) 0017-6192 (Linking),48,2,2000 Feb,"[Herpes simplex virus type 1-induced rising dbl quote, left (low)tumor"" in the nasal vestibule. The problem of resistance development of herpes simplex in a patient with chronic lymphatic B-cell leukemia].",147-51,"['Althof, F', 'Mechtersheimer, M', 'Richter, M', 'Dietz, A']","['Althof F', 'Mechtersheimer M', 'Richter M', 'Dietz A']","['Hals-Nasen-Ohrenklinik (Direktor: Prof. Dr. H. Weidauer), Ruprecht-Karls-Universitat Heidelberg.']",['ger'],"['Case Reports', 'English Abstract', 'Journal Article']",Germany,HNO,HNO,2985099R,['0 (Antiviral Agents)'],IM,"['Antiviral Agents/adverse effects/*therapeutic use', 'Biopsy', 'Diagnosis, Differential', 'Drug Resistance, Multiple', 'Herpes Simplex/diagnosis/*drug therapy/virology', '*Herpesvirus 1, Human/drug effects', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/diagnosis/*drug therapy/virology', 'Male', 'Middle Aged', 'Nasal Mucosa/pathology', 'Nose Diseases/diagnosis/*drug therapy/virology', 'Opportunistic Infections/diagnosis/*drug therapy/virology', 'Recurrence', 'Retreatment']",2000/02/09 09:00,2000/04/29 09:00,['2000/02/09 09:00'],"['2000/02/09 09:00 [pubmed]', '2000/04/29 09:00 [medline]', '2000/02/09 09:00 [entrez]']","['00480147.106 [pii]', '10.1007/s001060050023 [doi]']",ppublish,HNO. 2000 Feb;48(2):147-51. doi: 10.1007/s001060050023.,"Herpes simplex viruses are known to be among the most common disease-causing microorganisms. Their prevalence can exceed 90% depending on the socioeconomic status of the population. Since the number of immunocompromised patients has increased because of the increased incidence in the acquired immunodeficiency syndrome and an increase in organ transplantation, herpes virus infection may have a greater clinical significance. While treatment of otherwise healthy individuals will not usually cause any clinical problems herpes infection in an immunocompromised patient can have severe consequences. Additionally, development of viral resistance can be observed that may require alternative drugs in treatment. We present a case history of a man with a B-cell chronic lymphocytic leukemia that was associated with a very unusual herpes simplex virus infection in the nasal vestibule. Possible causes for the development of resistance in herpes infections and the use of famciclovir and forscarnet as two therapeutic alternatives to aciclovir are discussed.","Ein Herpes-simplex-Virus Typ 1-induzierter ,,Tumor"" im Vestibulum nasi. Die Problematik der Resistenzentwicklung von Herpes-simplex-Viren im Rahmen einer chronisch-lymphatischen B-Zell-Leukamie.",,,,,,,,,,,,,,,
10662802,NLM,MEDLINE,20000418,20190508,0022-1007 (Print) 0022-1007 (Linking),191,3,2000 Feb 7,Evidence for the chronic in vivo production of human T cell leukemia virus type I Rof and Tof proteins from cytotoxic T lymphocytes directed against viral peptides.,567-72,"['Pique, C', 'Ureta-Vidal, A', 'Gessain, A', 'Chancerel, B', 'Gout, O', 'Tamouza, R', 'Agis, F', 'Dokhelar, M C']","['Pique C', 'Ureta-Vidal A', 'Gessain A', 'Chancerel B', 'Gout O', 'Tamouza R', 'Agis F', 'Dokhelar MC']","['Institut National de la Sante et de la Recherche Medicale, U332, Institut Cochin de Genetique Moleculaire, 75014 Paris, France. pique@chu-stlouis.fr']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Exp Med,The Journal of experimental medicine,2985109R,"['0 (Retroviridae Proteins)', '0 (rof protein, Human T-lymphotropic virus 1)', '0 (tof protein, Human T-lymphotropic virus 1)', '82115-62-6 (Interferon-gamma)']",IM,"['Amino Acid Sequence', 'CD8-Positive T-Lymphocytes/*immunology', 'Carrier State/virology', 'Cell Line', 'Genes, pX', 'HTLV-I Infections/*immunology/virology', 'Human T-lymphotropic virus 1/*metabolism', 'Humans', 'Interferon-gamma/analysis', 'Molecular Sequence Data', 'Retroviridae Proteins/*biosynthesis/genetics/immunology', 'T-Lymphocytes, Cytotoxic/immunology']",2000/02/09 09:00,2000/04/25 09:00,['2000/02/09 09:00'],"['2000/02/09 09:00 [pubmed]', '2000/04/25 09:00 [medline]', '2000/02/09 09:00 [entrez]']",['10.1084/jem.191.3.567 [doi]'],ppublish,J Exp Med. 2000 Feb 7;191(3):567-72. doi: 10.1084/jem.191.3.567.,"Human T cell leukemia virus type I (HTLV-I) is a persistent virus that causes adult T cell leukemia and tropical spastic paraparesis/HTLV-I-associated myelopathy. Studies on rabbits have shown that viral proteins encoded by the open reading frames pX-I and pX-II are required for the establishment of the persistent infection. To examine the in vivo production of these proteins in humans, we have investigated whether cytotoxic T lymphocytes isolated from HTLV-I-infected individuals recognized pX-I and pX-II peptides. CD8(+) T lymphocytes to pX-I and pX-II peptides were detected in HTLV-I-infected individuals, whatever their clinical status, and even in the absence of any antigenic restimulation. These findings indicate that the HTLV-I pX-I and pX-II proteins are chronically synthesized in vivo, and are targets of the natural immune response to the virus.",,PMC2195825,,,,,,,,,,,,,,
10662618,NLM,MEDLINE,20000308,20191210,0042-6822 (Print) 0042-6822 (Linking),267,2,2000 Feb 15,MLV-derived retroviral vectors selective for CD4-expressing cells and resistant to neutralization by sera from HIV-infected patients.,229-36,"['Stitz, J', 'Steidl, S', 'Merget-Millitzer, H', 'Konig, R', 'Muller, P', 'Nocken, F', 'Engelstadter, M', 'Bobkova, M', 'Schmitt, I', 'Kurth, R', 'Buchholz, C J', 'Cichutek, K']","['Stitz J', 'Steidl S', 'Merget-Millitzer H', 'Konig R', 'Muller P', 'Nocken F', 'Engelstadter M', 'Bobkova M', 'Schmitt I', 'Kurth R', 'Buchholz CJ', 'Cichutek K']","['Department of Medical Biotechnology, Paul-Ehrlich-Institut, Paul-Ehrlich-Str. 51-59, Langen, D-63225, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Virology,Virology,0110674,"['0 (CXCR6 protein, human)', '0 (DNA, Recombinant)', '0 (DNA, Viral)', '0 (Immune Sera)', '0 (Receptors, CCR5)', '0 (Receptors, CXCR6)', '0 (Receptors, Chemokine)', '0 (Receptors, Cytokine)', '0 (Receptors, G-Protein-Coupled)', '0 (Receptors, Virus)']",IM,"['Amino Acid Sequence', 'Animals', 'CD4-Positive T-Lymphocytes/*metabolism/virology', 'Cell Line', 'Chlorocebus aethiops', 'DNA, Recombinant', 'DNA, Viral/genetics', 'Gene Expression Regulation', 'Genes, env/genetics', 'Genetic Variation', 'Genetic Vectors/*genetics/immunology', 'Giant Cells/virology', 'HIV Infections/*blood', 'HeLa Cells', 'Humans', 'Immune Sera/*immunology', 'Jurkat Cells', 'Leukemia Virus, Murine/*genetics/immunology', 'Mice', 'Molecular Sequence Data', 'Neutralization Tests', 'Receptors, CCR5/physiology', 'Receptors, CXCR6', 'Receptors, Chemokine', 'Receptors, Cytokine/physiology', '*Receptors, G-Protein-Coupled', 'Receptors, Virus/physiology', 'Retroviridae/genetics/immunology', 'Simian Immunodeficiency Virus/genetics', 'Tumor Cells, Cultured']",2000/02/09 09:00,2000/03/11 09:00,['2000/02/09 09:00'],"['2000/02/09 09:00 [pubmed]', '2000/03/11 09:00 [medline]', '2000/02/09 09:00 [entrez]']","['10.1006/viro.1999.0121 [doi]', 'S0042-6822(99)90121-6 [pii]']",ppublish,Virology. 2000 Feb 15;267(2):229-36. doi: 10.1006/viro.1999.0121.,"Retroviral vectors derived from amphotropic murine leukemia viruses (MLV) mediate gene transfer into almost all human cells and are thus not suitable for in vivo applications in gene therapy in which cell-specific gene delivery is required. We and others recently reported the generation of MLV-derived vectors pseudotyped by variants of the envelope glycoproteins (Env) of human immunodeficiency virus type 1 (HIV-1), thus displaying the CD4-dependent tropism of the parental lentivirus (Mammano et al., 1997, J. Virol. 71, 3341-3345; Schnierle et al., 1997, Proc. Natl. Acad. Sci. USA 76, 8640-8645). However, because of their HIV-1-derived envelopes these vectors are neutralized by HIV-specific antibodies present in some infected patients. To circumvent this problem, we pseudotyped MLV capsid particles with variants of Env proteins derived from the apathogenic simian immunodeficiency virus (SIVagm) of African green monkeys (AGM; Chlorocebus pygerythrus). Truncation of the C-terminal domain of the transmembrane protein was found to be necessary to allow formation of infectious pseudotype vectors. These [MLV(SIVagm)] vectors efficiently transduced various human CD4-expressing cell lines using the coreceptors CCR5 and Bonzo to enter target cells. Moreover, they were resistant to neutralization by antibodies directed against HIV-1. Therefore, [MLV(SIVagm)] vectors will be useful to study the mechanisms of SIVagm cell entry and for the selective gene transfer into CD4+ T-cells of AIDS patients.",,,['Copyright 2000 Academic Press.'],,,,,,,,,,,,,
10662557,NLM,MEDLINE,20000329,20071115,0195-6701 (Print) 0195-6701 (Linking),44,2,2000 Feb,Sampling of Aspergillus spores in air.,81-92,"['Morris, G', 'Kokki, M H', 'Anderson, K', 'Richardson, M D']","['Morris G', 'Kokki MH', 'Anderson K', 'Richardson MD']","['Environmental Health, Scottish Centre for Infection and Environmental Health, Glasgow, UK.']",['eng'],"['Journal Article', 'Review']",England,J Hosp Infect,The Journal of hospital infection,8007166,"['0 (Aerosols)', '0 (Air Pollutants)']",IM,"['Aerosols/analysis', 'Air Pollutants/*analysis', 'Aspergillus/*physiology', 'Environmental Monitoring/instrumentation/*methods', 'Guidelines as Topic', 'Humans', 'Infection Control/instrumentation/*methods']",2000/02/09 09:00,2000/04/01 09:00,['2000/02/09 09:00'],"['2000/02/09 09:00 [pubmed]', '2000/04/01 09:00 [medline]', '2000/02/09 09:00 [entrez]']","['10.1053/jhin.1999.0688 [doi]', 'S0195-6701(99)90688-6 [pii]']",ppublish,J Hosp Infect. 2000 Feb;44(2):81-92. doi: 10.1053/jhin.1999.0688.,"Nosocomially acquired aspergillosis typically occurs in the setting of treatment for leukaemia or other haematological malignancy. As Aspergillus species can be readily found in the environment, it has been widely believed that aspergillosis occurs as a consequence of exogenous acquisition of the fungus. Stringent environmental controls in transplant units have included high-efficiency air filtration, positive-pressure ventilation and frequent room air changes. Although there have been several well-documented examples of aspergillosis outbreaks as a result of hospital demolition and reconstruction, it has not always been possible to demonstrate elevated spore counts in clinical areas during building work. The sampling of air for Aspergillus is very problematic. Careful attention must be given to the design of air sampler, sampling protocols and an understanding of air sampling data. This review outlines many of the physical and environmental parameters that influence meaningful air sampling and recommends a simple procedure that has been tried and tested in many aspergillosis outbreaks.",,,['Copyright 2000 The Hospital Infection Society.'],40,,,,,,,,,,,,
10662479,NLM,MEDLINE,20000124,20181113,1170-7690 (Print) 1170-7690 (Linking),16,5 Pt 2,1999 Nov,Cost effectiveness of amphotericin B plus G-CSF compared with amphotericin B monotherapy. Treatment of presumed deep-seated fungal infection in neutropenic patients in the UK.,543-50,"['Flynn, T N', 'Kelsey, S M', 'Hazel, D L', 'Guest, J F']","['Flynn TN', 'Kelsey SM', 'Hazel DL', 'Guest JF']","['Catalyst Health Economics Consultants Ltd, Pinner, Middlesex, UK.']",['eng'],"['Clinical Trial', 'Controlled Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",New Zealand,Pharmacoeconomics,PharmacoEconomics,9212404,"['0 (Antifungal Agents)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '7XU7A7DROE (Amphotericin B)']",,"['Adult', 'Amphotericin B/*economics/*therapeutic use', 'Antifungal Agents/*economics/*therapeutic use', 'Cost-Benefit Analysis', 'Decision Trees', 'Drug Therapy, Combination', 'Granulocyte Colony-Stimulating Factor/*economics/*therapeutic use', 'Humans', 'Mycoses/complications/*drug therapy/*economics', 'Neutropenia/*complications', 'United Kingdom']",2000/02/08 00:00,2000/02/08 00:01,['2000/02/08 00:00'],"['2000/02/08 00:00 [pubmed]', '2000/02/08 00:01 [medline]', '2000/02/08 00:00 [entrez]']",['10.2165/00019053-199916050-00010 [doi]'],ppublish,Pharmacoeconomics. 1999 Nov;16(5 Pt 2):543-50. doi: 10.2165/00019053-199916050-00010.,"OBJECTIVE: To assess the economic impact of adding granulocyte colony-stimulating factor (G-CSF) to amphotericin B to treat a presumed deep-seated fungal infection in neutropenic patients. This study was conducted from the perspective of the National Health Service (NHS) hospital sector. DESIGN: We used our previously reported trial as the clinical basis for the analysis (see Participants and interventions). These data were combined with resource utilisation data, enabling us to construct a decision tree model of the treatment paths attributable to managing patients in each arm of the trial. The model was used to calculate the cost effectiveness of using amphotericin B plus G-CSF compared to amphotericin B monotherapy in neutropenic patients with a presumed deep-seated fungal infection. SETTING: An adult leukaemia/bone marrow transplant (BMT) unit in a large UK teaching hospital. PARTICIPANTS: Patients with a neutrophil count of < 0.5 x 10(9)/L and having a presumed deep-seated fungal infection after either chemotherapy or stem cell/bone marrow transplantation for haematological malignancy. INTERVENTIONS: 29 patients received intravenous amphotericin B (1 mg/kg daily) plus subcutaneous G-CSF (3 to 5 micrograms/kg daily) and 30 patients received intravenous amphotericin B (1 mg/kg daily) monotherapy. The clinical trial showed that 62% of patients responded to antifungal treatment with amphotericin B plus G-CSF compared to 33% of patients who responded to amphotericin B monotherapy (p = 0.027). Nonresponders went on to receive a lipid formulation of amphotericin B. MAIN OUTCOME MEASURE AND RESULTS: The mean cost per patient treated with amphotericin B plus G-CSF was 11,247 Pounds and the corresponding cost for amphotericin B monotherapy was 14,317 Pounds (1996/1997 values)--a cost reduction of 3070 Pounds per patient. Sensitivity analyses demonstrated that the addition of G-CSF to conventional amphotericin B in the treatment of a presumed deep-seated fungal infection offers not only clinical benefits, but cost benefits which are robust to changes in clinical and economic parameters. CONCLUSION: From a UK hospital perspective, amphotericin B plus G-CSF is cost effective compared with amphotericin B monotherapy in managing a presumed deep-seated fungal infection in neutropenic patients. This result should provide strong arguments to clinicians and policy-makers for the adoption of this treatment strategy in such patients.",,,,,,,,,,,,,,,,
10661372,NLM,MEDLINE,20000222,20190723,0021-9762 (Print) 0021-9762 (Linking),56,1,2000 Jan,The measurement and diagnostic utility of intrasubtest scatter in pediatric neuropsychology.,101-12,"['Godber, T', 'Anderson, V', 'Bell, R']","['Godber T', 'Anderson V', 'Bell R']","['LaTrobe University, Bendigo, Victoria, Australia. t.godber@bendigo.latrobe.edu.au']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Clin Psychol,Journal of clinical psychology,0217132,,IM,"['Adolescent', 'Arousal', 'Attention', 'Child', 'Cognition Disorders/*diagnosis', 'Cranial Irradiation/adverse effects', 'Female', 'Humans', 'Male', '*Mental Processes', 'Neuropsychological Tests/standards', 'Psychometrics', 'Reproducibility of Results', 'Sensitivity and Specificity']",2000/02/08 09:00,2000/02/26 09:00,['2000/02/08 09:00'],"['2000/02/08 09:00 [pubmed]', '2000/02/26 09:00 [medline]', '2000/02/08 09:00 [entrez]']","['10.1002/(SICI)1097-4679(200001)56:1<101::AID-JCLP9>3.0.CO;2-J [pii]', '10.1002/(sici)1097-4679(200001)56:1<101::aid-jclp9>3.0.co;2-j [doi]']",ppublish,J Clin Psychol. 2000 Jan;56(1):101-12. doi: 10.1002/(sici)1097-4679(200001)56:1<101::aid-jclp9>3.0.co;2-j.,"Intrasubtest scatter (ISS) is a measure of person's tendency toward inconsistency when responding to test items. It has been claimed that ISS may be suggestive of intellectual inefficiency, difficulty with recall of specific information, or fluctuating levels of arousal/attention. The research investigating these claims has been inconclusive, possibly because traditional indices of ISS may not adequately measure inconsistent responding. Item Response Theory (IRT) approaches to the detection of unusual response sequences appear to have a much firmer psychometric foundation but have been largely ignored in the neurodiagnostic literature. This study compares the utility of traditional and IRT-based indices of ISS in identifying children known to be experiencing information-processing difficulties. The WISC-R item responses of 100 children who have received cranial irradiation treatment for leukemia are compared with those of 100 healthy children. Results confirm the diagnostic utility of an IRT-based measure of unusual test behavior in this clinical group.",,,,,,,,,,,,,,,,
10661069,NLM,MEDLINE,20000629,20170214,1049-9091 (Print) 1049-9091 (Linking),16,4,1999 Jul-Aug,"Non-Hodgkin's lymphoma, oral cavity and pharynx, and ovary.",607-15,"['Kemp, C']",['Kemp C'],"['Baylor University, School of Nursing, Dallas, TX, USA.']",['eng'],"['Journal Article', 'Review']",United States,Am J Hosp Palliat Care,The American journal of hospice & palliative care,9008229,,,"['Female', 'Humans', 'Lymphoma, Non-Hodgkin/mortality/*pathology', 'Mouth Neoplasms/diagnosis/nursing/*secondary', 'Nursing Assessment', 'Oncology Nursing/methods', 'Ovarian Neoplasms/diagnosis/nursing/*secondary', 'Patient Care Planning', 'Pharyngeal Neoplasms/diagnosis/nursing/*secondary', 'Terminal Care/methods', 'United States/epidemiology']",2000/02/08 09:00,2000/07/06 11:00,['2000/02/08 09:00'],"['2000/02/08 09:00 [pubmed]', '2000/07/06 11:00 [medline]', '2000/02/08 09:00 [entrez]']",['10.1177/104990919901600411 [doi]'],ppublish,Am J Hosp Palliat Care. 1999 Jul-Aug;16(4):607-15. doi: 10.1177/104990919901600411.,"This is the fifth of a six-part series on metastatic spread and natural history of 18 common tumors. Part 1 summarized symptom/problem anticipation, cancer metastasis, and the 18 tumors that each cause more than 6000 deaths/year in the United States. Bladder and brain cancer were discussed, with information given on tumor types, metastatic spread and invasion, and common symptoms. Parts two, three, and four charted the natural histories, problems, and assessment parameters of advanced cancers of the breast, colon and rectum, esophagus, kidney, liver, and lung; and leukemia, melanoma, and multiple myeloma. Part five provides corresponding information on non-Hodgkin's lymphoma and cancers of the oral cavity (and pharynx) and ovary. Each of these cancers is presented separately, with information given on mortality rates, the most common tumor types, sites of metastases, common problems, and common oncologic emergencies. Sites of spread, resulting problems (including site-specific symptoms), and assessment parameters are presented as tables. Material is presented so that clinicians will be able to anticipate the spread of these cancers and can thus identify problems early in their development so that the problems are more easily managed.",,,,20,,,,,,,,,,,,
