PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,CON,CIN,AID,RN,GR,CI,PMC,RF,EIN,SI,TT,LID,OID,OTO,OT,GN,CRI
10575839,NLM,MEDLINE,19991209,20161013,0929-6646 (Print) 0929-6646 (Linking),98,10,1999 Oct,Acute monoblastic leukemia in a child following chemotherapy for neuroblastoma.,688-91,"The long-term effects of childhood cancer and its therapy are serious problems that deserve attention. One of the most important late effects is the development of secondary malignancy. We encountered a girl with neuroblastoma who developed acute monoblastic leukemia as a secondary malignancy, 32 months after starting treatment for the primary tumor at the age of 4 years and 10 months. For the primary tumor, she had received cyclophosphamide, ifosphamide, etoposide, epirubicin, cisplatin, and vincristine during a period of 20 months; no radiotherapy was given. Cytogenetic analysis of the leukemic cells showed no specific changes, but a rearrangement of the mixed lineage leukemia gene (chromosome 11q23 translocation) was subsequently found by reverse transcription polymerase chain reaction. The survival time after onset of the secondary malignancy was brief. The leukemogenic hazards of cancer treatment should be weighed against their therapeutic benefits.","['Jaing, T H', 'Yang, C P', 'Hung, I J']","['Jaing TH', 'Yang CP', 'Hung IJ']","[""Department of Medicine, Chang Gung Children's Hospital, Taoyuan, Taiwan.""]",['eng'],"['Case Reports', 'Journal Article']",Singapore,J Formos Med Assoc,Journal of the Formosan Medical Association = Taiwan yi zhi,9214933,IM,"['Antineoplastic Combined Chemotherapy Protocols/*adverse effects', 'Child, Preschool', 'Female', 'Humans', 'Leukemia, Monocytic, Acute/*etiology', 'Neoplasms, Second Primary/*etiology', 'Neuroblastoma/*drug therapy', 'Prognosis']",1999/11/27 00:00,1999/11/27 00:01,['1999/11/27 00:00'],"['1999/11/27 00:00 [pubmed]', '1999/11/27 00:01 [medline]', '1999/11/27 00:00 [entrez]']",ppublish,J Formos Med Assoc. 1999 Oct;98(10):688-91.,,,,,,,,,,,,,,,,,
10575785,NLM,MEDLINE,19991216,20190915,1326-0200 (Print) 1326-0200 (Linking),23,5,1999 Oct,Childhood leukaemia and TV towers: the debate continues.,553-5,,"['McKenzie, D R', 'Morrell, S']","['McKenzie DR', 'Morrell S']",,['eng'],"['Comment', 'Letter']",Australia,Aust N Z J Public Health,Australian and New Zealand journal of public health,9611095,IM,"['Child', 'Environmental Exposure/*adverse effects', 'Humans', 'Leukemia/epidemiology/*etiology', 'New South Wales/epidemiology', 'Radio Waves/*adverse effects', '*Television']",1999/11/27 00:00,1999/11/27 00:01,['1999/11/27 00:00'],"['1999/11/27 00:00 [pubmed]', '1999/11/27 00:01 [medline]', '1999/11/27 00:00 [entrez]']",ppublish,Aust N Z J Public Health. 1999 Oct;23(5):553-5. doi: 10.1111/j.1467-842x.1999.tb01319.x.,"['Aust N Z J Public Health. 1998;22(3 Suppl):360-7. PMID: 9629823', 'Aust N Z J Public Health. 1999 Feb;23(1):104-5. PMID: 10083700']",['Aust N Z J Public Health. 2000 Apr;24(2):216-7. PMID: 10790947'],['10.1111/j.1467-842x.1999.tb01319.x [doi]'],,,,,,,,,,,,,,
10575637,NLM,MEDLINE,19991210,20190831,0301-4800 (Print) 0301-4800 (Linking),45,4,1999 Aug,Vitamin B6 down-regulates the expression of human GPIIb gene.,471-9,"Glycoprotein IIb (GPIIb) is the alpha-subunit of the platelet membrane receptor GPIIb/IIIa, which plays a major role in platelet aggregation. Vitamin B6 has been reported to be an antiaggregative agent, although its mechanism is not well known. To understand the molecular mechanism of vitamin B6 on antiaggregation, we analyzed the effects of various forms of vitamin B6 on the expression of human GPIIb promoter using chloramphenicol acetyl transferase (CAT) as the reporter gene. The GPIIb promoter region was amplified by polymerase chain reaction (PCR), cloned into pBLCAT3 to drive the CAT reporter gene and transfected into human erythroleukemia (HEL) cells. Transient expression of the GPIIb promoter was determined after transfected cells were treated with 1 microM pyridoxine (PN), pyridoxal (PL), pyridoxal-5-phosphate (PLP), or 4-deoxypyridoxine (4-dex) for 48 h. Our results show that the GPIIb promoter activity was down-regulated to 54, 35 and 63% in the presence of PN, PL and PLP, respectively, as compared to an untreated control whose promoter activity was 100%. However, no adverse effect on GPIIb promoter was detected by 4-dex, which is an antagonist of vitamin B6. The down-regulation effect of vitamin B6 on GPIIb promoter activity may lead to a reduction of GPIIb protein expression and thus be detrimental to platelet aggregation.","['Chang, S J', 'Chuang, H J', 'Chen, H H']","['Chang SJ', 'Chuang HJ', 'Chen HH']","['Department of Biology, National Cheng Kung University, Tainan, Taiwan. sjchang@mail.ncku.edu.tw']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,J Nutr Sci Vitaminol (Tokyo),Journal of nutritional science and vitaminology,0402640,IM,"['Chloramphenicol O-Acetyltransferase/genetics', 'Gene Expression Regulation/*drug effects', 'Humans', 'Leukemia, Erythroblastic, Acute/metabolism', 'Platelet Aggregation Inhibitors/*pharmacology', 'Platelet Glycoprotein GPIIb-IIIa Complex/*genetics', 'Polymerase Chain Reaction', 'Promoter Regions, Genetic', 'Pyridoxal/pharmacology', 'Pyridoxal Phosphate/pharmacology', 'Pyridoxine/*pharmacology', 'Transfection', 'Tumor Cells, Cultured']",1999/11/27 00:00,1999/11/27 00:01,['1999/11/27 00:00'],"['1999/11/27 00:00 [pubmed]', '1999/11/27 00:01 [medline]', '1999/11/27 00:00 [entrez]']",ppublish,J Nutr Sci Vitaminol (Tokyo). 1999 Aug;45(4):471-9. doi: 10.3177/jnsv.45.471.,,,['10.3177/jnsv.45.471 [doi]'],"['0 (Platelet Aggregation Inhibitors)', '0 (Platelet Glycoprotein GPIIb-IIIa Complex)', '3THM379K8A (Pyridoxal)', '5V5IOJ8338 (Pyridoxal Phosphate)', 'EC 2.3.1.28 (Chloramphenicol O-Acetyltransferase)', 'KV2JZ1BI6Z (Pyridoxine)']",,,,,,,,,,,,,
10575541,NLM,MEDLINE,19991229,20191103,1079-9796 (Print) 1079-9796 (Linking),25,3-4,1999 Jun-Aug,Induction of globin synthesis in K562 cells is associated with differential expression of transcription factor genes.,156-65,"Globin gene switching may be mediated by proteins expressed during different stages of development. Their identification may clarify the mechanisms of the conversion from fetal to adult globin production and lead to new approaches to reversing or retarding the gamma- to beta-globin gene switch. To explore this hypothesis, K562 erythroleukemia cells were induced to differentiate with 1.25, 2.5, and 5 mM sodium butyrate and gene expression was studied after 24, 48, and 72 h. Erythroid differentiation was verified by benzidine staining and by measuring the activity of a transduced A gamma-globin gene promoter linked to a luciferase reporter gene. Using differential display polymerase chain reaction (PCR), total mRNA extracted from induced cells at each time point of induction was reverse transcribed in the presence of A, G, and C anchored primers and 16 arbitrary primers, calculated to amplify approximately 50% of expressed genes. Amplified mRNAs from induced and uninduced cells were separated in polyacrylamide gels and compared. More than 110 cDNA fragments which appeared to represent either up- or downregulated mRNA species in induced K562 cells were identified. Sixty-four of these fragments had more than 95% homology to known GenBank sequences. Seventeen fragments with characteristics of transcription factors were cloned. These include differentiation-related gene-1 (drg-1), PAX 3/forkhead transcription factor, HZF2 which is a Kruppel-related zinc finger protein, three helix-loop-helix proteins (heir-1, Id3, and GOS8), alpha-NAC transcriptional coactivator, LIM domain protein, and trophoblast hypoxia regulating factor. Differential expression of all 17 fragments over 72 h was confirmed by reverse Northern dot blot analysis, semiquantitative PCR using nested primers, and Northern analysis. Erythroid maturation in induced K562 cells is associated with differential expression of numerous genes. Some encode transcription factors that could effect the initiation of HbF synthesis. Almost half of the differentially expressed clones contained cDNAs of unidentified open reading frames and these are the object of continued study.","['Plonczynski, M', 'Hardy, C L', 'Safaya, S', 'Harrell, A', 'McCoy, L', 'Brinson, A', 'Agwarangbo, L', 'Steinberg, M H']","['Plonczynski M', 'Hardy CL', 'Safaya S', 'Harrell A', 'McCoy L', 'Brinson A', 'Agwarangbo L', 'Steinberg MH']","['G.V. (Sonny) Montgomery Department of Veterans Affairs Medical Center, Jackson, MS, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Blood Cells Mol Dis,"Blood cells, molecules & diseases",9509932,IM,"['Blotting, Northern', 'DNA, Complementary/analysis/chemistry', 'Fetal Hemoglobin/genetics', 'Gene Expression Regulation', 'Genes, Switch', 'Globins/biosynthesis/*genetics', 'Humans', 'K562 Cells', 'Leukemia, Erythroblastic, Acute/*genetics/pathology', 'Polymerase Chain Reaction', 'Promoter Regions, Genetic/genetics', 'Sequence Analysis, DNA', 'Sequence Analysis, RNA', 'Transcription Factors/*genetics']",1999/11/27 00:00,1999/11/27 00:01,['1999/11/27 00:00'],"['1999/11/27 00:00 [pubmed]', '1999/11/27 00:01 [medline]', '1999/11/27 00:00 [entrez]']",ppublish,Blood Cells Mol Dis. 1999 Jun-Aug;25(3-4):156-65. doi: 10.1006/bcmd.1999.0241.,,,"['S1079979699902413 [pii]', '10.1006/bcmd.1999.0241 [doi]']","['0 (DNA, Complementary)', '0 (Transcription Factors)', '9004-22-2 (Globins)', '9034-63-3 (Fetal Hemoglobin)']",,,,,,,,,,,,,
10575164,NLM,MEDLINE,19991203,20170214,1203-4754 (Print) 1203-4754 (Linking),3,6,1999 Oct,Interferon-induced cutaneous necrosis.,320-3,"BACKGROUND: Due to advances in recombinant DNA technology, interferons are now readily available and are frequently used in all branches of medicine. These potent biologic response modifiers carry a number of systemic and local side effects. These cytokines are usually administered subcutaneously, and recent studies have described the occurrence of inflammation or necrosis at the site of injection. OBJECTIVE: We report a case of cutaneous necrosis at the sites of interferon injections in a 35-year-old man treated for chronic myeloid leukemia with high, daily doses of interferon alfa. In addition, we review the existing literature on interferon-induced cutaneous necrosis and discuss preventive strategies. CONCLUSION: Cutaneous inflammation or necrosis at interferon injection sites is not uncommon. Although interferon beta-1b is most commonly responsible for this complication, it is now increasingly reported with interferon alfa. It appears to be secondary to the proinflammatory effects of these cytokines or to their unmasking of a subtle hypercoagulable state.","['Sasseville, D', 'Ghamdi, W A', 'Khenaizan, S A']","['Sasseville D', 'Ghamdi WA', 'Khenaizan SA']","['The Division of Dermatology, Department of Medicine, Royal Victoria Hospital, Montreal, Quebec, Canada.']",['eng'],"['Case Reports', 'Journal Article']",United States,J Cutan Med Surg,Journal of cutaneous medicine and surgery,9614685,IM,"['Adult', 'Humans', 'Injections, Subcutaneous/adverse effects', 'Interferon-alpha/administration & dosage/adverse effects/*therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Male', '*Necrosis', 'Skin/*drug effects/pathology']",1999/11/27 00:00,1999/11/27 00:01,['1999/11/27 00:00'],"['1999/11/27 00:00 [pubmed]', '1999/11/27 00:01 [medline]', '1999/11/27 00:00 [entrez]']",ppublish,J Cutan Med Surg. 1999 Oct;3(6):320-3. doi: 10.1177/120347549900300610.,,,['10.1177/120347549900300610 [doi]'],['0 (Interferon-alpha)'],,,,,,,,,,,,,
10575116,NLM,MEDLINE,20000110,20190822,0378-5955 (Print) 0378-5955 (Linking),138,1-2,1999 Dec,The neurotrophins act synergistically with LIF and members of the TGF-beta superfamily to promote the survival of spiral ganglia neurons in vitro.,73-80,"A number of growth factor families have been implicated in normal inner ear development, auditory neuron survival and protection. Several growth factors, including transforming growth factor-beta5 (TGF-beta5) and TGF-beta3, neurotrophin-3 (NT-3), brain-derived neurotrophic factor (BDNF) and leukemia inhibitory factor (LIF) were tested for their ability, individually or in combination, to promote auditory neuron survival in dissociated cell cultures of early rat post-natal spiral ganglion cells (SGCs). The results indicate that at discrete concentrations all growth factors act in an additive fashion and some in synergy when promoting neuronal survival. These findings support the hypothesis that growth factors from different families may be interdependent when sustaining neuronal integrity.","['Marzella, P L', 'Gillespie, L N', 'Clark, G M', 'Bartlett, P F', 'Kilpatrick, T J']","['Marzella PL', 'Gillespie LN', 'Clark GM', 'Bartlett PF', 'Kilpatrick TJ']","['Department of Otolaryngology, The University of Melbourne, Royal Victorian Eye and Ear Hospital, 32 Gisborne Street, East Melbourne, N.S.W., Australia. p.marzella@medoto.unimelb.edu.au']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Hear Res,Hearing research,7900445,IM,"['Animals', 'Brain-Derived Neurotrophic Factor/pharmacology', 'Cell Survival/drug effects/physiology', 'Cells, Cultured', 'Drug Combinations', 'Growth Inhibitors/pharmacology/*physiology', '*Interleukin-6', 'Leukemia Inhibitory Factor', 'Lymphokines/pharmacology/*physiology', 'Nerve Growth Factors/*physiology', 'Neurons/drug effects/*physiology', 'Neurotrophin 3/pharmacology', 'Protein Isoforms/pharmacology', 'Rats', 'Rats, Wistar', 'Spiral Ganglion/cytology/*physiology', 'Transforming Growth Factor beta/pharmacology/*physiology']",1999/11/27 00:00,1999/11/27 00:01,['1999/11/27 00:00'],"['1999/11/27 00:00 [pubmed]', '1999/11/27 00:01 [medline]', '1999/11/27 00:00 [entrez]']",ppublish,Hear Res. 1999 Dec;138(1-2):73-80. doi: 10.1016/s0378-5955(99)00152-5.,,,"['S0378-5955(99)00152-5 [pii]', '10.1016/s0378-5955(99)00152-5 [doi]']","['0 (Brain-Derived Neurotrophic Factor)', '0 (Drug Combinations)', '0 (Growth Inhibitors)', '0 (Interleukin-6)', '0 (Leukemia Inhibitory Factor)', '0 (Lymphokines)', '0 (Nerve Growth Factors)', '0 (Neurotrophin 3)', '0 (Protein Isoforms)', '0 (Transforming Growth Factor beta)']",,,,,,,,,,,,,
10574917,NLM,MEDLINE,20000203,20210209,0021-9258 (Print) 0021-9258 (Linking),274,49,1999 Dec 3,Polypurine tract primer generation and utilization by Moloney murine leukemia virus reverse transcriptase.,34547-55,"During reverse transcription, the RNase H activity of reverse transcriptase specifically cleaves the viral genome within the polypurine tract (PPT) to create the primer used for the initiation of plus-strand DNA synthesis and nonspecifically cleaves the viral genome to facilitate synthesis of plus-strand DNA. To understand how primer length and sequence affect generation and utilization of the PPT, we employed short hybrid substrates containing or lacking the PPT to evaluate cleavage, extension, and binding by reverse transcriptase. Substrates containing RNAs with the correct 3' end for initiation of plus-strand synthesis were extended equally well by reverse transcriptase, but primer length affected susceptibility to RNase H cleavage. RNA substrates with 3' ends extending beyond the plus-strand initiation site were extended poorly but were specifically cleaved to generate the correct 3' end for initiation of plus-strand synthesis. Substrates containing RNAs lacking the PPT were cleaved nonspecifically and extended inefficiently. Specific cleavages to generate the plus-strand primer and 5'-end-directed cleavages were kinetically favored over cleavages that destroyed the PPT primer or degraded other short RNA fragments. The PPT was not intrinsically resistant to cleavage by the isolated RNase H domain, and the isolated polymerase domain extended RNA primers containing the PPT sequence irrespective of the primer 3' end. These results provide insights into how reverse transcriptase generates and selectively utilizes the PPT primer for initiation of plus-strand DNA synthesis.","['Schultz, S J', 'Zhang, M', 'Kelleher, C D', 'Champoux, J J']","['Schultz SJ', 'Zhang M', 'Kelleher CD', 'Champoux JJ']","['Department of Microbiology, School of Medicine, University of Washington, Seattle, Washington 98195-7242, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,IM,"['Base Sequence', 'DNA Primers/*metabolism', 'DNA, Viral/metabolism', 'Kinetics', 'Molecular Sequence Data', 'Moloney murine leukemia virus/*enzymology/genetics', 'Nucleic Acid Hybridization', 'RNA, Viral/metabolism', 'RNA-Directed DNA Polymerase/*genetics/*metabolism', 'Ribonuclease H/genetics/metabolism', 'Substrate Specificity', 'Templates, Genetic', '*Transcription, Genetic']",1999/11/27 00:00,1999/11/27 00:01,['1999/11/27 00:00'],"['1999/11/27 00:00 [pubmed]', '1999/11/27 00:01 [medline]', '1999/11/27 00:00 [entrez]']",ppublish,J Biol Chem. 1999 Dec 3;274(49):34547-55. doi: 10.1074/jbc.274.49.34547.,,,"['10.1074/jbc.274.49.34547 [doi]', 'S0021-9258(19)53360-9 [pii]']","['0 (DNA Primers)', '0 (DNA, Viral)', '0 (RNA, Viral)', 'EC 2.7.7.49 (RNA-Directed DNA Polymerase)', 'EC 3.1.26.4 (Ribonuclease H)']",['R37 CA51605/CA/NCI NIH HHS/United States'],,,,,,,,,,,,
10574617,NLM,MEDLINE,19991221,20081121,1079-9907 (Print) 1079-9907 (Linking),19,11,1999 Nov,A pilot study of recombinant human interleukin-4 therapy of myelofibrosis.,1253-5,"Twelve patients with myelofibrosis were treated with recombinant human interleukin-4 (IL-4) administered subcutaneously thrice weekly. Dosage ranged from 1 microg/kg to 4 microg/kg. Median patient age was 65 years (range 36-74). Five patients had transient minor responses, and 5 patients had progressive disease. One patient had a transient minor response, rapidly followed by progressive disease. One patient suffered angioneurotic edema with first injection. Other significant toxicities included fever, flu-like symptoms, peripheral edema, and ascites. IL-4 at this schedule was toxic and had no significant activity in myelofibrosis.","['Giles, F J', 'Keating, A R', 'Kurzrock, R', 'Talpaz, M']","['Giles FJ', 'Keating AR', 'Kurzrock R', 'Talpaz M']","['Department of Leukemia, University of Texas-MD Anderson Cancer Center, Houston 77030, USA. fgiles@mdanderson.org']",['eng'],"['Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Interferon Cytokine Res,Journal of interferon & cytokine research : the official journal of the International Society for Interferon and Cytokine Research,9507088,IM,"['Adult', 'Aged', 'Disease Progression', 'Dose-Response Relationship, Drug', 'Female', 'Humans', 'Injections, Subcutaneous', 'Interleukin-4/adverse effects/*therapeutic use', 'Male', 'Middle Aged', 'Pilot Projects', 'Primary Myelofibrosis/*drug therapy', 'Recombinant Proteins/adverse effects/therapeutic use', 'Treatment Outcome']",1999/11/26 00:00,1999/11/26 00:01,['1999/11/26 00:00'],"['1999/11/26 00:00 [pubmed]', '1999/11/26 00:01 [medline]', '1999/11/26 00:00 [entrez]']",ppublish,J Interferon Cytokine Res. 1999 Nov;19(11):1253-5. doi: 10.1089/107999099312911.,,,['10.1089/107999099312911 [doi]'],"['0 (Recombinant Proteins)', '207137-56-2 (Interleukin-4)']",,,,,,,,,,,,,
10574526,NLM,MEDLINE,20000316,20061115,0090-3558 (Print) 0090-3558 (Linking),35,4,1999 Oct,Viral infections in free-living populations of the European wildcat.,678-86,"While the importance of viral infections is well studied in domestic cats, only limited information is available on their occurence and prevalence in the European wildcat (Felis silvestris silvestris). The aim of this study was to determine the prevalence of antibodies to feline coronavirus (FCoV), calicivirus (FCV), herpesvirus (FHV), parvovirus (FPV), immunodeficiency virus (FIV), leukemia virus (FeLV), and FeLV antigenemia in 51 European wildcat sera. Samples were collected between 1996 and 1997 from wildcat populations in France, Switzerland, and Germany. Antibodies to FCoV were detected in two cats (4%) and FCoV RNA was detected in feces of one of these two cats. Antibodies to FCV, FHV and FPV were found at relatively low frequencies of 16%, 4%, and 2%, respectively. Antibodies to FIV were not detected. Although antigen and antibodies to FeLV were detected in 49%, and 75%, respectively, no evidence of FeLV-associated pathology was found. From the low prevalence of FCoV, FCV, FHV and FPV infections and from the fact that the European wildcats live solitarily, it was concluded that these viral infections do not spread readily within a population. Therefore, it may be assumed that release into the wild of European wildcats bred in captivity would not bring about a high risk of introducing of these viral infections to the free-ranging wildcats. As an exception, wildcats should be tested for absence of FIV infection before release if they were at risk to acquire this infection from domestic cats.","['Leutenegger, C M', 'Hofmann-Lehmann, R', 'Riols, C', 'Liberek, M', 'Worel, G', 'Lups, P', 'Fehr, D', 'Hartmann, M', 'Weilenmann, P', 'Lutz, H']","['Leutenegger CM', 'Hofmann-Lehmann R', 'Riols C', 'Liberek M', 'Worel G', 'Lups P', 'Fehr D', 'Hartmann M', 'Weilenmann P', 'Lutz H']","['Department of Internal Veterinary Medicine, University of Zurich, Switzerland. cmleutenegger@ucdavis.edu']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Wildl Dis,Journal of wildlife diseases,0244160,IM,"['Animals', 'Animals, Wild', 'Antibodies, Viral/blood', 'Caliciviridae Infections/epidemiology/immunology/veterinary', '*Carnivora', 'Cats', 'Coronavirus Infections/epidemiology/immunology/veterinary', 'DNA Virus Infections/epidemiology/immunology/*veterinary', 'DNA Viruses/immunology/pathogenicity', 'Enzyme-Linked Immunosorbent Assay/veterinary', 'Feline Acquired Immunodeficiency Syndrome/epidemiology/immunology', 'Feline Panleukopenia/epidemiology/immunology', 'Fluorescent Antibody Technique, Indirect/veterinary', 'France/epidemiology', 'Germany/epidemiology', 'Herpesviridae Infections/epidemiology/immunology/veterinary', 'Prevalence', 'RNA Virus Infections/epidemiology/immunology/*veterinary', 'RNA Viruses/immunology/pathogenicity', 'Reverse Transcriptase Polymerase Chain Reaction/veterinary', 'Seroepidemiologic Studies', 'Switzerland/epidemiology']",1999/11/26 09:00,2000/03/18 09:00,['1999/11/26 09:00'],"['1999/11/26 09:00 [pubmed]', '2000/03/18 09:00 [medline]', '1999/11/26 09:00 [entrez]']",ppublish,J Wildl Dis. 1999 Oct;35(4):678-86. doi: 10.7589/0090-3558-35.4.678.,,,['10.7589/0090-3558-35.4.678 [doi]'],"['0 (Antibodies, Viral)']",,,,,,,,,,,,,
10574333,NLM,MEDLINE,20000104,20190831,0301-5629 (Print) 0301-5629 (Linking),25,7,1999 Sep,"Ultrasound during pregnancy and birthweight, childhood malignancies and neurological development.",1025-31,"The present paper summarizes some of the epidemiological studies of in utero ultrasound exposure and subsequent childhood development. Emphasis is placed on birthweight, childhood malignancies and neurological development. A meta-analysis, including neurological outcomes such as handedness, speech development, motor development, hearing and vision, is presented. The epidemiological evidence does not indicate any association between diagnostic ultrasound exposure during pregnancy and reduced birthweight, childhood malignancies or neurological maldevelopment. The possible association between ultrasound and nonrighthandedness among boys needs further evaluation.","['Salvesen, K A', 'Eik-Nes, S H']","['Salvesen KA', 'Eik-Nes SH']","['National Center for Fetal Medicine, Department of Obstetrics and Gynecology, Trondheim University Hospital, Norway. pepes@medisin.ntnu.no']",['eng'],"['Journal Article', 'Meta-Analysis']",England,Ultrasound Med Biol,Ultrasound in medicine & biology,0410553,IM,"['*Birth Weight', 'Child', 'Child, Preschool', 'Female', '*Functional Laterality', 'Humans', 'Infant', 'Infant, Newborn', 'Language Development Disorders/epidemiology/*etiology', 'Leukemia/epidemiology/*etiology', 'Male', 'Neoplasms/epidemiology/*etiology', 'Norway/epidemiology', 'Pregnancy', 'Psychomotor Disorders/epidemiology/*etiology', 'Risk', 'Sweden/epidemiology', 'Ultrasonography, Prenatal/*adverse effects']",1999/11/26 00:00,1999/11/26 00:01,['1999/11/26 00:00'],"['1999/11/26 00:00 [pubmed]', '1999/11/26 00:01 [medline]', '1999/11/26 00:00 [entrez]']",ppublish,Ultrasound Med Biol. 1999 Sep;25(7):1025-31. doi: 10.1016/s0301-5629(99)00051-4.,,,"['S0301-5629(99)00051-4 [pii]', '10.1016/s0301-5629(99)00051-4 [doi]']",,,,,,,,,,,,,,
