PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,TT,PL,TA,JT,JID,SB,EIN,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,CON,CIN,AID,PMC,CI,GR,RF,SI,CN,CRI,OID,OAB,OABL,OTO,OT,GN,LID,PS,FPS
10408142,NLM,MEDLINE,19990827,20061115,0941-3790 (Print) 0941-3790 (Linking),61,4,1999 Apr,[Lymphomas and leukemias in population-related cancer registries in Germany].,161-7,"BACKGROUND: A German Federal law enacted in 1995 aims at nation-wide cancer registration, the details of realization based on local regulations being left to the individual Federal states. The impact of different approaches and regulations on the results of registration was investigated at three well-established records in the Saarland, Hamburg and North-Rhine Westphalia, taking the group of lymphoma and leukaemia (ICD 200-208) taken as an example. MATERIAL AND METHODS: Incidence and mortality rates calculated by the record files for the period from 1987 to 1994 were compared. The resulting mortality/incidence ratios were compared as well as the percentage of cases in each register with death certificates (DCO) as the only information source. RESULTS: There was a distinct increase of incidence rates visible in Hamburg and Munster. As far as the male patients was concerned, both records attained the level of Saarland at the end of the period. However, the leukaemia and lymphoma mortality figures for males and females was about 10% lower for Saarland than in the comparative regions. The male mortality incidence ratio was 0.55 for Saarland versus 0.60 average in Hamburg and Munster at the end of the period. In Saarland and Hamburg there was a decrease of DCO-cases from 14% to less than 6% in 1994. More constant values around 11% could be observed in the Munster registry. The distribution of diagnosis within the group as well as age-specific incidence rates for the selected diagnosis ""lymphatic leukaemia"" (ICD 204) and ""Hodgkin's disease"" (ICD 201) yielded only slight differences. CONCLUSION: The increase of incidence rates in Munster and Hamburg indicates more complete reporting. Assuming that the survival rates are the same in the three regions, the lower mortality in Saarland points to lower morbidity. Hence in spite of a definite approximation the cancer registries in Hamburg and Munster do not reach the level of completeness of the Saarland cancer registry. This may be due to the informed patient consent required by regional law for reports to the registry. To achieve completeness a special reporting procedure for pathological and haematological Institutes is mandatory. Simple indicators should be available in each registry for continuous estimation of completeness. Standardised case definitions and rules for the coding of diagnosis in cancer registries will improve national and international comparability and feasibility of data exchange.","['Lehnert, M', 'Baumgardt-Elms, C', 'Stegmaier, C', 'Liese, A', 'Krieg, V', 'Mattauch, V', 'Hense, H W']","['Lehnert M', 'Baumgardt-Elms C', 'Stegmaier C', 'Liese A', 'Krieg V', 'Mattauch V', 'Hense HW']","['Institut fur Epidemiologie und Sozialmedizin, Universitat Munster.']",['ger'],"['English Abstract', 'Journal Article']",Lymphome und Leukamien in bevolkerungsbezogenen Krebsregistern in Deutschland.,Germany,Gesundheitswesen,Gesundheitswesen (Bundesverband der Arzte des Offentlichen Gesundheitsdienstes (Germany)),9204210,IM,['Gesundheitswesen 1999 Jun;61(6):298'],"['Adolescent', 'Adult', 'Aged', 'Cause of Death', 'Child', 'Child, Preschool', 'Cross-Sectional Studies', 'Female', 'Germany/epidemiology', 'Humans', 'Incidence', 'Infant', 'Leukemia/*mortality', 'Lymphoma/*mortality', 'Male', 'Middle Aged', 'Registries/*statistics & numerical data']",1999/07/17 00:00,1999/07/17 00:01,['1999/07/17 00:00'],"['1999/07/17 00:00 [pubmed]', '1999/07/17 00:01 [medline]', '1999/07/17 00:00 [entrez]']",ppublish,Gesundheitswesen. 1999 Apr;61(4):161-7.,,,,,,,,,,,,,,,,,,,,
10407997,NLM,MEDLINE,19990827,20131121,0043-5325 (Print) 0043-5325 (Linking),111,9,1999 May 7,Sequence-specific transcription factors during glucocorticoid-induced apoptosis in acute lymphoblastic leukemia cells.,360-7,"Glucocorticoids (GC) are known to induce programmed cell death (apoptosis) in certain hematologic malignancies, but the molecular basis of this clinically significant phenomenon is poorly understood. GC act via binding to their specific receptor, a ligand-activated transcription factor, and might induce apoptosis by transcriptional activation of ""death"" or repression of ""survival"" genes. GC regulate gene expression directly, i.e. via GC responsive elements, or indirectly by modulating the activity of other transcription factors such as AP-1, NF-KB, Oct, Ets, and CREB. To analyze possible alterations in the activity of these transcription factors during GC-induced apoptosis, we performed electrophoretic mobility shift assays using the human acute T-cell leukemia line CCRF-CEM C7H2 as a model system. Although AP-1 was highly inducible by phorbol ester treatment, it was almost undetectable in logarithmically growing cells and apparently unregulated during GC-induced apoptosis. Thus, alterations in AP-1 activity do not appear to be involved in GC-induced apoptosis. Oct, Ets, and CREB DNA binding activity were detectable prior to and during GC treatment, and appeared to have been down-regulated after 48 hours. At this time, however, cells had already undergone considerable apoptosis, and this downregulation might reflect cell death-associated protein degradation. In contrast, NF-KB DNA binding activity was reduced 12 to 24 hours after GC exposure but reached levels equal to or higher than pre-treatment levels after 48 hours. Thus, while AP-1, Oct, Ets, and CREB may not be involved in GC-induced apoptosis, the maintenance of NF-KB levels suggests that it may participate in this form of cell death.","['Hartmann, B L', 'Geley, S', 'Kofler, R']","['Hartmann BL', 'Geley S', 'Kofler R']","['Institute for General and Experimental Pathology, University of Innsbruck, Austria.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,Austria,Wien Klin Wochenschr,Wiener klinische Wochenschrift,21620870R,IM,,"['Apoptosis/*drug effects/genetics', 'Autoradiography', 'DNA Damage', 'Dexamethasone/*pharmacology', 'Down-Regulation/drug effects', 'Gene Expression Regulation, Neoplastic/drug effects', 'Glucocorticoids/*pharmacology', 'HeLa Cells', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/*genetics', 'NF-kappa B/genetics', 'Transcription Factor AP-1/genetics', 'Transcription Factors/*genetics', 'Tumor Cells, Cultured']",1999/07/17 00:00,1999/07/17 00:01,['1999/07/17 00:00'],"['1999/07/17 00:00 [pubmed]', '1999/07/17 00:01 [medline]', '1999/07/17 00:00 [entrez]']",ppublish,Wien Klin Wochenschr. 1999 May 7;111(9):360-7.,"['0 (Glucocorticoids)', '0 (NF-kappa B)', '0 (Transcription Factor AP-1)', '0 (Transcription Factors)', '7S5I7G3JQL (Dexamethasone)']",,,,,,,,,,,,,,,,,,,
10407995,NLM,MEDLINE,19990827,20211203,0043-5325 (Print) 0043-5325 (Linking),111,9,1999 May 7,Transplantation of related and unrelated umbilical cord blood stem cells in Austria. Austrian Working Party for Stem Cell Transplantation. Austrian Society of Hematology and Oncology.,348-53,"Allogeneic bone marrow transplantation is limited by the availability of suitable HLA-matched donors and the risk of graft versus host disease (GvHD). In an attempt to overcome these limitations umbilical cord blood (UCB), has become a further alternative. UCB transplantations in Austria were started in 1991. As of September 31, 1998, six patients have been transplanted. Diagnoses were severe aplastic anaemia (SAA) (n = 2), acute lymphoblastic leukaemia (ALL) (n = 1), familial hemophagocytic syndrome (FHL) (n = 2) and chronic myelomonocytic leukaemia (CMML) (n = 1). Three patients received UCB grafts from HLA-identical siblings and three patients from unrelated donors, of whom two were disparate at two HLA loci (A/B) and one mismatched at one locus (C). Five patients were engrafted with complete donor hematopoiesis, with a median time of 26.5 days (range 14 to 39 days) to an ANC count of > or = 0.5 x 10(9)/L and a median time of 42.5 days (range 24 to 67 days) to a platelet count of > or = 20 x 10(9)/L. One patient with FHL had partial engraftment and died due to reactivation of cytomegalovirus (CMV) infection and CMV pneumonia on day +25. Of the five patients surviving the post-transplant period, one with CMML had a relapse on day +128 and died after a HLA-matched bone marrow transplantation from the same sibling donor in the second relapse. Another patient with ALL relapsed on day +200 but is still alive under palliative treatment; one patient with SAA showed graft rejection and autologous hematopoietic reconstitution and later had a successful CD34(+)-selected allogeneic peripheral stem cell transplant from a C-locus mismatched unrelated donor. Two patients (one with SAA and one with FHL) are alive with complete remission of the underlying disease. This report reflects the experience and results of UCB transplantation in Austria and discusses the position of UCB transplantation in the context of the other stem cell alternatives available today.","['Schwinger, W', 'Urban, C', 'Lackner, H', 'Kerbl, R', 'Sovinz, P', 'Gardner, H', 'Peters, C', 'Niederwieser, D', 'Fink, F M', 'Kogler, G']","['Schwinger W', 'Urban C', 'Lackner H', 'Kerbl R', 'Sovinz P', 'Gardner H', 'Peters C', 'Niederwieser D', 'Fink FM', 'Kogler G']","['Department of Pediatrics, University of Graz, Austria. wolfgang.schwinger@kfunigraz.ac.at']",['eng'],"['Comparative Study', 'Journal Article', 'Comment']",,Austria,Wien Klin Wochenschr,Wiener klinische Wochenschrift,21620870R,IM,,"['Anemia, Aplastic/blood/therapy', 'Austria', 'Child', 'Child, Preschool', 'Female', 'Fetal Blood/*cytology', 'Follow-Up Studies', 'Graft vs Host Disease/blood/prevention & control', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Immunosuppression Therapy', 'Infant', 'Leukemia, Myelomonocytic, Chronic/blood/therapy', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood/therapy', 'Transplantation, Homologous', 'Transplantation, Isogeneic', 'Treatment Outcome']",1999/07/17 00:00,1999/07/17 00:01,['1999/07/17 00:00'],"['1999/07/17 00:00 [pubmed]', '1999/07/17 00:01 [medline]', '1999/07/17 00:00 [entrez]']",ppublish,Wien Klin Wochenschr. 1999 May 7;111(9):348-53.,,['Wien Klin Wochenschr. 1999 May 7;111(9):335-8. PMID: 10407993'],,,,,,,,,,,,,,,,,,
10407993,NLM,MEDLINE,19990827,20061115,0043-5325 (Print) 0043-5325 (Linking),111,9,1999 May 7,[Therapeutic spectrum of blood stem cell transplantation].,335-8,,"['Hinterberger, W']",['Hinterberger W'],,['ger'],"['Comparative Study', 'Editorial']",Therapeutisches Spektrum der Transplantation von Blutstammzellen.,Austria,Wien Klin Wochenschr,Wiener klinische Wochenschrift,21620870R,IM,,"['Adult', 'Anemia, Aplastic/blood/*therapy', 'Austria', 'Child', 'Female', 'Fetal Blood/*cytology', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Infant, Newborn', 'Leukemia/blood/*therapy', 'Male', 'Neoplasms/blood/*therapy', 'Transplantation, Homologous']",1999/07/17 00:00,1999/07/17 00:01,['1999/07/17 00:00'],"['1999/07/17 00:00 [pubmed]', '1999/07/17 00:01 [medline]', '1999/07/17 00:00 [entrez]']",ppublish,Wien Klin Wochenschr. 1999 May 7;111(9):335-8.,,,['Wien Klin Wochenschr. 1999 May 7;111(9):348-53. PMID: 10407995'],,,,,,,,,,,,,,,,,
10407875,NLM,MEDLINE,19990826,20081121,0888-0018 (Print) 0888-0018 (Linking),16,4,1999 Jul-Aug,A case of myelodysplastic syndrome complicated by pulmonary alveolar proteinosis with a high serum KL-6 level.,367-71,"Serious hematological diseases often cause respiratory disorders. Because these are related to the prognoses of patients with hematological diseases, their early diagnosis is necessary. This study describes a 6-year-old girl with myelodysplastic syndrome complicated by pulmonary alveolar proteinosis who showed a remarkable increase in her serum KL-6 level. Three years and 2 months after the end of therapy for neonatal melanoma, a diagnosis of myelodysplastic syndrome with leukemic change was made. Ten months after the onset of leukemia, she had respiratory distress with an increased serum KL-6 level of 75,000 U/mL (reference range; < 500 U/mL). Despite various treatments for pulmonary complications, she died 3 months after developing respiratory distress. A diagnosis of pulmonary alveolar proteinosis was made at autopsy. Earlier treatment of respiratory distress could be achieved if serum KL-6 levels were examined earlier.","['Kajiume, T', 'Yoshimi, S', 'Nagita, A', 'Kobayashi, K', 'Kataoka, N', 'Nakajima, M', 'Matsushima, T']","['Kajiume T', 'Yoshimi S', 'Nagita A', 'Kobayashi K', 'Kataoka N', 'Nakajima M', 'Matsushima T']","['Department of Pediatrics, Kawasaki Medical School, Okayama, Japan.']",['eng'],"['Case Reports', 'Journal Article']",,England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,IM,,"['Antigens', 'Antigens, Neoplasm', 'Child', 'Female', 'Glycoproteins', 'Humans', 'Mucin-1', 'Mucins', 'Myelodysplastic Syndromes/*complications', 'Peptide Fragments/blood', 'Procollagen/blood', 'Pulmonary Alveolar Proteinosis/blood/*etiology']",1999/07/17 00:00,1999/07/17 00:01,['1999/07/17 00:00'],"['1999/07/17 00:00 [pubmed]', '1999/07/17 00:01 [medline]', '1999/07/17 00:00 [entrez]']",ppublish,Pediatr Hematol Oncol. 1999 Jul-Aug;16(4):367-71. doi: 10.1080/088800199277218.,"['0 (Antigens)', '0 (Antigens, Neoplasm)', '0 (Glycoproteins)', '0 (MUC1 protein, human)', '0 (Mucin-1)', '0 (Mucins)', '0 (Peptide Fragments)', '0 (Procollagen)', '0 (procollagen Type III-N-terminal peptide)']",,,"['10.1080/088800199277218 [doi]', 'NE3HNTXQWXPWHKY7 [pii]']",,,,,,,,,,,,,,,,
10407873,NLM,MEDLINE,19990826,20081121,0888-0018 (Print) 0888-0018 (Linking),16,4,1999 Jul-Aug,Acute leukemias in children from the city of Kiev and Kiev region after the Chernobyl NPP catastrophe.,355-60,"During 1993-1997, 247 cases of childhood acute leukemia (AL) were analyzed among inhabitants of the city of Kiev and Kiev region, excluding the most contaminated areas belonging to the strict control zone. The criteria of an FAB classification supplemented by immunophenotyping data were applied. The AL pattern was shown to be quite typical except for several peculiar features characteristic of this regional group of patients, especially the absence of age peaks in children with acute myelogenous leukemias (AML), increased frequency of the T1 variant in T-cell acute lymphoblastic leukemia (ALL), and higher levels of M4 and M5 variants in AML. A typical variant of M5a-AML with minimal signs of differentiation was found.","['Gluzman, D F', 'Abramenko, I V', 'Sklyarenko, L M', 'Nadgornaya, V A', 'Zavelevich, M P', 'Bilous, N I', 'Poludnenko, L Y']","['Gluzman DF', 'Abramenko IV', 'Sklyarenko LM', 'Nadgornaya VA', 'Zavelevich MP', 'Bilous NI', 'Poludnenko LY']","['RE Kavetsky Institute of Experimental Pathology, Oncology and Radiobiology, National Academy of Sciences of Ukraine, Kiev, Ukraine.']",['eng'],['Journal Article'],,England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,IM,,"['Child', 'Child, Preschool', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*epidemiology', 'Leukemia, Radiation-Induced/*epidemiology', 'Male', '*Power Plants', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*epidemiology', '*Radioactive Hazard Release', 'Ukraine/epidemiology']",1999/07/17 00:00,1999/07/17 00:01,['1999/07/17 00:00'],"['1999/07/17 00:00 [pubmed]', '1999/07/17 00:01 [medline]', '1999/07/17 00:00 [entrez]']",ppublish,Pediatr Hematol Oncol. 1999 Jul-Aug;16(4):355-60. doi: 10.1080/088800199277191.,,,,"['10.1080/088800199277191 [doi]', '7GXP8Q6CJVFKXF8J [pii]']",,,,,,,,,,,,,,,,
10407872,NLM,MEDLINE,19990826,20071115,0888-0018 (Print) 0888-0018 (Linking),16,4,1999 Jul-Aug,Childhood myelodysplastic syndromes in a Brazilian population.,347-53,"Fourteen pediatric cases of myelodysplastic syndrome according to French-American-British Co-operative Group (FAB) criteria were identified in a retrospective review of all cases of hematologic malignancies referred to the Pediatric Oncology division of the Cancer Hospital A. C. Camargo over a 12-year period: 1 case of refractory anemia, 8 cases of refractory anemia with excess of blasts, and 1 case of refractory anemia with excess of blasts in transformation. Three children had features consistent with chronic myelomonocytic leukemia, and one child was diagnosed with secondary myelodysplastic syndrome. The median age was 3.5 years (1 month-11 years). In 11/14 cases the disease evolved to acute leukemia. In 3 patients blasts had morphological and cytochemical features of lymphoblasts. Two of these patients had a good response to acute lymphoblastic leukemia chemotherapy protocol. The time of progression to leukemia in these cases was shorter than in those who evolved to acute myeloid leukemia. The authors believe this to be the first series of pediatric myelodysplastic syndrome documented in Brazil. Cases were characterized by aggressive FAB type, conspicuous cell atypias in all 3 hemopioetic cell lines, and a high rate of evolution to acute leukemia.","['Lopes, L F', 'Lorand-Metze, I']","['Lopes LF', 'Lorand-Metze I']","['Department of Pediatric Oncology, Cancer Hospital A.C. Camargo, Sao Paulo, Brazil. lf.lopes@sti.com.br']",['eng'],['Journal Article'],,England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,IM,,"['Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Male', 'Myelodysplastic Syndromes/*blood/classification/complications', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*blood', 'Retrospective Studies']",1999/07/17 00:00,1999/07/17 00:01,['1999/07/17 00:00'],"['1999/07/17 00:00 [pubmed]', '1999/07/17 00:01 [medline]', '1999/07/17 00:00 [entrez]']",ppublish,Pediatr Hematol Oncol. 1999 Jul-Aug;16(4):347-53. doi: 10.1080/088800199277182.,,,,"['10.1080/088800199277182 [doi]', '4PKAJMLCJRD5YW4A [pii]']",,,,,,,,,,,,,,,,
10407869,NLM,MEDLINE,19990826,20071115,0888-0018 (Print) 0888-0018 (Linking),16,4,1999 Jul-Aug,The role of parvovirus B19 infection in childhood acute lymphoblastic leukemia.,329-34,"The authors hypothesized that parvovirus B19 with its hematotropic effects has the potential to precipitate varying forms of cytopenia in patients prior to or at the diagnosis of acute lymphoblastic leukemia (ALL). Consequently, and in view of the increasing number of cases reported, this retrospective study evaluated, for the first time, the possible role of parvovirus B19 infection in pediatric patients suffering from ALL, by investigating the frequency and clinical relevance of this infection at the time of the malignant diagnosis or, when applicable, during a phase of pre-ALL. Furthermore, a review of reported parvovirus B19 infections in pediatric ALL patients is presented. The serum of 65 consecutive pediatric patients with a diagnosis of ALL was examined for possible parvovirus B19 infection employing the polymerase chain reaction and ELISA techniques. Specific IgG was demonstrated in 30% of the patients. One patient diagnosed with pre-ALL had evidence of parvovirus B19 DNA in the serum during pancytopenia 5 months prior to the onset of ALL. The results suggest that there is an insignificant chance of finding a parvovirus B19 infection in pediatric patients with ALL at the time of diagnosis. However, parvovirus B19 infection may infrequently serve as a prodrome to ALL.","['Heegaard, E D', 'Jensen, L', 'Hornsleth, A', 'Schmiegelow, K']","['Heegaard ED', 'Jensen L', 'Hornsleth A', 'Schmiegelow K']","['Department of Clinical Microbiology, University State Hospital, Copenhagen, Denmark. eheegaard@hotmail.com']",['eng'],['Journal Article'],,England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,IM,,"['Adolescent', 'Antibodies, Viral/blood', 'Child', 'Child, Preschool', 'DNA, Viral/analysis', 'Female', 'Humans', 'Immunoglobulin M/blood', 'Infant', 'Male', 'Parvoviridae Infections/*complications', '*Parvovirus B19, Human', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*etiology', 'Retrospective Studies']",1999/07/17 00:00,1999/07/17 00:01,['1999/07/17 00:00'],"['1999/07/17 00:00 [pubmed]', '1999/07/17 00:01 [medline]', '1999/07/17 00:00 [entrez]']",ppublish,Pediatr Hematol Oncol. 1999 Jul-Aug;16(4):329-34. doi: 10.1080/088800199277155.,"['0 (Antibodies, Viral)', '0 (DNA, Viral)', '0 (Immunoglobulin M)']",,,"['10.1080/088800199277155 [doi]', '66K0QAWA3QH64P0D [pii]']",,,,,,,,,,,,,,,,
10407810,NLM,MEDLINE,19990806,20131121,0300-8630 (Print) 0300-8630 (Linking),211,2,1999 Mar-Apr,[Persistent Lactobacillus casei subspecies rhamnosus bacteremia in a 14 year old girl with acute myeloid leukemia. A case report].,53-6,"The present clinical observation is related to a 14-year-old girl suffering from acute myeloid leukemia. The clinical course was complicated by episodes of severe enterocolitis, E. coli- septicemia, pancreatitis and pneumonia. In the course of continued cytostatic and antibiotic treatment a persistent asymptomatic Lactobacillus casei subsp. rhamnosus-bacteremia became detectable by a total of 18 blood cultures. Microbial cultures of the faeces revealed colony-forming unites of this germ in orders of 10(9)/g. Antibiotic eradication attempts according to the resistogram were not successful. The Lactobacillus-bacteremia disappeared only after 13 months when the cytostatic therapy was terminated. An adjuvant influence of the Lactobacillus infection on the outcome of the underlying disease cannot be excluded.","['Majcher-Peszynska, J', 'Heine, W', 'Richter, I', 'Eggers, G', 'Mohr, C']","['Majcher-Peszynska J', 'Heine W', 'Richter I', 'Eggers G', 'Mohr C']",['Universitatskinder- und Jugendklinik Rostock.'],['ger'],"['Case Reports', 'English Abstract', 'Journal Article']",Persistierende Lactobacillus casei subspecies rhamnosus-Bakteriamie bei einer 14-jahrigen Patientin mit akuter myeloischer Leukamie. Eine Kasuistik.,Germany,Klin Padiatr,Klinische Padiatrie,0326144,IM,,"['Adolescent', 'Anti-Bacterial Agents', 'Antineoplastic Agents/adverse effects', 'Bacteremia/*etiology', 'Cytarabine/adverse effects', 'Drug Therapy, Combination/adverse effects', 'Enterocolitis, Pseudomembranous/*etiology', 'Etoposide/adverse effects', 'Feces/microbiology', 'Female', 'Humans', 'Immunity, Innate', 'Lactobacillus casei/*isolation & purification', 'Leukemia, Myeloid, Acute/*complications/drug therapy', 'Recurrence', 'Treatment Outcome']",1999/07/17 00:00,1999/07/17 00:01,['1999/07/17 00:00'],"['1999/07/17 00:00 [pubmed]', '1999/07/17 00:01 [medline]', '1999/07/17 00:00 [entrez]']",ppublish,Klin Padiatr. 1999 Mar-Apr;211(2):53-6. doi: 10.1055/s-2008-1043764.,"['0 (Anti-Bacterial Agents)', '0 (Antineoplastic Agents)', '04079A1RDZ (Cytarabine)', '6PLQ3CP4P3 (Etoposide)']",,,['10.1055/s-2008-1043764 [doi]'],,,,,,,,,,,,,,,,
10407809,NLM,MEDLINE,19990806,20171116,0300-8630 (Print) 0300-8630 (Linking),211,2,1999 Mar-Apr,[Chronic liver disease after treatment of malignancies in children].,49-52,"Chemotherapy, which has greatly improved the prognosis of children with malignant diseases, is potentially hepatotoxic. Furthermore, there is a risk for viral hepatitis acquired by blood products. In this study we looked for hepatotoxicity and for chronic viral hepatitis during and after chemotherapy in 50 unselected children with malignant diseases. 29 children had been treated for leukemia or lymphoma, 19 for solid tumors, 2 for histiocytosis. All patients had been treated before 1991 and had received blood products not screened for hepatitis C-antibodies. In 18 girls and 32 boys aged 12.3 years (range 6.7-24.5 years) hepatitis B- and hepatitis C-serology and liver function tests were measured during a routine check-up 3.6 years (range 0.5-11.8 years) after the last chemotherapy. Liver function tests during chemotherapy were reviewed retrospectively. During chemotherapy 86% of children showed increased ALT and AST levels, 10% had levels above 500 U/l. At follow up 16 children (32%) had pathological liver function tests, especially slightly increased AST and ALT, 13 of these 16 patients had chronic hepatitis C. In contrast only 2 of 34 patients with normal liver function tests had a viral hepatitis (p = 0.001). Patients with elevation of AST and ALT above 100 U/l during chemotherapy had significantly more often a viral hepatitis than those with normal or slightly elevated aminotransferases. Our study shows that hepatocellular damage is a frequent complication following chemotherapy. However this progresses to chronic liver disease very rarely unless the patient acquired a viral hepatitis. The prevalence of chronic hepatitis C was very high in our patients. As screening of blood products for hepatitis C-antibodies is routinely performed since 1991 this problem is likely to have decreased.","['Ballauff, A', 'Krahe, J', 'Jansen, B', 'Ross, R S', 'Roggendorf, H', 'Havers, W']","['Ballauff A', 'Krahe J', 'Jansen B', 'Ross RS', 'Roggendorf H', 'Havers W']","['Kinderklinik, Gesamthochschule Essen.']",['ger'],"['Clinical Trial', 'Journal Article']",Chronische Hepatopathien nach Behandlung maligner Erkrankungen bei Kindern.,Germany,Klin Padiatr,Klinische Padiatrie,0326144,IM,,"['Adolescent', 'Adult', 'Alanine Transaminase/analysis', 'Antineoplastic Agents/*adverse effects', 'Aspartate Aminotransferases/analysis', 'Blood Banks/legislation & jurisprudence', 'Child', 'Chronic Disease', 'Female', 'Follow-Up Studies', 'Germany/epidemiology', 'Hepatitis C, Chronic/diagnosis/epidemiology/etiology', 'Humans', 'Incidence', 'Liver Diseases/diagnosis/*epidemiology/*etiology', 'Liver Function Tests', 'Male', 'Neoplasms/*therapy', '*Transfusion Reaction']",1999/07/17 00:00,1999/07/17 00:01,['1999/07/17 00:00'],"['1999/07/17 00:00 [pubmed]', '1999/07/17 00:01 [medline]', '1999/07/17 00:00 [entrez]']",ppublish,Klin Padiatr. 1999 Mar-Apr;211(2):49-52. doi: 10.1055/s-2008-1043763.,"['0 (Antineoplastic Agents)', 'EC 2.6.1.1 (Aspartate Aminotransferases)', 'EC 2.6.1.2 (Alanine Transaminase)']",,,['10.1055/s-2008-1043763 [doi]'],,,,,,,,,,,,,,,,
10407604,NLM,MEDLINE,19990805,20190921,0266-4623 (Print) 0266-4623 (Linking),15,1,1999 Winter,The DiSC assay. A cost-effective guide to treatment for chronic lymphocytic leukemia?,173-84,"The differential staining cytotoxicity (DiSC) assay involves in vitro drug panel testing against patient tumor cells to identify optimal therapy. This observational study investigated whether DiSC assay guided treatment could improve outcome in patients with chronic lymphocytic leukemia. A cohort of 178 patients were categorized either as sensitive to drugs in vitro and receiving a sensitive drug in vivo, sensitive in vitro but not treated with a sensitive drug, or having disease resistant to all drugs tested in vitro. Response and survival for these patient categories were compared using multivariate regression techniques. Patients receiving a sensitive drug, compared with those who though having sensitivity did not, had a higher remission rate (odds ratio, 6.5; 95% CI, 2.91-14.53) and reduced death rate (hazard ratio, 0.29; 95% CI, 0.16-0.53). Having adjusted for all known confounding factors, the results suggest that in vitro drug sensitivity is an important independent prognostic variable to include in future trials, and that the DiSC assay may be a cost-effective use of health resources: the estimated incremental cost-effectiveness was 1,470 Pounds per life-year gained. A randomized controlled trial is required to confirm the benefit and estimate reliably the potential impact of assay-guided choice of therapy.","['Mason, J M', 'Drummond, M F', 'Bosanquet, A G', 'Sheldon, T A']","['Mason JM', 'Drummond MF', 'Bosanquet AG', 'Sheldon TA']",['University of York.'],['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Int J Technol Assess Health Care,International journal of technology assessment in health care,8508113,IM,,"['Aged', 'Cohort Studies', 'Cost-Benefit Analysis', 'Drug Screening Assays, Antitumor/*economics/statistics & numerical data', 'Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*economics/mortality/therapy', 'Male', 'Proportional Hazards Models', 'Prospective Studies', 'Sensitivity and Specificity']",1999/07/17 00:00,1999/07/17 00:01,['1999/07/17 00:00'],"['1999/07/17 00:00 [pubmed]', '1999/07/17 00:01 [medline]', '1999/07/17 00:00 [entrez]']",ppublish,Int J Technol Assess Health Care. 1999 Winter;15(1):173-84. doi: 10.1017/s0266462399152565.,,,,['10.1017/s0266462399152565 [doi]'],,,,,,,,,,,,,,,,
10407587,NLM,MEDLINE,19990727,20041117,0925-5710 (Print) 0925-5710 (Linking),69,4,1999 Jun,Therapy-related acute myeloid leukemia with t(10;11)(q23;p15) following successful chemotherapy for acute promyelocytic leukemia with t(15;17)(q22;q21),270-1,,"['Sawada, H', 'Morimoto, H', 'Wake, A', 'Yamasaki, Y', 'Izumi, Y']","['Sawada H', 'Morimoto H', 'Wake A', 'Yamasaki Y', 'Izumi Y']",,['eng'],"['Case Reports', 'Letter']",,Japan,Int J Hematol,International journal of hematology,9111627,IM,,"['*Chromosomes, Human, Pair 10', '*Chromosomes, Human, Pair 11', '*Chromosomes, Human, Pair 15', '*Chromosomes, Human, Pair 17', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Leukemia, Promyelocytic, Acute/*drug therapy/*genetics', 'Male', 'Middle Aged', '*Translocation, Genetic']",1999/07/17 00:00,1999/07/17 00:01,['1999/07/17 00:00'],"['1999/07/17 00:00 [pubmed]', '1999/07/17 00:01 [medline]', '1999/07/17 00:00 [entrez]']",ppublish,Int J Hematol. 1999 Jun;69(4):270-1.,,,,,,,,,,,,,,,,,,,,
