PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,RF,CIN,CON,SI,TT,OID,OTO,OT,GN,EIN,MID,DEP,CI,LID,IR,FIR,IRAD,CRF
10326222,NLM,MEDLINE,19990629,20131121,0888-0018 (Print) 0888-0018 (Linking),16,3,1999 May-Jun,Clinically relevant deoxycytidine levels are high enough to profoundly alter 9-beta-D-arabinofuranosylguanine cytotoxicity for human T-cell acute leukemia cells in vitro.,239-44,"Plasma deoxycytidine levels can vary markedly during chemotherapy, from < 0.05 microM to at least 10.3 microM in T-cell acute lymphoblastic leukemia (T-ALL). This study demonstrates that clinically relevant deoxycytidine levels can dramatically protect human T-ALL cells against 9-beta-D-arabinofuranosylguanine (araG), a promising drug in this leukemia. At 0.4, 1.2, 3.6, and 10.8 microM deoxycytidine, the dose of araG required to kill 50% of MOLT3 T-ALL cells increased 4.23 +/- 1.95-(mean +/- SEM), 23.1 +/- 5.42-, 39.3 +/- 19.3-, and 67.0 +/- 11.5-fold compared to araG without deoxycytidine. Such deoxycytidine concentrations sharply reduced intracellular araG levels and blocked inhibition of DNA synthesis even in the presence of 160 and 640 microM araG. These data offer the first evidence that clinically relevant deoxycytidine levels could profoundly modulate araG toxicity in T-ALL.","['Cohen, J D', 'Strock, D J', 'Teik, J E', 'LaGuardia, E A', 'Katz, T B']","['Cohen JD', 'Strock DJ', 'Teik JE', 'LaGuardia EA', 'Katz TB']","['Division of Medical Oncology, University of Colorado Health Sciences Center, Denver 80262, USA. JDCohen124@aol.com']",['eng'],['CA62051/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,"['0 (Antineoplastic Agents)', '0 (Arabinonucleosides)', '0W860991D6 (Deoxycytidine)', '38819-10-2 (9-arabinofuranosylguanine)', '9007-49-2 (DNA)']",IM,"['Antineoplastic Agents/*pharmacology', 'Arabinonucleosides/pharmacokinetics/*pharmacology', 'Cell Survival/drug effects', 'DNA/biosynthesis', 'Deoxycytidine/*blood/pharmacology', 'Dose-Response Relationship, Drug', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/*drug therapy/pathology', 'Tumor Cells, Cultured']",1999/05/18 00:00,1999/05/18 00:01,['1999/05/18 00:00'],"['1999/05/18 00:00 [pubmed]', '1999/05/18 00:01 [medline]', '1999/05/18 00:00 [entrez]']","['10.1080/088800199277290 [doi]', 'T5LHQNCNRG35WPW3 [pii]']",ppublish,Pediatr Hematol Oncol. 1999 May-Jun;16(3):239-44. doi: 10.1080/088800199277290.,,,,,,,,,,,,,,,,,,,
10326219,NLM,MEDLINE,19990629,20131121,0888-0018 (Print) 0888-0018 (Linking),16,3,1999 May-Jun,Neuropsychologic sequelae in the long-term survivors of childhood acute lymphoblastic leukemia.,213-20,"The neurotoxicity of either systemic chemotherapy or central nervous system prophylaxis was studied in 19 children treated for acute lymphoblastic leukemia (ALL). They had completed ALL therapy at least a year before and survived more than 5 years after diagnosis. The duration between age at diagnosis and age at investigation was 8.6 +/- 2.7 years (5-15 years). Neuropsychologic tests, cranial magnetic resonance imaging (MRI), and evoked potentials (EP) were studied. Seventeen healthy siblings were taken as a control group. Emotional evaluation was done using the childhood depression inventory and Beck depression inventory. Cognitive functions were evaluated using Wechsler's Intelligence Scale for Children-Revised (WISC-R) or the Wechsler's Adult Intelligence Scale-Revised (WAIS-R) tests, which were adapted to Turkish children. Performance and total IQ scores (94.0 +/- 16.8 and 92.2 +/- 16.5) were significantly low as compared to the control group (112.1 +/- 18.9 and 105.4 +/- 14.2) (p = .007 and p = .02). Abnormal MRI findings were found in 33.3% (6/18). Three out of 18 patients (16.6%) had abnormal auditory while 5 out of 17 patients (29.5%) displayed abnormal visual EPs. Abnormal findings in MRI, cognitive examination, and electrophysiologic testing were not associated with age at diagnosis, radiotherapy doses, intermediate/high-dose systemic methotrexate administration or central nervous system involvement. But more patients must be studied to demonstrate discrete outcomes of neurotoxicity in long-term survivors of childhood leukemia.","['Cetingul, N', 'Aydinok, Y', 'Kantar, M', 'Oniz, H', 'Kavakli, K', 'Yalman, O', 'Erermis, S', 'Celebisoy, N', 'Akyurekli, O', 'Oztop, S', 'Nisli, G']","['Cetingul N', 'Aydinok Y', 'Kantar M', 'Oniz H', 'Kavakli K', 'Yalman O', 'Erermis S', 'Celebisoy N', 'Akyurekli O', 'Oztop S', 'Nisli G']","['Ege University, Faculty of Medicine, Department of Paediatrics, Izmir, Turkey.']",['eng'],,['Journal Article'],England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,"['0 (Antineoplastic Agents)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Adolescent', 'Antineoplastic Agents/*adverse effects', 'Brain Diseases/diagnosis/*etiology', 'Child', 'Child, Preschool', 'Cognition', 'Cranial Irradiation/*adverse effects', 'Female', 'Humans', 'Intelligence', 'Magnetic Resonance Imaging', 'Male', 'Methotrexate/*adverse effects', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/complications/psychology/*therapy', 'Survivors']",1999/05/18 00:00,1999/05/18 00:01,['1999/05/18 00:00'],"['1999/05/18 00:00 [pubmed]', '1999/05/18 00:01 [medline]', '1999/05/18 00:00 [entrez]']","['10.1080/088800199277263 [doi]', '2RCJRDGCR57NUAW9 [pii]']",ppublish,Pediatr Hematol Oncol. 1999 May-Jun;16(3):213-20. doi: 10.1080/088800199277263.,,,,,,,,,,,,,,,,,,,
10326217,NLM,MEDLINE,19990629,20071115,0888-0018 (Print) 0888-0018 (Linking),16,3,1999 May-Jun,Treatment of standard-risk acute lymphoblastic leukemia in children: the results of protocol AL841 from the Kyushu-Yamaguchi Children's Cancer Study Group in Japan.,187-99,"A total of 62 patients with standard-risk acute lymphoblastic leukemia received three-drug induction consisting of vincristine, prednisolone, and L-asparaginase (l-Asp) followed by consolidation therapy with intermediate-dose methotrexate (MTX), intrathecal MTX, and 18 Gy of cranial irradiation. Maintenance therapy consisting of 6 drugs including daunorubicin (DNR, 450 mg/m2 in total) was continued for 3 years. Patients were randomized and half of them received weekly l-Asp during maintenance therapy as a late intensification. Complete remission (CR) was achieved in 61/62 (98.4%), and 11 of 61 patients relapsed. At 10 years, the event-free survival (EFS) was 80.6 +/- 5.0% and overall survival was 88.7 +/- 4.0%; median follow-up time was 9.3 years. The 10-year EFS of patients with additional l-Asp (84.8 +/- 6.2%) was superior to that without l-Asp (75.9 +/- 7.9%), although it was not statistically significant. No patients who received a full dose of DNR and maintained CR developed heart failure, although the shortening fraction decreased from 41.0% at diagnosis to 35.2% (median). The protocol AL841 provided good long-term disease control without severe late cardiac dysfunction.","['Matsuzaki, A', 'Okamura, J', 'Ishii, E', 'Ikuno, Y', 'Koga, H', 'Eguchi, H', 'Yanai, F', 'Inada, H', 'Nibu, K', 'Hara, T', 'Take, H', 'Miyazaki, S', 'Tasaka, H']","['Matsuzaki A', 'Okamura J', 'Ishii E', 'Ikuno Y', 'Koga H', 'Eguchi H', 'Yanai F', 'Inada H', 'Nibu K', 'Hara T', 'Take H', 'Miyazaki S', 'Tasaka H']","['Department of Pediatrics, Kyushu University, Fukuoka, Japan. amatsuza@pediatr.med.kyushu-u.ac.jp']",['eng'],,"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,,IM,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Child', 'Child, Preschool', 'Female', 'Heart/drug effects/physiopathology', 'Humans', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/mortality', 'Prognosis', 'Risk', 'Survival Rate', 'Treatment Outcome']",1999/05/18 00:00,1999/05/18 00:01,['1999/05/18 00:00'],"['1999/05/18 00:00 [pubmed]', '1999/05/18 00:01 [medline]', '1999/05/18 00:00 [entrez]']","['10.1080/088800199277245 [doi]', '4U0DXMVCTW8XNXHC [pii]']",ppublish,Pediatr Hematol Oncol. 1999 May-Jun;16(3):187-99. doi: 10.1080/088800199277245.,,,,,,,,,,,,,,,,,,,
10326049,NLM,MEDLINE,19990609,20190503,0143-005X (Print) 0143-005X (Linking),53,1,1999 Jan,High cost factors for leukaemia and lymphoma patients: a new analysis of costs within these diagnosis related groups.,24-31,"STUDY OBJECTIVE: To determine high cost factors to help managers and clinicians to analyse the reasons of adverse costs and provide indications for financial negotiation. DESIGN: To locate high cost or long stay patients, the analysis was designed on the basis of a mixture of Weibull distributions. In this new model, the proportion of high cost patients was expressed according to the multinomial logistic regression, permitting the determination of high cost factors. SETTING: The 1993 French reference database, constituted in the framework of the national study of DRG costs, conducted by the French Ministry of Health. The database of discharge abstracts recorded in 1993 in the Dijon public teaching hospital. PARTICIPANTS: The analyses were based on 1352 abstracts from the French reference database and 368 from the Dijon database concerning patients, aged 18 and over, suffering from leukaemia and lymphoma. MAIN RESULTS: High cost and long stay factors were the same: number of stays, death, transfer, acute leukaemia, neutropenia, septicaemia, high dose aplastic chemotherapy, central venous catheterisation, parenteral nutrition, protected or laminar airflow room, blood transfusion, and intravenous antibiotherapy. CONCLUSIONS: Taking into account high cost predictive factors, as shown in the case of leukaemia and lymphoma patients, would help to reduce the adverse effects of a prospective payment system.","['Quantin, C', 'Entezam, F', 'Brunet-Lecomte, P', 'Lepage, E', 'Guy, H', 'Dusserre, L']","['Quantin C', 'Entezam F', 'Brunet-Lecomte P', 'Lepage E', 'Guy H', 'Dusserre L']","['Department of Biostatistics, Dijon Teaching Hospital, France.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,J Epidemiol Community Health,Journal of epidemiology and community health,7909766,,IM,"['Adolescent', 'Adult', 'Aged', 'Costs and Cost Analysis', 'Diagnosis-Related Groups', 'France/epidemiology', 'Hospital Costs', 'Humans', 'Length of Stay/*economics', 'Leukemia/*economics/therapy', 'Lymphoma/*economics/therapy', 'Middle Aged']",1999/05/18 00:00,1999/05/18 00:01,['1999/05/18 00:00'],"['1999/05/18 00:00 [pubmed]', '1999/05/18 00:01 [medline]', '1999/05/18 00:00 [entrez]']",['10.1136/jech.53.1.24 [doi]'],ppublish,J Epidemiol Community Health. 1999 Jan;53(1):24-31. doi: 10.1136/jech.53.1.24.,PMC1756772,,,,,,,,,,,,,,,,,,
10325879,NLM,MEDLINE,19990520,20200611,0141-0768 (Print) 0141-0768 (Linking),91,11,1998 Nov,Stridor due to laryngeal haematoma.,593,,"['Roblin, G', 'Denholm, S', 'Tomkinson, A']","['Roblin G', 'Denholm S', 'Tomkinson A']","['Department of Otolaryngology, University Hospital of Wales, Cardiff, UK.']",['eng'],,"['Case Reports', 'Journal Article']",England,J R Soc Med,Journal of the Royal Society of Medicine,7802879,,IM,"['Acute Disease', 'Aged', 'Female', 'Hematoma/*complications', 'Humans', 'Laryngeal Diseases/*complications', 'Laryngeal Neoplasms/complications', 'Leukemia, Myeloid/complications', 'Respiratory Sounds/*etiology']",1999/05/18 00:00,1999/05/18 00:01,['1999/05/18 00:00'],"['1999/05/18 00:00 [pubmed]', '1999/05/18 00:01 [medline]', '1999/05/18 00:00 [entrez]']",['10.1177/014107689809101113 [doi]'],ppublish,J R Soc Med. 1998 Nov;91(11):593. doi: 10.1177/014107689809101113.,PMC1296956,,,,,,,,,,,,,,,,,,
10325751,NLM,MEDLINE,19990520,20190501,1468-2044 (Electronic) 0003-9888 (Linking),80,1,1999 Jan,Umbilical cord blood transplantation.,3-6,,"['Will, A M']",['Will AM'],"[""Manchester Children's Hospital, Pendlbury, UK.""]",['eng'],,"['Journal Article', 'Review']",England,Arch Dis Child,Archives of disease in childhood,0372434,,IM,"['Bone Marrow Transplantation', 'Databases, Factual', 'Europe', '*Fetal Blood', 'Hematopoietic Stem Cell Transplantation/*methods', 'Histocompatibility Testing', 'Humans', 'Leukemia/*therapy', 'Tissue and Organ Procurement']",1999/05/18 00:00,1999/05/18 00:01,['1999/05/18 00:00'],"['1999/05/18 00:00 [pubmed]', '1999/05/18 00:01 [medline]', '1999/05/18 00:00 [entrez]']",['10.1136/adc.80.1.3 [doi]'],ppublish,Arch Dis Child. 1999 Jan;80(1):3-6. doi: 10.1136/adc.80.1.3.,PMC1717807,26,,,,,,,,,,,,,,,,,
10325750,NLM,MEDLINE,19990520,20190501,1468-2044 (Electronic) 0003-9888 (Linking),80,1,1999 Jan,Genes and cancer.,1-3,,"['Birch, J M']",['Birch JM'],"[""CRC Paediatric and Familial Cancer Research Group, Royal Manchester Children's Hospital, Stancliffe, UK.""]",['eng'],,"['Journal Article', 'Review']",England,Arch Dis Child,Archives of disease in childhood,0372434,['0 (HLA Antigens)'],IM,"['Adolescent', 'Brain Neoplasms/*genetics', 'Child', 'Congenital Abnormalities/genetics', 'Female', 'Genetic Predisposition to Disease/*genetics', 'Growth Disorders/complications/genetics', 'HLA Antigens', 'Humans', 'Lymphoma/*genetics', 'Male', 'Neoplasms, Germ Cell and Embryonal/complications/genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics/immunology', 'Retinoblastoma/genetics', 'Syndrome']",1999/05/18 00:00,1999/05/18 00:01,['1999/05/18 00:00'],"['1999/05/18 00:00 [pubmed]', '1999/05/18 00:01 [medline]', '1999/05/18 00:00 [entrez]']",['10.1136/adc.80.1.1 [doi]'],ppublish,Arch Dis Child. 1999 Jan;80(1):1-3. doi: 10.1136/adc.80.1.1.,PMC1717805,25,,,,,,,,,,,,,,,,,
10325729,NLM,MEDLINE,19990520,20190501,1468-2044 (Electronic) 0003-9888 (Linking),80,2,1999 Feb,Reduced bone density at completion of chemotherapy for a malignancy.,143-8,"OBJECTIVES: Osteoporosis and pathological fractures occur occasionally in children with malignancies. This study was performed to determine the degree of osteopenia in children with a malignancy at completion of chemotherapy. METHODS: Lumbar spine (L2-L4) bone mineral density (BMD; g/cm2) and femoral neck BMD were measured by dual energy x ray absorptiometry in 22 children with acute lymphoblastic leukaemia (ALL), and in 26 children with other malignancies. Apparent volumetric density was calculated to minimise the effect of bone size on BMD. Results were compared with those of 113 healthy controls and expressed as age and sex standardised mean Z scores. RESULTS: Patients with ALL had significantly reduced lumbar volumetric (-0.77) and femoral areal and volumetric BMDs (-1.02 and -0.98, respectively). In patients with other malignancies, femoral areal and apparent volumetric BMDs were significantly decreased (-0.70 and -0.78, respectively). CONCLUSIONS: The results demonstrate that children with a malignancy are at risk of developing osteopenia. A follow up of BMD after the completion of chemotherapy should facilitate the identification of patients who might be left with impaired development of peak bone mass, and who require specific interventions to prevent any further decrease in their skeletal mass and to preserve their BMD.","['Arikoski, P', 'Komulainen, J', 'Riikonen, P', 'Jurvelin, J S', 'Voutilainen, R', 'Kroger, H']","['Arikoski P', 'Komulainen J', 'Riikonen P', 'Jurvelin JS', 'Voutilainen R', 'Kroger H']","['Department of Pediatrics, Kuopio University Hospital, Finland. Arikoski@messi.uku.fi']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Arch Dis Child,Archives of disease in childhood,0372434,['0 (Antineoplastic Agents)'],IM,"['Absorptiometry, Photon', 'Adolescent', 'Antineoplastic Agents/*adverse effects/therapeutic use', 'Bone Density/drug effects', 'Bone Diseases, Metabolic/*chemically induced/complications', 'Case-Control Studies', 'Child', 'Child, Preschool', 'Female', 'Femur Neck/drug effects', 'Humans', 'Infant', 'Lumbar Vertebrae/drug effects', 'Male', 'Neoplasms/complications', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/complications/drug therapy', 'Statistics, Nonparametric']",1999/05/18 05:22,2000/04/15 09:00,['1999/05/18 05:22'],"['1999/05/18 05:22 [pubmed]', '2000/04/15 09:00 [medline]', '1999/05/18 05:22 [entrez]']",['10.1136/adc.80.2.143 [doi]'],ppublish,Arch Dis Child. 1999 Feb;80(2):143-8. doi: 10.1136/adc.80.2.143.,PMC1717834,,['Arch Dis Child. 1999 Oct;81(4):372. PMID: 10577364'],,,,,,,,,,,,,,,,
10325719,NLM,MEDLINE,19990520,20190501,1468-2044 (Electronic) 0003-9888 (Linking),80,3,1999 Mar,Height and weight pattern in very long-term survivors of childhood acute lymphoblastic leukaemia.,300-1,,"['Lopez-Andreu, J A', 'Ferris i Tortajada, J', 'Albiach, V', 'Carles, C', 'Moreno, F']","['Lopez-Andreu JA', 'Ferris i Tortajada J', 'Albiach V', 'Carles C', 'Moreno F']",,['eng'],,"['Comment', 'Letter']",England,Arch Dis Child,Archives of disease in childhood,0372434,,IM,"['Adolescent', '*Body Height', '*Body Weight', 'Child', 'Child, Preschool', 'Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*physiopathology', 'Survivors']",1999/05/18 00:00,1999/05/18 00:01,['1999/05/18 00:00'],"['1999/05/18 00:00 [pubmed]', '1999/05/18 00:01 [medline]', '1999/05/18 00:00 [entrez]']",['10.1136/adc.80.3.300a [doi]'],ppublish,Arch Dis Child. 1999 Mar;80(3):300-1. doi: 10.1136/adc.80.3.300a.,PMC1717854,,,['Arch Dis Child. 1998 Aug;79(2):161-4. PMID: 9797600'],,,,,,,,,,,,,,,
10325701,NLM,MEDLINE,19990520,20190501,1468-2044 (Electronic) 0003-9888 (Linking),80,3,1999 Mar,"Insulin-like growth factor I, IGF binding protein 3, and IGFBP protease activity: relation to anthropometric indices in solid tumours or leukaemia.",226-30,"OBJECTIVES: To measure the serum concentrations of insulin-like growth factor I (IGF-I) and IGF binding protein 3 (IGFBP-3), and the level of IGFBP-3 protease activity in 38 children presenting with malignancies, and to assess their relation with auxological parameters and nutritional status. METHODS: Height, weight, skinfold thickness, and mid-upper arm circumference (MUAC) were recorded using standard techniques. IGF-I and IGFBP-3 were measured using specific radioimmunoassays. Serum IGFBPs were also visualised on western ligand blot. IGFBP-3 protease activity was assessed by the extent of fragmentation of recombinant [125I]-IGFBP-3, compared with that induced by pregnancy serum. Anthropometric and radioimmunoassay data were expressed as standard deviation scores (SDS). RESULTS: The median (range) IGF-I SDS was significantly reduced in all patients (-1.1 (-5.1 to 1.2)) and lower in children who were malnourished (-2.5 (-3.9 to 0.1)). IGFBP-3 SDS was within the normal range for 31 of 38 patients but IGFBP-3 protease activity was raised in all patients. Neither IGFBP-3 concentration nor protease activity was affected by nutritional status. IGF-I correlated with MUAC (r = 0.41) and subscapular skinfold thickness SDS (r = 0.38), but not with weight, height, weight for height, or triceps skinfold thickness. CONCLUSIONS: IGF-I is low in children with malignancies, and even lower in those who are malnourished. IGFBP-3 concentrations were normal in most patients but interpretation is complicated by the presence of raised IGFBP-3 protease activity, which could lead to overestimating concentrations of intact peptide. IGF-I appears to relate to arm anthropometry as an index of nutritional status but not height, weight, or weight for height, as would be expected in normal children.","['Brennan, B M', 'Gill, M', 'Pennells, L', 'Eden, O B', 'Thomas, A G', 'Clayton, P E']","['Brennan BM', 'Gill M', 'Pennells L', 'Eden OB', 'Thomas AG', 'Clayton PE']","[""Department of Paediatric Oncology, Manchester Children's Hospitals, UK.""]",['eng'],,['Journal Article'],England,Arch Dis Child,Archives of disease in childhood,0372434,"['0 (Biomarkers)', '0 (Insulin-Like Growth Factor Binding Protein 3)', '67763-96-6 (Insulin-Like Growth Factor I)', 'EC 3.4.- (Endopeptidases)', 'EC 3.4.99.- (insulin-like growth factor binding protein-3 protease)']",IM,"['Adolescent', 'Biomarkers/blood', 'Body Height', 'Body Weight', 'Child', 'Child, Preschool', 'Endopeptidases/*blood', 'Humans', 'Infant', 'Insulin-Like Growth Factor Binding Protein 3/*blood', 'Insulin-Like Growth Factor I/*analysis', 'Leukemia/blood/complications', 'Neoplasms/*blood/complications', 'Nutrition Disorders/*blood/etiology', 'Skinfold Thickness', 'Statistics, Nonparametric']",1999/05/18 00:00,1999/05/18 00:01,['1999/05/18 00:00'],"['1999/05/18 00:00 [pubmed]', '1999/05/18 00:01 [medline]', '1999/05/18 00:00 [entrez]']",['10.1136/adc.80.3.226 [doi]'],ppublish,Arch Dis Child. 1999 Mar;80(3):226-30. doi: 10.1136/adc.80.3.226.,PMC1717861,,,,,,,,,,,,,,,,,,
