PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,CIN,PMC,RF,TT,CI,SI,CON,MID,OID,OAB,OABL,OTO,OT,GN,CRI,EIN,PS,FPS,LID
9886336,NLM,MEDLINE,19990219,20190705,0007-1048 (Print) 0007-1048 (Linking),103,4,1998 Dec,Elevated serum soluble Fas ligand in natural killer cell proliferative disorders.,1164-6,"We evaluated the serum level of soluble Fas ligand (sFasL) in patients with natural killer lymphocyte proliferative disorders (NK- LPD). The serum sFasL level was elevated in neoplastic groups of aggressive NK leukaemia, indolent NK leukaemia and NK lymphoma, all of which contained clonal EBV-DNA. In NK leukaemia the serum sFasL level was significantly higher than that found in others. However, it was not elevated in the patients with reactive NK-LPD and in one patient with NK leukaemia in remission. These findings indicate that the serum sFasL level is a useful indicator in evaluating disease activity.","['Kato, K', 'Ohshima, K', 'Ishihara, S', 'Anzai, K', 'Suzumiya, J', 'Kikuchi, M']","['Kato K', 'Ohshima K', 'Ishihara S', 'Anzai K', 'Suzumiya J', 'Kikuchi M']","['First Department of Pathology, School of Medicine, Fukuoka University, Japan.']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,"['0 (FASLG protein, human)', '0 (Fas Ligand Protein)', '0 (Membrane Glycoproteins)']",IM,"['Adolescent', 'Adult', 'Animals', 'Culicidae', 'Enzyme-Linked Immunosorbent Assay', 'Fas Ligand Protein', 'Female', 'Humans', 'Hypersensitivity/immunology', 'Insect Bites and Stings/immunology', '*Killer Cells, Natural', 'Lymphoproliferative Disorders/*blood', 'Male', 'Membrane Glycoproteins/*blood', 'Middle Aged']",1999/01/14 00:00,1999/01/14 00:01,['1999/01/14 00:00'],"['1999/01/14 00:00 [pubmed]', '1999/01/14 00:01 [medline]', '1999/01/14 00:00 [entrez]']",['10.1046/j.1365-2141.1998.01095.x [doi]'],ppublish,Br J Haematol. 1998 Dec;103(4):1164-6. doi: 10.1046/j.1365-2141.1998.01095.x.,,,,,,,,,,,,,,,,,,,,
9886331,NLM,MEDLINE,19990219,20190705,0007-1048 (Print) 0007-1048 (Linking),103,4,1998 Dec,Elevated serum levels of soluble vascular cell adhesion molecule-1 (sVCAM-1) closely reflect tumour burden in chronic B-lymphocytic leukaemia.,1129-37,"The present study is the first to report elevated serum levels of soluble (s)VCAM-1 in B-cell chronic lymphocytic leukaemia (B-CLL). A large cohort of 106 untreated patients was studied. sVCAM-1 was compared to known prognostic serum markers (soluble (s)ICAM-1; lactate dehydrogenase, LDH; sCD23; thymidine kinase, TK; beta2microglobulin, beta2m). The serum levels of sVCAM-1 reflected tumour burden as expressed by Binet/Rai stages more closely than any other marker. sVCAM-1 also reflected the kinetics of the disease as revealed by lymphocyte doubling time. sVCAM-1 was the only one of the studied markers which showed elevated levels in smouldering disease compared to controls. sVCAM-1, sICAM-1 and sCD23 (but not LDH, TK, beta2m) separated smouldering from non-smouldering B-CLL. Only sICAM-1, sCD23 and TK added independent prognostic information for survival to that of stage and lymphocyte doubling time. The expression of both adhesion molecules was examined in lymph node and splenic specimens. VCAM-1 and ICAM-1 were overexpressed by vascular endothelium and stroma, but the intensity of expression correlated poorly with serum levels of the soluble molecules. In conclusion, serum levels of sVCAM-1 correlated with tumour burden and other prognostic markers in B-CLL. VCAM-1 was overexpressed in tumour tissue as was ICAM-1. sVCAM-1 could prove a valuable marker in younger early-stage patients eligible for therapeutic trials.","['Christiansen, I', 'Sundstrom, C', 'Totterman, T H']","['Christiansen I', 'Sundstrom C', 'Totterman TH']","['Department of Clinical Immunology and Transfusion Medicine, University Hospital, Uppsala, Sweden.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (CD3 Complex)', '0 (Vascular Cell Adhesion Molecule-1)', '126547-89-5 (Intercellular Adhesion Molecule-1)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Anemia, Refractory, with Excess of Blasts/blood', 'CD3 Complex/metabolism', 'Cell Division', 'Female', 'Humans', 'Intercellular Adhesion Molecule-1/blood', 'Leukemia, Lymphocytic, Chronic, B-Cell/*blood/pathology', 'Lymphocyte Count', 'Male', 'Middle Aged', 'Prognosis', 'T-Lymphocytes/metabolism', 'Vascular Cell Adhesion Molecule-1/*blood']",1999/01/14 00:00,1999/01/14 00:01,['1999/01/14 00:00'],"['1999/01/14 00:00 [pubmed]', '1999/01/14 00:01 [medline]', '1999/01/14 00:00 [entrez]']",['10.1046/j.1365-2141.1998.01110.x [doi]'],ppublish,Br J Haematol. 1998 Dec;103(4):1129-37. doi: 10.1046/j.1365-2141.1998.01110.x.,,,,,,,,,,,,,,,,,,,,
9886330,NLM,MEDLINE,19990219,20190705,0007-1048 (Print) 0007-1048 (Linking),103,4,1998 Dec,Clonal disease of natural killer large granular lymphocytes in Taiwan.,1124-8,"Lymphoproliferative diseases of large granular lymphocytes (LDGL) may arise from either CD3+ T cells or CD3- natural killer (NK) cells. LDGL with clonal proliferation of large granular lymphocytes (LGL) is defined as LGL leukaemia. The number of patients with NK-LGL leukaemia reported is limited and the pathogenesis of the disease is not yet clear. From 1991 to 1998 six patients with cytogenetically proved clonal disease of NK-LGL were identified in our institute. All were seropositive for Epstein-Barr virus (EBV). EBV RNA or DNA could be detected in LGL from four patients by EBV in situ hybridization or Southern blot analysis. Most patients ran an aggressive clinical course and five died of the disease. Nonrandom clonal chromosomal abnormalities, including duplication of 1q, rearrangement at 3q and loss of chromosomes Y, 13 or 10, were noted in the six patients from this study and in eight from the literature. The implications of these recurrent cytogenetic aberrations in the development and progression of the disease deserve further studies.","['Chou, W C', 'Chiang, I P', 'Tang, J L', 'Su, I J', 'Huang, S Y', 'Chen, Y C', 'Liu, M C', 'Lee, F Y', 'Wang, C H', 'Shen, M C', 'Chuang, S M', 'Tien, H F']","['Chou WC', 'Chiang IP', 'Tang JL', 'Su IJ', 'Huang SY', 'Chen YC', 'Liu MC', 'Lee FY', 'Wang CH', 'Shen MC', 'Chuang SM', 'Tien HF']","['Department of Internal Medicine, National Taiwan University Hospital, Taipei.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (DNA, Viral)', '0 (RNA, Viral)']",IM,"['Adolescent', 'Adult', 'Child', 'Chromosome Aberrations/*genetics', 'DNA, Viral/analysis', 'Female', 'Herpesvirus 4, Human/isolation & purification', 'Humans', 'Karyotyping', 'Leukemia, Lymphoid/*genetics', 'Male', 'RNA, Viral/analysis', 'Taiwan']",1999/01/14 00:00,1999/01/14 00:01,['1999/01/14 00:00'],"['1999/01/14 00:00 [pubmed]', '1999/01/14 00:01 [medline]', '1999/01/14 00:00 [entrez]']",['10.1046/j.1365-2141.1998.01109.x [doi]'],ppublish,Br J Haematol. 1998 Dec;103(4):1124-8. doi: 10.1046/j.1365-2141.1998.01109.x.,,,,,,,,,,,,,,,,,,,,
9886328,NLM,MEDLINE,19990219,20190705,0007-1048 (Print) 0007-1048 (Linking),103,4,1998 Dec,BCR-ABL oncoprotein is expressed by platelets from CML patients and associated with a special pattern of CrkL phosphorylation.,1109-15,"Constitutive tyrosine phosphorylation of CrkL was recently demonstrated in platelets from chronic myelogenous leukaemia (CML) patients but BCR-ABL tyrosine kinase could not be detected in the platelet lysates. We studied platelets from 14 CML patients with different types of BCR-ABL mRNA and with maximal platelet counts ranging from 149 to 3069 x 10(9)/l. P210BCR-ABL protein was detected by Western blotting in platelet lysates of 12/13 CML patients with active disease but not in the lysate of platelets from a Ph-positive acute lymphoblastic leukaemia (ALL) patient in remission or eight BCR-ABL-negative controls including one essential thrombocythaemia (ET) patient. Immunoblotting of p210BCR-ABL-positive platelets lysates with anti-CrkL antibody revealed a CrkL triplet consisting of one unphosphorylated and two phosphorylated forms of the protein. This CrkL phosphorylation pattern was not observed in normal platelets or CML platelets treated with ABL tyrosine kinase inhibitor CGP57148B. The presence of BCR-ABL provides an explanation for the constitutive tyrosine phosphorylation of CrkL in CML platelets. As no correlation was observed between platelet counts and platelet BCR-ABL protein expression, thrombocytosis or thrombocythaemia in CML cannot be explained by constitutive BCR-ABL-mediated CrkL tyrosine phosphorylation.","['ten Bosch, G J', 'Kessler, J H', 'Blom, J', 'Joosten, A M', 'Gambacorti-Passerini, C', 'Melief, C J', 'Leeksma, O C']","['ten Bosch GJ', 'Kessler JH', 'Blom J', 'Joosten AM', 'Gambacorti-Passerini C', 'Melief CJ', 'Leeksma OC']","['Department of Immunohaematology and Bloodbank, Leiden University Medical Centre, The Netherlands.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Adaptor Proteins, Signal Transducing)', '0 (CRKL protein)', '0 (Nuclear Proteins)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['*Adaptor Proteins, Signal Transducing', 'Adult', 'Aged', 'Blood Platelets/*metabolism', 'Blotting, Western', 'Female', 'Fusion Proteins, bcr-abl/*metabolism', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*metabolism', 'Male', 'Middle Aged', 'Nuclear Proteins/*metabolism', 'Phosphorylation', 'Protein-Tyrosine Kinases/metabolism', 'Sensitivity and Specificity']",1999/01/14 00:00,1999/01/14 00:01,['1999/01/14 00:00'],"['1999/01/14 00:00 [pubmed]', '1999/01/14 00:01 [medline]', '1999/01/14 00:00 [entrez]']",['10.1046/j.1365-2141.1998.01115.x [doi]'],ppublish,Br J Haematol. 1998 Dec;103(4):1109-15. doi: 10.1046/j.1365-2141.1998.01115.x.,,,,,,,,,,,,,,,,,,,,
9886327,NLM,MEDLINE,19990219,20190705,0007-1048 (Print) 0007-1048 (Linking),103,4,1998 Dec,P230 BCR/ABL protein may be associated with an acute leukaemia phenotype.,1104-8,"The BCR/ABL rearrangement, the molecular hallmark of chronic myelogenous leukaemia (CML), is rare in acute myeloid leukaemia (AML), being detected in approximately 1% of cases. In the vast majority of CML cases the breakpoint on chromosome 22 falls in the so-called major breakpoint cluster region of the BCR gene. Only a few cases of CML with breakpoint in the minor or in the micro bcr region have so far been reported. The micro breakpoint position has been associated mainly with a mild form of CML, defined as Philadelphia chromosome-positive chronic neutrophilic leukaemia (Ph-positive CNL). Using reverse transcription-polymerase chain reaction (RT-PCR) we report a patient with an acute myeloid leukaemia phenotype at diagnosis who showed a BCR/ABL rearrangement with a breakpoint located in the micro bcr region (e19a2 junction). Cytogenetic analysis showed a progression of the malignant clone, finally leading to cells with two Ph chromosomes, trisomy 8, isochromosome 17q and deletion of the long arms of chromosome 7. The findings of chromosomal changes point to a possibility of blast crisis of CML with a clinically silent chronic phase. Immunoprecipitation and auto-phosphorylation assay revealed the expression, by the patient's blast cells, of an abnormal P230 BCR/ABL protein, which showed for the first time that this protein was constitutively activated in primary cells from patients. This finding may contribute to the understanding of the role of the BCR/ABL rearrangements in determining different leukaemia phenotypes ranging from acute lymphoid and myeloid leukaemias to mild chronic neutrophilic leukaemias.","['Haskovec, C', 'Ponzetto, C', 'Polak, J', 'Maritano, D', 'Zemanova, Z', 'Serra, A', 'Michalova, K', 'Klamova, H', 'Cermak, J', 'Saglio, G']","['Haskovec C', 'Ponzetto C', 'Polak J', 'Maritano D', 'Zemanova Z', 'Serra A', 'Michalova K', 'Klamova H', 'Cermak J', 'Saglio G']","['Institute of Haematology and Blood Transfusion, Prague, Czech Republic.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Acute Disease', 'Fusion Proteins, bcr-abl/*genetics', 'Gene Rearrangement/*genetics', 'Humans', 'In Situ Hybridization, Fluorescence', 'Leukemia, Myeloid/*genetics', 'Male', 'Middle Aged', 'Reverse Transcriptase Polymerase Chain Reaction/methods']",1999/01/14 00:00,1999/01/14 00:01,['1999/01/14 00:00'],"['1999/01/14 00:00 [pubmed]', '1999/01/14 00:01 [medline]', '1999/01/14 00:00 [entrez]']",['10.1046/j.1365-2141.1998.01098.x [doi]'],ppublish,Br J Haematol. 1998 Dec;103(4):1104-8. doi: 10.1046/j.1365-2141.1998.01098.x.,,,,,,,,,,,,,,,,,,,,
9886326,NLM,MEDLINE,19990219,20190705,0007-1048 (Print) 0007-1048 (Linking),103,4,1998 Dec,Structural and functional analysis of the cytidine deaminase gene in patients with acute myeloid leukaemia.,1096-103,"Gene transfer of the cytidine deaminase (CDD) cDNA has recently been shown to induce cellular resistance to cytarabine (AraC) in vitro. To investigate the role for CDD in acute myeloid leukaemia (AML) we analysed the CDD activity and CDD gene structure in blast material from well-defined patients with untreated and AraC refractory (RF) AML. Median CDD activity in previously untreated AML was significantly lower than in RF-AML blasts (P=0.015) and was significantly lower in patients with complete remission than with blast persistence following induction chemotherapy (P=0.043). Structural investigation of the CDD gene by Southern analyses and RT-PCR showed no detectable aberrations. Sequence analysis of the CDD cDNA from nine RF-AML patients showed inconsistent aberrations in three patients. Semiquantitative assessment of CDD mRNA expression revealed a significant correlation with CDD activity. In conclusion, concordant with another recent study our data suggest a correlation of pretherapeutic CDD activity with induction treatment response. Besides the previously described prognostic impact of mdrl expression, this result could be useful for the development of risk-adapted AML treatment strategies and warrants further studies of CDD activity in well-defined cohorts of AML patients and of the mechanisms involved in the regulation of CDD activity.","['Schroder, J K', 'Kirch, C', 'Seeber, S', 'Schutte, J']","['Schroder JK', 'Kirch C', 'Seeber S', 'Schutte J']","['Department of Internal Medicine, University of Essen Medical School, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Antibiotics, Antineoplastic)', '0 (Antimetabolites, Antineoplastic)', '04079A1RDZ (Cytarabine)', 'EC 3.5.4.5 (Cytidine Deaminase)', 'ZRP63D75JW (Idarubicin)']",IM,"['Acute Disease', 'Adult', 'Aged', 'Antibiotics, Antineoplastic/therapeutic use', 'Antimetabolites, Antineoplastic/therapeutic use', 'Blotting, Southern', 'Cytarabine/therapeutic use', 'Cytidine Deaminase/*genetics', 'Drug Resistance, Neoplasm', 'Humans', 'Idarubicin/therapeutic use', 'Leukemia, Myeloid/enzymology/*genetics', 'Middle Aged', 'Mutation/genetics', 'Polymorphism, Genetic', 'Reverse Transcriptase Polymerase Chain Reaction/methods']",1999/01/14 00:00,1999/01/14 00:01,['1999/01/14 00:00'],"['1999/01/14 00:00 [pubmed]', '1999/01/14 00:01 [medline]', '1999/01/14 00:00 [entrez]']",['10.1046/j.1365-2141.1998.01084.x [doi]'],ppublish,Br J Haematol. 1998 Dec;103(4):1096-103. doi: 10.1046/j.1365-2141.1998.01084.x.,,,,,,,,,,,,,,,,,,,,
9886325,NLM,MEDLINE,19990219,20190705,0007-1048 (Print) 0007-1048 (Linking),103,4,1998 Dec,Acute and chronic arsenic poisoning associated with treatment of acute promyelocytic leukaemia.,1092-5,"Seven relapsed and/or refractory acute promyelocytic leukaemia patients were treated by arsenic trioxide (As2O3). Four patients (4/7, 57%) achieved complete remission after one to three cycles of treatment and the most common acute side-effect was fluid retention (in six patients, 86%), including weight gains and pleuro-pericardial effusions. Evident polyneuropathy compatible with chronic arsenic toxicity was noted in two of the three patients who received As2O3 maintenance therapy and one of them had marked distal muscular atrophy. We suggest that As2O3 may be a useful salvage therapy for relapsed and refractory APL patients, but the acute or chronic arsenic toxicity should be carefully monitored.","['Huang, S Y', 'Chang, C S', 'Tang, J L', 'Tien, H F', 'Kuo, T L', 'Huang, S F', 'Yao, Y T', 'Chou, W C', 'Chung, C Y', 'Wang, C H', 'Shen, M C', 'Chen, Y C']","['Huang SY', 'Chang CS', 'Tang JL', 'Tien HF', 'Kuo TL', 'Huang SF', 'Yao YT', 'Chou WC', 'Chung CY', 'Wang CH', 'Shen MC', 'Chen YC']","['Department of Internal Medicine, National Taiwan University Hospital, Taipei.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Antineoplastic Agents)', '0 (Arsenicals)', '0 (Oxides)', 'S7V92P67HO (Arsenic Trioxide)']",IM,"['Acute Disease', 'Antineoplastic Agents/*adverse effects', 'Arsenic Trioxide', 'Arsenicals/*adverse effects', 'Chronic Disease', 'Humans', 'Leukemia, Promyelocytic, Acute/*drug therapy', 'Oxides/*adverse effects', 'Recurrence']",1999/01/14 00:00,1999/01/14 00:01,['1999/01/14 00:00'],"['1999/01/14 00:00 [pubmed]', '1999/01/14 00:01 [medline]', '1999/01/14 00:00 [entrez]']",['10.1046/j.1365-2141.1998.01079.x [doi]'],ppublish,Br J Haematol. 1998 Dec;103(4):1092-5. doi: 10.1046/j.1365-2141.1998.01079.x.,,,,,,,,,,,,,,,,,,,,
9886324,NLM,MEDLINE,19990219,20190705,0007-1048 (Print) 0007-1048 (Linking),103,4,1998 Dec,Overexpression of lung-resistance protein and increased P-glycoprotein function in acute myeloid leukaemia cells predict a poor response to chemotherapy and reduced patient survival.,1083-91,"We investigated the role of the drug resistance-related proteins LRP, MRP and Pgp and the apoptotic suppressor, bcl-2, in relation to other clinical characteristics, with respect to response and survival in 91 patients with newly diagnosed AML, treated with standard chemotherapy. Multivariate analysis showed that poor response to chemotherapy was associated with increasing age (P=0.0004), LRP expression (P=0.0001) and Pgp function (P=0.015). The significant predictors of both leukaemia-free survival (LFS) and overall survival (OS) were LRP (LFS, P=0.01; OS, P=0.0001), Pgp function (LFS, P=0.0001; OS, P=0.0003) and cytogenetic abnormalities (LFS, P=0.0001; OS. P=0.0005). Patients with the lowest expression of LRP and Pgp function and favourable karyotype (group I) had an LFS of 30.2 months compared to 8 5 months in the group with the highest expression of LRP and Pgp and poor prognosis karyotype (group III, P=0.002). OS decreased from 75.4 months in group I to 7.9 months in group III patients (P <0.0001). Neither MRP nor bcl-2 were significantly associated with chemotherapy response and survival. Correlations were found between increasing expression of LRP and older age (P=0.05) and an unfavourable karyotype (P=0.005), but these variables were independent of each other in analysis of treatment response and patient survival. Our findings suggest that both LRP and Pgp are clinically relevant drug-resistance proteins and it may be necessary to modulate both LRP and Pgp functions in order to reverse the multidrug resistance phenotype in AML.","['Borg, A G', 'Burgess, R', 'Green, L M', 'Scheper, R J', 'Yin, J A']","['Borg AG', 'Burgess R', 'Green LM', 'Scheper RJ', 'Yin JA']","['University Department of Clinical Haematology, Manchester Royal Infirmary, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (ATP Binding Cassette Transporter, Subfamily B, Member 1)', '0 (Antigens, CD34)', '0 (Neoplasm Proteins)', '0 (Vault Ribonucleoprotein Particles)', '0 (major vault protein)']",IM,"['ATP Binding Cassette Transporter, Subfamily B, Member 1/*metabolism', 'Acute Disease', 'Adolescent', 'Adult', 'Antigens, CD34/metabolism', 'Disease-Free Survival', 'Drug Resistance, Multiple', 'Drug Resistance, Neoplasm', 'Female', 'Humans', 'Leukemia, Myeloid/*drug therapy/metabolism', 'Male', 'Middle Aged', 'Neoplasm Proteins/*metabolism', 'Prognosis', 'Retrospective Studies', 'Vault Ribonucleoprotein Particles/*metabolism']",1999/01/14 00:00,1999/01/14 00:01,['1999/01/14 00:00'],"['1999/01/14 00:00 [pubmed]', '1999/01/14 00:01 [medline]', '1999/01/14 00:00 [entrez]']",['10.1046/j.1365-2141.1998.01111.x [doi]'],ppublish,Br J Haematol. 1998 Dec;103(4):1083-91. doi: 10.1046/j.1365-2141.1998.01111.x.,,,,,,,,,,,,,,,,,,,,
9886323,NLM,MEDLINE,19990219,20190705,0007-1048 (Print) 0007-1048 (Linking),103,4,1998 Dec,'Low-risk' myelodysplastic syndrome is associated with excessive apoptosis and an increased ratio of pro- versus anti-apoptotic bcl-2-related proteins.,1075-82,"We performed flow cytometric analysis of CD34+ cell apoptosis in 59 patients with myelodysplastic syndrome (MDS) or acute myeloid leukaemia (AML) secondary to MDS (MDS-AML) using annexin V-FITC, which binds to exposed phosphatidylserine on apoptotic cells. Apoptosis was significantly increased in FAB subtypes RA, RARS and RAEB (<10% blasts) (56.5% (15.1-86.5%)) compared to normal controls (18.5% (3.4-33.4%), P<0.0001) and RAEB-t/MDS-AML (16% (2.1-43.2%), P<0.0001). There was no correlation between % apoptosis, Full blood count or cytogenetics in any disease category. Two-colour cytometric analysis of permeabilized CD34+ cells stained with antibodies to Bcl-2, Bcl-X (anti-apoptotic), Bax and Bad (pro-apoptotic), demonstrated significantly higher ratios of pro- v anti-apoptotic proteins in early MDS (2.47 (1.19-9.42) compared to advanced disease (1.14 (0.06-3.32), P=0.0001). Moreover, using repeated measures of variants (ANOVA), we found that variations between individual Bcl-2-related proteins differed significantly according to disease subtype (P<0.0005). Our results confirm that CD34+ cell apoptosis was significantly increased in MDS subtypes RA and RARS and fell with disease progression. Early MDS was also associated with a significantly higher CD34+ cell pro- v anti-apoptotic Bcl-2-family-protein ratio than advanced disease. Furthermore, patterns of expression of individual Bcl-2 related proteins differed significantly between different disease categories. However, no correlation between pro- v anti-apoptotic Bcl-2-family-protein ratios and the degree of apoptosis was observed.","['Parker, J E', 'Fishlock, K L', 'Mijovic, A', 'Czepulkowski, B', 'Pagliuca, A', 'Mufti, G J']","['Parker JE', 'Fishlock KL', 'Mijovic A', 'Czepulkowski B', 'Pagliuca A', 'Mufti GJ']","[""King's College Hospital and School of Medicine and Dentistry, London.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Annexin A5)', '0 (Antigens, CD34)', '0 (Proto-Oncogene Proteins c-bcl-2)']",IM,"['Acute Disease', 'Adult', 'Aged', 'Aged, 80 and over', 'Annexin A5/metabolism', 'Antigens, CD34/metabolism', 'Apoptosis/*physiology', 'Female', 'Flow Cytometry', 'Humans', 'Leukemia, Myeloid/metabolism/pathology', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/metabolism/*pathology', 'Proto-Oncogene Proteins c-bcl-2/*metabolism']",1999/01/14 00:00,1999/01/14 00:01,['1999/01/14 00:00'],"['1999/01/14 00:00 [pubmed]', '1999/01/14 00:01 [medline]', '1999/01/14 00:00 [entrez]']",['10.1046/j.1365-2141.1998.01114.x [doi]'],ppublish,Br J Haematol. 1998 Dec;103(4):1075-82. doi: 10.1046/j.1365-2141.1998.01114.x.,,,,,,,,,,,,,,,,,,,,
9886310,NLM,MEDLINE,19990219,20190705,0007-1048 (Print) 0007-1048 (Linking),103,4,1998 Dec,Dyskeratosis Congenita (DC) Registry: identification of new features of DC.,990-6,"Dyskeratosis congenita (DC) is an inherited disorder characterized by skin pigmentation, nail dystrophy and mucosal leucoplakia. In 1995 a Dyskeratosis Congenita Registry was established at the Hammersmith Hospital. In the 46 families recruited, 76/83 patients were male, suggesting that the major form of DC is X-linked. As well as a variety of noncutaneous abnormalities, the majority (93%) of patients had bone marrow (BM) failure and this was the principal cause (71%) of early mortality. In addition to BM hypoplasia, some patients also developed myelodysplasia and acute myelod leukaemia. Pulmonary abnormalities were present in 19% of patients. In affected females the phenotype was less severe. Some female carriers of X-linked DC had clinical features. Carriers of X-linked DC showed skewed X-chromosome inactivation patterns (XCIPs), suggesting that cells expressing the normal DC allele have a growth/survival advantage over cells that express the mutant allele. Linkage analysis in multiplex families confirmed that the DKC1 gene, responsible for the X-linked form of DC, is located within Xq28 and facilitated its positional cloning. The high incidence of BM failure in association with a wide range of somatic abnormalities together with the ubiquitous expression of DKC1 suggest that, as well as having a critical role in normal haemopoiesis, this gene has a key role in normal cell biology.","['Knight, S', 'Vulliamy, T', 'Copplestone, A', 'Gluckman, E', 'Mason, P', 'Dokal, I']","['Knight S', 'Vulliamy T', 'Copplestone A', 'Gluckman E', 'Mason P', 'Dokal I']","['Department of Haematology, Imperial College School of Medicine, London, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,,IM,"['Adolescent', 'Adult', 'Cause of Death', 'Child', 'Child, Preschool', 'Dyskeratosis Congenita/*genetics', 'Female', 'Genetic Linkage', 'Hematologic Diseases/genetics', 'Heterozygote', 'Humans', 'Infant', 'Lung Diseases/genetics', 'Male', 'Pedigree', 'Phenotype', 'Registries', 'Sex Factors', 'X Chromosome/genetics']",1999/01/14 00:00,1999/01/14 00:01,['1999/01/14 00:00'],"['1999/01/14 00:00 [pubmed]', '1999/01/14 00:01 [medline]', '1999/01/14 00:00 [entrez]']",['10.1046/j.1365-2141.1998.01103.x [doi]'],ppublish,Br J Haematol. 1998 Dec;103(4):990-6. doi: 10.1046/j.1365-2141.1998.01103.x.,['Wellcome Trust/United Kingdom'],['Br J Haematol. 1999 May;105(2):571. PMID: 10233444'],,,,,,,,,,,,,,,,,,
