PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,EIN,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,TT,RF,GR,CI,PMC,CIN,OID,OTO,OT,GN,SI,CON,OAB,OABL
9666808,NLM,MEDLINE,19980730,20190816,0165-4608 (Print) 0165-4608 (Linking),104,2,1998 Jul 15,The proportion of clonal divisions varies in different hematologic malignancies. The United Kingdom Cancer Cytogenetics Group (UKCCG) [corrected].,139-45,"The detection of clones by conventional cytogenetic studies in diagnostic hematoncology is heavily subject to the effects of many biological and laboratory factors, one of which is the number of divisions analyzed. Data from 20 laboratories were combined to get an impression of the true frequency of clonal divisions for comparison with the theoretical models that have been previously used to set laboratory policies. This study showed that low-percentage clones were more common in the myelodysplastic syndromes and that high-percentage clones were more common in acute myeloid leukemia than in acute lymphoblastic leukemia (ALL), although the clone detection rate in ALLs is higher. The inference is that the putative diagnosis should be taken into account when deciding how many divisions to analyze before concluding that no detectable clone is present.","['Swansbury, G J']",['Swansbury GJ'],"['Academic Department of Haematology and Cytogenetics, Royal Marsden NHS Trust, Sutton, Surrey, United Kingdom.']",['eng'],['Journal Article'],United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,['Cancer Genet Cytogenet 1998 Nov;107(1):87'],"['Cell Division', '*Chromosome Aberrations', '*Clone Cells', 'Hematologic Neoplasms/*genetics/pathology', 'Humans', 'Models, Genetic']",1998/07/17 00:00,1998/07/17 00:01,['1998/07/17 00:00'],"['1998/07/17 00:00 [pubmed]', '1998/07/17 00:01 [medline]', '1998/07/17 00:00 [entrez]']","['S0165460897004779 [pii]', '10.1016/s0165-4608(97)00477-9 [doi]']",ppublish,Cancer Genet Cytogenet. 1998 Jul 15;104(2):139-45. doi: 10.1016/s0165-4608(97)00477-9.,,,,,,,,,,,,,,,
9666800,NLM,MEDLINE,19980730,20190816,0165-4608 (Print) 0165-4608 (Linking),104,2,1998 Jul 15,Acute myeloid leukemia after azathioprine treatment for autoimmune diseases: association with -7/7q-.,94-7,"Azathioprine is used as an immunosuppressant in a variety of clinical situations, and its prolonged use is associated with an increased risk of solid malignancies. Three patients (one with rheumatoid arthritis and two with systemic lupus erythematosus) treated with azathioprine for 3 to 7 years developed acute myeloid leukemia (AML). The total cumulative doses of azathioprine varied from 89-260 g. An antecedent prolonged pancytopenic phase suggestive of myelodysplasia developed in all the cases. Morphological analysis showed AML with trilineage myelodysplastic features in residual marrow cells in all the cases. Karyotypic analysis showed deletion of the long arm of chromosome 7 (7q-) in one case and monosomy 7 (-7) in two cases. These were chromosomal aberrations typically associated with mutagen- or therapy-related AML. Fluorescence in situ hybridization with a chromosome-7-specific DNA probe was used to investigate the distribution of the monosomy 7 clone in two cases. Monosomy 7 was demonstrated in both the leukemic blasts and the residual myeloid cells of various stages of differentiation. This finding indicated that the leukemia had evolved from a mutated clone that was capable of terminal differentiation, which was consistent with the biological characteristics of the myelodysplastic syndromes. These cases represented therapy-related AML, as evidenced by clincopathological features, karyotypic aberrations of 7q-/-7, and demonstration of leukemic evolution from an underlying clonal myeloid disorder. The data support the hypothesis that azathioprine might be directly mutagenic.","['Kwong, Y L', 'Au, W Y', 'Liang, R H']","['Kwong YL', 'Au WY', 'Liang RH']","[""University Department of Medicine, Queen Mary Hospital, Hong Kong, People's Republic of China.""]",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,,"['Acute Disease', 'Adult', 'Aged', 'Arthritis, Rheumatoid/complications/*drug therapy', 'Azathioprine/*adverse effects', '*Chromosomes, Human, Pair 7', 'Female', 'Humans', 'Immunosuppressive Agents/*adverse effects', 'In Situ Hybridization, Fluorescence', 'Leukemia, Myeloid/chemically induced/complications/*genetics', 'Lupus Erythematosus, Systemic/complications/*drug therapy', 'Mutagens']",1998/07/17 00:00,1998/07/17 00:01,['1998/07/17 00:00'],"['1998/07/17 00:00 [pubmed]', '1998/07/17 00:01 [medline]', '1998/07/17 00:00 [entrez]']","['S0165-4608(97)00456-1 [pii]', '10.1016/s0165-4608(97)00456-1 [doi]']",ppublish,Cancer Genet Cytogenet. 1998 Jul 15;104(2):94-7. doi: 10.1016/s0165-4608(97)00456-1.,"['0 (Immunosuppressive Agents)', '0 (Mutagens)', 'MRK240IY2L (Azathioprine)']",,,,,,,,,,,,,,
9666799,NLM,MEDLINE,19980730,20190816,0165-4608 (Print) 0165-4608 (Linking),104,2,1998 Jul 15,Molecular genetic characterization of the Philadelphia chromosome detected in reactor personnel highly exposed to radiation from the Chernobyl accident.,86-93,"Clonal del(22q) chromosome aberrations were coincidentally observed in highly exposed reactor personnel of the Chernobyl power plant accident in the course of retrospective biological dosimetry. These aberrant chromosomes were detected in PHA-stimulated cultures from peripheral blood after FPG staining and revealed a morphology similar to a Philadelphia chromosome. A rearrangement of the BCR gene on 22q11 could be confirmed in unstimulated peripheral blood by RFLP analysis from three of four del(22q) carrying cases. FISH analysis of the del(22q) carrying cases with BCR- and ABL-specific DNA probes additionally exhibited a BCR-ABL fusion in 5.2 to 9% of cells in unstimulated blood. Breakpoints within the BCR gene could be located either in the M-bcr or the m-bcr region and thus, a specific breakpoint region could not be detected in these four patients. Since typical clinical leukemic symptoms associated with the translocation (9;22)(q24;q11) could not be observed in these highly irradiated subjects (1.1 to 5.8 Gy), the role of this particular aberration in the development of a radiation-induced leukemia remains obscure.","['Zitzelsberger, H', 'Hessel, H', 'Salassidis, K', 'Mittermuller, H', 'Bauchinger, M']","['Zitzelsberger H', 'Hessel H', 'Salassidis K', 'Mittermuller H', 'Bauchinger M']","['Institute of Radiobiology, GSF-National Research Center for Environment and Health, Neuherberg, Germany.']",['eng'],['Journal Article'],United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,,"['*Chromosome Deletion', '*Chromosomes, Human, Pair 22', 'Fusion Proteins, bcr-abl/genetics', 'Humans', 'In Situ Hybridization, Fluorescence', 'Interphase', 'Metaphase', '*Philadelphia Chromosome', '*Power Plants', '*Radioactive Hazard Release', 'Ukraine']",1998/07/17 00:00,1998/07/17 00:01,['1998/07/17 00:00'],"['1998/07/17 00:00 [pubmed]', '1998/07/17 00:01 [medline]', '1998/07/17 00:00 [entrez]']","['S0165-4608(97)00454-8 [pii]', '10.1016/s0165-4608(97)00454-8 [doi]']",ppublish,Cancer Genet Cytogenet. 1998 Jul 15;104(2):86-93. doi: 10.1016/s0165-4608(97)00454-8.,"['EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",,,,,,,,,,,,,,
9666798,NLM,MEDLINE,19980730,20190816,0165-4608 (Print) 0165-4608 (Linking),104,2,1998 Jul 15,Translocation (3;5)(p26;q13) in a patient with chronic T-cell lymphoproliferative disorder.,82-5,"A 67-year-old patient with large granular lymphocyte (LGL) leukemia is described. At fluorescence-activated cell sorting (FACS) analysis of the peripheral blood, the lymphocytes were positive for CD3, CD4, CD5, CD29, CD45RA, CD57, and TCR alpha/beta and negative for CD7, CD8, CD16, CD56, CD19, CD22, and TCR gamma/delta. Bone marrow histology and immunohistochemistry did not reveal any lymphocyte infiltration. Cytogenetic examination of peripheral blood cultures showed a clone with the karyotype 46,XY,t(3;5)(p26;q13). Molecular analysis revealed rearrangement of the gamma-T-cell-receptor chain. The region 3p25-3p26 which harbors the von Hippel-Lindau tumor suppressor gene and the RAF1 oncogene has been rearranged in a few cases of T-cell leukemia. The translocation in this case has not yet been described and may reflect an alternative mechanism in the pathogenesis of these disorders.","['Schmidt, H H', 'Pirc-Danoewinata, H', 'Panzer-Grumayer, E R', 'Sill, H', 'Sedlmayr, P', 'Neumeister, P', 'Linkesch, W', 'Haas, O A']","['Schmidt HH', 'Pirc-Danoewinata H', 'Panzer-Grumayer ER', 'Sill H', 'Sedlmayr P', 'Neumeister P', 'Linkesch W', 'Haas OA']","['Department of Internal Medicine, University of Graz, Austria.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,,"['Aged', 'Antigens, CD/immunology', '*Chromosomes, Human, Pair 3', '*Chromosomes, Human, Pair 5', 'Humans', 'Immunophenotyping', 'In Situ Hybridization, Fluorescence', 'Karyotyping', 'Leukemia, Lymphoid/*genetics/immunology', 'Male', '*Translocation, Genetic']",1998/07/17 00:00,1998/07/17 00:01,['1998/07/17 00:00'],"['1998/07/17 00:00 [pubmed]', '1998/07/17 00:01 [medline]', '1998/07/17 00:00 [entrez]']","['S0165-4608(97)00453-6 [pii]', '10.1016/s0165-4608(97)00453-6 [doi]']",ppublish,Cancer Genet Cytogenet. 1998 Jul 15;104(2):82-5. doi: 10.1016/s0165-4608(97)00453-6.,"['0 (Antigens, CD)']",,,,,,,,,,,,,,
9666596,NLM,MEDLINE,19981022,20071115,0213-005X (Print) 0213-005X (Linking),16,5,1998 May,[Catheter infection by Mycoplasma hominis in a patient with acute lymphoblastic leukemia].,252,,"['Alados, J C', 'Cobo, F', 'Jimenez, M D', 'Jurado, M', 'de Cueto, M', 'Miranda, C', 'de la Rosa, M']","['Alados JC', 'Cobo F', 'Jimenez MD', 'Jurado M', 'de Cueto M', 'Miranda C', 'de la Rosa M']",,['spa'],"['Case Reports', 'Letter', 'Review']",Spain,Enferm Infecc Microbiol Clin,Enfermedades infecciosas y microbiologia clinica,9104081,IM,,"['Bacteriological Techniques', 'Catheterization, Central Venous/*adverse effects', 'Equipment Contamination', 'Fatal Outcome', 'Humans', 'Immunocompromised Host', 'Male', 'Microbial Sensitivity Tests', 'Middle Aged', 'Mycoplasma Infections/*etiology/microbiology', '*Mycoplasma hominis/drug effects/*isolation & purification/pathogenicity', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications']",1998/07/17 00:00,1998/07/17 00:01,['1998/07/17 00:00'],"['1998/07/17 00:00 [pubmed]', '1998/07/17 00:01 [medline]', '1998/07/17 00:00 [entrez]']",,ppublish,Enferm Infecc Microbiol Clin. 1998 May;16(5):252.,,Infeccion de cateter por Mycoplasma hominis en un paciente con leucemia aguda linfoblastica.,11,,,,,,,,,,,,
9666573,NLM,MEDLINE,19980820,20190909,0162-0134 (Print) 0162-0134 (Linking),70,2,1998 May,"Synthesis, characterisation and biological activity of three copper (II) complexes with a modified nitrogenous base: 5-formyluracil thiosemicarbazone.",145-54,"Three Cu(II) co-ordination compounds with a novel ligand, 5-formyluracil thiosemicarbazone (H3ut), have been synthesised and characterised by single-crystal X-ray diffraction and subsequently tested in vitro on human leukemic cells. The crystal structures revealed, in all three cases, a square pyramidal co-ordination geometry of the copper atom with the ligand lying on the basal plane and behaving as an SNO terdentate ligand. These three compounds have been tested on human leukemic cell line K562 and CEM. In these experiments the complexes have demonstrated to inhibit cell growth and one of them to induce apoptosis. In the paper we also report the spectrophotometric characterization of the free ligand.","['Ferrari, M B', 'Fava, G G', 'Leporati, E', 'Pelosi, G', 'Rossi, R', 'Tarasconi, P', 'Albertini, R', 'Bonati, A', 'Lunghi, P', 'Pinelli, S']","['Ferrari MB', 'Fava GG', 'Leporati E', 'Pelosi G', 'Rossi R', 'Tarasconi P', 'Albertini R', 'Bonati A', 'Lunghi P', 'Pinelli S']","['Dipartimento di Chimica Generale ed Inorganica, University of Parma, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Inorg Biochem,Journal of inorganic biochemistry,7905788,IM,,"['Apoptosis/drug effects', 'Cell Division/drug effects', 'Cell Survival/drug effects', '*Copper', 'Crystallography, X-Ray', 'Humans', 'Leukemia', 'Models, Molecular', 'Organometallic Compounds/*chemical synthesis/chemistry/toxicity', 'Thiosemicarbazones/chemical synthesis/chemistry/toxicity', 'Tumor Cells, Cultured', 'Uracil/*analogs & derivatives/chemical synthesis/chemistry/toxicity']",1998/07/17 00:00,1998/07/17 00:01,['1998/07/17 00:00'],"['1998/07/17 00:00 [pubmed]', '1998/07/17 00:01 [medline]', '1998/07/17 00:00 [entrez]']","['S0162013498100120 [pii]', '10.1016/s0162-0134(98)10012-0 [doi]']",ppublish,J Inorg Biochem. 1998 May;70(2):145-54. doi: 10.1016/s0162-0134(98)10012-0.,"['0 (Organometallic Compounds)', '0 (Thiosemicarbazones)', '56HH86ZVCT (Uracil)', '789U1901C5 (Copper)']",,,,,,,,,,,,,,
9666515,NLM,MEDLINE,19980915,20151119,0965-0407 (Print) 0965-0407 (Linking),10,2,1998,"Potentiation of retinoic acid-induced differentiation of human acute promyelocytic leukemia NB4 cells by butyric acid, tributyrin, and hexamethylene bisacetamide.",75-84,"Cytodifferentiation therapy by all-trans-retinoic acid (RA) for acute promyelocytic leukemia patients is encouraging in spite of several limitations preventing better clinical outcomes. Most patients in complete remission induced by RA experience relapse and resist further treatment with RA. This resistance primarily is due to a systemic self-induced catabolism of RA, which interferes with the maintenance of effective plasma levels of RA. In this report we explored the possibility that treatment with combinations of RA and other differentiation agents may induce differentiation at lower RA concentrations, which in turn may produce diminished levels of resistance. We found that although n-butyric acid (BA), tributyrin (TB) (a prodrug of BA), or hexamethylene bisacetamide (HMBA) were inactive as sole agents they potentiated RA-induced differentiation of human acute promyelocytic NB4 cells. A measure of the effectiveness of these combinations was that the concentrations of RA in combination with BA and HMBA inducing half-maximal differentiation were 20- to 40-fold lower than those needed with RA alone. Furthermore, the concentrations of BA and HMBA in these combinations were at achievable plasma levels. Therefore, these combinations may have clinical utility for treatment of a variety of malignancies that are sensitive to RA alone.","['Taimi, M', 'Chen, Z X', 'Breitman, T R']","['Taimi M', 'Chen ZX', 'Breitman TR']","['Laboratory of Biological Chemistry, National Cancer Institute, National Institutes of Health, Bethesda, Maryland 20892-4255, USA.']",['eng'],['Journal Article'],United States,Oncol Res,Oncology research,9208097,IM,,"['Acetamides/*pharmacology', 'Antineoplastic Agents/metabolism/*pharmacology', 'Butyrates/metabolism/*pharmacology', 'Butyric Acid', 'Cell Differentiation/*drug effects', 'Drug Synergism', 'Humans', '*Leukemia, Promyelocytic, Acute/metabolism/pathology', 'Tretinoin/*pharmacology', 'Triglycerides/*pharmacology', 'Tumor Cells, Cultured/drug effects']",1998/07/17 00:00,1998/07/17 00:01,['1998/07/17 00:00'],"['1998/07/17 00:00 [pubmed]', '1998/07/17 00:01 [medline]', '1998/07/17 00:00 [entrez]']",,ppublish,Oncol Res. 1998;10(2):75-84.,"['0 (Acetamides)', '0 (Antineoplastic Agents)', '0 (Butyrates)', '0 (Triglycerides)', '107-92-6 (Butyric Acid)', '5688UTC01R (Tretinoin)', 'LA133J59VU (hexamethylene bisacetamide)', 'S05LZ624MF (tributyrin)']",,,,,,,,,,,,,,
9666513,NLM,MEDLINE,19980915,20081121,0965-0407 (Print) 0965-0407 (Linking),10,2,1998,Relationship between antibody-dependent cell-mediated cytotoxicity due to anti-HTLV-1 and negative signal of major histocompatibility complex class I antigens on adult T-cell leukemia cell lines.,59-67,"Natural killer (NK) cells possess two types of cytotoxic activity: natural killer cytotoxicity (NKC) and antibody-dependent cell-mediated cytotoxicity (ADCC). The NKC is regulated by the negative signal of the NK receptor, which recognizes major histocompatibility complex (MHC) class I antigens. However, it is not known whether or not the negative signal influences the ADCC. In this study, the relationship of the ADCC and negative signal was investigated. As target cells, adult T-cell leukemia (ATL) cell lines were used. When the target cells were treated with an anti-human T-lymphotropic virus type-1 (anti-HTLV-1) antibody, they were killed by the NK cells by means of the ADCC (ADCC/anti-HTLV-1). The killing levels were parallel with the cell surface HTLV-1 antigenicity. However, when these cells lines were treated with an anti-HLA, the ADCC (ADCC/anti-HLA) showed inverse correlation with the HLA antigenicity. Furthermore, when HLA polymorphic and monomorphic determinants of these target cells were blocked by F(ab')2 fragments of the anti-HLA and W6/32, the ADCC/anti-HLA was enhanced, but the ADCC/anti-HTLV-1 was not enhanced. These results suggest that the ADCC/anti-HLA may have an intimate relationship with the MHC class I antigens. The ADCC/anti-HLA may be suppressed by the negative signal. On the other hand, the ADCC/anti-HTLV-1 may have no relationship with the class I antigens and the negative signal may have no influence against the ADCC/anti-HTLV-1. The biological mechanism of this difference remains to be investigated.","['Komatsu, F', 'Tamiya, H']","['Komatsu F', 'Tamiya H']","['Blood Transfusion Service, School of Medicine, Tokyo Medical and Dental University, Japan.']",['eng'],['Journal Article'],United States,Oncol Res,Oncology research,9208097,IM,,"['Adult', 'Antibody-Dependent Cell Cytotoxicity/*immunology', 'Epitopes/immunology', 'Flow Cytometry', 'HLA Antigens/drug effects/immunology', 'HTLV-I Antibodies/*immunology', 'Histocompatibility Antigens Class I/*immunology', 'Humans', 'Interferon-gamma/pharmacology', 'Killer Cells, Natural/*immunology', 'Leukemia, T-Cell/*immunology', 'Receptors, IgG/immunology', 'Tumor Cells, Cultured/immunology']",1998/07/17 00:00,1998/07/17 00:01,['1998/07/17 00:00'],"['1998/07/17 00:00 [pubmed]', '1998/07/17 00:01 [medline]', '1998/07/17 00:00 [entrez]']",,ppublish,Oncol Res. 1998;10(2):59-67.,"['0 (Epitopes)', '0 (HLA Antigens)', '0 (HTLV-I Antibodies)', '0 (Histocompatibility Antigens Class I)', '0 (Receptors, IgG)', '82115-62-6 (Interferon-gamma)']",,,,,,,,,,,,,,
9666283,NLM,MEDLINE,19981008,20190622,0065-2598 (Print) 0065-2598 (Linking),437,,1998,Cytokine induction during methionine enkephalin and AZT therapy for murine retrovirus infection.,301-6,,"['Specter, S', 'Bowden-Elkes, R']","['Specter S', 'Bowden-Elkes R']","['Department of Medical Microbiology and Immunology, University of South Florida College of Medicine, Tampa 33612, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Adv Exp Med Biol,Advances in experimental medicine and biology,0121103,IM,,"['Animals', 'Antiviral Agents/*therapeutic use', 'Cells, Cultured', 'Cytokines/*biosynthesis', 'Drug Therapy, Combination', 'Enkephalin, Methionine/*therapeutic use', '*Friend murine leukemia virus', 'Interferon-gamma/biosynthesis', 'Interleukin-10/biosynthesis', 'Interleukin-4/biosynthesis', 'Mice', 'Retroviridae Infections/drug therapy/*immunology', 'Tumor Virus Infections/drug therapy/*immunology', 'Zidovudine/*therapeutic use']",1998/07/17 00:00,1998/07/17 00:01,['1998/07/17 00:00'],"['1998/07/17 00:00 [pubmed]', '1998/07/17 00:01 [medline]', '1998/07/17 00:00 [entrez]']",['10.1007/978-1-4615-5347-2_33 [doi]'],ppublish,Adv Exp Med Biol. 1998;437:301-6. doi: 10.1007/978-1-4615-5347-2_33.,"['0 (Antiviral Agents)', '0 (Cytokines)', '130068-27-8 (Interleukin-10)', '207137-56-2 (Interleukin-4)', '4B9XT59T7S (Zidovudine)', '58569-55-4 (Enkephalin, Methionine)', '82115-62-6 (Interferon-gamma)']",,,"['DA07245/DA/NIDA NIH HHS/United States', 'DA10161/DA/NIDA NIH HHS/United States']",,,,,,,,,,,
9666265,NLM,MEDLINE,19981008,20190622,0065-2598 (Print) 0065-2598 (Linking),437,,1998,"Properties of mu 3 opiate alkaloid receptors in macrophages, astrocytes, and HL-60 human promyelocytic leukemia cells.",137-48,"An opiate alkaloid-selective receptor, designated mu(3), mediates inhibition by morphine of activation of human peripheral blood monocytes and granulocytes. The mu(3) receptor is present on several macrophage cell types including microglia, on cultured astrocytes, and in brain and retina. Murine macrophage cell lines and human HL-60 leukemia cells contain high concentrations of these receptors. Binding of 3H-morphine to the receptor is displaced by morphine, etorphine, naloxone, diprenorphine and morphine 6-glucuronide, but not by morphine 3-glucuronide, fentanyl, benzomorphans, enkephalins, dynorphin, beta-endorphin, endomorphin-1, other opioid peptides or nociceptin (orphanin FQ). The mu(3) receptor appears to be much more sensitive to inactivation by reduced glutathione than are classical mu, delta and kappa receptors. Evidence is also presented for G protein-coupling of these receptors. These and other data raise the possibility that the mu(3) receptor is a member of a chemokine or of another related receptor family, rather than the opioid receptor family. The affinity for morphine of mu(3) receptors of granulocytic-differentiated HL-60 cells is markedly enhanced in the presence of levorphanol and certain benzomorphans. In contrast, receptors of monocytes, macrophage cell lines, microglia, macrophage-differentiated HL-60 cells and astrocytes are not affected by levorphanol or benzomorphans. It is concluded that mu(3) receptors of granulocytic and promyelocytic cells differ from those of macrophage and astrocyte cell types, possibly due to differences in receptor subtype or to the presence of an additional component in the granulocytic and promyelocytic cells.","['Makman, M H', 'Dobrenis, K', 'Surratt, C K']","['Makman MH', 'Dobrenis K', 'Surratt CK']","['Department of Biochemistry, Albert Einstein College of Medicine New York, New York 10461, USA.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Adv Exp Med Biol,Advances in experimental medicine and biology,0121103,IM,,"['Animals', 'Astrocytes/*metabolism', 'GTP-Binding Proteins/metabolism', 'Glutathione/metabolism/pharmacology', 'Granulocytes/metabolism', 'HL-60 Cells', 'Humans', 'Lipopolysaccharides/pharmacology', 'Macrophages/*metabolism', 'Mice', 'Microglia/metabolism', 'Morphine/pharmacology', 'Narcotics/*pharmacology', 'Neuroglia/metabolism', 'Receptors, Opioid, mu/agonists/*metabolism', 'Signal Transduction', 'Tumor Cells, Cultured']",1998/07/17 00:00,1998/07/17 00:01,['1998/07/17 00:00'],"['1998/07/17 00:00 [pubmed]', '1998/07/17 00:01 [medline]', '1998/07/17 00:00 [entrez]']",['10.1007/978-1-4615-5347-2_15 [doi]'],ppublish,Adv Exp Med Biol. 1998;437:137-48. doi: 10.1007/978-1-4615-5347-2_15.,"['0 (Lipopolysaccharides)', '0 (Narcotics)', '0 (Receptors, Opioid, mu)', '76I7G6D29C (Morphine)', 'EC 3.6.1.- (GTP-Binding Proteins)', 'GAN16C9B8O (Glutathione)']",,,,,,,,,,,,,,
