PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,CIN,CON,TT,RF,SI,GR,PMC,EIN,CI,LID,OTO,OT,MID,PS,FPS
9592842,NLM,MEDLINE,19980709,20191024,0888-0018 (Print) 0888-0018 (Linking),15,2,1998 Mar-Apr,A seven-years experience in treatment of childhood ALL in Bulgaria.,157-64,"After analyzing nonsatisfactory therapeutic results in the 1970s and early 1980s, the 81-01 treatment protocol of the Dana-Farber Cancer Institute was initiated in 1987 in the Children's Oncohaematology Clinic in Sofia, Bulgaria. Two hundred thirty patients were enrolled with a period of observation of a minimum of 14 and a maximum of 97 months; the median age was 5.83 +/- 3.6 years. According to the original criteria, standard risk (SR) patients were 38.26% and high-risk (HR) patients 61.74%. The probability for event-free survival at the seventh year estimated with the Kaplan-Meier method for the total group was 0.67 +/- 0.04 (+/- SE) and 0.55 +/- 0.09 and 0.81 +/- 0.06 for HR and SR, respectively (P < .001). Improvement of therapeutic results in terms of remission failures, early deaths, patients lost to follow-up, and rate of relapses is discussed.","['Konstantinov, D', 'Bobev, D', 'Michailov, G', 'Sarbinova, M', 'Kalev, I', 'Spassov, V', 'Jordanova, M', 'Koleva, E', 'Mendizova, L', 'Kirov, I']","['Konstantinov D', 'Bobev D', 'Michailov G', 'Sarbinova M', 'Kalev I', 'Spassov V', 'Jordanova M', 'Koleva E', 'Mendizova L', 'Kirov I']","['Children\'s Oncohaematology Clinic, University Hospital ""Queen Johanna,"" Sofia, Bulgaria.']",['eng'],"['Clinical Trial', 'Journal Article']",England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,IM,"['Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Bulgaria', 'Child', 'Child, Preschool', 'Disease-Free Survival', 'Female', 'Humans', 'Infant', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*therapy', 'Recurrence', 'Remission Induction']",1998/05/21 00:00,1998/05/21 00:01,['1998/05/21 00:00'],"['1998/05/21 00:00 [pubmed]', '1998/05/21 00:01 [medline]', '1998/05/21 00:00 [entrez]']",['10.3109/08880019809167230 [doi]'],ppublish,Pediatr Hematol Oncol. 1998 Mar-Apr;15(2):157-64. doi: 10.3109/08880019809167230.,,,,,,,,,,,,,,,,
9592841,NLM,MEDLINE,19980709,20191024,0888-0018 (Print) 0888-0018 (Linking),15,2,1998 Mar-Apr,Bcl-2 expression and prognosis in childhood acute leukemia. Children's Cancer and Leukemia Study Group.,143-55,"Bcl-2 expression and its prognostic value were evaluated in 42 children with acute leukemia. The Bcl-2 expression of the leukemic blast cells was measured quantitatively by flow cytometry and was further analyzed by the simultaneous immunostaining of Bcl-2 with the surface membrane antigens, DNA, Ki-67 antigen. All of the cases showed a consistent expression of Bcl-2 protein; virtually all leukemic lymphoblasts were Bcl-2 positive. Although the expression of Bcl-2 varied widely from 7 to 80 x 10(3) MESF units, no significant difference was found in the mean value between the patients with acute lymphoblastic leukemia and those with acute myeloblastic leukemia. In more than half of the patients with AML, intraclonal heterogeneity of Bcl-2 expression was observed. The expression of Bcl-2 showed no apparent fluctuations during the different phases of the cell cycle. However, the proportion of Bcl-2-positive and -negative cells during the cell cycle was different between ALL and AML patients. In the ALL patients, few Bcl-2-negative cells were detected only in the GI phase, whereas in the AML patients Bcl-2-negative cells were detected in the S and G2/M phases, as well as in the G1 phase. No apparent difference was found in Bcl-2 expression between the Ki-67-negative noncycling population and the Ki-67-positive cycling population. Of the clinical features of these patients, only CD34 expression in the ALL patients was associated with high levels of Bcl-2 expression. In the 28 untreated cases of ALL, high expression of Bcl-2 was not an unfavorable factor for the outcome of this disease.","['Tsurusawa, M', 'Saeki, K', 'Katano, N', 'Fujimoto, T']","['Tsurusawa M', 'Saeki K', 'Katano N', 'Fujimoto T']","['Department of Pediatrics, Aichi Medical University, Japan.']",['eng'],['Journal Article'],England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,IM,"['Adolescent', 'Bone Marrow Cells/physiology', 'Cell Cycle', 'Child', 'Child, Preschool', 'DNA/analysis', 'Disease-Free Survival', 'Female', 'Flow Cytometry', 'Gene Expression', 'Humans', 'Immunoglobulin Fab Fragments/analysis', 'Immunophenotyping', 'Infant', 'Leukemia, Myeloid, Acute/*diagnosis/genetics/*metabolism', 'Leukocyte Count', 'Leukocytes/immunology', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*diagnosis/genetics/*metabolism', 'Prognosis', 'Proto-Oncogene Proteins c-bcl-2/*biosynthesis/genetics']",1998/05/21 00:00,1998/05/21 00:01,['1998/05/21 00:00'],"['1998/05/21 00:00 [pubmed]', '1998/05/21 00:01 [medline]', '1998/05/21 00:00 [entrez]']",['10.3109/08880019809167229 [doi]'],ppublish,Pediatr Hematol Oncol. 1998 Mar-Apr;15(2):143-55. doi: 10.3109/08880019809167229.,"['0 (Immunoglobulin Fab Fragments)', '0 (Proto-Oncogene Proteins c-bcl-2)', '9007-49-2 (DNA)']",['Pediatr Hematol Oncol. 1998 Mar-Apr;15(2):105-7. PMID: 9592836'],,,,,,,,,,,,,,
9592839,NLM,MEDLINE,19980709,20191024,0888-0018 (Print) 0888-0018 (Linking),15,2,1998 Mar-Apr,Acute lymphoblastic leukemia with severe skeletal involvement: a subset of childhood leukemia with a good prognosis.,121-33,"Skeletal radiographic abnormalities are common in children with acute lymphoblastic leukemia (ALL). The impact of severe skeletal involvement (SI) on survival and the correlation between SI and biological markers were analyzed. Therefore, radiographs and medical charts of 106 ALL patients who received a skeletal survey at the time of diagnosis and were treated at the University Children's Hospital Wurzburg between 1974 and 1995 were reviewed. On the basis of the skeletal survey, SI was quantified using a score. Fifty-nine patients (55%) showed radiographic abnormalities defined as metaphyseal banding (48%), periosteal reactions (11%), osteolysis (33%), osteosclerosis (31%), or osteopenia (22%). Children with severe SI (n = 32) presented with a higher rate of severe radiographic abnormalities such as geographic destructive osteolysis (37%; P < .001) and periosteal reactions (28%; P < .05) compared with children with moderate SI (0% and 4%, respectively). Patients with severe SI showed a lower peripheral blast count (P < .05) at diagnosis, a more frequent ""prednisone good response"" (P < .05), and a higher survival rate (83 +/- 7%; P < .05) than patients without SI (54 +/- 9%). Patients with moderate SI (n = 27) showed a higher hemoglobin concentration (P < .05), an enlargement of liver (P < .05) and spleen (P < .01), a higher BFM risk factor (P < .01), but still a higher survival rate (73 +/- 11%) than patients without SI (NS). Patients with severe SI had a higher (P < .001) DNA content of leukemic cells as measured by DNA index (DI) than patients without SI. Thirty-one percent of patients with severe SI, 22% of patients with moderate SI, and no patient without SI had a DI > 1.16. No patient with a DI < 1.0 presented with severe SI. The number of radiographic abnormalities in patients with SI correlated with the DI (rho: 0.46; P < .001). However, patients with euploidy (DI = I) and severe SI also had a higher (P = .05) survival rate (70 +/- 18%; n = 15) than euploid patients without SI (49 +/- 11%; n = 24). Of the patients with severe SI, 78% had common ALL and 22% had an ALL type other than common ALL (P < .05). In patients with ALL types different from common ALL, severe SI was also associated with higher survival rates. We conclude that on the basis of clinical features, two distinct subgroups could be identified in terms of SI. Patients with clinically relevant severe SI had a better prognosis, a higher DI, and more frequently a common ALL than patients without SI. However, the impact of severe SI on prognosis was independent of DI and type of leukemia.","['Muller, H L', 'Horwitz, A E', 'Kuhl, J']","['Muller HL', 'Horwitz AE', 'Kuhl J']","['Department of Pediatrics, University Hospital, Wurzburg, Germany.']",['eng'],['Journal Article'],England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,IM,"['Adolescent', 'Bone Diseases/blood/*complications/diagnostic imaging', 'Bone and Bones/diagnostic imaging', 'Child', 'Child, Preschool', 'DNA/analysis', 'Disease-Free Survival', 'Female', 'Humans', 'Infant', 'Male', 'Pain', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications/*diagnosis/mortality', 'Prognosis', 'Radiography', 'Retrospective Studies', 'Survival Rate']",1998/05/21 00:00,1998/05/21 00:01,['1998/05/21 00:00'],"['1998/05/21 00:00 [pubmed]', '1998/05/21 00:01 [medline]', '1998/05/21 00:00 [entrez]']",['10.3109/08880019809167227 [doi]'],ppublish,Pediatr Hematol Oncol. 1998 Mar-Apr;15(2):121-33. doi: 10.3109/08880019809167227.,['9007-49-2 (DNA)'],,,,,,,,,,,,,,,
9592836,NLM,MEDLINE,19980709,20191024,0888-0018 (Print) 0888-0018 (Linking),15,2,1998 Mar-Apr,Bcl-2 expression in childhood leukemias: could it be used as a prognostic factor?,105-7,,"['Kalmanti, M', 'Dimitriou, H']","['Kalmanti M', 'Dimitriou H']",,['eng'],"['Comment', 'Editorial']",England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,IM,"['Child', 'Child, Preschool', 'Humans', 'Leukemia/*diagnosis/*metabolism', 'Prognosis', 'Proto-Oncogene Proteins c-bcl-2/*biosynthesis']",1998/05/21 00:00,1998/05/21 00:01,['1998/05/21 00:00'],"['1998/05/21 00:00 [pubmed]', '1998/05/21 00:01 [medline]', '1998/05/21 00:00 [entrez]']",['10.3109/08880019809167224 [doi]'],ppublish,Pediatr Hematol Oncol. 1998 Mar-Apr;15(2):105-7. doi: 10.3109/08880019809167224.,['0 (Proto-Oncogene Proteins c-bcl-2)'],,['Pediatr Hematol Oncol. 1998 Mar-Apr;15(2):143-55. PMID: 9592841'],,,,,,,,,,,,,
9592814,NLM,MEDLINE,19980724,20071115,0301-2603 (Print) 0301-2603 (Linking),26,4,1998 Apr,[Perioperative management of intracranial hemorrhage related to hematological disease].,331-8,"Six patients with hematological disease complicated by intracranial hemorrhage were surgically treated in the last 2 years. In this study, in order to clarify indication for operation and perioperative management, 6 cases were classified into 2 groups. The details of each group were as follows: Group 1 was defined by the fact that the underlying hematological disease had not yet been controlled. (One case was ITP and the others were 2 AML cases). Group 2 was defined by the fact that the underlying hematological disease was well controlled. (One case was CML, one case was ATL and one case was ITP). A tendency to bleed was corrected in all patients of group 1 in the perioperative period. In the AML cases, prevention of infection was mandatory because both AML cases had been in remission, and no serious postoperative complication had occurred. The outcome of short term treatment was excellent in all but one case, in whom the recurrence of subdural hematoma caused death during the period 1 month after operation. On the other hand, no cases classified in group 2 needed specific hematological perioperative management and the short term treatment outcome was excellent. Since intracranial hemorrhage related to hematological disease has often been fatal, those patients were treated conservatively in most cases. However, from our analyses, we were able to emphasize that most intracranial hemorrhage related to hematological disease might be treated surgically and with good result, if the underlying hematological disease has entered the remission period.","['Ochiai, H', 'Yamakawa, Y', 'Ikeda, T', 'Miyata, S', 'Fukushima, T', 'Makino, S']","['Ochiai H', 'Yamakawa Y', 'Ikeda T', 'Miyata S', 'Fukushima T', 'Makino S']","['Department of Neurosurgery, Miyazaki Prefectural Hospital, Japan.']",['jpn'],"['English Abstract', 'Journal Article']",Japan,No Shinkei Geka,No shinkei geka. Neurological surgery,0377015,IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Cerebral Hemorrhage/*etiology/*surgery/therapy', 'Female', 'Hematologic Diseases/*complications', 'Hematoma, Subdural/etiology/therapy', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/complications', 'Leukemia, Myeloid, Acute/complications', 'Male', 'Middle Aged', 'Perioperative Care', 'Purpura, Thrombocytopenic, Idiopathic/complications', 'Recurrence', 'Thrombocytopenia/complications']",1998/05/21 00:00,1998/05/21 00:01,['1998/05/21 00:00'],"['1998/05/21 00:00 [pubmed]', '1998/05/21 00:01 [medline]', '1998/05/21 00:00 [entrez]']",,ppublish,No Shinkei Geka. 1998 Apr;26(4):331-8.,,,,,,,,,,,,,,,,
9592583,NLM,MEDLINE,19980625,20161124,0939-267X (Print) 0939-267X (Linking),8,2,1998 Mar,[Pulmonary complications of induction therapy in acute myeloid leukemia in adults. Findings in chest x-rays and computer tomography].,87-94,"UNLABELLED: To exclude pulmonary complications, 359 chest radiographs and 50 computed tomographs of the lung were performed in 95 patients suffering from acute myeloid leukemia. The radiological findings were registered, described and correlated with clinical findings in the present study on 2395 days of observation. RESULTS: In summary, 52 patients showed alterations of the lung. Pulmonary hyperhydration was seen in 21 cases, bacterial pneumonia was found in 18 cases, invasive pulmonary aspergillosis was documented in 14 cases, and 5 cases of severe haemorrhage were seen. An unexplained pulmonary edema in 13 patients with interstitial and alveolar infiltrates is considered to be a complication of treatment with cytosine- arabinoside. CONCLUSION: The results demonstrate that chest X- ray and computed tomography have a high impact in detection and treatment of pulmonary complications following intensive chemotherapy. We may expect the development of diffuse opacity following administration of cytosine-arabinoside in medium-sized doses.","['Kirchner, J', 'Boehme, A', 'Huttmann, C', 'Jacobi, V']","['Kirchner J', 'Boehme A', 'Huttmann C', 'Jacobi V']","['Abt. Allg. Rontgendiagnostik, Klinikum der Johann Wolfgang Goethe-Universitat, Frankfurt.']",['ger'],['Journal Article'],Germany,Aktuelle Radiol,Aktuelle Radiologie,9102962,IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*adverse effects', 'Aspergillosis, Allergic Bronchopulmonary/*diagnostic imaging/etiology', 'Female', 'Hemorrhage/diagnostic imaging/etiology', 'Humans', 'Leukemia, Myeloid, Acute/complications/diagnostic imaging/*drug therapy', 'Male', 'Middle Aged', 'Pneumonia, Bacterial/*diagnostic imaging/etiology', 'Radiography, Thoracic', 'Tomography, X-Ray Computed']",1998/05/21 00:00,1998/05/21 00:01,['1998/05/21 00:00'],"['1998/05/21 00:00 [pubmed]', '1998/05/21 00:01 [medline]', '1998/05/21 00:00 [entrez]']",,ppublish,Aktuelle Radiol. 1998 Mar;8(2):87-94.,,,,Pulmonale Komplikationen der Induktionstherapie bei akuter myeloischer Leukamie des Erwachsenen. Befunde in Thoraxubersichtsaufnahme und Computertomographie.,,,,,,,,,,,,
9592360,NLM,MEDLINE,19980609,20140226,0578-1426 (Print) 0578-1426 (Linking),35,9,1996 Sep,[Graft-versus-leukemia effects].,638-41,,"['Li, H', 'Lou, F']","['Li H', 'Lou F']",,['chi'],"['Journal Article', 'Review']",China,Zhonghua Nei Ke Za Zhi,Zhonghua nei ke za zhi,16210490R,IM,"['Animals', '*Bone Marrow Transplantation', '*Graft vs Host Reaction', 'Humans', 'Leukemia/*therapy']",1996/09/01 00:00,1998/05/21 00:01,['1996/09/01 00:00'],"['1996/09/01 00:00 [pubmed]', '1998/05/21 00:01 [medline]', '1996/09/01 00:00 [entrez]']",,ppublish,Zhonghua Nei Ke Za Zhi. 1996 Sep;35(9):638-41.,,,,,20,,,,,,,,,,,
9592352,NLM,MEDLINE,19980609,20151119,0578-1426 (Print) 0578-1426 (Linking),35,9,1996 Sep,[Dynamic analysis of cell surface markers in acute leukemias unclassified with immunologic criteria].,595-7,"In order to study the cell origin of acute leukemia with lack of lineage specific antigen expression, the dynamic change of cell surface markers in 25 patients of acute leukemia unclassified with immunologic criteria were analysed by using APAAP immunoenzymatic method with monoclonal antibodies after chemotherapy or relapse. The results showed that 5 patients, whose leukemic cells expressed only CD38 antigen in the first visit, expressed T cell differentiated antigen after chemotherapy or relapse. 4 patients, who expressed B cell specific markers after chemotherapy or relapse, all expressed only CD9 antigen in the first visit. 4 of the 6 patients who expressed only HLA-DR antigen were found to have B cell markers on their leukemic cells surface after chemotherapy or relapse. One patient expressed B cell surface markers after chemotherapy and another expressed T cell surface markers after relapse, both of them expressed CD38 and HLA-DR antigens in the first visit. In 4 other patients whose leukemic cells were lacking of in any cell differentiated antigen expressing, one expressed B cell markers and another expressed T cell markers after chemotherapy. The change of cell surface markers showed the evolution and progression of leukemic cell clone. Dynamic study is useful to distinguish the cell origin of leukemia.","['Wang, L', 'Zhang, M', 'Song, S']","['Wang L', 'Zhang M', 'Song S']","['Department of Hematology, Jinan General Hospital of PLA.']",['chi'],"['English Abstract', 'Journal Article']",China,Zhonghua Nei Ke Za Zhi,Zhonghua nei ke za zhi,16210490R,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Antigens, CD/*metabolism', 'Antigens, Surface/metabolism', 'Biomarkers, Tumor/*metabolism', 'Female', 'HLA-DR Antigens/*metabolism', 'Humans', 'Leukemia/*immunology', 'Leukemia, Myeloid/immunology', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/immunology']",1996/09/01 00:00,1998/05/21 00:01,['1996/09/01 00:00'],"['1996/09/01 00:00 [pubmed]', '1998/05/21 00:01 [medline]', '1996/09/01 00:00 [entrez]']",,ppublish,Zhonghua Nei Ke Za Zhi. 1996 Sep;35(9):595-7.,"['0 (Antigens, CD)', '0 (Antigens, Surface)', '0 (Biomarkers, Tumor)', '0 (HLA-DR Antigens)']",,,,,,,,,,,,,,,
9592351,NLM,MEDLINE,19980609,20140226,0578-1426 (Print) 0578-1426 (Linking),35,9,1996 Sep,[Detection of multidrug resistance in patients with leukemia by using flow cytometry and RNA in situ hybridization].,591-4,"Multidrug resistance (MDR) in leukemia and the reversal of MDR by cyclosporin A (CsA) in vitro have been studied through intracellular accumulation of daunorubicin (DNR) in leukemic myeloblasts. The study was carried out with real-time flow cytometry and relative expression levels of MDR, which is estimated by RNA in situ hybridization in 26 patients suffering from leukemia. The change of intracellular DNR accumulation in vitro after adding CsA was also analyzed. The results showed that intracellular DNR accumulation in newly diagnosed and treated patients (MDR1 negative) with remission increased significantly than that in refractory and relapsing patients (P < 0.01). Good reversal effect was obtained in refractory patients and MDR1 positive relapsing patients by adding CsA (P < 0.01). It is suggested that MDR detection by the two above-mentioned methods could help to project the chemotherapy schedule clinically, CsA had obvious reversal effect on the drug-resistant leukemic cells in vitro.","['Li, S', 'Wang, C', 'Yao, C']","['Li S', 'Wang C', 'Yao C']","['Department of Hematology, First Hospital of Norman Bethune Medical University, Changchun.']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Nei Ke Za Zhi,Zhonghua nei ke za zhi,16210490R,IM,"['Adult', 'Cyclosporine/pharmacology', 'Daunorubicin/metabolism', '*Drug Resistance, Multiple', '*Drug Resistance, Neoplasm', 'Female', 'Flow Cytometry', 'Gene Expression', '*Genes, MDR', 'Humans', 'Immunosuppressive Agents/pharmacology', 'In Situ Hybridization', 'Leukemia, Myeloid, Accelerated Phase/genetics/pathology', 'Leukemia, Myeloid, Acute/*genetics/pathology', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/genetics/pathology', 'Tumor Cells, Cultured/metabolism']",1996/09/01 00:00,1998/05/21 00:01,['1996/09/01 00:00'],"['1996/09/01 00:00 [pubmed]', '1998/05/21 00:01 [medline]', '1996/09/01 00:00 [entrez]']",,ppublish,Zhonghua Nei Ke Za Zhi. 1996 Sep;35(9):591-4.,"['0 (Immunosuppressive Agents)', '83HN0GTJ6D (Cyclosporine)', 'ZS7284E0ZP (Daunorubicin)']",,,,,,,,,,,,,,,
9592350,NLM,MEDLINE,19980609,20140226,0578-1426 (Print) 0578-1426 (Linking),35,9,1996 Sep,[Detection of immunoglobulin heavy chain (IgH) gene rearrangement in ANLL by polymerase chain reaction amplification and Southern blot].,587-90,"Immunoglobulin heavy chain (IgH) gene rearrangement serves as a marker of clonality in B lymphoproliferative malignancies. In order to study the IgH rearranged gene in acute nonlymphoblastic leukemia (ANLL) patients we combine polymerase chain reaction (PCR) with Southern blot to detect 41 ANLL patients and 7 of them (17.1%) were found to have IgH rearrangement by PCR amplification. All these 7 positive cases were confirmed by Southern blot. The sensitivity of this method was 10(-4)-10(-5) level. In 12 patients with complete remission, 3 (25.0%) were found to have IgH rearranged gene. All these 3 cases had clinical relapse within 6 months. Our results show that IgH rearrangement not only may occur in lymphoblastic leukemia of B lineage, but also can be found in ANLL. The mechanism may be that in some ANLL patients, the leukemic transforming event might involve stem cells capable of both B cell and myeloid differentiation or ANLL might differentiate along different lineage with predominant appearance of one or the other subclone in the course of the disease.","['Xu, B', 'Zhou, S', 'Sun, J']","['Xu B', 'Zhou S', 'Sun J']","['Department of Hematology Nanfang Hospital, First Military Medical University Guangzhou.']",['chi'],"['English Abstract', 'Journal Article']",China,Zhonghua Nei Ke Za Zhi,Zhonghua nei ke za zhi,16210490R,IM,"['Blotting, Southern', 'Gene Rearrangement, B-Lymphocyte, Heavy Chain', 'Humans', 'Leukemia, Myeloid, Acute/*genetics', 'Leukemia, Myelomonocytic, Acute/genetics', 'Leukemia, Promyelocytic, Acute/genetics', 'Polymerase Chain Reaction']",1996/09/01 00:00,1998/05/21 00:01,['1996/09/01 00:00'],"['1996/09/01 00:00 [pubmed]', '1998/05/21 00:01 [medline]', '1996/09/01 00:00 [entrez]']",,ppublish,Zhonghua Nei Ke Za Zhi. 1996 Sep;35(9):587-90.,,,,,,,,,,,,,,,,
