PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,PMC,SI,CIN,CON,CRI,CI,EIN,TT,LID,OID,OTO,OT,GN,MID
9363869,NLM,MEDLINE,19971202,20170210,0732-183X (Print) 0732-183X (Linking),15,11,1997 Nov,Randomized trial of chemotherapy and radiation therapy with or without warfarin for limited-stage small-cell lung cancer: a Cancer and Leukemia Group B study.,3378-87,"PURPOSE: Studies by the Veterans Administration Cooperative Studies Program and Cancer and Leukemia Group B (CALGB) suggested that the addition of warfarin to chemotherapy might enhance response and/or survival in small-cell lung cancer (SCLC). This randomized study evaluated the effect of warfarin with chemotherapy and radiation therapy in limited-stage SCLC. PATIENTS AND METHODS: Patients were randomized to receive warfarin or no warfarin. All patients received three cycles of doxorubicin, cyclophosphamide, and etoposide (ACE). Cycles 4 and 5 (cisplatin, cyclophosphamide, and etoposide [PCE]) were given concurrently with radiation therapy. Three cycles of ACE were given after chemoradiation therapy, but were discontinued due to a high rate of pulmonary toxicity. RESULTS: There were no significant differences in response rates, survival, failure-free survival, disease-free survival, or patterns of relapse between the warfarin-treated and control groups. In patients treated according to the initial design, an increase in failure-free survival seen with warfarin treatment approached significance (P = .07). Preamendment results, while not significant, did not have superimposable treatment survival curves. A landmark analysis at 8 months showed a median survival time after the landmark for complete responders of 33 months with warfarin treatment compared with < or = 13.75 months for complete or partial responders not treated with warfarin (P = .05). Differences between the complete responders in this preamendment population were not significant (P = .103). CONCLUSION: Warfarin does not appear to improve outcome significantly in limited-stage SCLC. However, the differences in some variables between populations before the protocol amendment correspond to the favorable effects of anticoagulants observed in previous studies.","['Maurer, L H', 'Herndon, J E 2nd', 'Hollis, D R', 'Aisner, J', 'Carey, R W', 'Skarin, A T', 'Perry, M C', 'Eaton, W L', 'Zacharski, L L', 'Hammond, S', 'Green, M R']","['Maurer LH', 'Herndon JE 2nd', 'Hollis DR', 'Aisner J', 'Carey RW', 'Skarin AT', 'Perry MC', 'Eaton WL', 'Zacharski LL', 'Hammond S', 'Green MR']","['Dartmouth-Hitchcock Medical Center, Lebanon, NH 03756, USA. L.Herbert.Maurer@Hitchcock.ORG']",['eng'],"['CA04326/CA/NCI NIH HHS/United States', 'CA31983/CA/NCI NIH HHS/United States', 'CA33601/CA/NCI NIH HHS/United States', 'etc.']","['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,"['0 (Anticoagulants)', '00DPD30SOY (Amsacrine)', '04079A1RDZ (Cytarabine)', '5Q7ZVV76EI (Warfarin)', '6PLQ3CP4P3 (Etoposide)', '8N3DW7272P (Cyclophosphamide)', 'Q20Q21Q62J (Cisplatin)', 'ACE protocol 2', 'CCE protocol']",IM,"['Adult', 'Aged', 'Amsacrine/administration & dosage', 'Anticoagulants/adverse effects/*therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Carcinoma, Small Cell/*drug therapy/mortality/*radiotherapy', 'Cisplatin/administration & dosage', 'Combined Modality Therapy', 'Cyclophosphamide/administration & dosage', 'Cytarabine/administration & dosage', 'Disease-Free Survival', 'Etoposide/administration & dosage', 'Female', 'Hemorrhage/chemically induced', 'Humans', 'Lung Neoplasms/*drug therapy/mortality/*radiotherapy', 'Male', 'Middle Aged', 'Recurrence', 'Survival Analysis', 'Warfarin/adverse effects/*therapeutic use']",1997/11/18 19:04,2001/03/28 10:01,['1997/11/18 19:04'],"['1997/11/18 19:04 [pubmed]', '2001/03/28 10:01 [medline]', '1997/11/18 19:04 [entrez]']",['10.1200/JCO.1997.15.11.3378 [doi]'],ppublish,J Clin Oncol. 1997 Nov;15(11):3378-87. doi: 10.1200/JCO.1997.15.11.3378.,,,,,,,,,,,,,,,
9363865,NLM,MEDLINE,19971202,20170210,0732-183X (Print) 0732-183X (Linking),15,11,1997 Nov,Use of octreotide in the symptomatic management of diarrhea induced by graft-versus-host disease in patients with hematologic malignancies.,3350-4,"PURPOSE: Diarrhea associated with acute gastrointestinal (GI) graft-versus-host disease (GVHD) after allogeneic bone marrow transplantation (BMT) can result in severe morbidity and mortality. A pilot study was conducted to evaluate the efficacy and toxicity of octreotide in the management of diarrhea in patients with GVHD after allogeneic BMT. PATIENTS AND METHODS: Twenty-one patients entered the study. Patients received either peripheral-blood stem cells (n = 13) or bone marrow (n = 8). Seven patients had grade 4, 13 grade 3, and one grade 2 GVHD. Intravenous (I.V.) octreotide 500 microg every 8 hours for 7 days was administered. Octreotide treatment was discontinued if no response was observed after 7 days or for grade 4 toxicity. RESULTS: Fifteen (71%) of 21 treated patients had a complete response within 7 days of the initiation of octreotide; three (14%) had a partial response and three (14%) failed to respond to treatment. Toxicities were minimal; hyperglycemia was seen in four patients and one patient developed a partial ileus. Octreotide was discontinued and the ileus resolved within 48 hours. CONCLUSION: If initiated early in the course of GI GVHD, octreotide appears to be an effective, well-tolerated agent in reducing severe voluminous diarrhea. Octreotide should be discontinued within 24 hours after the resolution of diarrhea to avoid the development of ileus. Because no additional reduction in the volume of diarrhea occurred after 7 days of therapy, continuation of the drug beyond this time is not cost effective.","['Ippoliti, C', 'Champlin, R', 'Bugazia, N', 'Przepiorka, D', 'Neumann, J', 'Giralt, S', 'Khouri, I', 'Gajewski, J']","['Ippoliti C', 'Champlin R', 'Bugazia N', 'Przepiorka D', 'Neumann J', 'Giralt S', 'Khouri I', 'Gajewski J']","['Department of Hematology, The University of Texas M.D. Anderson Cancer Center, Houston 77030, USA. cippolit@notes.mdacc.tmc.edu']",['eng'],,"['Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,"['0 (Gastrointestinal Agents)', 'RWM8CCW8GP (Octreotide)']",IM,"['Adult', 'Aged', 'Bone Marrow Transplantation/*adverse effects', 'Diarrhea/*drug therapy/*etiology', 'Female', 'Gastrointestinal Agents/administration & dosage/adverse effects/*therapeutic use', 'Graft vs Host Disease/*complications', 'Humans', 'Hyperglycemia/chemically induced', 'Infusions, Intravenous', 'Leukemia/*therapy', 'Male', 'Middle Aged', 'Octreotide/administration & dosage/adverse effects/*therapeutic use', 'Pilot Projects', 'Prospective Studies', 'Treatment Outcome']",1997/11/18 00:00,1997/11/18 00:01,['1997/11/18 00:00'],"['1997/11/18 00:00 [pubmed]', '1997/11/18 00:01 [medline]', '1997/11/18 00:00 [entrez]']",['10.1200/JCO.1997.15.11.3350 [doi]'],ppublish,J Clin Oncol. 1997 Nov;15(11):3350-4. doi: 10.1200/JCO.1997.15.11.3350.,,,,,,,,,,,,,,,
9363864,NLM,MEDLINE,19971202,20170210,0732-183X (Print) 0732-183X (Linking),15,11,1997 Nov,Successful pregnancy after allogeneic bone marrow transplant with embryos isolated before transplant.,3347-9,"METHODS AND RESULTS: Autologous embryos from in vitro-fertilized ova were successfully implanted in a 29-year-old woman, 2 years after successful allogeneic bone marrow transplant (BMT) for chronic myeloid leukemia (CML). A second pregnancy, similarly initiated, is in progress at 4 years posttransplant. CONCLUSION: Our experience offers a fertility-salvaging technique to some women after cytotoxic therapy, where time permits ovarian hyperstimulation before the need for definitive myeloblative therapy of their malignancy, and where the risk of subsequent infertility is high.","['Lipton, J H', 'Virro, M', 'Solow, H']","['Lipton JH', 'Virro M', 'Solow H']","['Department of Medicine, Princess Margaret Hospital and University of Toronto, Ontario, Canada. jeffrey_lipton@pmh.toronto.on.ca']",['eng'],,"['Case Reports', 'Journal Article']",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,,IM,"['Adult', '*Bone Marrow Transplantation', 'Embryo Transfer/*methods', 'Female', 'Fertilization in Vitro', 'Humans', 'Infant, Newborn', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*therapy', 'Male', 'Postoperative Period', 'Pregnancy']",1997/11/18 00:00,1997/11/18 00:01,['1997/11/18 00:00'],"['1997/11/18 00:00 [pubmed]', '1997/11/18 00:01 [medline]', '1997/11/18 00:00 [entrez]']",['10.1200/JCO.1997.15.11.3347 [doi]'],ppublish,J Clin Oncol. 1997 Nov;15(11):3347-9. doi: 10.1200/JCO.1997.15.11.3347.,,,,,,,,,,,,,,,
9363863,NLM,MEDLINE,19971202,20170210,0732-183X (Print) 0732-183X (Linking),15,11,1997 Nov,Alternating MOPP and ABVD chemotherapy plus mantle-field radiation therapy in patients with massive mediastinal Hodgkin's disease.,3338-46,"PURPOSE: To evaluate the efficacy and toxicity of mechlorethamine, vincristine, procarbazine, and prednisone (MOPP)/doxorubicin, bleomycin, vinblastine, and dacarbazine (ABVD) chemotherapy plus mantle-field radiation therapy in the treatment of patients with massive mediastinal Hodgkin's disease of any stage. PATIENTS AND METHODS: Eighty patients presented with Hodgkin's disease and a mediastinal mass greater than one third the greatest chest diameter on chest radiograph. Patients were staged and treated with MOPP alternated with ABVD chemotherapy for a total of six cycles. Patients then received 10 Gy mantle-field radiation therapy delivered to the original extent of disease followed by 25 to 35 Gy to the residual abnormalities. RESULTS: The complete response (CR) rate was 89%. With a median follow-up duration of 10 years, disease-free survival of the complete responders is 78% at 15 years and overall survival is 75% at 15 years. For patients with stage I or II disease, disease-free survival was 76% at 15 years and overall survival was 79%; for those with stage III or IV disease, disease-free survival was 82% at 15 years and overall survival was 64%. Age, stage, sex, B symptoms, number of extranodal sites, lactate dehydrogenase (LDH) levels, erythrocyte sedimentation rate, and platelet count did not influence treatment outcome. Treatment-related pneumonitis was noted in 16% of patients (fatal in one), mainly in those older than age 35 years who received total doses of radiation therapy greater than 42 Gy. Fertility is more often preserved with MOPP/ABVD therapy than with MOPP chemotherapy and there appears to be less pulmonary and cardiac disease than with ABVD chemotherapy. Two patients have developed second solid tumors within radiation ports and one relapsed patient developed acute leukemia after MOPP salvage therapy. CONCLUSION: MOPP/ABVD followed by mantle-field radiation therapy is an effective treatment for all stages of Hodgkin's disease that present with a large mediastinal mass. Our data suggest that the large mediastinal mass is a more dominant determinant of prognosis than Ann Arbor stage or other clinical prognostic factors.","['Longo, D L', 'Glatstein, E', 'Duffey, P L', 'Young, R C', 'Ihde, D C', 'Bastian, A W', 'Wilson, W H', 'Wittes, R E', 'Jaffe, E S', 'Hubbard, S M', 'DeVita, V T Jr']","['Longo DL', 'Glatstein E', 'Duffey PL', 'Young RC', 'Ihde DC', 'Bastian AW', 'Wilson WH', 'Wittes RE', 'Jaffe ES', 'Hubbard SM', 'DeVita VT Jr']","['Medicine Branch, Laboratory of Pathology, National Cancer Institute, Bethesda, MD, USA.']",['eng'],,"['Clinical Trial', 'Journal Article']",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,"['11056-06-7 (Bleomycin)', '35S93Y190K (Procarbazine)', '50D9XSG0VR (Mechlorethamine)', '5J49Q6B70F (Vincristine)', '5V9KLZ54CY (Vinblastine)', '7GR28W0FJI (Dacarbazine)', '80168379AG (Doxorubicin)', 'VB0R961HZT (Prednisone)', 'ABVD protocol', 'MOPP protocol']",IM,"['Adolescent', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Bleomycin/administration & dosage', 'Child', 'Combined Modality Therapy', 'Dacarbazine/administration & dosage', 'Disease-Free Survival', 'Doxorubicin/administration & dosage', 'Female', 'Hodgkin Disease/*drug therapy/radiotherapy', 'Humans', 'Male', 'Mechlorethamine/administration & dosage', 'Mediastinal Neoplasms/*drug therapy/radiotherapy', 'Middle Aged', 'Prednisone/administration & dosage', 'Procarbazine/administration & dosage', 'Prospective Studies', 'Treatment Outcome', 'Vinblastine/administration & dosage', 'Vincristine/administration & dosage']",1997/11/18 19:04,2001/03/28 10:01,['1997/11/18 19:04'],"['1997/11/18 19:04 [pubmed]', '2001/03/28 10:01 [medline]', '1997/11/18 19:04 [entrez]']",['10.1200/JCO.1997.15.11.3338 [doi]'],ppublish,J Clin Oncol. 1997 Nov;15(11):3338-46. doi: 10.1200/JCO.1997.15.11.3338.,,,,,,,,,,,,,,,
9363631,NLM,MEDLINE,19971209,20211203,1357-2725 (Print) 1357-2725 (Linking),29,4,1997 Apr,Protein kinase CK2.,551-4,"Protein kinase CK2 is a ubiquitous protein kinase responsible for the phosphorylation of Ser and Thr residues specified by acidic side chains in many proteins, including several key enzymes, growth factor receptors, transcription factors and cytoskeletal proteins. The holoenzyme is composed of two catalytic and two regulatory subunits, the latter having antagonistic roles. CK2 is constitutively active and its targeting seems to be modulated through association with a variety of cellular proteins (e.g. heat shock protein 90 and p53). CK2 is abnormally elevated in proliferating and neoplastic tissues and recent studies suggest that mice overexpressing CK2 develop leukemia. Specific inhibitors of CK2, currently being developed, may have therapeutic potential.","['Pinna, L A']",['Pinna LA'],"['Dipartimento di Chimca Biologica, Universita di Padova, Italy.']",['eng'],,"['Journal Article', 'Review']",Netherlands,Int J Biochem Cell Biol,The international journal of biochemistry & cell biology,9508482,"['EC 2.7.11.1 (Casein Kinase II)', 'EC 2.7.11.1 (Protein Serine-Threonine Kinases)']",IM,"['Animals', 'Casein Kinase II', 'Humans', 'Mice', '*Protein Serine-Threonine Kinases', 'Signal Transduction']",1997/04/01 00:00,1997/11/18 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/11/18 00:01 [medline]', '1997/04/01 00:00 [entrez]']","['S1357-2725(96)00142-2 [pii]', '10.1016/s1357-2725(96)00142-2 [doi]']",ppublish,Int J Biochem Cell Biol. 1997 Apr;29(4):551-4. doi: 10.1016/s1357-2725(96)00142-2.,12,,,,,,,,,,,,,,
9363470,NLM,MEDLINE,19980112,20091119,0367-6102 (Print) 0367-6102 (Linking),72,5,1997 Sep,[Development of thymic tumor in HTLV-I transgenic rats under control of a lymphoid tissue specific promoter].,545-64,"The p40tax protein of Human T lymphocyte virus type I (HTLV-I) is known to be a transactivator not only for the own viral gene but also for the various cellular genes (host genes), including a number of cytokine genes and genes for cell proliferation. Its tumorigenicity was also reported in vivo, such as developments of mesenchymal tumor, neurofibroma, mammary carcinoma and large granular lymphocytic leukemia, using the transgenic technique. To investigate the tumorigenicity in lymphoid tissues, a series of HTLV-I pX transgenic rats (lck-pX rats) which expressed the pX gene under control of lymphocyte specific protein tyrosine kinase (p56 lck) gene type 1 promoter was produced. In some lines of lck-pX rats, pX mRNA was expressed selectively in the thymus, lymph nodes and spleen as expected. However, pX mRNA expression was also detected in other tissues from other lines of lck-pX rats. Thymic tumor with epithelial markers developed in lck-pX rats as early as 8 weeks of age and high expression of pX mRNA was detected in the tumor tissue. This is the demonstration that HTLV-I pX gene causes thymic tumor in the transgenic rat and an lck-pX rat may be a suitable animal model for elucidating pathogenetic role of HTLV-I pX gene in lymphoid tissue neoplasia.","['Kikuchi, K']",['Kikuchi K'],"['First Department of Pathology, Hokkaido University School of Medicine, Sapporo, Japan.']",['jpn'],,"['English Abstract', 'Journal Article']",Japan,Hokkaido Igaku Zasshi,[Hokkaido igaku zasshi] The Hokkaido journal of medical science,17410290R,"['0 (RNA, Messenger)', 'EC 2.7.10.2 (Lymphocyte Specific Protein Tyrosine Kinase p56(lck))']",IM,"['Animals', 'Animals, Genetically Modified', 'Female', '*Gene Transfer Techniques', 'Genes, Viral', '*Genes, pX', 'Human T-lymphotropic virus 1/*genetics', 'Lymphocyte Specific Protein Tyrosine Kinase p56(lck)/*genetics', 'Male', 'Promoter Regions, Genetic', 'RNA, Messenger/analysis', 'Rats', 'Rats, Inbred F344', 'Thymus Neoplasms/*genetics/pathology']",1997/11/18 00:00,1997/11/18 00:01,['1997/11/18 00:00'],"['1997/11/18 00:00 [pubmed]', '1997/11/18 00:01 [medline]', '1997/11/18 00:00 [entrez]']",,ppublish,Hokkaido Igaku Zasshi. 1997 Sep;72(5):545-64.,,,,,,,,,,,,,,,
9363469,NLM,MEDLINE,19980112,20171116,0367-6102 (Print) 0367-6102 (Linking),72,5,1997 Sep,[Immunological analysis of HTLV-I env-pX transgenic rat with various collagen vascular diseases].,529-44,"Human T lymphocyte virus type-I (HTLV-I) is an etiologic agent of not only adult T cell leukemia but also HTLV-I associated myelopathy/tropical spastic paraparesis, HTLV-I associated arthropathy and other immunological disorders, such as Sjogren syndrome, dermatitis, polymyositis, and uveitis. We recently reported that a wide spectrum of collagen vascular diseases, including inflammatory arthropathy resembling rheumatoid arthritis, myocarditis, dermatitis, necrotizing arteritis, myositis and sialoadenitis similar to Sjogren's syndrome, developed in the transgenic rat carrying HTLV-I env-pX region under the control of its own long terminal repeat (env-pX rat). To investigate the pathogenetic role of these diseases, cell surface molecules and functions of lymphocytes from env-pX rats were examined in this study. In env-pX rats with diseases, not only infiltrating lymphocytes in the inflammatory sites but also peripheral lymphocytes expressed a large number of co-stimulating molecules such as CD80/86 and ICAM-1, compared with those of normal rats or rats with adjuvant-induced arthritis or myosin-induced myocarditis. Moreover, the expression of CD80/86 and ICAM-1 was already up-regulated on the surface of peripheral lymphocytes in env-pX rat before developing any diseases. Lymphocytes, taken from env-pX rats immunized with myosin in vivo, showed significantly higher cellular response against myosin in vitro than those of normal rats. Lymphocytes from env-pX rats also showed the hyper-reactivity to the stimulation by super-antigens, but no significant difference of the usage of T cell receptor V beta was found compared with those of normal rats. These results suggest that the env-pX transgene may induce the high expression of CD80/86 and ICAM-1 on the lymphocytes and the resulting hyper-immune responsiveness in env-pX rats.","['Nakamaru, Y']",['Nakamaru Y'],"['Department of Otorhinolaryngology, Hokkaido University School of Medicine, Sapporo, Japan.']",['jpn'],,['Journal Article'],Japan,Hokkaido Igaku Zasshi,[Hokkaido igaku zasshi] The Hokkaido journal of medical science,17410290R,"['0 (Antigens, CD)', '0 (B7-1 Antigen)', '0 (B7-2 Antigen)', '0 (Cd86 protein, rat)', '0 (Histocompatibility Antigens Class II)', '0 (Membrane Glycoproteins)', '126547-89-5 (Intercellular Adhesion Molecule-1)', 'EC 3.6.4.1 (Myosins)']",IM,"['Animals', 'Animals, Genetically Modified', 'Antigens, CD/metabolism', 'B7-1 Antigen/metabolism', 'B7-2 Antigen', 'Collagen Diseases/*etiology', '*Genes, Viral', '*Genes, env', '*Genes, pX', 'Histocompatibility Antigens Class II/metabolism', 'Human T-lymphotropic virus 1/*genetics', 'Intercellular Adhesion Molecule-1/metabolism', 'Lymphocytes/*immunology', 'Membrane Glycoproteins/metabolism', 'Myosins/immunology', 'Promoter Regions, Genetic', 'Rats', 'Rats, Inbred Lew', 'Repetitive Sequences, Nucleic Acid', 'Up-Regulation']",1997/11/18 00:00,1997/11/18 00:01,['1997/11/18 00:00'],"['1997/11/18 00:00 [pubmed]', '1997/11/18 00:01 [medline]', '1997/11/18 00:00 [entrez]']",,ppublish,Hokkaido Igaku Zasshi. 1997 Sep;72(5):529-44.,,,,,,,,,,,,,,,
9363386,NLM,MEDLINE,19971218,20190721,0363-9762 (Print) 0363-9762 (Linking),22,11,1997 Nov,Scintigraphic detection of an occult bleed into a retroperitoneal mass using Tc-99m labeled red blood cells.,765-7,"A 45-year-old man with chronic lymphocytic leukemia and a retroperitoneal mass underwent Tc-99m labeled red blood cell bleeding imaging to localize a bleeding source. The bleeding scan showed a linear accumulation of radiotracer obliquely oriented along the left upper epigastrium to the right midepigastrium. This area of uptake increased in intensity and assumed a more globular appearance throughout the study, but did not change in location. This is the pattern of a retroperitoneal bleed resulting from active hemorrhage into the retroperitoneal mass.","['Ring, D H', 'Silverman, E D']","['Ring DH', 'Silverman ED']","['Department of Radiology, National Naval Medical Center, Bethesda, MD 20889-5600, USA.']",['eng'],,"['Case Reports', 'Journal Article']",United States,Clin Nucl Med,Clinical nuclear medicine,7611109,['7440-26-8 (Technetium)'],IM,"['*Erythrocytes', 'Hemorrhage/complications/*diagnostic imaging', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/complications', 'Male', 'Middle Aged', 'Radionuclide Imaging', 'Retroperitoneal Space/*diagnostic imaging', '*Technetium']",1997/11/18 00:00,1997/11/18 00:01,['1997/11/18 00:00'],"['1997/11/18 00:00 [pubmed]', '1997/11/18 00:01 [medline]', '1997/11/18 00:00 [entrez]']",['10.1097/00003072-199711000-00007 [doi]'],ppublish,Clin Nucl Med. 1997 Nov;22(11):765-7. doi: 10.1097/00003072-199711000-00007.,,,,,,,,,,,,,,,
9363198,NLM,MEDLINE,19971204,20170404,1354-4195 (Print) 1354-4195 (Linking),2,1,1996 Mar,Localization of leukemia inhibitory factor in human endometrium during the menstrual cycle.,18-22,"Leukemia inhibitory factor (LIF) has been shown to be imperative for the implantation of mouse blastocysts. The objective of this study was to examine the pattern of LIF protein in the human endometrium during the menstrual cycle. A low level of LIF was detected in endometrial glands during the proliferative phase. During the luteal phase, LIF staining in the glands appeared stronger in the mid- and late luteal phase than immediately after ovulation. However, a low level of LIF was detected in the stromal cells during the early and midproliferative phase, while only a minimal level was observed during the late proliferative and luteal phases.","['Yang, Z M', 'Chen, D B', 'Le, S P', 'Brown, R W', 'Chuong, C J', 'Harper, M J']","['Yang ZM', 'Chen DB', 'Le SP', 'Brown RW', 'Chuong CJ', 'Harper MJ']","['Department of Obstetrics and Gynecology, Baylor College of Medicine, Houston, Texas, USA.']",['eng'],"['HD 07495/HD/NICHD NIH HHS/United States', 'HD 14048/HD/NICHD NIH HHS/United States']","['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Early Pregnancy,Early pregnancy : biology and medicine : the official journal of the Society for the Investigation of Early Pregnancy,9508879,"['0 (Growth Inhibitors)', '0 (Immune Sera)', '0 (Interleukin-6)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Lymphokines)']",IM,"['Adult', 'Animals', 'Biopsy', 'Endometrium/*chemistry/metabolism', 'Female', 'Fluorescent Antibody Technique, Direct', 'Growth Inhibitors/*analysis/immunology/metabolism', 'Humans', 'Hysterectomy', 'Immune Sera/immunology', 'Immunohistochemistry', '*Interleukin-6', 'Leukemia Inhibitory Factor', 'Lymphokines/*analysis/immunology/metabolism', 'Menstrual Cycle/*metabolism', 'Mice', 'Middle Aged', 'Rabbits']",1996/03/01 00:00,1997/11/18 00:01,['1996/03/01 00:00'],"['1996/03/01 00:00 [pubmed]', '1997/11/18 00:01 [medline]', '1996/03/01 00:00 [entrez]']",,ppublish,Early Pregnancy. 1996 Mar;2(1):18-22.,,,,,,,,,,,,,,,
9362539,NLM,MEDLINE,19971203,20190508,0022-1007 (Print) 0022-1007 (Linking),186,10,1997 Nov 17,In vitro- and ex vivo-derived cytolytic leukocytes from granzyme A x B double knockout mice are defective in granule-mediated apoptosis but not lysis of target cells.,1781-6,"Granzyme (gzm) A and gzmB have been implicated in Fas-independent nucleolytic and cytolytic processes exerted by cytotoxic T (Tc) cells, but the underlying mechanism(s) remains unclear. In this study, we compare the potential of Tc and natural killer (NK) cells of mice deficient in both gzmA and B (gzmAxB-/-) with those from single knockout mice deficient in gzmA (-/-), gzmB (-/-), or perforin (-/-) to induce nuclear damage and lysis in target cells. With the exception of perforin-/-, all in vitro- and ex vivo-derived Tc and NK cell populations from the mutant strains induced 51Cr-release in target cells at levels and with kinetics similar to those of normal mice. This contrasts with their capacity to induce apoptotic nuclear damage in target cells. In gzmAxB-/- mice, Tc/NK-mediated target cell DNA fragmentation was not observed, even after extended incubation periods (10 h), but was normal in gzmA-deficient and only impaired in gzmB-deficient mice in short-term (2-4 h), but not long-term (4-10 h), nucleolytic assays. This suggests that gzmA and B are critical for Tc/NK granule- mediated nucleolysis, with gzmB being the main contributor, while target cell lysis is due solely to perforin and independent of both proteases.","['Simon, M M', 'Hausmann, M', 'Tran, T', 'Ebnet, K', 'Tschopp, J', 'ThaHla, R', 'Mullbacher, A']","['Simon MM', 'Hausmann M', 'Tran T', 'Ebnet K', 'Tschopp J', 'ThaHla R', 'Mullbacher A']","['Max-Planck-Institut fur Immunbiology, Freiburg, Germany. simon@immunbiol.mpg.de']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Exp Med,The Journal of experimental medicine,2985109R,"['0 (Membrane Glycoproteins)', '0 (Pore Forming Cytotoxic Proteins)', '126465-35-8 (Perforin)', 'EC 3.4.21.- (Granzymes)', 'EC 3.4.21.- (Gzmb protein, mouse)', 'EC 3.4.21.- (Serine Endopeptidases)']",IM,"['Animals', 'Apoptosis/*immunology', 'Cytoplasmic Granules/*enzymology/immunology', 'Cytotoxicity Tests, Immunologic', '*Cytotoxicity, Immunologic', 'DNA Fragmentation', 'Female', 'Granzymes', 'Leukemia L1210', 'Lymphoma', 'Male', 'Mast-Cell Sarcoma', 'Membrane Glycoproteins/physiology', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Mice, Knockout', 'Perforin', 'Pore Forming Cytotoxic Proteins', 'Serine Endopeptidases/*deficiency/genetics/physiology', 'T-Lymphocytes, Cytotoxic/*enzymology/immunology/metabolism', 'Tumor Cells, Cultured']",1997/12/31 00:00,1997/12/31 00:01,['1997/12/31 00:00'],"['1997/12/31 00:00 [pubmed]', '1997/12/31 00:01 [medline]', '1997/12/31 00:00 [entrez]']",['10.1084/jem.186.10.1781 [doi]'],ppublish,J Exp Med. 1997 Nov 17;186(10):1781-6. doi: 10.1084/jem.186.10.1781.,,PMC2199142,,,,,,,,,,,,,
