PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,CON,GR,CIN,PMC,TT,SI,OTO,OT,IR,FIR,IRAD,EIN,OID,GN,PS,FPS,CN,LID
9277054,NLM,MEDLINE,19971009,20191024,0925-5710 (Print) 0925-5710 (Linking),66,2,1997 Aug,Hepatosplenic T-cell lymphoma: prolymphocytic transformation 18 months after splenectomy.,227-32,"We report a young woman with pancytopenia and huge splenomegaly who was also found to have peripheral T-cell lymphoma with massive infiltration of T-cell evident in the liver and spleen. A liver biopsy showed predominant sinusoidal infiltration of pan-T cell antibody-stained T-lymphoid cells. Histologic examination of the spleen revealed numerous tumor cells predominantly infiltrated in the cords and sinuses of the red pulp, which were identical to those described in the liver. Several clusters of small round abnormal cells were observed in marrow cytology. Although the patient felt well during 18 months after the splenectomy was done, the patient eventually manifested a huge hepatomegaly, showed increasing white blood cell count to 42 x 10(9)/l, and numerous prolymphocytes (66.9%) in the bone marrow. This change represented a prolymphocytic transformation of the patient's original hepatosplenic T-cell lymphoma.","['Sohn, S K', 'Ahn, T', 'Kim, D H', 'Jung, J T', 'Hyun, D W', 'Lee, Y H', 'Suh, C S', 'Lee, J', 'Lee, K B']","['Sohn SK', 'Ahn T', 'Kim DH', 'Jung JT', 'Hyun DW', 'Lee YH', 'Suh CS', 'Lee J', 'Lee KB']","['Division of Hematology and Oncology, Kyungpook National University Hospital, Taegu, South Korea.']",['eng'],"['Case Reports', 'Journal Article']",Japan,Int J Hematol,International journal of hematology,9111627,"['5J49Q6B70F (Vincristine)', '80168379AG (Doxorubicin)', '9PHQ9Y1OLM (Prednisolone)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Blast Crisis/drug therapy/*pathology', 'Bone Marrow/pathology', 'Combined Modality Therapy', 'Doxorubicin/administration & dosage', 'Female', 'Hepatomegaly/etiology', 'Humans', 'Liver Neoplasms/complications/*pathology', 'Lymphoma, T-Cell, Peripheral/complications/*pathology/surgery', 'Methotrexate/administration & dosage', 'Prednisolone/administration & dosage', 'Remission Induction', '*Splenectomy', 'Splenic Neoplasms/complications/*pathology/surgery', 'Splenomegaly/etiology/surgery', 'Vincristine/administration & dosage']",1997/08/01 00:00,1997/08/01 00:01,['1997/08/01 00:00'],"['1997/08/01 00:00 [pubmed]', '1997/08/01 00:01 [medline]', '1997/08/01 00:00 [entrez]']","['S092557109700594X [pii]', '10.1016/s0925-5710(97)00594-x [doi]']",ppublish,Int J Hematol. 1997 Aug;66(2):227-32. doi: 10.1016/s0925-5710(97)00594-x.,,,,,,,,,,,,,,,,,,,
9277052,NLM,MEDLINE,19971009,20191024,0925-5710 (Print) 0925-5710 (Linking),66,2,1997 Aug,TEL/AML1 fusion gene resulting from a cryptic t(12;21) is uncommon in adult patients with B-cell lineage ALL and CML lymphoblastic transformation.,213-8,"TEL is a new member of the ETS-like family on chromosome 12 and forms fusion genes with several partners in leukemia. Among these fusion genes, the TEL/AML1 translocation resulting from t(12;21) is found in approximately one quarter of the childhood B-cell lineage acute lymphoblastic leukemia (ALL) cases and its prognosis is excellent. We examined 42 adult patients with B-cell lineage ALL and 13 adult patients with lymphoblastic transformation of chronic myeloid leukemia (CML) to detect TEL/AML1 fusion genes using the reverse transcriptase-polymerase chain reaction (RT-PCR) and Southern blotting, but no translocation was detected. These findings indicate that absence of the TEL/AML1 fusion transcript partly correlates with the poorer outcome of adult B-cell lineage ALL as compared with childhood ALL and the TEL/AML1 fusion transcript is specific for pediatric B-cell lineage ALL.","['Hoshino, K', 'Asou, N', 'Suzushima, H', 'Osato, M', 'Yamasaki, H', 'Okubo, T', 'Nishimura, S', 'Kiyokawa, T', 'Kawano, F', 'Takatsuki, K']","['Hoshino K', 'Asou N', 'Suzushima H', 'Osato M', 'Yamasaki H', 'Okubo T', 'Nishimura S', 'Kiyokawa T', 'Kawano F', 'Takatsuki K']","['Second Department of Internal Medicine, Kumamoto University School of Medicine, Japan.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Int J Hematol,International journal of hematology,9111627,"['0 (Biomarkers, Tumor)', '0 (Core Binding Factor Alpha 2 Subunit)', '0 (Neoplasm Proteins)', '0 (Oncogene Proteins, Fusion)', '0 (TEL-AML1 fusion protein)']",IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Animals', 'Biomarkers, Tumor/analysis/*genetics', 'Blast Crisis/*genetics/mortality/pathology', 'Burkitt Lymphoma/*genetics/mortality', 'Cell Transformation, Neoplastic/genetics', 'Child', 'Chromosomes, Human, Pair 12/*genetics/ultrastructure', 'Chromosomes, Human, Pair 21/*genetics/ultrastructure', 'Core Binding Factor Alpha 2 Subunit', 'Gene Expression Regulation, Leukemic', 'Gene Frequency', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics/mortality/pathology', 'Middle Aged', 'Neoplasm Proteins/analysis/*genetics/physiology', '*Oncogene Proteins, Fusion', 'Prognosis', '*Translocation, Genetic']",1997/08/01 00:00,1997/08/01 00:01,['1997/08/01 00:00'],"['1997/08/01 00:00 [pubmed]', '1997/08/01 00:01 [medline]', '1997/08/01 00:00 [entrez]']","['S0925571097000364 [pii]', '10.1016/s0925-5710(97)00036-4 [doi]']",ppublish,Int J Hematol. 1997 Aug;66(2):213-8. doi: 10.1016/s0925-5710(97)00036-4.,,,,,,,,,,,,,,,,,,,
9277051,NLM,MEDLINE,19971009,20191024,0925-5710 (Print) 0925-5710 (Linking),66,2,1997 Aug,Prediction of growth sensitivity of acute promyelocytic leukemia cells to granulocyte colony-stimulating factor using 7AAD/PY during administration of all-trans retinoic acid.,203-12,"We discussed utility of cell cycle and phenotypic analysis of acute promyelocytic leukemia (APL) cells using 7AAD/PY for the prediction of efficacy and risks of all-trans retinoic acid (ATRA) and granulocyte colony-stimulating factor (G-CSF) administration to patients with APL. Serial changes in phenotype and cell kinetics of APL cells from two patients were analyzed during ATRA administration. CD15 and CD11b were expressed on the APL cells in vivo as neutrophil maturation markers, while growth activity of the cells was decreased during ATRA administration. Using 7AAD/PY, changes in phenotype and cell kinetics were clearly detected after 2 days of cultivation with ATRA and/or G-CSF. In one patient, APL cells harvested from marrow during the first 3 weeks of ATRA administration showed distinct growth sensitivity to G-CSF ex vivo, and the cells harvested after a 4-week exposure to ATRA appeared to have lost this sensitivity. In this patient, G-CSF could be safely administered after 4 weeks of ATRA therapy. 7AAD/PY analysis is useful for predicting growth sensitivity of APL cells to G-CSF during ATRA administration.","['Toba, K', 'Koike, T', 'Wang, Y', 'Nagai, K', 'Takahashi, H', 'Hashimoto, S', 'Uesugi, Y', 'Aizawa, Y']","['Toba K', 'Koike T', 'Wang Y', 'Nagai K', 'Takahashi H', 'Hashimoto S', 'Uesugi Y', 'Aizawa Y']","['First Department of Internal Medicine, Niigata University, School of Medicine, Japan.']",['eng'],"['Case Reports', 'Journal Article']",Japan,Int J Hematol,International journal of hematology,9111627,"['0 (Antineoplastic Agents)', '0 (Fluorescent Dyes)', '0 (Immunologic Factors)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '1CC1JFE158 (Dactinomycin)', '5688UTC01R (Tretinoin)', '7240-37-1 (7-aminoactinomycin D)', 'EC 3.4.11.2 (CD13 Antigens)', 'W659G165T1 (Pyronine)']",IM,"['Adult', 'Aged', 'Antineoplastic Agents/*pharmacology/therapeutic use', 'Bone Marrow/pathology', 'CD13 Antigens/analysis', 'Cell Cycle/drug effects', 'Cell Division/drug effects', 'Dactinomycin/analogs & derivatives', 'Drug Synergism', 'Fatal Outcome', 'Female', 'Flow Cytometry', 'Fluorescent Dyes', 'Granulocyte Colony-Stimulating Factor/*pharmacology/therapeutic use', 'Humans', 'Immunologic Factors/*pharmacology/therapeutic use', 'Immunophenotyping', 'Leukemia, Promyelocytic, Acute/drug therapy/*pathology/therapy', 'Male', 'Neoplastic Stem Cells/*drug effects/pathology', 'Pyronine', 'Remission Induction', 'Salvage Therapy', 'Tretinoin/*pharmacology/therapeutic use', 'Tumor Cells, Cultured']",1997/08/01 00:00,1997/08/01 00:01,['1997/08/01 00:00'],"['1997/08/01 00:00 [pubmed]', '1997/08/01 00:01 [medline]', '1997/08/01 00:00 [entrez]']","['S0925571097000340 [pii]', '10.1016/s0925-5710(97)00034-0 [doi]']",ppublish,Int J Hematol. 1997 Aug;66(2):203-12. doi: 10.1016/s0925-5710(97)00034-0.,,,,,,,,,,,,,,,,,,,
9277050,NLM,MEDLINE,19971009,20191024,0925-5710 (Print) 0925-5710 (Linking),66,2,1997 Aug,Elevated serum levels of eosinophil major basic protein in patients with myeloproliferative disorders without eosinophilia.,197-202,"The 12- to 14-kDa eosinophil major basic protein (MBP) is primarily translated as 25-kDa pro-MBP. HL-60, a promyelocytic leukemia cell line, produces pro-MBP but not MBP, suggesting production of pro-MBP by immature granulocytes. We measured the serum levels of total MBP, using an ELISA that detects both pro-MBP and MBP, in 25 patients with leukemia (six acute myelogenous leukemia (AML), seven acute lymphoblastic leukemia (ALL), eight chronic myelogenous leukemia (CML), four chronic lymphocytic leukemia (CLL)) and five recipients of allogeneic bone marrow transplants (BMT). None of these patients except one AML (M4Eo) showed eosinophilia. Serum levels of total MBP were elevated in all the patients with CML and AML, but not in any of those with ALL or CLL. In all four recipients of BMT who obtained engraftments, serum levels of total MBP started to increase 12-14 days after BMT and reached the highest levels (4-10 times the basal levels) at days 19-32. In a recipient of BMT who did not obtain an engraftment, serum levels of total MBP were not increased. These findings suggested that pro-MBP could be used as a marker for proliferation of immature granulocytes with normal or malignant nature.","['Mukai, H Y', 'Ninomiya, H', 'Nagasawa, T', 'Abe, T']","['Mukai HY', 'Ninomiya H', 'Nagasawa T', 'Abe T']","['Division of Hematology, University of Tsukuba, Ibaraki, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Int J Hematol,International journal of hematology,9111627,"['0 (Biomarkers, Tumor)', '0 (Blood Proteins)', '0 (Eosinophil Granule Proteins)', '0 (Neoplasm Proteins)', '0 (Protein Precursors)', 'EC 3.1.- (Ribonucleases)']",IM,"['Acute Disease', 'Adult', 'Biomarkers, Tumor/blood', 'Blood Proteins/*analysis', 'Bone Marrow Transplantation', 'Enzyme-Linked Immunosorbent Assay', 'Eosinophil Granule Proteins', 'Eosinophilia/blood/etiology', 'Female', 'Granulocytes/metabolism', 'HL-60 Cells/chemistry', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/blood', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/blood', 'Leukemia, Myeloid/blood', 'Leukemia, Myelomonocytic, Acute/blood/complications', 'Male', 'Myeloproliferative Disorders/*blood', 'Neoplasm Proteins/*blood', 'Neoplastic Stem Cells/metabolism', 'Protein Precursors/blood', '*Ribonucleases', 'Transplantation, Homologous']",1997/08/01 00:00,1997/08/01 00:01,['1997/08/01 00:00'],"['1997/08/01 00:00 [pubmed]', '1997/08/01 00:01 [medline]', '1997/08/01 00:00 [entrez]']","['S0925571097005884 [pii]', '10.1016/s0925-5710(97)00588-4 [doi]']",ppublish,Int J Hematol. 1997 Aug;66(2):197-202. doi: 10.1016/s0925-5710(97)00588-4.,,,,,,,,,,,,,,,,,,,
9277049,NLM,MEDLINE,19971009,20191024,0925-5710 (Print) 0925-5710 (Linking),66,2,1997 Aug,"Subcellular localization of the MEN, MLL/MEN and truncated MLL proteins expressed in leukemic cells carrying the t(11;19)(q23;p13.1) translocation.",189-95,"The t(11;19)(q23;p13.1) translocation is exclusively associated with myeloid leukemias. Previously, we cloned several species of MLL/MEN chimeric cDNAs in a patient with myeloid leukemia carrying the t(11;19)(q23;p13.1) translocation. The MEN sequence directly followed the 5' region of MLL cDNA in some species and otherwise there presented an inserted sequence of 120 bp between the MLL and MEN sequences in others. Because the insertion sequence contained an in-frame termination codon, they coded only for the NH2-terminal part of MLL (truncated MLL). We also cloned the normal MEN cDNA in full-length with a cDNA library derived from K562 cells. We expressed the normal MEN, MLL/MEN chimeric and truncated MLL proteins in COS7 cells with the corresponding cDNAs and detected them with antibodies raised against the MEN and MLL peptides. Immunostaining and subcellular fractionation showed nuclear localization of all these proteins. These findings suggested that MLL/MEN chimeric cDNAs were actually translated into both MLL/MEN fusion and truncated MLL proteins and that they were localized in the nucleus of leukemic cells. Recently, Conaway et al. reported that MEN is an RNA polymerase II elongation factor. The leukemogenesis by the t(11;19)(q23;p13.1) translocation may have resulted from the alteration of transcription regulation induced by the MLL/MEN fusion protein and/or the truncated MLL protein.","['Kanda, Y', 'Mitani, K', 'Tanaka, T', 'Tanaka, K', 'Ogawa, S', 'Yazaki, Y', 'Hirai, H']","['Kanda Y', 'Mitani K', 'Tanaka T', 'Tanaka K', 'Ogawa S', 'Yazaki Y', 'Hirai H']","['Third Department of Internal Medicine, Faculty of Medicine, University of Tokyo, Japan.']",['eng'],['Journal Article'],Japan,Int J Hematol,International journal of hematology,9111627,"['0 (DNA, Complementary)', '0 (DNA, Neoplasm)', '0 (DNA-Binding Proteins)', '0 (KMT2A protein, human)', '0 (Peptide Elongation Factors)', '0 (Recombinant Fusion Proteins)', '0 (Transcription Factors)', '149025-06-9 (Myeloid-Lymphoid Leukemia Protein)', 'EC 2.1.1.43 (Histone-Lysine N-Methyltransferase)']",IM,"['Animals', 'COS Cells', 'Cell Transformation, Neoplastic', 'Chromosomes, Human, Pair 11/*genetics/ultrastructure', 'Chromosomes, Human, Pair 19/*genetics/ultrastructure', 'Cloning, Molecular', 'DNA, Complementary/genetics', 'DNA, Neoplasm/genetics', 'DNA-Binding Proteins/analysis/biosynthesis/*genetics', 'Histone-Lysine N-Methyltransferase', 'Humans', 'Leukemia, Myeloid/*genetics/pathology', 'Myeloid-Lymphoid Leukemia Protein', 'Peptide Elongation Factors/analysis/biosynthesis/*genetics', '*Proto-Oncogenes', 'Recombinant Fusion Proteins/analysis/*genetics', 'Subcellular Fractions/*chemistry', '*Transcription Factors', '*Translocation, Genetic', 'Zinc Fingers/genetics']",1997/08/01 00:00,1997/08/01 00:01,['1997/08/01 00:00'],"['1997/08/01 00:00 [pubmed]', '1997/08/01 00:01 [medline]', '1997/08/01 00:00 [entrez]']","['S0925571097000352 [pii]', '10.1016/s0925-5710(97)00035-2 [doi]']",ppublish,Int J Hematol. 1997 Aug;66(2):189-95. doi: 10.1016/s0925-5710(97)00035-2.,,,,,,,,,,,,,,,,,,,
9277045,NLM,MEDLINE,19971009,20191024,0925-5710 (Print) 0925-5710 (Linking),66,2,1997 Aug,Identification of the truncated Duffy mRNAs in erythroid cells.,153-8,"Chaudhruri et al. reported the Duffy glycoprotein cDNA (Fy71-81) (Proc Natl Acad Sci USA 1990; 90; 10793), and we cloned a novel Duffy cDNA named Fy0.1 (Blood 1996; 87: 378). Reverse transcription-polymerase chain reaction analysis revealed the presence of the four truncated mRNAs associated with both transcripts. The truncated Duffy mRNAs is predominantly present in reticulocytes but is not detected in the erythroblasts. The sequencing data indicated that the truncated Duffy mRNAs were processed by splicing. Further study is needed to clarify the biological role of the truncated Duffy mRNA in reticulocytes.","['Omi, T', 'Iwamoto, S', 'Kajii, E']","['Omi T', 'Iwamoto S', 'Kajii E']","['Department of Legal Medicine and Human Genetics, Jichi Medical School, Tochigi-ken, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Int J Hematol,International journal of hematology,9111627,"['0 (DNA, Complementary)', '0 (Duffy Blood-Group System)', '0 (RNA, Messenger)']",IM,"['Animals', 'COS Cells', 'Cloning, Molecular', 'DNA, Complementary/genetics', 'Duffy Blood-Group System/*genetics', 'Erythroblasts/*chemistry', 'Erythropoiesis/*genetics', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/pathology', 'Polymerase Chain Reaction', 'RNA Splicing', 'RNA, Messenger/*blood', 'Reticulocytes/*chemistry', 'Transcription, Genetic', 'Transfection', 'Tumor Cells, Cultured']",1997/08/01 00:00,1997/08/01 00:01,['1997/08/01 00:00'],"['1997/08/01 00:00 [pubmed]', '1997/08/01 00:01 [medline]', '1997/08/01 00:00 [entrez]']","['S0925571097005914 [pii]', '10.1016/s0925-5710(97)00591-4 [doi]']",ppublish,Int J Hematol. 1997 Aug;66(2):153-8. doi: 10.1016/s0925-5710(97)00591-4.,,,,,,,,,,,,,,,,,,,
9276987,NLM,MEDLINE,19971021,20151119,0236-6290 (Print) 0236-6290 (Linking),45,3,1997,Avian tumor viruses: persistent and evolving pathogens.,251-66,"Most neoplasias of lymphoid and other hematopoietic cells in commercial poultry are caused by viruses which belong to one of four distinct groups. Marek's disease virus (MDV) is an oncogenic herpesvirus. Avian leukosis virus (ALV), reticuloendotheliosis virus (REV) and lymphoproliferative disease virus (LPDV) are oncogenic retroviruses. Each group is distinguished by nucleic acid type, molecular structure, antigenicity, epidemiology, host range and other characteristics. However, most of these viruses have in common a unique ability to persist, both in the host and in the ecosystem. In addition, both the viruses and the virus-host relationships for several members of the group have demonstrated a propensity to evolve with time, creating new dilemmas for diagnosis and control. A focus on the persistence and evolution of avian tumor viruses will be used to address a number of current issues with individual viruses of economic importance. Issues of primary concern include (1) the evolution of MDV towards greater virulence with concomitant reduction of vaccine efficacy and expansion of host range, (2) the emergence of subgroup J ALV as a major pathogen in meat-type breeder stocks, and (3) the increasing prevalence of REV and its evolving role as a pathogen in chickens and turkeys.","['Witter, R L']",['Witter RL'],"['Avian Disease and Oncology Laboratory, USDA Agricultural Research Service, East Lansing, Michigan, USA.']",['eng'],"['Journal Article', 'Review']",Hungary,Acta Vet Hung,Acta veterinaria Hungarica,8406376,,IM,"['Animals', 'Avian Leukosis/epidemiology/virology', 'Avian Leukosis Virus/pathogenicity', 'Bird Diseases/epidemiology/*virology', 'Birds', '*Chickens', 'Gammaherpesvirinae/pathogenicity', 'Herpesviridae Infections/epidemiology/veterinary/virology', 'Herpesvirus 2, Gallid/pathogenicity', 'Marek Disease/epidemiology/virology', 'Oncogenic Viruses/*pathogenicity', 'Poultry Diseases/epidemiology/*virology', 'Prevalence', 'Reticuloendotheliosis virus/pathogenicity', 'Retroviridae Infections/epidemiology/veterinary/virology', 'Tumor Virus Infections/epidemiology/*veterinary/virology', '*Turkeys']",1997/01/01 00:00,1997/01/01 00:01,['1997/01/01 00:00'],"['1997/01/01 00:00 [pubmed]', '1997/01/01 00:01 [medline]', '1997/01/01 00:00 [entrez]']",,ppublish,Acta Vet Hung. 1997;45(3):251-66.,37,,,,,,,,,,,,,,,,,,
9276986,NLM,MEDLINE,19971021,20151119,0236-6290 (Print) 0236-6290 (Linking),45,3,1997,Viral diseases of the immune system and strategies to control infectious bursal disease by vaccination.,239-49,"Viral infections which are immunosuppressive can affect the economics of poultry production, often as a result of the chicken's increased susceptibility to secondary infections and sub-optimal response to vaccinations. The mechanism of this immunosuppression has been studied in detail for certain chicken viruses. The replicating virus can have both direct and indirect effects on the cells of the immune system. The special role of the bursa of Fabricius, as a lympho-epithelial organ, will be mentioned. The effects of oncogenic viruses (MDV, REV and ALV) on the immune system will be discussed as will the present status of our knowledge on the immunosuppressive effects of certain respiratory viruses such as ILT, NDV and reovirus. Two major immunosuppressive agents are CAV and IBDV. The effects of IBDV will be described in more detail because of its economic importance. Advances made in the molecular biology of both the virus and the immune system give new opportunities to control the disease by vaccination. Successful vaccination strategies applied in the past and options for the future will be discussed.","['Lutticken, D']",['Lutticken D'],"['Intervet International B. V., AA Boxmeer, The Netherlands.']",['eng'],"['Journal Article', 'Review']",Hungary,Acta Vet Hung,Acta veterinaria Hungarica,8406376,['0 (Viral Vaccines)'],IM,"['Animals', 'Avian Leukosis/immunology/prevention & control', 'Avian Leukosis Virus/immunology', 'Birnaviridae Infections/immunology/prevention & control/veterinary', 'Chicken anemia virus/immunology/physiology', '*Chickens', 'Circoviridae Infections/immunology/prevention & control/veterinary', 'Herpesvirus 2, Gallid/immunology/physiology', 'Immune System/immunology/physiology/*virology', 'Immune Tolerance', 'Immunization/methods/*veterinary', 'Infectious bursal disease virus/immunology/physiology', 'Marek Disease/immunology/prevention & control', 'Poultry Diseases/immunology/*prevention & control', 'Reticuloendotheliosis virus/immunology/physiology', 'Retroviridae Infections/immunology/prevention & control/veterinary', 'Tumor Virus Infections/immunology/prevention & control/veterinary', '*Viral Vaccines/administration & dosage/economics/immunology', 'Virus Diseases/immunology/prevention & control/*veterinary']",1997/01/01 00:00,1997/01/01 00:01,['1997/01/01 00:00'],"['1997/01/01 00:00 [pubmed]', '1997/01/01 00:01 [medline]', '1997/01/01 00:00 [entrez]']",,ppublish,Acta Vet Hung. 1997;45(3):239-49.,37,,,,,,,,,,,,,,,,,,
9276968,NLM,MEDLINE,19970929,20150901,0255-6596 (Print) 0255-6596 (Linking),21,2,1997 Apr,Identification of classic and complex t(15;17) and/or RAR alpha/PML gene fusion in APL by cytogenetic and dual color-FISH techniques.,54-60,"Acute promyelocytic leukemia (APL) is a malignant condition characterized by t(15;17)(q22;q12), which fuses the PML gene on chromosome 15 to the retinoic acid receptor alpha (RAR alpha) gene on chromosome 17. In this study, t(15;17) was identified cytogenetically by using the conventional cytogenetic technique, and its molecular counterpart RAR alpha/PML fusion on chromosome 17 on interphase nuclei was further confirmed by means of dual color- (DC-) fluorescence in situ hybridization (FISH) on serial bone marrow (BM) and peripheral blood (PB) samples from APL patients at different stages of the disease. Overall, our findings indicate that interphase DC-FISH analysis can be a useful technique as an adjunct to conventional cytogenetic investigation for detecting the presence of RAR alpha/PML fusion in APL.","['Acar, H', 'Dundar, M', 'Stewart, J']","['Acar H', 'Dundar M', 'Stewart J']","['Department of Medical Genetics, Selcuk University, Faculty of Medicine, Konya, Turkey.']",['eng'],['Journal Article'],China (Republic : 1949- ),Proc Natl Sci Counc Repub China B,"Proceedings of the National Science Council, Republic of China. Part B, Life sciences",8502426,"['0 (Neoplasm Proteins)', '0 (Oncogene Proteins, Fusion)', '0 (promyelocytic leukemia-retinoic acid receptor alpha fusion oncoprotein)']",IM,"['Adolescent', 'Adult', 'Bone Marrow/pathology', 'Child', 'Child, Preschool', 'Chromosomes, Human, Pair 15/*genetics/ultrastructure', 'Chromosomes, Human, Pair 17/*genetics/ultrastructure', 'Female', 'Humans', 'In Situ Hybridization, Fluorescence', 'Interphase', 'Leukemia, Promyelocytic, Acute/*genetics/pathology', 'Male', 'Middle Aged', 'Neoplasm Proteins/*genetics', 'Oncogene Proteins, Fusion/*genetics', 'Oncogenes', '*Translocation, Genetic']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",,ppublish,Proc Natl Sci Counc Repub China B. 1997 Apr;21(2):54-60.,,,,,,,,,,,,,,,,,,,
9276282,NLM,MEDLINE,19971006,20051116,1064-3745 (Print) 1064-3745 (Linking),75,,1997,Cytogenetic techniques for human leukemias.,323-39,,"['Swansbury, G J']",['Swansbury GJ'],"['Department of Cytogenetics, Royal Marsden NHS Trust Hospital, Surrey, UK.']",['eng'],"['Journal Article', 'Review']",United States,Methods Mol Biol,"Methods in molecular biology (Clifton, N.J.)",9214969,,IM,"['Chromosomes, Human', 'Cytogenetics/*methods', 'Humans', 'Leukemia/*genetics']",1997/01/01 00:00,1997/01/01 00:01,['1997/01/01 00:00'],"['1997/01/01 00:00 [pubmed]', '1997/01/01 00:01 [medline]', '1997/01/01 00:00 [entrez]']",['10.1385/0-89603-441-0:323 [doi]'],ppublish,Methods Mol Biol. 1997;75:323-39. doi: 10.1385/0-89603-441-0:323.,20,,,,,,,,,,,,,,,,,,
