PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CIN,RF,PMC,SI,GR,CON,TT,EFR,MID,EIN,CRF,OID,OTO,OT,GN,ROF
9156244,NLM,MEDLINE,19970708,20060929,0268-3369 (Print) 0268-3369 (Linking),19,7,1997 Apr,Absence of detectable PML-RAR alpha fusion transcripts in long-term remission patients after BMT for acute promyelocytic leukemia.,679-83,"Twenty patients with APL in long-term remission after BMT were analyzed for the presence of the PML-RAR alpha fusion gene by RT-PCR. Ten patients had undergone autologous BMT (six of them peripheral blood stem cell transplantation) and 10 allogeneic BMT. A total of 60 samples were examined by two different protocols. Of the eight patients studied just before conditioning, five showed PML-RAR alpha transcript prior to transplantation. Three of them were in CR and became PCR negative early post-transplantation. The other two patients, that were not in CR before transplant, remained PCR positive, relapsed early post-transplant and died. In the remaining patients no PML-RAR alpha transcripts were visible throughout their post-BMT courses. Our data show that long-term remission after BMT in APL patients is associated with eradication of cells carrying the PML-RAR alpha transcript, and that continued positivity of this test predicts subsequent relapse. The fact of the disappearance of PML-RAR alpha transcript early after BMT in patients previously positive suggest that transplant is capable of curing APL mainly through antileukemic action of the conditioning regimen and therefore, transplantation must be indicated in CR patients if a positive RT-PCR remains after treatment with ATRA plus chemotherapy.","['Roman, J', 'Martin, C', 'Torres, A', 'Jimenez, M A', 'Andres, P', 'Flores, R', 'de la Torre, M J', 'Sanchez, J', 'Serrano, J', 'Falcon, M']","['Roman J', 'Martin C', 'Torres A', 'Jimenez MA', 'Andres P', 'Flores R', 'de la Torre MJ', 'Sanchez J', 'Serrano J', 'Falcon M']","['Department of Hematology, Reina Sofia Hospital, Cordoba, Spain.']",['eng'],['Journal Article'],England,Bone Marrow Transplant,Bone marrow transplantation,8702459,"['0 (Neoplasm Proteins)', '0 (Oncogene Proteins, Fusion)', '0 (promyelocytic leukemia-retinoic acid receptor alpha fusion oncoprotein)']",IM,"['*Bone Marrow Transplantation', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Leukemia, Promyelocytic, Acute/*genetics/therapy', 'Neoplasm Proteins/analysis/*genetics', 'Oncogene Proteins, Fusion/analysis/*genetics', 'Polymerase Chain Reaction', 'Transcription, Genetic']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",['10.1038/sj.bmt.1700712 [doi]'],ppublish,Bone Marrow Transplant. 1997 Apr;19(7):679-83. doi: 10.1038/sj.bmt.1700712.,,,,,,,,,,,,,,,,
9156243,NLM,MEDLINE,19970708,20060424,0268-3369 (Print) 0268-3369 (Linking),19,7,1997 Apr,Treatment-related mortality in 1000 consecutive patients receiving high-dose chemotherapy and peripheral blood progenitor cell transplantation in community cancer centers.,671-8,"High-dose chemotherapy (HDC) with autologous peripheral blood progenitor cell (PBPC) is being increasingly utilized as a therapeutic modality for patients with chemotherapy-sensitive disease. Several published HDC regimens have become relatively widely used. The purpose of this analysis was to determine treatment-related mortality (TRM) following administration of five different HDC regimens in community cancer centers. A retrospective evaluation of 1000 consecutive patients with leukemia, non-Hodgkin's lymphoma, Hodgkin's disease, multiple myeloma, sarcoma, ovarian cancer, or breast cancer who received one of five published HDC regimens followed by PBPC infusion over a 5-year period in community cancer centers was performed to determine TRM. Fifty-nine patients (5.9%) died within 100 days of PBPC infusion. Twenty-five patients (2.5%) died predominantly of causes related to disease progression. Thirty-four patients (3.4%) died of TRM, 15 patients (1.5%) died from infection and 19 (1.9%) died from regimen-related toxicities (RRT). In a logistic model, increasing age (P = 0.001) and lower numbers of CD34+ cells/kg (P = 0.003) were associated with an increased risk of 100-day TRM. High-dose cyclophosphamide, thiotepa, and carboplatin was associated with a lower risk of mortality than other regimens (P = 0.0001). High-dose chemotherapy and autologous PBPC support can be performed in community cancer centers with relative safety. Patient age, the type of preparative regimen and the number of CD34+ cells infused were important determinates of mortality.","['Weaver, C H', 'Schwartzberg, L S', 'Hainsworth, J', 'Greco, F A', 'Li, W', 'Buckner, C D', 'West, W H']","['Weaver CH', 'Schwartzberg LS', 'Hainsworth J', 'Greco FA', 'Li W', 'Buckner CD', 'West WH']","['Clinical Research Division of Response Oncology Inc, Memphis, TN, USA.']",['eng'],['Journal Article'],England,Bone Marrow Transplant,Bone marrow transplantation,8702459,,IM,"['Age Factors', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Combined Modality Therapy/mortality', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Neoplasms/mortality/*therapy', 'Risk Factors', 'Treatment Outcome']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",['10.1038/sj.bmt.1700713 [doi]'],ppublish,Bone Marrow Transplant. 1997 Apr;19(7):671-8. doi: 10.1038/sj.bmt.1700713.,,,,,,,,,,,,,,,,
9156241,NLM,MEDLINE,19970708,20071115,0268-3369 (Print) 0268-3369 (Linking),19,7,1997 Apr,Plasma levels of granulocyte colony-stimulating factor in patients after allogeneic bone marrow transplantation for chronic myeloid leukemia correlate with engraftment of transplanted marrow.,653-9,"Granulocyte colony-stimulating factor (G-CSF) is considered to play a pivotal role in hemopoietic regulation. Its pharmacological application is reported to shorten chemotherapy-induced neutropenia as well as time to engraftment in patients after bone marrow transplantation (BMT). In order possibly to establish further rationale for G-CSF treatment strategies in patients undergoing BMT, we evaluated G-CSF plasma levels of 89 patients after allogeneic BMT for chronic myeloid leukemia (CML). EDTA anti-coagulated plasma samples were collected starting on day -1 (before grafting) and thereafter twice weekly for four consecutive weeks. G-CSF levels were estimated by enzyme immunoassay. Patients with late (> 30 days) bone marrow engraftment had consistently higher G-CSF levels at day +1 (after grafting) compared to patients with early (< or = 30 days) engraftment, while all patients had low plasma levels on day -1/0. Mean G-CSF plasma levels and time to engraftment were correlated (r = 0.79). In univariate analyses, high G-CSF levels at days +1, +4, +7, +10 and several clinical variables (such as TBI, unrelated donor transplant, state of disease) were predictive of late engraftment. Further analysis by multivariate Cox regression resulted in the following predictive model: high G-CSF plasma levels at day +7 and +10 (after grafting), in combination with a blastic phase of the disease were highly predictive of late engraftment. The significantly higher G-CSF levels in patients with impaired engraftment may reflect early compensating mechanisms of the hemopoietic system, which should be investigated further.","['Busch, F W', 'Pilgrim, T B', 'Kramer, A', 'Ehninger, G']","['Busch FW', 'Pilgrim TB', 'Kramer A', 'Ehninger G']","['Medizinische Universitatsklinik, Tubingen, Germany.']",['eng'],['Journal Article'],England,Bone Marrow Transplant,Bone marrow transplantation,8702459,['143011-72-7 (Granulocyte Colony-Stimulating Factor)'],IM,"['Adolescent', 'Adult', 'Age Factors', '*Bone Marrow Transplantation', 'Child', 'Child, Preschool', '*Graft Survival', 'Granulocyte Colony-Stimulating Factor/*blood', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/blood/*therapy', 'Predictive Value of Tests', 'Sex Factors', 'Transplantation, Homologous']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",['10.1038/sj.bmt.1700722 [doi]'],ppublish,Bone Marrow Transplant. 1997 Apr;19(7):653-9. doi: 10.1038/sj.bmt.1700722.,['Bone Marrow Transplant. 1998 Mar;21(5):533-4. PMID: 9535050'],,,,,,,,,,,,,,,
9156240,NLM,MEDLINE,19970708,20071115,0268-3369 (Print) 0268-3369 (Linking),19,7,1997 Apr,Autologous blood cell transplantation in B-CLL: response to chemotherapy prior to mobilization predicts the stem cell yield.,647-51,"Successful stem cell mobilization and collection is possible in B-CLL after a favorable response to preceding chemotherapy, and also after treatment with the new nucleoside analogues fludarabine and cladribine. A poor response, on the other hand, seemed to predict a mobilization failure. CD34+ cell selection resulted in a 2- to 3-log reduction of the CLL cells in the harvests. Engraftment with both unselected and selected progenitor cells was rapid, and need for hospitalization was short. High-dose therapy with stem cell rescue appears to be capable of inducing CRs of high quality, but so far the follow-up is too short to define whether this will be translated into prolonged disease-free survival.","['Itala, M', 'Pelliniemi, T T', 'Rajamaki, A', 'Remes, K']","['Itala M', 'Pelliniemi TT', 'Rajamaki A', 'Remes K']","['Department of Medicine, Turku University Central Hospital, Finland.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,,IM,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Combined Modality Therapy', 'Female', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*therapy', 'Male', 'Middle Aged', 'Prognosis', 'Transplantation, Autologous', 'Treatment Outcome']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",['10.1038/sj.bmt.1700730 [doi]'],ppublish,Bone Marrow Transplant. 1997 Apr;19(7):647-51. doi: 10.1038/sj.bmt.1700730.,,,,,,,,,,,,,,,,
9156123,NLM,MEDLINE,19970605,20190501,0032-5473 (Print) 0032-5473 (Linking),73,858,1997 Apr,Haemopoietic growth factors.,215-21,"Haemopoietic growth factors are involved in the production of the various blood cells from progenitors in the bone marrow, making them useful in a range of clinical situations. The genes for several of them have been cloned and their production engineered by recombinant technology, making them widely available. Myeloid growth factors are used to support patients in the aftermath of chemotherapy and bone marrow transplantation and have potential application in the treatment of infectious diseases. Erythropoietin is widely used for patients with anaemia due to failure of marrow production, having established its effectiveness in chronic renal failure. Thrombopoietin has recently been described and may provide a means to alleviate thrombocytopenia. Current indications and areas of recent reappraisal are addressed in this review.","['Ketley, N J', 'Newland, A C']","['Ketley NJ', 'Newland AC']","['Department of Haematology, London Hospital Medical College, UK.']",['eng'],"['Journal Article', 'Review']",England,Postgrad Med J,Postgraduate medical journal,0234135,['0 (Hematopoietic Cell Growth Factors)'],IM,"['Acute Disease', 'Blood Transfusion, Autologous', 'Bone Marrow Transplantation', 'Combined Modality Therapy', 'HIV Infections/complications', 'Hematologic Diseases/complications/therapy', 'Hematopoietic Cell Growth Factors/physiology/*therapeutic use', 'Hematopoietic Stem Cell Transplantation', 'Hematopoietic Stem Cells/cytology', 'Hodgkin Disease/therapy', 'Humans', 'Leukemia, Myeloid/therapy', 'Lymphoma, Non-Hodgkin/therapy', 'Neoplasms/drug therapy', 'Randomized Controlled Trials as Topic']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",['10.1136/pgmj.73.858.215 [doi]'],ppublish,Postgrad Med J. 1997 Apr;73(858):215-21. doi: 10.1136/pgmj.73.858.215.,,48,PMC2431295,,,,,,,,,,,,,
9155970,NLM,MEDLINE,19970605,20041117,0007-0963 (Print) 0007-0963 (Linking),136,4,1997 Apr,Kikuchi disease (histiocytic necrotizing lymphadenitis) in association with HTLV1.,610-2,"We report a 25-year-old male with fever, generalized lymphadenopathy and an erythematosus maculo-papular eruption affecting face and upper body. A diagnosis of Kikuchi disease (necrotizing histiocytic lymphadenitis) was made on lymph node histology. The patient was found to be positive for the human T-cell leukaemia lymphoma virus (HTLV1). Kikuchi disease has been reported in association with infections such as Epstein-Barr virus (EBV), herpes (HHV6) and toxoplasmosis, but to our knowledge this is the first case of Kikuchi disease associated with HTLV1.","['Bataille, V', 'Harland, C C', 'Behrens, J', 'Cook, M G', 'Holden, C A']","['Bataille V', 'Harland CC', 'Behrens J', 'Cook MG', 'Holden CA']","['Dermatology Department, St. Helier Hospital, Carshalton, Surrey, U.K.']",['eng'],"['Case Reports', 'Journal Article']",England,Br J Dermatol,The British journal of dermatology,0004041,,IM,"['Adult', 'HTLV-I Infections/*complications/pathology', 'Histiocytosis/pathology/*virology', 'Humans', 'Lymphadenitis/pathology/*virology', 'Male']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",,ppublish,Br J Dermatol. 1997 Apr;136(4):610-2.,,,,,,,,,,,,,,,,
9155878,NLM,MEDLINE,19970610,20190815,0304-8608 (Print) 0304-8608 (Linking),142,1,1997,Host range conversion of murine leukemia virus resulting from recombination with endogenous virus.,139-49,"Ecotropic murine leukemia viruses (MuLVs) are classified into B-N-, or NB-tropic MuLV by their host range determined by the Fv-1 gene product. B-tropic MuLV is restricted in N-type mouse cells (Fv-1 n/n) and N-tropic MuLV is restricted in B-type mouse cells (FV-1 b/b). Although forced passages in a restrictive host grant a wider host range (NB-tropism), we show here a host range conversion from B to N tropism. The conversion was most likely a result of recombination between the exogenously infected B-tropic MuLV and an endogenously expressed N-tropic MuLV in a C57BL/6 mouse cell line, YH-7.","['Kawana, A', 'Iwamoto, A', 'Odawara, T', 'Yoshikura, H']","['Kawana A', 'Iwamoto A', 'Odawara T', 'Yoshikura H']","['Department of Infectious Diseases, University of Tokyo, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Austria,Arch Virol,Archives of virology,7506870,"['0 (Cell Cycle Proteins)', '0 (Fv1 protein, mouse)', '0 (Neoplasm Proteins)', '0 (Prcc protein, mouse)', '0 (Proteins)']",IM,"['Animals', 'Base Sequence', '*Cell Cycle Proteins', '*Genome, Viral', 'Leukemia Virus, Murine/*genetics/pathogenicity', 'Leukemia, Experimental/*genetics', 'Mice', 'Mice, Inbred C57BL', 'Molecular Sequence Data', '*Neoplasm Proteins', 'Proteins/*genetics', 'Recombination, Genetic', 'Retroviridae Infections/*genetics', 'Tumor Virus Infections/*genetics']",1997/01/01 00:00,1997/01/01 00:01,['1997/01/01 00:00'],"['1997/01/01 00:00 [pubmed]', '1997/01/01 00:01 [medline]', '1997/01/01 00:00 [entrez]']",['10.1007/s007050050064 [doi]'],ppublish,Arch Virol. 1997;142(1):139-49. doi: 10.1007/s007050050064.,,,,,,,,,,,,,,,,
9155777,NLM,MEDLINE,19970603,20190503,1351-0711 (Print) 1351-0711 (Linking),54,3,1997 Mar,Retrospective estimation of exposure to benzene in a leukaemia case-control study of petroleum marketing and distribution workers in the United Kingdom.,167-75,"OBJECTIVE: To provide quantitative estimates of exposure to benzene for cases and controls in an epidemiology study to investigate the risk of leukaemia in petroleum distribution workers. METHODS: Work histories were obtained for cases and controls together with detailed information on the distribution sites. For each job in the work history, an estimate of exposure (parts per million (ppm)) was obtained by multiplying a measure derived from exposure data by modifying factors to reflect the differences between the conditions that existed at the time of measurement and those at the time of interest. The modifying factors used related to job activity, the number of road tankers loaded, the benzene content of the gasoline, the mixture of products handled, temperature, and loading technology. Cumulative exposures for each case and control were obtained by multiplying the exposure estimates for each job by the duration of time in the respective jobs, and summing these over all jobs in the work history. Peak exposure and exposure through dermal contact were quantitatively classified for each job. RESULTS: Measured exposures were obtained for 30 job categories, and ranged from 0.003 to 8.20 ppm. 40% of work histories were assigned background exposures, with a further 34% assigned the exposure estimate for a driver carrying out top submerged loading of motor fuel into road tankers. Cumulative exposures ranged from < 1 to > 200 ppm-years, although 81% were < 5 ppm-years. Comparison of the exposure estimates for selected jobs with data from sources not used in the study showed similar results. CONCLUSION: The estimates of exposure to benzene in this study provide a sound basis for the epidemiological analyses.","['Lewis, S J', 'Bell, G M', 'Cordingley, N', 'Pearlman, E D', 'Rushton, L']","['Lewis SJ', 'Bell GM', 'Cordingley N', 'Pearlman ED', 'Rushton L']","['BP International, Sunbury on Thames, Middlesex.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Occup Environ Med,Occupational and environmental medicine,9422759,"['0 (Petroleum)', 'J64922108F (Benzene)']",IM,"['Benzene/*adverse effects/*analysis', 'Case-Control Studies', 'Cohort Studies', 'Environmental Monitoring/methods', 'Epidemiological Monitoring', 'Humans', 'Leukemia/chemically induced/*epidemiology', 'Occupational Diseases/chemically induced/*epidemiology', 'Occupational Exposure/*adverse effects/*analysis', '*Petroleum', 'Retrospective Studies', 'Transportation', 'United Kingdom/epidemiology']",1997/03/01 00:00,1997/03/01 00:01,['1997/03/01 00:00'],"['1997/03/01 00:00 [pubmed]', '1997/03/01 00:01 [medline]', '1997/03/01 00:00 [entrez]']",['10.1136/oem.54.3.167 [doi]'],ppublish,Occup Environ Med. 1997 Mar;54(3):167-75. doi: 10.1136/oem.54.3.167.,,,PMC1128679,,,,,,,,,,,,,
9155776,NLM,MEDLINE,19970603,20190503,1351-0711 (Print) 1351-0711 (Linking),54,3,1997 Mar,A case-control study to investigate the risk of leukaemia associated with exposure to benzene in petroleum marketing and distribution workers in the United Kingdom.,152-66,"OBJECTIVES: To investigate the risk of leukaemia in workers in the petroleum distribution industry who were exposed to low levels of benzene. METHODS: From the cohort of distribution workers, 91 cases were identified as having leukaemia on either a death certificate or on cancer registration. These cases were compared with controls (four per case) randomly selected from the cohort, who were from the same company as the respective case, matched for age, and alive and under follow up at the time of case occurrence. Work histories were collected for the cases and controls, together with information about the terminals at which they had worked, fuel compositions, and occupational hygiene measurements of benzene. These data were used to derive quantitative estimates of personal exposure to benzene. Odds ratios (OR) were calculated conditional on the matching, to identify those variables in the study which were associated with risk of leukaemia. Examination of the potential effects of confounding and other variables was carried out with conditional logistic regression. Analyses were carried out for all leukaemia and separately for acute lymphoblastic, chronic lymphocytic, acute myeloid and monocytic, and chronic myeloid leukaemias. RESULTS: There was no significant increase in the overall risk of all leukaemias with higher cumulative exposure to benzene or with intensity of exposure, but risk was consistently doubled in subjects employed in the industry for > 10 years. Acute lymphoblastic leukaemia tended to occur in workers employed after 1950, who started work after the age of 30, worked for a short duration, and experienced low cumulative exposure with few peaks. The ORs did not increase with increasing cumulative exposure. The risk of chronic lymphocytic leukaemia seemed to be related most closely to duration of employment and the highest risk occurred in white collar workers with long service. These workers had only background levels of benzene exposure. There was no evidence of an association of risk with any exposure variables, and no evidence of an increasing risk with increasing cumulative exposure, mean intensity, or maximum intensity of exposure. The patterns of risk for acute myeloid and monocytic leukaemia were different from those of the lymphoid subgroups, in which duration of employment was the variable most closely related to risk. Risk was increased to an OR of 2.8 (95% confidence interval (95% CI) 0.8 to 9.4) for a cumulative exposure between 4.5 and 45 ppm-years compared with < 0.45 ppm-years. For mean intensity between 0.2 and 0.4 ppm an OR of 2.8 (95% CI 0.9 to 8.5) was found compared with < 0.02 ppm. Risk did not increase with cumulative exposure, maximum intensity, or mean intensity of exposure when treated as continuous variables. Cases of acute myeloid and monocytic leukaemia were more often classified as having peaked exposures than controls, and when variables characterising peaks, particularly daily and weekly peaks, were included in the analysis these tended to dominate the other exposure variables. However, because of the small numbers it is not possible to distinguish the relative influence of peaked and unpeaked exposures on risk of acute myeloid and monocytic leukaemia. There was no evidence of an increased risk of chronic myeloid leukaemia with increases in cumulative exposure, maximum intensity, mean intensity, and duration of employment, either as continuous or categorical variables. Analyses exploring the sensitivity of the results to the source and quality of the work histories showed similar patterns in general. However, no increases in ORs for categories of cumulative exposure were found for acute myeloid and monocytic leukaemia in the data set which included work histories obtained from personnel records still in existence, although numbers were reduced. Analyses excluding the last five and 10 years of exposure showed a tendency for ORs to reduce for chronic lymphocytic leukaemia and chronic myeloid leukaemia, and to increase for acute myeloid and monocytic leukaemia. Limitations of the study include uncertainties and gaps in the information collected, and small numbers in subcategories of exposure which can lead to wide CIs around the risk estimates and poor fit of the mathematical models. CONCLUSIONS: There is no evidence in this study of an association between exposure to benzene and lymphoid leukaemia, either acute or chronic. There is some suggestion of a relation between exposure to benzene and myeloid leukaemia, in particular for acute myeloid and monocytic leukaemia. Peaked exposures seemed to be experienced for this disease. However, in view of the limitations of the study, doubt remains as to whether the risk of acute myeloid and monocytic leukaemia is increased by cumulative exposures of < 45 ppm-years. Further work is recommended to review the work histories and redefine their quality, to explore the discrepancies between results for categorical and continuous variables, and to develop ranges around the expose estimates to enable further sensitivity analyses to be carried out.","['Rushton, L', 'Romaniuk, H']","['Rushton L', 'Romaniuk H']","[""Department of Public Health Medicine and Epidemiology, University of Nottingham, Queen's Medical Centre.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Occup Environ Med,Occupational and environmental medicine,9422759,"['0 (Petroleum)', 'J64922108F (Benzene)']",IM,"['Benzene/*adverse effects', 'Case-Control Studies', 'Cohort Studies', 'Death Certificates', 'Humans', 'Leukemia/chemically induced/*epidemiology', 'Leukemia, Lymphocytic, Chronic, B-Cell/chemically induced/epidemiology', 'Leukemia, Monocytic, Acute/chemically induced/epidemiology', 'Leukemia, Myeloid/chemically induced/epidemiology', 'Logistic Models', 'Male', 'Occupational Diseases/chemically induced/*epidemiology', 'Occupational Exposure/*adverse effects/analysis', 'Odds Ratio', '*Petroleum', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/chemically induced/epidemiology', 'Registries', 'Transportation', 'United Kingdom/epidemiology']",1997/03/01 00:00,1997/03/01 00:01,['1997/03/01 00:00'],"['1997/03/01 00:00 [pubmed]', '1997/03/01 00:01 [medline]', '1997/03/01 00:00 [entrez]']",['10.1136/oem.54.3.152 [doi]'],ppublish,Occup Environ Med. 1997 Mar;54(3):152-66. doi: 10.1136/oem.54.3.152.,['Occup Environ Med. 1998 May;55(5):360-1. PMID: 9764115'],,PMC1128678,,,,,,,,,,,,,
9155738,NLM,MEDLINE,19970612,20190724,0022-4251 (Print) 0022-4251 (Linking),109,2,1997 Mar,"Leukaemia inhibitory factor in endometrium during the oestrous cycle, early pregnancy and in ovariectomized steroid-treated ewes.",279-88,"Leukaemia inhibitory factor (LIF), a pleiotropic cytokine, is essential for blastocyst implantation in mice and maintains the development of ovine embryos in culture. The expression of LIF was examined by northern blot analysis in endometrial tissue from cyclic (days 4-16) and pregnant (days 4-20) ewes, and the corresponding protein was immunolocalized. Expression of mRNA encoding LIF remained relatively constant throughout the oestrous cycle and was present during early pregnancy. A decrease in mRNA encoding LIF was observed during early pregnancy (on days 12-14) and expression was highest on days 16-20. Immunoreactive LIF was present in the cellular compartments of the endometrium throughout the oestrous cycle and early pregnancy, with maximal immunostaining in the caruncular and intercaruncular luminal epithelium, and moderate staining in the glandular epithelium and intercaruncular stroma. Immunoreactive LIF was also detected in the trophoblast cells of day 17 blastocysts. Separately cultured endometrial epithelial and stromal cells from pregnant animals both expressed mRNA encoding LIF. Ovariectomized steroid-treated ewes were studied to establish whether steroid hormones had a role in regulating endometrial LIF. Ewes treated with oestradiol alone showed lower concentrations of immunoreactive LIF in the endometrium in comparison to ovariectomized, control animals, while treatment of ovariectomized animals with both oestradiol and progesterone had a greater inhibitory effect on LIF immunolocalization. These studies demonstrate the presence of mRNA encoding LIF and protein throughout the oestrous cycle and early pregnancy and suggest that steroid hormones may be involved in their regulation.","['Vogiagis, D', 'Fry, R C', 'Sandeman, R M', 'Salamonsen, L A']","['Vogiagis D', 'Fry RC', 'Sandeman RM', 'Salamonsen LA']","[""Prince Henry's Institute of Medical Research, Clayton, Victoria, Australia.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,J Reprod Fertil,Journal of reproduction and fertility,0376367,"['0 (Growth Inhibitors)', '0 (Interleukin-6)', '0 (Leukemia Inhibitory Factor)', '0 (Lymphokines)', '0 (RNA, Messenger)', '4G7DS2Q64Y (Progesterone)', '4TI98Z838E (Estradiol)']",IM,"['Animals', 'Blotting, Northern', 'Endometrium/*immunology', 'Estradiol/pharmacology', 'Estrus/*immunology', 'Female', 'Growth Inhibitors/genetics/*metabolism', 'Immunohistochemistry', '*Interleukin-6', 'Leukemia Inhibitory Factor', 'Lymphokines/genetics/*metabolism', 'Ovariectomy', 'Pregnancy', 'Pregnancy, Animal/*immunology', 'Progesterone/pharmacology', 'RNA, Messenger/analysis', 'Sheep/*physiology']",1997/03/01 00:00,1997/03/01 00:01,['1997/03/01 00:00'],"['1997/03/01 00:00 [pubmed]', '1997/03/01 00:01 [medline]', '1997/03/01 00:00 [entrez]']",['10.1530/jrf.0.1090279 [doi]'],ppublish,J Reprod Fertil. 1997 Mar;109(2):279-88. doi: 10.1530/jrf.0.1090279.,,,,,,,,,,,,,,,,
