PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,RN,GR,SI,TT,CON,EIN,CIN,PMC,ROF,MID,LID,CRI
9074405,NLM,MEDLINE,19970507,20190705,0007-1048 (Print) 0007-1048 (Linking),96,4,1997 Mar,Multidrug resistance in leukaemia.,659-74,"['McKenna, S L', 'Padua, R A']","['McKenna SL', 'Padua RA']","['Department of Biochemistry, University College, Cork, Ireland.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Br J Haematol,British journal of haematology,0372544,IM,"['Biological Transport', 'Drug Resistance, Multiple', 'Drug Resistance, Neoplasm', 'Humans', 'Leukemia/*drug therapy/enzymology']",203,1997/03/01 00:00,1997/03/01 00:01,['1997/03/01 00:00'],"['1997/03/01 00:00 [pubmed]', '1997/03/01 00:01 [medline]', '1997/03/01 00:00 [entrez]']",['10.1046/j.1365-2141.1997.d01-2095.x [doi]'],ppublish,Br J Haematol. 1997 Mar;96(4):659-74. doi: 10.1046/j.1365-2141.1997.d01-2095.x.,,,,,,,,,,,,,
9074288,NLM,MEDLINE,19970410,20150901,0001-6578 (Print) 0001-6578 (Linking),37,6,1996 Nov-Dec,Bacteria-associated hemophagocytic syndrome in childhood acute lymphoblastic leukemia: report of two cases.,466-70,"['Hsiao, C C', 'Huang, S C']","['Hsiao CC', 'Huang SC']","[""Department of Pediatrics, Chang Gung Children's Hospital, Kaohsiung, Taiwan, R.O.C.""]",['eng'],"['Case Reports', 'Journal Article']",China (Republic : 1949- ),Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi,Zhonghua Minguo xiao er ke yi xue hui za zhi [Journal]. Zhonghua Minguo xiao er ke yi xue hui,16210470R,IM,"['Child', 'Child, Preschool', 'Female', 'Gram-Negative Bacterial Infections/*etiology', 'Histiocytosis, Non-Langerhans-Cell/diagnosis/*etiology', 'Humans', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications']",,1996/11/01 00:00,1996/11/01 00:01,['1996/11/01 00:00'],"['1996/11/01 00:00 [pubmed]', '1996/11/01 00:01 [medline]', '1996/11/01 00:00 [entrez]']",,ppublish,Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi. 1996 Nov-Dec;37(6):466-70.,"Two children with acute lymphoblastic leukemia presenting with cellulitis and sepsis are described. Both presented as having hemophagocytic syndrome with the manifestations of prolonged fever, jaundice, pancytopenia, coagulopathy and histiocytic proliferation with hemophagocytosis in their bone marrows. It is similar to the virus-associated hemophagocytic syndrome (VAHS), except for the absences of lymphadenopathy, skin rash and hepatosplenomegaly. Concomitant virus infections were excluded in these two cases. Both patients' conditions improved after appropriate antibiotics and intravenous immunoglobulin therapy. The prognosis seemed better in bacteria-associated hemophagocytic syndrome (BAHS) than in VAHS even in immunocompromised patients.",,,,,,,,,,,,
9073470,NLM,MEDLINE,19970417,20190909,0272-0590 (Print) 0272-0590 (Linking),36,1,1997 Mar,Chronic toxicity and carcinogenic evaluation of diisononyl phthalate in rats.,79-89,"['Lington, A W', 'Bird, M G', 'Plutnick, R T', 'Stubblefield, W A', 'Scala, R A']","['Lington AW', 'Bird MG', 'Plutnick RT', 'Stubblefield WA', 'Scala RA']","['Exxon Biomedical Sciences, Inc., East Millstone, New Jersey, 08875-2350, USA.']",['eng'],['Journal Article'],United States,Fundam Appl Toxicol,Fundamental and applied toxicology : official journal of the Society of Toxicology,8200838,IM,"['Administration, Oral', 'Adrenal Glands/drug effects/pathology', 'Animals', 'Blood Chemical Analysis', 'Body Weight/drug effects', 'Carcinogenicity Tests', 'Female', 'Hematologic Tests', 'Kidney/*drug effects/pathology', 'Leukemia, Experimental/chemically induced/pathology', 'Liver/*drug effects/pathology', 'Male', 'Microbodies/drug effects', 'No-Observed-Adverse-Effect Level', 'Organ Size/drug effects', 'Phthalic Acids/*toxicity', 'Precancerous Conditions/pathology', 'Rats', 'Rats, Inbred F344', 'Spleen/drug effects/pathology', 'Survival Rate', 'Testis/drug effects', 'Urine/chemistry']",,1997/03/01 00:00,1997/03/01 00:01,['1997/03/01 00:00'],"['1997/03/01 00:00 [pubmed]', '1997/03/01 00:01 [medline]', '1997/03/01 00:00 [entrez]']","['S0272059097922867 [pii]', '10.1006/faat.1997.2286 [doi]']",ppublish,Fundam Appl Toxicol. 1997 Mar;36(1):79-89. doi: 10.1006/faat.1997.2286.,"Groups of 110 Fischer 344 rats/sex were fed diisononyl phthalate (DINP) at dietary levels of 0, 0.03, 0.3, and 0.6 wt% for periods up to 2 years. Interim sacrifices of 10 predesignated rats/sex/dose were at 6, 12, and 18 months with surviving animals sacrificed at 24 months. At study termination, survival was in excess of 60% for every group. At the mid or high dose, the following biological effects were noted: slight decreases in food consumption and body weight; slight increase in mortality; a dose-related increase in relative organ weights of liver and kidney; and some slight effects on urinalysis, hematologic, and clinical chemistry parameters. No peroxisome induction was observed in livers of treated rats compared with controls. No clear treatment-related nonneoplastic or neoplastic lesions were found. However, mononuclear cell leukemia (MNCL) and changes known to be associated with an increased incidence of MNCL were seen in the mid-dose and high-dose groups. A literature review suggests that MNCL is a common finding in aging F344 rats and that this increased incidence in rats treated with DINP is not relevant to man. A clear no-observed-effect level was demonstrated for all biological end points at a dietary level of 0. 03 wt% or approximately 17 mg/kg/day of DINP.","['0 (Phthalic Acids)', '4010KIX4CK (diisononyl phthalate)']",,,,,,,,,,,
9073449,NLM,MEDLINE,19970414,20071114,0012-1606 (Print) 0012-1606 (Linking),182,1,1997 Feb 1,CNTF and LIF are not required for the target-directed acquisition of cholinergic and peptidergic properties by sympathetic neurons in vivo.,76-87,"['Francis, N J', 'Asmus, S E', 'Landis, S C']","['Francis NJ', 'Asmus SE', 'Landis SC']","['Department of Neurosciences, Case Western Reserve University School of Medicine, Cleveland, Ohio 44106-4975, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Dev Biol,Developmental biology,0372762,IM,"['Acetylcholinesterase/*analysis', 'Animals', 'Axons/physiology', 'Choline O-Acetyltransferase/*analysis', 'Ciliary Neurotrophic Factor', 'Crosses, Genetic', 'Female', 'Growth Inhibitors/deficiency/genetics/*physiology', 'Heterozygote', '*Interleukin-6', 'Leukemia Inhibitory Factor', 'Lymphokines/deficiency/genetics/*physiology', 'Male', 'Mice', 'Mice, Knockout', 'Nerve Growth Factors/physiology', 'Nerve Tissue Proteins/deficiency/genetics/*physiology', 'Neurons/*physiology', 'Sweat Glands/innervation', 'Sweating', 'Sympathetic Nervous System/*physiology', 'Vasoactive Intestinal Peptide/*biosynthesis']",,1997/02/01 00:00,1997/02/01 00:01,['1997/02/01 00:00'],"['1997/02/01 00:00 [pubmed]', '1997/02/01 00:01 [medline]', '1997/02/01 00:00 [entrez]']","['S0012-1606(96)98464-X [pii]', '10.1006/dbio.1996.8464 [doi]']",ppublish,Dev Biol. 1997 Feb 1;182(1):76-87. doi: 10.1006/dbio.1996.8464.,"During development, the sympathetic innervation of two targets, sweat glands and periosteum, changes the neurotransmitters it expresses from noradrenaline to acetylcholine and vasoactive intestinal peptide (VIP). The target-derived molecules that induce, these changes have not been identified. Neuropoietic cytokines, including ciliary neurotrophic factor (CNTF) and leukemia inhibitory factor (LIF), induce the same phenotypic changes in sympathetic neurons in vitro as sweat glands and periosteum do in vivo, raising the possibility that one of these factors mediates induction of cholinergic traits and VIP by these target tissues. Because CNTF and LIF have overlapping functions and signalling pathways, they could act interchangeably or in concert to influence neurotransmitter expression. To determine whether CNTF or CNTF and LIF together are responsible for the induction of cholinergic and peptidergic function in vivo, we analyzed the neurotransmitter properties of sweat gland innervation in mice lacking CNTF or CNTF and LIF. We find that, as in wild-type mice, gland innervation in mice lacking one or both molecules appropriately expresses cholinergic properties and VIP immunoreactivity. Furthermore, footpads of mice lacking one or both genes contain choline acetyltransferase activity comparable to that of wild-type mice, and CNTF- or CNTF/LIF-deficient mice possess the normal complement of active sweat glands. We analyzed the innervation of a second, recently identified cholinergic sympathetic target, the periosteum, which is the connective tissue surrounding bone. Periosteal innervation of mice lacking CNTF, LIF, or both, like that of wild-type mice, is immunoreactive for the vesicular acetylcholine transporter, a recently identified cholinergic marker, and VIP. These results provide evidence that neither CNTF, LIF, nor a combination of the two are required for the developmental change from noradrenergic to cholinergic function that occurs in sympathetic innervation of sweat glands and periosteum.","['0 (Ciliary Neurotrophic Factor)', '0 (Growth Inhibitors)', '0 (Interleukin-6)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Lymphokines)', '0 (Nerve Growth Factors)', '0 (Nerve Tissue Proteins)', '37221-79-7 (Vasoactive Intestinal Peptide)', 'EC 2.3.1.6 (Choline O-Acetyltransferase)', 'EC 3.1.1.7 (Acetylcholinesterase)']",['NS023678/NS/NINDS NIH HHS/United States'],,,,,,,,,,
9073392,NLM,MEDLINE,19970411,20200317,0008-8749 (Print) 0008-8749 (Linking),176,2,1997 Mar 15,The immunomodulator AS-101 inhibits IL-10 release and augments TNF alpha and IL-1 alpha release by mouse and human mononuclear phagocytes.,180-5,"['Strassmann, G', 'Kambayashi, T', 'Jacob, C O', 'Sredni, D']","['Strassmann G', 'Kambayashi T', 'Jacob CO', 'Sredni D']","['Department of Immunology, Otsuka-America Pharmaceutical Inc., Rockville, Maryland 20850, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Cell Immunol,Cellular immunology,1246405,IM,"['Adjuvants, Immunologic/*pharmacology', 'Animals', 'Cells, Cultured', 'Ethylenes/*pharmacology', 'HLA-DR Antigens/biosynthesis', 'Humans', 'Interferon-gamma/pharmacology', 'Interleukin-1/*metabolism', 'Interleukin-10/*antagonists & inhibitors/genetics/metabolism', 'Lipopolysaccharides/pharmacology', 'Macrophages, Peritoneal/*drug effects/*metabolism', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Monocytes/*drug effects/*metabolism', 'RNA, Messenger/biosynthesis', 'Tumor Necrosis Factor-alpha/drug effects/genetics/*metabolism']",,1997/03/15 00:00,1997/03/15 00:01,['1997/03/15 00:00'],"['1997/03/15 00:00 [pubmed]', '1997/03/15 00:01 [medline]', '1997/03/15 00:00 [entrez]']","['S0008-8749(97)91087-X [pii]', '10.1006/cimm.1997.1087 [doi]']",ppublish,Cell Immunol. 1997 Mar 15;176(2):180-5. doi: 10.1006/cimm.1997.1087.,"AS-101 is a tellurium-based compound with known immunomodulating properties. The ability of AS-101 to potentiate the effects of chemotherapeutic drugs and augment cytokine production in vivo has led to clinical trials on AS-101 which are currently being carried out in cancer patients. In the present study we show that AS-101 selectively augments the release of TNF alpha and IL-1 alpha and inhibits the release of IL-10 by lipopolysaccharide (LPS)-stimulated mouse peritoneal macrophages and human monocytes. It does not significantly affect the release of IL-6 or leukemia inhibitory factor (LIF). By itself AS-101 does not induce the release of any of these cytokines. Analysis of IL-10 and TNF alpha RNA levels using semiquantitative PCR reveals that AS-101 blocks the transcription of IL-10 mRNA, but does not significantly affect TNF alpha mRNA. Although both AS-101 and interferon (IFN)-gamma inhibit IL-10, AS-101, unlike IFN-gamma, does not prime macrophages for LPS-induced nitric oxide release and does not appear to significantly affect monocyte HLA-DR expression. Our data suggest that AS-101 is a partial IFN-gamma agonist and may explain the shift toward the release of Th-1 type cytokines observed in AS-101-treated patients.","['0 (Adjuvants, Immunologic)', '0 (Ethylenes)', '0 (HLA-DR Antigens)', '0 (Interleukin-1)', '0 (Lipopolysaccharides)', '0 (RNA, Messenger)', '0 (Tumor Necrosis Factor-alpha)', '130068-27-8 (Interleukin-10)', ""708681952A (ammonium trichloro(dioxoethylene-O,O'-)tellurate)"", '82115-62-6 (Interferon-gamma)']",,,,,,,,,,,
9073388,NLM,MEDLINE,19970411,20071114,0008-8749 (Print) 0008-8749 (Linking),176,2,1997 Mar 15,An increased gamma delta T cell population in the intestine of thymus-leukemia antigen transgenic mice.,153-7,"['Sharma, P', 'Page, M J', 'Poritz, L S', 'Koltun, W A', 'Chorney, M J']","['Sharma P', 'Page MJ', 'Poritz LS', 'Koltun WA', 'Chorney MJ']","['Department of Microbiology, Pennsylvania State University College of Medicine, Hershey 17033, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Cell Immunol,Cellular immunology,1246405,IM,"['Animals', 'Antigens, Viral, Tumor/genetics/immunology', 'Cell Differentiation/immunology', 'Epithelial Cells', 'Epithelium/immunology', 'Flow Cytometry', 'Intestine, Small/cytology/*immunology', 'Lymphocyte Activation', 'Membrane Glycoproteins/*genetics/*immunology', 'Mice', 'Mice, Inbred C57BL', 'Mice, Transgenic', 'Receptors, Antigen, T-Cell, gamma-delta/*analysis', 'T-Lymphocyte Subsets/cytology/*immunology']",,1997/03/15 00:00,1997/03/15 00:01,['1997/03/15 00:00'],"['1997/03/15 00:00 [pubmed]', '1997/03/15 00:01 [medline]', '1997/03/15 00:00 [entrez]']","['S0008-8749(96)91076-X [pii]', '10.1006/cimm.1996.1076 [doi]']",ppublish,Cell Immunol. 1997 Mar 15;176(2):153-7. doi: 10.1006/cimm.1996.1076.,"In an approach to study thymic leukemia antigen's (TL's) function, we have developed transgenic mice that express T18d on virtually all somatic cells; in such mice, we initially observed changes in T cells within the thymus and lymph nodes as well as the ability of TL to undergo recognition by splenic T cells. As phase II of our study, we now present the results on the composition of gut T cell populations which may be a better measure of TL's true function. We have demonstrated an increase in the number of gamma delta T cells as well as the increase in gamma delta T cells expressing the V gamma 2 chain. These cells appear to be both CD4 and CD8 negative. This suggests that TL may select for a subset of gamma delta T cells within the gut and bolsters earlier reports implicating an H-2T regional gene product as the major histocompatibility complex ligand for gamma delta T cells.","['0 (Antigens, Viral, Tumor)', '0 (Membrane Glycoproteins)', '0 (Receptors, Antigen, T-Cell, gamma-delta)', '0 (thymus-leukemia antigens)']",['5RO1CA53445-03/CA/NCI NIH HHS/United States'],,,,,,,,,,
9073327,NLM,MEDLINE,19970612,20190920,0785-3890 (Print) 0785-3890 (Linking),29,1,1997 Feb,Corticosteroid resistance and disease.,79-82,"['DeRijk, R', 'Sternberg, E M']","['DeRijk R', 'Sternberg EM']","['Leiden/Amsterdam Centre for Drug Research, Leiden University, the Netherlands.']",['eng'],"['Journal Article', 'Review']",England,Ann Med,Annals of medicine,8906388,IM,"['Adrenal Cortex Hormones/metabolism/*pharmacology/therapeutic use', 'Cushing Syndrome/drug therapy', 'Drug Resistance/genetics', 'Glucocorticoids/*metabolism/*pharmacology/therapeutic use', 'Humans', 'Nelson Syndrome/drug therapy/etiology/genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/genetics/metabolism']",27,1997/02/01 00:00,1997/02/01 00:01,['1997/02/01 00:00'],"['1997/02/01 00:00 [pubmed]', '1997/02/01 00:01 [medline]', '1997/02/01 00:00 [entrez]']",['10.3109/07853899708998746 [doi]'],ppublish,Ann Med. 1997 Feb;29(1):79-82. doi: 10.3109/07853899708998746.,"Both the unpredictability of side-effects and efficacy of glucocorticoid treatment can be problematic during clinical treatment. Here we discuss the evidence that exists for the hypothesis that individual glucocorticoid sensitivity underlies this problem. We suggest that glucocorticoid sensitivity is actually much more dynamic and common than previously thought. It is postulated that acquired tissue-specific glucocorticoid resistance could play a role in the origin and pathogenesis of depression, autoimmune disorders and AIDS. Moreover, recent genetic research has shown mutations in the glucocorticoid receptor (GR) gene and GR protein which are suggested to play a role in the pathogenesis of leukaemia, hereditary glucocorticoid resistance and Nelson's syndrome. These findings indicate that variations in the GR and in glucocorticoid resistance play a central role in a wide variety of diseases.","['0 (Adrenal Cortex Hormones)', '0 (Glucocorticoids)']",,,,,,,,,,,
9073325,NLM,MEDLINE,19970612,20211203,0785-3890 (Print) 0785-3890 (Linking),29,1,1997 Feb,The signal transducer gp130 is shared by interleukin-6 family of haematopoietic and neurotrophic cytokines.,63-72,"['Taga, T']",['Taga T'],"['Department of Molecular Cell Biology, Medical Research Institute, Tokyo Medical and Dental University, Japan.']",['eng'],"['Journal Article', 'Review']",England,Ann Med,Annals of medicine,8906388,IM,"['Animals', 'Antigens, CD/*metabolism/*physiology', 'Cytokine Receptor gp130', 'Cytokines/immunology/*metabolism', 'Humans', 'Interleukin-6/*metabolism/physiology', 'Membrane Glycoproteins/*metabolism/*physiology', 'Protein Multimerization', 'Protein Serine-Threonine Kinases/metabolism', 'Protein-Tyrosine Kinases/metabolism', 'Receptors, Interleukin/metabolism/physiology', 'Receptors, Interleukin-6', 'Signal Transduction/*physiology']",88,1997/02/01 00:00,1997/02/01 00:01,['1997/02/01 00:00'],"['1997/02/01 00:00 [pubmed]', '1997/02/01 00:01 [medline]', '1997/02/01 00:00 [entrez]']",['10.3109/07853899708998744 [doi]'],ppublish,Ann Med. 1997 Feb;29(1):63-72. doi: 10.3109/07853899708998744.,"Receptors for many of the cytokines functioning in the haematopoietic system belong to the class I cytokine receptor family. In most cases these receptors share common signal transducing receptor components in the same family, which explains the functional redundancy of haematopoietic cytokines. Interleukin-6 and related cytokines, interleukin-11, leukaemia inhibitory factor, oncostatin M, ciliary neurotrophic factor and cardiotrophin-1, are all pleiotrophic, from the haematopoietic to the nervous system, and exhibit overlapping biological activities. Receptors for these cytokines fall into the class I cytokine receptor family. Functional receptor complexes for the interleukin-6 family of cytokines share a membrane glycoprotein 130 (gp130) as a critical component for signal transduction. In these receptor complexes, gp130 and ligand-specific chains possess no intrinsic tyrosine kinase domain but are associated with cytoplasmic tyrosine kinases. Ligand stimulation triggers homo- or heterodimerization of gp130, leading to activation of the associated cytoplasmic tyrosine kinases and subsequent modification of transcription factors. This paper reviews the recent progress in the study of gp130 and the background information from biomedical and biochemical viewpoints.","['0 (Antigens, CD)', '0 (Cytokines)', '0 (IL6ST protein, human)', '0 (Interleukin-6)', '0 (Membrane Glycoproteins)', '0 (Receptors, Interleukin)', '0 (Receptors, Interleukin-6)', '133483-10-0 (Cytokine Receptor gp130)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.11.1 (Protein Serine-Threonine Kinases)']",,,,,,,,,,,
9073312,NLM,MEDLINE,19970616,20190914,0959-4973 (Print) 0959-4973 (Linking),8,2,1997 Feb,Enhancement of etoposide (VP-16) cytotoxicity by enzymatic and photodynamically induced oxidative stress.,164-73,"['Gantchev, T G', 'Hunting, D J']","['Gantchev TG', 'Hunting DJ']","['Department of Nuclear Medicine and Radiobiology, Faculty of Medicine, University of Sherbrooke, Quebec, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Anticancer Drugs,Anti-cancer drugs,9100823,IM,"['Antimetabolites, Antineoplastic/pharmacology', 'Antineoplastic Agents, Phytogenic/*pharmacology', 'Buthionine Sulfoximine/pharmacology', 'Cytoplasm/drug effects/metabolism', 'DNA Damage/drug effects', 'Drug Synergism', 'Electron Spin Resonance Spectroscopy', 'Etoposide/metabolism/pharmacokinetics/*pharmacology', 'Free Radicals/metabolism', 'Glutathione/metabolism', 'Humans', 'Indoles/pharmacology', 'Leukemia/drug therapy/pathology', 'Organometallic Compounds/pharmacology', 'Oxidative Stress/*drug effects', 'Photosensitizing Agents/*pharmacology', 'Tumor Cells, Cultured']",,1997/02/01 00:00,1997/02/01 00:01,['1997/02/01 00:00'],"['1997/02/01 00:00 [pubmed]', '1997/02/01 00:01 [medline]', '1997/02/01 00:00 [entrez]']",['10.1097/00001813-199702000-00007 [doi]'],ppublish,Anticancer Drugs. 1997 Feb;8(2):164-73. doi: 10.1097/00001813-199702000-00007.,"The effects of glutathione (GSH) depletion by buthionine sulfoximane (BSO) or by photosensitization-induced oxidative stress using metallo-phthalocyanines (MePcS4) on etoposide (VP-16) cytotoxicity against K562 human leukemic cells were investigated. Both treatments enhanced VP-16 toxicity in a markedly synergistic way, as revealed by combination index analysis procedure. Synergistic drug interactions were accompanied by a supra-additive induction of DNA strand breaks. The proposed role of intracellular GSH in preventing metabolic transformations of VP-16 and thus decreasing its toxicity was confirmed by electron spin resonance (ESR) monitoring of the accumulation of the VP-16 phenoxyl radical in cell cytoplasm subjected to GSH depletion. Taken together the results emphasize the beneficial effect of GSH-related oxidative stress in enhancement of etoposide toxicity and possibly in its anticancer applications.","['0 (Antimetabolites, Antineoplastic)', '0 (Antineoplastic Agents, Phytogenic)', '0 (Free Radicals)', '0 (Indoles)', '0 (Organometallic Compounds)', '0 (Photosensitizing Agents)', '122170-90-5 (aluminum tetrasulfophthalocyanine)', '5072-26-4 (Buthionine Sulfoximine)', '61586-86-5 (zinc tetrasulfophthalocyanine)', '6PLQ3CP4P3 (Etoposide)', 'GAN16C9B8O (Glutathione)']",,,,,,,,,,,
9073310,NLM,MEDLINE,19970616,20190914,0959-4973 (Print) 0959-4973 (Linking),8,2,1997 Feb,"Chemosensitization and drug accumulation effects of VX-710, verapamil, cyclosporin A, MS-209 and GF120918 in multidrug resistant HL60/ADR cells expressing the multidrug resistance-associated protein MRP.",141-55,"['Germann, U A', 'Ford, P J', 'Shlyakhter, D', 'Mason, V S', 'Harding, M W']","['Germann UA', 'Ford PJ', 'Shlyakhter D', 'Mason VS', 'Harding MW']","['Vertex Pharmaceuticals Inc., Cambridge, MA 02139-4242, USA.']",['eng'],"['Comparative Study', 'Journal Article']",England,Anticancer Drugs,Anti-cancer drugs,9100823,IM,"['ATP Binding Cassette Transporter, Subfamily B, Member 1/drug effects/metabolism', 'ATP-Binding Cassette Transporters/drug effects/*metabolism', 'Acridines/pharmacology', 'Affinity Labels', 'Antineoplastic Agents/*pharmacology', 'Cyclosporine/pharmacology', 'Daunorubicin/pharmacology', 'Doxorubicin/pharmacokinetics/pharmacology', '*Drug Resistance, Multiple', 'Etoposide/pharmacology', 'Fluoresceins/pharmacokinetics', 'HL-60 Cells/*drug effects/metabolism', 'Humans', 'Isoquinolines/pharmacology', 'Multidrug Resistance-Associated Proteins', 'Piperidines/chemistry/*pharmacology', 'Pyridines/chemistry/*pharmacology', 'Quinolines/pharmacology', '*Tetrahydroisoquinolines', 'Tritium', 'Verapamil/pharmacology', 'Vincristine/pharmacology']",,1997/02/01 00:00,1997/02/01 00:01,['1997/02/01 00:00'],"['1997/02/01 00:00 [pubmed]', '1997/02/01 00:01 [medline]', '1997/02/01 00:00 [entrez]']",['10.1097/00001813-199702000-00005 [doi]'],ppublish,Anticancer Drugs. 1997 Feb;8(2):141-55. doi: 10.1097/00001813-199702000-00005.,"Overexpression of the multidrug resistance MDR1 gene product P-glycoprotein and/or the multidrug resistance-associated protein MRP confers multidrug resistance to cancer cells. The pipecolinate derivative VX-710 has previously been demonstrated to reverse MDR1-mediated multidrug resistance at concentrations of 0.5-2.5 microM by direct interaction with P-glycoprotein and inhibition of its drug efflux activity. In this study we investigated whether VX-710 as well as four other known MDR1 modulators could also reverse multidrug resistance mediated by MRP. VX-710 at 0.5-5 microM restored senstivity of MRP-expressing HL60/ADR promyelocytic leukemia cells to the cytotoxic action of doxorubicin, etoposide and vincristine. VX-710 was approximately 2-fold more effective than verapamil, MS-209 and CsA in modulating MRP-mediated multidrug resistance, whereas GF120918 had no significant effect. VX-710 was also more effective than verapamil, MS-209 and CsA in restoring the daunorubicin accumulation deficit in HL60/ADR cells and in increasing calcein uptake. A photoaffinity analog of VX-710, [3H]VF-13,159, specifically photo labeled the MRP protein and unlabeled VX-710 inhibited this binding in a concentration-dependent manner. These data suggest that VX-710 is not only a potent modulator of P-glycoprotein-mediated multidrug resistance, but also affects multidrug resistance in MRP-expressing cells and may exert its action, at least in part, by binding directly to MRP.","['0 (ATP Binding Cassette Transporter, Subfamily B, Member 1)', '0 (ATP-Binding Cassette Transporters)', '0 (Acridines)', '0 (Affinity Labels)', '0 (Antineoplastic Agents)', '0 (Fluoresceins)', '0 (Isoquinolines)', '0 (Multidrug Resistance-Associated Proteins)', '0 (Piperidines)', '0 (Pyridines)', '0 (Quinolines)', '0 (Tetrahydroisoquinolines)', '0 (VF 13,159)', '0BJK6B565B (dofequidar)', '10028-17-8 (Tritium)', '3KG76X4KJK (biricodar)', '5J49Q6B70F (Vincristine)', '6PLQ3CP4P3 (Etoposide)', '80168379AG (Doxorubicin)', '83HN0GTJ6D (Cyclosporine)', 'CJ0O37KU29 (Verapamil)', 'N488540F94 (Elacridar)', 'V0YM2B16TS (fluorexon)', 'ZS7284E0ZP (Daunorubicin)']",,,,,,,,,,,
