PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,RF,GR,SI,CON,CIN,OTO,OT,IR,FIR,IRAD,TT,EIN,CN,OID,GN,RIN,EFR
8919028,NLM,MEDLINE,19970303,20191101,0897-7194 (Print) 0897-7194 (Linking),13,3-4,1996,Exposure to extremely low frequency magnetic fields has no effect on growth rate or clonogenic potential of multipotential haemopoietic progenitor cells.,205-17,"Recent reports indicate an increased risk of acute myeloid leukaemia in children exposed to extremely low frequency magnetic fields (ELFMFs) emitted by high voltage power lines, suggesting that ELFMFs may act as weak tumour promoters. We have investigated possible interactions of weak ELFMFs with primitive haemopoietic cells in vitro using the multipotential progenitor cell line FDCP-mix(A4). We have determined the proliferative activity and clonogenic potential of cells under both optimal and sub-optimal growth conditions and exposed to either ambient laboratory ELFMFs or three other ELFMF regimes representative of those produced by high voltage power lines: nulled fields, Ca2+-ion cyclotron resonance conditions at 50 Hz, and vertical 50 Hz fields of 6 muT(RMS). Using exposures of 1, 4, 7 and 21 days, we found no significant alteration of growth rate, cell-cycle state or clonogenic efficiency indicating that neither the proliferation nor self-renewal of multipotential FDCP-mix(A4) cells was perturbed.","['Reipert, B M', 'Allan, D', 'Dexter, T M']","['Reipert BM', 'Allan D', 'Dexter TM']","['Cancer Research Campaign Department of Physics & Instrumentation, Paterson Institute for Cancer Research, Christie Hospital NHS Trust, Manchester, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Growth Factors,"Growth factors (Chur, Switzerland)",9000468,"['63231-63-0 (RNA)', 'AE28F7PNPL (Methionine)', 'WHI7HQ7H85 (Uridine)']",IM,"['Acute Disease/therapy', 'Animals', '*Cell Division', 'Cell Line', 'Clone Cells', 'Flow Cytometry', 'Hematopoietic Stem Cells/*cytology', 'Leukemia, Myeloid/therapy', 'Magnetics/*therapeutic use', 'Methionine/metabolism', 'Mice', 'RNA/metabolism', 'Uridine/metabolism']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",['10.3109/08977199609003222 [doi]'],ppublish,Growth Factors. 1996;13(3-4):205-17. doi: 10.3109/08977199609003222.,,,,,,,,,,,,,,,,,,
8918916,NLM,MEDLINE,19961231,20031114,0042-6822 (Print) 0042-6822 (Linking),225,2,1996 Nov 15,Single amino acid changes in the murine leukemia virus capsid protein gene define the target of Fv1 resistance.,300-5,"The mouse Fv1 genetic locus controls resistance to subgroups of ecotropic, MCF, and amphotropic murine leukemia viruses (MuLVs). In addition to the four previously defined alleles of Fv1 (Fv1(n), Fv1(b), Fv1(nr), Fv1(0)), we present evidence that the novel restriction pattern characteristic of DBA/2J mice maps to the Fv1 locus and therefore represents a novel allele, here designated Fv1(d). Previous studies had demonstrated that the Fv1-mediated viral tropism is determined within the capsid protein gene, and that N- and B-tropic virus capsids differ only in two adjacent amino acids. We introduced various amino acid substitutions at these two sites in the N-tropic AKV MLV capsid gene, and typed resulting viruses for host range on cells carrying all five Fv1 alleles as well as on cells from additional wild mouse species with Fv1-like differences in virus susceptibility. Results indicate that alteration of the first of the two amino acids does not alter tropism, but alteration of the second alone is sufficient to convert the N-tropic AKV MLV to a B-tropic virus. Substitution of leucine for arginine at this site produced a virus with an unusual tropism not characteristic of any of the naturally occurring or laboratory strains of MuLV.","['Kozak, C A', 'Chakraborti, A']","['Kozak CA', 'Chakraborti A']","['Laboratory of Molecular Microbiology, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, Maryland 20892-0460, USA. ckozak@nih.gov.']",['eng'],['Journal Article'],United States,Virology,Virology,0110674,['0 (Viral Envelope Proteins)'],IM,"['Alleles', 'Animals', 'Capsid/*genetics', 'Drug Resistance/genetics', 'Gene Targeting', '*Genes, Viral', 'Leukemia Virus, Murine/*genetics/metabolism', 'Mice', 'Mutagenesis, Site-Directed', 'Point Mutation', 'Viral Envelope Proteins/*genetics']",1996/11/15 00:00,1996/11/15 00:01,['1996/11/15 00:00'],"['1996/11/15 00:00 [pubmed]', '1996/11/15 00:01 [medline]', '1996/11/15 00:00 [entrez]']","['S0042-6822(96)90604-2 [pii]', '10.1006/viro.1996.0604 [doi]']",ppublish,Virology. 1996 Nov 15;225(2):300-5. doi: 10.1006/viro.1996.0604.,,,,,,,,,,,,,,,,,,
8918907,NLM,MEDLINE,19961231,20190606,0022-1554 (Print) 0022-1554 (Linking),44,11,1996 Nov,LacZ staining in paraffin-embedded tissue sections.,1323-9,"Femora and tibiae of rats carrying leukemia from a LacZ-marked acute promyelocytic leukemia-derived leukemic cell line (LT12NL15) were decalcified using EDTA and routinely embedded in paraffin. Sections were used to develop for the first time an immunostaining method for LacZ, employing catalyzed reporter deposition (CARD) based on the deposition of biotinylated tyramine. This method was used to study homing and adhesion of leukemic cells.","['Hendrikx, P J', 'Vermeulen, J', 'Hagenbeek, A', 'Vermey, M', 'Martens, A C']","['Hendrikx PJ', 'Vermeulen J', 'Hagenbeek A', 'Vermey M', 'Martens AC']","['Institute of Hematology, Erasmus University Rotterdam, The Netherlands.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Histochem Cytochem,The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society,9815334,"['0 (Biomarkers, Tumor)']",IM,"['Animals', '*Biomarkers, Tumor', '*Lac Operon', 'Leukemia, Experimental/genetics/pathology', 'Leukemia, Promyelocytic, Acute/genetics/pathology', 'Paraffin Embedding', 'Rats', 'Sensitivity and Specificity', 'Staining and Labeling/methods', 'Tumor Cells, Cultured']",1996/11/01 00:00,1996/11/01 00:01,['1996/11/01 00:00'],"['1996/11/01 00:00 [pubmed]', '1996/11/01 00:01 [medline]', '1996/11/01 00:00 [entrez]']",['10.1177/44.11.8918907 [doi]'],ppublish,J Histochem Cytochem. 1996 Nov;44(11):1323-9. doi: 10.1177/44.11.8918907.,,,,,,,,,,,,,,,,,,
8918905,NLM,MEDLINE,19961231,20190606,0022-1554 (Print) 0022-1554 (Linking),44,11,1996 Nov,"Classical morphology, esterase cytochemistry, and interphase cytogenetics of peripheral blood and bone marrow smears.",1303-9,"We used peripheral blood (PB) and bone marrow (BM) smears in the development of two methods based on cytomorphology and esterase cytochemistry in combination with fluorescence in situ hybridization (FISH). The first method involves photodocumentation of May-Grunewald-Giemsa (MGG)-stained cells, followed by destaining in methanol-acetic acid, fixation in paraformaldehyde, and digestion with protease and RNAse before FISH using alpha-satellite probes that specify chromosomes X, 7, 8, and 17. On average, two hybridization signals were seen in 94.5% of disomic BM cells. The hybridization sensitivity was found to vary, however, both among morphologically defined hematopoietic cell lineages and among differentation levels within a lineage. In the second method, an esterase staining technique was followed by the same treatment as for MGG-stained cells. The esterases and FISH signals could be simultaneously visualized and the method was found suitable for rapid screening of in situ signals in cytochemically defined granulocytes and lymphocytes but not in monocytes. The combined methods proved very useful in elucidating the clinical significance of chromosomal abnormalities seen in two cases of leukemia.","['Jacobsson, B', 'Bernell, P', 'Arvidsson, I', 'Hast, R']","['Jacobsson B', 'Bernell P', 'Arvidsson I', 'Hast R']","['Department of Clinical Pathology, Karolinska Institute at Danderyd Hospital, Sweden.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Histochem Cytochem,The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society,9815334,['EC 3.1.- (Esterases)'],IM,"['Blood Cells/enzymology/*pathology', 'Bone Marrow/enzymology/*pathology', 'Cell Cycle/genetics', '*Chromosomes, Human', 'Esterases/*analysis', 'Histocytochemistry/*methods', 'Humans', 'In Situ Hybridization, Fluorescence/*methods', 'Interphase/genetics', 'Leukemia, Myeloid, Acute/enzymology/genetics/pathology', 'Leukemia, Myelomonocytic, Chronic/enzymology/genetics/pathology', 'Staining and Labeling']",1996/11/01 00:00,1996/11/01 00:01,['1996/11/01 00:00'],"['1996/11/01 00:00 [pubmed]', '1996/11/01 00:01 [medline]', '1996/11/01 00:00 [entrez]']",['10.1177/44.11.8918905 [doi]'],ppublish,J Histochem Cytochem. 1996 Nov;44(11):1303-9. doi: 10.1177/44.11.8918905.,,,,,,,,,,,,,,,,,,
8918822,NLM,MEDLINE,19961218,20190501,0305-1048 (Print) 0305-1048 (Linking),24,20,1996 Oct 15,"Quantification of Bcr-Abl transcripts in chronic myelogenous leukemia (CML) using standardized, internally controlled, competitive differential PCR (CD-PCR).",4102-3,"The quantification of Bcr-Abl transcript numbers in chronic myelogenous leukemia (CML) patients described here uses simultaneous competitive PCR amplification of the target gene (Bcr-Abl) and a reference gene (porphobilinogen deaminase; Pbgd) together with a single composite competitor molecule for both targets based on heterologous sequences. Using this technique, Bcr-Abl transcript numbers could be reproducibly determined even in clinical samples known to harbour poor quality RNA.","['Nagel, S', 'Schmidt, M', 'Thiede, C', 'Huhn, D', 'Neubauer, A']","['Nagel S', 'Schmidt M', 'Thiede C', 'Huhn D', 'Neubauer A']","['Abteilung fur Innere Medizin m.S. Hamatologie und Onkologie, Virchow Klinikum, Medizinische Fakultat der Humboldt Universitat zu Berlin, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Nucleic Acids Res,Nucleic acids research,0411011,"['0 (DNA Primers)', '0 (DNA, Complementary)', '9008-11-1 (Interferons)', 'EC 2.5.1.61 (Hydroxymethylbilane Synthase)']",IM,"['DNA Primers/chemistry', 'DNA, Complementary/analysis', 'Electrophoresis, Agar Gel', 'Gene Expression Regulation, Neoplastic/genetics', 'Genes, abl/*genetics', 'Genetic Vectors/genetics', 'Humans', 'Hydroxymethylbilane Synthase/genetics', 'Interferons/therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*metabolism', 'Polymerase Chain Reaction/*methods', 'Transcription, Genetic/*genetics']",1996/10/15 00:00,1996/10/15 00:01,['1996/10/15 00:00'],"['1996/10/15 00:00 [pubmed]', '1996/10/15 00:01 [medline]', '1996/10/15 00:00 [entrez]']","['l60120 [pii]', '10.1093/nar/24.20.4102 [doi]']",ppublish,Nucleic Acids Res. 1996 Oct 15;24(20):4102-3. doi: 10.1093/nar/24.20.4102.,PMC146207,,,,,,,,,,,,,,,,,
8918744,NLM,MEDLINE,19970218,20190512,0931-0509 (Print) 0931-0509 (Linking),11 Suppl 4,,1996,Current anatomico-pathological classification of hepatitis: characteristics of HCV infection.,12-5,"Better knowledge of the natural history and aetiology of chronic hepatitis and the introduction of effective treatments have lead to revising the histopathological classification of chronic hepatitis. The basic lesions observed in chronic hepatitis are intra-portal inflammatory infiltrate, piecemeal necrosis, lobular necrotico-inflammatory lesions, and fibrosis. The histological activity of chronic hepatitis is usually assessed by apply Knodell's score or histological activity index (HAI). This score includes inflammatory lesions and fibrosis. But fibrosis is in fact the consequence of portal and lobular inflammation. The current classifications, including that proposed at the 1994 world conference on gastroenterology, propose discriminating between activity, or grade, and fibrosis, or stage. The classification of chronic hepatitis has also been revised because it was ill-adapted to assessing the C virus-linked chronic hepatitis. Histologically, these are little active chronic hepatitis associated with intra-sinusoidal inflammatory infiltrates of the leukaemia type, intralobular microgranulomas, intraportal lymphoid aggregates, and lesions of the small biliary tracts. Although non-specific, these lesions are evocative enough to histologically back-up diagnosis. Liver biopsy confirms chronic hepatitis diagnosis, determines its grade and stage, sometimes its cause. Liver biopsy also permits assessing treatment response.","['Mosnier, J F']",['Mosnier JF'],"['Department of Pathology, Hopital de Bellevue, Saint-Etienne, France.']",['eng'],"['Journal Article', 'Review']",England,Nephrol Dial Transplant,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",8706402,"['0 (Antibodies, Viral)']",IM,"['Antibodies, Viral/analysis', 'Biopsy', 'Chronic Disease', 'Hepacivirus/immunology', 'Hepatitis C/*classification/etiology/*pathology', 'Humans', 'Prognosis']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",['10.1093/ndt/11.supp4.12 [doi]'],ppublish,Nephrol Dial Transplant. 1996;11 Suppl 4:12-5. doi: 10.1093/ndt/11.supp4.12.,,10,,,,,,,,,,,,,,,,
8918732,NLM,MEDLINE,19970319,20190512,0931-0509 (Print) 0931-0509 (Linking),11,10,1996 Oct,Hairy-cell leukaemia in a renal transplant recipient.,2088-9,,"['Mamzer-Bruneel, M F', 'Legendre, C', 'Hermine, O', 'Flandrin, G', 'Varet, B', 'Kreis, H']","['Mamzer-Bruneel MF', 'Legendre C', 'Hermine O', 'Flandrin G', 'Varet B', 'Kreis H']","['Service de Transplantation, Hopital Necker, Paris, France.']",['eng'],"['Case Reports', 'Journal Article']",England,Nephrol Dial Transplant,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",8706402,,IM,"['Aged', 'Aspergillosis/etiology', 'Brain Abscess/etiology', 'Fatal Outcome', 'Humans', 'Kidney Failure, Chronic/surgery', 'Kidney Transplantation/*adverse effects', 'Leukemia, Hairy Cell/diagnosis/*etiology', 'Male', 'Reoperation', 'Time Factors']",1996/10/01 00:00,1996/10/01 00:01,['1996/10/01 00:00'],"['1996/10/01 00:00 [pubmed]', '1996/10/01 00:01 [medline]', '1996/10/01 00:00 [entrez]']",['10.1093/oxfordjournals.ndt.a027106 [doi]'],ppublish,Nephrol Dial Transplant. 1996 Oct;11(10):2088-9. doi: 10.1093/oxfordjournals.ndt.a027106.,,,,,,,,,,,,,,,,,,
8918689,NLM,MEDLINE,19970108,20190512,0953-8178 (Print) 0953-8178 (Linking),8,8,1996 Aug,The genomic structure and chromosomal localization of the mouse STAT3 gene.,1205-11,"A variety of cytokines induce the tyrosine phosphorylation of signal transducers and activators of transcription (STATs). Activation of the same STAT proteins by distinct cytokines and activation of different STAT proteins by each cytokine are thought to contribute to redundancy and pleiotropy of cytokine actions respectively. STAT3 is rapidly tyrosine phosphorylated in response to IL-6, ciliary neurotrophic factor, oncostatin M, leukemia inhibitory factor, IL-11, granulocyte colony stimulation factor and epidermal growth factor. In this report we have isolated and characterized the mouse genomic structure of STAT3. The mouse STAT3 gene consisted of 24 exons which spanned > 37 kb. The structure of the mouse STAT3 gene was almost identical to that of the human STAT2 gene, including the number and size of exons, indicating that the exon-intron organization had already been accomplished before these two genes duplicated, and then these genes evolved to respond to different ligands. By molecular linkage analysis with interspecific backcross mice the STAT3 gene mapped at 1.4 cM proximal to D11Mit59 on mouse chromosome 11. The promoter region contained potential regulatory elements such as GATA, NF-IL-6, PEBP2, Sp-1, AP-2 binding sites, cAMP response element, CAAT box and E-box. Transient expression of constructs harboring the 5' flanking region of the STAT3 gene fused to the luciferase gene showed that a 160 bp sequence upstream of the transcription start site conferred a basal and an IL-6-inducible promoter activity.","['Shi, W', 'Inoue, M', 'Minami, M', 'Takeda, K', 'Matsumoto, M', 'Matsuda, Y', 'Kishimoto, T', 'Akira, S']","['Shi W', 'Inoue M', 'Minami M', 'Takeda K', 'Matsumoto M', 'Matsuda Y', 'Kishimoto T', 'Akira S']","['Division of Immunology, Osaka University, Japan.']",['eng'],"['Comparative Study', 'Journal Article']",England,Int Immunol,International immunology,8916182,"['0 (DNA Primers)', '0 (DNA-Binding Proteins)', '0 (Interleukin-6)', '0 (STAT3 Transcription Factor)', '0 (STAT3 protein, human)', '0 (Stat3 protein, mouse)', '0 (Trans-Activators)', '9007-49-2 (DNA)', 'EC 1.13.12.- (Luciferases)']",IM,"['Animals', 'Base Sequence', 'Chromosome Mapping', 'Cloning, Molecular', 'DNA/genetics', 'DNA Primers/genetics', 'DNA-Binding Proteins/*genetics', 'Exons', 'Gene Expression', 'Genome', 'Humans', 'Interleukin-6/pharmacology', 'Introns', 'Luciferases/genetics', 'Mice', 'Molecular Sequence Data', 'Promoter Regions, Genetic/drug effects', 'STAT3 Transcription Factor', 'Trans-Activators/*genetics']",1996/08/01 00:00,1996/08/01 00:01,['1996/08/01 00:00'],"['1996/08/01 00:00 [pubmed]', '1996/08/01 00:01 [medline]', '1996/08/01 00:00 [entrez]']",['10.1093/intimm/8.8.1205 [doi]'],ppublish,Int Immunol. 1996 Aug;8(8):1205-11. doi: 10.1093/intimm/8.8.1205.,,,,,,,,,,,,,,,,,,
8918647,NLM,MEDLINE,19970204,20071115,0931-0509 (Print) 0931-0509 (Linking),11,9,1996 Sep,The patient with insidious chronic renal failure and the patient with the nephrotic syndrome--two manifestations of a protean and not so rare disease.,1876-80,,"['Pozzi, C', 'Locatelli, F']","['Pozzi C', 'Locatelli F']","['Division of Nephrology and Dialysis, Hospital of Lecco, Italy.']",['eng'],"['Case Reports', 'Comparative Study', 'Journal Article']",England,Nephrol Dial Transplant,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",8706402,"['0 (Immunoglobulin kappa-Chains)', '0 (Immunoglobulin lambda-Chains)']",IM,"['Adult', 'Amyloidosis/complications/diagnosis', 'Diagnosis, Differential', 'Humans', 'Immunoglobulin kappa-Chains/metabolism', 'Immunoglobulin lambda-Chains/metabolism', 'Kidney Failure, Chronic/*diagnosis/etiology/immunology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/complications', 'Male', 'Middle Aged', 'Nephrotic Syndrome/*diagnosis/etiology/immunology', 'Paraproteinemias/complications/diagnosis/therapy', 'Polycythemia/complications']",1996/09/01 00:00,1996/09/01 00:01,['1996/09/01 00:00'],"['1996/09/01 00:00 [pubmed]', '1996/09/01 00:01 [medline]', '1996/09/01 00:00 [entrez]']",,ppublish,Nephrol Dial Transplant. 1996 Sep;11(9):1876-80.,,,,,,,,,,,,,,,,,,
8918533,NLM,MEDLINE,19961223,20061115,0042-6822 (Print) 0042-6822 (Linking),225,1,1996 Nov 1,Human T cell leukemia virus type 1 tax protein increases NF-kappa B dimer formation and antagonizes the inhibitory activity of the I kappa B alpha regulatory protein.,52-64,"Human T cell leukemia virus type 1 (HTLV-1) encodes a strong transcriptional transactivator, the Tax protein, that stimulates viral transcription through the long terminal repeat and also stimulates many cellular genes via the activation of host transcription factors. Previous studies have demonstrated that Tax activates NF-kappa B through binding to the Rel homology domain of NF-kappa B proteins. Tax was also shown to increase degradation of I kappa B alpha resulting in the induction of NF-kappa B DNA binding activity. We addressed the specificity and function of Tax interaction with members of the NF-kappa B/I kappa B alpha family by using EMSA, protein affinity chromatography, protein-protein crosslinking and co-immunoprecipitation assays. The results of the present study demonstrate that: (1) Tax enhances NF-kappa B binding to DNA 40- to 100-fold by increasing NF-kappa B dimer formation which can be detected in the absence of DNA; (2) Tax binds to all NF-kappa B DNA binding subunits in vitro and to I kappa B alpha; (3) Tax physically associates with I kappa B alpha in vivo; and (4) Tax and I kappa B alpha have antagonistic effects on NF-kappa B binding and gene activity. These results suggest that Tax interaction with I kappa B alpha interferes with the formation of NF-kappa B-I kappa B alpha complexes and may play a role in targeting I kappa B alpha for degradation.","['Petropoulos, L', 'Lin, R', 'Hiscott, J']","['Petropoulos L', 'Lin R', 'Hiscott J']","['Lady Davis Institute for Medical Research, McGill University, Montreal, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Virology,Virology,0110674,"['0 (Cross-Linking Reagents)', '0 (Enzyme Inhibitors)', '0 (Gene Products, tax)', '0 (Imidoesters)', '0 (NF-kappa B)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-rel)', '0 (RELB protein, human)', '0 (Recombinant Fusion Proteins)', '0 (Transcription Factors)', '147337-75-5 (Transcription Factor RelB)', '36875-25-9 (dimethyl pimelimidate)', '9007-49-2 (DNA)', 'EC 3.4.22.- (Calpain)']",IM,"['Binding, Competitive', 'Calpain/antagonists & inhibitors', 'Cell Line', 'Cross-Linking Reagents', 'DNA/metabolism', 'Dimerization', 'Enzyme Inhibitors/pharmacology', 'Gene Products, tax/genetics/*metabolism/pharmacology', 'Human T-lymphotropic virus 1/*metabolism', 'Humans', 'Imidoesters', 'NF-kappa B/chemistry/genetics/*metabolism', 'Proto-Oncogene Proteins/genetics/*metabolism/pharmacology', 'Proto-Oncogene Proteins c-rel', 'Recombinant Fusion Proteins/metabolism', 'Transcription Factor RelB', 'Transcription Factors/genetics/metabolism']",1996/11/01 00:00,1996/11/01 00:01,['1996/11/01 00:00'],"['1996/11/01 00:00 [pubmed]', '1996/11/01 00:01 [medline]', '1996/11/01 00:00 [entrez]']","['S0042-6822(96)90574-7 [pii]', '10.1006/viro.1996.0574 [doi]']",ppublish,Virology. 1996 Nov 1;225(1):52-64. doi: 10.1006/viro.1996.0574.,,,,,,,,,,,,,,,,,,
