PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,RF,SI,CIN,EIN,CON,PMC,TT,OID,OTO,OT,GN,CRI,CN
8840268,NLM,MEDLINE,19961227,20190725,0085-2538 (Print) 0085-2538 (Linking),50,2,1996 Aug,Adhesion of U-937 monocytes induces cytotoxic damage and subsequent proliferation of cultured human mesangial cells.,417-23,"In an in vitro model of monocyte adhesion to glomerular cells, U-937 myelomonocytic leukemia cells irreversibly bind to human mesangial cell monolayers. Adhesion is enhanced in mesangial cells proliferating in response to fetal bovine serum, and in the presence of several cytokines and vasoactive agents. In the present study, co-culture with U-937 followed by removal of non-adherent cells time-dependently decreased viability of mesangial cells, measured either by fluorometry after dual labeling with calcein acetoxymethylester and ethidium homodimer, or by the release of lactate dehydrogenase. The cytotoxic effects of co-culture with U-937 cells were significantly reduced by a combination of free radical scavengers, indicating involvement of reactive oxygen species. U-937 cells also stimulated subsequent proliferation of mesangial cells, assessed by [3H]-TdR incorporation and direct cell counts 24 hours later (from 1,034 +/- 83 to 14,611 +/- 959 and from 2,931 +/- 201 to 19,400 +/- 2,124 cpm/well, quiescent/cycling mesangial cells, respectively, P < 0.01). Controls to rule out TdR incorporation by adherent U-937 cells included selective [3H]-TdR labeling and demecolcine pretreatment. Cell counts at 24 hours confirmed U-937-induced proliferation of quiescent HMC, from 50,575 +/- 3,596 to 143,012 +/- 10,039 cells/cm2 (P < 0.01). Agents that promote U-937 cell adhesion, such as the TxA2 mimetic, U-46619, or angiotensin II, enhanced cytotoxicity while inhibiting the proliferation of both quiescent and cycling mesangial cells, when added during co-culture and the subsequent 24 hours (+1 microM U-46619, 1,875 +/- 131 and 2,546 +/- 125 cpm/well, respectively, 79,793 +/- 5,744 cells/cm2, P < 0.01 vs. U-937 only; +1 microM Ang II, 5066 +/- 560 and 5,784 +/- 306 cpm/well, respectively, 81,068 +/- 4,671 cells/cm2, P < 0.05). Blocking antibodies against the adhesion molecule ICAM-1 and leukocyte counterreceptors (LFA-1, VLA-4) prevented the proliferative response, which could not be duplicated with the conditioned media of U-937 alone or co-cultured with mesangial cells. These findings may reflect the interactions occurring in vivo between infiltrating leukocytes and resident cells during glomerular inflammation.","['Mene, P', 'Pugliese, F', 'Cinotti, G A']","['Mene P', 'Pugliese F', 'Cinotti GA']","['Department of Medicine, University La Sapienza, Rome, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Kidney Int,Kidney international,0323470,"['0 (Antibodies, Blocking)', '0 (Cell Adhesion Molecules)', '0 (Culture Media, Conditioned)', 'VC2W18DGKR (Thymidine)']",IM,"['Animals', 'Antibodies, Blocking/pharmacology', 'Cattle', 'Cell Adhesion/*physiology', 'Cell Adhesion Molecules/immunology/physiology', 'Cell Communication/physiology', 'Cell Division/physiology', 'Cell Line', 'Cells, Cultured', 'Culture Media, Conditioned', 'Glomerular Mesangium/*pathology', 'Humans', 'Models, Biological', 'Monocytes/pathology/*physiology', 'Thymidine/metabolism']",1996/08/01 00:00,1996/08/01 00:01,['1996/08/01 00:00'],"['1996/08/01 00:00 [pubmed]', '1996/08/01 00:01 [medline]', '1996/08/01 00:00 [entrez]']","['S0085-2538(15)59625-7 [pii]', '10.1038/ki.1996.331 [doi]']",ppublish,Kidney Int. 1996 Aug;50(2):417-23. doi: 10.1038/ki.1996.331.,,,,,,,,,,,,,,
8840225,NLM,MEDLINE,19970212,20190920,0271-9142 (Print) 0271-9142 (Linking),16,4,1996 Jul,Amelioration of experimental systemic lupus erythematosus (SLE) by retrovirus infection.,230-6,"Experimental SLE can be induced in susceptible 129/J mice by immunization with a human anti-DNA antibody bearing a common idiotype designated 16/6 Id. Immunized mice develop autoantibodies, leukopenia, proteinuria, and immune complex deposits in renal glomeruli. Case reports have described clinical improvement in SLE in individuals becoming infected with HIV-1. Because 129/J mice are susceptible to experimental SLE and to infection with the BM5def murine leukemia virus (MuLV) mixture but do not develop the lymphoproliferative/ immunodeficiency disorder known as murine AIDS (MAIDS), we superimposed this infection on immunization with the 16/6 Id. Multiple effects were observed. First, we noted an amelioration in the course of experimental SLE. Second, both in experimental SLE and in BM5def MuLV infection, immunoreactivity to HIV-1 gp120 was demonstrated, although gp120 is not present in the BM5def MuLV viruses. Third, production of autoantibodies characteristically found in SLE, e.g., anti-DNA, anti-RNP, and anti-SSA, was seen in BM5def MuLV-infected mice, demonstrating that an immune response as a consequence of infection had occurred despite the absence of MAIDS induction. We conclude that (1) retrovirus inoculation may ameliorate the course of experimental SLE; and (2) retrovirus inoculation, even in the absence of MAIDS induction, induces an immunologic response which promotes the production of potentially pathogenic autoantibodies.","['Mittleman, B B', 'Morse, H C 3rd', 'Payne, S M', 'Shearer, G M', 'Mozes, E']","['Mittleman BB', 'Morse HC 3rd', 'Payne SM', 'Shearer GM', 'Mozes E']","['National Cancer Institute, National Institutes of Health, Bethesda, Maryland 20893, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,J Clin Immunol,Journal of clinical immunology,8102137,"['0 (Antigen-Antibody Complex)', '0 (Autoantibodies)', '0 (HIV Envelope Protein gp120)']",IM,"['Animals', 'Antigen-Antibody Complex/analysis', 'Autoantibodies/biosynthesis/drug effects', 'Female', 'HIV Envelope Protein gp120/blood', 'Immunohistochemistry', 'Kidney/immunology', 'Leukopenia/etiology', 'Lupus Erythematosus, Systemic/*complications/etiology/immunology', 'Mice', 'Mice, Inbred Strains', 'Murine Acquired Immunodeficiency Syndrome/complications/immunology', 'Retroviridae Infections/*complications/immunology']",1996/07/01 00:00,2001/03/28 10:01,['1996/07/01 00:00'],"['1996/07/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1996/07/01 00:00 [entrez]']",['10.1007/BF01541229 [doi]'],ppublish,J Clin Immunol. 1996 Jul;16(4):230-6. doi: 10.1007/BF01541229.,['N01-AI-45203/AI/NIAID NIH HHS/United States'],,,,,,,,,,,,,
8840187,NLM,MEDLINE,19970221,20131121,0214-6282 (Print) 0214-6282 (Linking),40,3,1996 Jun,"Structure and developmental expression of mouse Garp, a gene encoding a new leucine-rich repeat-containing protein.",545-55,"Proteins with leucine-rich repeats (LRR) constitute a large family of molecules playing a role in protein-protein interactions and signal transduction. They are involved in various cellular processes in different species. We characterized the organization and pattern of expression of the mouse Garp gene. It is composed of two coding exons, expressed as a major 4.3 kb mRNA, and encodes a putative LRR transmembrane protein with an extracellular region almost entirely made of 20 repeats, and a short intracytoplasmic region. The mouse GARP deduced amino-acid sequence is highly similar to that of the human protein. The Garp gene is expressed in various areas in the mid-gestation developing embryo, including skin, lens fibre cells, nasal cavity, smooth and skeletal muscles, lung, and megakaryocytes of the fetal liver. In the adult it is expressed in the megakaryocytes of the spleen and in endothelial cells of the placenta. The data suggests that GARP might be involved in platelet-endothelium interactions.","['Roubin, R', 'Pizette, S', 'Ollendorff, V', 'Planche, J', 'Birnbaum, D', 'Delapeyriere, O']","['Roubin R', 'Pizette S', 'Ollendorff V', 'Planche J', 'Birnbaum D', 'Delapeyriere O']","[""Laboratoire d'Oncologie Moleculaire, U. 119 INSERM, Marseille, France.""]",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Spain,Int J Dev Biol,The International journal of developmental biology,8917470,"['0 (LRRC32 protein, human)', '0 (Lrrc32 protein, mouse)', '0 (Membrane Proteins)', '0 (RNA, Messenger)', '0 (Recombinant Proteins)', 'GMW67QNF9C (Leucine)']",IM,"['Aging', 'Amino Acid Sequence', 'Animals', 'Cell Line', 'Cells, Cultured', 'Cloning, Molecular', 'Cosmids', 'Embryonic and Fetal Development', 'Exons', 'Female', '*Gene Expression Regulation, Developmental', 'Humans', 'Leucine', 'Leukemia, Erythroblastic, Acute', 'Megakaryocytes/metabolism', 'Membrane Proteins/*biosynthesis/*chemistry/genetics', 'Mice', 'Molecular Sequence Data', 'Muscle, Skeletal/metabolism', 'Muscle, Smooth/metabolism', 'Placenta/metabolism', 'Pregnancy', 'RNA, Messenger/biosynthesis', 'Recombinant Proteins/biosynthesis/chemistry', 'Sequence Homology, Amino Acid']",1996/06/01 00:00,1996/06/01 00:01,['1996/06/01 00:00'],"['1996/06/01 00:00 [pubmed]', '1996/06/01 00:01 [medline]', '1996/06/01 00:00 [entrez]']",,ppublish,Int J Dev Biol. 1996 Jun;40(3):545-55.,,,,,,,,,,,,,,
8839978,NLM,MEDLINE,19970130,20190719,0918-6158 (Print) 0918-6158 (Linking),19,7,1996 Jul,Augmentation by phthalimides of phorbol ester-induced expression of tumor necrosis factor alpha message.,1001-3,"N(alpha)-Phthalimidoglutarimide (thalidomide), 2-(2,6-diisopropylphenyl)-1H-isoindole-1,3-dione (PP-33) and its 4,5,6,7-tetrafluoro derivative (FPP-33) augmented 12-O-tetradecanoylphorbol 13-acetate-induced production by human leukemia HL-60 cells of both tumor necrosis factor alpha (TNF-alpha) mRNA and secreted TNF-alpha protein. Intracellular TNF-alpha protein production was increased to a lesser extent.","['Azuma, A', 'Miyachi, H', 'Shibata, Y', 'Hashimoto, Y', 'Iwasaki, S']","['Azuma A', 'Miyachi H', 'Shibata Y', 'Hashimoto Y', 'Iwasaki S']","['Institute of Molecular and Cellular Biosciences, University of Tokyo, Japan.']",['eng'],['Journal Article'],Japan,Biol Pharm Bull,Biological & pharmaceutical bulletin,9311984,"['0 (2-(2,6-diisopropylphenyl)-1H-isoindole-1,3-dione)', '0 (2-(2,6-diisopropylphenyl)-4,5,6,7-tetrafluoro-1H-isoindole-1,3-dione)', '0 (Carcinogens)', '0 (Isoindoles)', '0 (Phthalimides)', '0 (RNA, Messenger)', '0 (Tumor Necrosis Factor-alpha)', '4Z8R6ORS6L (Thalidomide)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Blotting, Northern', 'Carcinogens/*toxicity', 'HL-60 Cells', 'Humans', 'Isoindoles', 'Phthalimides/*toxicity', 'RNA, Messenger/biosynthesis', 'Signal Transduction/drug effects', 'Tetradecanoylphorbol Acetate/*toxicity', 'Thalidomide/toxicity', 'Tumor Necrosis Factor-alpha/*biosynthesis/metabolism']",1996/07/01 00:00,1996/07/01 00:01,['1996/07/01 00:00'],"['1996/07/01 00:00 [pubmed]', '1996/07/01 00:01 [medline]', '1996/07/01 00:00 [entrez]']",['10.1248/bpb.19.1001 [doi]'],ppublish,Biol Pharm Bull. 1996 Jul;19(7):1001-3. doi: 10.1248/bpb.19.1001.,,,,,,,,,,,,,,
8839972,NLM,MEDLINE,19970130,20190719,0918-6158 (Print) 0918-6158 (Linking),19,7,1996 Jul,"Transport mechanisms of anthracycline derivatives in human leukemia cell lines: uptake of pirarubicin, daunorubicin and doxorubicin by K562 and multidrug-resistant K562/ADM cells.",971-6,"We studied the uptake mechanisms of anthracycline derivatives, pirarubicin (THP), daunorubicin (DNR) and doxorubicin (ADR), in K562 and multidrug-resistant K562/ADM cells, which overexpress a multidrug efflux pump P-glycoprotein (P-gp). The uptake of THP, DNR and ADR by K562 or K562/ADM cells was time-, temperature- and concentration-dependent. The THP and ADR uptake by the parental cells was not affected by treatment with 4 mM 2,4-dinitrophenol (DNP) alone or DNP plus a P-gp specific inhibitor, cyclosporin A (CyA, 10 microM), while the DNR uptake in the DNP treatment group was significantly greater than that in the control group. There was no difference in the uptake of THP between DNP-pretreated K562 cells and DNP plus CyA-pretreated K562/ADM cells. The uptake of DNR or ADR was almost equal in both types of cell treated with DNP alone. Every kinetic constant for THP, DNR and ADR uptake by the sensitive cells was approximately equal to that in the resistant cells, respectively, under the above conditions. THP uptake was noncompetitively inhibited and stimulated on simultaneous treatment and preloading, respectively, of DNR or ADR in each type of cell. ADR showed noncompetitive inhibition of DNR uptake by either type of cell. Therefore, it was suggested that a common carrier-mediated transport system was involved in the uptake of THP, DNR and ADR, and that their binding sites in the carrier might be different from one another in both K562 and K562/ADM cells.","['Nagasawa, K', 'Takara, K', 'Nomiyama, M', 'Ohnishi, N', 'Yokoyama, T']","['Nagasawa K', 'Takara K', 'Nomiyama M', 'Ohnishi N', 'Yokoyama T']","['Department of Hospital Pharmacy, Kyoto Pharmaceutical University, Japan.']",['eng'],['Journal Article'],Japan,Biol Pharm Bull,Biological & pharmaceutical bulletin,9311984,"['0 (ATP Binding Cassette Transporter, Subfamily B, Member 1)', '0 (Antibiotics, Antineoplastic)', '0 (Antimetabolites)', '0 (Uncoupling Agents)', '80168379AG (Doxorubicin)', 'D58G680W0G (pirarubicin)', 'Q13SKS21MN (2,4-Dinitrophenol)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['2,4-Dinitrophenol/pharmacology', 'ATP Binding Cassette Transporter, Subfamily B, Member 1/antagonists & inhibitors', 'Antibiotics, Antineoplastic/*metabolism', 'Antimetabolites/pharmacology', 'Daunorubicin/metabolism/pharmacokinetics', 'Doxorubicin/analogs & derivatives/metabolism/pharmacokinetics', 'Drug Resistance, Multiple', 'Humans', 'Leukemia, Experimental/*metabolism', 'Tumor Cells, Cultured', 'Uncoupling Agents/pharmacology']",1996/07/01 00:00,1996/07/01 00:01,['1996/07/01 00:00'],"['1996/07/01 00:00 [pubmed]', '1996/07/01 00:01 [medline]', '1996/07/01 00:00 [entrez]']",['10.1248/bpb.19.971 [doi]'],ppublish,Biol Pharm Bull. 1996 Jul;19(7):971-6. doi: 10.1248/bpb.19.971.,,,,,,,,,,,,,,
8839887,NLM,MEDLINE,19961209,20190816,0003-3995 (Print) 0003-3995 (Linking),39,3,1996,Translocation t(10;11) involving the MLL gene in acute myeloid leukemia. Importance of fluorescence in situ hybridization (FISH) analysis.,147-51,"Fluorescence in situ hybridization analysis in an infant with acute monocytic leukemia revealed a complex translocation, t(10;11;4) (p12; q23;q26). Southern blot analysis confirmed the existence of rearrangement of the MLL gene. The frequent occurrence of complex translocations involving 10p12 and 11q23 is discussed in function of the opposite orientation of the AF10 and MLL genes on 10p and 11q. The importance of FISH analysis in t(10; 11) is emphasized.","['Berger, R', 'Le Coniat, M', 'Flexor, M A', 'Leblanc, T']","['Berger R', 'Le Coniat M', 'Flexor MA', 'Leblanc T']","['Unite INSERM U 301, Institut de Genetique Moleculaire, Paris, France.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Netherlands,Ann Genet,Annales de genetique,0370562,"['0 (DNA-Binding Proteins)', '0 (KMT2A protein, human)', '0 (Transcription Factors)', '149025-06-9 (Myeloid-Lymphoid Leukemia Protein)', 'EC 2.1.1.43 (Histone-Lysine N-Methyltransferase)']",IM,"['Chromosomes, Human, Pair 10/genetics/*ultrastructure', 'Chromosomes, Human, Pair 11/genetics/*ultrastructure', 'DNA-Binding Proteins/*genetics', 'Histone-Lysine N-Methyltransferase', 'Humans', '*In Situ Hybridization, Fluorescence', 'Infant', 'Leukemia, Monocytic, Acute/*genetics/pathology', 'Male', 'Myeloid-Lymphoid Leukemia Protein', '*Proto-Oncogenes', '*Transcription Factors', '*Translocation, Genetic']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",,ppublish,Ann Genet. 1996;39(3):147-51.,,39,,,,,,,,,,,,
8839881,NLM,MEDLINE,19961107,20210216,0006-4971 (Print) 0006-4971 (Linking),88,7,1996 Oct 1,Molecular investigation of secondary chronic myeloid leukemia.,2808-9,,"['Aguiar, R C', 'Sill, H', 'Hochhaus, A', 'Goldman, J M', 'Cross, N C']","['Aguiar RC', 'Sill H', 'Hochhaus A', 'Goldman JM', 'Cross NC']",,['eng'],"['Letter', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Antineoplastic Agents)', '0 (DNA, Neoplasm)']",IM,"['Antineoplastic Agents/adverse effects', 'Combined Modality Therapy/adverse effects', 'DNA, Neoplasm', '*Genes, Tumor Suppressor', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/therapy', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/etiology/*genetics', 'Male', 'Neoplasms, Second Primary/*genetics', 'Polymerase Chain Reaction', 'Polymorphism, Single-Stranded Conformational', 'Radiotherapy/adverse effects', 'Seminoma/therapy', 'Testicular Neoplasms/therapy', 'Thymoma/therapy', 'Thymus Neoplasms/therapy']",1996/10/01 00:00,1996/10/01 00:01,['1996/10/01 00:00'],"['1996/10/01 00:00 [pubmed]', '1996/10/01 00:01 [medline]', '1996/10/01 00:00 [entrez]']",['S0006-4971(20)62383-7 [pii]'],ppublish,Blood. 1996 Oct 1;88(7):2808-9.,,,,,,,,,,,,,,
8839863,NLM,MEDLINE,19961107,20210216,0006-4971 (Print) 0006-4971 (Linking),88,7,1996 Oct 1,Autocrine loop through cholecystokinin-B/gastrin receptors involved in growth of human leukemia cells.,2683-9,"The cholecystokinin (CCK)-B/gastrin receptor binds two brain-gut hormones, CCK and gastrin, with high affinities. These peptides have a trophic effect on gastrointestinal cells expressing the receptor in vivo as well as in vitro. Recently, this receptor mRNA was reported to be expressed in immunocytes localized in the lamina propria of normal rat stomach mucosa. Here, we studied the receptor expression in human hematopoietic cells in order to determine whether they play a role in cell growth. The CCK-B/gastrin receptor mRNA was detectable in the polymorphonuclear (PMN) cells but not in the mononuclear cells of normal peripheral white blood cells by reverse transcription-polymerase chain reaction. The receptor transcript was, however, expressed in human leukemia cell lines (14 of 18 cell lines tested) derived from not only myeloid, but also T- and B- lymphoid lineages. The CCK-B/gastrin receptors on several leukemia cell lines were shown to be biologically active by demonstrating ligand-dependent cell proliferation in serum-deprived medium. Interestingly, a human CCK-B/gastrin receptor specific antagonist, YM022, but not its stereotype isoform, selectively inhibited the DNA synthesis of THP-1, MOLT-16, MOLT-14, and CCRF-CEM in the absence of exogenous peptide ligands. Further investigation revealed that these leukemia cell lines and normal PMN cells also expressed gastrin mRNA. These results suggest that growth of human leukemia cells is promoted by an autocrine mechanism through the CCK-B/gastrin receptors.","['Iwata, N', 'Murayama, T', 'Matsumori, Y', 'Ito, M', 'Nagata, A', 'Taniguchi, T', 'Chihara, K', 'Matsuo, Y', 'Minowada, J', 'Matsui, T']","['Iwata N', 'Murayama T', 'Matsumori Y', 'Ito M', 'Nagata A', 'Taniguchi T', 'Chihara K', 'Matsuo Y', 'Minowada J', 'Matsui T']","['Department of Medicine, Kobe University School of Medicine, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Neoplasm Proteins)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)', '0 (Receptors, Cholecystokinin)']",IM,"['Cell Division', 'Cell Lineage', 'Gene Expression Regulation, Leukemic', 'Hematopoietic Stem Cells/drug effects/metabolism/*pathology', 'Humans', 'Leukemia/genetics/metabolism/*pathology', 'Leukocytes/metabolism', 'Neoplasm Proteins/genetics/*physiology', 'Neoplastic Stem Cells/drug effects/metabolism/*pathology', 'Polymerase Chain Reaction', 'RNA, Messenger/biosynthesis/genetics', 'RNA, Neoplasm/biosynthesis/genetics', 'Receptors, Cholecystokinin/genetics/*physiology', 'Tumor Cells, Cultured/drug effects']",1996/10/01 00:00,1996/10/01 00:01,['1996/10/01 00:00'],"['1996/10/01 00:00 [pubmed]', '1996/10/01 00:01 [medline]', '1996/10/01 00:00 [entrez]']",['S0006-4971(20)62365-5 [pii]'],ppublish,Blood. 1996 Oct 1;88(7):2683-9.,,,,,,,,,,,,,,
8839862,NLM,MEDLINE,19961107,20210216,0006-4971 (Print) 0006-4971 (Linking),88,7,1996 Oct 1,"Alterations in expression, binding to ligand and DNA, and transcriptional activity of rearranged and wild-type retinoid receptors in retinoid-resistant acute promyelocytic leukemia cell lines.",2671-82,"All-trans retinoic acid (tRA), a naturally occurring ligand of the nuclear retinoic acid receptors (RARs), induces differentiation of leukemic cells and clinical complete remission in patients with acute promyelocytic leukemia (APL). This differentiation effect can also be seen in vitro in both fresh leukemic cells and in the unique permanent APL cell line, NB4. However, APL cells become resistant to RA-induced differentiation both in vitro and in patients. Although pharmacodynamic mechanisms of resistance have been reported, there is growing evidence that resistance both in patients, as well as in vitro, can be mediated by changes in the sensitivity of leukemic cells to retinoids. To investigate possible mechanisms of retinoid resistance, we established subclones of NB4 that are stably resistant to both tRA and 9-cisRA. Unlike the previously reported NB4.306 retinoid-resistant cells, these subclones expressed PML/RAR-alpha RNA and protein, but demonstrated altered ligand binding patterns of PML/RAR-alpha and differed in retinoid-induced gene expression. They were significantly less able to stimulate transcription of an RARE driven CAT-reporter gene on induction by tRA and showed altered DNA binding activity on a RARE. These data suggest that NB4 cells selected for resistance to retinoids demonstrate abnormal ligand binding to PML/RAR-alpha that lead to altered transcriptional activation by retinoids.","['Rosenauer, A', 'Raelson, J V', 'Nervi, C', 'Eydoux, P', 'DeBlasio, A', 'Miller, W H Jr']","['Rosenauer A', 'Raelson JV', 'Nervi C', 'Eydoux P', 'DeBlasio A', 'Miller WH Jr']","['Lady Davis Institute for Medical Research, Montreal, Quebec, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (DNA, Neoplasm)', '0 (Ligands)', '0 (Neoplasm Proteins)', '0 (Oncogene Proteins, Fusion)', '0 (promyelocytic leukemia-retinoic acid receptor alpha fusion oncoprotein)', '5688UTC01R (Tretinoin)']",IM,"['Cell Differentiation/drug effects', 'Clone Cells', 'DNA, Neoplasm/*metabolism', 'Drug Resistance, Neoplasm', '*Gene Expression Regulation, Leukemic', 'Genes, Reporter', 'Leukemia, Promyelocytic, Acute/*genetics/pathology', 'Ligands', 'Neoplasm Proteins/*genetics/metabolism', 'Oncogene Proteins, Fusion/*genetics/metabolism', 'Protein Binding', '*Translocation, Genetic', 'Tretinoin/*metabolism/pharmacology', 'Tumor Cells, Cultured/drug effects']",1996/10/01 00:00,2001/03/28 10:01,['1996/10/01 00:00'],"['1996/10/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1996/10/01 00:00 [entrez]']",['S0006-4971(20)62364-3 [pii]'],ppublish,Blood. 1996 Oct 1;88(7):2671-82.,,,,,,,,,,,,,,
8839861,NLM,MEDLINE,19961107,20210216,0006-4971 (Print) 0006-4971 (Linking),88,7,1996 Oct 1,Polymerase chain reaction-based diagnosis of del (5q) in acute myeloid leukemia and myelodysplastic syndrome identifies a minimal deletion interval.,2665-70,"Loss of all or part of the long arm of human chromosome 5 is a recurrent abnormality in patients with acute myeloid leukemia (AML) and myelodysplastic syndrome (MDS), especially after chemotherapy for a prior malignancy. It is one of the worst prognostic indicators in AML, associated with chemotherapy resistance and short survival. These deletions center at band 5q31, which has thus been proposed as the location of a tumor suppressor gene; this site is to be distinguished from that observed in 5q- syndrome, centering at 5q32. To define the molecular extent and the clinical prevalence of 5q31 deletions, we collected a series of AML and MDS cases of mixed karyotype, taking care to exclude MDS cases with 5q- syndrome. The samples were analyzed for loss of heterozygosity (LOH) using a panel polymerase chain reaction (PCR)-based microsatellite markers from 5q, comparing malignant cells with normal tissue derived from lymphoblastoid cell lines or buccal mucosa scrapings. Losses were detected in seven of 29 matched samples, including four of 17 with MDS, and three of 12 with AML; six of these seven also had a cytogenetically-visible del(5q) or -5. The one case without a cytogenetic deletion showed molecular loss of three contiguous markers, with retention of flanking markers interleukin-9 (IL-9) and D5S414, and thus contained a small deletion that is below cytogenetic resolution. PCR failed to detect 5q loss in two cases with large cytogenetic deletions, but both had been treated and contained low percentages of malignant cells in the samples. This study thus led to the identification of a case with a minimal deletion for the 5q31 tumor suppressor gene, specified by IL-9-D5S414, that is approximately 1 Mb (2 cM) in extent. Additionally, we demonstrate that PCR-based allelotyping is a reliable method for the detection of chromosomal deletion in myeloid malignancy, providing the specimens contain a high proportion of malignant cells. These studies will help to identify the tumor-suppressor gene at 5q31, and will help to develop molecular methods for diagnosis and monitoring of these disorders.","['Horrigan, S K', 'Westbrook, C A', 'Kim, A H', 'Banerjee, M', 'Stock, W', 'Larson, R A']","['Horrigan SK', 'Westbrook CA', 'Kim AH', 'Banerjee M', 'Stock W', 'Larson RA']","['Department of Medicine, University of Illinois at Chicago 60607-7173, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (DNA Primers)', '0 (DNA, Neoplasm)']",IM,"['Acute Disease', 'Adult', 'Aged', 'Aged, 80 and over', 'Base Sequence', '*Chromosome Deletion', 'Chromosomes, Human, Pair 5/*ultrastructure', 'DNA Primers', 'DNA, Neoplasm/*genetics', 'Disease Progression', 'Evaluation Studies as Topic', 'Feasibility Studies', 'Female', 'Humans', 'Leukemia, Myeloid/*genetics/mortality/pathology', 'Male', '*Microsatellite Repeats', 'Middle Aged', 'Myelodysplastic Syndromes/*genetics/mortality/pathology', '*Polymerase Chain Reaction', 'Prognosis']",1996/10/01 00:00,1996/10/01 00:01,['1996/10/01 00:00'],"['1996/10/01 00:00 [pubmed]', '1996/10/01 00:01 [medline]', '1996/10/01 00:00 [entrez]']",['S0006-4971(20)62363-1 [pii]'],ppublish,Blood. 1996 Oct 1;88(7):2665-70.,['CA40046/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,
