PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RF,AID,GR,CIN,TT,PMC,SI,CON,EIN,CN,IR,FIR,OID,OTO,OT,GN,MID
8690051,NLM,MEDLINE,19960823,20171116,0301-472X (Print) 0301-472X (Linking),24,8,1996 Jul,Anti-CD45 and anti-CD52 (Campath) monoclonal antibodies effectively eliminate systematically disseminated human non-Hodgkin's lymphoma B cells in Scid mice.,919-26,"Severe combined immunodeficient (Scid) mice inoculated with the human (t(14;18)-positive B cell lines DoHH2 and BEVA develop lethal systemically disseminated lymphoma (de Kroon et al., Leukemia 8:1385, and Blood 80 [suppl 1]:436). These models were used to study the therapeutic effect of rat-anti-human CD52 (Campath-1G) or CD45 monoclonal antibodies (mAbs) on systemically disseminated tumor cells and on tumor cells present in solid tumor masses. Both mAbs were effective in inhibiting growth of systemically disseminated malignant cells. When treatment with anti-CD52 or anti-CD45 mAbs at a dose of 30 micrograms/mouse/d for 4 days was started 24 hours after intravenous inoculation of human DoHH2 or BEVA cells, a 3-log kill of tumor cells was observed as measured by prolonged survival. After treatment, surviving animals injected with high numbers of BEVA cells showed tumor masses in liver, kidney, and mesenteric lymph nodes. In contrast to nontreated animals, however, only low numbers of malignant cells were found in peripheral blood, and bone marrow was free of tumor cells. Similarly, after mAb treatment of mice inoculated subcutaneously (sc) with DoHH2 cells, no tumor cells could be found in the bone marrow, and few DoHH2 cells could be detected in the peripheral blood, spleen, liver, kidney, or lung. In contrast, tumor cells present in subcutaneous tumors and axillary lymph nodes were relatively unaffected by mAb therapy. The presence of rat immunoglobulin (Ig) could be demonstrated on surviving tumor cells. The presence of murine macrophages in areas in these tumors that were depleted of DoHH2 cells suggested that the mAb-mediated antitumor effect observed in the Scid mouse model is mediated by cellular mechanisms. Apparently these mechanisms were not sufficient to eliminate the fast-growing tumor cells present in the protected sites. Our results indicate that treatment with anti-CD52 or anti-CD45 mAbs potentially may be useful as adjuvant immunotherapy for systemically disseminated B cell lymphoma.","['de Kroon, J F', 'de Paus, R A', 'Kluin-Nelemans, H C', 'Kluin, P M', 'van Bergen, C A', 'Munro, A J', 'Hale, G', 'Willemze, R', 'Falkenburg, J H']","['de Kroon JF', 'de Paus RA', 'Kluin-Nelemans HC', 'Kluin PM', 'van Bergen CA', 'Munro AJ', 'Hale G', 'Willemze R', 'Falkenburg JH']","['Laboratory of Experimental Hematology, Department of Hematology, Leiden University Hospital, The Netherlands.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Exp Hematol,Experimental hematology,0402313,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD)', '0 (Antigens, Neoplasm)', '0 (CD52 Antigen)', '0 (CD52 protein, human)', '0 (Cd52 protein, rat)', '0 (DNA, Neoplasm)', '0 (Glycoproteins)', '0 (Immunoglobulin G)', 'EC 3.1.3.48 (Leukocyte Common Antigens)']",IM,"['Animals', '*Antibodies, Monoclonal', 'Antibody-Dependent Cell Cytotoxicity', 'Antigens, CD/*immunology', '*Antigens, Neoplasm', 'B-Lymphocytes/*immunology', 'CD52 Antigen', 'Cell Line', 'Chromosomes, Human, Pair 14', 'Chromosomes, Human, Pair 18', 'DNA, Neoplasm/analysis', '*Glycoproteins', 'Humans', 'Immunoglobulin G', 'Immunophenotyping', 'Immunotherapy', 'Leukocyte Common Antigens/*immunology', '*Lymphocyte Depletion', 'Lymphoma, B-Cell/genetics/*immunology/therapy', 'Male', 'Mice', 'Mice, SCID', 'Rats', 'Translocation, Genetic', 'Tumor Cells, Cultured']",1996/07/01 00:00,1996/07/01 00:01,['1996/07/01 00:00'],"['1996/07/01 00:00 [pubmed]', '1996/07/01 00:01 [medline]', '1996/07/01 00:00 [entrez]']",ppublish,Exp Hematol. 1996 Jul;24(8):919-26.,,,,,,,,,,,,,,,,,
8690048,NLM,MEDLINE,19960823,20131121,0301-472X (Print) 0301-472X (Linking),24,8,1996 Jul,Profile of cell cycle in hematopoietic malignancy by DNA/RNA quantitation using 7AAD/PY.,894-901,"Using 7-amino-actinomycin-D/pyronin Y (7AAD/PY), we analyzed the surface phenotypes and cell cycle of 22 hematopoietic cell lines based on their cellular DNA/RNA content. Populations of G1a, G1b, S, and G2M, the DNA index (DI), and the RNA index of S phase (SRI) were calculated by means of DNA/RNA dot plots. Two new parameters were extracted from the cell-cycle profiles: the nucleic acid index of S phase (NI) and the coefficient of variations in the RNA at S phase (SVC). DNA/RNA dot plots of cell lines revealed four characteristic profiles of the cell cycle, defined with the calculated NI and SCV. These were type 0 (small NI, large SCV), type I (small NI, small SCV), type II (large NI, small SCV), and type III (large NI, large SCV). Type O included four stem cell lines: one t(1;19) leukemia, two Ph1+ acute lymphocytic leukemia (ALL), and one biphenotypic crisis of chronic granulocytic leukemia (CGL). Type I included five ALL cell lines: three T-ALL and two common B-ALL. Type II contained 10 myeloid cell lines: five AML and five myeloid crisis of CGL. Type III contained three relatively immature lymphoma cell lines: two Burkitt's lymphoma and one follicular center lymphoma. Calculated NI/SCV (%) were as follows: type 0, 2.27 +/- 0.19/16.7 +/- 3.7; type I, 2.20 +/- 0.30/11.1 +/- 0.7; type II, 3.64 +/- 0.52/11.8 +/- 1.0; and type III, 3.60 +/- 0.53/17.5 +/- 1.9. Cell-cycle analysis of blasts using 7AAD/PY combined with surface phenotyping may yield important information for classifying hematopoietic malignancy within 2 hours of patient admission.","['Toba, K', 'Kishi, K', 'Koike, T', 'Winton, E F', 'Takahashi, H', 'Nagai, K', 'Maruyama, S', 'Furukawa, T', 'Hashimoto, S', 'Masuko, M', 'Uesugi, Y', 'Kuroha, T', 'Tsukada, N', 'Shibata, A']","['Toba K', 'Kishi K', 'Koike T', 'Winton EF', 'Takahashi H', 'Nagai K', 'Maruyama S', 'Furukawa T', 'Hashimoto S', 'Masuko M', 'Uesugi Y', 'Kuroha T', 'Tsukada N', 'Shibata A']","['The First Department of Internal Medicine, Niigata University School of Medicine, Japan.']",['eng'],['Journal Article'],Netherlands,Exp Hematol,Experimental hematology,0402313,"['0 (Antigens, CD)', '0 (DNA, Neoplasm)', '0 (RNA, Neoplasm)', '1CC1JFE158 (Dactinomycin)', '7240-37-1 (7-aminoactinomycin D)', 'W659G165T1 (Pyronine)']",IM,"['Antigens, CD/analysis', '*Cell Cycle', 'Cell Line', 'DNA, Neoplasm/*analysis', 'Dactinomycin/analogs & derivatives', 'Flow Cytometry/methods', 'Humans', 'Immunophenotyping', 'Leukemia/immunology/*pathology', 'Lymphoma/immunology/*pathology', 'Pyronine', 'RNA, Neoplasm/*analysis', 'Staining and Labeling', 'Tumor Cells, Cultured']",1996/07/01 00:00,1996/07/01 00:01,['1996/07/01 00:00'],"['1996/07/01 00:00 [pubmed]', '1996/07/01 00:01 [medline]', '1996/07/01 00:00 [entrez]']",ppublish,Exp Hematol. 1996 Jul;24(8):894-901.,,,,,,,,,,,,,,,,,
8690046,NLM,MEDLINE,19960823,20091119,0301-472X (Print) 0301-472X (Linking),24,8,1996 Jul,v-src interferes with the in vitro erythropoietic stimulatory ability of spleen stromal cells through repression of vascular cell adhesion molecule-1 and stem cell factor.,883-7,"A mouse spleen stromal cell line, MSS62, can create an in vitro erythropoietic microenvironment in which development of erythropoietin-responsive progentor cells is stimulated by cell-cell contact via stem cell factor (SCF)/c-Kit and vascular cell adhesion molecule-1 (VCAM-1)/very late activation antigen-4 (VLA-4) interactions between stromal and erythroid cells. To find out the effect of src on the erythropoietic microenvironment, MSS62 cells were transfected with v-src oncogene, and its effect on erythropoietic stimulatory activity was measured. Transfectants with high v-Src activity showed reduction in erythropoietic stimulatory activity. A decrease in cell-surface VCAM-1 and SCF mRNA was accompanied by high v-Src activity. These results suggest that v-Src interferes with the erythropoietic stimulatory activity of the stromal cells through repression of VCAM-1 and SCF.","['Yanai, N', 'Shimizu, A', 'Koguma, M', 'Obinata, M']","['Yanai N', 'Shimizu A', 'Koguma M', 'Obinata M']","['Department of Cell Biology, Institute of Development, Aging and Cancer, Tohoku University, Sendai, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Exp Hematol,Experimental hematology,0402313,"['0 (Culture Media, Conditioned)', '0 (Recombinant Proteins)', '0 (Stem Cell Factor)', '0 (Vascular Cell Adhesion Molecule-1)', 'EC 2.7.10.2 (Oncogene Protein pp60(v-src))']",IM,"['Animals', 'Cell Adhesion', 'Cell Division', 'Cell Line', 'Coculture Techniques', 'Colony-Forming Units Assay', 'Culture Media, Conditioned', '*Erythropoiesis', 'Flow Cytometry', '*Genes, src', 'Hematopoietic Stem Cells/*cytology', 'Leukemia, Erythroblastic, Acute/physiopathology', 'Mice', 'Oncogene Protein pp60(v-src)/biosynthesis/*physiology', 'Phosphorylation', 'Recombinant Proteins/biosynthesis', 'Spleen/cytology', 'Stem Cell Factor/*physiology', 'Stromal Cells', 'Transfection', 'Tumor Cells, Cultured', 'Vascular Cell Adhesion Molecule-1/*physiology']",1996/07/01 00:00,1996/07/01 00:01,['1996/07/01 00:00'],"['1996/07/01 00:00 [pubmed]', '1996/07/01 00:01 [medline]', '1996/07/01 00:00 [entrez]']",ppublish,Exp Hematol. 1996 Jul;24(8):883-7.,,,,,,,,,,,,,,,,,
8689866,NLM,MEDLINE,19960829,20061115,0098-8243 (Print) 0098-8243 (Linking),22,2,1996 Feb,Some cytogenetic and molecular aspects of cancer therapy.,76-80,,"['Sandberg, A A', 'Chen, Z']","['Sandberg AA', 'Chen Z']","['Genetrix, Inc., and Southwest Biomedical Research Institute Scottsdale, Arizona, USA.']",['eng'],"['Comparative Study', 'Journal Article', 'Review']",United States,Compr Ther,Comprehensive therapy,7605837,,IM,"['Breast Neoplasms/ultrastructure', '*Chromosome Aberrations', 'Colorectal Neoplasms/ultrastructure', 'Humans', 'Leukemia/*pathology', 'Lymphoma/*pathology/ultrastructure', 'Prognosis']",1996/02/01 00:00,1996/02/01 00:01,['1996/02/01 00:00'],"['1996/02/01 00:00 [pubmed]', '1996/02/01 00:01 [medline]', '1996/02/01 00:00 [entrez]']",ppublish,Compr Ther. 1996 Feb;22(2):76-80.,11,,,,,,,,,,,,,,,,
8689793,NLM,MEDLINE,19960823,20061115,0009-918X (Print) 0009-918X (Linking),36,1,1996 Jan,[A case of erythroleukemia found after multiple cerebral hemorrhage].,58-60,"A 61-year-old man without hypertension was admitted for unconsciousness. Brain CT showed multiple cerebral hemorrhage of the left frontal lobe and right occipital lobe. The hemoglobin was 7.0 g/dl, the platelet count 7,000, the white-cell count 7,600 with erythroblasts, and the fibrinogen 327 mg/dl. No disseminated intravascular coagulation was found. Bone marrow examination demonstrated 69.2% erythroblasts including abnormal types of nucleus, 12.8% myeloblasts, 12.8% neutrophils, 0.8% monocytes, 4% lymphocytes, and 0.4% reticulocytes. Chromosomal examination showed 7 of 20 bone marrow cells were variously abnormal. A diagnosis of erythroleukemia with major karyotype aberrations (MAKA) was made. The patient died 5 days after admission. Histologically, cerebral hemorrhagic lesions showed complete necrosis, but neither invasion of leukemic cells nor amyloid angiopathy. We suspected that the cause of cerebral hemorrhage was severe loss of platelets. This is a rare case of erythroleukemia found after multiple cerebral hemorrhage. As a cause of cerebral hemorrhage in an old man without hypertension, one should consider not only cerebral amyloid angiopathy but also leukemia.","['Izumi, M', 'Terao, S', 'Daimaru, O', 'Marui, K', 'Mitsuma, T']","['Izumi M', 'Terao S', 'Daimaru O', 'Marui K', 'Mitsuma T']","['Fourth Department of Internal Medicine, Aichi Medical University, Japan.']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article', 'Review']",Japan,Rinsho Shinkeigaku,Rinsho shinkeigaku = Clinical neurology,0417466,,IM,"['Cerebral Hemorrhage/*etiology', 'Humans', 'Leukemia, Erythroblastic, Acute/*complications/diagnosis', 'Male', 'Middle Aged']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",ppublish,Rinsho Shinkeigaku. 1996 Jan;36(1):58-60.,7,,,,,,,,,,,,,,,,
8689767,NLM,MEDLINE,19960826,20041117,0307-6938 (Print) 0307-6938 (Linking),21,1,1996 Jan,Absence of human T-lymphotrophic virus type I in patients with systemic lupus erythematosus.,38-42,"The role of the human T-cell lymphotropic/leukaemia virus type I (HTLV-I) in the pathogenesis of autoimmune diseases of unknown cause, such as systemic lupus erythematosus (SLE), multiple sclerosis (MS) or Sjogren's syndrome (SS) has been discussed extensively. We have investigated whether SLE is in any way associated with exogenous HTLV-I. Using enzyme immunoassay (EIA), we found no seroreactivity against HTLV-I antigens in any of 24 SLE patients under investigation. Using a radioimmunoprecipitation assay (RIPA), there was also no expression of retroviral tax-protein demonstrable in 24 individuals with SLE. DNA preparations of peripheral blood cells, as well as isolated CD4- and CD8-positive cells, were examined for HTLV-I sequences (pol-, env-, gag-, LTR- and tax-region) using polymerase chain reaction (PCR). We were unable to demonstrate any specific HTLV-I PCR products in SLE specimens. Our data suggest that exogenous HTLV-I is not involved in the pathogenesis of SLE. Systemic lupus erythematosus (SLE) is a multisystem disease of unknown cause characterized by B-cell hyperactivity with hypergammaglobulinaemia and the formation of pathogenic autoantibodies. Patients may also show altered suppressor/helper T-cell ratios. Abnormalities in T-cell function include T-cell lymphopenia, expression of activation antigens and alteration of responses to mitogens and lymphokines. Human retroviruses are known to cause immune aberrations, such as diminished T-cell function and polyclonal B-cell stimulation, which are observed in patients with leukaemias, lymphomas and the acquired immunodeficiency syndrome (AIDS). Human T-cell lymphotropic/leukaemia (HTLV-I) is aetiologically linked with adult virus type I T-cell leukaemia (ATL) and tropical spastic paraparesis. A common feature of the HTLV family is an LTR encoded protein (tax protein, p40tax) which triggers viral protein production in the early stages of a retroviral infection. Detection of p40tax may indicate transcriptional activity of a provirus. Several investigators have examined the possible involvement of HTLV-I in SLE and have produced conflicting results, especially so far as seroreactivity against HTLV-I antigens is concerned. The discovery of HTLV-I like particles in murine lupus might also indicate an important role of exogenous viruses in SLE. Olsen and colleagues describe a high seropositivity to anti-HTLV-I- and anti-HTLV-III antibodies and evidence of viral replication in patients with SLE. Lin et al. also demonstrated anti-HTLV-I antibodies in SLE patients. However, other authors failed to detect anti-HTLV-I antibodies, proviral structures or viral transcripts in SLE. We investigated whether or not there are any indications of the presence of the exogenous retrovirus, HTLV-I, in patients with SLE, at immunological and genetic levels. We found neither immunological nor molecular biological evidence for the existence of HTLV-I in SLE patients. There were some weak suggestions of the presence of possibly endogenous retroviral sequences.","['Lipka, K', 'Tebbe, B', 'Finckh, U', 'Rolfs, A']","['Lipka K', 'Tebbe B', 'Finckh U', 'Rolfs A']","['Neurochemical Research Laboratory, Free University of Berlin.']",['eng'],['Journal Article'],England,Clin Exp Dermatol,Clinical and experimental dermatology,7606847,"['0 (Antibodies, Viral)', '0 (Viral Proteins)', '9007-49-2 (DNA)']",IM,"['Antibodies, Viral/blood', 'Base Sequence', 'Blood Cells/virology', 'DNA', 'Female', 'Human T-lymphotropic virus 1/*isolation & purification', 'Humans', 'Immunoenzyme Techniques', 'Lupus Erythematosus, Systemic/*virology', 'Male', 'Molecular Sequence Data', 'Polymerase Chain Reaction', 'Radioimmunoprecipitation Assay', 'Viral Proteins/blood']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",ppublish,Clin Exp Dermatol. 1996 Jan;21(1):38-42.,,,,,,,,,,,,,,,,,
8689686,NLM,MEDLINE,19960826,20190705,0092-8674 (Print) 0092-8674 (Linking),86,1,1996 Jul 12,The T cell leukemia oncoprotein SCL/tal-1 is essential for development of all hematopoietic lineages.,47-57,"The T cell leukemia oncoprotein SCL/tal-1, a basic-helix-loop-helix transcription factor, is required for production of embryonic red blood cells in the mouse yolk sac. To define roles in other lineages, we studied the hematopoietic potential of homozygous mutant SCL/tal-1 -/- embryonic stem cells upon in vitro differentiation and in vivo in chimeric mice. Here we show that in the absence of SCL/tal-1, hematopoiesis, Including the generation of red cells, myeloid cells, megakaryocytes, mast cells, and both T and B lymphoid cells, is undetectable. These findings suggest that SCL/tal-1 functions very early in hematopoietic development, either in specification of ventral mesoderm to a blood cell fate, or in formation or maintenance of immature progenitors.","['Porcher, C', 'Swat, W', 'Rockwell, K', 'Fujiwara, Y', 'Alt, F W', 'Orkin, S H']","['Porcher C', 'Swat W', 'Rockwell K', 'Fujiwara Y', 'Alt FW', 'Orkin SH']","['Division of Hematology and Oncology, Childrens Hospital, Boston, Massachusetts, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cell,Cell,0413066,"['0 (Basic Helix-Loop-Helix Transcription Factors)', '0 (DNA, Complementary)', '0 (DNA-Binding Proteins)', '0 (Proto-Oncogene Proteins)', '0 (T-Cell Acute Lymphocytic Leukemia Protein 1)', '0 (Tal1 protein, mouse)', '0 (Transcription Factors)']",IM,"['Animals', 'B-Lymphocytes/physiology', 'Base Sequence', 'Basic Helix-Loop-Helix Transcription Factors', 'Cell Lineage/physiology', 'Chimera', 'DNA, Complementary/genetics', 'DNA-Binding Proteins/*genetics', 'Erythrocytes/physiology', 'Gene Expression/physiology', 'Hematopoiesis/*genetics', 'Leukemia, T-Cell', 'Macrophages/physiology', 'Mast Cells/physiology', 'Megakaryocytes/physiology', 'Mice', 'Molecular Sequence Data', 'Mutation/physiology', 'Phenotype', 'Proto-Oncogene Proteins/physiology', 'Retroviridae', 'T-Cell Acute Lymphocytic Leukemia Protein 1', 'T-Lymphocytes/physiology', '*Transcription Factors', 'Transfection']",1996/07/12 00:00,1996/07/12 00:01,['1996/07/12 00:00'],"['1996/07/12 00:00 [pubmed]', '1996/07/12 00:01 [medline]', '1996/07/12 00:00 [entrez]']",ppublish,Cell. 1996 Jul 12;86(1):47-57. doi: 10.1016/s0092-8674(00)80076-8.,,"['S0092-8674(00)80076-8 [pii]', '10.1016/s0092-8674(00)80076-8 [doi]']",,,,,,,,,,,,,,,
8689671,NLM,MEDLINE,19960829,20190920,0143-4160 (Print) 0143-4160 (Linking),19,2,1996 Feb,Agonist-stimulated free calcium in subcellular compartments. Delivery of recombinant aequorin to organelles using a replication deficient adenovirus vector.,133-42,"Changes in the concentration of calcium ions ([Ca2+]) within cellular organelles play a central role in controlling cellular function. We have engineered the Ca2+ sensitive photoprotein aequorin to monitor selectively [Ca2+] within defined subcellular compartments, namely the cytosol, nucleus and endoplasmic reticulum. DNA encoding the engineered aequorins have been inserted into a replication deficient adenovirus (Ad) type 5 E1-vector, under control of the cytomegalovirus (CMV) major immediate early promoter. The Ad vector provides a simple and efficient method to express the photoproteins in a wide variety of mammalian cell types. Efficient targeting of the photoproteins to the appropriate cellular compartment was established immunocytochemically in COS7 cells, where it was expressed in up to 100% of the target population. Levels of expression could be controlled by virus dose and chemical agents which affect the activity of the CMV promoter. In HeLa cells expressing nuclear targeted aequorin or cytosolic aequorin, ATP or histamine induced immediate biphasic elevations of both nuclear and cytosolic [Ca2+]; subsequent challenge with agonist evoked similar responses. In addition to epithelial type adherent cell lines (COS7 and HeLa), aequorin expression was also readily detected in non-adherent cells of myeloid lineage (K562 and HL60) and non-adherent primary cells polymorphonuclear leucocytes (neutrophils). The Ad vectors can, therefore, be used to express targeted aequorin in a range of different cell types and represents a novel method to monitor changes in free [Ca2+] in cellular organelles.","['Kendall, J M', 'Badminton, M N', 'Sala-Newby, G B', 'Wilkinson, G W', 'Campbell, A K']","['Kendall JM', 'Badminton MN', 'Sala-Newby GB', 'Wilkinson GW', 'Campbell AK']","['Department of Medical Biochemistry, University of Wales College of Medicine, Cardiff, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Cell Calcium,Cell calcium,8006226,"['0 (Adenovirus E1 Proteins)', '0 (Luminescent Proteins)', '0 (Recombinant Proteins)', '50934-79-7 (Aequorin)', '820484N8I3 (Histamine)', '8L70Q75FXE (Adenosine Triphosphate)', 'SY7Q814VUP (Calcium)']",IM,"['Adenosine Triphosphate/metabolism/pharmacology', 'Adenoviridae/genetics', 'Adenovirus E1 Proteins/genetics', 'Aequorin/chemistry/*genetics/*pharmacology', 'Animals', 'Base Sequence', 'Calcium/*metabolism', 'Cell Compartmentation/*drug effects/*physiology', 'Cell Nucleus/drug effects/genetics/virology', 'Cytomegalovirus/genetics', 'Cytosol/drug effects/metabolism/virology', 'Endoplasmic Reticulum/drug effects/genetics/virology', 'Genetic Vectors/genetics', 'Haplorhini', 'HeLa Cells', 'Histamine/metabolism/pharmacology', 'Humans', 'Leukemia, Erythroblastic, Acute/drug therapy/pathology/virology', 'Leukemia, Promyelocytic, Acute/drug therapy/pathology/virology', 'Luminescent Proteins/biosynthesis/drug effects', 'Molecular Sequence Data', 'Promoter Regions, Genetic', 'Recombinant Proteins/biosynthesis/genetics/pharmacology', 'Tumor Cells, Cultured', 'Virus Replication']",1996/02/01 00:00,1996/02/01 00:01,['1996/02/01 00:00'],"['1996/02/01 00:00 [pubmed]', '1996/02/01 00:01 [medline]', '1996/02/01 00:00 [entrez]']",ppublish,Cell Calcium. 1996 Feb;19(2):133-42. doi: 10.1016/s0143-4160(96)90082-2.,,"['S0143-4160(96)90082-2 [pii]', '10.1016/s0143-4160(96)90082-2 [doi]']",['Wellcome Trust/United Kingdom'],,,,,,,,,,,,,,
8689662,NLM,MEDLINE,19960828,20131121,0008-7335 (Print) 0008-7335 (Linking),135,8,1996 Apr 17,Intensification of the conditioning regimen by the addition of anthracyclines results in a higher incidence of sustained molecular remissions after allogeneic bone marrow transplantation for chronic myeloid leukaemia with marrow depleted of lymphocytes by counterflow centrifugation.,239-43,"BACKGROUND: Relapse remains a significant problem in patients after bone marrow transplantation. The aim of the study was an effort to decrease the incidence of relapses in patients transplanted for chronic myeloid leukaemia (CML) by different conditioning regimens. METHODS AND RESULTS: 28 patients with CML who underwent allogeneic bone marrow transplantation with grafts depleted of 98% of lymphocytes were divided into two groups according to the conditioning regimen used. Patients in group 1 were conditioned without anthracyclines, and patients in group 2 were conditioned with the addition of anthracyclines. Bone marrow samples taken 6 and 12 months after BMT, and annually thereafter, were analyzed by polymerase chain reaction (PCR) for residual disease. Median time of bone marrow sampling and medium number of samples analyzed did not differ significantly between two groups of patients. In group 1, consisting of 11 patients, 40% of samples were negative, and in group 2 with 17 patients, PCR was negative in 79% of samples. It is evident that the addition of anthracyclines favourably influences posttransplantation development. CONCLUSIONS: The addition of anthracyclines to the conditioning regimen in recipients of grafts depleted of 98% of lymphocytes, significantly decreases the incidence of relapses even 4 years after BMT.","['Schattenberg, A', 'Mensink, E', 'de Witte, T']","['Schattenberg A', 'Mensink E', 'de Witte T']","['Division of Hematology, University Hospital Nijmegen, The Netherlands.']",['eng'],['Journal Article'],Czech Republic,Cas Lek Cesk,Casopis lekaru ceskych,0004743,"['0 (Antibiotics, Antineoplastic)', '0 (Immunosuppressive Agents)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Adolescent', 'Adult', 'Antibiotics, Antineoplastic/*administration & dosage', '*Bone Marrow Transplantation', 'Cyclophosphamide/therapeutic use', 'Female', 'Humans', 'Immunosuppressive Agents/therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*therapy', '*Lymphocyte Depletion', 'Male', 'Middle Aged', 'Remission Induction']",1996/04/17 00:00,1996/04/17 00:01,['1996/04/17 00:00'],"['1996/04/17 00:00 [pubmed]', '1996/04/17 00:01 [medline]', '1996/04/17 00:00 [entrez]']",ppublish,Cas Lek Cesk. 1996 Apr 17;135(8):239-43.,,,,,,,,,,,,,,,,,
8689620,NLM,MEDLINE,19960829,20190816,0165-4608 (Print) 0165-4608 (Linking),89,1,1996 Jul 1,Extra Y chromosome in T-cell acute lymphoblastic leukemia.,85-7,"We describe a 66-year-old man who developed T-cell acute lymphoblastic leukemia (ALL) with a sole clonal chromosomal abnormality of 47,XY,+Y. Leukemic cells were positive for CD2, CD7, terminal deoxynucleotidyl transferase and cytoplasmic CD3. T-cell receptor beta, gamma, and delta genes remained germline configurations. The bone marrow aspirate was 47,XY,+Y in all metaphase cells observed. The patient achieved complete remission by chemotherapy, and the bone marrow cells and the phytohemagglutinin stimulated peripheral blood lymphocytes showed a normal karyotype of 46,XY at that time. This fact suggests that an extra Y chromosome may be a kind of new chromosomal abnormality of T-cell ALL.","['Watanabe, A', 'Kawachi, Y', 'Nishihara, T', 'Uchida, T', 'Setsu, K', 'Hikiji, K']","['Watanabe A', 'Kawachi Y', 'Nishihara T', 'Uchida T', 'Setsu K', 'Hikiji K']","['Department of Internal Medicine, Takamatsu Red Cross Hospital, Kagawa, Japan.']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['Aged', '*Chromosome Aberrations', 'Genes, fos', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/*genetics', 'Male', '*Y Chromosome']",1996/07/01 00:00,1996/07/01 00:01,['1996/07/01 00:00'],"['1996/07/01 00:00 [pubmed]', '1996/07/01 00:01 [medline]', '1996/07/01 00:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 1996 Jul 1;89(1):85-7. doi: 10.1016/0165-4608(95)00351-7.,,"['0165460895003517 [pii]', '10.1016/0165-4608(95)00351-7 [doi]']",,,,,,,,,,,,,,,
