PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CIN,TT,RF,GR,PMC,EIN,SI,CON,RIN,MID,OID,OAB,OABL,OTO,OT,GN,EFR
8636717,NLM,MEDLINE,19960710,20190830,0146-6615 (Print) 0146-6615 (Linking),47,4,1995 Dec,Persistent rubella infection after erroneous vaccination in an immunocompromised patient with acute lymphoblastic leukemia in remission.,442-4,"A 16-year-old male patient with acute lymphoblastic leukemia in complete remission and on maintenance treatment with weekly oral methotrexate and daily oral 6-mercaptopurine for 3 months was immunized in error with the WI-RA 27/3-HDC live attenuated rubella vaccine. Increasing rubella HAI antibodies were noted from 3 to 7 months post-vaccination as well as high levels of IgM antibody up to 8 months in three different tests. High HAI antibody titers persisted for 12-18 months after vaccination. Persisting rubella virus was indicated by PCR detection of rubella-specific nucleic acid in whole blood, non-stimulated and stimulated mononuclear cells 8 months following vaccination. Further attempts to detect rubella virus RNA in two subsequent blood samples were negative. Since acute arthritis and arthralgia occurred in the second month (days 51-63) after vaccination, antileukemic chemotherapy had to be interrupted. Evidence of higher risk for chronic or relapsing rubella-associated arthropathy in immunologically compromised patients and the need to interrupt antileukemic chemotherapy should warrant immunoprophylaxis with polyvalent immune globulin in rubella-susceptible patients who are immunocompromised.","['Geiger, R', 'Fink, F M', 'Solder, B', 'Sailer, M', 'Enders, G']","['Geiger R', 'Fink FM', 'Solder B', 'Sailer M', 'Enders G']","['Department of Pediatrics, School of Medicine, University of Innsbruck, Austria.']",['eng'],"['Case Reports', 'Journal Article']",United States,J Med Virol,Journal of medical virology,7705876,"['0 (Antibodies, Viral)', '0 (DNA, Viral)', '0 (Rubella Vaccine)', '0 (Vaccines, Attenuated)', '0 (Viral Envelope Proteins)', '131016-03-0 (E2 envelope protein, Rubella virus)']",IM,"['Adolescent', 'Antibodies, Viral/blood', 'DNA, Viral', 'Follow-Up Studies', 'Humans', '*Immunocompromised Host', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*immunology/virology', 'Remission Induction', 'Rubella/*etiology', 'Rubella Vaccine/*adverse effects', 'Rubella virus/genetics/immunology/isolation & purification', 'Vaccination/*adverse effects', 'Vaccines, Attenuated/adverse effects', 'Viral Envelope Proteins/genetics']",1995/12/01 00:00,1995/12/01 00:01,['1995/12/01 00:00'],"['1995/12/01 00:00 [pubmed]', '1995/12/01 00:01 [medline]', '1995/12/01 00:00 [entrez]']",['10.1002/jmv.1890470425 [doi]'],ppublish,J Med Virol. 1995 Dec;47(4):442-4. doi: 10.1002/jmv.1890470425.,,,,,,,,,,,,,,,,,
8636706,NLM,MEDLINE,19960710,20191210,0146-6615 (Print) 0146-6615 (Linking),47,4,1995 Dec,Two different PCR assays to detect enteroviral RNA in CSF samples from patients with acute aseptic meningitis.,378-85,"Two polymerase chain reaction (RT-PCR) assays were developed to allow rapid detection of enteroviral RNA in cerebrospinal fluid samples (CSF). Primers homologous to the conserved 5' noncoding region of the enterovirus genome were designed. The RT-PCR product size was approximately 500 bp (479 bp for Poliovirus, 500 bp for Coxsackievirus) and was visualized using ethidium bromide-stained gels. Assay 1 utilized Moloney Murine Leukaemia Virus Reverse Transcriptase (MMLV-RTase) for reverse transcription and Taq polymerase for subsequent PCR. Assay 2 utilized a thermoactive DNA polymerase of Thermus thermophilus (rTth enzyme) for both reverse transcription and DNA amplification. In addition, in Assay 2 reverse transcription and PCR were accomplished within the same reaction tube. Both assays detected between 1 and 0.02 TCID50 of prototype strains of Polio and Coxsackie type B viruses propagated in VERO cell and spiked in a pooled preparation of CSF samples from patients with noninfective neurological disorders. However, Assay 1 was 10-fold more sensitive than Assay 2 when applied to the detection of enteroviral RNA in CSF samples from patients with etiologically well characterized acute aseptic meningitis.","['Casas, I', 'Klapper, P E', 'Cleator, G M', 'Echevarria, J E', 'Tenorio, A', 'Echevarria, J M']","['Casas I', 'Klapper PE', 'Cleator GM', 'Echevarria JE', 'Tenorio A', 'Echevarria JM']","['Department of Pathological Sciences, University of Manchester, United Kingdom.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Med Virol,Journal of medical virology,7705876,"['0 (DNA, Viral)', '0 (RNA, Viral)', 'EC 2.7.7.49 (RNA-Directed DNA Polymerase)']",IM,"['Acute Disease', 'Adult', 'Animals', 'Base Sequence', 'Cell Line', 'Child', 'Child, Preschool', 'Chlorocebus aethiops', 'DNA, Viral', 'Enterovirus/*genetics/isolation & purification', 'Feces/virology', 'Humans', 'Meningitis, Aseptic/cerebrospinal fluid/*virology', 'Molecular Sequence Data', 'Polymerase Chain Reaction/*methods', 'RNA, Viral/*cerebrospinal fluid', 'RNA-Directed DNA Polymerase', 'Tumor Cells, Cultured', 'Vero Cells']",1995/12/01 00:00,1995/12/01 00:01,['1995/12/01 00:00'],"['1995/12/01 00:00 [pubmed]', '1995/12/01 00:01 [medline]', '1995/12/01 00:00 [entrez]']",['10.1002/jmv.1890470414 [doi]'],ppublish,J Med Virol. 1995 Dec;47(4):378-85. doi: 10.1002/jmv.1890470414.,,,,,,,,,,,,,,,,,
8636697,NLM,MEDLINE,19960710,20190830,0146-6615 (Print) 0146-6615 (Linking),47,4,1995 Dec,Human herpesvirus-6 DNA in the saliva of paediatric oncology patients and controls.,317-22,"Children with malignancy are immunosuppressed and susceptible to serious infections with herpesviruses. The majority of children on chemotherapy for malignancy are seropositive for human herpesvirus-6 (HHV-6), and although HHV-6 has been demonstrated to be a pathogen in severely immunocompromised patients, whether this is the case for paediatric oncology patients is unknown. HHV-6 is secreted in saliva and in this study samples were examined prospectively for HHV-6 DNA in healthy children and those with malignancy. In a nested polymerase chain reaction (PCR), a 287 bp outer fragment and 163 inner fragment of HHV-6 DNA were amplified. The resulting amplimer contained a Hind III restriction site present only in ""B"" type HHV-6 and this was used to identify the type of HHV-6 amplified. In saliva from healthy control children, 74% (28/38) of samples were HHV-6 DNA-positive in either the supernate, pellet or both. In the patients, 58% (45/77) of all samples were HHV-6 DNA-positive. When sequential samples from twelve patients were examined the children appeared to fall into two groups: those who were frequently HHV-6 DNA-positive (60% of samples or more) and those who were rarely HHV-6 DNA-positive (33% of samples or less) (P < 0.0001). The only apparent difference between these two groups was that the less frequently HHV-6-positive group was more often febrile and unwell with neutropaenia. Hind III digestion demonstrated all the positive samples to be ""B"" type HHV-6. Possible explanations for this difference in HHV-6 secretion between the patient groups are discussed.","['Lyall, E G', 'Cubie, H A']","['Lyall EG', 'Cubie HA']","['Royal Hospital for Sick Children, City Hospital, Edinburgh, United Kingdom.']",['eng'],['Journal Article'],United States,J Med Virol,Journal of medical virology,7705876,"['0 (DNA, Viral)']",IM,"['Adolescent', 'Child', 'Child, Preschool', '*DNA, Viral', 'Herpesviridae Infections/complications/*virology', 'Herpesvirus 6, Human/*genetics/isolation & purification', 'Humans', '*Immunocompromised Host', 'Leukemia/immunology', 'Neoplasms/*immunology', 'Polymerase Chain Reaction/*methods', 'Prospective Studies', 'Saliva/*virology', 'Sensitivity and Specificity']",1995/12/01 00:00,1995/12/01 00:01,['1995/12/01 00:00'],"['1995/12/01 00:00 [pubmed]', '1995/12/01 00:01 [medline]', '1995/12/01 00:00 [entrez]']",['10.1002/jmv.1890470405 [doi]'],ppublish,J Med Virol. 1995 Dec;47(4):317-22. doi: 10.1002/jmv.1890470405.,,,,,,,,,,,,,,,,,
8636646,NLM,MEDLINE,19960705,20191101,0022-2143 (Print) 0022-2143 (Linking),127,2,1996 Feb,Carboxyterminal peptides with the dimeric form of PF4 retain the inhibitory effect on the growth of human megakaryoblastic cell lines.,179-85,"We have previously shown that platelet factor 4 (PF4) and beta-thromboglobulin (beta-TG) inhibit the growth of the human erythroleukemia cell line (HEL). We further studied the effect of PF4, beta-TG, and various related peptides on human leukemic lineages to determine the specificity and the relationship between the inhibitory activity and the molecular structure of PF4. The results showed that PF4 and beta-TG had an inhibitory activity on the megakaryocytic growth. Furthermore, peptides corresponding to the 1-24 and 13-24 residues but not to the 16-24 residue of the PF4 C-terminal region, the 21-29 and 20-28 C-terminal region of beta-TG and IL-8, inhibited only the megakaryocytic cell growth. Interestingly, when Gln and Asn located at positions 15 and 24, respectively, of the PF4 C-terminal region were replaced by Glu and Asp (C13-24DE), an increase in the inhibitory activity was observed. Moreover, the 13-24 monomeric form (13-24M) and modified form (13-24A), where a cysteine in C-terminal position 19 was substituted by arginine, were no longer active. These results suggest that the inhibitory activity of PF4 and its related peptides might be localized in their 13-24 C-terminal region and that a dimeric structure seems to be necessary to exert inhibitory activity.","['Lebeurier, I', 'Raclet, L', 'Amiral, J', 'Caen, J P', 'Han, Z C']","['Lebeurier I', 'Raclet L', 'Amiral J', 'Caen JP', 'Han ZC']","['Institut des Vaisseaux et du Sang, Hopital Lariboisiere, Paris, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Lab Clin Med,The Journal of laboratory and clinical medicine,0375375,"['0 (Macromolecular Substances)', '0 (Oligopeptides)', '0 (Peptide Fragments)', '0 (beta-Thromboglobulin)', '37270-94-3 (Platelet Factor 4)']",IM,"['Amino Acid Sequence', 'Cell Division/*drug effects', 'Cell Line', 'Dose-Response Relationship, Drug', 'Humans', 'Leukemia, Erythroblastic, Acute', 'Macromolecular Substances', 'Megakaryocytes', 'Molecular Sequence Data', 'Oligopeptides/chemistry/pharmacology', 'Peptide Fragments/*chemistry/*pharmacology', 'Platelet Factor 4/*chemistry/pharmacology', 'Structure-Activity Relationship', 'beta-Thromboglobulin/pharmacology']",1996/02/01 00:00,1996/02/01 00:01,['1996/02/01 00:00'],"['1996/02/01 00:00 [pubmed]', '1996/02/01 00:01 [medline]', '1996/02/01 00:00 [entrez]']","['S0022-2143(96)90076-1 [pii]', '10.1016/s0022-2143(96)90076-1 [doi]']",ppublish,J Lab Clin Med. 1996 Feb;127(2):179-85. doi: 10.1016/s0022-2143(96)90076-1.,['J Lab Clin Med. 1996 Feb;127(2):148-50. PMID: 8636643'],,,,,,,,,,,,,,,,
8636621,NLM,MEDLINE,19960710,20071115,0368-2315 (Print) 0150-9918 (Linking),24,8,1995,[Effect of smoking on the fetus and the child during pregnancy].,853-9,"Cigarette smoking remains a frequent problem during pregnancy. Nicotine has deleterious effects on the foetus. The most common problem remains ""small for date"" babies. However, this is a minor problem compared with two major toxic consequences: intellectual impairment and increased rate of infantile cancer. Many studies have shown diminished intellectual capacity, behavioural problems and an increase of sudden infant death syndrome. The cancerigenic and genotoxic effects of smoking are well documented with recent studies showing the genotoxicity of amniotic fluid in smoking pregnant women and lymphocyte chromosome mutation in newborns. The frequency of cancers, particularly leukaemia, lymphoma and cerebral tumours are increased in children born to women who smoke during pregnancy. It is therefore excessively important to help pregnant women and their doctors become aware of the toxic effects of active or passive smoking in pregnancy and encourage the patients and their friends and relations to stop smoking as soon as pregnancy is diagnosed or if it's possible before the pregnancy.","['Gueguen, C', 'Lagrue, G', 'Janse-Marec, J']","['Gueguen C', 'Lagrue G', 'Janse-Marec J']","['Service de Gynecologie-Obstetrique et Maternite, Hopital Franco-Britannique, Levallois-Perret.']",['fre'],"['English Abstract', 'Journal Article', 'Review']",France,J Gynecol Obstet Biol Reprod (Paris),"Journal de gynecologie, obstetrique et biologie de la reproduction",0322206,['0 (Tobacco Smoke Pollution)'],IM,"['Developmental Disabilities/*etiology', 'Female', 'Humans', 'Infant, Newborn', 'Infant, Small for Gestational Age', 'Neoplasms/*etiology', 'Patient Education as Topic', 'Pregnancy', 'Pregnancy Complications/*etiology', '*Pregnancy Outcome', 'Risk Factors', 'Smoking/*adverse effects', 'Sudden Infant Death/etiology', 'Tobacco Smoke Pollution/*adverse effects']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",,ppublish,J Gynecol Obstet Biol Reprod (Paris). 1995;24(8):853-9.,['J Gynecol Obstet Biol Reprod (Paris). 1996;25(4):424-5. PMID: 8815144'],"Retentissement, sur le foetus et l'enfant, du tabagisme pendant la grossesse.",63,,,,,,,,,,,,,,
8636307,NLM,MEDLINE,19960708,20181130,0021-972X (Print) 0021-972X (Linking),81,2,1996 Feb,The effect of leukemia inhibitory factor (LIF) on trophoblast differentiation: a potential role in human implantation.,801-6,"Leukemia inhibitory factor (LIF) is a multifunctional glycoprotein strongly associated with normal implantation in the mouse. We have recently determined that LIF is expressed in the human endometrium in a menstrual cycle dependent manner. Maximal expression is observed between days 19 and 25 of the menstrual cycle, coinciding with the time of human implantation. In this study we have utilized purified cultures of human cytotrophoblasts to examine the effects of LIF on several morphologic and biochemical markers of the trophoblastic differentiation. We purified human cytotrophoblasts from term placentae and cultured them with and without LIF (10 ng/mL). The secretion of human CG, oncofetal fibronectin, and progesterone were measured at 24, 48, 72, and 96 h. Northern blot analysis was used to assess messenger RNA (mRNA) expression of beta hCG and oncofetal fibronectin. We found that LIF markedly decreased trophoblast production of hCG protein at 72 and 96 h, as well as expression of beta hCG mRNA. LIF also significantly increased the expression of oncofetal fibronectin mRNA and secretion of the protein. LIF did not affect steroidogenic activity of cultured trophoblasts, as determined by progesterone production. These biochemical changes are characteristic of cytotrophoblast differentiation toward an anchoring extravillous phenotype. Thus, LIF appears to be an important regulator of human embryonic implantation by directly modulating trophoblast differentiation.","['Nachtigall, M J', 'Kliman, H J', 'Feinberg, R F', 'Olive, D L', 'Engin, O', 'Arici, A']","['Nachtigall MJ', 'Kliman HJ', 'Feinberg RF', 'Olive DL', 'Engin O', 'Arici A']","['Department of Obstetrics and Gynecology, Yale University School of Medicine, New Haven, Connecticut 06520, USA.']",['eng'],['Journal Article'],United States,J Clin Endocrinol Metab,The Journal of clinical endocrinology and metabolism,0375362,"['0 (Chorionic Gonadotropin)', '0 (Chorionic Gonadotropin, beta Subunit, Human)', '0 (Fibronectins)', '0 (Growth Inhibitors)', '0 (Interleukin-6)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Lymphokines)', '0 (RNA, Messenger)', '4G7DS2Q64Y (Progesterone)']",IM,"['Blotting, Northern', '*Cell Differentiation', 'Cells, Cultured', 'Chorionic Gonadotropin/metabolism', 'Chorionic Gonadotropin, beta Subunit, Human/genetics', 'Embryo Implantation/*physiology', 'Female', 'Fibronectins/biosynthesis/genetics/metabolism', 'Gene Expression', 'Growth Inhibitors/*pharmacology', 'Humans', '*Interleukin-6', 'Leukemia Inhibitory Factor', 'Lymphokines/*pharmacology', 'Pregnancy', 'Progesterone/metabolism', 'RNA, Messenger/metabolism', 'Trophoblasts/*cytology/physiology']",1996/02/01 00:00,1996/02/01 00:01,['1996/02/01 00:00'],"['1996/02/01 00:00 [pubmed]', '1996/02/01 00:01 [medline]', '1996/02/01 00:00 [entrez]']",['10.1210/jcem.81.2.8636307 [doi]'],ppublish,J Clin Endocrinol Metab. 1996 Feb;81(2):801-6. doi: 10.1210/jcem.81.2.8636307.,,,,,,,,,,,,,,,,,
8636097,NLM,MEDLINE,19960709,20210210,0021-9258 (Print) 0021-9258 (Linking),271,12,1996 Mar 22,Distinct roles in signal transduction for each of the phospholipase A2 enzymes present in P388D1 macrophages.,6758-65,"Receptor-stimulated arachidonic acid (AA) mobilization in P388D1 macrophages consists of a transient phase in which AA accumulates in the cell and a sustained phase in which AA accumulates in the incubation medium. We have shown previously that a secretory group II phospholipase A2 (sPLA2) is the enzyme responsible for most of the AA released to the incubation medium. By using selective inhibitors for each of the PLA2s present in P388D1 macrophages, we demonstrate herein that the cytosolic group IV PLA2 (cPLA2) mediates accumulation of cell-associated AA during the early steps of P388D1 cell activation. The contribution of both cPLA2 and sPLA2 to AA release can be distinguished on the basis of the different spatial and temporal characteristics of activation and substrate preferences of the two phospholipase A2s (PLA2s). Furthermore, the results suggest the possibility that a functionally active cPLA2 may be necessary for sPLA2 to act. cPLA2 action precedes that of sPLA2, and overcoming cPLA2 inhibition by artificially increasing intracellular free AA levels restores extracellular AA release. Although this suggests cross-talk between cPLA2 and sPLA2, selective inhibition of one other PLA2 present in these cells, namely the Ca2+-independent PLA2, does not block, but instead enhances receptor-coupled AA release. These data indicate that Ca2+-independent PLA2 does not mediate AA mobilization in P388D1 macrophages. Collectively, the results of this work suggest that each of the PLA2s present in P388D1 macrophages serves a distinct role in cell activation and signal transduction.","['Balsinde, J', 'Dennis, E A']","['Balsinde J', 'Dennis EA']","['Department of Chemistry and Biochemistry, University of California at San Diego, La Jolla, California 92093-0601, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Ethers, Cyclic)', '1W21G5Q4N2 (Okadaic Acid)', '27YG812J1I (Arachidonic Acid)', 'EC 3.1.1.32 (Phospholipases A)', 'EC 3.1.1.4 (Phospholipases A2)']",IM,"['Animals', 'Arachidonic Acid/metabolism', 'Enzyme Activation', 'Ethers, Cyclic/pharmacology', 'Leukemia P388/*enzymology', 'Macrophages/*enzymology', 'Mice', 'Okadaic Acid', 'Phospholipases A/antagonists & inhibitors/*metabolism', 'Phospholipases A2', 'Rats', '*Signal Transduction']",1996/03/22 00:00,1996/03/22 00:01,['1996/03/22 00:00'],"['1996/03/22 00:00 [pubmed]', '1996/03/22 00:01 [medline]', '1996/03/22 00:00 [entrez]']","['10.1074/jbc.271.12.6758 [doi]', 'S0021-9258(17)45031-9 [pii]']",ppublish,J Biol Chem. 1996 Mar 22;271(12):6758-65. doi: 10.1074/jbc.271.12.6758.,,,,"['GM 20501/GM/NIGMS NIH HHS/United States', 'HD 26171/HD/NICHD NIH HHS/United States']",,,,,,,,,,,,,
8636079,NLM,MEDLINE,19960709,20210210,0021-9258 (Print) 0021-9258 (Linking),271,12,1996 Mar 22,Physical and functional association of cortactin with Syk in human leukemic cell line K562.,6631-5,"Human leukemic cell line K562 is induced to differentiate into the megakaryocytic lineage by stimulation with 12-O-tetradecanoylphorbol-13-acetate (TPA). We demonstrate here that TPA stimulation increases tyrosine phosphorylation of an 80-kDa protein at an early stage of megakaryocytic differentiation and that this 80-kDa protein is identical with cortactin. Since tyrosine kinase Syk was activated by TPA stimulation, we examined the possibility that cortactin is a potential substrate of Syk in K562 cells. TPA-induced tyrosine phosphorylation of cortactin was decreased profoundly by overexpression of dominant-negative Syk. Furthermore, cortactin was associated with Syk even before TPA stimulation. Since cortactin was previously referred as an 80/85-kilodalton pp60src substrate, we examined the association between Src and cortactin, whereas its association could not be detected. These data suggest that Syk phosphorylates cortactin in K562 cells upon TPA treatment.","['Maruyama, S', 'Kurosaki, T', 'Sada, K', 'Yamanashi, Y', 'Yamamoto, T', 'Yamamura, H']","['Maruyama S', 'Kurosaki T', 'Sada K', 'Yamanashi Y', 'Yamamoto T', 'Yamamura H']","['Department of Biochemistry, Fukui Medical School, Matsuoka, Fukui 910-11, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Antibodies, Monoclonal)', '0 (CTTN protein, human)', '0 (Cortactin)', '0 (Enzyme Precursors)', '0 (Intracellular Signaling Peptides and Proteins)', '0 (Microfilament Proteins)', '42HK56048U (Tyrosine)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (SYK protein, human)', 'EC 2.7.10.2 (Syk Kinase)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Antibodies, Monoclonal', 'Cell Differentiation', 'Cortactin', 'Enzyme Activation', 'Enzyme Precursors/*metabolism', 'Humans', 'Intracellular Signaling Peptides and Proteins', 'Leukemia/metabolism/pathology', 'Microfilament Proteins/immunology/*metabolism', 'Phosphorylation', 'Protein-Tyrosine Kinases/*metabolism', 'Syk Kinase', 'Tetradecanoylphorbol Acetate/pharmacology', 'Tumor Cells, Cultured', 'Tyrosine/metabolism']",1996/03/22 00:00,1996/03/22 00:01,['1996/03/22 00:00'],"['1996/03/22 00:00 [pubmed]', '1996/03/22 00:01 [medline]', '1996/03/22 00:00 [entrez]']","['10.1074/jbc.271.12.6631 [doi]', 'S0021-9258(17)45013-7 [pii]']",ppublish,J Biol Chem. 1996 Mar 22;271(12):6631-5. doi: 10.1074/jbc.271.12.6631.,,,,,,,,,,,,,,,,,
8635998,NLM,MEDLINE,19960709,20190512,0910-5050 (Print) 0910-5050 (Linking),86,12,1995 Dec,"c-Cbl is inducibly tyrosine-phosphorylated by epidermal growth factor stimulation in fibroblasts, and constitutively tyrosine-phosphorylated and associated with v-Src in v-src-transformed fibroblasts.",1119-26,"The c-cbl gene was cloned as the cellular homolog of the v-cbl oncogene that is the transforming component of a murine tumorigenic retrovirus, CAS NS-1, though the biological roles of c-Cbl remain to be elucidated. We have previously reported that c-Cbl is implicated in the signal transduction triggered by granulocyte-macrophage colony-stimulating factor or erythropoietin in hematopoietic cells. Here, we observed tyrosine phosphorylation of C-cbl in cells expressing epidermal growth factor receptor depending on EGF stimulation and in v-src transformed cells. Furthermore, c-Cbl was revealed to associate with v-Src in vivo. By means of binding experiments using glutathione S-transferase fusion proteins, we have found that the SH2 and SH3 domains of many proteins bind to c-Cbl. These findings strongly suggest that c-Cbl is implicated in a wide variety of signal transduction pathways, including those of EGF receptor and Src protein, as well as in the signaling pathways of hematopoietic cells.","['Odai, H', 'Sasaki, K', 'Hanazono, Y', 'Ueno, H', 'Tanaka, T', 'Miyagawa, K', 'Mitani, K', 'Yazaki, Y', 'Hirai, H']","['Odai H', 'Sasaki K', 'Hanazono Y', 'Ueno H', 'Tanaka T', 'Miyagawa K', 'Mitani K', 'Yazaki Y', 'Hirai H']","['Third Department of Internal Medicine, Faculty of Medicine, University of Tokyo.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Jpn J Cancer Res,Japanese journal of cancer research : Gann,8509412,"['0 (Adaptor Proteins, Signal Transducing)', '0 (GRB2 Adaptor Protein)', '0 (GRB2 protein, human)', '0 (Grb2 protein, mouse)', '0 (Proteins)', '0 (Proto-Oncogene Proteins)', '42HK56048U (Tyrosine)', '62229-50-9 (Epidermal Growth Factor)', 'EC 2.3.2.27 (Proto-Oncogene Proteins c-cbl)', 'EC 2.3.2.27 (Ubiquitin-Protein Ligases)', 'EC 2.7.10.1 (ErbB Receptors)', 'EC 2.7.10.2 (Oncogene Protein pp60(v-src))', 'EC 6.3.2.- (CBL protein, human)', 'EC 6.3.2.- (Cbl protein, mouse)']",IM,"['3T3 Cells/drug effects/metabolism', '*Adaptor Proteins, Signal Transducing', 'Animals', 'Cell Line, Transformed', 'Epidermal Growth Factor/pharmacology', 'ErbB Receptors/*metabolism', 'Fibroblasts/drug effects/*metabolism', 'GRB2 Adaptor Protein', 'Humans', 'Leukemia/pathology', 'Mice', 'Oncogene Protein pp60(v-src)/*metabolism', 'Phosphorylation', '*Protein Processing, Post-Translational', 'Proteins/metabolism', 'Proto-Oncogene Proteins/*metabolism', 'Proto-Oncogene Proteins c-cbl', '*Signal Transduction', 'Tumor Cells, Cultured', 'Tyrosine/*metabolism', '*Ubiquitin-Protein Ligases', 'src Homology Domains']",1995/12/01 00:00,1995/12/01 00:01,['1995/12/01 00:00'],"['1995/12/01 00:00 [pubmed]', '1995/12/01 00:01 [medline]', '1995/12/01 00:00 [entrez]']","['0910505096852501 [pii]', '10.1111/j.1349-7006.1995.tb03303.x [doi]']",ppublish,Jpn J Cancer Res. 1995 Dec;86(12):1119-26. doi: 10.1111/j.1349-7006.1995.tb03303.x.,,,,,PMC5920666,,,,,,,,,,,,
8635972,NLM,MEDLINE,19960705,20071115,0003-1488 (Print) 0003-1488 (Linking),208,8,1996 Apr 15,Allogeneic marrow transplantation in a cat with acute myeloid leukemia.,1280-4,"A listless, anorectic 2-year-old cat was found to have a normocytic, nonregenerative anemia. A diagnosis of acute myeloid leukemia type M6Er was made. Because the cat was young, had negative FeLV and feline immunodeficiency virus test results, had a sibling that could be used as a bone marrow donor, had received only 1 transfusion, and was in good health other than being anemic, allogeneic bone marrow transplantation (BMT) was attempted using marrow from the cat's sibling. The most life-threatening complication following BMT was hemorrhage caused by severe thrombocytopenia. Complete hematopoietic engraftment was evident 36 days after BMT. The cat then was discharged to its owner. In the first year, the cat continued to improve with the exception of an intractable dermatophytosis, which resolved eventually. The cat continues to do well 4 years after BMT. To our knowledge, this represents the first report of successful allogeneic BMT for a cat with acute myeloid leukemia.","['Gasper, P W', 'Rosen, D K', 'Fulton, R']","['Gasper PW', 'Rosen DK', 'Fulton R']","['Department of Pathology, Colorado State University, Fort Collins 80523, USA.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Am Vet Med Assoc,Journal of the American Veterinary Medical Association,7503067,,IM,"['Anemia/etiology/veterinary', 'Animals', 'Blood Transfusion/veterinary', 'Bone Marrow Transplantation/adverse effects/*veterinary', 'Cat Diseases/etiology/*therapy', 'Cats', 'Hemorrhage/etiology/veterinary', 'Leukemia, Myeloid, Acute/complications/therapy/*veterinary', 'Male', 'Thrombocytopenia/complications/etiology/veterinary', 'Transplantation, Homologous/veterinary']",1996/04/15 00:00,1996/04/15 00:01,['1996/04/15 00:00'],"['1996/04/15 00:00 [pubmed]', '1996/04/15 00:01 [medline]', '1996/04/15 00:00 [entrez]']",,ppublish,J Am Vet Med Assoc. 1996 Apr 15;208(8):1280-4.,,,,['R29 CA 46371/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,
