PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,RF,CIN,SI,TT,PMC,CON,MID,GS,EIN,OID,OTO,OT,GN
8591940,NLM,MEDLINE,19960403,20190512,0305-7453 (Print) 0305-7453 (Linking),36,4,1995 Oct,Multiple dose pharmacokinetics of an oral solution of itraconazole in patients receiving chemotherapy for acute myeloid leukaemia.,657-63,"The multiple dose pharmacokinetics of a solution of itraconazole given orally were measured in an open study of 20 patients undergoing remission induction chemotherapy for acute myeloid leukaemia. Patients were given itraconazole 5 mg/kg od, 2.5 mg/kg bd, 2.5 mg/kg od or 1.25 mg/kg bd. The mean daily dose of itraconazole was 407 mg for patients receiving 5 mg/kg/day and 148 mg in patients receiving 2.5 mg/kg/day. Mean concentrations of 493 and 495 micrograms/L were achieved on day 8 in patients who received 5 mg/kg/d od or 2.5 mg/kg bd itraconazole respectively. However, mean concentrations were significantly lower for those who received 2.5 mg/kg od itraconazole being 110 micrograms/L on day 8. Mean areas under the serum-concentration time curves were also markedly higher in patients receiving 5 mg/kg/day than in those receiving 2.5 mg/kg/day itraconazole and were 22,382 and 5615 micrograms.h/L on day 15 respectively. These findings suggest that the serum concentrations attained with an oral solution of 5 mg/kg itraconazole either once daily or in two divided doses are suitable for antifungal prophylaxis in patients receiving chemotherapy for acute myeloid leukaemia.","['Prentice, A G', 'Warnock, D W', 'Johnson, S A', 'Taylor, P C', 'Oliver, D A']","['Prentice AG', 'Warnock DW', 'Johnson SA', 'Taylor PC', 'Oliver DA']","['Department of Haematology, Derriford Hospital, Plymouth, UK.']",['eng'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",England,J Antimicrob Chemother,The Journal of antimicrobial chemotherapy,7513617,"['0 (Antifungal Agents)', '0 (Antineoplastic Agents)', '304NUG5GF4 (Itraconazole)']",IM,"['Adolescent', 'Adult', 'Aged', 'Antifungal Agents/administration & dosage/adverse effects/blood/*pharmacokinetics', 'Antineoplastic Agents/*adverse effects/therapeutic use', 'Drug Administration Schedule', 'Drug Interactions', 'Female', 'Humans', 'Immunocompromised Host', 'Itraconazole/administration & dosage/adverse effects/blood/*pharmacokinetics', 'Leukemia, Myelomonocytic, Acute/complications/drug therapy/*metabolism', 'Male', 'Middle Aged', 'Mycoses/*prevention & control']",1995/10/01 00:00,1995/10/01 00:01,['1995/10/01 00:00'],"['1995/10/01 00:00 [pubmed]', '1995/10/01 00:01 [medline]', '1995/10/01 00:00 [entrez]']",['10.1093/jac/36.4.657 [doi]'],ppublish,J Antimicrob Chemother. 1995 Oct;36(4):657-63. doi: 10.1093/jac/36.4.657.,,,,,,,,,,,,,,
8591723,NLM,MEDLINE,19960403,20141120,0090-9556 (Print) 0090-9556 (Linking),23,11,1995 Nov,Multiple forms of cytochrome P450 are involved in the metabolism of ondansetron in humans.,1225-30,"Ondansetron is cleared primarily by metabolism in humans, with hydroxylation of the indole moiety in the 7- and 8-positions being the major identified phase I pathways. In vitro studies using lymphoblastoid cell lines expressing single human cytochrome P450 forms and hepatic microsomes were undertaken to investigate the forms involved in the metabolism of ondansetron in humans. The cell lines that expressed CYP1A1, CYP1A2, and CYP2D6 were shown to be capable of metabolizing [14C]ondansetron. Studies with human hepatic microsomes and the specific inhibitors furafylene, quinidine, and ketoconazole confirmed the role of CYP1A2 and CYP2D6 and also demonstrated the involvement of the CYP3A subfamily. The data in this study collectively indicate that multiple cytochrome P450 forms, including CYP1A1, CYP1A2, CYP2D6, and the CYP3A subfamily, are probably involved in the clearance of ondansetron in humans, with no single form of cytochrome P450 dominating the overall metabolism of ondansetron. The role played by CYP2D6 in the metabolism of [14C]ondansetron by human hepatic microsomes in vitro was shown to be minor. This finding is consistent with the lack of bimodality in the clinical pharmacokinetics of ondansetron. It is therefore concluded that ondansetron is metabolized by multiple forms of cytochrome P450, and this limits the likelihood of a clinically relevant interaction with ondansetron by a modulator of a single form of cytochrome P450.","['Dixon, C M', 'Colthup, P V', 'Serabjit-Singh, C J', 'Kerr, B M', 'Boehlert, C C', 'Park, G R', 'Tarbit, M H']","['Dixon CM', 'Colthup PV', 'Serabjit-Singh CJ', 'Kerr BM', 'Boehlert CC', 'Park GR', 'Tarbit MH']","['Department of Drug Metabolism II, Glaxo Research and Development Limited, Ware, Herts, UK.']",['eng'],['Journal Article'],United States,Drug Metab Dispos,Drug metabolism and disposition: the biological fate of chemicals,9421550,"['0 (Isoenzymes)', '0 (Serotonin Antagonists)', '4AF302ESOS (Ondansetron)', '9035-51-2 (Cytochrome P-450 Enzyme System)']",IM,"['Chromatography, High Pressure Liquid', 'Cytochrome P-450 Enzyme System/biosynthesis/genetics/*metabolism', 'Female', 'Genetic Engineering', 'Humans', 'In Vitro Techniques', 'Isoenzymes/biosynthesis/genetics/*metabolism', 'Male', 'Microsomes, Liver/drug effects/enzymology', 'Ondansetron/*metabolism', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma', 'Serotonin Antagonists/*metabolism', 'Transfection', 'Tumor Cells, Cultured']",1995/11/01 00:00,1995/11/01 00:01,['1995/11/01 00:00'],"['1995/11/01 00:00 [pubmed]', '1995/11/01 00:01 [medline]', '1995/11/01 00:00 [entrez]']",,ppublish,Drug Metab Dispos. 1995 Nov;23(11):1225-30.,,,,,,,,,,,,,,
8591657,NLM,MEDLINE,19960403,20191024,0305-1862 (Print) 0305-1862 (Linking),21,6,1995 Nov,Elizabeth and Alexandra's story.,369-75,,"['Astelm, J']",['Astelm J'],,['eng'],"['Case Reports', 'Journal Article']",England,Child Care Health Dev,"Child: care, health and development",7602632,,IM,"['Brain Neoplasms', 'Brain Stem', '*Child, Hospitalized', 'Child, Preschool', 'Female', 'Glioma', 'Humans', 'Leukemia, Myeloid', 'Nursing Staff, Hospital', '*Professional-Family Relations', '*Social Support']",1995/11/01 00:00,1995/11/01 00:01,['1995/11/01 00:00'],"['1995/11/01 00:00 [pubmed]', '1995/11/01 00:01 [medline]', '1995/11/01 00:00 [entrez]']",['10.1111/j.1365-2214.1995.tb00766.x [doi]'],ppublish,Child Care Health Dev. 1995 Nov;21(6):369-75. doi: 10.1111/j.1365-2214.1995.tb00766.x.,,,,,,,,,,,,,,
8591323,NLM,MEDLINE,19960401,20150602,1569-6332 (Print) 1569-6332 (Linking),8 Pt 1,,1995,A diagnostic workstation for neoplastic bone marrow diseases: evaluation on 526 cases.,771-5,"The diagnostic accuracy of a workstation for neoplastic bone marrow pathology was evaluated on 526 cases from two institutions. The workstation consists of knowledge-based systems for peripheral blood analysis, flow cytometry immunophenotyping, and bone marrow morphology, linked together by a relational database. The ""gold standard"" diagnosis was established by complete agreement among three hematopathologists after independent review of the data from each case. The workstation's diagnosis agreed with the ""gold standard"" in 515 cases (97.9%). In six of the 11 diagnostic errors, the bone marrow module could not reach a final diagnosis. The five misclassifications would not have resulted in a change of therapy for the patient. The institutional diagnosis of record agreed with the gold standard in 462 cases (87.8%). The results indicate that the workstation is capable of high-quality, reproducible, multiparameter interpretive reporting.","['Nguyen, D', 'Diamond, L W', 'Cherubino, P', 'Koala, W B', 'Imbert, M', 'Andreeff, M']","['Nguyen D', 'Diamond LW', 'Cherubino P', 'Koala WB', 'Imbert M', 'Andreeff M']","['Pathology Institute, University of Cologne, Joseph-Stelzmann Strasse 9, 50924, Cologne, Germany.']",['eng'],['Journal Article'],Netherlands,Medinfo,Medinfo. MEDINFO,7600347,,IM,"['Acute Disease', '*Artificial Intelligence', 'Bone Marrow/*pathology', 'Bone Marrow Diseases/diagnosis', 'Bone Marrow Neoplasms/*diagnosis', 'Computer Systems', '*Diagnosis, Computer-Assisted', 'Diagnosis, Differential', 'Diagnostic Errors', 'Hematology/methods', 'Humans', 'Leukemia/diagnosis', 'Reproducibility of Results']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",,ppublish,Medinfo. 1995;8 Pt 1:771-5.,,,,,,,,,,,,,,
8590937,NLM,MEDLINE,19960404,20190914,1572-6495 (Print) 1572-6495 (Linking),672,1,1995 Oct 6,Determination of extracellular and intracellular thiopurines and methylthiopurines by high-performance liquid chromatography.,53-61,"The thiopurine antimetabolites 6-thioguanine and 6-mercaptopurine are important chemotherapeutic drugs in the treatment of childhood acute lymphoblastic leukaemia. Measurement of metabolites of these thiopurines is important because correlations exist between levels of these metabolites and the prognosis in childhood acute lymphoblastic leukaemia. The reversed-phase method for the determination of extracellular thiopurine nucleosides and bases was previously developed and has been modified such that methylthiopurine nucleosides, bases, thioxanthine and thiouric acid can be measured also. The anion-exchange method enables the determination of intracellular mono-, di- and triphosphate (methyl)thiopurine nucleotides in one run. Extraction on ice with perchloric acid and dipotassium hydrogenphosphate results in good recoveries for (methyl)thiopurine nucleotides in lymphoblasts and peripheral mononuclear cells and for methylthioinosine nucleotides in red blood cells. Measurement of the low concentrations of mono-, di- and triphosphate thioguanine nucleotides in red blood cells (detection limit 20 pmol/10(9) cells) is possible after extraction with methanol and methylene chloride, followed by oxidation of thioguanine nucleotides with permanganate and fluorimetric detection.","['Keuzenkamp-Jansen, C W', 'De Abreu, R A', 'Bokkerink, J P', 'Trijbels, J M']","['Keuzenkamp-Jansen CW', 'De Abreu RA', 'Bokkerink JP', 'Trijbels JM']","['Centre for Paediatric Oncology S.E. Netherlands, Department of Paediatrics, University Hospital of Nijmegen, Netherlands.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,J Chromatogr B Biomed Appl,"Journal of chromatography. B, Biomedical applications",9421796,"['0 (Purine Nucleosides)', '0 (Purine Nucleotides)', '0 (Purines)', '0 (Thionucleosides)', '0 (Thionucleotides)', '268B43MJ25 (Uric Acid)', '7F23ZQP3EM (6-thiouric acid)']",IM,"['Calibration', '*Chromatography, High Pressure Liquid', 'Erythrocytes/chemistry', 'Extracellular Space/chemistry', 'Humans', 'Oxidation-Reduction', 'Purine Nucleosides/*analysis/blood', 'Purine Nucleotides/*analysis/blood', 'Purines/*analysis/blood', 'Spectrometry, Fluorescence', 'Thionucleosides/*analysis/blood', 'Thionucleotides/*analysis/blood', 'Uric Acid/analogs & derivatives/analysis']",1995/10/06 00:00,1995/10/06 00:01,['1995/10/06 00:00'],"['1995/10/06 00:00 [pubmed]', '1995/10/06 00:01 [medline]', '1995/10/06 00:00 [entrez]']","['037843479500206X [pii]', '10.1016/0378-4347(95)00206-x [doi]']",ppublish,J Chromatogr B Biomed Appl. 1995 Oct 6;672(1):53-61. doi: 10.1016/0378-4347(95)00206-x.,,,,,,,,,,,,,,
8590896,NLM,MEDLINE,19960404,20191101,1062-8401 (Print) 1062-8401 (Linking),10,4,1995 Winter,Reovirus type 3 chemoimmunotherapy of murine lymphoma is abrogated by cyclosporine.,307-15,"We have previously shown that the combined modalities of reovirus type 3 and the chemotherapeutic agent 1,3-bis (2-chloroethyl)-1-nitrosourea (BCNU) synergize to cause the rejection of various murine tumors. Resistance of surviving animals to challenge with homologous but not heterologous tumor suggested that tumor was eliminated through an immune-mediated mechanism. In this study, we showed that mice undergoing therapy-mediated rejection of tumor were able to reject subsequent weekly challenges with EL-4 but not L1210 tumor cells. The mechanism underlying this therapy was investigated using cyclosporine (CS) to suppress immune responsiveness. A dose-related inhibition of therapy was observed with total inhibition occurring at 30 mg/kg/day. Delayed administration of CS at day 14 or later after tumor administration resulted in little or no inhibitory effect. The resistance of cured mice to EL-4 tumor challenge was not affected by CS, which is consistent with the reduced ability of CS to affect secondary immune responses. In addition, CS did not alter natural killer cell activity in mice receiving the BCNU/reovirus therapy. These results suggest that there is an obligatory immune response produced by the BCNU/reovirus therapy which arises early after the administration of the therapy.","['Steele, T A', 'Cox, D C']","['Steele TA', 'Cox DC']","['Department of Microbiology, Miami University, Oxford, Ohio 45056, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Biother,Cancer biotherapy,9314021,"['0 (Antineoplastic Agents, Alkylating)', '0 (Immunosuppressive Agents)', '83HN0GTJ6D (Cyclosporine)', 'U68WG3173Y (Carmustine)']",IM,"['Animals', 'Antineoplastic Agents, Alkylating/antagonists & inhibitors/*therapeutic use', 'Carmustine/antagonists & inhibitors/*therapeutic use', 'Combined Modality Therapy', 'Cyclosporine/*pharmacology', 'Immunity, Innate/immunology', 'Immunosuppressive Agents/*pharmacology', '*Immunotherapy', 'Killer Cells, Natural/drug effects/immunology', 'Kinetics', 'Leukemia L1210/immunology', 'Lymphoma/*immunology/therapy', 'Male', '*Mammalian orthoreovirus 3/immunology', 'Mice', 'Mice, Inbred Strains', 'Survival Rate', 'Tumor Cells, Cultured']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",['10.1089/cbr.1995.10.307 [doi]'],ppublish,Cancer Biother. 1995 Winter;10(4):307-15. doi: 10.1089/cbr.1995.10.307.,['CA 47324/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,
8590890,NLM,MEDLINE,19960404,20191101,1062-8401 (Print) 1062-8401 (Linking),10,4,1995 Winter,Saffron chemoprevention in biology and medicine: a review.,257-64,"A growing body of evidence indicate that carotenoids possess anticarcinogenic, anti-mutagenic and immunomodulating effects. Saffron obtained from the dried stigmas of Crocus sativus L., is an important spice, rich in carotenoids, consumed commonly in different parts of the world. Our laboratory first reported the anticancer activity of saffron extract (dimethyl-crocetin) against a wide spectrum of murine tumors and human leukemia cell lines. The present report reviews the role of saffron in serving as a chemopreventive agent in modifying cancer risk. Dose-dependent cytotoxic effect to carcinoma, sarcoma and leukemia cells in vitro were noted. Saffron delayed ascites tumor growth and increased the life span of the treated mice compared to untreated controls by 45-120%. In addition, it delayed the onset of papilloma growth, decreased incidence of squamous cell carcinoma and soft tissue sarcoma in treated mice. Understanding the mechanisms of action of saffron have been solitarily based on their carotenoid-like action. Our results indicated significant inhibition in the synthesis of nucleic acids but not protein synthesis. It appears now that saffron (dimethyl-crocetin) disrupts DNA-protein interactions e.g. topoisomerases II, important for cellular DNA synthesis.","['Nair, S C', 'Kurumboor, S K', 'Hasegawa, J H']","['Nair SC', 'Kurumboor SK', 'Hasegawa JH']","['University of Nebraska Medical Center, Eppley Institute for Cancer Research and Allied Diseases, Omaha 68198-6260, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Cancer Biother,Cancer biotherapy,9314021,"['0 (Anticarcinogenic Agents)', '36-88-4 (Carotenoids)']",IM,"['Animals', 'Anticarcinogenic Agents/*pharmacology', 'Carotenoids/chemistry/*pharmacology', 'Humans', 'Mice', 'Plants, Medicinal/*chemistry', 'Spices/*analysis']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",['10.1089/cbr.1995.10.257 [doi]'],ppublish,Cancer Biother. 1995 Winter;10(4):257-64. doi: 10.1089/cbr.1995.10.257.,,41,,,,,,,,,,,,
8590866,NLM,MEDLINE,19960403,20131121,1066-5099 (Print) 1066-5099 (Linking),13,6,1995 Nov,Granulocyte colony-stimulating factor in acute myeloid leukemia.,647-54,"The clinical application of recombinant human G-CSF in patients with acute myeloid leukemia (AML) has been controversial because it stimulates the in vitro proliferation of leukemic cells. In order to explore the possibility of predicting in vivo leukemic proliferation after G-CSF administration to AML patients by using in vitro assays, we investigated the leukemic blasts of 30 AML patients, including 14 patients who received G-CSF for severe infection associated with neutropenia following chemotherapy (G-CSF group) and 16 patients who did not (control group). Of the 14 patients in the G-CSF group, 9 showed an increase of leukemic blasts in the peripheral blood during G-CSF administration, while 11 of the 16 control patients developed leukemic resurgence. In the G-CSF group, the frequency of leukemic resurgence among patients whose blasts showed dose-dependent proliferation after addition of G-CSF to cultures was similar to that among patients whose blasts did not. In addition, there were no significant differences between the G-CSF and control groups in [3H]thymidine incorporation by leukemic cells and leukemic colony formation after the addition of G-CSF to cultures. The G-CSF receptor affinity of leukemic blasts was significantly higher in the patients with leukemic resurgence (mean dissociation constant [Kd]: 55 pM in the G-CSF group and 63 pM in the control group) than in those without it (101 pM and 96 pM, respectively), and the number of G-CSF receptors per cell was significantly lower when leukemic resurgence occurred (200 in the G-CSF group and 260 in the control group) than when it did not (3400 and 3030, respectively). Immunophenotyping (for CD2, CD7, CD10, CD13, CD19, CD33, CD34, CD71, HLA-DR, glycophorin A and the G-CSF receptor) revealed no significant differences between blasts from the patients with and without leukemic resurgence in the G-CSF group. Thus, we conclude that the in vivo leukemic resurgence during G-CSF administration after chemotherapy for AML was not correlated with the in vitro responsiveness of leukemic blasts to this cytokine or with blast phenotyping data. Leukemic resurgence is likely to occur in patients whose leukemic blasts have fewer numbers of G-CSF receptors with a high affinity irrespective of whether patients receive G-CSF.","['Usuki, K', 'Iki, S', 'Endo, M', 'Kitazume, K', 'Ito, K', 'Watanabe, M', 'Urabe, A']","['Usuki K', 'Iki S', 'Endo M', 'Kitazume K', 'Ito K', 'Watanabe M', 'Urabe A']","['Division of Hematology, Kanto Teishin Hospital, Tokyo, Japan.']",['eng'],['Journal Article'],United States,Stem Cells,"Stem cells (Dayton, Ohio)",9304532,"['0 (Recombinant Proteins)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', 'VC2W18DGKR (Thymidine)']",IM,"['Acute Disease', 'Adult', 'Aged', 'Aged, 80 and over', 'Blast Crisis/*metabolism', 'Cell Division/drug effects', 'Female', 'Granulocyte Colony-Stimulating Factor/*therapeutic use', 'Humans', 'Immunophenotyping', 'Leukemia, Myeloid/*drug therapy/pathology', 'Male', 'Middle Aged', 'Recombinant Proteins/therapeutic use', 'Thymidine/metabolism', 'Tumor Cells, Cultured', 'Tumor Stem Cell Assay']",1995/11/01 00:00,1995/11/01 00:01,['1995/11/01 00:00'],"['1995/11/01 00:00 [pubmed]', '1995/11/01 00:01 [medline]', '1995/11/01 00:00 [entrez]']",['10.1002/stem.5530130609 [doi]'],ppublish,Stem Cells. 1995 Nov;13(6):647-54. doi: 10.1002/stem.5530130609.,,,,,,,,,,,,,,
8590856,NLM,MEDLINE,19960404,20190116,1042-8194 (Print) 1026-8022 (Linking),19,5-6,1995 Nov,Occurrence of a T cell lymphoma in a patient with chronic myeloid leukemia treated with alpha interferon.,515-7,A patient treated by recombinant human alpha interferon for chronic myeloid leukemia developed a T cell lymphoma. The T cell lymphoma cells were demonstrated to be genotypically different from the chronic myeloid leukemia cells. The possible role of interferon therapy in stimulating T cell proliferation is discussed.,"['Mahe, B', 'Gaillard, F', 'Labadie, F', 'Papin, S', 'Letortorec, S', 'Moreau, P', 'Harousseau, J L', 'Milpied, N']","['Mahe B', 'Gaillard F', 'Labadie F', 'Papin S', 'Letortorec S', 'Moreau P', 'Harousseau JL', 'Milpied N']","[""Service d'Hematologie, CHU Hotel-Dieu, Nantes, France.""]",['eng'],"['Case Reports', 'Journal Article']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Antibiotics, Antineoplastic)', '0 (Immunologic Factors)', '0 (Interferon-alpha)', '9PHQ9Y1OLM (Prednisolone)', 'X6Q56QN5QC (Hydroxyurea)']",IM,"['Anemia, Hemolytic, Autoimmune/chemically induced/drug therapy', 'Antibiotics, Antineoplastic/therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Bone Marrow Transplantation', 'Combined Modality Therapy', 'Humans', 'Hydroxyurea/therapeutic use', 'Immunologic Factors/*adverse effects', 'Immunophenotyping', 'Interferon-alpha/*adverse effects/therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy/*therapy', 'Lymphoma, T-Cell, Peripheral/*chemically induced/pathology', 'Male', 'Middle Aged', 'Neoplasms, Second Primary/*chemically induced', 'Prednisolone/therapeutic use', 'T-Lymphocytes/*drug effects']",1995/11/01 00:00,1995/11/01 00:01,['1995/11/01 00:00'],"['1995/11/01 00:00 [pubmed]', '1995/11/01 00:01 [medline]', '1995/11/01 00:00 [entrez]']",['10.3109/10428199509112214 [doi]'],ppublish,Leuk Lymphoma. 1995 Nov;19(5-6):515-7. doi: 10.3109/10428199509112214.,,,,,,,,,,,,,,
8590853,NLM,MEDLINE,19960404,20190116,1042-8194 (Print) 1026-8022 (Linking),19,5-6,1995 Nov,Biological characteristics of chronic eosinophilic leukemia cells with a t(2;5)(p23;q35) translocation.,499-505,"We studied the biological features of eosinophils in a patient with chronic eosinophilic leukemia and a unique t(2:5)(p23;q35) translocation. Microscopic and cytochemical studies revealed no particular abnormalities, although more than 90% of the peripheral eosinophils had a density lighter than 1.080 g/ml. Clonogenic assay disclosed that myeloid progenitor cells possessed the translocation, although in vitro eosinophilopoiesis seemed normal, and there were also hematopoietic cells with a normal karyotype. In a surface marker study, EG1 was positive on 34.0% of the eosinophils, while EG2 positivity was only 0.5%. Eosinophilopoietic growth factors and adhesion molecules were virtually absent with the exception of GM-CSF and CD11b. Functional studies showed that chemotaxis for C5a was normal, although that for IL-2 or FMLP was attenuated. In addition, leukotriene C4 production was decreased while O2- production was intact. These findings indicated that our patient's eosinophils were not in an activated state despite their extreme hypodensity, and suggested that the leukemic eosinophils had slight defects of cellular function. These characteristics may have saved the patient from the multiple organ damage which occurs in typical hypereosinophilic syndrome.","['Sato, H', 'Saito, H', 'Ikebuchi, K', 'Danbara, M', 'Yagisawa, M', 'Yuo, A']","['Sato H', 'Saito H', 'Ikebuchi K', 'Danbara M', 'Yagisawa M', 'Yuo A']","['Fourth Department of Internal Medicine, Teikyo University School of Medicine, Kawasaki, Japan.']",['eng'],"['Case Reports', 'Journal Article']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Antigens, Neoplasm)', '0 (Antigens, Surface)', '0 (Chemotactic Factors)', '0 (Immunologic Factors)', '0 (Interferon-alpha)', '0 (Interleukins)', '0 (Neoplasm Proteins)', '2CU6TT9V48 (Leukotriene C4)', '59880-97-6 (N-Formylmethionine Leucyl-Phenylalanine)', '80295-54-1 (Complement C5a)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)', 'S88TT14065 (Oxygen)', 'X6Q56QN5QC (Hydroxyurea)']",IM,"['Adult', 'Antigens, Neoplasm/analysis', 'Antigens, Surface/analysis', 'Chemotactic Factors/pharmacology', 'Chemotaxis, Leukocyte/drug effects', 'Chromosomes, Human, Pair 2/*ultrastructure', 'Chromosomes, Human, Pair 5/*ultrastructure', 'Combined Modality Therapy', 'Complement C5a/pharmacology', 'Eosinophils/drug effects/*pathology', 'Folliculitis/etiology', 'Granulocyte-Macrophage Colony-Stimulating Factor/pharmacology', 'Humans', 'Hydroxyurea/therapeutic use', 'Immunologic Factors/therapeutic use', 'Interferon-alpha/therapeutic use', 'Interleukins/pharmacology', 'Leukotriene C4/biosynthesis', 'Male', 'N-Formylmethionine Leucyl-Phenylalanine/pharmacology', 'Neoplasm Proteins/biosynthesis', 'Neoplastic Stem Cells/drug effects/*pathology', 'Oxygen/metabolism', 'Tetradecanoylphorbol Acetate/pharmacology', '*Translocation, Genetic', 'Tumor Stem Cell Assay']",1995/11/01 00:00,1995/11/01 00:01,['1995/11/01 00:00'],"['1995/11/01 00:00 [pubmed]', '1995/11/01 00:01 [medline]', '1995/11/01 00:00 [entrez]']",['10.3109/10428199509112211 [doi]'],ppublish,Leuk Lymphoma. 1995 Nov;19(5-6):499-505. doi: 10.3109/10428199509112211.,,,,,,,,,,,,,,
