PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,SI,RF,PMC,CIN,TT,CON,OID,OTO,OT,GN,GS,EIN,CN,PS,FPS,OAB,OABL
8530565,NLM,MEDLINE,19960130,20190830,0166-0934 (Print) 0166-0934 (Linking),54,2-3,1995 Aug,Centrifugal enhancement of retroviral mediated gene transfer.,131-43,"Centrifugation has been used for many years to enhance infection of cultured cells with a variety of different types of viruses, but it has only recently been demonstrated to be effective for retroviruses (Ho et al. (1993) J. Leukocyte Biol. 53, 208-212; Kotani et al. (1994) Hum. Gene Ther. 5, 19-28). Centrifugation was investigated as a means of increasing the transduction of a retroviral vector for gene transfer into cells with the potential for transplantation and engraftment in human patients suffering from genetic disease, i.e., gene therapy. It was found that centrifugation significantly increased the rate of transduction into adherent murine fibroblasts and into non-adherent human hematopoietic cells, including primary CD34+ enriched cells. The latter samples include cells capable of reconstitution of hematopoiesis in myeloablated patients. As a step toward optimization of this method, it was shown that effective transduction is: (1) achieved at room temperature; (2) directly related to time of centrifugation and to relative centrifugal force up to 10,000 g; (3) independent of volume of supernatant for volumes > or = 0.5 ml using non-adherent cell targets in test tubes, but dependent upon volume for coverage of adherent cell targets in flat bottom plates; and (4) inversely related to cell numbers per tube using non-adherent cells. The results support the proposal that centrifugation increases the reversible binding of virus to the cells, and together with results reported by Hodgkin et al. (Hodgkin et al. (1988) J. Virol. Methods 22, 215-230), these data support a model in which the centrifugal field counteracts forces of diffusion which lead to dissociation during the reversible phase of binding.","['Bahnson, A B', 'Dunigan, J T', 'Baysal, B E', 'Mohney, T', 'Atchison, R W', 'Nimgaonkar, M T', 'Ball, E D', 'Barranger, J A']","['Bahnson AB', 'Dunigan JT', 'Baysal BE', 'Mohney T', 'Atchison RW', 'Nimgaonkar MT', 'Ball ED', 'Barranger JA']","['Department of Human Genetics, Graduate School of Public Health, University of Pittsburgh, PA 15261, USA.']",['eng'],"['DK 43709/DK/NIDDK NIH HHS/United States', 'DK 44935/DK/NIDDK NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,J Virol Methods,Journal of virological methods,8005839,"['0 (Antigens, CD34)']",IM,"['3T3 Cells', 'Animals', 'Antigens, CD34', 'Cell Line', '*Centrifugation', 'Fibroblasts/cytology', '*Gene Transfer Techniques', 'Humans', 'Leukemia, Erythroblastic, Acute', 'Mice', 'Retroviridae/*genetics', 'Tumor Cells, Cultured']",1995/08/01 00:00,1995/08/01 00:01,['1995/08/01 00:00'],"['1995/08/01 00:00 [pubmed]', '1995/08/01 00:01 [medline]', '1995/08/01 00:00 [entrez]']","['0166-0934(95)00035-S [pii]', '10.1016/0166-0934(95)00035-s [doi]']",ppublish,J Virol Methods. 1995 Aug;54(2-3):131-43. doi: 10.1016/0166-0934(95)00035-s.,,,,,,,,,,,,,,,,,
8530524,NLM,MEDLINE,19960130,20210210,0021-9258 (Print) 0021-9258 (Linking),270,51,1995 Dec 22,Comparative studies of human recombinant 74- and 54-kDa L-histidine decarboxylases.,30813-7,"We have expressed and characterized human recombinant 74-kDa (rHDC74) and 54-kDa (rHDC54) L-histidine decarboxylases (HDCs) in Sf9 cells. By immunoblot analysis, rHDC74 and rHDC54 were shown to be localized predominantly in the particulate and soluble fractions, respectively. rHDC74 exhibited histamine-synthesizing activity equivalent to that of rHDC54. The existence of 74- and 54-kDa HDCs was also confirmed in the particulate and supernatant fractions of the cell lysate, respectively, from the human basophilic leukemia cell line KU-812-F. The ratio of HDC activity to immunoreactivity was similar for the two forms of the enzyme. The specific activity of purified rHDC54 (1.12 mumol/mg/min) was comparable to those of HDCs from other mammalian tissues or cells. The purified rHDC54 was eluted as a monomer form from a Superdex-200 column; the molecular mass of the enzyme was approximately 54 kDa on SDS-polyacrylamide gel electrophoresis without 2-mercaptoethanol. The HDC activity of rHDC54 significantly decreased on dialysis against buffer without pyridoxal 5'-phosphate; addition of pyridoxal 5'-phosphate to the dialysate readily increased in the enzyme activity to the original activity. Taken together, these results suggest that human HDC functions as both 74- and 54-kDa forms having equivalent HDC activity, which are localized in the particulate and soluble fractions, respectively, and that the latter form exhibits its activity as a monomer form.","['Yatsunami, K', 'Tsuchikawa, M', 'Kamada, M', 'Hori, K', 'Higuchi, T']","['Yatsunami K', 'Tsuchikawa M', 'Kamada M', 'Hori K', 'Higuchi T']","['Pharmaceutical Basic Research Laboratories, Japan Tobacco, Inc., Japan.']",['eng'],,"['Comparative Study', 'Journal Article']",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (DNA Primers)', '0 (Isoenzymes)', '0 (Oligonucleotides, Antisense)', '0 (Recombinant Proteins)', 'EC 4.1.1.22 (Histidine Decarboxylase)']",IM,"['Animals', 'Base Sequence', 'Cell Line', 'Chromatography, High Pressure Liquid', 'DNA Primers', 'Histidine Decarboxylase/biosynthesis/isolation & purification/*metabolism', 'Humans', 'Isoenzymes/biosynthesis/isolation & purification/metabolism', 'Kinetics', 'Leukemia, Basophilic, Acute', 'Molecular Sequence Data', 'Molecular Weight', 'Oligonucleotides, Antisense', 'Recombinant Proteins/biosynthesis/isolation & purification/*metabolism', 'Spodoptera', 'Subcellular Fractions/enzymology', 'Transfection', 'Tumor Cells, Cultured']",1995/12/22 00:00,1995/12/22 00:01,['1995/12/22 00:00'],"['1995/12/22 00:00 [pubmed]', '1995/12/22 00:01 [medline]', '1995/12/22 00:00 [entrez]']","['10.1074/jbc.270.51.30813 [doi]', 'S0021-9258(17)31204-8 [pii]']",ppublish,J Biol Chem. 1995 Dec 22;270(51):30813-7. doi: 10.1074/jbc.270.51.30813.,,,,,,,,,,,,,,,,,
8530518,NLM,MEDLINE,19960130,20210210,0021-9258 (Print) 0021-9258 (Linking),270,51,1995 Dec 22,Enhancement of HL-60 differentiation by a new class of retinoids with selective activity on retinoid X receptor.,30765-72,"Cellular responsiveness to retinoic acid and its metabolites is conferred through two distinct families of receptors: the retinoic acid receptors (RARs) and the retinoid X receptors (RXRs). Herein, we report on the identification and characterization of several conformationally restricted retinoids, which selectively bind and activate RX receptors. Under the influence of retinoids, HL-60 myelocytic leukemia cells differentiate into granulocytes. This effect is mediated by RAR alpha, as has been demonstrated through the use of a selective RAR alpha antagonist (Apfel, C., Bauer, F., Crettaz, M., Forni, L., Kamber, M., Kaufmann, F., LeMotte, P., Pirson, W., and Klaus, M. (1992) Proc. Natl. Acad. Sci. U.S.A. 89, 7129-7133). Here, we show that conformationally restricted RXR-specific retinoids, at doses that are per se inactive, are able to potentiate by up to one order of magnitude the pro-differentiating effects of all-trans retinoic acid and an RAR alpha-selective synthetic retinoid. We also present evidence that these RXR-selective ligands are able to bind to a DNA RXR.RAR heterodimer complex. This finding demonstrates that agonists for RARs and RXRs can synergistically promote HL-60 differentiation, which could be mediated through a heterodimer of these receptors.","['Apfel, C M', 'Kamber, M', 'Klaus, M', 'Mohr, P', 'Keidel, S', 'LeMotte, P K']","['Apfel CM', 'Kamber M', 'Klaus M', 'Mohr P', 'Keidel S', 'LeMotte PK']","['Department of Dermatology, F. Hoffmann-LaRoche, Basel, Switzerland.']",['eng'],,['Journal Article'],United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (DNA, Complementary)', '0 (RARA protein, human)', '0 (Receptors, Retinoic Acid)', '0 (Recombinant Proteins)', '0 (Retinoic Acid Receptor alpha)', '0 (Retinoid X Receptors)', '0 (Retinoids)', '0 (Transcription Factors)']",IM,"['Binding, Competitive', 'Cell Differentiation/drug effects/*physiology', 'DNA, Complementary', 'HL-60 Cells', 'Humans', 'Kinetics', 'Molecular Structure', 'Receptors, Retinoic Acid/biosynthesis/drug effects/*physiology', 'Recombinant Proteins/biosynthesis/drug effects/metabolism', 'Retinoic Acid Receptor alpha', 'Retinoid X Receptors', 'Retinoids/metabolism/*pharmacology', 'Structure-Activity Relationship', 'Transcription Factors/drug effects/*physiology', 'Transcriptional Activation/*drug effects', 'Transfection']",1995/12/22 00:00,1995/12/22 00:01,['1995/12/22 00:00'],"['1995/12/22 00:00 [pubmed]', '1995/12/22 00:01 [medline]', '1995/12/22 00:00 [entrez]']","['10.1074/jbc.270.51.30765 [doi]', 'S0021-9258(17)31198-5 [pii]']",ppublish,J Biol Chem. 1995 Dec 22;270(51):30765-72. doi: 10.1074/jbc.270.51.30765.,,,,,,,,,,,,,,,,,
8530462,NLM,MEDLINE,19960130,20210210,0021-9258 (Print) 0021-9258 (Linking),270,51,1995 Dec 22,Inheritance of unequal numbers of the genes encoding the human neutrophil defensins HP-1 and HP-3.,30371-6,"It is unclear whether the six known human defensin peptides are all encoded by separate genes or whether some of them are allelic. Three of the peptides, HP-1, HP-2, and HP-3, differ by only one amino acid, and it is thought that HP-2 may represent a proteolytic product of HP-1 and/or HP-3. To help determine the relationship of these three proteins, we isolated a nearly full-length cDNA encoding HP-1 with a sequence very similar to, but different from, the previously isolated HP-1 and -3 cDNAs. Gene copy number experiments established that there were at least two but fewer than five defensin genes with a high level of similarity to the HP-1 cDNA (HP-1/3-like). Three genomic clones were isolated that contained two different configurations of the HP-1/3-like sequences. Sequencing established that one encoded the HP-1 peptide, whereas the other encoded HP-3. Analysis of DNAs obtained from 18 unrelated individuals by Southern blot analysis revealed the expected fragments as well as additional fragments that were not present in the genomic clones. This suggested the possibility of alleles; however, when DNAs from families were examined, these fragments did not segregate in an obvious Mendelian fashion. The HP-1/3-like defensin genes are on human chromosome 8. Surprisingly, somatic cell hybrid mapping showed that the number of HP-1/3-like genes on isolated copies of chromosome 8 was variable. We conclude that individuals can inherit versions of chromosome 8 harboring either two or three copies of the genes that encode the HP-1, HP-2, and/or HP-3 peptides.","['Mars, W M', 'Patmasiriwat, P', 'Maity, T', 'Huff, V', 'Weil, M M', 'Saunders, G F']","['Mars WM', 'Patmasiriwat P', 'Maity T', 'Huff V', 'Weil MM', 'Saunders GF']","['Department of Biochemistry and Molecular Biology, University of Texas M.D. Anderson Cancer Center, Houston 77030, USA.']",['eng'],['CA16672/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Blood Proteins)', '0 (DNA Primers)', '0 (Defensins)', '0 (RNA, Messenger)', '0 (alpha-Defensins)', '0 (human neutrophil peptide 1)', '0 (human neutrophil peptide 2)', '0 (human neutrophil peptide 3)', '9007-49-2 (DNA)']",IM,"['Animals', 'Base Sequence', 'Blood Bactericidal Activity/*genetics', 'Blood Proteins/*biosynthesis/*genetics', 'Blotting, Southern', 'Chromosome Mapping', '*Chromosomes, Human, Pair 8', 'DNA/blood/isolation & purification', 'DNA Primers', 'Defensins', 'Exons', 'Female', 'Gene Library', 'Hominidae/*genetics', 'Humans', 'Leukemia, Myeloid, Acute', 'Lymphocytes/physiology', 'Male', 'Molecular Sequence Data', 'Neutrophils/*physiology', 'Nuclear Family', 'RNA, Messenger/blood/isolation & purification', '*alpha-Defensins']",1995/12/22 00:00,1995/12/22 00:01,['1995/12/22 00:00'],"['1995/12/22 00:00 [pubmed]', '1995/12/22 00:01 [medline]', '1995/12/22 00:00 [entrez]']","['10.1074/jbc.270.51.30371 [doi]', 'S0021-9258(17)31142-0 [pii]']",ppublish,J Biol Chem. 1995 Dec 22;270(51):30371-6. doi: 10.1074/jbc.270.51.30371.,['GENBANK/X52053'],,,,,,,,,,,,,,,,
8530445,NLM,MEDLINE,19960130,20210210,0021-9258 (Print) 0021-9258 (Linking),270,51,1995 Dec 22,Granulocyte-macrophage colony-stimulating factor induces the transcriptional activation of egr-1 through a protein kinase A-independent signaling pathway.,30271-3,"Granulocyte-macrophage colony-stimulating factor (GM-CSF) rapidly and transiently induces the transcriptional activation of the early growth response gene-1 (egr-1) in the human factor-dependent myeloid leukemic cell line, TF-1. We previously demonstrated that the cAMP response element (CRE) is required for GM-CSF-induced egr-1 expression and that phosphorylation of CREB on serine 133 plays a critical role during GM-CSF signal transduction. To determine whether GM-CSF activates signaling pathways through a protein kinase A-dependent or -independent pathway, we measured cAMP levels following GM-CSF or forskolin treatment of TF-1 cells. Forskolin but not GM-CSF stimulation resulted in an increase in cAMP levels. Transient transfection assays with TF-1 cells were also performed with a -116-nucleotide egr-1 promoter construct and the protein kinase inhibitor, PKI. Although PKI inhibited forskolin induction of the -116-nucleotide construct, it did not affect GM-CSF stimulation of this construct. In the present study, we demonstrated that GM-CSF induces egr-1 expression through a protein kinase A-independent pathway.","['Wong, A', 'Sakamoto, K M']","['Wong A', 'Sakamoto KM']","['Gwynne Hazen Cherry Memorial Laboratories, Department of Pediatrics, UCLA School of Medicine 90095-1752, USA.']",['eng'],['CA59463-02/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Cyclic AMP Response Element-Binding Protein)', '0 (DNA-Binding Proteins)', '0 (EGR1 protein, human)', '0 (Early Growth Response Protein 1)', '0 (Enzyme Inhibitors)', '0 (Immediate-Early Proteins)', '0 (Recombinant Proteins)', '0 (Transcription Factors)', '1F7A44V6OU (Colforsin)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)', 'E0399OZS9N (Cyclic AMP)', 'EC 2.7.11.11 (Cyclic AMP-Dependent Protein Kinases)', 'EC 3.2.1.23 (beta-Galactosidase)']",IM,"['Cell Line', 'Colforsin/pharmacology', 'Cyclic AMP/*metabolism', 'Cyclic AMP Response Element-Binding Protein/metabolism', 'Cyclic AMP-Dependent Protein Kinases/antagonists & inhibitors', 'DNA-Binding Proteins/*biosynthesis', 'Early Growth Response Protein 1', 'Enzyme Inhibitors/pharmacology', 'Gene Expression Regulation, Neoplastic/*drug effects', 'Granulocyte-Macrophage Colony-Stimulating Factor/*pharmacology', 'Humans', '*Immediate-Early Proteins', 'Kinetics', 'Leukemia, Myeloid', 'Promoter Regions, Genetic', 'Recombinant Proteins/biosynthesis/pharmacology', '*Signal Transduction', 'Transcription Factors/*biosynthesis', 'Transcriptional Activation/*drug effects', 'Transfection', 'Tumor Cells, Cultured', 'Zinc Fingers', 'beta-Galactosidase/biosynthesis']",1995/12/22 00:00,1995/12/22 00:01,['1995/12/22 00:00'],"['1995/12/22 00:00 [pubmed]', '1995/12/22 00:01 [medline]', '1995/12/22 00:00 [entrez]']","['10.1074/jbc.270.51.30271 [doi]', 'S0021-9258(17)31125-0 [pii]']",ppublish,J Biol Chem. 1995 Dec 22;270(51):30271-3. doi: 10.1074/jbc.270.51.30271.,,,,,,,,,,,,,,,,,
8530370,NLM,MEDLINE,19960126,20210210,0021-9258 (Print) 0021-9258 (Linking),270,50,1995 Dec 15,Functional association between the human myeloid immunoglobulin A Fc receptor (CD89) and FcR gamma chain. Molecular basis for CD89/FcR gamma chain association.,29781-7,"FcR gamma chain has previously been shown to interact with the TCR-CD3 complex, the IgE Fc receptor I (Fc epsilon RI), and the class I and IIIA IgG receptors (Fc gamma RI and Fc gamma RIIIa). Here, we demonstrate that the Fc receptor gamma chain associates with Fc alpha R in transfected IIA1.6 B lymphocytes. Fc alpha R could be expressed at the surface of IIA1.6 B cells by itself, but was devoid of signaling capacity. Upon co-expression of FcR gamma chain, a physical interaction with Fc alpha R could be demonstrated. This association proved crucial for the triggering of both proximal (intracellular calcium increase and tyrosine phosphorylation), as well as distal (IL-2 release), signal transduction responses. We next tested the hypothesis that a positively charged arginine residue (Arg209) within the transmembrane domain of Fc alpha R promotes association with FcR gamma chain. We therefore constructed Fc alpha R molecules where Arg209 was mutated to either a positively charged histidine, a negatively charged aspartic acid, or an uncharged leucine. A functional association between Fc alpha R and FcR gamma chain was observed only with a positively charged residue (Arg209 or His209) present within the Fc alpha R transmembrane domain. These data show that transmembrane signal transduction by the Fc alpha R is mediated via FcR gamma chain, and that Fc alpha R requires a positively charged residue within the transmembrane domain to promote functional association.","['Morton, H C', 'van den Herik-Oudijk, I E', 'Vossebeld, P', 'Snijders, A', 'Verhoeven, A J', 'Capel, P J', 'van de Winkel, J G']","['Morton HC', 'van den Herik-Oudijk IE', 'Vossebeld P', 'Snijders A', 'Verhoeven AJ', 'Capel PJ', 'van de Winkel JG']","['Department of Immunology, University Hospital Utrecht, The Netherlands.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Antigens, CD)', '0 (DNA Primers)', '0 (Fc(alpha) receptor)', '0 (Immunoglobulin A)', '0 (Interleukin-2)', '0 (Receptors, Fc)', '0 (Receptors, IgG)', '0 (Recombinant Proteins)', '4QD397987E (Histidine)', '94ZLA3W45F (Arginine)']",IM,"['Amino Acid Sequence', 'Animals', 'Antigens, CD/biosynthesis/isolation & purification/*metabolism', 'Arginine', 'B-Lymphocytes', 'Base Sequence', 'Cell Line', 'Cell Membrane/immunology', 'DNA Primers', 'Gene Expression', 'Histidine', 'Humans', 'Immunoglobulin A/metabolism', 'Interleukin-2/biosynthesis', 'Kinetics', 'Leukemia, Myeloid', 'Mice', 'Molecular Sequence Data', 'Mutagenesis, Site-Directed', 'Point Mutation', 'Polymerase Chain Reaction', 'Receptors, Fc/biosynthesis/isolation & purification/*metabolism', 'Receptors, IgG/biosynthesis/isolation & purification/*metabolism', 'Recombinant Proteins/biosynthesis/isolation & purification/metabolism', 'Transfection', 'Tumor Cells, Cultured']",1995/12/15 00:00,1995/12/15 00:01,['1995/12/15 00:00'],"['1995/12/15 00:00 [pubmed]', '1995/12/15 00:01 [medline]', '1995/12/15 00:00 [entrez]']","['10.1074/jbc.270.50.29781 [doi]', 'S0021-9258(17)45787-5 [pii]']",ppublish,J Biol Chem. 1995 Dec 15;270(50):29781-7. doi: 10.1074/jbc.270.50.29781.,,,,,,,,,,,,,,,,,
8530358,NLM,MEDLINE,19960126,20210210,0021-9258 (Print) 0021-9258 (Linking),270,50,1995 Dec 15,"Ligand-directed immunoaffinity purification and properties of the one-carbon, reduced folate transporter. Interspecies immuno-cross-reactivity and expression of the native transporter in murine and human tumor cells and their transport-altered variants.",29698-704,"Almost complete purification (> 95%) of the 46-kDa murine, one-carbon, reduced folate transporter (RFT) at a recovery of 20% was obtained by ligand-directed immunoaffinity fractionation from transporter overproducing L1210/R83 cells. These cells were labeled with the N-hydroxysuccinimide ester of [3H]aminopterin (AMT), the isolated plasma membrane alkaline washed to remove nonintegral membrane proteins, detergent-solubilized, and RFT-separated on an anti-AMT antibody-protein G-Sepharose column followed by preparative SDS-polyacrylamide gel electrophoresis. Anti-RFT antibody, subsequently derived, differentially blotted (L1210/R83 >> L1210/0) a 46-kDa protein during SDS-polyacrylamide gel electrophoresis of plasma membrane from L1210/R83 and L1210 cells and in L1210/R83 cells after trichloroacetic acid precipitation. In contrast to that reported for human tumor cells, glycosidase treatment of RFT revealed no common N- or O-linked core oligosaccharides associated with this protein. The same 46-kDa protein at different relative levels was revealed in a Western blot of plasma membrane from other murine tumors. Blotting of plasma membrane from methotrexate resistant, transport defective L1210 cell variants exhibited wild-type levels of a less electrophoretically mobile RFT or greater levels of the same 46-kDa RFT which could not be affinity labeled with N-hydroxysuccinimide-[3H]AMT. The same antibody differentially blotted a 83-kDa plasma membrane protein from human HL-60 and CCRF-CEM cells with different levels of reduced folate transport and affinity labeling of RFT, verifying the conserved nature of this protein consistent with earlier functional studies.","['Chiao, J H', 'Yang, C H', 'Roy, K', 'Pain, J', 'Sirotnak, F M']","['Chiao JH', 'Yang CH', 'Roy K', 'Pain J', 'Sirotnak FM']","['Program of Molecular Pharmacology and Therapeutics, Memorial Sloan-Kettering Cancer Center, New York, New York 10021, USA.']",['eng'],"['CA08748/CA/NCI NIH HHS/United States', 'CA56517/CA/NCI NIH HHS/United States']","['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Antibodies)', '0 (Carrier Proteins)', '0 (Folate Receptors, GPI-Anchored)', '0 (Ligands)', '0 (Receptors, Cell Surface)', '10028-17-8 (Tritium)', 'EC 3.2.1.- (Glycoside Hydrolases)', 'JYB41CTM2Q (Aminopterin)']",IM,"['Aminopterin/*metabolism', 'Animals', 'Antibodies', 'Antigen-Antibody Reactions', 'Blotting, Western/methods', 'Carrier Proteins/immunology/isolation & purification/*metabolism', 'Cell Membrane/metabolism', 'Chromatography, Affinity/methods', 'Cross Reactions', 'Electrophoresis, Polyacrylamide Gel', 'Folate Receptors, GPI-Anchored', 'Glycoside Hydrolases', 'Humans', 'Leukemia', 'Leukemia L1210/metabolism', 'Ligands', 'Mice', 'Rabbits/immunology', '*Receptors, Cell Surface', 'Species Specificity', 'Tritium', 'Tumor Cells, Cultured']",1995/12/15 00:00,1995/12/15 00:01,['1995/12/15 00:00'],"['1995/12/15 00:00 [pubmed]', '1995/12/15 00:01 [medline]', '1995/12/15 00:00 [entrez]']","['10.1074/jbc.270.50.29698 [doi]', 'S0021-9258(17)45775-9 [pii]']",ppublish,J Biol Chem. 1995 Dec 15;270(50):29698-704. doi: 10.1074/jbc.270.50.29698.,,,,,,,,,,,,,,,,,
8530284,NLM,MEDLINE,19960126,20190830,0017-8748 (Print) 0017-8748 (Linking),35,9,1995 Oct,Migraine with aura as the presentation of leukemia.,560-2,"We present the case of a man with new onset of migraine with aura as the presenting sign of acute promyelocytic leukemia and disseminated intravascular coagulation. This previously unreported association may support theories of platelet serotonin involvement in the pathogenesis of migraine. It would be valuable in the future to evaluate other patients with disseminated intravascular coagulation or acute promyelocytic leukemia for the presence of migrainous auras or headaches, symptoms which may be underreported by patients, particularly in the setting of severe illness.","['Geller, E B', 'Wen, P Y']","['Geller EB', 'Wen PY']","[""Division of Neurology, Brigham and Women's Hospital, Boston, MA 02115, USA.""]",['eng'],,"['Case Reports', 'Journal Article']",United States,Headache,Headache,2985091R,,IM,"['Adult', 'Disseminated Intravascular Coagulation/etiology', 'Humans', 'Leukemia, Promyelocytic, Acute/*complications', 'Male', 'Migraine Disorders/*etiology']",1995/10/01 00:00,1995/10/01 00:01,['1995/10/01 00:00'],"['1995/10/01 00:00 [pubmed]', '1995/10/01 00:01 [medline]', '1995/10/01 00:00 [entrez]']",['10.1111/j.1526-4610.1995.hed3509560.x [doi]'],ppublish,Headache. 1995 Oct;35(9):560-2. doi: 10.1111/j.1526-4610.1995.hed3509560.x.,,,,,,,,,,,,,,,,,
8530165,NLM,MEDLINE,19960201,20151119,0171-2985 (Print) 0171-2985 (Linking),193,2-4,1995 Jul,Gene regulation by NF-M and Myb during differentiation and leukemic transformation.,356-62,,"['Kowenz-Leutz, E', 'Ansieau, S', 'Twamley, G', 'Ness, S A', 'Leutz, A']","['Kowenz-Leutz E', 'Ansieau S', 'Twamley G', 'Ness SA', 'Leutz A']","['Max Delbruck Center for Molecular Medicine, Berlin, Germany.']",['eng'],,"['Journal Article', 'Review']",Netherlands,Immunobiology,Immunobiology,8002742,"['0 (Neurofilament Proteins)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-myb)', '111365-29-8 (neurofilament protein M)']",IM,"['Animals', 'Avian Leukosis/*genetics', 'Avian Myeloblastosis Virus/*genetics', 'Cell Differentiation/genetics', 'Cell Transformation, Neoplastic/*genetics', '*Gene Expression Regulation, Neoplastic', 'Neurofilament Proteins/*physiology', 'Proto-Oncogene Proteins/*physiology', 'Proto-Oncogene Proteins c-myb', 'Retroviridae Infections/*genetics']",1995/07/01 00:00,1995/07/01 00:01,['1995/07/01 00:00'],"['1995/07/01 00:00 [pubmed]', '1995/07/01 00:01 [medline]', '1995/07/01 00:00 [entrez]']","['S0171-2985(11)80565-6 [pii]', '10.1016/S0171-2985(11)80565-6 [doi]']",ppublish,Immunobiology. 1995 Jul;193(2-4):356-62. doi: 10.1016/S0171-2985(11)80565-6.,,15,,,,,,,,,,,,,,,
8530135,NLM,MEDLINE,19960201,20191101,0171-2985 (Print) 0171-2985 (Linking),193,2-4,1995 Jul,Activation of NF-kappa B by the Tax protein of HTLV-1.,128-36,"The Tax protein, encoded by the human T cell leukemia virus HTLV-1, is responsible for transcriptional activation of the viral genome through conserved 21bp repeats located in its promoter. Tax also activates the transcription of cellular genes such as interleukin 2, interleukin 2 receptor (IL2R), GM-CSF, vimentin, c-fos, c-jun as well as the major histocompatibility complex class I genes. Tax does not bind DNA directly, but seems to activate transcription indirectly by enhancing the activity of the transcription factors that recognize responsive elements located in the promoters of the Tax-responsive genes, or by forming ternary complexes with these factors and DNA. One class of target sites for Tax are the kappa B sequences which are bound by members of the rel/NF-kappa B family. It has been previously shown that Tax is able to induce nuclear translocation of NF-kappa B. The activity of the NF-kappa B transcription factor is normally controlled through cytoplasmic retention by either of two types of molecules: the inhibitor I kappa B alpha/MAD3 or the p105 and p100 precursors of the p50 and p52 DNA-binding subunits. Treatment of cells with classical NF-kappa B inducers like TNF, IL-1, PMA or LPS results in MAD-3 degradation followed by nuclear translocation of NF-kappa B. On the other hand, the mechanisms involved in the dissociation of the cytoplasmic p105/p100-containing complexes are largely unknown. We demonstrate here that Tax can induce translocation of members of the NF-kappa B family retained in the cytoplasm through interaction with either p105 or p100. On the other hand Tax induces no apparent degradation of MAD-3. These results suggest that Tax activates NF-kappa B essentially through the p105/p100-retention pathway.","['Munoz, E', 'Israel, A']","['Munoz E', 'Israel A']","[""Unite de Biologie Moleculaire de l'Expression Genique, Institut Pasteur, Paris, France.""]",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Netherlands,Immunobiology,Immunobiology,8002742,"['0 (Gene Products, tax)', '0 (NF-kappa B)']",IM,"['Animals', 'Gene Products, tax/*physiology', 'Human T-lymphotropic virus 1/chemistry/*genetics', 'Humans', 'NF-kappa B/*genetics', 'Transcriptional Activation/*immunology']",1995/07/01 00:00,1995/07/01 00:01,['1995/07/01 00:00'],"['1995/07/01 00:00 [pubmed]', '1995/07/01 00:01 [medline]', '1995/07/01 00:00 [entrez]']","['S0171-2985(11)80535-8 [pii]', '10.1016/s0171-2985(11)80535-8 [doi]']",ppublish,Immunobiology. 1995 Jul;193(2-4):128-36. doi: 10.1016/s0171-2985(11)80535-8.,,54,,,,,,,,,,,,,,,
