PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,EIN,GS,CIN,PMC,TT,CON,GR,SI,EFR
8462673,NLM,MEDLINE,19930430,20190621,0014-5793 (Print) 0014-5793 (Linking),320,1,1993 Mar 29,Differentiation-associated expression of prostaglandin G/H synthase in monocytic cells.,38-42,"Significant progress in the investigation of the regulation of prostanoid formation has recently been made by cloning a second gene coding for prostaglandin G/H synthase (PGHS; EC 1.14.99.1). In this study we examined the expression of the two PGHS isoforms during phorbol ester induced monocytic differentiation of human myeloid leukemia cells (U937). Murine and ovine PGHS-1 probes hybridized to 2.8- and 5.5-kb mRNA species, whereas the murine PGHS-2 probe hybridized to a 5.3-kb species. Western blot analysis using antisera to mouse PGHS-1 and to a synthetic peptide derived from a mouse PGHS-2-specific region revealed a band of 70 kDa for PGHS-1 and a doublet of about 85 kDa for PGHS-2. Unlike PGHS-2, which was not expressed in U937 control cells, both PGHS-1 protein and mRNA were detected in untreated U937 cells. TPA strongly induced PGHS-2 protein and also increased the amount of PGHS-1 protein. Correspondingly, a marked induction of PGHS-2 mRNA was found, but virtually no change in the expression of the PGHS-1 2.8-kb mRNA occurred. The induction of both PGHS isoforms turned out to be dexamethasone-sensitive. The suppression of PGHS-2 induction was more pronounced. These results suggest that both PGHS-1 and to a larger extent PGHS-2 contribute to the upregulation of prostanoid synthesis during monocytic differentiation.","['Hoff, T', 'DeWitt, D', 'Kaever, V', 'Resch, K', 'Goppelt-Struebe, M']","['Hoff T', 'DeWitt D', 'Kaever V', 'Resch K', 'Goppelt-Struebe M']","['Institute of Molecular Pharmacology, Medical School Hannover, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,FEBS Lett,FEBS letters,0155157,"['0 (RNA, Messenger)', '7S5I7G3JQL (Dexamethasone)', 'EC 1.14.99.1 (Prostaglandin-Endoperoxide Synthases)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Animals', '*Cell Differentiation/drug effects', 'Dexamethasone/pharmacology', 'Gene Expression Regulation, Enzymologic', 'Humans', 'Leukemia, Myeloid', 'Mice', 'Monocytes/cytology/*enzymology', 'Prostaglandin-Endoperoxide Synthases/*biosynthesis/genetics', 'RNA, Messenger/genetics', 'Sheep', 'Tetradecanoylphorbol Acetate/pharmacology', 'Tumor Cells, Cultured']",1993/03/29 00:00,1993/03/29 00:01,['1993/03/29 00:00'],"['1993/03/29 00:00 [pubmed]', '1993/03/29 00:01 [medline]', '1993/03/29 00:00 [entrez]']","['0014-5793(93)81653-H [pii]', '10.1016/0014-5793(93)81653-h [doi]']",ppublish,FEBS Lett. 1993 Mar 29;320(1):38-42. doi: 10.1016/0014-5793(93)81653-h.,,,,,,,,,,
8462662,NLM,MEDLINE,19930504,20191210,0301-472X (Print) 0301-472X (Linking),21,4,1993 Apr,Induced myeloid differentiation of K562 cells with downregulation of erythroid and megakaryocytic transcription factors: a novel experimental model for hemopoietic lineage restriction.,525-31,"The human erythroleukemia cell line K562 can be induced to differentiate along the erythroid and megakaryocytic lineages. Here we demonstrate that hexamethylene bisacetamide (HMBA) induced K562 cells to differentiate along a third pathway. This was accompanied by downregulation of two transcription factors normally expressed in erythroid, mast and megakaryocyte lineages. Northern analysis demonstrated coordinate downregulation of alpha globin and gamma globin in addition to the two lineage-restricted transcription factors, SCL and GATA-1. Proliferation of the K562 cells was also suppressed. Clonal assay showed that the suppression was irreversible and appeared analogous to the commitment of murine erythroleukemia (MEL) cells to terminal differentiation. In contrast to MEL cells, however, K562 cells acquired a macrophage-like morphology and exhibited a complete failure to generate benzidine-positive cells. Electron microscopy revealed a marked increase in granules resembling those specific for eosinophils. Surface marker analysis showed that HMBA-induced cells expressed reduced levels of glycophorin A, CD5, CD7 and CD11b. No upregulation of megakaryocyte or lymphoid markers occurred. Thus the response of K562 cells to HMBA may provide a useful experimental system for studying the molecular mechanisms responsible for downmodulation of lineage-restricted transcription factors during hemopoietic lineage commitment.","['Green, A R', 'Rockman, S', 'DeLuca, E', 'Begley, C G']","['Green AR', 'Rockman S', 'DeLuca E', 'Begley CG']","['Walter and Eliza Hall Institute of Medical Research, Royal Melbourne Hospital, Victoria, Australia.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Exp Hematol,Experimental hematology,0402313,"['0 (Acetamides)', '0 (Antigens, Surface)', '0 (Glycophorins)', '0 (Transcription Factors)', 'LA133J59VU (hexamethylene bisacetamide)']",IM,"['Acetamides/pharmacology', 'Animals', 'Antigens, Surface/analysis', 'Cell Cycle/drug effects', 'Cell Differentiation/drug effects', 'Cell Division/drug effects', 'Erythrocytes/*cytology', 'Glycophorins/metabolism', 'Hematopoiesis/*drug effects', 'Humans', 'Leukemia, Erythroblastic, Acute/pathology', 'Macrophages/cytology', 'Megakaryocytes/*cytology', 'Mice', 'Time Factors', 'Transcription Factors/*physiology', 'Tumor Cells, Cultured']",1993/04/01 00:00,1993/04/01 00:01,['1993/04/01 00:00'],"['1993/04/01 00:00 [pubmed]', '1993/04/01 00:01 [medline]', '1993/04/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1993 Apr;21(4):525-31.,,,,,,,,,,
8462409,NLM,MEDLINE,19930503,20191101,0011-5029 (Print) 0011-5029 (Linking),39,4,1993 Apr,Hodgkin's disease and the malignant lymphomas.,213-97,"The unanticipated finding of a subcutaneous swelling, typically an enlarged lymph node in the neck, is legitimate cause for concern. After excluding benign or reactive conditions, this sign should initiate a series of investigations to characterize the neoplasm and, in the case of a lymphoma, lead to prompt treatment aimed at cure. The classic description of such cervical adenopathy is that by Thomas Hodgkin, who clearly recorded both the clinical behavior and the macroscopic findings evident at dissection. Subsequent histologic study revealed the multinucleate giant cells that characterize the tumor that now bears his name and linked it to those of Greenfield, Sternberg, and Reed. Initial debate centered on whether this entity was inflammatory or malignant, with the issue further clouded by the frequent coexistence of tuberculosis. Although a number of features exist in favor of both concepts, current consensus places it among the neoplastic processes. Hodgkin's disease was separated from other malignant lymphomas as agreement on diagnostic criteria emerged. The next major step forward was the demonstration, first by Vera Peters and then by Henry Kaplan, that adequate doses of radiotherapy were curative when delivered to treatment fields that encompassed the tumor. A further milestone was the introduction by Vincent DeVita, Jr., and his colleagues of combination chemotherapy that was effective in late stage of disseminated disease. The established cornerstones of managing these patients are accurate diagnosis; precise anatomic staging, modified as appropriate by associated factors known to have prognostic value; and selection of irradiation, chemotherapy, or whatever combination will result in the best possible patient survival. However, success is not universal, and death due to resistant or relapsing disease is encountered all too frequently. It is here that the benefits of a multidisciplinary approach are evident, because a substantial level of expertise coupled with sound judgment is needed to salvage these individuals, often by means of investigational programs. Some of the latter are limited by profound myelosuppression, and safety may center on the use of cytokines in the form of interleukins and growth factors, with or without bone marrow transplantation. In such situations, benefit must be balanced against risks in well-structured clinical trials that embody informed consent. Herein lies one of the major goals for the next decade. The non-Hodgkin's lymphomas can conveniently be considered in two broad categories. Some follow an indolent clinical course, in which the lymph node retains a follicular pattern with small component cells, and others are aggressive tumors, in which primitive blasts have diffusely effaced the glandular architecture.(ABSTRACT TRUNCATED AT 400 WORDS)","['Jacobs, P']",['Jacobs P'],"['University of Cape Town Leukaemia Centre, Department of Haematology, Groote Schuur Hospital, South Africa.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Dis Mon,Disease-a-month : DM,0370657,,IM,"['Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Child', 'Combined Modality Therapy', 'Female', '*Hodgkin Disease/diagnosis/epidemiology/etiology/therapy', 'Humans', '*Lymphoma, Non-Hodgkin/diagnosis/epidemiology/etiology/therapy', 'Neoplasm Staging', 'Pregnancy', 'Prognosis']",1993/04/01 00:00,1993/04/01 00:01,['1993/04/01 00:00'],"['1993/04/01 00:00 [pubmed]', '1993/04/01 00:01 [medline]', '1993/04/01 00:00 [entrez]']","['0011-5029(93)90006-O [pii]', '10.1016/0011-5029(93)90006-o [doi]']",ppublish,Dis Mon. 1993 Apr;39(4):213-97. doi: 10.1016/0011-5029(93)90006-o.,180,,,,,,,,,
8462120,NLM,MEDLINE,19930504,20190830,0344-5704 (Print) 0344-5704 (Linking),32,1,1993,Reversal of multidrug resistance in Friend leukemia cells by dexniguldipine-HCl.,25-30,"Dexniguldipine-HCl (DNIG)--a prospective clinical modulator of p170-glycoprotein (pgp170)-mediated multidrug resistance (MDR)--was evaluated in a drug-accumulation assay in MDR murine leukemia cell strain F4-6RADR expressing pgp170. The compound elevated low accumulation of either doxorubicin (DOX), daunorubicin (DNR), or mitoxantrone (MITO) in resistant F4-6RADR cells to the very levels observed in drug-sensitive F4-6 precursor cells. In parallel with the increase in DNR content (F4-6RADR, solvent: 303 +/- 27 pmol/mg protein; DNIG (3.3 mumol/l): 1,067 +/- 174 pmol/mg protein; F4-6P, solvent: 948 +/- 110 pmol/mg protein; n = 8-9, SEM), the amount of DNR tightly bound to the acid precipitate pellet obtained from F4-6RADR (i.e., protein, DNA, RNA) increased 3.9-times to the levels observed in sensitive F4-6 cells. The main pyridine metabolite of DNIG displayed similar activity. Concentration-response analysis revealed that DNIG and R,S-verapamil (VER) induced 100% reversal of the DNR accumulation shortage associated with the MDR phenotype but DNIG was 8 times more potent than VER (50% inhibitory concentration (IC50), 0.73 vs 5.4 mumol/l). In keeping with the accumulation assay, DNIG was about 10 times more potent than VER in sensitizing F4-6RADR cells to the cytostatic and cytotoxic effects of DNR in proliferation assays. In conclusion, DNIG is a potent in vitro modulator, improving (a) the accumulation of anthracycline-like cytostatics, (b) drug access to cellular binding sites, and (c) the cytostatic action of DNR in F4-6RADR leukemia cells of the MDR phenotype.","['Reymann, A', 'Looft, G', 'Woermann, C', 'Dietel, M', 'Erttmann, R']","['Reymann A', 'Looft G', 'Woermann C', 'Dietel M', 'Erttmann R']","['Abteilung fur Allgemeine Pharmakologie, Universitats-Krankenhaus Eppendorf, Hamburg, Germany.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,"['0 (Dihydropyridines)', 'CJ0O37KU29 (Verapamil)', 'Z81N45O25Z (niguldipine)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Animals', 'Cell Division/drug effects', 'Daunorubicin/metabolism', 'Dihydropyridines/*pharmacology', 'Dose-Response Relationship, Drug', 'Drug Resistance', '*Friend murine leukemia virus', 'Leukemia, Erythroblastic, Acute/*drug therapy/metabolism', 'Mice', 'Tumor Cells, Cultured/drug effects', 'Verapamil/pharmacology']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.1007/BF00685872 [doi]'],ppublish,Cancer Chemother Pharmacol. 1993;32(1):25-30. doi: 10.1007/BF00685872.,,,,,,,,,,
8462024,NLM,MEDLINE,19930504,20190914,0735-7907 (Print) 0735-7907 (Linking),11,2,1993,Combination treatment of acute myeloblastic leukemia with rhGM-CSF and standard induction chemotherapy.,229-34,,"['Valent, P', 'Sillaber, C', 'Geissler, K', 'Andreeff, M', 'Tafuri, A', 'Vieder, L', 'Schulz, G', 'Lechner, K', 'Bettelheim, P']","['Valent P', 'Sillaber C', 'Geissler K', 'Andreeff M', 'Tafuri A', 'Vieder L', 'Schulz G', 'Lechner K', 'Bettelheim P']","['First Medical Department, University of Vienna, Austria.']",['eng'],['Journal Article'],England,Cancer Invest,Cancer investigation,8307154,"['0 (Recombinant Proteins)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",IM,"['Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Bone Marrow/drug effects/pathology', 'Drug Administration Schedule', 'Female', 'Follow-Up Studies', 'Granulocyte-Macrophage Colony-Stimulating Factor/adverse effects/*therapeutic use', 'Humans', 'Infusions, Intravenous', 'Leukemia, Myeloid, Acute/blood/*therapy', 'Leukocyte Count/drug effects', 'Male', 'Middle Aged', 'Neutrophils/drug effects', 'Recombinant Proteins/therapeutic use', 'Remission Induction']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.3109/07357909309024844 [doi]'],ppublish,Cancer Invest. 1993;11(2):229-34. doi: 10.3109/07357909309024844.,,,,,,,,,,
8462021,NLM,MEDLINE,19930504,20190914,0735-7907 (Print) 0735-7907 (Linking),11,2,1993,Modulation of cytotoxicity and differentiation-inducing potential of arabinofuranosylcytosine in myeloid leukemia cells by hematopoietic cytokines.,198-211,"Hematopoietic growth factors may be useful in improving the clinical effectiveness of arabinofuranosylcytosine (ara-C). In vitro studies have indicated that interleukin 3(IL-3) and, to a lesser extent, granulocyte-macrophage colony-stimulating factor (GM-CSF), but not G-CSF or M-CSF, may be capable of specifically augmenting the ability of ara-C to kill leukemic myeloid cells by pharmacological and cytokinetic mechanisms including increase of intracellular ara-CTP/dCTP pool ratios and enhanced ara-C DNA incorporation in leukemic blast cells, decrease of IC 90 of ara-C for leukemic colony-forming cells (CFC) as compared with normal CFC growth, and recruitment of quiescent leukemic cells into the cell cycle. In contrast, the combination of ara-C with M-CSF or with the leukemia inhibitory factor (LIF) appears to be useful in overcoming the block in differentiation of leukemic blast, while the effects of GM-CSF and IL-3 on ara-C-induced differentiation appear limited. The combined treatment of human myeloid leukemia cells by ara-C and LIF is associated with down-regulation of c-myc gene expression, transcriptional activation of jun/fos gene expression, and features of functional differentiation (e.g., the capability to reduce nitroblue tetrazolium, to express lysozyme, or to display differentiation-related surface receptors including C3bi and the c-fms protein). On the basis of these in vitro studies first clinical trials are underway that are examining the efficacy of ara-C combinations with these molecules for the treatment of myeloid disorders.","['Brach, M A', 'Mertelsmann, R H', 'Herrmann, F']","['Brach MA', 'Mertelsmann RH', 'Herrmann F']","['Department of Internal Medicine 1, University of Freiburg Medical Center, Federal Republic of Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Cancer Invest,Cancer investigation,8307154,"['0 (Colony-Stimulating Factors)', '0 (Drug Combinations)', '0 (Growth Inhibitors)', '0 (Hematopoietic Cell Growth Factors)', '0 (Interleukin-6)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Lymphokines)', '04079A1RDZ (Cytarabine)', '13191-15-6 (Arabinofuranosylcytosine Triphosphate)']",IM,"['Acute Disease', 'Arabinofuranosylcytosine Triphosphate/metabolism', 'Cell Differentiation/*drug effects', 'Cell Division/drug effects', 'Colony-Stimulating Factors/pharmacology', 'Cytarabine/metabolism/*pharmacology', 'Drug Combinations', 'Growth Inhibitors/pharmacology', 'Hematopoietic Cell Growth Factors/*pharmacology', 'Humans', '*Interleukin-6', 'Leukemia Inhibitory Factor', 'Leukemia, Myeloid/drug therapy/*pathology', 'Lymphokines/pharmacology', 'Tumor Cells, Cultured', 'Tumor Stem Cell Assay']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.3109/07357909309024840 [doi]'],ppublish,Cancer Invest. 1993;11(2):198-211. doi: 10.3109/07357909309024840.,130,"['Cancer Invest 1998;16(3):212', 'Cancer Invest 1998;16(6):429']",,,,,,,,
8462020,NLM,MEDLINE,19930504,20190914,0735-7907 (Print) 0735-7907 (Linking),11,2,1993,Functional significance of c-myb expression in normal and leukemic hematopoiesis.,191-7,,"['Calabretta, B', 'Venturelli, D', 'Gewirtz, A M']","['Calabretta B', 'Venturelli D', 'Gewirtz AM']","['Department of Microbiology, Thomas Jefferson University, Philadelphia, PA 19107.']",['eng'],['Journal Article'],England,Cancer Invest,Cancer investigation,8307154,,IM,"['Cell Division', 'Friend murine leukemia virus', 'Gene Expression Regulation, Leukemic/genetics/*physiology', 'Hematopoiesis/*genetics', 'Humans', 'Leukemia, Erythroblastic, Acute/genetics/pathology', 'Leukemia, Myeloid/*genetics/pathology', 'Oncogenes/*physiology', 'Tumor Cells, Cultured', 'Tumor Stem Cell Assay']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.3109/07357909309024839 [doi]'],ppublish,Cancer Invest. 1993;11(2):191-7. doi: 10.3109/07357909309024839.,,,['c-myb'],,,,,,,
8461864,NLM,MEDLINE,19930430,20191023,0959-8278 (Print) 0959-8278 (Linking),2,2,1993 Mar,Dietary and other environmental risk factors in acute leukaemias: a case-control study of 119 patients.,139-46,"Selected dietary risk factors and other environmental factors were studied in 119 adult patients (60 males and 59 females of the Cracow region) with acute leukaemia (91 acute myeloid leukaemia and 28 acute lymphoblastic leukaemia), by a case-control study method and logistic regression modelling of the risk of leukaemia. It was shown that the diet of patients with acute leukaemias before the onset of the disease differed qualitatively and quantitatively from that of healthy subjects of control groups. The risk of acute leukaemia was elevated in the subjects characterized by rare consumption of raw vegetables, frequent drinking of milk, frequent consumption of poultry, and drinking of soft water. Other environmental conditions connected with the dietary risk were: frequent viral infections, vaccination with the vaccinia virus, frequent use of aminophenazone, presence of fungi in the house, drinking of milk supplied from own's own cows, and frequent deaths of reared poultry.","['Kwiatkowski, A']",['Kwiatkowski A'],"['Department of Haematology, Nicolaus Copernicus University School of Medicine, Cracow, Poland.']",['eng'],['Journal Article'],England,Eur J Cancer Prev,European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP),9300837,['059QF0KO0R (Water)'],IM,"['Acute Disease', 'Animals', 'Case-Control Studies', 'Diet/*adverse effects', '*Environment', 'Feeding Behavior', 'Female', 'Food', 'Food Preferences', 'Humans', 'Leukemia, Myeloid/*etiology', 'Logistic Models', 'Male', 'Meat', 'Milk', 'Poland', 'Poultry', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*etiology', 'Respiratory Tract Infections/complications', 'Risk Factors', 'Water']",1993/03/01 00:00,1993/03/01 00:01,['1993/03/01 00:00'],"['1993/03/01 00:00 [pubmed]', '1993/03/01 00:01 [medline]', '1993/03/01 00:00 [entrez]']",['10.1097/00008469-199303000-00006 [doi]'],ppublish,Eur J Cancer Prev. 1993 Mar;2(2):139-46. doi: 10.1097/00008469-199303000-00006.,,,,,,,,,,
8461811,NLM,MEDLINE,19930506,20190501,0959-8138 (Print) 0959-8138 (Linking),306,6878,1993 Mar 6,Case-control study of leukaemia and non-Hodgkin's lymphoma among children aged 0-4 years living in west Berkshire and north Hampshire health districts.,615-21,"OBJECTIVE: To investigate the relation between parental employment in the nuclear industry and childhood leukaemia and non-Hodgkin's lymphoma. DESIGN: Case-control study. SETTING-West Berkshire and Basingstoke and North Hampshire District Health Authorities. SUBJECTS: 54 children aged 0-4 years who had leukaemia or non-Hodgkin's lymphoma diagnosed during 1972-89, who were born in the study area and were resident there when cancer was diagnosed. Six controls were selected for each case: four from hospital delivery registers and two from livebirth registers maintained by the NHS central register. Controls were matched for sex, date of birth (within six months), and area of residence at birth and time of diagnosis. MAIN OUTCOME MEASURES: Parents' employment by the nuclear industry and exposure to ionising radiation at work. RESULTS: Five (9%) of the 54 cases and 14 (4%) of the 324 controls had fathers or mothers, or both, who had been employed by the nuclear industry (relative risk 2.2, 95% confidence interval 0.6 to 6.9). Nuclear industry employees who work in areas where exposure to radiation is possible are given film badges to monitor their exposure to external penetrating ionising radiation. Three fathers of cases and two fathers of controls (and no mothers of either) had been monitored in this way before their child was conceived (relative risk 9.0, 95% confidence interval 1.0 to 107.8). No father (of a case or control) had accumulated a recorded dose of more than 5 mSv before his child was conceived, and no father had been monitored at any time in the four years before his child was conceived. A dose-response relation was not evident among fathers who had been monitored. CONCLUSIONS: These results suggest that the children of fathers who had been monitored for exposure to external penetrating ionising radiation in the nuclear industry may be at increased risk of developing leukaemia before their fifth birthday. The finding is based on small numbers and could be due to chance. If the relationship is real the mechanisms are far from clear, except that the effect is unlikely to be due to external radiation; the possibility that it could be due to internal contamination by radioactive substances or some other exposure at work should be pursued. The above average rates of leukaemia in the study area cannot be accounted for by these findings.","['Roman, E', 'Watson, A', 'Beral, V', 'Buckle, S', 'Bull, D', 'Baker, K', 'Ryder, H', 'Barton, C']","['Roman E', 'Watson A', 'Beral V', 'Buckle S', 'Bull D', 'Baker K', 'Ryder H', 'Barton C']","['Imperial Cancer Research Fund, Cancer Epidemiology Unit, Radcliffe Infirmary, Oxford.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,BMJ,BMJ (Clinical research ed.),8900488,,IM,"['Case-Control Studies', 'Child, Preschool', 'Employment', 'England/epidemiology', '*Environmental Exposure', 'Female', 'Humans', 'Incidence', 'Infant', 'Leukemia/*epidemiology/etiology', 'Leukemia, Radiation-Induced/*epidemiology/etiology', 'Lymphoma, Non-Hodgkin/*epidemiology/etiology', 'Male', 'Neoplasms, Radiation-Induced/*epidemiology/etiology', '*Nuclear Reactors', '*Parents', 'Risk Factors']",1993/03/06 00:00,1993/03/06 00:01,['1993/03/06 00:00'],"['1993/03/06 00:00 [pubmed]', '1993/03/06 00:01 [medline]', '1993/03/06 00:00 [entrez]']",['10.1136/bmj.306.6878.615 [doi]'],ppublish,BMJ. 1993 Mar 6;306(6878):615-21. doi: 10.1136/bmj.306.6878.615.,,,,"['BMJ. 1993 Apr 3;306(6882):930. PMID: 8490436', 'BMJ. 1993 Apr 24;306(6885):1129. PMID: 8495180', 'BMJ. 1993 May 22;306(6889):1412. PMID: 8518624']",PMC1676930,,,,,
8461593,NLM,MEDLINE,19930503,20061115,0941-3790 (Print) 0941-3790 (Linking),55,2,1993 Feb,[Information system on cancer mortality and district characteristics of the Rhineland TUV].,63-7,"On account of the lack of a comprehensive cancer registry with national coverage for the Federal Republic of Germany, the long-term and interregional evaluation of cancer mortality data is of particular relevance. Therefore, the TUV Rheinland instructed by the Federal Ministry for the Environment, Nature Protection, and Reactor Safety maintains an ""Information System on Cancer Mortality and District Characteristics (IKK)"" using official cause of death and resident population statistics. Mortality data for a variety of different cancer sites are documented with local and temporal separation for the area of the Federal Republic of Germany (before the German unification) and for a period of 20 years. The IKK data can be employed as a meaningful tool for epidemiological investigations relating to the correlation of cancer mortality and environmental agents. In the present paper the principles of the IKK are described and some examples of results are presented.","['Breckow, J', 'Geuer, W', 'Kvasnicka, E', 'Schnadt, H', 'Havers, W']","['Breckow J', 'Geuer W', 'Kvasnicka E', 'Schnadt H', 'Havers W']","['TUV Rheinland, Epidemiologie und Notfallschutz, Koln.']",['ger'],"['English Abstract', 'Journal Article']",Germany,Gesundheitswesen,Gesundheitswesen (Bundesverband der Arzte des Offentlichen Gesundheitsdienstes (Germany)),9204210,"['0 (Carcinogens, Environmental)']",IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Carcinogens, Environmental/adverse effects', '*Cause of Death', 'Child', 'Child, Preschool', 'Cross-Sectional Studies', 'Female', 'Germany/epidemiology', 'Humans', 'Incidence', 'Infant', 'Leukemia/etiology/mortality', 'Male', 'Middle Aged', 'Neoplasms/etiology/*mortality', 'Registries/*statistics & numerical data', 'Risk Factors', 'Stomach Neoplasms/etiology/mortality']",1993/02/01 00:00,1993/02/01 00:01,['1993/02/01 00:00'],"['1993/02/01 00:00 [pubmed]', '1993/02/01 00:01 [medline]', '1993/02/01 00:00 [entrez]']",,ppublish,Gesundheitswesen. 1993 Feb;55(2):63-7.,,,,,,Das Informationssystem uber Krebsmortalitat und Kreischarakteristika (IKK) des TUV Rheinland.,,,,
