PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,CIN,GS,SI,CON,RF,EIN,TT,PMC,MID
8400297,NLM,MEDLINE,19931123,20210216,0006-4971 (Print) 0006-4971 (Linking),82,8,1993 Oct 15,A model of in vivo cell proliferation of adult T-cell leukemia.,2501-9,"We have made a model of in vivo cell proliferation of leukemic cells from adult T-cell leukemia (ATL) patients using severe combined immunodeficiency (SCID) mice. Peripheral blood mononuclear cells (PBMC) or lymph node cells (LNC) depleted of B cells and monocytes were intraperitoneally injected into SCID mice treated with antimurine interleukin-2 receptor (IL-2+) beta chain monoclonal antibody (MoAb)(TM-beta 1), followed by daily injection of human recombinant IL-2 until 60 days after cell injection. SCID mice injected with ATL cells from 6 of 8 ATL patients were found to have the tumor or leukemia 5 to 7 weeks after the inoculation of cells. Serum levels of soluble form of human IL-2R alpha chain (Tac) were markedly elevated in such mice. The cells recovered from the mice injected with leukemic cells from four different ATL patients had the same cell surface phenotype as that of original leukemic cells which were CD4+Tac+. Furthermore, we detected the same integration site of human T-cell leukemia virus type I (HTLV-I) provirus and the same rearrangement pattern of human T-cell receptor (TCR) beta chain gene as those of ATL cells by Southern blot hybridization, indicating that the cells proliferating in SCID mice were derived from the original ATL cell clone. Histologic examination showed that the pattern of the infiltration of ATL cells into various organs in SCID mice was similar to that of an ATL patient. Such a model of in vivo cell proliferation of ATL cells will be useful for the study of the mechanism of neoplastic cell proliferation and for the development of a new and effective treatment of ATL.","['Kondo, A', 'Imada, K', 'Hattori, T', 'Yamabe, H', 'Tanaka, T', 'Miyasaka, M', 'Okuma, M', 'Uchiyama, T']","['Kondo A', 'Imada K', 'Hattori T', 'Yamabe H', 'Tanaka T', 'Miyasaka M', 'Okuma M', 'Uchiyama T']","['First Department of Internal Medicine and Laboratory of Anatomic Pathology, Kyoto University, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (DNA, Neoplasm)', '0 (Receptors, Interleukin-2)']",IM,"['Aged', 'Aged, 80 and over', 'Animals', 'Cell Division', 'DNA, Neoplasm/analysis', 'Female', 'Gene Rearrangement, beta-Chain T-Cell Antigen Receptor', 'Human T-lymphotropic virus 1/genetics', 'Humans', 'Leukemia, T-Cell/microbiology/*pathology', 'Leukemic Infiltration', 'Male', 'Mice', 'Mice, SCID', 'Middle Aged', 'Neoplasm Transplantation', 'Receptors, Interleukin-2/analysis', 'Transplantation, Heterologous']",1993/10/15 00:00,1993/10/15 00:01,['1993/10/15 00:00'],"['1993/10/15 00:00 [pubmed]', '1993/10/15 00:01 [medline]', '1993/10/15 00:00 [entrez]']",['S0006-4971(20)84045-2 [pii]'],ppublish,Blood. 1993 Oct 15;82(8):2501-9.,,,,,,,,,,
8400296,NLM,MEDLINE,19931123,20210216,0006-4971 (Print) 0006-4971 (Linking),82,8,1993 Oct 15,Processing of HLA-class II invariant chain and expression of the p35 form is different in malignant and transformed cells.,2494-500,"A monoclonal antibody VCD-1, directed against the N-terminal intracellular part of the invariant chain (li) was used to show, by immunoprecipitation and Western blotting, the unprocessed and processed forms of li in chronic lymphocytic leukemia (CLL) cells, in Epstein-Barr virus-transformed normal lymphocytes (EBVL), and in cells of the Raji Burkitt's lymphoma cell line. Terminal glycosylation and sulphation of li in the Golgi apparatus was shown in Raji cells and not in EBVL. CLL lymphocytes contain a higher concentration of p35 li than do EBVL or Raji cells.","['Veenstra, H', 'Jacobs, P', 'Dowdle, E B']","['Veenstra H', 'Jacobs P', 'Dowdle EB']","['South African Medical Research Council Human Cell Biology Research Unit, University of Cape Town.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Aggrecans)', '0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation, B-Lymphocyte)', '0 (Extracellular Matrix Proteins)', '0 (Glycoproteins)', '0 (Histocompatibility Antigens Class II)', '0 (Lectins, C-Type)', '0 (Proteoglycans)', '0 (invariant chain)']",IM,"['Aggrecans', 'Antibodies, Monoclonal/immunology', '*Antigen Presentation', '*Antigens, Differentiation, B-Lymphocyte', 'Cell Line, Transformed', '*Extracellular Matrix Proteins', 'Glycoproteins/metabolism', 'Golgi Apparatus/metabolism', 'Histocompatibility Antigens Class II/analysis/*metabolism', 'Humans', 'Lectins, C-Type', 'Leukemia, Lymphocytic, Chronic, B-Cell/*immunology', 'Lymphocytes/*immunology', '*Proteoglycans']",1993/10/15 00:00,1993/10/15 00:01,['1993/10/15 00:00'],"['1993/10/15 00:00 [pubmed]', '1993/10/15 00:01 [medline]', '1993/10/15 00:00 [entrez]']",['S0006-4971(20)84044-0 [pii]'],ppublish,Blood. 1993 Oct 15;82(8):2494-500.,,,,,,,,,,
8400289,NLM,MEDLINE,19931123,20210216,0006-4971 (Print) 0006-4971 (Linking),82,8,1993 Oct 15,Both megakaryocytopoiesis and erythropoiesis are induced in mice infected with a retrovirus expressing an oncogenic erythropoietin receptor.,2386-95,"Increasing direct and indirect evidence suggests that erythropoietin (Epo) promotes both erythropoiesis and megakaryocytopoiesis. Here we report that, in mice infected with a recombinant spleen focus-forming retrovirus (SFFV) expressing an oncogenic erythropoietin receptor (EpoR), there was an increase in platelet count preceding the ensuing erythrocytosis. Concurrently, there was a substantial increase in splenic megakaryocytes. Culture of the bone marrow and spleen cells from infected mice showed enhanced numbers of multipotent megakaryocytic progenitors. DNA polymerase chain reaction analysis of individual megakaryocyte-containing colonies showed recombinant SFFV (SFFVcEpoR) proviral integration. Immunofluorescence of spleen sections showed overexpression of EpoR protein in the megakaryocytes. Mice infected with a strain of SFFV also developed splenic megakaryocytosis without activating overexpression of the EpoR in megakaryocytes. This in vivo system shows that a relationship between erythropoiesis and thrombopoiesis can exist at the level of the Epo-EpoR signaling pathway. Also, SFFV-based vectors may be excellent vehicles for the introduction of genes into multipotent, hematopoietic progenitors, in vitro.","['Longmore, G D', 'Pharr, P', 'Neumann, D', 'Lodish, H F']","['Longmore GD', 'Pharr P', 'Neumann D', 'Lodish HF']","['Department of Medicine, Washington University School of Medicine, St Louis, MO 63110.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Receptors, Erythropoietin)']",IM,"['Animals', 'Base Sequence', '*Erythropoiesis', 'Female', '*Hematopoiesis', 'Leukemia, Experimental/physiopathology', 'Megakaryocytes/*physiology', 'Mice', 'Molecular Sequence Data', 'Receptors, Erythropoietin/analysis/biosynthesis/*physiology', 'Retroviridae Infections/*physiopathology', 'Spleen Focus-Forming Viruses/genetics', 'Tumor Virus Infections/physiopathology']",1993/10/15 00:00,1993/10/15 00:01,['1993/10/15 00:00'],"['1993/10/15 00:00 [pubmed]', '1993/10/15 00:01 [medline]', '1993/10/15 00:00 [entrez]']",['S0006-4971(20)84032-4 [pii]'],ppublish,Blood. 1993 Oct 15;82(8):2386-95.,"['HL32262/HL/NHLBI NIH HHS/United States', 'NIA AG00294/AG/NIA NIH HHS/United States']",['Blood. 1994 Jun 15;83(12):3829-31. PMID: 8204902'],,,,,,,,
8400288,NLM,MEDLINE,19931123,20210216,0006-4971 (Print) 0006-4971 (Linking),82,8,1993 Oct 15,Type-I interferons are potent inhibitors of interleukin-8 production in hematopoietic and bone marrow stromal cells.,2371-8,"Interleukin-8 (IL-8) is produced by many cell types upon stimulation with bacterial products or inflammation-associated cytokines such as tumor necrosis factor-alpha and IL-1. Interferons (IFNs) represent another group of cytokines that are induced by similar stimuli in inflammatory reactions. We show now that type-I IFNs are potent inhibitors of IL-8 expression in vitro and in vivo. A significant reduction of both secretion of IL-8 protein and accumulation of IL-8 mRNA in vitro was observed in several cell types comprising peripheral blood mononuclear cells (PBMNC) from healthy donors and from patients with chronic myelogenous leukemia (CML), the myelomonocytic cell line THP-1, and bone marrow (BM) stromal cells as a representative model for BM microenvironment. By contrast, in lipopolysaccharide-stimulated polymorphonuclear phagocytes IFN failed to suppress IL-8 expression. In untreated patients with CML, a constitutive expression of IL-8 mRNA was detected in freshly isolated PBMNC that was markedly reduced 5 hours after therapeutic application of IFN-alpha. The mechanism of IL-8 downregulation was studied more in detail in the THP-1 cell line. The experiments showed that de novo protein synthesis was not required for the inhibitory effect. RNA decay analysis and nuclear run-on assays suggest that in THP-1 cell line the inhibition of IL-8 expression is predominantly regulated at the posttranscriptional level.","['Aman, M J', 'Rudolf, G', 'Goldschmitt, J', 'Aulitzky, W E', 'Lam, C', 'Huber, C', 'Peschel, C']","['Aman MJ', 'Rudolf G', 'Goldschmitt J', 'Aulitzky WE', 'Lam C', 'Huber C', 'Peschel C']","['Department of Medicine, Johannes-Gutenberg University, Mainz, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Interferon-alpha)', '0 (Interleukin-8)', '0 (Tumor Necrosis Factor-alpha)']",IM,"['Bone Marrow/*metabolism', 'Bone Marrow Cells', 'Cells, Cultured', 'Down-Regulation', 'Gene Expression Regulation/drug effects', 'Humans', 'Interferon-alpha/*pharmacology', 'Interleukin-8/*biosynthesis/genetics', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/metabolism', 'Leukocytes, Mononuclear/*metabolism', 'Neutrophils/*metabolism', 'Stromal Cells/metabolism', 'Tumor Necrosis Factor-alpha/pharmacology']",1993/10/15 00:00,1993/10/15 00:01,['1993/10/15 00:00'],"['1993/10/15 00:00 [pubmed]', '1993/10/15 00:01 [medline]', '1993/10/15 00:00 [entrez]']",['S0006-4971(20)84030-0 [pii]'],ppublish,Blood. 1993 Oct 15;82(8):2371-8.,,,,,,,,,,
8400286,NLM,MEDLINE,19931123,20210216,0006-4971 (Print) 0006-4971 (Linking),82,8,1993 Oct 15,Survival or death of individual proerythroblasts results from differing erythropoietin sensitivities: a mechanism for controlled rates of erythrocyte production.,2340-52,"Murine erythroid progenitors infected with the anemia-inducing strain of Friend virus (FVA cells) undergo apoptosis when deprived of erythropoietin (EPO). When cultured with EPO, they survive and complete terminal differentiation. Although cell volume is decreased and nuclear chromatin is condensed during both apoptosis and terminal differentiation, morphologic and biochemical distinctions between these two processes were observed. In apoptosis, homogeneous nuclear condensation with nuclear envelope loss occurred in cells that had not reached the stage of hemoglobin synthesis. In terminal erythroid differentiation, nuclear condensation with heterochromatin, euchromatin, and nuclear envelope preservation occurred simultaneously with hemoglobin synthesis. Cells with apoptotic morphology appeared asynchronously in EPO-deprived cultures, indicating that only a portion of the cells were undergoing apoptosis at any given time. The percentages of apoptotic cells and cleaved DNA increased with time in EPO-deprived cultures. Inhibition of DNA cleavage was directly proportional to EPO concentration over a wide physiologic range, demonstrating a heterogeneity in susceptibility to apoptosis based on variability in the EPO sensitivity of individual cells. A subpopulation of FVA cells with increased EPO sensitivity (decreased EPO requirement) was isolated from EPO-deprived cultures. This increased EPO sensitivity did not result from differences in EPO receptor number, affinity, or structure, suggesting that the differences are in the signal transduction pathway. These results indicate that control of red blood cell production involves both prevention of apoptosis by EPO and heterogeneity in the EPO requirement of individual progenitor cells.","['Kelley, L L', 'Koury, M J', 'Bondurant, M C', 'Koury, S T', 'Sawyer, S T', 'Wickrema, A']","['Kelley LL', 'Koury MJ', 'Bondurant MC', 'Koury ST', 'Sawyer ST', 'Wickrema A']","['Division of Hematology, Vanderbilt University School of Medicine, Nashville, TN 37232-2287.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (RNA, Messenger)', '0 (Receptors, Erythropoietin)', '11096-26-7 (Erythropoietin)', '9007-49-2 (DNA)']",IM,"['Animals', '*Apoptosis', 'Base Sequence', 'Cell Differentiation', 'Cell Fractionation', 'Cells, Cultured', 'DNA/metabolism', 'Erythroblasts/*drug effects/physiology', 'Erythrocyte Aging/drug effects', '*Erythropoiesis', 'Erythropoietin/biosynthesis/*pharmacology', 'Friend murine leukemia virus', 'Mice', 'Molecular Sequence Data', 'RNA, Messenger/analysis', 'Receptors, Erythropoietin/genetics/physiology']",1993/10/15 00:00,1993/10/15 00:01,['1993/10/15 00:00'],"['1993/10/15 00:00 [pubmed]', '1993/10/15 00:01 [medline]', '1993/10/15 00:00 [entrez]']",['S0006-4971(20)84027-0 [pii]'],ppublish,Blood. 1993 Oct 15;82(8):2340-52.,"['DK31513/DK/NIDDK NIH HHS/United States', 'DK39781/DK/NIDDK NIH HHS/United States', 'DKF32-05884/DK/NIDDK NIH HHS/United States', 'etc.']",,,,,,,,,
8400284,NLM,MEDLINE,19931123,20210216,0006-4971 (Print) 0006-4971 (Linking),82,8,1993 Oct 15,Salvage immunotherapy using donor leukocyte infusions as treatment for relapsed chronic myelogenous leukemia after allogeneic bone marrow transplantation: efficacy and toxicity of a defined T-cell dose.,2310-8,"Eight patients who had hematologic relapse of chronic myelogenous leukemia (CML) after undergoing allogeneic bone marrow transplantation (BMT) were treated with leukocyte infusions from the original bone marrow donors. All patients had previously received marrow grafts from HLA-identical siblings. Six patients were in the accelerated phase of their disease and two were in blast crisis. Each patient received a predetermined T-cell dose within a narrow range of 2.5 to 5.0 x 10(8) T cells/kg. Three patients also received short courses of therapy with alpha interferon to control elevated white blood cell counts within the first several weeks after leukocyte transfusions. Seven of eight evaluable patients developed graft-versus-host disease (GVHD) at a median of 32 days after the initial infusion. One patient had fatal GVHD. A second patient had grade 3 acute GVHD, which has responded to immunosuppressive therapy. The remaining patients all had mild grade I GVHD. Six patients continue to require modest doses of prednisone more than 6 months after infusion. Four patients developed marrow aplasia, which in three patients required marrow boosts from the original donors. Two of these three patients have normal hematopoietic function, whereas the third patient remains growth factor and transfusion dependent. Both patients treated in blast crisis have died, one from GVHD and one from disease progression. All six patients in the accelerated phase are alive and in cytogenetic remission at a median of 42 weeks after infusion. Five of these six patients are in molecular remission. This study demonstrates that leukocyte infusions that administered a defined T-cell dose can exert a profound graft-versus-leukemia effect and are an effective form of salvage immunotherapy in allogeneic marrow transplant recipients. This therapeutic approach appears to be a viable alternative to existing chemotherapeutic and immunomodulatory strategies for the treatment of relapsed CML.","['Drobyski, W R', 'Keever, C A', 'Roth, M S', 'Koethe, S', 'Hanson, G', 'McFadden, P', 'Gottschall, J L', 'Ash, R C', 'van Tuinen, P', 'Horowitz, M M']","['Drobyski WR', 'Keever CA', 'Roth MS', 'Koethe S', 'Hanson G', 'McFadden P', 'Gottschall JL', 'Ash RC', 'van Tuinen P', 'Horowitz MM', 'et al.']","['Department of Medicine, Medical College of Wisconsin, Milwaukee 53226.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,,IM,"['Adult', '*Bone Marrow Transplantation/adverse effects', 'Chimera', 'Combined Modality Therapy', 'Female', 'Graft vs Host Disease/etiology', 'Humans', 'Immunophenotyping', '*Immunotherapy, Adoptive/adverse effects', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*therapy', 'Male', 'Middle Aged', 'Recurrence', '*Salvage Therapy', 'T-Lymphocytes/*immunology', 'Transplantation, Homologous']",1993/10/15 00:00,1993/10/15 00:01,['1993/10/15 00:00'],"['1993/10/15 00:00 [pubmed]', '1993/10/15 00:01 [medline]', '1993/10/15 00:00 [entrez]']",['S0006-4971(20)84023-3 [pii]'],ppublish,Blood. 1993 Oct 15;82(8):2310-8.,"['5 R29DK43470/DK/NIDDK NIH HHS/United States', 'CA 01534/CA/NCI NIH HHS/United States']",,,,,,,,,
8400283,NLM,MEDLINE,19931123,20210216,0006-4971 (Print) 0006-4971 (Linking),82,8,1993 Oct 15,High glucocorticoid receptor content of leukemic blasts is a favorable prognostic factor in childhood acute lymphoblastic leukemia.,2304-9,"We have previously shown that the number of glucocorticoid receptors (GR) per cell in malignant lymphoblasts from children with newly diagnosed pre-B- and early pre-B-cell acute lymphoblastic leukemia (ALL) has a positive correlation with the probability of successful remission induction (Quddus et al, Cancer Res, 45:6482, 1985). We report now on the long-term outcome for these patients treated on a single protocol with 3 different treatment arms, all of which included glucocorticoid pulses during maintenance therapy. GR were quantitated in leukemic cells from 546 children with ALL at the time of diagnosis. Immunophenotyping studies were performed on all specimens. Prior studies showed that in pre-B- and early pre-B-cell ALL, successful remission induction was associated with a median GR number of 9,900 sites/cell, whereas induction failure was associated with a median receptor number of 4,800 sites/cell. Long-term follow-up of these patients shows an association between higher GR number and improved prognosis. The 5-year event-free survival of 61.0% (SE 2.8%) for patients whose leukemic cells had greater than 8,000 receptors/cell and 47.3% (SE 3.3%) for those with less than 8,000 receptors/cell is significantly different (P < .001). This difference remains significant when adjusted multivariately for blast immunophenotype and clinical risk factors (P < .001) or for treatment type (P < .001). We conclude that GR number greater than 8,000 sites/leukemic cell is a favorable prognostic marker for children with acute lymphocytic leukemia. This finding offers deeper insights into molecular mechanisms of anti-leukemia therapy and suggests that manipulation of steroid receptor number might augment the antitumor response, thus opening new avenues for basic and clinical research.","['Kato, G J', 'Quddus, F F', 'Shuster, J J', 'Boyett, J', 'Pullen, J D', 'Borowitz, M J', 'Whitehead, V M', 'Crist, W M', 'Leventhal, B G']","['Kato GJ', 'Quddus FF', 'Shuster JJ', 'Boyett J', 'Pullen JD', 'Borowitz MJ', 'Whitehead VM', 'Crist WM', 'Leventhal BG']","['Department of Pediatrics, Johns Hopkins University School of Medicine, Baltimore, MD.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Receptors, Glucocorticoid)', 'C137DTR5RG (Theophylline)']",IM,"['Adolescent', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Lymphocytes/*chemistry', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/*metabolism/mortality', 'Prognosis', 'Receptors, Glucocorticoid/*analysis', 'Survival Rate', 'Theophylline/pharmacology']",1993/10/15 00:00,1993/10/15 00:01,['1993/10/15 00:00'],"['1993/10/15 00:00 [pubmed]', '1993/10/15 00:01 [medline]', '1993/10/15 00:00 [entrez]']",['S0006-4971(20)84022-1 [pii]'],ppublish,Blood. 1993 Oct 15;82(8):2304-9.,"['CA-28476/CA/NCI NIH HHS/United States', 'CA-29139/CA/NCI NIH HHS/United States', 'CA-31566/CA/NCI NIH HHS/United States', 'etc.']",,,,,,,,,
8400279,NLM,MEDLINE,19931123,20210216,0006-4971 (Print) 0006-4971 (Linking),82,8,1993 Oct 15,Graft-versus-leukemia: no longer an epiphenomenon.,2273-7,,"['Antin, J H']",['Antin JH'],,['eng'],"['Editorial', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,['0 (Interferon-alpha)'],IM,"['*Bone Marrow Transplantation', 'Graft vs Host Disease/*etiology', 'Humans', 'Interferon-alpha/physiology', 'Killer Cells, Natural/immunology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/immunology/*therapy']",1993/10/15 00:00,1993/10/15 00:01,['1993/10/15 00:00'],"['1993/10/15 00:00 [pubmed]', '1993/10/15 00:01 [medline]', '1993/10/15 00:00 [entrez]']",['S0006-4971(20)84017-8 [pii]'],ppublish,Blood. 1993 Oct 15;82(8):2273-7.,"['CA39542/CA/NCI NIH HHS/United States', 'CA58661/CA/NCI NIH HHS/United States']",,,,,,,,,
8400276,NLM,MEDLINE,19931110,20210216,0006-4971 (Print) 0006-4971 (Linking),82,7,1993 Oct 1,Involvement of the MLL/ALL-1 gene associated with multiple point mutations of the N-ras gene in acute myeloid leukemia with t(11;17)(q23;q25),2260-1,,"['Naoe, T', 'Kubo, K', 'Kiyoi, H', 'Ohno, R', 'Akao, Y', 'Yoshida, J', 'Kato, K', 'Kojima, S', 'Matsuyama, T']","['Naoe T', 'Kubo K', 'Kiyoi H', 'Ohno R', 'Akao Y', 'Yoshida J', 'Kato K', 'Kojima S', 'Matsuyama T']",,['eng'],"['Case Reports', 'Letter']",United States,Blood,Blood,7603509,['0 (Codon)'],IM,"['Acute Disease', 'Base Sequence', 'Child', 'Chromosome Mapping', '*Chromosomes, Human, Pair 11', '*Chromosomes, Human, Pair 17', 'Codon/genetics', 'Female', '*Genes, ras', 'Humans', 'Leukemia, Myeloid/*genetics', '*Point Mutation', '*Translocation, Genetic']",1993/10/01 00:00,1993/10/01 00:01,['1993/10/01 00:00'],"['1993/10/01 00:00 [pubmed]', '1993/10/01 00:01 [medline]', '1993/10/01 00:00 [entrez]']",['S0006-4971(20)82345-3 [pii]'],ppublish,Blood. 1993 Oct 1;82(7):2260-1.,,,"['MLL/ALL-1', 'N-ras']",,,,,,,
8400274,NLM,MEDLINE,19931110,20210216,0006-4971 (Print) 0006-4971 (Linking),82,7,1993 Oct 1,Treatment with ganciclovir and Ig for acute Epstein-Barr virus infection after allogeneic bone marrow transplantation.,2257-8,,"['Oettle, H', 'Wilborn, F', 'Schmidt, C A', 'Siegert, W']","['Oettle H', 'Wilborn F', 'Schmidt CA', 'Siegert W']",,['eng'],"['Case Reports', 'Letter']",United States,Blood,Blood,7603509,"['0 (Immunoglobulins, Intravenous)', 'P9G3CKZ4P5 (Ganciclovir)']",IM,"['Acute Disease', 'Adolescent', 'Adult', '*Bone Marrow Transplantation/adverse effects', 'Female', 'Ganciclovir/*therapeutic use', 'Herpesviridae Infections/*therapy', '*Herpesvirus 4, Human/isolation & purification', 'Humans', 'Immunoglobulins, Intravenous/*therapeutic use', 'Leukemia, Myeloid/therapy', 'Male', 'Polymerase Chain Reaction', 'Tumor Virus Infections/*therapy']",1993/10/01 00:00,1993/10/01 00:01,['1993/10/01 00:00'],"['1993/10/01 00:00 [pubmed]', '1993/10/01 00:01 [medline]', '1993/10/01 00:00 [entrez]']",['S0006-4971(20)82341-6 [pii]'],ppublish,Blood. 1993 Oct 1;82(7):2257-8.,,,,,,,,,,
