PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,GR,TT,PMC,GS,CIN,CON,SI,OID,OTO,OT,GN,PS,FPS,IR,FIR,IRAD,EIN,CRF,CRI,OAB,OABL
8348071,NLM,MEDLINE,19930915,20190116,1042-8194 (Print) 1026-8022 (Linking),9,4-5,1993 Mar,Modalities of in vitro IgM and IgG production by peripheral blood lymphocytes of chronic lymphocytic leukemia patients and healthy volunteers.,357-64,"In vitro spontaneous and mitogen (LPS, rIFN alpha and PWM) or cytokine (rIL-2) induced IgM and IgG production by peripheral blood lymphocytes of 15 CLL patients and 16 healthy volunteers has been determined. This study has shown: (1) that there is no difference between healthy donors and CLL patients in respect to level and variability of spontaneous immunoglobulin production by their lymphocyte cultures; (2) that there is no correlation between the percentage of B cells in individual cell cultures obtained from CLL patients and the amount of spontaneously produced IgM or IgG; (3) that there is a correlation between spontaneous in vitro IgM production and IgM content in the serum of the patient; (4) that in CLL patients selective augmentation of IgM production could be obtained after stimulation with PWM or rIL-2, but only in those cultures which spontaneously produce more than 35 ng/ml of IgM and (5) that the number of lymphocyte cultures able to be stimulated to IgM production is about 10 times smaller when they originate from CLL patients than from healthy volunteers. These findings are in line with the view that B cells in CLL patients often do not differentiate due to the insufficiency of factor(s) secreted by their own activated T-cells, but that in essence they follow the same differentiation pathway as normal B-cells.","['Poljak, L J', 'Simaga, S', 'Jaksic, B', 'Vitale, B']","['Poljak LJ', 'Simaga S', 'Jaksic B', 'Vitale B']","['Ruder Boskovic Institute, Zagreb, Croatia.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Antibodies, Neoplasm)', '0 (Immunoglobulin G)', '0 (Immunoglobulin M)', '0 (Interferon Type I)', '0 (Interleukin-2)', '0 (Lipopolysaccharides)', '0 (Pokeweed Mitogens)', '0 (Recombinant Proteins)']",IM,"['Aged', 'Aged, 80 and over', 'Antibodies, Neoplasm/*biosynthesis', 'B-Lymphocytes/*immunology', 'Cells, Cultured', 'Humans', 'Immunoglobulin G/*biosynthesis', 'Immunoglobulin M/*biosynthesis', 'Interferon Type I/pharmacology', 'Interleukin-2/pharmacology', 'Leukemia, Lymphocytic, Chronic, B-Cell/*immunology/pathology', 'Lipopolysaccharides/pharmacology', 'Lymphocyte Activation/drug effects', 'Middle Aged', 'Pokeweed Mitogens/pharmacology', 'Recombinant Proteins/pharmacology', 'Tumor Cells, Cultured']",1993/03/01 00:00,1993/03/01 00:01,['1993/03/01 00:00'],"['1993/03/01 00:00 [pubmed]', '1993/03/01 00:01 [medline]', '1993/03/01 00:00 [entrez]']",['10.3109/10428199309148534 [doi]'],ppublish,Leuk Lymphoma. 1993 Mar;9(4-5):357-64. doi: 10.3109/10428199309148534.,,,,,,,,,,,,,,,,,,,,,,
8348070,NLM,MEDLINE,19930915,20190116,1042-8194 (Print) 1026-8022 (Linking),9,4-5,1993 Mar,Cerebrospinal fluid neopterin levels in children with central nervous system leukemia.,351-6,"Cerebrospinal fluid (CSF) neopterin levels were determined by high-pressure liquid chromatography in 48 normal children and in 15 children with meningeal relapse of hematologic malignancies (13 acute lymphoblastic leukemia and 2 high-grade lymphomas). When meningeal relapse was diagnosed, all patients had CSF neopterin levels higher than mean normal value +2 standard deviations. No significant correlation between the blast count in the CSF and neopterin levels was observed. CSF data before relapse were available in 10 children: the neopterin values at relapse were significantly higher than values observed at diagnosis. In 3 patients, elevated neopterin levels preceded the occurrence of neurologic signs and the detection of blast cells in CSF by 15 to 30 days. In the absence of infection, the rise of CSF neopterin levels in patients with hematologic malignancies indicates an active phase of the disease. This could reflect a cell-mediated immunologic process induced by malignant cells. The measurement of CSF neopterin should be helpful in the monitoring of patients to detect early meningeal relapse.","['Millot, F', 'Dhondt, J L', 'Mazingue, F', 'Mechinaud, F', 'Auget, J L', 'Bauters, F', 'Harousseau, J L']","['Millot F', 'Dhondt JL', 'Mazingue F', 'Mechinaud F', 'Auget JL', 'Bauters F', 'Harousseau JL']","[""Service d'Hematologie Clinique, CHU Poitiers, France.""]",['eng'],['Journal Article'],United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Biomarkers, Tumor)', '0 (Cerebrospinal Fluid Proteins)', '0 (Neoplasm Proteins)', '22150-76-1 (Biopterin)', '670-65-5 (Neopterin)']",IM,"['Adolescent', 'Biomarkers, Tumor/*cerebrospinal fluid', 'Biopterin/*analogs & derivatives/cerebrospinal fluid', 'Burkitt Lymphoma/cerebrospinal fluid/immunology', 'Cerebrospinal Fluid Proteins/*analysis', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Immunity, Cellular', 'Infant', 'Leukemic Infiltration', 'Lymphoma, Non-Hodgkin/*cerebrospinal fluid/immunology', 'Male', 'Meningeal Neoplasms/*cerebrospinal fluid/immunology', 'Meninges/*pathology', 'Neoplasm Proteins/*cerebrospinal fluid', 'Neopterin', 'Phagocytes/metabolism', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*cerebrospinal fluid/immunology/pathology', 'Prognosis']",1993/03/01 00:00,1993/03/01 00:01,['1993/03/01 00:00'],"['1993/03/01 00:00 [pubmed]', '1993/03/01 00:01 [medline]', '1993/03/01 00:00 [entrez]']",['10.3109/10428199309148533 [doi]'],ppublish,Leuk Lymphoma. 1993 Mar;9(4-5):351-6. doi: 10.3109/10428199309148533.,,,,,,,,,,,,,,,,,,,,,,
8348069,NLM,MEDLINE,19930915,20190116,1042-8194 (Print) 1026-8022 (Linking),9,4-5,1993 Mar,Second malignancies following treatment in non-Hodgkin's lymphoma.,337-42,"Second malignancies represent an important iatrogenic complication of the treatment of hematologic and other neoplasms. In this review we summarize the literature relating specifically to malignancies developing in the wake of treated non-Hodgkin's lymphoma (NHL). In these patients, the risk of myelodysplastic syndrome (MDS) and acute non lymphocytic leukemia (ANLL) is reported to be increased 10-105 fold over that of the general population. Factors in the development of MDS and ANLL include basic defects in cellular immunity in NHL patients as well as treatment with alkylating agents and low dose total body irradiation. Biologically these secondary MDS and ANLLs are characterized by specific cytogenetic abnormalities and results of treatment are poor. Currently bone marrow transplantation offers the only potential cure. There is no clear statistical evidence that solid tumors occur more frequently after NHL. However, bladder carcinoma, in cyclophosphamide treated patients, and lung cancer have been reported by some to occur with an increased incidence. Further investigation of the molecular events leading to the occurrence of second malignancies in NHL patients and the role played by oncogenes and tumor suppressor genes in this process is still needed.","['Ellis, M', 'Lishner, M']","['Ellis M', 'Lishner M']","['Department of Medicine, Meir Hospital, Kfar Saba, Israel.']",['eng'],"['Journal Article', 'Review']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,['0 (Antineoplastic Agents)'],IM,"['Actuarial Analysis', 'Adult', 'Antineoplastic Agents/*adverse effects/therapeutic use', 'Bone Marrow Transplantation', 'Combined Modality Therapy/adverse effects', 'Female', 'Humans', 'Incidence', 'Leukemia, Myeloid, Acute/epidemiology/etiology', 'Lymphoma, Non-Hodgkin/*therapy', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/epidemiology/etiology/therapy', 'Neoplasms, Radiation-Induced/etiology', 'Neoplasms, Second Primary/epidemiology/*etiology/therapy', 'Preleukemia/etiology', 'Radiotherapy/*adverse effects', 'Risk', 'Risk Factors', 'Survival Analysis', 'Time Factors']",1993/03/01 00:00,1993/03/01 00:01,['1993/03/01 00:00'],"['1993/03/01 00:00 [pubmed]', '1993/03/01 00:01 [medline]', '1993/03/01 00:00 [entrez]']",['10.3109/10428199309148531 [doi]'],ppublish,Leuk Lymphoma. 1993 Mar;9(4-5):337-42. doi: 10.3109/10428199309148531.,50,,,,,,,,,,,,,,,,,,,,,
8348066,NLM,MEDLINE,19930915,20190116,1042-8194 (Print) 1026-8022 (Linking),9,4-5,1993 Mar,Rationale for the clinical use of immunotoxins: monoclonal antibodies conjugated to ribosome-inactivating proteins.,293-304,"The use of chemotherapeutic drugs in combination with bone marrow transplantation to treat cancer patients has markedly improved the disease-free survival and cure rate. Part of the tumor cells, however, can escape from therapy due to resistance. Tumor-specific delivery of toxins that do not interfere with conventional drugs and are not cell cycle dependent seems to be a reasonable approach to overcome this problem. Natural ribosome-inhibiting-proteins (RIPs) from plants, bacteria and fungi which are extremely toxic inhibitors of protein synthesis are isolated and coupled to monoclonal antibodies (MoAbs) and receptor-specific ligands, immunotoxins (ITs), to fulfil this purpose. ITs are very suitable to eliminate malignant cells in vitro and in vivo. RIPs contain two or three active sites: a binding site which can be absent in a part of the RIPs and can be replaced by the MoAb; a translocation site that facilitates transport into the cytosol after internalization, and a cytotoxic site that enzymatically inhibits protein synthesis. Binding site containing toxins induce strong nonspecific cytotoxicity when coupled to MoAbs. Recent developments in recombinant DNA techniques enable genetic elimination of the binding site to reduce nonspecific cytotoxicity of these toxins. In this review the structures and mechanisms of action of RIPs as well as factors that influence cytotoxicity of immunotoxins are discussed. Moreover the problems dealing with in vivo application of ITs such as blood clearance by instability of the IT and hepatic entrapment, and production of antibodies directed against MoAb and toxin are reviewed.","['Preijers, F W']",['Preijers FW'],"['Department of Hematology, University Hospital St. Radboud, Nijmegen, The Netherlands.']",['eng'],"['Journal Article', 'Review']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Neoplasm)', '0 (Antineoplastic Agents)', '0 (Immunotoxins)', '0 (Protein Synthesis Inhibitors)']",IM,"['Animals', 'Antibodies, Monoclonal/administration & dosage', 'Antibodies, Neoplasm/administration & dosage', 'Antineoplastic Agents/administration & dosage/chemistry/*therapeutic use', 'Binding Sites', 'Bone Marrow/drug effects', 'Bone Marrow Transplantation', 'Humans', 'Immunotoxins/chemistry/*therapeutic use', 'Leukemia/drug therapy/surgery', 'Mice', 'Neoplasms/*drug therapy/immunology', 'Neoplastic Stem Cells/drug effects', 'Protein Synthesis Inhibitors/administration & dosage/chemistry/classification/*therapeutic use', 'Ribosomes/*drug effects', 'Tumor Cells, Cultured/drug effects']",1993/03/01 00:00,1993/03/01 00:01,['1993/03/01 00:00'],"['1993/03/01 00:00 [pubmed]', '1993/03/01 00:01 [medline]', '1993/03/01 00:00 [entrez]']",['10.3109/10428199309148526 [doi]'],ppublish,Leuk Lymphoma. 1993 Mar;9(4-5):293-304. doi: 10.3109/10428199309148526.,101,,,,,,,,,,,,,,,,,,,,,
8348065,NLM,MEDLINE,19930915,20190116,1042-8194 (Print) 1026-8022 (Linking),9,4-5,1993 Mar,Clinical review on features and cytogenetic patterns in adult acute myeloid leukemia with lymphoid markers.,285-91,"Cytogenetic patterns in correlation with cytologic, biomolecular and clinical findings were studied in 45 adult patients with AML expressing at least one of the following lymphoid associated markers (LM): CD2, CD7, CD10, CD19, CD22, TdT. Four cytogenetic groups were recognized: group I, including 8 patients with 11q23 rearrangements; group II including 5 patients with the Ph chromosome; group III, with 19 patients and aberrations of the ""myeloid type"" including 4 cases with aberrations of chromosome 13, 3 cases with 1q and 7q anomalies, 2 cases with trisomy 11q; group IV, including 13 patients with normal karyotype. Patients showing extensive lineage infidelity were encountered more frequently in cytogenetic groups I and II than in groups III and IV. Two of 4 cases with aberrations of chromosome 13 showed two or more lymphoid features either at immunophenotyping or at biomolecular analysis of the configuration of lg and TCR genes. Patients with 11q23 rearrangements and with the Ph chromosome were generally young, presented with high WBC count and had low complete remission rate. Survival in Ph chromosome positive patients was uniformly short. We conclude that, although there is no cytogenetic anomaly specific for AML with LM, chromosome findings may be clinically relevant in AML with LM. A morphologic, immunologic and cytogenetic classification of AML with LM may constitute a working basis for future studies aimed at a better definition of clinicopathological features and optimal treatment strategy for these leukemias.","['Cuneo, A', 'Ferrant, A', 'Michaux, J L', 'Boogaerts, M', 'Demuynck, H', 'Bosly, A', 'Doyen, C', 'Carli, M G', 'Piva, N', 'Castoldi, G']","['Cuneo A', 'Ferrant A', 'Michaux JL', 'Boogaerts M', 'Demuynck H', 'Bosly A', 'Doyen C', 'Carli MG', 'Piva N', 'Castoldi G', 'et al.']","['Institute of Hematology, University of Ferrara, Italy.']",['eng'],"['Journal Article', 'Review']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Antigens, CD)', '0 (Antigens, Neoplasm)', '0 (Biomarkers, Tumor)', '0 (Neoplasm Proteins)', '04079A1RDZ (Cytarabine)', '6PLQ3CP4P3 (Etoposide)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)', 'RSA8KO39WH (Vindesine)', 'VAE protocol']",IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', '*Aneuploidy', 'Antigens, CD/*analysis', 'Antigens, Neoplasm/*analysis', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Biomarkers, Tumor/*analysis', '*Chromosome Aberrations', 'Cytarabine/administration & dosage', 'DNA Nucleotidylexotransferase/*analysis', 'Etoposide/administration & dosage', 'Female', 'Gene Rearrangement', 'Humans', 'Immunophenotyping', 'Leukemia, Myeloid, Acute/drug therapy/genetics/mortality/*pathology', 'Male', 'Middle Aged', 'Neoplasm Proteins/*analysis', 'Neoplastic Stem Cells/chemistry/pathology', 'Philadelphia Chromosome', 'Remission Induction', 'Vindesine/administration & dosage']",1993/03/01 00:00,1993/03/01 00:01,['1993/03/01 00:00'],"['1993/03/01 00:00 [pubmed]', '1993/03/01 00:01 [medline]', '1993/03/01 00:00 [entrez]']",['10.3109/10428199309148525 [doi]'],ppublish,Leuk Lymphoma. 1993 Mar;9(4-5):285-91. doi: 10.3109/10428199309148525.,25,,,,,,,,,,,,,,,,,,,,,
8347852,NLM,MEDLINE,19930914,20190914,0959-4973 (Print) 0959-4973 (Linking),4 Suppl 1,,1993 May,Granulocyte-macrophage colony stimulating factor (GM-CSF) in the treatment of hematological malignancies.,17-20,"Acute myeloid leukemic (AML) cells not only express receptors for various cytokines but also produce hemopoietic growth factors themselves. Thus, they are able to stimulate their own activation and proliferation, a phenomenon known as autocrine growth. The cell cycle kinetics of AML blast cells are susceptible to stimulation by a variety of cytokines, including granulocyte-macrophage colony stimulating factor (GM-CSF), interleukin (IL)-3, granulocyte colony stimulating factor and stem cell factor. GM-CSF and IL-3 can markedly enhance the cytotoxicity of chemotherapeutic agents by increasing the proportion of AML cells in S-phase at any given time and by altering the metabolic status of the AML cells. A number of clinical studies involving the use of GM-CSF in association with chemotherapy in patients with AML are currently ongoing. In the next few years the first clinical results will become available indicating whether the use of cytokines holds any benefit for patients with AML.","['Lowenberg, B', 'de Greef, G E', 'Wielenga, J J']","['Lowenberg B', 'de Greef GE', 'Wielenga JJ']","['Hoed Cancer Center, Rotterdam, The Netherlands.']",['eng'],"['Journal Article', 'Review']",England,Anticancer Drugs,Anti-cancer drugs,9100823,['83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)'],IM,"['Acute Disease', 'Clinical Trials as Topic', 'Granulocyte-Macrophage Colony-Stimulating Factor/*therapeutic use', 'Humans', 'Leukemia, Myeloid/*drug therapy']",1993/05/01 00:00,1993/05/01 00:01,['1993/05/01 00:00'],"['1993/05/01 00:00 [pubmed]', '1993/05/01 00:01 [medline]', '1993/05/01 00:00 [entrez]']",['10.1097/00001813-199305001-00004 [doi]'],ppublish,Anticancer Drugs. 1993 May;4 Suppl 1:17-20. doi: 10.1097/00001813-199305001-00004.,7,,,,,,,,,,,,,,,,,,,,,
8347786,NLM,MEDLINE,19930916,20191023,0957-5243 (Print) 0957-5243 (Linking),4,4,1993 Jul,"Prior medical conditions and the risk of adult leukemia in Shanghai, People's Republic of China.",361-8,"A population-based case-control interview study of 486 adult leukemia cases and 502 healthy controls was carried out in Shanghai, People's Republic of China during 1987-89 to evaluate the etiologic role of prior medical conditions, medications, and diagnostic X-rays. Risks were examined separately for 236 cases with acute non-lymphocytic leukemia (ANLL), 79 with chronic myeloid leukemia (CML), 81 with acute lymphocytic leukemia (ALL), and 21 with chronic lymphocytic leukemia (CLL). Little difference was found between cases and controls for prior history of diabetes, hypertension, allergic conditions, most medications, and diagnostic X-rays. A few significant associations were observed for appendectomy, tuberculosis, and for several other chronic disorders with specific leukemia cell types, but the odds ratio estimates for most of these ranged from two to three and, with the exception of the two specified above, were based generally on five or fewer exposed controls. In contrast to an association with childhood leukemia in Shanghai, prior use of chloramphenicol was not linked with ANLL or other forms of adult leukemia. Further research is needed to clarify the relation of specific medical conditions and exposures with particular subtypes of leukemia, and to examine reasons for the low incidence of CLL in China and other Asian populations.","['Zheng, W', 'Linet, M S', 'Shu, X O', 'Pan, R P', 'Gao, Y T', 'Fraumeni, J F Jr']","['Zheng W', 'Linet MS', 'Shu XO', 'Pan RP', 'Gao YT', 'Fraumeni JF Jr']","['Epidemiology and Biostatistics Program, National Cancer Institute, Bethesda, MD.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Cancer Causes Control,Cancer causes & control : CCC,9100846,['0 (Salicylates)'],IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Appendectomy/statistics & numerical data', 'Case-Control Studies', 'China/epidemiology', '*Disease', 'Female', 'Humans', 'Hyperthyroidism/epidemiology', 'Leukemia/*epidemiology', 'Leukemia, Lymphocytic, Chronic, B-Cell/epidemiology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/epidemiology', 'Leukemia, Myeloid, Acute/epidemiology', 'Male', 'Middle Aged', 'Population Surveillance', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/epidemiology', 'Risk Factors', 'Salicylates/adverse effects', 'Tuberculosis/epidemiology']",1993/07/01 00:00,2001/03/28 10:01,['1993/07/01 00:00'],"['1993/07/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1993/07/01 00:00 [entrez]']",['10.1007/BF00051339 [doi]'],ppublish,Cancer Causes Control. 1993 Jul;4(4):361-8. doi: 10.1007/BF00051339.,,,,,,,,,,,,,,,,,,,,,,
8347783,NLM,MEDLINE,19930916,20191023,0957-5243 (Print) 0957-5243 (Linking),4,4,1993 Jul,Childhood leukemia incidence in the vicinity of La Hague nuclear-waste reprocessing facility (France).,341-3,"The incidence of leukemia is examined in young people (aged under 25 years) living within a 35 km radius of the French nuclear-waste reprocessing plant operating in La Hague, Normandy. During the period 1978-90, a total of 23 cases was diagnosed, giving an incidence rate of 2.99 per 100,000 which is close to the expected rate. In the 'canton' in which the nuclear plant is located, three cases of leukemia were observed compared with 1.2 expected, giving a standardized incidence ratio of 2.5. This nonsignificant finding is compatible with no increased risk and also with a sevenfold excess risk. Therefore, it reinforces the necessity of conducting a case-control survey, which is now planned, to assess the part played by occupational radiation exposure in leukemia incidence for this French area.","['Viel, J F', 'Richardson, S', 'Danel, P', 'Boutard, P', 'Malet, M', 'Barrelier, P', 'Reman, O', 'Carre, A']","['Viel JF', 'Richardson S', 'Danel P', 'Boutard P', 'Malet M', 'Barrelier P', 'Reman O', 'Carre A']","['Faculty of Medicine, Besancon, France.']",['eng'],['Journal Article'],Netherlands,Cancer Causes Control,Cancer causes & control : CCC,9100846,['0 (Radioactive Waste)'],IM,"['Acute Disease', 'Adolescent', 'Adult', 'Child', 'Child, Preschool', 'Female', 'France/epidemiology', 'Humans', 'Incidence', 'Infant', 'Leukemia/*epidemiology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/epidemiology', 'Leukemia, Myeloid/epidemiology', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/epidemiology', '*Radioactive Waste/adverse effects', 'Retrospective Studies']",1993/07/01 00:00,1993/07/01 00:01,['1993/07/01 00:00'],"['1993/07/01 00:00 [pubmed]', '1993/07/01 00:01 [medline]', '1993/07/01 00:00 [entrez]']",['10.1007/BF00051336 [doi]'],ppublish,Cancer Causes Control. 1993 Jul;4(4):341-3. doi: 10.1007/BF00051336.,,,,,,,,,,,,,,,,,,,,,,
8347766,NLM,MEDLINE,19930914,20071115,1056-5477 (Print) 1056-5477 (Linking),12,3,1993 Jun,Detection of oncostatin M in human plasma and serum by a sensitive enzyme immunoassay.,187-90,"A sensitive and specific enzyme immunoassay was developed for detecting oncostatin M (OM) in human plasma and serum. The assay utilizes three anti-OM monoclonal antibodies that recognize mutually exclusive epitopes, including a neutralizing epitope. A sensitivity of 24 pg/ml was routinely obtainable. The assay showed no cross-reactivity with leukemia inhibitory factor (LIF) or interleukin-6 (IL-6), other members of the cytokine family that includes OM. The utility of the enzyme immunoassay (EIA) was demonstrated by detecting the time-dependent accumulation of OM in plasma from lipopolysaccharide (LPS)-treated human whole blood. The concentration of OM in human sera from normal donors was generally below the detection limits of the assay. However, concentrations of OM greater than 25 pg/ml were found in 17 of 212 serum samples from apparently normal donors. The detection of OM in human plasma and serum demonstrates that the EIA could be a useful tool in examining the role of OM in physiologic and pathologic states.","['Naemura, J R', 'Radka, S F']","['Naemura JR', 'Radka SF']","['Bristol-Myers Squibb Pharmaceutical Research Institute, Seattle, WA 98121.']",['eng'],['Journal Article'],United States,Lymphokine Cytokine Res,Lymphokine and cytokine research,9107882,"['0 (Cytokines)', '0 (Lipopolysaccharides)', '0 (OSM protein, human)', '0 (Peptides)', '106956-32-5 (Oncostatin M)']",IM,"['Blood Chemical Analysis/*methods/standards/statistics & numerical data', 'Cytokines/*blood/standards', 'Evaluation Studies as Topic', 'Humans', '*Immunoenzyme Techniques/standards/statistics & numerical data', 'Lipopolysaccharides', 'Oncostatin M', 'Peptides/*blood/standards', 'Plasma/chemistry', 'Reference Standards', 'Sensitivity and Specificity']",1993/06/01 00:00,1993/06/01 00:01,['1993/06/01 00:00'],"['1993/06/01 00:00 [pubmed]', '1993/06/01 00:01 [medline]', '1993/06/01 00:00 [entrez]']",,ppublish,Lymphokine Cytokine Res. 1993 Jun;12(3):187-90.,,,,,,,,,,,,,,,,,,,,,,
8347731,NLM,MEDLINE,19930916,20190920,0939-5555 (Print) 0939-5555 (Linking),67,2,1993 Aug,Ubenimex in the treatment of acute nonlymphocytic leukemia in adults.,63-6,"A multi-institutional randomized study for the evaluation of ubenimex (Bestatin) in the treatment of adult acute nonlymphocytic leukemia was performed. One hundred and ninety-five patients were registered from February 1988 to December 1990. Patients who had reached complete remission by one or two courses of remission induction chemotherapy were divided into the ubenimex group or the control group by randomization. Patients of the ubenimex group started to receive 30 mg ubenimex orally once a day when maintenance therapy began and continued as long as possible. Remission duration and survival were analyzed based on the data as of August 31, 1991. Remission duration of the ubenimex group was superior to that of the control group (generalized Wilcoxon test: p = 0.0338). Fifty percent remission duration was 508 days in the ubenimex group and 386 days in the control group. There has been no statistical difference in survival between the two groups as yet.","['Urabe, A', 'Mutoh, Y', 'Mizoguchi, H', 'Takaku, F', 'Ogawa, N']","['Urabe A', 'Mutoh Y', 'Mizoguchi H', 'Takaku F', 'Ogawa N']","['Division of Hematology, Kanto Teishin Hospital, Tokyo, Japan.']",['eng'],"['Clinical Trial', 'Journal Article', 'Multicenter Study', 'Randomized Controlled Trial']",Germany,Ann Hematol,Annals of hematology,9107334,"['0 (Antibiotics, Antineoplastic)', 'GMW67QNF9C (Leucine)', 'I0J33N5627 (ubenimex)']",IM,"['Adolescent', 'Adult', 'Antibiotics, Antineoplastic/*therapeutic use', 'Drug Administration Schedule', 'Drug Evaluation', 'Female', 'Humans', 'Leucine/*analogs & derivatives/therapeutic use', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Middle Aged', 'Remission Induction']",1993/08/01 00:00,1993/08/01 00:01,['1993/08/01 00:00'],"['1993/08/01 00:00 [pubmed]', '1993/08/01 00:01 [medline]', '1993/08/01 00:00 [entrez]']",['10.1007/BF01788128 [doi]'],ppublish,Ann Hematol. 1993 Aug;67(2):63-6. doi: 10.1007/BF01788128.,,,,,,,,,,,,,,,,,,,,,,
