PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GS,SI,CIN,PMC,RF,GR,CON,EIN,TT,EFR,CRI,OID,OAB,OABL,OTO,OT,GN
8281583,NLM,MEDLINE,19940217,20190706,0009-2363 (Print) 0009-2363 (Linking),41,10,1993 Oct,"Anthraquinones, naphthohydroquinones and naphthohydroquinone dimers from Rubia cordifolia and their cytotoxic activity.",1869-72,"Further investigation of the roots of Rubia cordifolia resulted in the isolation of four new naphthohydroquinones and two naphthohydroquinone dimers, and one known naphthohydroquinone, one naphthoquinone, two anthraquinones and one naphthohydroquinone dimer. The structures of these compounds were established by various chemical and spectroscopic methods including two dimensional NMR techniques. Also, the isolated compounds were submitted to a bio-assay for cytotoxic and antitumor activity.","['Itokawa, H', 'Ibraheim, Z Z', 'Qiao, Y F', 'Takeya, K']","['Itokawa H', 'Ibraheim ZZ', 'Qiao YF', 'Takeya K']","['Department of Pharmacognosy, Tokyo College of Pharmacy, Japan.']",['eng'],['Journal Article'],Japan,Chem Pharm Bull (Tokyo),Chemical & pharmaceutical bulletin,0377775,"['0 (Anthraquinones)', '0 (Antineoplastic Agents, Phytogenic)', '0 (Hydroquinones)']",IM,"['Animals', 'Anthraquinones/chemistry/*isolation & purification/pharmacology', 'Antineoplastic Agents, Phytogenic/chemistry/*isolation & purification/pharmacology', 'Cricetinae', 'Cricetulus', 'Drug Screening Assays, Antitumor', 'Humans', 'Hydroquinones/chemistry/*isolation & purification/pharmacology', 'Leukemia P388/drug therapy', 'Mice', 'Plants/*chemistry', 'Sarcoma 180/drug therapy', 'Tumor Cells, Cultured']",1993/10/01 00:00,1993/10/01 00:01,['1993/10/01 00:00'],"['1993/10/01 00:00 [pubmed]', '1993/10/01 00:01 [medline]', '1993/10/01 00:00 [entrez]']",['10.1248/cpb.41.1869 [doi]'],ppublish,Chem Pharm Bull (Tokyo). 1993 Oct;41(10):1869-72. doi: 10.1248/cpb.41.1869.,,,,,,,,,,,,,,,,,
8281571,NLM,MEDLINE,19940217,20190706,0009-2363 (Print) 0009-2363 (Linking),41,10,1993 Oct,"Russuphelins B, C, D, E and F, new cytotoxic substances from the mushroom Russula subnigricans Hongo.",1726-9,"Five new chlorinated phenyl ethers, russuphelins B (2), C (3), D (4), E (5) and F (6) have been isolated from the mushroom Russula subnigricans Hongo, and their structures were elucidated by spectroscopic and chemical means. Russuphelins B (2), C (3) and D (4) exhibited cytotoxic activity in vitro against P388 leukemia cells.","['Takahashi, A', 'Agatsuma, T', 'Ohta, T', 'Nunozawa, T', 'Endo, T', 'Nozoe, S']","['Takahashi A', 'Agatsuma T', 'Ohta T', 'Nunozawa T', 'Endo T', 'Nozoe S']","['Faculty of Pharmaceutical Sciences, Tohoku University, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Chem Pharm Bull (Tokyo),Chemical & pharmaceutical bulletin,0377775,"['0 (Antineoplastic Agents)', '0 (Chlorophenols)']",IM,"['Animals', 'Antineoplastic Agents/chemistry/*isolation & purification/pharmacology', 'Basidiomycota/*chemistry', 'Chlorophenols/chemistry/*isolation & purification/pharmacology', 'Leukemia P388/drug therapy', 'Magnetic Resonance Spectroscopy', 'Mass Spectrometry', 'Molecular Structure', 'Spectrophotometry, Infrared']",1993/10/01 00:00,1993/10/01 00:01,['1993/10/01 00:00'],"['1993/10/01 00:00 [pubmed]', '1993/10/01 00:01 [medline]', '1993/10/01 00:00 [entrez]']",['10.1248/cpb.41.1726 [doi]'],ppublish,Chem Pharm Bull (Tokyo). 1993 Oct;41(10):1726-9. doi: 10.1248/cpb.41.1726.,,,,,,,,,,,,,,,,,
8281524,NLM,MEDLINE,19940215,20190816,0165-4608 (Print) 0165-4608 (Linking),71,2,1993 Dec,New variant t(9;11;14)(p22;q23;q24) suggests a translocation of 9p to 11q as the critical genetic event.,176-7,"We describe a patient with M5a (FAB classification) associated with a new type of variant translocation (9;11), namely t(9;11;14)(p22;q23;q24). The translocation of chromosome fragment from 9p to 11q is the common feature among the five variant translocations in the literature and our patient.","['Miura, I', 'Yamaguchi, A', 'Takatsu, H', 'Miura, A B']","['Miura I', 'Yamaguchi A', 'Takatsu H', 'Miura AB']","['Third Department of Internal Medicine, Akita University School of Medicine, Japan.']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['Aged', 'Chromosomes, Human, Pair 11/*ultrastructure', 'Chromosomes, Human, Pair 14/*ultrastructure', 'Chromosomes, Human, Pair 9/*ultrastructure', 'Humans', 'Karyotyping', 'Leukemia, Monocytic, Acute/*genetics', 'Male', '*Translocation, Genetic']",1993/12/01 00:00,1993/12/01 00:01,['1993/12/01 00:00'],"['1993/12/01 00:00 [pubmed]', '1993/12/01 00:01 [medline]', '1993/12/01 00:00 [entrez]']","['0165-4608(93)90027-J [pii]', '10.1016/0165-4608(93)90027-j [doi]']",ppublish,Cancer Genet Cytogenet. 1993 Dec;71(2):176-7. doi: 10.1016/0165-4608(93)90027-j.,,,,,,,,,,,,,,,,,
8281523,NLM,MEDLINE,19940215,20190816,0165-4608 (Print) 0165-4608 (Linking),71,2,1993 Dec,Translocation of CD3D gene in an acute myeloid leukemia (M5) with t(11;17)(q23;21).,173-5,"Cytogenetic studies in patients with acute leukemia showed structural abnormalities on chromosome 11 at band q23 in five cases. Four of these had acute lymphoblastic leukemia (ALL) associated with t(4;11)(q21;q23) and one case had acute nonlymphoblastic leukemia (ANLL) (M5) associated with t(11;17)(q23;q21). We examined the CD3D and c-ets-1 genes in the t(11;17)(q23;q21) patient to ascertain any association between them and the chromosome change. In situ hybridization results showed that unlike in other studied cases with rearrangements of 11q23, the CD3D gene in the t(11;17)(q23;21) is transposed to the der(17) chromosome, providing evidence for a different breakpoint in the 11q23 region.","['Pereira, M S', 'Silva, M L', 'Valente, A N', 'de Souza, M H', 'Abdelhay, E']","['Pereira MS', 'Silva ML', 'Valente AN', 'de Souza MH', 'Abdelhay E']","['Biophysics Institute Carlos Chagas Filho, Federal University of Rio de Janeiro, Brazil.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,"['0 (CD3 Complex)', '0 (DNA Probes)']",IM,"['CD3 Complex/*genetics', 'Centromere', 'Chromosome Mapping', 'Chromosomes, Artificial, Yeast', 'Chromosomes, Human, Pair 11/*ultrastructure', 'Chromosomes, Human, Pair 17/*ultrastructure', 'DNA Probes', 'Female', 'Humans', 'In Situ Hybridization', 'Infant, Newborn', 'Leukemia, Monocytic, Acute/*genetics', '*Translocation, Genetic']",1993/12/01 00:00,1993/12/01 00:01,['1993/12/01 00:00'],"['1993/12/01 00:00 [pubmed]', '1993/12/01 00:01 [medline]', '1993/12/01 00:00 [entrez]']","['0165-4608(93)90026-I [pii]', '10.1016/0165-4608(93)90026-i [doi]']",ppublish,Cancer Genet Cytogenet. 1993 Dec;71(2):173-5. doi: 10.1016/0165-4608(93)90026-i.,"['CD3D', 'c-ets-1']",,,,,,,,,,,,,,,,
8281519,NLM,MEDLINE,19940215,20190816,0165-4608 (Print) 0165-4608 (Linking),71,2,1993 Dec,C-anaphase in a case of acute nonlymphocytic leukemia.,148-50,"C-anaphase was seen in approximately 50% of bone marrow cells from a patient with acute nonlymphocytic leukemia (ANLL). The abnormality acting as a marker for the disease, being present at diagnosis, disappearing during remission and returning at relapse.","['Thompson, P W', 'Davies, S V', 'Whittaker, J A']","['Thompson PW', 'Davies SV', 'Whittaker JA']","['Institute of Medical Genetics, University of Wales College of Medicine, Cardiff, United Kingdom.']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,['0 (Genetic Markers)'],IM,"['Aged', '*Anaphase', 'Centromere/*ultrastructure', 'Chromatids/*ultrastructure', '*Chromosome Aberrations', 'Genetic Markers', 'Humans', 'Leukemia, Myeloid, Acute/*genetics', 'Male', 'Mitosis']",1993/12/01 00:00,1993/12/01 00:01,['1993/12/01 00:00'],"['1993/12/01 00:00 [pubmed]', '1993/12/01 00:01 [medline]', '1993/12/01 00:00 [entrez]']","['0165-4608(93)90021-D [pii]', '10.1016/0165-4608(93)90021-d [doi]']",ppublish,Cancer Genet Cytogenet. 1993 Dec;71(2):148-50. doi: 10.1016/0165-4608(93)90021-d.,,,,,,,,,,,,,,,,,
8281494,NLM,MEDLINE,19940216,20150901,0578-1337 (Print) 0578-1337 (Linking),51,6,1993 Jun,Hyperglycemia induced by chemotherapeutic agents used in acute lymphoblastic leukemia: report of three cases.,457-61,"Hyperglycemia may occur as a complication in patients with leukemia during induction therapy with L-asparaginase and steroids. The reported incidence is about 10%. The present report concerns three patients with acute lymphoblastic leukemia (ALL), complicated by hyperglycemia. Their ages were 10, 12, and 9 years, respectively. Past histories were normal, with no diabetes mellitus or other endocrine disorders in their families. Case 1 was an obese boy who developed pancreatitis and diabetic ketoacidosis (DKA) in his remission induction therapy which had included both L-asparaginase and steroids. Cases 2 and 3 both presented with polyuria and elevated postprandial blood sugar. For all patients, insulin was administered to control their blood sugars; the maximal daily dosage of insulin dispensed was 2.1 U/kg, 0.5 U/kg, and 0.7 U/kg, respectively. Increased plasma insulin and C-peptide levels suggestive of insulin resistance were observed in Case 3. The outcome of hyperglycemia in these three patients was good. The symptoms of this complication may vary from mild glucose intolerance to severe, or even fatal, DKA. Thus, periodic determinations of urine glucose and postprandial blood sugar are important for early recognition to prevent further life-threatening consequences.","['Wang, Y J', 'Chu, H Y', 'Shu, S G', 'Chi, C S']","['Wang YJ', 'Chu HY', 'Shu SG', 'Chi CS']","['Department of Pediatrics, Taichung Veterans General Hospital, Taiwan, R.O.C.']",['eng'],"['Case Reports', 'Journal Article']",China (Republic : 1949- ),Zhonghua Yi Xue Za Zhi (Taipei),Zhonghua yi xue za zhi = Chinese medical journal; Free China ed,0005327,"['0 (Adrenal Cortex Hormones)', '0 (Blood Glucose)', '0 (Insulin)', 'EC 3.5.1.1 (Asparaginase)']",IM,"['Adrenal Cortex Hormones/*adverse effects', 'Asparaginase/*adverse effects', 'Blood Glucose/analysis', 'Child', 'Female', 'Humans', 'Hyperglycemia/*chemically induced', 'Insulin/therapeutic use', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy']",1993/06/01 00:00,1993/06/01 00:01,['1993/06/01 00:00'],"['1993/06/01 00:00 [pubmed]', '1993/06/01 00:01 [medline]', '1993/06/01 00:00 [entrez]']",,ppublish,Zhonghua Yi Xue Za Zhi (Taipei). 1993 Jun;51(6):457-61.,,,,,,,,,,,,,,,,,
8281490,NLM,MEDLINE,19940216,20150901,0578-1337 (Print) 0578-1337 (Linking),51,6,1993 Jun,[Clinical observation and analysis of febrile children].,431-5,"Fever is an indication of acute disease, and needs special attention. To better understand the causes of fever in children, we analysed the records of 100 febrile children who were admitted to this Hospital from June 1987 to December, 1989. In these 100 cases, 7 days' fever prior to admission included 32 cases (32%); 7 to 14 days' fever prior to admission, 43 cases (43%); over 14 days' pre-admission, 25 cases (25%). The age distribution was younger than 1 month, 3 cases; 1 month to 1 year, 52 cases; 1 year to 2 1/2 years, 20 cases; 2 1/2 years to 5 years, 16 cases; 5 to 10 years 6 cases; older than 10 years included 3 cases. Post-admission diagnoses of these children showed most had an infectious disease: 86 cases; ""summer fever"": 5 cases; perineal abscess: 1 case; cellulitis: 1 case; leukemia, 2 cases; 5 were from other causes. Fevers were more prevalent in summer. In conclusion, the most common cause of prolonged fever in children is infectious disease 86%, with the highest incidence of age distribution under 2 1/2 years old, with 73%. The case distribution showed a prevalence in summer 43%. Almost all prognoses were good.","['Chiang, T M', 'Chang, T Y']","['Chiang TM', 'Chang TY']","['Department of Pediatrics, China Medical College Hospital.']",['chi'],"['English Abstract', 'Journal Article']",China (Republic : 1949- ),Zhonghua Yi Xue Za Zhi (Taipei),Zhonghua yi xue za zhi = Chinese medical journal; Free China ed,0005327,,IM,"['Age Factors', 'Bacterial Infections/complications', 'Child', 'Child, Preschool', 'Female', 'Fever/blood/*etiology', 'Humans', 'Infant', 'Leukocyte Count', 'Male']",1993/06/01 00:00,1993/06/01 00:01,['1993/06/01 00:00'],"['1993/06/01 00:00 [pubmed]', '1993/06/01 00:01 [medline]', '1993/06/01 00:00 [entrez]']",,ppublish,Zhonghua Yi Xue Za Zhi (Taipei). 1993 Jun;51(6):431-5.,,,,,,,,,,,,,,,,,
8281153,NLM,MEDLINE,19940217,20190512,0964-6906 (Print) 0964-6906 (Linking),2,11,1993 Nov,Genomic organization of the gene encoding the p65 subunit of NF-kappa B: multiple variants of the p65 protein may be generated by alternative splicing.,1895-900,"Transcription factor NF-kappa B represents a family of closely related homo- and heterodimeric factors. The most abundant form of NF-kappa B is the p50/p65 heterodimer. We determined the complete genomic structure of the human gene and a partial structure of the mouse gene encoding p65. The human gene consists of ten exons and spans about 8.1 kbp of DNA. The exon-intron organization in the rel homology domain (exons 2 to 7) is conserved when compared to human and turkey c-rel, strengthening the evolutionary relationship between p65 and c-rel. The lengths of the corresponding introns 5 and 6 in the human and mouse p65 genes are not conserved. However, a surprisingly high degree of conservation of intron sequences was observed between both species. We show that the naturally occurring shorter variant of p65 (p65 delta) can be generated by alternative splicing of intron 6, not only in humans but also in mouse. In addition, the existence of another, as yet unknown splice variant of p65 is predicted.","['Deloukas, P', 'van Loon, A P']","['Deloukas P', 'van Loon AP']","['Biotechnology Section, F. Hoffmann-La-Roche Ltd., Basel, Switzerland.']",['eng'],"['Comparative Study', 'Journal Article']",England,Hum Mol Genet,Human molecular genetics,9208958,"['0 (DNA Primers)', '0 (DNA, Neoplasm)', '0 (Macromolecular Substances)', '0 (NF-kappa B)', '9007-49-2 (DNA)']",IM,"['*Alternative Splicing', 'Amino Acid Sequence', 'Animals', 'Base Sequence', 'Cell Line', 'DNA/chemistry', 'DNA Primers', 'DNA, Neoplasm/chemistry/isolation & purification', 'Exons', '*Genetic Variation', 'Humans', 'Introns', 'Leukemia, Promyelocytic, Acute', 'Macromolecular Substances', 'Mice', 'Mice, Inbred BALB C', 'Molecular Sequence Data', 'Multigene Family', 'NF-kappa B/biosynthesis/*genetics', 'Polymerase Chain Reaction', 'Restriction Mapping', 'Sequence Homology, Amino Acid', 'Tumor Cells, Cultured']",1993/11/01 00:00,1993/11/01 00:01,['1993/11/01 00:00'],"['1993/11/01 00:00 [pubmed]', '1993/11/01 00:01 [medline]', '1993/11/01 00:00 [entrez]']",['10.1093/hmg/2.11.1895 [doi]'],ppublish,Hum Mol Genet. 1993 Nov;2(11):1895-900. doi: 10.1093/hmg/2.11.1895.,,"['GENBANK/Z22948', 'GENBANK/Z22949', 'GENBANK/Z22950', 'GENBANK/Z22951', 'GENBANK/Z22952', 'GENBANK/Z22953', 'GENBANK/Z22954']",,,,,,,,,,,,,,,
8281054,NLM,MEDLINE,19940217,20190501,0959-8138 (Print) 0959-8138 (Linking),307,6914,1993 Nov 13,Prevalence of antibodies to human T cell leukaemia/lymphoma virus in blood donors in north London.,1235-9,"OBJECTIVES: To determine the prevalence of antibodies to the human T cell leukaemia/lymphoma viruses (HTLV-I and HTLV-II) in blood donors in north London in order to assess the economic impact and the logistic effects that routine screening would have on the blood supply. DESIGN: All donations collected by the north London blood transfusion centre between January 1991 and June 1991 were screened for antibodies to HTLV-I and HTLV-II by modified, improved Fujirebio gel particle agglutination test. Positive samples were titrated and retested as necessary. SUBJECTS: 96,720 unpaid volunteers, who gave 105,730 consecutive donations of blood and plasma. SETTING: North London blood transfusion centre. MAIN OUTCOME MEASURE: Observed numbers of donors confirmed to be seropositive for HTLV by reference laboratories. RESULTS: Of 2622 (2.5%) initially reactive samples, 414 (0.4% of all samples) gave a titre of > or = 1 in 16 on the modified agglutination test. Thirty five of the 414 serum samples yielded positive results on one of two enzyme linked immunosorbent assays (ELISA (Cambridge Biotech and Abbot)), and none of these results were confirmed by either reference laboratory. Five samples yielded positive results on both ELISAs and all five of these were confirmed to contain antibodies to HTLV. One of the five contained antibodies to HTLV-II and the others antibodies to HTLV-I. Four seropositive donors were white women whose only risk factor for infection was sexual contact. The fifth (positive for antibodies to HTLV-II) was an Anglo-Caribbean man who admitted to previous misuse of intravenous drugs. CONCLUSION: The prevalence of antibodies to HTLV in blood donors in north London was one in 19,344 (0.005%). Up to 100 donors a year might be identified in the United Kingdom as being infected with HTLV, although prevalence in different regions may vary considerably.","['Brennan, M', 'Runganga, J', 'Barbara, J A', 'Contreras, M', 'Tedder, R S', 'Garson, J A', 'Tuke, P W', 'Mortimer, P P', 'McAlpine, L', 'Tosswill, J H']","['Brennan M', 'Runganga J', 'Barbara JA', 'Contreras M', 'Tedder RS', 'Garson JA', 'Tuke PW', 'Mortimer PP', 'McAlpine L', 'Tosswill JH', 'et al.']",['North London Blood Transfusion Centre.'],['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,BMJ,BMJ (Clinical research ed.),8900488,"['0 (HTLV-I Antibodies)', '0 (HTLV-II Antibodies)']",IM,"['Adult', '*Blood Donors', 'Blotting, Western', 'Enzyme-Linked Immunosorbent Assay', 'Feasibility Studies', 'Female', 'HTLV-I Antibodies/*analysis', 'HTLV-I Infections/*epidemiology/immunology/prevention & control', 'HTLV-II Antibodies/*analysis', 'HTLV-II Infections/*epidemiology/immunology/prevention & control', 'Humans', 'London/epidemiology', 'Male', 'Mass Screening', 'Middle Aged', 'Prevalence']",1993/11/13 00:00,1993/11/13 00:01,['1993/11/13 00:00'],"['1993/11/13 00:00 [pubmed]', '1993/11/13 00:01 [medline]', '1993/11/13 00:00 [entrez]']",['10.1136/bmj.307.6914.1235 [doi]'],ppublish,BMJ. 1993 Nov 13;307(6914):1235-9. doi: 10.1136/bmj.307.6914.1235.,,,['BMJ. 1994 Jan 22;308(6923):273. PMID: 8111279'],PMC1679344,,,,,,,,,,,,,
8281049,NLM,MEDLINE,19940217,20190501,0959-8138 (Print) 0959-8138 (Linking),307,6914,1993 Nov 13,Human T cell leukaemia/lymphoma virus and blood donation.,1224-5,,"['Dalgleish, A G']",['Dalgleish AG'],,['eng'],['Editorial'],England,BMJ,BMJ (Clinical research ed.),8900488,,IM,"['*Blood Donors', 'HTLV-I Infections/*prevention & control', 'HTLV-II Infections/prevention & control', 'Humans', '*Mass Screening', 'United Kingdom']",1993/11/13 00:00,1993/11/13 00:01,['1993/11/13 00:00'],"['1993/11/13 00:00 [pubmed]', '1993/11/13 00:01 [medline]', '1993/11/13 00:00 [entrez]']",['10.1136/bmj.307.6914.1224 [doi]'],ppublish,BMJ. 1993 Nov 13;307(6914):1224-5. doi: 10.1136/bmj.307.6914.1224.,,,['BMJ. 1994 Jan 22;308(6923):273. PMID: 8111279'],PMC1679369,,,,,,,,,,,,,
