PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,TT,CIN,RF,PMC,SI,GS,CON,ROF,EIN,OID,OTO,OT,GN,EFR,OAB,OABL,CN
8218878,NLM,MEDLINE,19931203,20191023,0957-5243 (Print) 0957-5243 (Linking),4,5,1993 Sep,Family history of cancer and seizures in young children with brain tumors: a report from the Childrens Cancer Group (United States and Canada).,455-64,"The occurrence of cancer and neurological disorders in first- and second-degree relatives of children in the United States and Canada diagnosed with brain tumor before age six was investigated. A pair-matched case-control study with 155 astrocytoma and 166 primitive neuroectodermal tumor (PNET) cases was performed. Cases were identified through the Childrens Cancer Group. Controls were selected by random-digit dialing and matched to cases on age, race, and telephone area code and exchange. Childhood cancers were more common in PNET relatives compared with the general population (standardized incidence ratio [SIR] = 2.5, 95 percent confidence interval [CI] 1.1-4.8, P = 0.02) and with control relatives (odds ratio [OR] = 3.0, CI = 0.5-30, P = 0.29). For astrocytoma, nonsignificant excesses of brain tumor, leukemia/lymphoma, and childhood cancer occurred among case relatives compared with control relatives, but not compared with the general population. Astrocytoma cases were significantly more likely than controls to have a relative with seizures (OR = 2.5, CI = 1.2-4.9, P = 0.009), especially childhood seizures (OR = 3.4, CI = 1.2-12, P = 0.02), epilepsy (OR = 3.0, CI = 0.9-13, P = 0.08), and febrile convulsions (OR = 4.5, CI = 0.9-43, P = 0.07). A family history of stroke was not a risk factor for either type of brain tumor. These results suggest that some childhood brain tumors may result from a genetic susceptibility and that some risk factors may affect childhood astrocytoma and PNET differently.","['Kuijten, R R', 'Strom, S S', 'Rorke, L B', 'Boesel, C P', 'Buckley, J D', 'Meadows, A T', 'Bunin, G R']","['Kuijten RR', 'Strom SS', 'Rorke LB', 'Boesel CP', 'Buckley JD', 'Meadows AT', 'Bunin GR']","[""Children's Hospital of Philadelphia, PA.""]",['eng'],['CA 29275/CA/NCI NIH HHS/United States'],"['Journal Article', 'Multicenter Study', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Cancer Causes Control,Cancer causes & control : CCC,9100846,IM,"['Adult', 'Age Factors', 'Astrocytoma/*epidemiology/*genetics', 'Brain Neoplasms/*epidemiology/*genetics', 'Canada/epidemiology', 'Case-Control Studies', 'Child, Preschool', 'Epilepsy/epidemiology', 'Family Health', 'Female', 'Humans', 'Incidence', 'Income', 'Leukemia/epidemiology', 'Lymphoma/epidemiology', 'Male', 'Neoplasms/*epidemiology/*genetics', 'Neuroectodermal Tumors, Primitive/epidemiology/*genetics', 'Risk Factors', 'Sarcoma/epidemiology', 'Seizures/*epidemiology/*genetics', 'United States/epidemiology']",1993/09/01 00:00,1993/09/01 00:01,['1993/09/01 00:00'],"['1993/09/01 00:00 [pubmed]', '1993/09/01 00:01 [medline]', '1993/09/01 00:00 [entrez]']",['10.1007/BF00050865 [doi]'],ppublish,Cancer Causes Control. 1993 Sep;4(5):455-64. doi: 10.1007/BF00050865.,,,,,,,,,,,,,,,,,,
8218874,NLM,MEDLINE,19931203,20191023,0957-5243 (Print) 0957-5243 (Linking),4,5,1993 Sep,Mortality among workers at a nuclear power plant in the United States.,427-30,"A second follow-up of 9,000 workers at the Calvert Cliffs Nuclear Power Plant (MD, USA) identified 346 deaths in the years 1969-88, 101 of which were attributed to malignant neoplasms. The original study had the primary purpose of assessing the feasibility of studies of workers based upon individual plant and Nuclear Regulatory Commission records. The average, cumulative, occupational dose through 1984 was low, only 21 mSv, but ranged up to 470 mSv, with 12 percent of the workers receiving more than 50 mSv. Mortality from most causes of death was low and there was a deficit of deaths from diseases of the circulatory system. Ionizing radiation exposures were not related to the probability of death from neoplasms generally or from any specific form of cancer. There were only two deaths from leukemia, whereas four were expected at population death rates. Larger numbers of workers, followed for longer periods of time, are needed to determine the mortality risk to workers in the nuclear power industry. The difficulties in obtaining dose information for transient workers were so great, and so time consuming, as to make questionable the practicability of studying the workers at a large number of power plants in this way.","['Jablon, S', 'Boice, J D Jr']","['Jablon S', 'Boice JD Jr']","['National Cancer Institute, Radiation Epidemiology Branch, Bethesda, MD 20892.']",['eng'],,['Journal Article'],Netherlands,Cancer Causes Control,Cancer causes & control : CCC,9100846,IM,"['Adult', 'Aged', 'Cardiovascular Diseases/mortality', 'Cohort Studies', 'Film Dosimetry', 'Follow-Up Studies', 'Healthy Worker Effect', 'Humans', 'Male', 'Maryland/epidemiology', 'Middle Aged', 'Neoplasms/*mortality', '*Nuclear Energy', 'Occupational Diseases/*mortality', '*Power Plants', 'Radiation Dosage', 'Respiratory Tract Neoplasms/mortality', 'Risk Factors']",1993/09/01 00:00,2001/03/28 10:01,['1993/09/01 00:00'],"['1993/09/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1993/09/01 00:00 [entrez]']",['10.1007/BF00050861 [doi]'],ppublish,Cancer Causes Control. 1993 Sep;4(5):427-30. doi: 10.1007/BF00050861.,,,,,,,,,,,,,,,,,,
8218856,NLM,MEDLINE,19931201,20190914,0957-5235 (Print) 0957-5235 (Linking),4,4,1993 Aug,Stimulation of tissue type plasminogen activator by leukaemic cell homogenates.,591-7,"In patients with disseminated intravascular coagulation (DIC), hyperfibrinolysis was observed in patients with leukaemia, but hypofibrinolysis was seen in those with sepsis. Although the plasma tissue plasminogen activator (t-PA) level was higher in patients with DIC than in those without DIC, there was no significant difference in t-PA level between the patients with leukaemia and sepsis. Hyperfibrinolysis might not be caused by t-PA derived from leukaemic cells, although the PA antigen level in leukaemic cell homogenates was significantly higher in patients with DIC than in those without DIC. The activation of t-PA by leukaemic cell homogenates in the absence of bromocyan fibrinogen fragments suggested that leukaemic cell homogenates had t-PA stimulator activity. The t-PA stimulator activity was high in both acute myeloblastic leukaemia (AML) and acute lymphoblastic leukaemia (ALL), especially in DIC, but this activity was not detected in chronic myelocytic leukaemia (CML) or normal cells. Since fibrinogen and soluble fibrin monomer complex levels in leukaemic cells were also high in patients with DIC, fibrinogen degradation products might be the major t-PA stimulator in leukaemic cells. This might be one of the causes of hyperfibrinolysis in leukaemia.","['Wada, H', 'Kumeda, Y', 'Ogasawara, Z', 'Minamikawa, K', 'Wakita, Y', 'Nakase, T', 'Kaneko, T', 'Ohiwa, M', 'Kageyama, S', 'Kobayashi, T']","['Wada H', 'Kumeda Y', 'Ogasawara Z', 'Minamikawa K', 'Wakita Y', 'Nakase T', 'Kaneko T', 'Ohiwa M', 'Kageyama S', 'Kobayashi T', 'et al.']","['Second Department of Internal Medicine, Mie University School of Medicine, Japan.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Blood Coagul Fibrinolysis,Blood coagulation & fibrinolysis : an international journal in haemostasis and thrombosis,9102551,IM,"['Biomarkers, Tumor/blood', 'Disseminated Intravascular Coagulation/*blood/etiology', 'Enzyme Activation', 'Fibrinolysis/*physiology', 'Hemostasis/*physiology', 'Humans', 'Leukemia/*blood/complications', 'Tissue Plasminogen Activator/*blood']",1993/08/01 00:00,1993/08/01 00:01,['1993/08/01 00:00'],"['1993/08/01 00:00 [pubmed]', '1993/08/01 00:01 [medline]', '1993/08/01 00:00 [entrez]']",['10.1097/00001721-199308000-00010 [doi]'],ppublish,Blood Coagul Fibrinolysis. 1993 Aug;4(4):591-7. doi: 10.1097/00001721-199308000-00010.,"['0 (Biomarkers, Tumor)', 'EC 3.4.21.68 (Tissue Plasminogen Activator)']",,,,,,,,,,,,,,,,,
8218855,NLM,MEDLINE,19931201,20190914,0957-5235 (Print) 0957-5235 (Linking),4,4,1993 Aug,Increased plasma level of interleukin-6 in disseminated intravascular coagulation.,583-90,"Plasma interleukin-6 (IL-6) was higher in patients with disseminated intravascular coagulation (DIC) than in those without DIC. Levels of IL-1 beta and TNF alpha were also significantly higher in patients with DIC. Plasma IL-6 was highest in patients with underlying sepsis and was also high in those with advanced solid cancer. Levels were high in some patients with acute promyelocytic leukaemia and were significantly higher in patients with organ failure than in those without this complication. Plasma IL-6 was higher in DIC patients showing a poor response to therapy than in those with a good response. Incubation with IL-6 caused significant increases in tissue factor activity in mononuclear cells and release of plasminogen activator-1 antigen from human umbilical vein endothelial cells. As increases in IL-6 might give rise to hypercoagulable and hypofibrinolytic states, this may be a cause of DIC and be related to prognosis and organ failure.","['Wada, H', 'Tanigawa, M', 'Wakita, Y', 'Nakase, T', 'Minamikawa, K', 'Kaneko, T', 'Ohiwa, M', 'Kageyama, S', 'Kobayashi, T', 'Noguchi, T']","['Wada H', 'Tanigawa M', 'Wakita Y', 'Nakase T', 'Minamikawa K', 'Kaneko T', 'Ohiwa M', 'Kageyama S', 'Kobayashi T', 'Noguchi T', 'et al.']","['Second Department of Internal Medicine, Mie University School of Medicine, Japan.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Blood Coagul Fibrinolysis,Blood coagulation & fibrinolysis : an international journal in haemostasis and thrombosis,9102551,IM,"['Disseminated Intravascular Coagulation/*blood/pathology', 'Endothelium, Vascular/pathology', 'Humans', 'Interleukin-6/*blood', 'Leukocytes, Mononuclear/physiology']",1993/08/01 00:00,1993/08/01 00:01,['1993/08/01 00:00'],"['1993/08/01 00:00 [pubmed]', '1993/08/01 00:01 [medline]', '1993/08/01 00:00 [entrez]']",['10.1097/00001721-199308000-00009 [doi]'],ppublish,Blood Coagul Fibrinolysis. 1993 Aug;4(4):583-90. doi: 10.1097/00001721-199308000-00009.,['0 (Interleukin-6)'],,,,,,,,,,,,,,,,,
8218767,NLM,MEDLINE,19931209,20071115,0212-7199 (Print) 0212-7199 (Linking),10,7,1993 Jul,[Angio-invasive disseminated aspergillosis: autopsy diagnosis in leukemic patients].,337-40,"We report on two patients with acute lymphoblastic leukemia in induction chemotherapy, who developed a sepsis which led, in both cases, to death following the appearance of neurological symptoms suggesting CNS affectation. Autopsy revealed an angioinvasive disseminated aspergillosis affecting lungs, brain, myocardium, kidneys, thyroid glands in both cases, and endocardium, urinary bladder, lymph nodes, alimentary tract, nasal sinuses in one of the cases. Microbiology study of necropsic tissue showed Aspergillus flavusoryzae and likewise Candida albicans in one case. The latter finding suggest a combined fungal sepsis caused to candida and aspergillus.","['Ramos Fernandez, V', 'Prieto Rodriguez, M', 'Paradis Alos, A', 'Lopez Chulia, F', 'Salom Fuster, J V', 'Vera-Sempere, F J']","['Ramos Fernandez V', 'Prieto Rodriguez M', 'Paradis Alos A', 'Lopez Chulia F', 'Salom Fuster JV', 'Vera-Sempere FJ']","['Servicio de Anatomia Patologica, Hospital Universitario La Fe, Valencia.']",['spa'],,"['Case Reports', 'English Abstract', 'Journal Article']",Spain,An Med Interna,"Anales de medicina interna (Madrid, Spain : 1984)",9112183,IM,"['Aspergillosis/*complications/*diagnosis', 'Autopsy', 'Child, Preschool', 'Fatal Outcome', 'Female', 'Humans', 'Middle Aged', 'Opportunistic Infections/*complications', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications']",1993/07/01 00:00,1993/07/01 00:01,['1993/07/01 00:00'],"['1993/07/01 00:00 [pubmed]', '1993/07/01 00:01 [medline]', '1993/07/01 00:00 [entrez]']",,ppublish,An Med Interna. 1993 Jul;10(7):337-40.,,Aspergilosis diseminada angioinvasiva: diagnostico necropsico en pacientes leucosicos.,,,,,,,,,,,,,,,,
8218671,NLM,MEDLINE,19931215,20190512,1058-4838 (Print) 1058-4838 (Linking),17,3,1993 Sep,"Trimethoprim-sulfamethoxazole prophylaxis in granulocytopenic patients with acute leukemia: evaluation of serum antibiotic levels in a randomized, double-blind, placebo-controlled Department of Veterans Affairs Cooperative Study.",323-32,"Despite widespread use of trimethoprim-sulfamethoxazole (TMP-SMZ) for prophylaxis in neutropenic patients, questions remain regarding its efficacy, toxicity, the risk of selection of resistant isolates, and the relation of its activity to selective decolonization vs. the attainment of direct inhibitory levels within blood and tissues. We evaluated the effect of TMP-SMZ (160/800 mg orally every 12 hours) in 42 adult granulocytopenic patients (< 100 absolute neutrophils/mm3, mean duration 13.3 days) undergoing chemotherapy for acute leukemia at 11 participating Veterans Administration Medical Centers in a randomized, double-blind, placebo-controlled trial. No significant differences in survival, frequency of bacteremia, overall infections, use of systemic antimicrobial therapy, or adverse effects, including myelosuppression, were observed between patients receiving TMP-SMZ vs. those receiving placebo. All patients acquired trimethoprim-resistant organisms. Concentrations of trimethoprim in serum were significantly lower before febrile episodes than when patients were afebrile. These results suggest that the purported activity of TMP-SMZ may be related to the serum concentration achieved. Moreover, the results highlight the need for additional study of the value of antibiotic prophylaxis in neutropenic patients.","['Ward, T T', 'Thomas, R G', 'Fye, C L', 'Arbeit, R', 'Coltman, C A Jr', 'Craig, W', 'Dana, B W', 'Finegold, S M', 'Lentino, J', 'Penn, R L']","['Ward TT', 'Thomas RG', 'Fye CL', 'Arbeit R', 'Coltman CA Jr', 'Craig W', 'Dana BW', 'Finegold SM', 'Lentino J', 'Penn RL', 'et al.']","['Department of Veterans Affairs Medical Centers in Portland, Oregon.']",['eng'],,"['Clinical Trial', 'Journal Article', 'Multicenter Study', 'Randomized Controlled Trial', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Clin Infect Dis,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,9203213,IM,"['Acute Disease', 'Adult', 'Agranulocytosis/*complications', 'Bacterial Infections/*prevention & control', 'Double-Blind Method', 'Female', 'Humans', 'Leukemia/*drug therapy', 'Male', 'Middle Aged', 'Prospective Studies', 'Trimethoprim/blood', 'Trimethoprim, Sulfamethoxazole Drug Combination/adverse effects/*therapeutic use']",1993/09/01 00:00,2001/03/28 10:01,['1993/09/01 00:00'],"['1993/09/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1993/09/01 00:00 [entrez]']",['10.1093/clinids/17.3.323 [doi]'],ppublish,Clin Infect Dis. 1993 Sep;17(3):323-32. doi: 10.1093/clinids/17.3.323.,"['8064-90-2 (Trimethoprim, Sulfamethoxazole Drug Combination)', 'AN164J8Y0X (Trimethoprim)']",,['Clin Infect Dis. 1993 Sep;17(3):333-7. PMID: 8218672'],,,,,,,,,,,,,,,
8218593,NLM,MEDLINE,19931203,20131121,1056-5477 (Print) 1056-5477 (Linking),12,4,1993 Aug,Independent transcriptional and posttranscriptional regulation of the two tumor necrosis factor receptors in promyelocytic HL-60 cells.,205-12,"Two separate tumor necrosis factor (TNF) receptors of approximately 55 kDa (TNF-R55) and 75 kDa (TNF-R75) have been identified. The role of protein kinase A activation by dibutyryl cAMP (dbcAMP) and of protein kinase C activation with phorbol myristate acetate (PMA) for transcriptional and posttranscriptional regulation of the two receptors was investigated in promyelocytic HL-60 cells. Incubation with dbcAMP or the adenylate cyclase agonist forskolin caused an increase in the level of TNF-R75 mRNA while TNF-R55 mRNA was unaffected. The half-life of transcripts for both TNF-R55 and TNF-R75 was unaffected as judged by disappearance of mRNA after inhibition of transcription with actinomycin D. Thus the transcription of the TNF-R75 gene seemed to be enhanced by activation of protein kinase A. This enhancement was not dependent on de novo protein synthesis. Incubation with PMA did not affect the mRNA level of any of the TNF receptors. Both TNF-R55 and TNF-R75 mRNA showed a prolonged half-life after incubation with the inhibitor of protein synthesis cycloheximide, indicating superinduction of the genes. Our results demonstrate that the two TNF receptors can be regulated differently at the transcriptional level and that both transcriptional and posttranscriptional regulation occurs.","['Lindvall, L', 'Lantz, M', 'Persson, A M', 'Olsson, I', 'Gullberg, U']","['Lindvall L', 'Lantz M', 'Persson AM', 'Olsson I', 'Gullberg U']","['Department of Medicine, University of Lund, Sweden.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Lymphokine Cytokine Res,Lymphokine and cytokine research,9107882,IM,"['Base Sequence', 'Bucladesine/pharmacology', 'Cell Membrane/metabolism', 'Colforsin/pharmacology', 'Cyclic AMP-Dependent Protein Kinases/metabolism', 'Cycloheximide/pharmacology', 'DNA Primers', 'Enzyme Activation', '*Gene Expression Regulation, Neoplastic/drug effects', 'Humans', 'Kinetics', 'Leukemia, Promyelocytic, Acute', 'Molecular Sequence Data', 'Oligonucleotides, Antisense', 'Polymerase Chain Reaction', 'Protein Kinase C/metabolism', '*RNA Processing, Post-Transcriptional/drug effects', 'RNA, Messenger/biosynthesis/metabolism', 'Receptors, Tumor Necrosis Factor/*biosynthesis', 'Tetradecanoylphorbol Acetate/pharmacology', 'Time Factors', '*Transcription, Genetic/drug effects', 'Tumor Cells, Cultured']",1993/08/01 00:00,1993/08/01 00:01,['1993/08/01 00:00'],"['1993/08/01 00:00 [pubmed]', '1993/08/01 00:01 [medline]', '1993/08/01 00:00 [entrez]']",,ppublish,Lymphokine Cytokine Res. 1993 Aug;12(4):205-12.,"['0 (DNA Primers)', '0 (Oligonucleotides, Antisense)', '0 (RNA, Messenger)', '0 (Receptors, Tumor Necrosis Factor)', '1F7A44V6OU (Colforsin)', '63X7MBT2LQ (Bucladesine)', '98600C0908 (Cycloheximide)', 'EC 2.7.11.11 (Cyclic AMP-Dependent Protein Kinases)', 'EC 2.7.11.13 (Protein Kinase C)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",,,,,,,,,,,,,,,,,
8218536,NLM,MEDLINE,19931129,20190920,0939-5555 (Print) 0939-5555 (Linking),67,4,1993 Oct,Factors associated with transfusion requirements during treatment for acute myelogenous leukemia.,153-60,"Supportive care is a prerequisite for intensive chemotherapy in leukemic patients. Little has been published about quantitative aspects of red blood cell and platelet transfusions. We evaluated transfusion requirements and factors associated with observed differences in 206 patients undergoing initial induction consolidation chemotherapy for newly diagnosed acute myelogenous leukemia. All patients were treated during a 5-year period in 12 hospitals on a common protocol of the Swiss Study Group for Clinical Cancer Research (SAKK). Protocol 30/85 comprises a double induction and one course of consolidation. Of 206 registered patients, 199 were evaluable; 118 of 199 (59%) patients entered completed all three cycles of chemotherapy. These 118 patients received a median (range) of 18 (3-44) units of red blood cells and 12 (2-61) platelet transfusions during 112 (70-129) days of hospitalization. Patients with a hemoglobin > 10 g/l, platelets > 100 x 10(9)/l, and white blood cell counts < 5 x 10(9)/l at diagnosis received fewer transfusions than patients with less favorable blood counts during the first cycle of chemotherapy (p < 0.05). Patients with FAB subtype M3 received more platelet transfusions during the first cycle. Female patients received more platelet transfusions than male patients. In multivariate analyses the participating center was the most important single factor associated with the number of red cell and platelet concentrates given per patient and cycle (p < 0.05), the number of days in hospital (p < 0.05), and the risk of premature withdrawal from the study. These data define factors associated with transfusion requirements in patients treated for newly diagnosed AML. They include severity and subtype of disease at diagnosis, age and sex of the patients, and the participating institution. Results suggest that medical decision-making varies from center to center. The participating institution is strongly associated with differences in transfusion requirements, hospitalization time, and premature withdrawal from study. Leukemia trials tend to focus on the prospective evaluation of chemotherapy or growth factors. Our results suggest that other variables, such as management strategies, should be included for prospective analysis.","['Favre, G', 'Fopp, M', 'Gmur, J', 'Tichelli, A', 'Fey, M F', 'Tobler, A', 'Schatzmann, E', 'Gratwohl, A']","['Favre G', 'Fopp M', 'Gmur J', 'Tichelli A', 'Fey MF', 'Tobler A', 'Schatzmann E', 'Gratwohl A']","['Kantonsspital Basel, Switzerland.']",['eng'],,"['Clinical Trial', 'Clinical Trial, Phase III', 'Journal Article', 'Multicenter Study', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",Germany,Ann Hematol,Annals of hematology,9107334,IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', '*Blood Transfusion', 'Combined Modality Therapy', 'Erythrocyte Transfusion', 'Female', 'Humans', 'Length of Stay', 'Leukemia, Myeloid, Acute/drug therapy/*therapy', 'Male', 'Middle Aged', 'Platelet Transfusion']",1993/10/01 00:00,1993/10/01 00:01,['1993/10/01 00:00'],"['1993/10/01 00:00 [pubmed]', '1993/10/01 00:01 [medline]', '1993/10/01 00:00 [entrez]']",['10.1007/BF01695861 [doi]'],ppublish,Ann Hematol. 1993 Oct;67(4):153-60. doi: 10.1007/BF01695861.,,,,,,,,,,,,,,,,,,
8218492,NLM,MEDLINE,19931209,20190920,1040-8746 (Print) 1040-8746 (Linking),5,5,1993 Sep,Second neoplasms following treatment of Hodgkin's disease.,805-11,"In the past several decades, malignant lymphomas have been transformed from almost uniformly fatal illnesses to diseases that can be treated, with an expectation of long-term remission in a majority of patients. However, with the recognition of treatment efficacy also has come an appreciation of long-term sequelae. Among these late effects, the induction of a second cancer represents one of the most feared complications. For many years, acute nonlymphocytic leukemia has been the most frequently reported secondary malignancy; however, with increasing length of follow-up, solid tumors have replaced leukemia as the most commonly observed second cancers. The risk of second neoplasms depends on some treatment associations and on certain host-related factors. Less toxic treatment strategies need to be designed and appropriately tested in comparative trials. However, it is necessary to stress that, without effective therapy, the natural outcome of malignant lymphomas is death from progressive disease.","['Valagussa, P']",['Valagussa P'],"['Istituto Nazionale Tumori, Milan, Italy.']",['eng'],,"['Journal Article', 'Review']",United States,Curr Opin Oncol,Current opinion in oncology,9007265,IM,"['Acute Disease', 'Hodgkin Disease/complications/*therapy', 'Humans', 'Leukemia/etiology', 'Lymphoma, Non-Hodgkin/etiology', 'Neoplasms, Second Primary/*etiology']",1993/09/01 00:00,1993/09/01 00:01,['1993/09/01 00:00'],"['1993/09/01 00:00 [pubmed]', '1993/09/01 00:01 [medline]', '1993/09/01 00:00 [entrez]']",['10.1097/00001622-199309000-00006 [doi]'],ppublish,Curr Opin Oncol. 1993 Sep;5(5):805-11. doi: 10.1097/00001622-199309000-00006.,,,,31,,,,,,,,,,,,,,
8218474,NLM,MEDLINE,19931217,20031114,0954-6642 (Print) 0954-6642 (Linking),3,5,1993,Two-dimensional gel electrophoresis of major cytosolic proteins derived from spleen mononuclear cells of normal and leukemic rats.,203-11,"Proteins from leukemic spleen cells derived from a F344 rat transplant model were investigated by 2D gel electrophoresis. The cell line was maintained in vivo by serial transplant of mononuclear spleen cells from leukemic donors into syngeneic recipients. Cytosolic proteins from mononuclear cells (MNC) were isolated from spleens of normal and leukemic rats and separated by electrophoresis. Replicate data from silver-stained gels for each preparation were compiled into Master Images using image analysis algorithms in order to characterize the normal and leukemic protein profiles. Comparative analysis showed a total of 458 proteins that were reproducibly detected in normal MNC, while almost twice the number of proteins (828) were found in leukemic MNC, suggestive of the more mitotically active tumor cells. Profile analysis showed that normal and leukemic preparations shared 228 common proteins, with 600 proteins observed only in leukemic MNC, and 230 proteins found only in normal MNC. Differences in protein patterns between normal and leukemic MNC in rats probably reflects a shift in spleen leukocyte populations and a relative induction of gene expression in leukemic MNC as compared to the normal MNC.","['Merrick, B A', 'He, C', 'Dieter, M P', 'Selkirk, J K']","['Merrick BA', 'He C', 'Dieter MP', 'Selkirk JK']","['Chemical Carcinogenesis Mechanisms Group, National Institute of Environmental Health Sciences, Research Triangle Park, North Carolina 27709.']",['eng'],,['Journal Article'],United States,Appl Theor Electrophor,Applied and theoretical electrophoresis : the official journal of the International Electrophoresis Society,8915308,IM,"['Animals', 'Cytosol/*chemistry', 'Electrophoresis, Gel, Two-Dimensional', 'Image Processing, Computer-Assisted', 'Leukemia, Experimental/*metabolism/pathology', 'Leukocytes, Mononuclear/*chemistry', 'Male', 'Neoplasm Proteins/*analysis', 'Neoplasm Transplantation', 'Proteins/*analysis', 'Rats', 'Rats, Inbred F344', 'Reference Values', 'Spleen/*chemistry/ultrastructure']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",,ppublish,Appl Theor Electrophor. 1993;3(5):203-11.,"['0 (Neoplasm Proteins)', '0 (Proteins)']",,,,,,,,,,,,,,,,,
