PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,CIN,RF,CON,GR,GS,TT,SI,PMC,EIN,RIN,OID,OAB,OABL,OTO,OT,GN,SFM,CN
8156504,NLM,MEDLINE,19940513,20190620,0008-543X (Print) 0008-543X (Linking),73,6,1994 Mar 15,Relapse of acute lymphoblastic leukemia in the inferior rectus muscle of the eye.,1757-60,"BACKGROUND: Extramedullary involvement of acute lymphoblastic leukemia (ALL) in sites outside the central nervous system (CNS) or testes is rare and may signal a refractory form of leukemia. METHODS: The authors describe a child with ALL who experienced a relapse involving the inferior rectus muscle of the eye. This patient had been treated with a bone marrow transplant for previous bone marrow and ovarian relapse. RESULTS: The patients had a pre-B ALL with a t(1;19) chromosomal translocation and previously had experienced relapse during therapy. At the time of the muscle relapse, she had pancreatomegaly consistent with leukemic infiltration but no CNS or bone marrow disease. CONCLUSIONS: Relapse of ALL in unusual sites may indicate disease that is particularly difficult to eradicate. Factors in addition to age and leukocyte count at diagnosis determined risk. Additional research is needed to define these factors and develop more effective therapy.","['Hinkle, A S', 'Dinndorf, P A', 'Bulas, D I', 'Kapur, S']","['Hinkle AS', 'Dinndorf PA', 'Bulas DI', 'Kapur S']","[""Department of Hematology/Oncology, Children's National Medical Center, George Washington University School of Medicine and Health Sciences, Washington, DC 20010.""]",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer,Cancer,0374236,IM,"['Child, Preschool', 'Female', 'Humans', 'Leukemic Infiltration/*pathology', 'Neoplasm Recurrence, Local/pathology', 'Oculomotor Muscles/*pathology', 'Ovary/pathology', 'Pancreas/pathology', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma/pathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*pathology']",1994/03/15 00:00,1994/03/15 00:01,['1994/03/15 00:00'],"['1994/03/15 00:00 [pubmed]', '1994/03/15 00:01 [medline]', '1994/03/15 00:00 [entrez]']",['10.1002/1097-0142(19940315)73:6<1757::aid-cncr2820730634>3.0.co;2-m [doi]'],ppublish,Cancer. 1994 Mar 15;73(6):1757-60. doi: 10.1002/1097-0142(19940315)73:6<1757::aid-cncr2820730634>3.0.co;2-m.,,,,,,,,,,,,,,,,,,,
8156500,NLM,MEDLINE,19940513,20190620,0008-543X (Print) 0008-543X (Linking),73,6,1994 Mar 15,Long survival in patients with acquired immune deficiency syndrome-related primary central nervous system lymphoma.,1728-30,"BACKGROUND: Primary central nervous system lymphoma (PCNSL) is the most common brain tumor occurring in patients with acquired immune deficiency syndrome (AIDS). After diagnosis of PCNSL, the median survival time is 2-5 months with treatment with whole brain irradiation (WBI). METHODS: Four (of approximately 40) patients with AIDS and PCNSL seen by the University of California, San Diego (UCSD) Neuro-Oncology service were treated with multimodal therapy, including WBI with hydroxyurea, followed by 3 cycles of procarbazine/lomustine/vincristine (PCV) chemotherapy. RESULTS: Survival after tumor diagnosis ranged from 11 to 16 months, with a median of 13.5 months. CONCLUSION: Selected patients with AIDS and PCNSL may have long survival when treated with multimodal therapy.","['Chamberlain, M C']",['Chamberlain MC'],"['University of California, Department of Neurosciences, San Diego 92103.']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer,Cancer,0374236,IM,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage/*therapeutic use', 'Brain Neoplasms/*drug therapy/*radiotherapy', 'Combined Modality Therapy', '*Cranial Irradiation', 'Humans', 'Hydroxyurea/therapeutic use', 'Lomustine/administration & dosage', 'Lymphoma, AIDS-Related/*drug therapy/*radiotherapy', 'Lymphoma, Large B-Cell, Diffuse/drug therapy/radiotherapy', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/radiotherapy', 'Procarbazine/administration & dosage', 'Survival Rate', 'Vincristine/administration & dosage']",1994/03/15 00:00,1994/03/15 00:01,['1994/03/15 00:00'],"['1994/03/15 00:00 [pubmed]', '1994/03/15 00:01 [medline]', '1994/03/15 00:00 [entrez]']",['10.1002/1097-0142(19940315)73:6<1728::aid-cncr2820730629>3.0.co;2-8 [doi]'],ppublish,Cancer. 1994 Mar 15;73(6):1728-30. doi: 10.1002/1097-0142(19940315)73:6<1728::aid-cncr2820730629>3.0.co;2-8.,"['35S93Y190K (Procarbazine)', '5J49Q6B70F (Vincristine)', '7BRF0Z81KG (Lomustine)', 'X6Q56QN5QC (Hydroxyurea)']",,,,,,,,,,,,,,,,,,
8156272,NLM,MEDLINE,19940516,20191101,0941-4355 (Print) 0941-4355 (Linking),2,2,1994 Mar,Infections in cancer patients: some controversial issues.,94-104,"Despite more than two decades of clinical research into the management of infections in the neutropenic cancer patient, many patients still develop serious morbidity from infection and all too many still die. A number of controversies surround (a) the use of combination versus monotherapy for initial empiric administration; (b) the use of vancomycin as part of the initial regimen; (c) the origin of Staphylococcus epidermidis infections (i.e., mostly from vascular catheters or mostly from the alimentary canal); (d) the use of acyclovir for herpes simplex prophylaxis during remission induction for acute leukemia patients not undergoing bone marrow transplantation; (e) the use of alimentary canal microbial suppression or reverse isolation in a room with laminar air flow, or both, as infection prevention techniques. Current recommendations and observations include the following. (a) Monotherapy with ceftazidime or imipenem is effective and appropriate for patients with moderate granulocytopenia at limited risk for infection with a resistant organism. Combination therapy is recommended for patients with profound, persistent granulocytopenia who are at high risk for gram-negative bacteremia; such bacteremic patients have a better prognosis with combined-modality therapy. (b) Vancomycin need not be included in the initial regimen although some centers may choose to do so because of the high prevalence of gram-positive bacteremias. (c) Despite the ubiquitous presence of indwelling vascular catheters, most S. epidermidis infections among neutropenic patients originate from along the alimentary canal. (d) Herpes simplex infection is much more common following standard remission induction chemotherapy than previously recognized. Acyclovir will reduce these infections and concurrently probably reduce the likelihood of resultant bacterial/fungal co-infections and superinfections. (e) Selective microbial suppression is appropriate for patients expected to experience prolonged (more than 2 weeks) or profound (below 100 granulocytes/microliters) granulocytopenia. Agents chosen should suppress aerobic but not anaerobic flora (maintain colonization resistance) and need to have an effect on both the oral cavity and esophagus as well as the intestines.","['Schimpff, S C', 'Scott, D A', 'Wade, J C']","['Schimpff SC', 'Scott DA', 'Wade JC']","['University of Maryland Medical System, Baltimore 21201.']",['eng'],"['Journal Article', 'Review']",Germany,Support Care Cancer,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,9302957,IM,"['Anti-Bacterial Agents/administration & dosage/*therapeutic use', 'Bacterial Infections/*prevention & control', 'Humans', 'Mycoses/prevention & control', '*Neoplasms', 'Neutropenia', 'Virus Diseases/prevention & control']",1994/03/01 00:00,1994/03/01 00:01,['1994/03/01 00:00'],"['1994/03/01 00:00 [pubmed]', '1994/03/01 00:01 [medline]', '1994/03/01 00:00 [entrez]']",['10.1007/BF00572090 [doi]'],ppublish,Support Care Cancer. 1994 Mar;2(2):94-104. doi: 10.1007/BF00572090.,['0 (Anti-Bacterial Agents)'],['Support Care Cancer. 1995 Jan;3(1):84-5. PMID: 7535169'],59,,,,,,,,,,,,,,,,
8156260,NLM,MEDLINE,19940517,20191101,0941-4355 (Print) 0941-4355 (Linking),2,1,1994 Jan,Results of antibiotic treatment of Hickman-catheter-related infections in oncological patients.,66-70,"A group of 330 oncological patients were supported throughout a 7-year period with central venous catheters (Broviac/Hickman catheters) and underwent standard oncological chemotherapy, because of hematological malignancies or solid tumors (156 children), or a myeloablative conditioning regimen followed by bone marrow transplantation because of leukemia or lymphoma (174 patients: 110 adults, 64 children). Of these, 17 patients (8 after bone marrow transplantation) developed a catheter-related bacteremia and were treated by at least two antibiotics according to the sensitivity of the bacteria. In 1 patient the catheter (infected by Bacillus cereus) was removed on day 25 of antibiotic treatment because of persistent high fever and further positive blood cultures. After bone marrow transplantation, 2 other patients, with a Pseudomonas or a Staphylococcus infection respectively, did not respond to the combined antibiotic treatment and died 1 week and 7 weeks later, respectively, from transplant-related severe graft-versus-host disease. In the other 14 patients antibiotic treatment was successful and removal of the central-vein catheter could be avoided.","['Simon, C', 'Suttorp, M']","['Simon C', 'Suttorp M']","['Abteilung Allgemeine Padiatrie, Universitats-Kinderklinik, Kiel, Germany.']",['eng'],['Journal Article'],Germany,Support Care Cancer,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,9302957,IM,"['Adult', '*Anti-Bacterial Agents', 'Bacteremia/blood/*drug therapy/*etiology/microbiology/mortality', 'Catheterization, Central Venous/*adverse effects/instrumentation', 'Catheters, Indwelling/*adverse effects', 'Child', 'Clinical Protocols', 'Drug Therapy, Combination/*therapeutic use', 'Equipment Contamination', 'Humans', 'Microbial Sensitivity Tests', 'Neoplasms/*drug therapy', 'Risk Factors', 'Treatment Outcome']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",['10.1007/BF00355242 [doi]'],ppublish,Support Care Cancer. 1994 Jan;2(1):66-70. doi: 10.1007/BF00355242.,['0 (Anti-Bacterial Agents)'],,,,,,,,,,,,,,,,,,
8155979,NLM,MEDLINE,19940516,20191101,1050-5261 (Print) 1050-5261 (Linking),3,4,1993 Winter,Systemic administration of a phosphorothioate oligonucleotide with a sequence complementary to p53 for acute myelogenous leukemia and myelodysplastic syndrome: initial results of a phase I trial.,383-90,"A synthetic phosphorothioate oligonucleotide was administered systemically to five patients with either relapsed or refractory acute myelogenous leukemia (AML), or myelodysplastic syndrome (MDS). Patients received a 10-day continuous intravenous infusion of this compound, which is complementary to p53 mRNA. No major toxicity attributable to a dose of 0.05 mg/kg/hr was observed. A range of approximately 9 to 18% of the administered dose was recovered in the urine as intact oligonucleotide. Evaluation of malignant cells recovered from bone marrow and peripheral blood at intervals before, during, and after treatment reveals no enhanced growth potential following oligonucleotide administration. Hence, a phosphorothioate oligonucleotide complementary to p53 mRNA can be administered at this dose level to humans without major toxicity. Higher doses need to be evaluated for toxicity and potential clinical efficacy.","['Bayever, E', 'Iversen, P L', 'Bishop, M R', 'Sharp, J G', 'Tewary, H K', 'Arneson, M A', 'Pirruccello, S J', 'Ruddon, R W', 'Kessinger, A', 'Zon, G']","['Bayever E', 'Iversen PL', 'Bishop MR', 'Sharp JG', 'Tewary HK', 'Arneson MA', 'Pirruccello SJ', 'Ruddon RW', 'Kessinger A', 'Zon G', 'et al.']","['Department of Pediatrics, University of Nebraska Medical Center, Omaha 68198.']",['eng'],"['Clinical Trial', 'Clinical Trial, Phase I', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Antisense Res Dev,Antisense research and development,9110698,IM,"['Adolescent', 'Adult', 'Base Sequence', 'Bone Marrow/drug effects', 'Bone Marrow Cells', 'Cell Division/drug effects', 'Colony-Forming Units Assay', 'Female', 'Humans', 'Infusions, Intravenous', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Middle Aged', 'Molecular Sequence Data', 'Myelodysplastic Syndromes/*drug therapy', '*Oligodeoxyribonucleotides, Antisense', 'Oligonucleotides, Antisense/administration & dosage/adverse effects/pharmacokinetics/*therapeutic use', 'Thionucleotides/administration & dosage/adverse effects/pharmacokinetics/*therapeutic use', 'Tumor Cells, Cultured', 'Tumor Suppressor Protein p53/*genetics']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.1089/ard.1993.3.383 [doi]'],ppublish,Antisense Res Dev. 1993 Winter;3(4):383-90. doi: 10.1089/ard.1993.3.383.,"['0 (Oligodeoxyribonucleotides, Antisense)', '0 (Oligonucleotides, Antisense)', '0 (Thionucleotides)', '0 (Tumor Suppressor Protein p53)', 'CI002S7WH8 (OL(1)p53)']",,,,,,,,,,,,,,,,,,
8155836,NLM,MEDLINE,19940519,20041117,1042-749X (Print) 1042-749X (Linking),9,1,1993,Human myeloperoxidase gene cDNA cloning and expression in acute leukemia.,27-32,"In this study, the light chain and a part of the heavy chain cDNA segment of human myeloperoxidase (MPO) were cloned with PCR and other DNA recombination techniques from HL-60 cell. The size of the cloned cDNA was 769 bp. A segment about 600bp of the cDNA was analyzed by DNA sequencing and showed no difference from the human MPO cDNA sequences published before. The MPO cDNA was used as a probe to study the MPO gene expression in leukemic cells. The Northern blot analysis and slot blot analysis of RNA isolated from leukemic cell lines and blast cells of acute leukemia showed that MPO gene expression correlated with myeloid lineage and might be used as a marker for the subclassification of acute leukemia.","['Zhu, Y', 'Lai, C', 'Wang, J', 'Ji, Y', 'Wang, H', 'Bai, Y']","['Zhu Y', 'Lai C', 'Wang J', 'Ji Y', 'Wang H', 'Bai Y']","['Institute of Basic Medical Sciences, Beijing.']",['eng'],['Journal Article'],United States,Chin J Biotechnol,Chinese journal of biotechnology,9100855,IM,"['Acute Disease', 'Base Sequence', 'Cloning, Molecular', 'DNA, Complementary/*genetics', 'Electrophoresis, Agar Gel', 'Gene Expression', 'Humans', 'Leukemia/enzymology/*genetics', 'Molecular Sequence Data', 'Peroxidase/*genetics', 'Polymerase Chain Reaction', 'Tumor Cells, Cultured']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",,ppublish,Chin J Biotechnol. 1993;9(1):27-32.,"['0 (DNA, Complementary)', 'EC 1.11.1.7 (Peroxidase)']",,,,,,,,,,,,,,,,,,
8155503,NLM,MEDLINE,19940519,20191023,0888-0018 (Print) 0888-0018 (Linking),11,1,1994 Jan-Feb,"Light chain ratios and concentrations of immunoglobulins G, A, and M in childhood common acute lymphoblastic leukemia.",83-90,"The light chain ratios and the concentrations of immunoglobulin G (IgG), IgA, and IgM were measured before, during, and after antileukemic therapy in 10 patients with common acute lymphoblastic leukemia. The concentrations of IgG, IgA, and IgM decreased substantially during treatment but recovered slowly after cessation of the therapy. The light chain ratios were not systematically affected, but at diagnosis the kappa/lambda ratios of total serum Igs, IgG, and in particular IgM were somewhat lower in the patient group compared with an age-matched reference group. It is concluded that, despite a decrease in serum Ig concentrations, virtually normal kappa/lambda ratios are preserved, indicating that kappa and lambda syntheses are affected to the same extent. These ratios remained normal for age during the recovery of the serum Ig concentrations; the features as described for the development of the light chain ratios in childhood were not observed.","['Haraldsson, A', 'de Vaan, G A', 'van Dijk, W J', 'Bakkeren, J A', 'Weemaes, C M']","['Haraldsson A', 'de Vaan GA', 'van Dijk WJ', 'Bakkeren JA', 'Weemaes CM']","['Department of Pediatrics, University Hospital Nijmegen, The Netherlands.']",['eng'],['Journal Article'],England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Immunoglobulin A/blood', 'Immunoglobulin G/blood', 'Immunoglobulin Light Chains/blood', 'Immunoglobulin M/blood', 'Immunoglobulin kappa-Chains/blood', 'Immunoglobulin lambda-Chains/blood', 'Immunoglobulins/*blood', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*immunology']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",['10.3109/08880019409141904 [doi]'],ppublish,Pediatr Hematol Oncol. 1994 Jan-Feb;11(1):83-90. doi: 10.3109/08880019409141904.,"['0 (Immunoglobulin A)', '0 (Immunoglobulin G)', '0 (Immunoglobulin Light Chains)', '0 (Immunoglobulin M)', '0 (Immunoglobulin kappa-Chains)', '0 (Immunoglobulin lambda-Chains)', '0 (Immunoglobulins)']",,,,,,,,,,,,,,,,,,
8155500,NLM,MEDLINE,19940519,20191023,0888-0018 (Print) 0888-0018 (Linking),11,1,1994 Jan-Feb,Dosimetry and radiation scattered to the thyroid gland from prophylactic cranial irradiation for childhood leukemia.,5-8,,"['Reed, N S']",['Reed NS'],"['Beatson Oncology Centre, Western Infirmary, Glasgow, United Kingdom.']",['eng'],['Journal Article'],England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,IM,"['Child', 'Cranial Irradiation/*adverse effects', 'Dose-Response Relationship, Radiation', 'Humans', 'Incidence', 'Leukemia/*radiotherapy', 'Neoplasms, Radiation-Induced/*etiology', 'Scattering, Radiation', 'Thyroid Neoplasms/*etiology']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",['10.3109/08880019409141895 [doi]'],ppublish,Pediatr Hematol Oncol. 1994 Jan-Feb;11(1):5-8. doi: 10.3109/08880019409141895.,,,,,,,,,,,,,,,,,,,
8155499,NLM,MEDLINE,19940519,20191023,0888-0018 (Print) 0888-0018 (Linking),11,1,1994 Jan-Feb,Dosimetry of radiation scattered to thyroid gland from prophylactic cranial irradiation for childhood leukemia.,47-53,"Dosimetry of radiation scattered to the thyroid gland was performed in 17 children (9 boys, 8 girls) who were treated for acute lymphoblastic leukemia and received cranial irradiation for prophylaxis against central nervous system leukemia at a median age of 4 years and 2 months (range, 1 year and 1 month to 14 years). The absorbed dose to the thyroid gland in these children ranged from 0.7% to 7.3% of the dose delivered to the cranium. Thus the total dose to the thyroid gland ranged from 0.13 to 1.32 Gy by the end of the entire course of cranial irradiation. Doses tended to be larger in younger children, but the radiation source also had a large influence on the dose to the thyroid gland; that is, the absorbed dose to the thyroid gland with delivery by linear accelerator was smaller than that by cobalt irradiation. Long-term survivors treated with cranial irradiation for acute leukemia during childhood should be followed for the possible development of thyroid diseases, including malignant tumors, for a long period.","['Bessho, F', 'Ohta, K', 'Akanuma, A', 'Sakata, K']","['Bessho F', 'Ohta K', 'Akanuma A', 'Sakata K']","['Department of Pediatrics, University of Tokyo Hospital, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,IM,"['Adolescent', 'Age Factors', 'Central Nervous System Neoplasms/*prevention & control', 'Child', 'Child, Preschool', 'Cranial Irradiation/*adverse effects', 'Dose-Response Relationship, Radiation', 'Female', 'Humans', 'Infant', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*radiotherapy', 'Scattering, Radiation', 'Thyroid Gland/*radiation effects']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",['10.3109/08880019409141900 [doi]'],ppublish,Pediatr Hematol Oncol. 1994 Jan-Feb;11(1):47-53. doi: 10.3109/08880019409141900.,,,,,,,,,,,,,,,,,,,
8155494,NLM,MEDLINE,19940519,20191023,0888-0018 (Print) 0888-0018 (Linking),11,1,1994 Jan-Feb,Resolution of nephrocalcinosis associated with tumor lysis syndrome.,115-8,,"['Wechsler, D S', 'Kastan, M B', 'Fivush, B A']","['Wechsler DS', 'Kastan MB', 'Fivush BA']",,['eng'],"['Case Reports', 'Letter']",England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,IM,"['Acute Kidney Injury/*chemically induced/therapy', 'Child, Preschool', 'Follow-Up Studies', 'Humans', 'Leukemia, T-Cell/*drug therapy', 'Lymphoma/*drug therapy', 'Male', 'Nephrocalcinosis/*chemically induced/therapy', 'Renal Dialysis', 'Tumor Lysis Syndrome/*complications']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",['10.3109/08880019409141909 [doi]'],ppublish,Pediatr Hematol Oncol. 1994 Jan-Feb;11(1):115-8. doi: 10.3109/08880019409141909.,,,,,,,,,,,,,,,,,,,
