PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,IP,AB,GS,PMC,CON,CIN,EIN,SI,TT,CRF,OID,OTO,OT,GN,OAB,OABL
8095796,NLM,MEDLINE,19930420,20190914,0927-3042 (Print) 0927-3042 (Linking),64,1993,The molecular pathogenesis of the Philadelphia-positive leukemias: implications for diagnosis and therapy.,295-325,"['Van Etten, R A']",['Van Etten RA'],"['Harvard Medical School, Center for Blood Research, Boston, MA 02115.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Cancer Treat Res,Cancer treatment and research,8008541,"['EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Animals', 'Bone Marrow Transplantation', 'Fusion Proteins, bcr-abl/genetics', 'Hematopoietic Stem Cells', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics/therapy', 'Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative/genetics', 'Mice', '*Philadelphia Chromosome', 'Polymerase Chain Reaction', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics/therapy', '*Proto-Oncogenes']",215,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.1007/978-1-4615-3086-2_14 [doi]'],ppublish,Cancer Treat Res. 1993;64:295-325. doi: 10.1007/978-1-4615-3086-2_14.,,,,,,,,,,,,,,,,,
8095795,NLM,MEDLINE,19930420,20190914,0927-3042 (Print) 0927-3042 (Linking),64,1993,Multidrug resistance in leukemia.,269-93,"['Rischin, D', 'Ling, V']","['Rischin D', 'Ling V']","['Ontario Cancer Institute, Toronto, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Cancer Treat Res,Cancer treatment and research,8008541,"['0 (ATP Binding Cassette Transporter, Subfamily B, Member 1)', '0 (Antineoplastic Agents)', '0 (Membrane Glycoproteins)', '0 (Neoplasm Proteins)']",IM,"['ATP Binding Cassette Transporter, Subfamily B, Member 1', 'Antineoplastic Agents/*therapeutic use', 'Drug Resistance/genetics', 'Humans', 'Leukemia/*drug therapy/genetics/metabolism', 'Membrane Glycoproteins/*analysis/genetics/physiology', 'Neoplasm Proteins/*analysis/genetics/physiology']",154,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.1007/978-1-4615-3086-2_13 [doi]'],ppublish,Cancer Treat Res. 1993;64:269-93. doi: 10.1007/978-1-4615-3086-2_13.,"['CA-37130/CA/NCI NIH HHS/United States', 'CA-52182/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,,,
8095794,NLM,MEDLINE,19930420,20190914,0927-3042 (Print) 0927-3042 (Linking),64,1993,Prognosis and therapy of myelodysplastic syndromes.,233-67,"['Estey, E H']",['Estey EH'],"['Department of Hematology, University of Texas, M.D. Anderson Cancer Center, Houston 77030.']",['eng'],"['Journal Article', 'Review']",United States,Cancer Treat Res,Cancer treatment and research,8008541,['0 (Colony-Stimulating Factors)'],IM,"['Bone Marrow Transplantation', 'Colony-Stimulating Factors/therapeutic use', 'Humans', 'Leukemia, Myeloid, Acute/mortality', 'Myelodysplastic Syndromes/genetics/*mortality/therapy', 'Prognosis', 'Survival Rate']",75,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.1007/978-1-4615-3086-2_12 [doi]'],ppublish,Cancer Treat Res. 1993;64:233-67. doi: 10.1007/978-1-4615-3086-2_12.,,,,,,,,,,,,,,,,,
8095793,NLM,MEDLINE,19930420,20190914,0927-3042 (Print) 0927-3042 (Linking),64,1993,The immunological treatment of human marrow in vitro in transplantation biology.,189-211,"['Gribben, J G', 'Nadler, L M']","['Gribben JG', 'Nadler LM']","['Division of Tumor Immunology, Dana Farber Cancer Institute, Boston, MA 02115.']",['eng'],"['Journal Article', 'Review']",United States,Cancer Treat Res,Cancer treatment and research,8008541,"['0 (Antigens, CD)', '0 (Immunotoxins)']",IM,"['Antigens, CD/analysis', 'Bone Marrow/pathology', 'Bone Marrow Purging/*methods', '*Bone Marrow Transplantation', 'Humans', 'Immunotoxins', 'Leukemia/immunology/pathology/surgery/*therapy', 'Magnetics']",88,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.1007/978-1-4615-3086-2_10 [doi]'],ppublish,Cancer Treat Res. 1993;64:189-211. doi: 10.1007/978-1-4615-3086-2_10.,,,,,,,,,,,,,,,,,
8095792,NLM,MEDLINE,19930420,20190914,0927-3042 (Print) 0927-3042 (Linking),64,1993,Cytokines and myeloid-specific genes: patterns of expression and possible role in proliferation and differentiation of acute myelogenous leukemia cells.,171-87,"['Lubbert, M', 'Mertelsmann, R']","['Lubbert M', 'Mertelsmann R']","['University Medical Center, Department Medicine One, Hematology/Oncology, Freiburg, Germany.']",['eng'],"['Journal Article', 'Review']",United States,Cancer Treat Res,Cancer treatment and research,8008541,"['0 (Cytokines)', 'EC 1.11.1.7 (Peroxidase)', 'EC 3.2.1.17 (Muramidase)', 'EC 3.4.21.- (Lactoferrin)', 'EC 3.4.21.- (Serine Endopeptidases)', 'EC 3.4.21.76 (Myeloblastin)']",IM,"['Cell Differentiation', 'Cell Division', 'Cytokines/*genetics', '*Gene Expression Regulation, Leukemic', 'Humans', 'Lactoferrin/genetics', 'Leukemia, Myeloid, Acute/*genetics/pathology', 'Muramidase/genetics', 'Myeloblastin', 'Peroxidase/genetics', 'Serine Endopeptidases/genetics']",120,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.1007/978-1-4615-3086-2_9 [doi]'],ppublish,Cancer Treat Res. 1993;64:171-87. doi: 10.1007/978-1-4615-3086-2_9.,,,,,,,,,,,,,,,,,
8095791,NLM,MEDLINE,19930420,20190914,0927-3042 (Print) 0927-3042 (Linking),64,1993,Detection of minimal residual disease in ALL.,135-70,"['Deane, M', 'Hoffbrand, A V']","['Deane M', 'Hoffbrand AV']","['Department of Hematology, Royal Free Hospital School of Medicine, Hampstead, London, U.K.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Cancer Treat Res,Cancer treatment and research,8008541,"['0 (Receptors, Antigen, T-Cell)']",IM,"['Cells, Cultured', 'Gene Rearrangement', 'Genes, Immunoglobulin', 'Humans', 'Karyotyping', 'Polymerase Chain Reaction', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*diagnosis/genetics/immunology', 'Receptors, Antigen, T-Cell/genetics', 'Translocation, Genetic']",165,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.1007/978-1-4615-3086-2_8 [doi]'],ppublish,Cancer Treat Res. 1993;64:135-70. doi: 10.1007/978-1-4615-3086-2_8.,,,,,,,,,,,,,,,,,
8095790,NLM,MEDLINE,19930420,20190914,0927-3042 (Print) 0927-3042 (Linking),64,1993,The role of immunotherapy in the treatment of acute myeloblastic leukemia: from allogeneic bone marrow transplantation to the application of interleukin 2.,121-34,"['Prentice, H G', 'Macdonald, I D', 'Hamon, M D']","['Prentice HG', 'Macdonald ID', 'Hamon MD']","['Department of Hematology, Royal Free Hospital School of Medicine, London, U.K.']",['eng'],"['Journal Article', 'Review']",United States,Cancer Treat Res,Cancer treatment and research,8008541,['0 (Interleukin-2)'],IM,"['Animals', '*Bone Marrow Transplantation', 'Graft vs Host Disease/etiology', 'Humans', 'Immunotherapy', 'Interleukin-2/*therapeutic use', 'Leukemia, Myeloid, Acute/immunology/surgery/*therapy', 'Mice', 'Transplantation, Homologous']",52,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.1007/978-1-4615-3086-2_7 [doi]'],ppublish,Cancer Treat Res. 1993;64:121-34. doi: 10.1007/978-1-4615-3086-2_7.,,,,,,,,,,,,,,,,,
8095789,NLM,MEDLINE,19930420,20190914,0927-3042 (Print) 0927-3042 (Linking),64,1993,All trans retinoic acid as a targeting drug for differentiation therapy in acute promyelocytic leukemia.,1-13,"['Degos, L']",['Degos L'],"[""Institut Universitaire D'Hematologie, Hopital Saint-Louis, Paris, France.""]",['eng'],"['Journal Article', 'Review']",United States,Cancer Treat Res,Cancer treatment and research,8008541,"['0 (Carrier Proteins)', '0 (Receptors, Retinoic Acid)', '5688UTC01R (Tretinoin)']",IM,"['Carrier Proteins/genetics', 'Cell Differentiation/drug effects', 'Drug Resistance', 'Gene Rearrangement', 'Humans', 'Leukemia, Promyelocytic, Acute/*drug therapy/genetics/pathology', 'Leukocytosis/chemically induced', 'Receptors, Retinoic Acid', 'Tretinoin/pharmacology/*therapeutic use', 'Tumor Cells, Cultured']",60,1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.1007/978-1-4615-3086-2_1 [doi]'],ppublish,Cancer Treat Res. 1993;64:1-13. doi: 10.1007/978-1-4615-3086-2_1.,,,,,,,,,,,,,,,,,
8095566,NLM,MEDLINE,19930413,20190825,0145-2126 (Print) 0145-2126 (Linking),17,1993 Mar,The effects of leukemia inhibitory factor and interleukin 6 on the growth of acute myeloid leukemia cells.,217-22,"['Takanashi, M', 'Motoji, T', 'Masuda, M', 'Oshimi, K', 'Mizoguchi, H']","['Takanashi M', 'Motoji T', 'Masuda M', 'Oshimi K', 'Mizoguchi H']","[""Department of Medicine, Tokyo Women's Medical College, Japan.""]",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,"['0 (Antigens, CD)', '0 (CD11 Antigens)', '0 (Culture Media, Serum-Free)', '0 (Cytokines)', '0 (Growth Inhibitors)', '0 (Interleukin-6)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Lymphokines)', '0 (Recombinant Proteins)']",IM,"['Adult', 'Aged', 'Antigens, CD/analysis/genetics', 'CD11 Antigens', 'Cell Differentiation/drug effects', 'Cell Division/drug effects', 'Culture Media, Serum-Free', 'Cytokines/pharmacology', 'Female', 'Growth Inhibitors/*pharmacology', 'Humans', 'Interleukin-6/*pharmacology', 'Leukemia Inhibitory Factor', 'Leukemia, Myeloid, Acute/blood/*drug therapy/pathology', 'Lymphokines/*pharmacology', 'Male', 'Middle Aged', 'Neoplastic Stem Cells/drug effects/pathology', 'Phenotype', 'Recombinant Proteins/pharmacology', 'Tumor Cells, Cultured/drug effects/immunology']",,1993/03/01 00:00,1993/03/01 00:01,['1993/03/01 00:00'],"['1993/03/01 00:00 [pubmed]', '1993/03/01 00:01 [medline]', '1993/03/01 00:00 [entrez]']","['0145-2126(93)90004-5 [pii]', '10.1016/0145-2126(93)90004-5 [doi]']",ppublish,Leuk Res. 1993 Mar;17(3):217-22. doi: 10.1016/0145-2126(93)90004-5.,,3,"The effects of leukemia inhibitory factor (LIF) and interleukin 6 (IL-6) on blast progenitors from acute myeloblastic leukemia (AML) were examined using a blast colony assay in a serum-free culture system. LIF and IL-6 stimulated colony growth in 2 and 5, respectively, of 11 cases studied. The simultaneous addition of LIF with granulocyte-macrophage colony-stimulating factor (GM-CSF), interleukin 3 (IL-3) or IL-6 produced a statistically significant increase of colony numbers in 3, 6 and 7 of 11 cases, respectively. Numbers of colonies increased significantly when IL-6 was added simultaneously with GM-CSF or IL-3 in 5 and 4 of 11 cases, respectively. LIF or IL-6 used in the primary culture did not significantly change the numbers of secondary colonies compared to GM-CSF. Previous exposure to LIF and IL-6 did not alter cellular phenotype or morphology, indicating that LIF and IL-6 did not induce the differentiation of fresh AML blasts.",,,,,,,,,,,,,,
8095491,NLM,MEDLINE,19930409,20190708,0020-7136 (Print) 0020-7136 (Linking),53,1993 Mar 12,"P-glycoprotein and alterations in the glutathione/glutathione-peroxidase cycle underlie doxorubicin resistance in HL-60-R, a subclone of the HL-60 human leukemia cell line.",804-11,"['Raghu, G', 'Pierre-Jerome, M', 'Dordal, M S', 'Simonian, P', 'Bauer, K D', 'Winter, J N']","['Raghu G', 'Pierre-Jerome M', 'Dordal MS', 'Simonian P', 'Bauer KD', 'Winter JN']","['Department of Medicine, Northwestern University, Chicago, IL.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Int J Cancer,International journal of cancer,0042124,"['0 (ATP Binding Cassette Transporter, Subfamily B, Member 1)', '0 (Antimetabolites, Antineoplastic)', '0 (Membrane Glycoproteins)', '1982-67-8 (Methionine Sulfoximine)', '5072-26-4 (Buthionine Sulfoximine)', '80168379AG (Doxorubicin)', 'CJ0O37KU29 (Verapamil)', 'EC 1.11.1.9 (Glutathione Peroxidase)', 'GAN16C9B8O (Glutathione)']",IM,"['ATP Binding Cassette Transporter, Subfamily B, Member 1', 'Antimetabolites, Antineoplastic/pharmacology', 'Buthionine Sulfoximine', 'Doxorubicin/*metabolism/pharmacology', 'Drug Resistance', 'Flow Cytometry', 'Glutathione/drug effects/*metabolism', 'Glutathione Peroxidase/*metabolism', 'Humans', 'Leukemia, Myeloid, Acute/*metabolism/pathology', 'Membrane Glycoproteins/metabolism', 'Methionine Sulfoximine/analogs & derivatives/pharmacology', 'Tumor Cells, Cultured', 'Verapamil/pharmacology']",,1993/03/12 00:00,1993/03/12 00:01,['1993/03/12 00:00'],"['1993/03/12 00:00 [pubmed]', '1993/03/12 00:01 [medline]', '1993/03/12 00:00 [entrez]']",['10.1002/ijc.2910530517 [doi]'],ppublish,Int J Cancer. 1993 Mar 12;53(5):804-11. doi: 10.1002/ijc.2910530517.,['GM-47819/GM/NIGMS NIH HHS/United States'],5,"HL-60-R, a multi-drug-resistant (MDR) subclone of the human leukemia cell line HL-60, was selected in continuous culture in doxorubicin (DOX) in the absence of mutagenic agents. When compared to the parent line HL-60, HL-60-R showed greater relative resistance to vinblastine than to etoposide, or to the selecting agent DOX. Co-exposure to verapamil, a known modulator of MDR, partially increased its sensitivity to DOX and vinblastine. The HL-60-R cell line stained positively with the P-glycoprotein-specific monoclonal antibody (MAb), C219, whereas the HL-60 parent was negative. Southern analysis showed 32-fold amplification of the mdrI gene in HL-60-R, whereas slot-blot analysis demonstrated 70-fold over-expression of the specific mdrI message in HL-60-R compared to HL-60. Northern blot analysis revealed the presence of 2 species of messenger RNA of sizes 5.1 kb and 4.5 kb. No transcripts were detectable in the parent. Flow cytometric analysis showed significantly reduced cellular retention of DOX as well as rapid efflux from the drug-resistant cell line. HL-60-R proved to be nearly 4 times more resistant to hydrogen peroxide than its parent, and 1,000 times more resistant to inhibition of cellular glutathione synthesis by D,L-buthionine sulfoximine (BSO). Verapamil modulated DOX resistance in HL-60-R incompletely but, in the presence of glutathione depletion, nearly completely reversed DOX resistance. Elevated levels of glutathione and glutathione-peroxidase activity were demonstrated, thereby implicating enhanced activity of the glutathione/glutathione-peroxidase cycle as an additional basis for its resistance to DOX. These findings suggest that an enhanced capacity for detoxifying oxyradicals may contribute to anthracycline resistance in acute leukemia.",['mdr1'],,,,,,,,,,,,,
