PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,EIN,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,GS,CIN,TT,SI,CON,PS,FPS,CRF
8032345,NLM,MEDLINE,19940817,20191101,0928-1231 (Print) 0928-1231 (Linking),16,2,1994 Apr 15,Role of differentiation induction in action of purine antimetabolites.,77-83,"In cancer cells, particularly in leukaemic cells, guanylate biosynthesis is up-regulated as shown by the increased activities of IMP dehydrogenase, the rate-limiting enzyme of de novo GTP biosynthesis, and of the salvage enzyme, hypoxanthine-guanine phosphoribosyltransferase (HGPRT). In enzyme pattern-targeted chemotherapy, tiazofurin inhibits IMP dehydrogenase activity in cancer cells and allopurinol-induced high serum hypoxanthine levels inhibit HGPRT activity. A triad of responses was observed in the blast cells of patients treated with tiazofurin infusions: chemotherapy, induced differentiation, and down-regulation of c-Ki-ras and c-myc oncogenes. Tiazofurin was synergistic in cytotoxicity and in causing differentiation with ribavirin, retinoic acid, and gemcitabine [corrected]. Induced differentiation plays an important role in the overall impact of antipurine agents.","['Weber, G', 'Hata, Y', 'Prajda, N']","['Weber G', 'Hata Y', 'Prajda N']","['Laboratory for Experimental Oncology, Indiana University School of Medicine, Indianapolis 46202-5200.']",['eng'],['R35 CA42510/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",Germany,Pharm World Sci,Pharmacy world & science : PWS,9307352,"['0 (Antimetabolites, Antineoplastic)', '0W860991D6 (Deoxycytidine)', '49717AWG6K (Ribavirin)', 'B76N6SBZ8R (gemcitabine)', 'ULJ82834RE (tiazofurin)']",IM,['Pharm World Sci 1994 Jun 10;16(3):166'],"['Animals', 'Antimetabolites, Antineoplastic/*pharmacology', 'Cell Differentiation/drug effects', 'Deoxycytidine/analogs & derivatives/pharmacology', 'Humans', 'Leukemia/drug therapy/pathology', 'Oncogenes', 'Ribavirin/*analogs & derivatives/pharmacology/therapeutic use']",17,1994/04/15 00:00,1994/04/15 00:01,['1994/04/15 00:00'],"['1994/04/15 00:00 [pubmed]', '1994/04/15 00:01 [medline]', '1994/04/15 00:00 [entrez]']",['10.1007/BF01880659 [doi]'],ppublish,Pharm World Sci. 1994 Apr 15;16(2):77-83. doi: 10.1007/BF01880659.,,,,,,,,,
8032307,NLM,MEDLINE,19940816,20191101,0964-1955 (Print) 0964-1955 (Linking),30B,2,1994,Prevention of oral mucositis in patients treated with high-dose chemotherapy and bone marrow transplantation: a randomised controlled trial comparing two protocols of dental care.,93-7,"Between February 1986 and November 1989, 166 patients who were candidates for a bone marrow transplantation entered a randomised controlled clinical trial to compare limited oral hygiene care (LIM) and intensive oral hygiene care (INT) in the prevention of mucositis. Randomisation was stratified on the initial oral status (good vs. bad IOS). Intensive oral hygiene care included an initial treatment of dental lesions and tooth and gum brushing during aplasia. Limited oral hygiene care excluded preventive dental treatment and gingival and tooth brushing. Mucositis was classified as absent, mild, moderate or severe, according to the clinical aspects of the different sites in the mouth and to two scales of pain evaluation. Of the 150 evaluable patients (75 in each group), 134 developed moderate/severe mucositis (64 in the INT group and 70 in the LIM group) (log-rank test P < 0.02). The superiority of intensive oral care was observed both in patients with and without total body irradiation (TBI) and in patients with a good or bad IOS; the observed risk of mucositis was reduced by 70% in each of these four subgroups. Duration of moderate/severe mucositis was, although not significantly, lower in the INT group (17 days, S.D. = 12) than in the LIM group (19 days, S.D. = 13). The median time of mucositis occurrence was 11 days in the INT group and 9 days in the LIM group. Contrary to a widespread belief, the percentage of documented septicaemia was not higher in patients who underwent intensive oral care. We conclude that, although statistically significant, the superiority of intensive oral hygiene care is not clinically impressive.(ABSTRACT TRUNCATED AT 250 WORDS)","['Borowski, B', 'Benhamou, E', 'Pico, J L', 'Laplanche, A', 'Margainaud, J P', 'Hayat, M']","['Borowski B', 'Benhamou E', 'Pico JL', 'Laplanche A', 'Margainaud JP', 'Hayat M']","['Dental Oncology Department, Institut Gustave Roussy, Villejuif, France.']",['eng'],,"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",England,Eur J Cancer B Oral Oncol,"European journal of cancer. Part B, Oral oncology",9214373,['0 (Antineoplastic Agents)'],IM,,"['Adult', 'Antineoplastic Agents/*adverse effects', '*Bone Marrow Transplantation', 'Dental Care/*methods', 'Female', 'Humans', 'Leukemia/therapy', 'Lymphoma/therapy', 'Male', 'Mouth Mucosa', 'Oral Hygiene/*methods', 'Stomatitis/etiology/*prevention & control', 'Toothbrushing', 'Whole-Body Irradiation/adverse effects']",,1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",['10.1016/0964-1955(94)90059-0 [doi]'],ppublish,Eur J Cancer B Oral Oncol. 1994;30B(2):93-7. doi: 10.1016/0964-1955(94)90059-0.,,,,,,,,,
8032277,NLM,MEDLINE,19940815,20191101,0939-1983 (Print) 0939-1983 (Linking),9,,1994,Cell surface receptor for ecotropic host-range mouse retroviruses: a cationic amino acid transporter.,485-94,"The cell surface receptor for ecotropic host-range murine leukemia viruses is a sodium-independent transporter for essential cationic acids. Our evidence strongly identifies this receptor as the transporter system y+, which was previously characterized by transport assays. Mutational analysis indicates that transporter activity is not necessary for viral reception. Infection of cells with ecotropic retroviruses causes only a partial down-modulation of receptor expression on cell surfaces.","['Kavanaugh, M P', 'Wang, H', 'Boyd, C A', 'North, R A', 'Kabat, D']","['Kavanaugh MP', 'Wang H', 'Boyd CA', 'North RA', 'Kabat D']","['Department of Biochemistry, Oregon Health Sciences, University Portland.']",['eng'],"['CA25810/CA/NCI NIH HHS/United States', 'DA03160/DA/NIDA NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",Austria,Arch Virol Suppl,Archives of virology. Supplementum,9214275,"['0 (Amino Acids)', '0 (Carrier Proteins)', '0 (Membrane Glycoproteins)', '0 (Membrane Proteins)', '0 (Receptors, Virus)', '0 (ecotropic murine leukemia virus receptor)', '9NEZ333N27 (Sodium)']",IM,,"['Amino Acid Sequence', 'Amino Acids/metabolism', 'Animals', 'Biological Transport/drug effects', 'Carrier Proteins/*genetics/metabolism', 'Electric Conductivity', 'Leukemia Virus, Murine/*genetics/growth & development/metabolism', '*Membrane Glycoproteins', 'Membrane Proteins/*genetics/metabolism', 'Models, Molecular', 'Molecular Sequence Data', 'Oocytes', '*Receptors, Virus', 'Sequence Homology, Amino Acid', 'Sodium/pharmacology', 'Xenopus laevis']",23,1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",['10.1007/978-3-7091-9326-6_47 [doi]'],ppublish,Arch Virol Suppl. 1994;9:485-94. doi: 10.1007/978-3-7091-9326-6_47.,,,,,,,,,
8031997,NLM,MEDLINE,19940816,20191101,1043-4666 (Print) 1043-4666 (Linking),6,2,1994 Mar,Oncostatin M stimulates proliferation in B9 hybridoma cells: potential role of oncostatin M in plasmacytoma development.,147-53,"Oncostatin M was found to stimulate the IL-6-addicted hybridoma line B9. Leukaemia inhibitory factor did not stimulate proliferation of this line. Both of these factors bind to the gp130 of the IL-6 receptor. In another cell line that is stimulated by LIF (DA.1), neither IL-6 nor oncostatin M stimulated proliferation. Previously it had been thought that the gp130 alone is sufficient to bind ligand and transduce signal and that oncostatin M could bind to and activate the LIF receptor, but these data show this is not always the case. Mice primed with Pristane were found to have IL-6 in their sera and peritoneal fluid only at a few time points following Pristane treatment; this was determined by IL-6-specific ELISA. When the same samples were analysed on IL-6-addicted B9 cells, stimulatory activity was found at all time points. When the Pristane-primed samples were assayed for oncostatin M activity in the A375 melanoma assay, there was oncostatin M activity at various time points. IL-6 did not have activity on the A375 cells. These data indicate that oncostatin M play a role in the generation of plasmacytoma in vivo.","['Barton, B E', 'Jackson, J V', 'Lee, F', 'Wagner, J']","['Barton BE', 'Jackson JV', 'Lee F', 'Wagner J']","['Department of Immunology, Schering-Plough Research Institute, Kenilworth, NJ 07033.']",['eng'],,['Journal Article'],England,Cytokine,Cytokine,9005353,"['0 (Carcinogens)', '0 (Growth Inhibitors)', '0 (Interleukin-6)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Lymphokines)', '0 (OSM protein, human)', '0 (Osm protein, mouse)', '0 (Peptides)', '0 (Terpenes)', '106956-32-5 (Oncostatin M)', '26HZV48DT1 (pristane)']",IM,,"['Animals', 'Carcinogens/toxicity', 'Cell Division/*drug effects', 'Cell Line', 'Dose-Response Relationship, Drug', 'Growth Inhibitors/biosynthesis/pharmacology', 'Humans', 'Hybridomas', 'Interleukin-6/biosynthesis/*pharmacology', 'Kinetics', 'Leukemia Inhibitory Factor', 'Lymphokines/pharmacology', 'Male', 'Melanoma', 'Mice', 'Mice, Inbred BALB C', 'Oncostatin M', '*Peptide Biosynthesis', 'Peptides/*pharmacology', 'Plasmacytoma/*pathology', 'Terpenes/toxicity', 'Time Factors', 'Transfection', 'Tumor Cells, Cultured']",,1994/03/01 00:00,1994/03/01 00:01,['1994/03/01 00:00'],"['1994/03/01 00:00 [pubmed]', '1994/03/01 00:01 [medline]', '1994/03/01 00:00 [entrez]']","['1043-4666(94)90036-1 [pii]', '10.1016/1043-4666(94)90036-1 [doi]']",ppublish,Cytokine. 1994 Mar;6(2):147-53. doi: 10.1016/1043-4666(94)90036-1.,,,,,,,,,
8031851,NLM,MEDLINE,19940816,20190610,0006-3002 (Print) 0006-3002 (Linking),1222,2,1994 Jun 30,Upregulation of the surface expression of two integrins and induction of chemotactic activity in a human leukemic cell line by Oncoimmunin-M.,159-63,"Previously, it was shown that Oncoimmunin-M (OI-M), a recently identified tumor cell-derived 36 kDa protein, is able both to inhibit the proliferation of the human promyelocytic leukemic cell line HL-60 while maintaining viability in culture and to induce a bimodal distribution of CD11b, the alpha chain of the integrin MAC-1, on the cell surface (Packard, B.Z. and Komoriya, A. (1993) J. Biol. Chem. 268, 6356-6363). Now, data which reveal that exposure of HL-60 cells to this factor also brings about an increase in the mean level of surface expression of CD11c, the alpha chain of another leukocyte integrin (p150,95), but leaves CD11a, the alpha chain of the third leukointegrin (LFA-1), virtually unchanged (< 10%) are presented. Comparison of motility studies of OI-M-treated HL-60 bulk populations with control bulk populations demonstrates coinduction of CD11b and CD11c surface upregulation with chemotactic responsiveness to a gradient of the chemoattractant human C5a. Separation of motile from nonmotile cell subpopulations after exposure to C5a further reveals that individual cells which respond to this chemoattractant express increased levels of both CD11b and CD11c relative to unresponsive cells. These data correlate the upregulation of leukointegrins MAC-1 and p150,95 by a tumor cell-derived protein on a preterminally differentiated myeloid cell with chemotactic responsiveness to human C5a.","['Packard, B Z']",['Packard BZ'],"['Division of Cytokine Biology, CBER, FDA, Bethesda, MD 20892.']",['eng'],,['Journal Article'],Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['0 (Integrins)', '0 (Neoplasm Proteins)', '0 (oncoimmunin-M)', '80295-54-1 (Complement C5a)']",IM,,"['Cell Line', 'Cell Movement', 'Chemotaxis', 'Complement C5a/analysis', 'Gene Expression Regulation/drug effects', 'Humans', 'Integrins/genetics/*metabolism', 'Leukemia/*metabolism', 'Neoplasm Proteins/isolation & purification/*pharmacology', 'Up-Regulation']",,1994/06/30 00:00,1994/06/30 00:01,['1994/06/30 00:00'],"['1994/06/30 00:00 [pubmed]', '1994/06/30 00:01 [medline]', '1994/06/30 00:00 [entrez]']","['0167-4889(94)90164-3 [pii]', '10.1016/0167-4889(94)90164-3 [doi]']",ppublish,Biochim Biophys Acta. 1994 Jun 30;1222(2):159-63. doi: 10.1016/0167-4889(94)90164-3.,,,,,,,,,
8031452,NLM,MEDLINE,19940818,20151119,0266-9536 (Print) 0266-9536 (Linking),9,3,1994 Jun,Structure-activity relationships of 9-anilinoacridines as inhibitors of human DNA topoisomerase II.,199-208,"A series of 9-anilinoacridines, based on the anticancer drug amsacrine [4'-(9-acridinylamino)methanesulphon-m-anisidide; m-AMSA], were synthesized and evaluated for their ability to inhibit both the growth of Jurkat leukaemia cells and human DNA topoisomerase II in vitro. Inhibition of topoisomerase II activity occurred via one of two mechanisms of drug action: (i) direct inhibition of the strand-passing activity or (ii) stabilization of cleavable complex formation. Although the majority of compounds evaluated inhibited P4 DNA unknotting activity catalysed by DNA topoisomerase II up to 100 microM, derivatives bearing 1'-substituents containing SO2 moieties (e.g. 1'-NHSO2Me and 1'-SO2NH2 groups) were generally the most potent inhibitors of DNA topoisomerase II-mediated DNA religation, being effective at concentrations of 1-5 microM. No obvious correlation was observed between the cytotoxicity of individual drugs and linear DNA formation in the in vitro topoisomerase II assays, either across the whole drug series or within similar subgroups. However, a selected group of drugs with different cytotoxicities (compounds 5, 12 and 30; Table I) stimulated DNA topoisomerase II-mediated DNA strand breaks in intact Jurkat cells by 3.5-, 11- and 2.2-fold, respectively, at a concentration of 10 microM, while compounds 31 and 32 did not produce protein-associated DNA strand breaks in whole cells. There was a good correlation between the ability of these selected compounds to induce topoisomerase II-mediated DNA strand breaks in vitro or in whole cells, and their cytotoxicity to Jurkat cells.","['Figgitt, D P', 'Denny, W A', 'Gamage, S A', 'Ralph, R K']","['Figgitt DP', 'Denny WA', 'Gamage SA', 'Ralph RK']","['Developmental Biology and Cancer Research, School of Biological Sciences, Auckland University, New Zealand.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Anticancer Drug Des,Anti-cancer drug design,8603523,"['0 (Topoisomerase II Inhibitors)', '00DPD30SOY (Amsacrine)', '3340-22-5 (9-anilinoacridine)']",IM,,"['Amsacrine/*analogs & derivatives/chemistry/pharmacology', 'Cell Line', 'Humans', 'Structure-Activity Relationship', '*Topoisomerase II Inhibitors']",,1994/06/01 00:00,1994/06/01 00:01,['1994/06/01 00:00'],"['1994/06/01 00:00 [pubmed]', '1994/06/01 00:01 [medline]', '1994/06/01 00:00 [entrez]']",,ppublish,Anticancer Drug Des. 1994 Jun;9(3):199-208.,,,,,,,,,
8031276,NLM,MEDLINE,19940809,20190704,0003-9950 (Print) 0003-9950 (Linking),112,7,1994 Jul,Human T-cell lymphotropic virus type I-associated retinal lymphoma. A clinicopathologic report.,954-9,"Human T-cell lymphotropic virus type I has been associated with a wide range of ocular conditions, including neoplastic, infectious, and inflammatory lesions. We studied a patient infected with human T-cell lymphotrophic virus type I who presented with deep retinal and subretinal infiltrates but without cells in the vitreous. The differential diagnosis included intraocular lymphoma and fungus infection. A chorioretinal biopsy specimen obtained for tissue diagnosis disclosed large atypical mononuclear cells located primarily at the level of the retinal pigment epithelium but focally involving overlying retina. Electron microscopy of this infiltrate showed features consistent with adult T-cell lymphoma/leukemia. Infection by human T-cell lymphotropic virus type I was verified by polymerase chain reaction studies conducted on peripheral-blood mononuclear cells. This case emphasizes the occurrence of intraocular lesions in adult T-cell lymphoma/leukemia that clinically show some features similar to those of the usual ocular lymphoma (reticulum cell sarcoma); diagnosis can be established by chorioretinal biopsy, thereby allowing appropriate therapy.","['Kumar, S R', 'Gill, P S', 'Wagner, D G', 'Dugel, P U', 'Moudgil, T', 'Rao, N A']","['Kumar SR', 'Gill PS', 'Wagner DG', 'Dugel PU', 'Moudgil T', 'Rao NA']","['Doheny Eye Institute, University of Southern California School of Medicine, Los Angeles.']",['eng'],['EY 03040/EY/NEI NIH HHS/United States'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Arch Ophthalmol,"Archives of ophthalmology (Chicago, Ill. : 1960)",7706534,"['0 (DNA, Viral)']",IM,,"['Adult', 'Biopsy', 'Choroid/ultrastructure', 'DNA, Viral/analysis', 'Eye Infections, Viral/*pathology', 'Fluorescein Angiography', 'Fundus Oculi', 'Human T-lymphotropic virus 1/genetics', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/*pathology', 'Male', 'Polymerase Chain Reaction', 'Retina/ultrastructure', 'Retinal Diseases/*pathology']",,1994/07/01 00:00,1994/07/01 00:01,['1994/07/01 00:00'],"['1994/07/01 00:00 [pubmed]', '1994/07/01 00:01 [medline]', '1994/07/01 00:00 [entrez]']",['10.1001/archopht.1994.01090190102028 [doi]'],ppublish,Arch Ophthalmol. 1994 Jul;112(7):954-9. doi: 10.1001/archopht.1994.01090190102028.,,,,,,,,,
8031242,NLM,MEDLINE,19940811,20200324,0304-8608 (Print) 0304-8608 (Linking),136,3-4,1994,Exposure of p19 matrix protein of human T-cell leukemia virus type I (HTLV-I) on the surface of MOLT-4#8 cells after virus adsorption.,389-95,"The p19 matrix (MA) protein of human T-cell leukemia virus type I (HTLV-I) was exposed on the surface of MOLT-4#8 cells in the very early step of the virus infection. Transfer of the virus-binding MOLT-4#8 cells from 4 degrees C to 37 degrees C resulted in increased detection of the viral gp46 and p19 MA protein on the cells, which was, however, inhibited by 4 degrees C or cytochalasin B treatment. These data showed that increased temperature and fluidity of the cell membrane were required for the increased detection of gp46 and p19 after viral adsorption. On the other hand, exposure of the p19 MA protein was not observed on the virus-treated U937 cells although gp46 was detected. This was not due to inefficient binding of the HTLV-I to the U937 cells, since the methanol-fixed cells were p19 MA protein-positive. MOLT-4#8 cells induced marked cell fusion when co-cultured with MT-2 cells, but U937 cells induced no fusion. All of these results indicated that these two cell lines differed in the property of plasma membrane in terms of degradation of HTLV-I envelope after viral adsorption. Uncoating of the HTLV-I might occur on the plasma membrane, especially on MOLT-4#8 cells.","['Akari, H', 'Kuroda, M J', 'Shinjo, T', 'el-Farrash, M A', 'Harada, S']","['Akari H', 'Kuroda MJ', 'Shinjo T', 'el-Farrash MA', 'Harada S']","['Department of Biodefence and Medical Virology, Kumamoto University School of Medicine, Japan.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Austria,Arch Virol,Archives of virology,7506870,"['0 (Gene Products, gag)', '0 (HTLV-I Antigens)', '0 (Retroviridae Proteins, Oncogenic)', '0 (gag Gene Products, Human Immunodeficiency Virus)', '0 (p19 protein, Human T-lymphotropic virus 1)']",IM,,"['Adsorption', 'Cell Line', 'Cell Membrane/*microbiology', 'Gene Products, gag/*metabolism', 'HTLV-I Antigens/*metabolism', 'Human T-lymphotropic virus 1/*metabolism', 'Humans', 'Membrane Fluidity', 'Retroviridae Proteins, Oncogenic/*metabolism', 'Temperature', 'gag Gene Products, Human Immunodeficiency Virus']",,1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",['10.1007/BF01321067 [doi]'],ppublish,Arch Virol. 1994;136(3-4):389-95. doi: 10.1007/BF01321067.,PMC7087037,,,,,,,,
8031155,NLM,MEDLINE,19940808,20151119,0385-0684 (Print) 0385-0684 (Linking),21,8,1994 Jul,[Recent progress in the treatment of malignant lymphoma].,1151-6,"Recent progress in the chemotherapy for malignant lymphoma is reviewed. From the viewpoint of treatment, malignant lymphoma is classified into five major categories; aggressive lymphoma, indolent B-lymphoma, Hodgkin's disease, T-lymphoblastic lymphoma and adult T-cell leukemia-lymphoma (ATL). Based on the results of the clinical chemotherapy trials conducted by the cooperative oncology groups in Western countries and the Lymphoma Study Group (LSG) in Japan, the state of the art of chemotherapy for malignant lymphoma is described. In aggressive lymphoma of advanced stages, after establishment of CHOP therapy (first generation), better results were reported in the United States for single institute single-arm studies of non-cross resistant alternating multiagent chemotherapy (second generation) and high relative dose intensity chemotherapy (third generation). However, recent multicenter phase III studies, comparing CHOP with third generation regimens, revealed that CHOP remains the best available treatment, because of similar failure-free and overall survival with lower cost and lower severe toxicity. More recently, the results of the International Non-Hodgkin's Lymphoma Prognostic Factors Project were reported. Based on the number of the five unfavorable factors present, such as age, stage, LDH, performance status and the number of extranodal disease sites, a new predictive model ""international index"" for aggressive lymphoma was developed. Such predictive models based on prognostic factor analyses would be very useful in the design of future clinical trials in patients with aggressive lymphoma and in the selection of appropriate therapeutic approaches for individual patients.","['Tobinai, K', 'Shimoyama, M']","['Tobinai K', 'Shimoyama M']","['Department of Medical Oncology, National Cancer Center Hospital, Tokyo, Japan.']",['jpn'],,"['English Abstract', 'Journal Article', 'Review']",Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,"['5J49Q6B70F (Vincristine)', '80168379AG (Doxorubicin)', '8N3DW7272P (Cyclophosphamide)', 'VB0R961HZT (Prednisone)', 'CHOP protocol']",IM,,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Combined Modality Therapy', 'Cyclophosphamide/administration & dosage', 'Doxorubicin/administration & dosage', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/drug therapy', 'Lymphoma, B-Cell/drug therapy', 'Lymphoma, Non-Hodgkin/*drug therapy/radiotherapy', 'Lymphoma, T-Cell/drug therapy', 'Prednisone/administration & dosage', 'Prognosis', 'Vincristine/administration & dosage']",10,1994/07/01 00:00,1994/07/01 00:01,['1994/07/01 00:00'],"['1994/07/01 00:00 [pubmed]', '1994/07/01 00:01 [medline]', '1994/07/01 00:00 [entrez]']",,ppublish,Gan To Kagaku Ryoho. 1994 Jul;21(8):1151-6.,,,,,,,,,
8031031,NLM,MEDLINE,19940811,20210526,0066-4804 (Print) 0066-4804 (Linking),38,4,1994 Apr,Emergence of fluoroquinolone-resistant Escherichia coli at a cancer center.,681-7,"Prophylactic treatment with fluoroquinolones of patients with profound neutropenia has been found to be useful for preventing gram-negative bacteremia and has become a standard preventive-therapy strategy in many cancer centers, but the development of bacterial resistance is a cause of concern. During the past few years, we have observed an increasing number of patients with leukemia from whom fluoroquinolone-resistant strains of Escherichia coli were isolated. The increase was significant in this patient population, and among patients with other underlying diseases, the rates of isolation of such strains per number of discharges were significantly lower and did not increase. Most of the leukemia case patients (16 of 19) had been pretreated with an oral quinolone (ofloxacin), with cumulative doses until the first isolation of a resistant E. coli strain ranging from 0 to 97.8 g (median, 14.4 g). Repeated isolation of such strains was seen in 8 of 17 patients during a follow-up period of > or = 4 weeks and in 1 of 6 patients during a follow-up period of > or = 16 weeks. Ten patients developed bacteremia (mortality, 1 of 10). On the basis of the number of patients with leukemia admitted to the hematology-oncology service, the incidence of bacteremia caused by fluoroquinolone-resistant E. coli increased from < 0.5% in 1988-1989 and 0.8% in 1990-1991 to 4.5% in 1992-1993 (P < 0.01). MICs for nine isolates obtained from cultures of blood from different patients ranged between 8 and 16 microgram/ml (ciprofloxacin and PD 131628), 8 and 32 microgram/ml (ofloxacin and BAY Y 3118), and 16 and 32 microgram/ml (sparfloxacin) and indicated resistance to trimethoprim-sulfamethoxazole, ampicillin, doxycycline, and chloramphenicol. Of nine isolates obtained from cultures of blood from different patients and that were subjected to genomic DNA typing by pulsed-field gel electrophoresis of XbaI digests, seven were typeable. Among these, four different genotypes were identified, suggesting both the independent development and the horizontal spread of resistant clones of E. coli.","['Kern, W V', 'Andriof, E', 'Oethinger, M', 'Kern, P', 'Hacker, J', 'Marre, R']","['Kern WV', 'Andriof E', 'Oethinger M', 'Kern P', 'Hacker J', 'Marre R']","['Section of Infectious Diseases and Clinical Immunology, University Hospital and Medical Center, Germany.']",['eng'],,['Journal Article'],United States,Antimicrob Agents Chemother,Antimicrobial agents and chemotherapy,0315061,"['0 (Anti-Infective Agents)', 'A4P49JAZ9H (Ofloxacin)']",IM,,"['Anti-Infective Agents/administration & dosage/*pharmacology', '*Cancer Care Facilities', 'Cross Infection/microbiology/*prevention & control', 'Drug Resistance, Microbial', 'Drug Utilization', 'Electrophoresis, Polyacrylamide Gel', 'Escherichia coli/*drug effects', 'Escherichia coli Infections/microbiology/*prevention & control', 'Hospitals, University', 'Humans', 'Leukemia/complications', 'Microbial Sensitivity Tests', 'Neutropenia/complications', 'Ofloxacin/therapeutic use']",,1994/04/01 00:00,1994/04/01 00:01,['1994/04/01 00:00'],"['1994/04/01 00:00 [pubmed]', '1994/04/01 00:01 [medline]', '1994/04/01 00:00 [entrez]']",['10.1128/AAC.38.4.681 [doi]'],ppublish,Antimicrob Agents Chemother. 1994 Apr;38(4):681-7. doi: 10.1128/AAC.38.4.681.,PMC284525,,,,,,,,
