PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,RN,RF,SI,GS,CON,PMC,CIN,LID,TT,OID,OAB,OABL,OTO,OT,GN,EIN
7697629,NLM,MEDLINE,19950428,20190816,0165-4608 (Print) 0165-4608 (Linking),80,1,1995 Mar,"12q13, a new recurrent breakpoint in acute non-lymphoblastic leukemia.",23-8,"The karyotypes of 312 successfully analyzed samples of children with acute non-lymphoblastic leukemia (ANLL), which were sent to us by 72 German hospitals, were examined in order to find new recurrent chromosome abnormalities of possible clinical relevance. Whereas most of the patients had one of the specific aberrations of ANLL or a normal karyotype, random numerical or structural changes were found in 61 children (20%). Four of them showed an abnormality involving band 12q13: t(12;17)(q13;q21), t(12;21)(q13;q21), t(2;12)(p13;q13), and t(5;12)(p11;q13). Despite the fact that FAB subtypes were different (M0, M1 M6, AHL), the blasts of all patients were characterized by immaturity and were difficult to classify. The breakpoint 12q13 might be of clinical importance in ANLL, because the four patients in our study, as well as the 21 patients with this aberration found in the literature, had a very poor prognosis.","['Seyger, M M', 'Ritterbach, J', 'Creutzig, U', 'Gnekow, A K', 'Gobel, U', 'Graf, N', 'Reiter, A', 'Lampert, F', 'Harbott, J']","['Seyger MM', 'Ritterbach J', 'Creutzig U', 'Gnekow AK', 'Gobel U', 'Graf N', 'Reiter A', 'Lampert F', 'Harbott J']","[""Oncocytogenetic Laboratory, Children's Hospital, University of Giessen, Germany.""]",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Child', 'Child, Preschool', '*Chromosomes, Human, Pair 12', 'Female', 'Humans', 'Infant', 'Karyotyping', 'Leukemia, Myeloid, Acute/*genetics', 'Male', '*Translocation, Genetic']",1995/03/01 00:00,1995/03/01 00:01,['1995/03/01 00:00'],"['1995/03/01 00:00 [pubmed]', '1995/03/01 00:01 [medline]', '1995/03/01 00:00 [entrez]']","['0165460894001577 [pii]', '10.1016/0165-4608(94)00157-7 [doi]']",ppublish,Cancer Genet Cytogenet. 1995 Mar;80(1):23-8. doi: 10.1016/0165-4608(94)00157-7.,,,,,,,,,,,,,,,,,
7697626,NLM,MEDLINE,19950428,20190816,0165-4608 (Print) 0165-4608 (Linking),80,1,1995 Mar,Cytogenetic findings in regressing skin lesions of lymphomatoid papulosis.,13-6,"In this report, we present the cytogenetic findings in an adult female patient with lymphomatoid papulosis (LyP) type A, a cutaneous lymphoproliferative disorder with possible progression to lymphoma. Karyotyping of the CD30+ atypical lymphoid cells revealed numerical and structural aberrations. Trisomy 7, a common finding in hematologic disorders such as adult T-cell leukemia and non-Hodgkin lymphomas, was detected. Additionally, a breakpoint was found at 10q24 in the region of the TCL3 oncogene. These results contrast with cells of a young female patient (age 3) with a type A LyP, which showed a normal karyotype as well as cells of a male adult with type B LyP. None of the cases showed the t(2;5)p(23;q35) common in CD30+ anaplastic large cell lymphomas, which can closely resemble LyP. Our findings are discussed in the context of the literature concerning the histology, immunophenotyping, and cytogenetics of LyP. Together the results suggest different steps in the development of LyP and distinct forms of this one disease.","['Peters, K', 'Knoll, J H', 'Kadin, M E']","['Peters K', 'Knoll JH', 'Kadin ME']","['Department of Pathology, Beth Israel Hospital, Boston, Massachusetts 02215, USA.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Adult', 'Child, Preschool', '*Chromosome Aberrations', 'Female', 'Humans', 'Karyotyping', 'Lymphomatoid Papulosis/*genetics', 'Male', 'Skin/ultrastructure', 'Trisomy']",1995/03/01 00:00,1995/03/01 00:01,['1995/03/01 00:00'],"['1995/03/01 00:00 [pubmed]', '1995/03/01 00:01 [medline]', '1995/03/01 00:00 [entrez]']","['0165460894001463 [pii]', '10.1016/0165-4608(94)00146-3 [doi]']",ppublish,Cancer Genet Cytogenet. 1995 Mar;80(1):13-6. doi: 10.1016/0165-4608(94)00146-3.,"['CA54062/CA/NCI NIH HHS/United States', 'HD18658/HD/NICHD NIH HHS/United States']",,,,,,,,,,,,,,,,
7697625,NLM,MEDLINE,19950428,20190816,0165-4608 (Print) 0165-4608 (Linking),80,1,1995 Mar,Cloning of breakpoints in 3q21 associated with hematologic malignancy.,1-8,"Rearrangements of band 3q21 have been well documented in leukemia. To analyze the region involved, we have isolated a normal genomic P1 clone that spans the 3q21 breakpoints derived from two leukemia patients carrying t(3;3)(q21;q26). Both breakpoints are contained within a 50-kb NotI restriction fragment, but are not identical. They are separated by 9-11 kb and may disrupt genes associated with either the proximal or distal NotI sites. We further show that one patient carried a small insertion of material from chromosome 2 in the 3q- derivative. The P1 clone will allow isolation of candidate genes for these breakpoints and investigations into the clustering of other 3q21 leukemia breakpoints.","['Pekarsky, Y', 'Zabarovsky, E', 'Kashuba, V', 'Drabkin, H', 'Sandberg, A A', 'Morgan, R', 'Rynditch, A', 'Gardiner, K']","['Pekarsky Y', 'Zabarovsky E', 'Kashuba V', 'Drabkin H', 'Sandberg AA', 'Morgan R', 'Rynditch A', 'Gardiner K']","['Eleanor Roosevelt Institute, Denver, Colorado 80206, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['*Chromosomes, Human, Pair 3', 'Cloning, Molecular', 'Electrophoresis, Gel, Pulsed-Field', 'Humans', 'Leukemia/*genetics', 'Restriction Mapping', '*Translocation, Genetic', 'Tumor Cells, Cultured']",1995/03/01 00:00,1995/03/01 00:01,['1995/03/01 00:00'],"['1995/03/01 00:00 [pubmed]', '1995/03/01 00:01 [medline]', '1995/03/01 00:00 [entrez]']","['016546089400168B [pii]', '10.1016/0165-4608(94)00168-b [doi]']",ppublish,Cancer Genet Cytogenet. 1995 Mar;80(1):1-8. doi: 10.1016/0165-4608(94)00168-b.,"['CA14054-15/CA/NCI NIH HHS/United States', 'HG00001/HG/NHGRI NIH HHS/United States', 'HG00378/HG/NHGRI NIH HHS/United States']",,,,,,,,,,,,,,,,
7697611,NLM,MEDLINE,19950504,20190620,0008-543X (Print) 0008-543X (Linking),75,8,1995 Apr 15,"Incidence of cancer in children in the United States. Sex-, race-, and 1-year age-specific rates by histologic type.",2186-95,"BACKGROUND: Rates of cancer in children usually are presented in 5-year age groups, despite large variations of incidence within these groups. The purpose of this report is to provide histology-specific incidence rates within single-year age groups, stratified by sex and race, among children. METHODS: Data from the National Cancer Institute's SEER Program were used to calculate incidence rates among children younger than 15 years of age at diagnosis. The SEER population denominator file was modified to allow calculation of rates within single years of age. RESULTS: Large differences in rates within 5-year age groups were found for many histologic types. Retinoblastoma and Wilms' tumor, for instance, had up to eight-fold differences. Substantial differences also were observed for non-Hodgkin's lymphoma, neuroblastoma, Hodgkin's disease, acute lymphoid leukemia, acute myeloid leukemia, and osteosarcoma. In general, rates were higher among males than females, although female rates were often higher among young children. Rates of white children were generally higher than those of black children, especially during the first 5 years of life. Embryonal tumors comprised the majority of neoplasms during the first 2 years of life.","['Gurney, J G', 'Severson, R K', 'Davis, S', 'Robison, L L']","['Gurney JG', 'Severson RK', 'Davis S', 'Robison LL']","['Michigan Cancer Foundation, Division of Epidemiology, Detroit 48201, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,IM,"['Adolescent', 'Age Distribution', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Incidence', 'Infant', 'Male', 'Neoplasms/*epidemiology', '*SEER Program', 'Sex Distribution', 'United States/epidemiology']",1995/04/15 00:00,1995/04/15 00:01,['1995/04/15 00:00'],"['1995/04/15 00:00 [pubmed]', '1995/04/15 00:01 [medline]', '1995/04/15 00:00 [entrez]']",['10.1002/1097-0142(19950415)75:8<2186::aid-cncr2820750825>3.0.co;2-f [doi]'],ppublish,Cancer. 1995 Apr 15;75(8):2186-95. doi: 10.1002/1097-0142(19950415)75:8<2186::aid-cncr2820750825>3.0.co;2-f.,['N01 CN05230/CN/NCI NIH HHS/United States'],,,,,,,,,,,,,,,,
7697598,NLM,MEDLINE,19950504,20190620,0008-543X (Print) 0008-543X (Linking),75,8,1995 Apr 15,The simultaneous occurrence of variant hairy cell leukemia and chronic-phase chronic myelogenous leukemia. A case report.,2089-92,"BACKGROUND: Coexistence of second malignancies in patients with hairy cell leukemia is not uncommon. Most second malignancies are solid tumors or other lymphoproliferative proliferative disorders. In this study, a case of a tartrate-resistant acid phosphatase (TRAP)-positive hairy cell leukemia variant with the subsequent development of Philadelphia chromosome-positive chronic myelogenous leukemia (CML) is reported. METHODS: Routine morphology was performed on the peripheral blood, bone marrow and spleen. Peripheral smears were stained for TRAP. Peripheral blood was studied by two-color flow cytometry for a panel of lymphocytic markers including CD11, CD25, and CD103. Cytogenetic studies were performed on a bone marrow aspirate. RESULTS: A unique case of a hairy cell leukemia variant and CML in a patient who responded to the new purine analog 2-chlorodeoxyadenosine (2-CdA) is presented. CONCLUSIONS: The first case of concurrent hairy cell leukemia with CML is reported.","['Reeves, J E', 'Robbins, B A', 'Pankey, L R', 'Elias, A L', 'Anderson, W F']","['Reeves JE', 'Robbins BA', 'Pankey LR', 'Elias AL', 'Anderson WF']","['Hematology/Oncology Clinic, West Monroe, LA 71291, USA.']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer,Cancer,0374236,IM,"['Aged', 'Aged, 80 and over', 'Cladribine/therapeutic use', 'Humans', 'Leukemia, Hairy Cell/*pathology/therapy', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy/*pathology', 'Leukemia, Myeloid, Chronic-Phase/drug therapy/*pathology', 'Male', 'Neoplasms, Second Primary/drug therapy/*pathology', 'Splenectomy']",1995/04/15 00:00,1995/04/15 00:01,['1995/04/15 00:00'],"['1995/04/15 00:00 [pubmed]', '1995/04/15 00:01 [medline]', '1995/04/15 00:00 [entrez]']",['10.1002/1097-0142(19950415)75:8<2089::aid-cncr2820750810>3.0.co;2-p [doi]'],ppublish,Cancer. 1995 Apr 15;75(8):2089-92. doi: 10.1002/1097-0142(19950415)75:8<2089::aid-cncr2820750810>3.0.co;2-p.,,['47M74X9YT5 (Cladribine)'],,,,,,,,,,,,,,,
7697503,NLM,MEDLINE,19950504,20191031,0742-2091 (Print) 0742-2091 (Linking),10,5-6,1994 Dec,Active cell membrane mechanisms involved in the exclusion of Rh 123 allow distinction between normal and tumoral cells.,399-406,"Human cell lines derived from three epithelial carcinomas (CaSki, HeLa, SiHa), one B lymphoma (BL60), one promyelocytic (HL60), one monocytic (U937) leukemia, one chronic myelogenous leukemia (sensitive K562S; multichemoresistant K562R) and normal human skin fibroblasts were compared for their capacity of staining with rhodamine 123 (Rh 123) and their kinetics of dye exclusion. Cells were exposed for 30 min to 10 micrograms/ml of Rh 123 in culture medium; fluorescence intensity was measured by flow cytometry immediately or 1, 2, 3 and 4 h after staining. The highest fluorescence intensity was observed in carcinoma cell lines; there was no incorporation in multichemoresistant K562R cells. Exclusion of Rh 123 was evaluated from 0 to 4 h, both by flow cytometry and by fluorimetry. Fluorescence intensity measured by flow cytometry decreased slightly in carcinoma and leukemia cells and rapidly in fibroblasts. In all cell lines Rh 123 exclusion was inhibited by 40 mumol/L verapamil and 5 mmol/L probenecid. Thus, incorporation and exclusion of Rh 123 allows distinction between normal and tumoral cells; moreover, inhibition of exclusion by verapamil and probenecid favors the involvement of active cell membrane mechanisms in the exclusion process.","['Lizard, G', 'Chignol, M C', 'Chardonnet, Y', 'Schmitt, D']","['Lizard G', 'Chignol MC', 'Chardonnet Y', 'Schmitt D']","['Centre Commun de Cytometrie en Flux, INSERM U80, Hopital E. Herriot, Lyon, France.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Cell Biol Toxicol,Cell biology and toxicology,8506639,IM,"['Cell Membrane/*metabolism', 'Cells, Cultured', 'Drug Resistance, Multiple', 'Fibroblasts/metabolism', 'Flow Cytometry', 'Humans', 'Neoplasms/*metabolism', 'Probenecid/pharmacology', 'Rhodamine 123', 'Rhodamines/analysis/*metabolism', 'Tumor Cells, Cultured', 'Verapamil/pharmacology']",1994/12/01 00:00,1994/12/01 00:01,['1994/12/01 00:00'],"['1994/12/01 00:00 [pubmed]', '1994/12/01 00:01 [medline]', '1994/12/01 00:00 [entrez]']",['10.1007/BF00755789 [doi]'],ppublish,Cell Biol Toxicol. 1994 Dec;10(5-6):399-406. doi: 10.1007/BF00755789.,,"['0 (Rhodamines)', '1N3CZ14C5O (Rhodamine 123)', 'CJ0O37KU29 (Verapamil)', 'PO572Z7917 (Probenecid)']",,,,,,,,,,,,,,,
7697468,NLM,MEDLINE,19950503,20131121,0764-4469 (Print) 0764-4469 (Linking),317,12,1994 Dec,Retinoic acid and acute promyelocytic leukemia: a model of targetting treatment for human cancer.,1135-41,"Acute promyelocytic leukemia (APL) is the first example among the human malignancies that responds to differentiation therapy, in that complete remission (CR) can be achieved in up to 90% of patients by using a differentiation inducer, all-trans retinoic acid (ATRA). The specific chromosomal translocation t(15;17) in APL has been shown to fuse the gene for the retinoic acid receptor alpha (RAR alpha) with a chromosome 15q locus, PML. Alterations to the RAR alpha and the PML gene structures in the t(15;17) have been characterized and used as specific molecular marker for diagnosis of the disease. PML/RAR alpha antagonizes wild-type PML and RXR and could block the differentiation pathways mediated by these two regulators. A variant translocation t(11;17) has also been discovered in a subset of APL which fuses RAR alpha to a new gene, PLZF on chromosome 11q23. Both PML/RAR alpha and PLZF/RAR alpha display the ""dominant negative"" effect on the wild-type RAR/RXR. However, t(11;17) APL patients differ from t(15;17) APL in that they respond poorly to ATRA. Morphologically defined APL cases which however do not have PML/RAR alpha generally show no response to ATRA. Recently it has been shown that PML/RAR alpha can be modulated directly by ATRA. All these data support the idea that PML/RAR alpha is a specific target of ATRA which can overcome the differentiation block imposed by PML/RAR alpha. The ATRA treatment of APL thus further reinforces the concept of differentiation therapy.","['Chen, Z', 'Chen, S J', 'Wang, Z Y']","['Chen Z', 'Chen SJ', 'Wang ZY']","['Shanghai Institute of Hematology, Rui Jin Hospital, Shanghai Second Medical University, P.R. China.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",France,C R Acad Sci III,"Comptes rendus de l'Academie des sciences. Serie III, Sciences de la vie",8503078,IM,"['Gene Targeting', 'Humans', 'Leukemia, Promyelocytic, Acute/*drug therapy/genetics', 'Models, Genetic', 'Neoplasms/*genetics', 'Receptors, Retinoic Acid/genetics', 'Translocation, Genetic', 'Tretinoin/*therapeutic use']",1994/12/01 00:00,1994/12/01 00:01,['1994/12/01 00:00'],"['1994/12/01 00:00 [pubmed]', '1994/12/01 00:01 [medline]', '1994/12/01 00:00 [entrez]']",,ppublish,C R Acad Sci III. 1994 Dec;317(12):1135-41.,,"['0 (Receptors, Retinoic Acid)', '5688UTC01R (Tretinoin)']",68,,,,,,,,,,,,,,
7697450,NLM,MEDLINE,19950501,20191023,1077-9450 (Print) 1077-9450 (Linking),8,5,1995 Apr 15,Identification of IIa and IIb molecular subtypes of human T-cell lymphotropic virus type II among Italian injecting drug users.,516-20,"The molecular characterization of two human T-cell lymphotropic virus type II (HTLV-II) isolates, Gu and Va, obtained from Italian injecting drug users (IDUs) has indicated that these isolates belong to the HTLV-IIb subtype. To establish whether Italian IDUs are also infected by the HTLV-IIa variant, sequencing of the gp21 env gene of proviral DNA from further patients was carried out. Two new isolates, Bo and Md, were found, which presented a divergence of 0.4-0.7% from the IIa prototype HTLV-II-Mo, thus indicating that they belong to the HTLV-IIa subtype. The results strongly support the existence of two distinct molecular subtypes of HTLV-II infecting Italian IDUs and demonstrate that, although the IIb subtype appears to be prevalent, there is the same variability for this virus in Europe as found in the United States. The Italian IIb isolates were also seen to encode an additional 25 amino acids at the C-terminal end of tax protein, as already shown for other IIb isolates. The identification of two HTLV-II molecular subtypes among Italian drug addicts will be useful in tracing the worldwide distribution of this virus and in further understanding its molecular structure and biology.","['Salemi, M', 'Cattaneo, E', 'Casoli, C', 'Bertazzoni, U']","['Salemi M', 'Cattaneo E', 'Casoli C', 'Bertazzoni U']","['Istituto di Genetica Biochimica ed Evoluzionistica, CNR, Pavia, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Acquir Immune Defic Syndr Hum Retrovirol,Journal of acquired immune deficiency syndromes and human retrovirology : official publication of the International Retrovirology Association,9501482,IM,"['Amino Acid Sequence', 'Base Sequence', 'Gene Products, env/chemistry/genetics', 'Genes, env', 'HTLV-II Infections/etiology/*microbiology', 'Human T-lymphotropic virus 2/classification/*genetics', 'Humans', 'Italy', 'Molecular Sequence Data', 'Retroviridae Proteins, Oncogenic/chemistry/genetics', 'Substance Abuse, Intravenous/complications/*microbiology', 'env Gene Products, Human Immunodeficiency Virus']",1995/04/15 00:00,1995/04/15 00:01,['1995/04/15 00:00'],"['1995/04/15 00:00 [pubmed]', '1995/04/15 00:01 [medline]', '1995/04/15 00:00 [entrez]']",['10.1097/00042560-199504120-00013 [doi]'],ppublish,J Acquir Immune Defic Syndr Hum Retrovirol. 1995 Apr 15;8(5):516-20. doi: 10.1097/00042560-199504120-00013.,,"['0 (Gene Products, env)', '0 (Retroviridae Proteins, Oncogenic)', '0 (env Gene Products, Human Immunodeficiency Virus)', '0 (human T-cell leukemia virus type-II protein gp21)']",,"['GENBANK/X80241', 'GENBANK/X80242', 'GENBANK/X80243', 'GENBANK/X80244']",['env'],,,,,,,,,,,,
7697443,NLM,MEDLINE,19950501,20191023,1077-9450 (Print) 1077-9450 (Linking),8,5,1995 Apr 15,Clinical spectrum of HTLV-I in south Florida.,466-73,"A total of 113 patients with infection due to human T-cell leukemia virus type 1 (HTLV-I) were evaluated at the University of Miami from January 1988 to March 1993. Forty patients were identified with adult T-cell leukemia/lymphoma (ATLL) and 63 with HTLV-I-associated myelopathy (HAM). Three had concomitant ATLL and HAM. Two HAM patients co-infected with human immunodeficiency virus type 1 (HIV-I) developed clonal lymphoproliferative disease during the study period. Patients with ATLL have a poor prognosis; multiple chemotherapy regimens including high-dose cytotoxic agents have been utilized with a small impact on survival. Most of our patients are currently treated with experimental regimens. Rheumatologic or autoimmune illnesses were identified, mostly in HAM patients, and a small number developed immunodeficiencies in the absence of other definable etiologic factors. Most of the patients were immigrants from areas of endemicity in the Caribbean basin, although many Americans were also recognized. HTLV-I/II infection was diagnosed serologically and typed as HTLV-I by polymerase chain reaction (PCR) or a modified Western blot when a DNA sample was not available. In 24 of 40 patients with ATLL, Southern blot hybridization performed on DNA extracted from peripheral blood lymphocytes or tumor tissue demonstrated clonal HTLV-I integration. In South Florida, ATLL and HAM are now seen frequently. Since HTLV-I infection is associated with a 4% lifetime risk of developing ATLL and an additional 0.25% lifetime risk for developing HAM, a large pool of asymptomatically infected individuals must exist here.(ABSTRACT TRUNCATED AT 250 WORDS)","['Harrington, W J Jr', 'Ucar, A', 'Gill, P', 'Snodgrass, S', 'Sheremata, W', 'Cabral, L', 'Rabin, M', 'Byrne, G E Jr', 'Berger, J', 'Voight, W']","['Harrington WJ Jr', 'Ucar A', 'Gill P', 'Snodgrass S', 'Sheremata W', 'Cabral L', 'Rabin M', 'Byrne GE Jr', 'Berger J', 'Voight W', 'et al.']","['Department of Medicine, FL 33136, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Acquir Immune Defic Syndr Hum Retrovirol,Journal of acquired immune deficiency syndromes and human retrovirology : official publication of the International Retrovirology Association,9501482,IM,"['Adult', 'Age Distribution', 'Aged', 'Aged, 80 and over', 'Caribbean Region/ethnology', 'Female', 'Florida/epidemiology', 'HIV Infections/complications', 'HIV-1', 'Humans', 'Immune Tolerance', 'Leukemia-Lymphoma, Adult T-Cell/complications/drug therapy/*epidemiology', 'Lymphoproliferative Disorders/complications', 'Male', 'Middle Aged', 'Paraparesis, Tropical Spastic/complications/drug therapy/*epidemiology', 'Polymyositis/complications', 'Prognosis', 'Risk Factors']",1995/04/15 00:00,2001/03/28 10:01,['1995/04/15 00:00'],"['1995/04/15 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1995/04/15 00:00 [entrez]']",['10.1097/00042560-199504120-00006 [doi]'],ppublish,J Acquir Immune Defic Syndr Hum Retrovirol. 1995 Apr 15;8(5):466-73. doi: 10.1097/00042560-199504120-00006.,['R01 CA 55480/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,,
7697326,NLM,MEDLINE,19950504,20070801,1233-9687 (Print) 1233-9687 (Linking),45,4,1994,Immunological classification of high grade non-Hodgkin's lymphomas (NHL) in children.,257-61,"The immunological classification of 28 high grade non-Hodgkin's lymphomas (NHL) in children was shown. The morphological classification was based on Working Formulation, the immunological classification--on acute lymphoblastic leukemia subtypes. The phenotypes were assayed cytofluorometrically with monoclonal antibodies and compared to ontogenic stages in B and T cell development. Small non-cleaved cell lymphoma (Burkitt's type) was seen in 13 patients, lymphoblastic lymphoma in 12 patients, low differentiated in 3 patients. Immunological classification showed B-lymphocyte origin of blast cells in 15 patients including 11 small non-cleaved Burkitt's lymphoma (mature B and cALL phenotype), 3 undifferentiated cases (pro-B and mature B cell) and 1 case of lymphoblastic lymphoma (cALL type). T-cell origin of blast cells was demonstrated in 13 patients. The immunological classification used routinely was helpful in selection of patients with unfavourable prognosis. The more precise description of blast cells was valuable for better adjustment of therapy and better prognosis.","['Pituch-Noworolska, A', 'Miezynski, W']","['Pituch-Noworolska A', 'Miezynski W']","['Department of Clinical Immunology and Microbiology, Polish-American Childrens Hospital, Krakow.']",['eng'],['Journal Article'],Poland,Pol J Pathol,Polish journal of pathology : official journal of the Polish Society of Pathologists,9437432,IM,"['Adolescent', 'Antibodies, Monoclonal/immunology', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Immunophenotyping/methods', 'Lymphoma, Non-Hodgkin/*classification/*immunology', 'Male']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",,ppublish,Pol J Pathol. 1994;45(4):257-61.,,"['0 (Antibodies, Monoclonal)']",,,,,,,,,,,,,,,
