PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CN,CIN,GR,GS,SI,RF,PMC,TT,RIN,CON,EIN,MID,PS,FPS
7655125,NLM,MEDLINE,19951005,20180216,1018-8665 (Print) 1018-8665 (Linking),190,4,1995,Acute myelomonocytic leukemia with skin localizations.,346-8,We present a case of acute myelomonocytic leukemia with skin localizations in which complete remission was obtained with aggressive chemotherapy. The importance of leukemia cutis in the differential diagnosis of the 'blueberry muffin baby' is discussed.,"['Meuleman, V', 'Degreef, H']","['Meuleman V', 'Degreef H']","['Universitaire Ziekenhuizen St. Rafael, Leuven, Belgium.']",['eng'],"['Case Reports', 'Journal Article']",Switzerland,Dermatology,"Dermatology (Basel, Switzerland)",9203244,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/therapeutic use', 'Female', 'Humans', 'Infant, Newborn', 'Leukemia, Myelomonocytic, Acute/drug therapy/*pathology', 'Remission Induction', 'Skin Neoplasms/drug therapy/*pathology']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",['10.1159/000246740 [doi]'],ppublish,Dermatology. 1995;190(4):346-8. doi: 10.1159/000246740.,,,,,,,,,,,,,,
7655121,NLM,MEDLINE,19951005,20180216,1018-8665 (Print) 1018-8665 (Linking),190,4,1995,Sweet's syndrome and acute myelogenous leukemia in a patient who presented with a sudden massive swelling of the tongue.,335-7,"We report a case of Sweet's syndrome in a patient in whom an acute myeloblastic leukemia was subsequently diagnosed. Approximately 10-20% of the reported cases of Sweet's syndrome occur in patients with a malignancy, the neoplastic condition most commonly reported being acute myelogenous leukemia. This case is of interest because of its unusual clinical presentation: the cutaneous lesions were accompanied by a massive swelling of the tongue. We suggest that this sudden macroglossia was caused by an infiltration of mature neutrophils, as seen in cutaneous lesions of Sweet's syndrome. There have been several reports recently of extracutaneous manifestations of Sweet's syndrome, and neutrophilic infiltrates have been found both in several internal organs and at mucosal locations.","['Bamelis, M', 'Boyden, B', 'Sente, F', 'Madoe, V']","['Bamelis M', 'Boyden B', 'Sente F', 'Madoe V']","['Department of Dermatology, Virga Jesse Ziekenhuis, Hasselt, Belgium.']",['eng'],"['Case Reports', 'Journal Article']",Switzerland,Dermatology,"Dermatology (Basel, Switzerland)",9203244,,IM,"['Female', 'Humans', 'Leukemia, Myeloid, Acute/*complications', 'Macroglossia/*etiology/pathology', 'Middle Aged', 'Neutrophils/pathology', 'Sweet Syndrome/*etiology/pathology']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",['10.1159/000246736 [doi]'],ppublish,Dermatology. 1995;190(4):335-7. doi: 10.1159/000246736.,,,,,,,,,,,,,,
7655037,NLM,MEDLINE,19951003,20191210,0006-4971 (Print) 0006-4971 (Linking),86,5,1995 Sep 1,In vitro expression of the --87 beta-globin thalassemic mutations.,2055-6,,"['Ristaldi, M S', 'Cao, A', 'Casula, S']","['Ristaldi MS', 'Cao A', 'Casula S']",,['eng'],['Letter'],United States,Blood,Blood,7603509,"['0 (Recombinant Proteins)', '9004-22-2 (Globins)']",IM,"['Animals', 'Base Sequence', 'Cell Line', 'Chlorocebus aethiops', 'Consensus Sequence', 'Globins/*biosynthesis/*genetics', 'Humans', 'Leukemia, Erythroblastic, Acute', 'Mutagenesis, Site-Directed', '*Point Mutation', 'Promoter Regions, Genetic', 'Recombinant Proteins/biosynthesis', 'TATA Box', 'Transcription, Genetic', 'Transfection', 'Tumor Cells, Cultured', 'beta-Thalassemia/*genetics/metabolism']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']",,ppublish,Blood. 1995 Sep 1;86(5):2055-6.,,,,,,,,,,,,,,
7655035,NLM,MEDLINE,19951003,20210216,0006-4971 (Print) 0006-4971 (Linking),86,5,1995 Sep 1,Bell's palsy as a sign of Burkitt's lymphoma in children.,2052,,"['Katz, J', 'Polliack, A', 'Harushouski, I', 'Ben Oliel, R', 'Marmary, Y']","['Katz J', 'Polliack A', 'Harushouski I', 'Ben Oliel R', 'Marmary Y']",,['eng'],"['Comparative Study', 'Letter']",United States,Blood,Blood,7603509,,IM,"['Adolescent', 'Adult', 'Age Factors', 'Burkitt Lymphoma/*diagnosis/physiopathology', 'Child', 'Child, Preschool', 'Facial Paralysis/epidemiology/*etiology', 'Humans', 'Incidence', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/physiopathology', 'Retrospective Studies']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']",['S0006-4971(20)76370-6 [pii]'],ppublish,Blood. 1995 Sep 1;86(5):2052.,,,,,,,,,,,,,,
7655033,NLM,MEDLINE,19951003,20210216,0006-4971 (Print) 0006-4971 (Linking),86,5,1995 Sep 1,Graft-versus-leukemia effect of donor lymphocyte transfusions in marrow grafted patients.,2041-50,"The immune reactivity of allogeneic lymphocytes plays a major role in the control of leukemia after bone marrow transplantation. In patients with recurrent leukemia after marrow transplantation, chimerism and tolerance provide ideal conditions for adoptive immunotherapy with donor lymphocytes. We studied the effect of donor lymphocyte transfusions on acute and chronic leukemia in relapse after bone marrow transplantation. One hundred thirty-five patients with chronic myeloid leukemia (CML) (N = 84), acute myeloid leukemia (AML) (N = 23), acute lymphoblastic leukemia (ALL) (N = 22), myelodysplastic syndrome (MDS) (N = 5), and polycythemia vera with osteomyelofibrosis (PCV) (N = 1) were treated with transfusions of donor lymphocytes. Patients were monitored for response of leukemia, including in CML, the use of the polymerase chain reaction for bcr/abl mRNA transcripts and for the occurrence of graft-versus-host disease (GVHD) and myelosuppression. Complete remissions were induced by donor lymphocyte transfusions in 54 patients with CML (73%) and in the patient with PCV; complete remissions were also induced in five patients (29%) with AML and a patient with MDS. In contrast, ALL did not respond to adoptive immunotherapy with donor lymphocyte transfusions. Remissions were durable in patients treated for CML in chronic phase (probability of remission: 87% at 3 years). Lymphocyte transfusions were also given to 18 patients with ALL, AML, MDS, and transformed phase CML who were in remission after chemotherapy. These remissions were not durable. Fifty-two patients (41%) developed GVHD of grade 2 or more, and 41 patients (34%) showed signs of myelosuppression. Seventeen patients died without leukemia, 14 patients with GVHD and/or myelosuppression. Donor lymphocyte transfusions exert strong effects against myeloid forms of leukemia and induce durable remissions in CML.","['Kolb, H J', 'Schattenberg, A', 'Goldman, J M', 'Hertenstein, B', 'Jacobsen, N', 'Arcese, W', 'Ljungman, P', 'Ferrant, A', 'Verdonck, L', 'Niederwieser, D', 'van Rhee, F', 'Mittermueller, J', 'de Witte, T', 'Holler, E', 'Ansari, H']","['Kolb HJ', 'Schattenberg A', 'Goldman JM', 'Hertenstein B', 'Jacobsen N', 'Arcese W', 'Ljungman P', 'Ferrant A', 'Verdonck L', 'Niederwieser D', 'van Rhee F', 'Mittermueller J', 'de Witte T', 'Holler E', 'Ansari H']","['Medizinische Klinik III, Klinikum Grosshadern, Universitaet Muenchen, Germany.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,,IM,"['Adolescent', 'Adult', 'Bone Marrow Transplantation/*immunology', 'Child', 'Child, Preschool', 'Female', '*Graft vs Host Reaction', 'Humans', 'Immunotherapy, Adoptive', 'Leukemia/immunology/mortality/*therapy', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/immunology/therapy', 'Leukemia, Myeloid, Acute/immunology/therapy', '*Lymphocyte Transfusion', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/immunology/*therapy', 'Polycythemia Vera/immunology/therapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/immunology/therapy', 'Primary Myelofibrosis/immunology/therapy', 'Probability', 'Recurrence', 'Retrospective Studies', 'Sex Characteristics', 'Survival Rate', 'Time Factors', '*Tissue Donors']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']",['S0006-4971(20)76368-8 [pii]'],ppublish,Blood. 1995 Sep 1;86(5):2041-50.,"['European Group for Blood and Marrow Transplantation Working Party Chronic', 'Leukemia']",['Blood. 1996 May 1;87(9):4011-3. PMID: 8611735'],,,,,,,,,,,,
7655031,NLM,MEDLINE,19951003,20210216,0006-4971 (Print) 0006-4971 (Linking),86,5,1995 Sep 1,"A retrospective analysis of the long-term effect of splenectomy on late infections, graft-versus-host disease, relapse, and survival after allogeneic marrow transplantation for chronic myelogenous leukemia.",2028-32,"The present study was performed as a retrospective analysis of the role of pretransplant splenectomy to determine the incidence of late bacterial infections, acute and chronic graft-versus-host disease (GVHD), relapse, and survival among 358 patients receiving HLA-identical marrow grafts for chronic myelogenous leukemia. Sixty-eight (19%) of the 358 patients had undergone splenectomy before transplantation. There was a trend towards more grade II-IV acute GVHD among splenectomized patients, but this was not significant in the multivariate analysis. The incidence of chronic GVHD was similar for splenectomized and nonsplenectomized patients. Late infectious complications did not significantly differ between splenectomized and control patients (rates per patient year were 0.16 and 0.14, respectively). The overall risk of leukemic relapse was significantly increased for splenectomized patients (56% v 32% for controls, P = .001) and control patients with splenomegaly (P < .0001). Splenectomy and splenomegaly remained significant and independent hazards for relapse in the multivariate analysis (hazard ratio [HR], 1.82, P = .029; and HR, 1.49, P = .002; respectively). Relapse was also increased in patients with advanced disease (HR, 2.95; P = .0001), in patients with T-cell-depleted marrow (HR, 4.51; P = .0001), and in the female donor and male recipient combination (HR, 1.74; P = .044). Patients with splenectomy had an increased overall mortality (HR, 1.18), but this was not statistically significant in the multivariate analysis. In summary, our study showed no significant influence of splenectomy on late posttransplant infections, acute or chronic GVHD, or overall survival. There was no evidence that splenectomy decreased recurrence of chronic myelogenous leukemia.","['Kalhs, P', 'Schwarzinger, I', 'Anderson, G', 'Mori, M', 'Clift, R A', 'Storb, R', 'Buckner, C D', 'Appelbaum, F R', 'Hansen, J A', 'Sullivan, K M']","['Kalhs P', 'Schwarzinger I', 'Anderson G', 'Mori M', 'Clift RA', 'Storb R', 'Buckner CD', 'Appelbaum FR', 'Hansen JA', 'Sullivan KM']","['Fred Hutchinson Cancer Research Center, Seattle, WA 98104, USA.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,,IM,"['Abscess/epidemiology', 'Adult', 'Bacterial Infections/*epidemiology', 'Bone Marrow Transplantation/mortality/*physiology', 'Cytomegalovirus Infections/epidemiology', 'Female', 'Follow-Up Studies', 'Graft vs Host Disease/*epidemiology', 'Histocompatibility Testing', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/mortality/*surgery', 'Male', 'Mycoses/epidemiology', 'Postoperative Complications/*epidemiology', 'Probability', 'Recurrence', 'Retrospective Studies', 'Sex Characteristics', '*Splenectomy', 'Splenic Diseases/epidemiology', 'Splenomegaly/epidemiology', 'Survival Rate']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']",['S0006-4971(20)76366-4 [pii]'],ppublish,Blood. 1995 Sep 1;86(5):2028-32.,,,"['CA 15704/CA/NCI NIH HHS/United States', 'CA 18029/CA/NCI NIH HHS/United States', 'CA 18221/CA/NCI NIH HHS/United States', 'etc.']",,,,,,,,,,,
7655023,NLM,MEDLINE,19951003,20210216,0006-4971 (Print) 0006-4971 (Linking),86,5,1995 Sep 1,Leukemia inhibitory factor induces interleukin-8 and monocyte chemotactic and activating factor in human monocytes: differential regulation by interferon-gamma.,1961-7,"Leukemia inhibitory factor (LIF) is a cytokine released at the site of injuries where there is a recruitment of monocytes and polymorphonuclear cells. We analyzed the effect of LIF on human monocytes, which are a major source of chemotactic factors. We showed that supernatants of monocytes treated with LIF (50 ng/mL) for 18 hours had chemotactic activity for neutrophils and monocytes that was neutralized by anti-interleukin-8 (anti-IL-8) and anti-monocyte chemotactic and activating factor (anti-MCAF) neutralizing antibodies. Northern blot analysis showed induction of IL-8 and MCAF RNA in monocytes treated with LIF. Both IL-8 and MCAF mRNA were induced within 3 hours of stimulation. IL-8 and MCAF mRNAs expression peaked at 6 hours and 18 hours, respectively. Interferon-gamma (IFN-gamma), a potent monocyte activator, inhibited IL-8 induction by LIF. On the contrary, IFN-gamma by itself induced MCAF and did not affect the LIF-induced MCAF. These results indicate that LIF released at the site of injury by inducing IL-8 and MCAF can play an important role in recruiting leukocytes and that IFN-gamma can differentially regulate this recruitment.","['Musso, T', 'Badolato, R', 'Longo, D L', 'Gusella, G L', 'Varesio, L']","['Musso T', 'Badolato R', 'Longo DL', 'Gusella GL', 'Varesio L']","['PRI/DynCorp, NCI-FCRDC, Biological Carcinogenesis and Development Program, MD 21702-1201, USA.']",['eng'],"['Comparative Study', 'Journal Article']",United States,Blood,Blood,7603509,"['0 (Chemokine CCL2)', '0 (Chemotactic Factors)', '0 (Culture Media)', '0 (Cytokines)', '0 (Growth Inhibitors)', '0 (Interleukin-6)', '0 (Interleukin-8)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Lymphokines)', '0 (RNA, Messenger)', '0 (Recombinant Proteins)', '0 (Tumor Necrosis Factor-alpha)', '82115-62-6 (Interferon-gamma)']",IM,"['Blotting, Northern', 'Cell Communication', 'Cells, Cultured', 'Chemokine CCL2', 'Chemotactic Factors/*biosynthesis', 'Chemotaxis, Leukocyte', 'Culture Media', 'Cytokines/*biosynthesis', 'Growth Inhibitors/*pharmacology', 'Humans', 'Interferon-gamma/*pharmacology', '*Interleukin-6', 'Interleukin-8/*biosynthesis', 'Kinetics', 'Leukemia Inhibitory Factor', 'Lymphokines/*pharmacology', 'Monocytes/drug effects/*immunology/physiology', 'Neutrophils/physiology', 'RNA, Messenger/analysis/biosynthesis', 'Recombinant Proteins/pharmacology', 'Tumor Necrosis Factor-alpha/biosynthesis']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']",['S0006-4971(20)76357-3 [pii]'],ppublish,Blood. 1995 Sep 1;86(5):1961-7.,,,,,,,,,,,,,,
7655021,NLM,MEDLINE,19951003,20210216,0006-4971 (Print) 0006-4971 (Linking),86,5,1995 Sep 1,Alterations of the p27KIP1 gene in non-Hodgkin's lymphomas and adult T-cell leukemia/lymphoma.,1924-30,"The protein p27KIP1 belongs to a recently identified family of proteins termed cyclin-dependent kinase inhibitors (CDKIs). These proteins play an important role in regulating cell-cycle progression and loss of their function has been implicated in tumorigenesis. Transforming growth factor beta (TGF-beta) may induce cell growth arrest through p27 activation. TGF-beta often loses its ability to arrest growth of transformed cells; this could potentially occur through a defect in p27. To determine the role of p27 in tumorigenesis, we examined its mutational status in 74 non-Hodgkin's lymphomas (NHLs) (52 of B-cell phenotype, 22 of T-cell phenotype), 5 lymphoma cell lines, and 42 adult T-cell leukemias/lymphomas (ATLs) using polymerase chain reaction-single strand conformational polymorphism (PCR-SSCP) and Southern blot analyses. A nonsense mutation (stop codon) that could result in expression of a truncated nonfunctional p27 protein was detected at codon 76 in one case of acute lymphomatous ATL, but not in matched normal tissues. Previously undescribed polymorphisms were also identified at codon 109 in the lymphomas and at codon 55 in the ATLs. Two homozygous deletions of the p27 gene were detected in one case of B-immunoblastic NHL and in one case of acute ATL by Southern blot hybridization. These results indicate that p27 gene alterations are rare events in NHLs and ATLs, but may play an important role in the pathogenesis of some hematologic malignancies.","['Morosetti, R', 'Kawamata, N', 'Gombart, A F', 'Miller, C W', 'Hatta, Y', 'Hirama, T', 'Said, J W', 'Tomonaga, M', 'Koeffler, H P']","['Morosetti R', 'Kawamata N', 'Gombart AF', 'Miller CW', 'Hatta Y', 'Hirama T', 'Said JW', 'Tomonaga M', 'Koeffler HP']","['Department of Medicine, Cedars-Sinai Medical Center, UCLA School of Medicine 90048, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Cell Cycle Proteins)', '0 (Codon)', '0 (DNA Primers)', '0 (DNA, Neoplasm)', '0 (Enzyme Inhibitors)', '0 (Microtubule-Associated Proteins)', '0 (Tumor Suppressor Proteins)', '147604-94-2 (Cyclin-Dependent Kinase Inhibitor p27)']",IM,"['Base Sequence', 'Blotting, Southern', 'Burkitt Lymphoma/genetics', '*Cell Cycle Proteins', 'Cell Line', 'Cell Line, Transformed', 'Codon', 'Cyclin-Dependent Kinase Inhibitor p27', 'DNA Primers', 'DNA, Neoplasm/analysis', 'Enzyme Inhibitors', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/*genetics', 'Lymphoma, Non-Hodgkin/*genetics', 'Microtubule-Associated Proteins/biosynthesis/*genetics', 'Molecular Sequence Data', '*Mutation', 'Polymerase Chain Reaction', '*Polymorphism, Genetic', 'Tumor Cells, Cultured', '*Tumor Suppressor Proteins']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']",['S0006-4971(20)76352-4 [pii]'],ppublish,Blood. 1995 Sep 1;86(5):1924-30.,,,"['CA42710/CA/NCI NIH HHS/United States', 'DK42792/DK/NIDDK NIH HHS/United States']",,,,,,,,,,,
7655020,NLM,MEDLINE,19951003,20210216,0006-4971 (Print) 0006-4971 (Linking),86,5,1995 Sep 1,13q deletions in lymphoid malignancies.,1911-5,"Previous studies have indicated that a candidate tumor suppressor gene resides telomeric of the RB1 gene at 13q14, a region that is commonly deleted in B-cell chronic lymphocytic leukemia (B-CLL). In this study, we have evaluated the frequency and minimal region of overlap for 13q deletions in malignant cells from various lymphoid neoplasms. We observed losses at 13q14 in 33/75 (44%) B-CLL cases, four of 16 (25%) non-Hodgkin's lymphoma (NHL) cases, eight of 29 (28%) patients with acute lymphocytic leukemia (ALL), and one of 15 T-cell lines. In some ALL cases, inactivation of the RB1 gene is suggested as the important event in the 13q deletions. The most commonly deleted marker in CLL and NHL was D13S319, between RBkpt and the D13S25 loci. Homozygous deletions of this marker were observed in 10 of 75 B-CLL cases, in six of which the homozygous deletions included only the D13S319 locus. Our data suggest that 13q deletions are common in lymphoid neoplasms, and that deletion of a candidate tumor suppressor gene(s) in the vicinity of the D13S319 marker is a tumorigenic event in these diseases.","['Liu, Y', 'Hermanson, M', 'Grander, D', 'Merup, M', 'Wu, X', 'Heyman, M', 'Rasool, O', 'Juliusson, G', 'Gahrton, G', 'Detlofsson, R', 'Nikiforova, N', 'Buys, C', 'Soderhall, S', 'Yankovsky, N', 'Zabarovsky, E', 'Einhorn, S']","['Liu Y', 'Hermanson M', 'Grander D', 'Merup M', 'Wu X', 'Heyman M', 'Rasool O', 'Juliusson G', 'Gahrton G', 'Detlofsson R', 'Nikiforova N', 'Buys C', 'Soderhall S', 'Yankovsky N', 'Zabarovsky E', 'Einhorn S']","['Radiumhemmet, Karolinska Hospital, Stockholm, Sweden.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (DNA Primers)', '0 (DNA Probes)', '0 (DNA, Satellite)']",IM,"['Base Sequence', 'Burkitt Lymphoma/genetics', 'Cell Line', '*Chromosome Deletion', 'Chromosome Mapping', '*Chromosomes, Human, Pair 13', 'DNA Primers', 'DNA Probes', 'DNA, Satellite/genetics', 'Genetic Carrier Screening', 'Homozygote', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/genetics', 'Lymphoma, B-Cell/*genetics', 'Lymphoma, T-Cell/*genetics', 'Molecular Sequence Data', 'Polymerase Chain Reaction', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics', 'Tumor Cells, Cultured']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']",['S0006-4971(20)76350-0 [pii]'],ppublish,Blood. 1995 Sep 1;86(5):1911-5.,,,,,,,,,,,,,,
7655016,NLM,MEDLINE,19951003,20210216,0006-4971 (Print) 0006-4971 (Linking),86,5,1995 Sep 1,Acute lymphoblastic leukemias with deletion of 11q23 or a novel inversion (11)(p13q23) lack MLL gene rearrangements and have favorable clinical features.,1881-6,"Balanced translocations affecting the 11q23 region are among the most frequent chromosomal abnormalities in childhood acute lymphoblastic leukemia (ALL), comprising 5% to 6%. These cases consistently have a rearranged MLL gene and are associated with high-risk presenting features, hyperleukocytosis and younger age, and a poor treatment outcome. To assess the clinical and biologic significance of 11q23-associated structural chromosomal abnormalities other than translocations, we studied 17 cases of childhood ALL [14 with del(11)(q23) and 3 with inv(11)(p12q23)] that were identified among 785 cases with successful chromosome analysis. In contrast to reported cases with 11q23 and MLL gene rearrangement, our series was characterized by relatively low leukocyte counts (median, 15.1 x 10(9)/L), expression of CD10 antigen but not myeloid-associated CD15 and CDw65 antigens, a relatively high frequency of T-cell immunophenotypes, and a generally favorable prognosis. All 13 cases with interpretable molecular analysis lacked MLL gene rearrangements. We suggest that most cases with deletions or inversions affecting the 11q23 region represent clinically and biologically different entities as compared with those defined by 11q23 translocation.","['Raimondi, S C', 'Frestedt, J L', 'Pui, C H', 'Downing, J R', 'Head, D R', 'Kersey, J H', 'Behm, F G']","['Raimondi SC', 'Frestedt JL', 'Pui CH', 'Downing JR', 'Head DR', 'Kersey JH', 'Behm FG']","[""Department of Pathology, St Jude Children's Research Hospital, Memphis, TN 38105, USA.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (DNA-Binding Proteins)', '0 (KMT2A protein, human)', '0 (Transcription Factors)', '149025-06-9 (Myeloid-Lymphoid Leukemia Protein)', 'EC 2.1.1.43 (Histone-Lysine N-Methyltransferase)']",IM,"['Adolescent', 'Blotting, Southern', 'Bone Marrow/pathology', 'Child', 'Child, Preschool', 'Chromosome Banding', '*Chromosome Deletion', '*Chromosome Inversion', 'Chromosome Mapping', '*Chromosomes, Human, Pair 11', 'DNA-Binding Proteins/*genetics', 'Female', 'Gene Rearrangement', 'Histone-Lysine N-Methyltransferase', 'Humans', 'Infant', 'Karyotyping', 'Male', 'Myeloid-Lymphoid Leukemia Protein', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics/pathology', '*Proto-Oncogenes', 'Restriction Mapping', '*Transcription Factors', 'Translocation, Genetic', 'Zinc Fingers']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']",['S0006-4971(20)76346-9 [pii]'],ppublish,Blood. 1995 Sep 1;86(5):1881-6.,,,"['CA 20180/CA/NCI NIH HHS/United States', 'CA 21765/CA/NCI NIH HHS/United States', 'CA 49721/CA/NCI NIH HHS/United States']",['MLL'],,,,,,,,,,
