PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,IP,AB,PMC,SI,CIN,TT,GS,CON,EIN,PS,FPS
7587119,NLM,MEDLINE,19951129,20190825,0091-7451 (Print) 0091-7451 (Linking),59,1994,The AML1 gene in the 8;21 and 3;21 translocations in chronic and acute myeloid leukemia.,595-605,"['Nucifora, G', 'Rowley, J D']","['Nucifora G', 'Rowley JD']","['Department of Medicine, University of Chicago, Illinois 60637, USA.']",['eng'],"['CA-20180/CA/NCI NIH HHS/United States', 'CA-42557/CA/NCI NIH HHS/United States', 'P01-HD017449/HD/NICHD NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cold Spring Harb Symp Quant Biol,Cold Spring Harbor symposia on quantitative biology,1256107,"['0 (Core Binding Factor Alpha 2 Subunit)', '0 (DNA, Complementary)', '0 (DNA, Neoplasm)', '0 (DNA-Binding Proteins)', '0 (Neoplasm Proteins)', '0 (Proto-Oncogene Proteins)', '0 (RUNX1 Translocation Partner 1 Protein)', '0 (RUNX1 protein, human)', '0 (RUNX1T1 protein, human)', '0 (Transcription Factors)']",IM,"['Amino Acid Sequence', 'Chromosome Mapping', 'Chromosomes, Human, Pair 21', 'Chromosomes, Human, Pair 3', 'Chromosomes, Human, Pair 8', 'Cloning, Molecular', 'Core Binding Factor Alpha 2 Subunit', 'DNA, Complementary/genetics', 'DNA, Neoplasm/genetics', 'DNA-Binding Proteins/genetics', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Leukemia, Myeloid, Acute/*genetics', 'Molecular Sequence Data', 'Neoplasm Proteins/genetics', '*Oncogenes', '*Proto-Oncogene Proteins', 'RUNX1 Translocation Partner 1 Protein', 'Sequence Homology, Amino Acid', 'Transcription Factors/genetics', '*Translocation, Genetic', 'Tumor Cells, Cultured']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",['10.1101/sqb.1994.059.01.068 [doi]'],ppublish,Cold Spring Harb Symp Quant Biol. 1994;59:595-605. doi: 10.1101/sqb.1994.059.01.068.,,,,,,,,,,,,
7587117,NLM,MEDLINE,19951129,20190825,0091-7451 (Print) 0091-7451 (Linking),59,1994,Genetic approaches to defining signaling by the CML-associated tyrosine kinase BCR-ABL.,589-94,"['Afar, D E', 'Goga, A', 'Cohen, L', 'Sawyers, C L', 'McLaughlin, J', 'Mohr, R N', 'Witte, O N']","['Afar DE', 'Goga A', 'Cohen L', 'Sawyers CL', 'McLaughlin J', 'Mohr RN', 'Witte ON']","['Department of Microbiology and Molecular Genetics, University of California, Los Angeles 90024-1662, USA.']",['eng'],"['CA-01551/CA/NCI NIH HHS/United States', 'CA-53867/CA/NCI NIH HHS/United States', 'GM-07104/GM/NIGMS NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Cold Spring Harb Symp Quant Biol,Cold Spring Harbor symposia on quantitative biology,1256107,"['EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Animals', 'Fusion Proteins, bcr-abl/*genetics', 'Genes, abl', 'Genes, myc', 'Genes, ras', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Mutation', 'Protein-Tyrosine Kinases/*genetics', 'Rats', 'Signal Transduction/*genetics', 'Transformation, Genetic']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",['10.1101/sqb.1994.059.01.067 [doi]'],ppublish,Cold Spring Harb Symp Quant Biol. 1994;59:589-94. doi: 10.1101/sqb.1994.059.01.067.,49,,,,,,,,,,,
7587111,NLM,MEDLINE,19951129,20190825,0091-7451 (Print) 0091-7451 (Linking),59,1994,Acute myeloid leukemia with Inv (16) produces a chimeric transcription factor with a myosin heavy chain tail.,547-53,"['Liu, P', 'Seidel, N', 'Bodine, D', 'Speck, N', 'Tarle, S', 'Collins, F S']","['Liu P', 'Seidel N', 'Bodine D', 'Speck N', 'Tarle S', 'Collins FS']","['Laboratory of Gene Transfer, National Institutes of Health, Bethesda, Maryland 20892, USA.']",['eng'],,['Journal Article'],United States,Cold Spring Harb Symp Quant Biol,Cold Spring Harbor symposia on quantitative biology,1256107,"['0 (DNA Primers)', '0 (DNA, Complementary)', '0 (DNA, Neoplasm)', '0 (DNA-Binding Proteins)', '0 (Recombinant Fusion Proteins)', '0 (Transcription Factor AP-2)', '0 (Transcription Factors)', 'EC 3.6.4.1 (Myosin Heavy Chains)']",IM,"['3T3 Cells', 'Animals', 'Base Sequence', '*Chromosome Aberrations', 'Chromosome Mapping', '*Chromosomes, Human, Pair 16', 'Cloning, Molecular', 'DNA Primers/genetics', 'DNA, Complementary/genetics', 'DNA, Neoplasm/genetics', 'DNA-Binding Proteins/biosynthesis/*genetics', 'Enhancer Elements, Genetic', 'Humans', 'Leukemia, Myelomonocytic, Acute/*genetics/metabolism', 'Mice', 'Molecular Sequence Data', 'Myosin Heavy Chains/biosynthesis/*genetics', 'Phenotype', 'Recombinant Fusion Proteins/biosynthesis/genetics', 'Transcription Factor AP-2', 'Transcription Factors/biosynthesis/*genetics']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",['10.1101/sqb.1994.059.01.061 [doi]'],ppublish,Cold Spring Harb Symp Quant Biol. 1994;59:547-53. doi: 10.1101/sqb.1994.059.01.061.,,,,,,,,,,,,
7587062,NLM,MEDLINE,19951129,20191210,0091-7451 (Print) 0091-7451 (Linking),59,1994,"Functional analysis of the TAN-1 gene, a human homolog of Drosophila notch.",125-36,"['Aster, J', 'Pear, W', 'Hasserjian, R', 'Erba, H', 'Davi, F', 'Luo, B', 'Scott, M', 'Baltimore, D', 'Sklar, J']","['Aster J', 'Pear W', 'Hasserjian R', 'Erba H', 'Davi F', 'Luo B', 'Scott M', 'Baltimore D', 'Sklar J']","[""Department of Pathology, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts 02115, USA.""]",['eng'],,['Journal Article'],United States,Cold Spring Harb Symp Quant Biol,Cold Spring Harbor symposia on quantitative biology,1256107,"['0 (B-Cell Lymphoma 3 Protein)', '0 (BCL3 protein, human)', '0 (Bcl3 protein, mouse)', '0 (DNA, Complementary)', '0 (Ligands)', '0 (Membrane Proteins)', '0 (NOTCH1 protein, human)', '0 (Notch1 protein, mouse)', '0 (Proto-Oncogene Proteins)', '0 (Receptor, Notch1)', '0 (Receptors, Cell Surface)', '0 (Transcription Factors)']",IM,"['Animals', 'B-Cell Lymphoma 3 Protein', 'Cell Line', 'Chromosomes, Human, Pair 7', 'Chromosomes, Human, Pair 9', 'DNA, Complementary/genetics', 'Drosophila/*genetics', 'Genes, Insect', 'Hematopoietic Stem Cells/metabolism', 'Humans', 'Leukemia, T-Cell/genetics', 'Ligands', 'Membrane Proteins/*genetics/metabolism', 'Mice', 'Oncogenes', 'Proto-Oncogene Proteins/metabolism', 'Receptor, Notch1', '*Receptors, Cell Surface', 'Subcellular Fractions/metabolism', '*Transcription Factors', 'Transcriptional Activation', 'Transformation, Genetic', 'Translocation, Genetic']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",['10.1101/sqb.1994.059.01.016 [doi]'],ppublish,Cold Spring Harb Symp Quant Biol. 1994;59:125-36. doi: 10.1101/sqb.1994.059.01.016.,,,,,,,,,,,,
7586738,NLM,MEDLINE,19951228,20190821,0090-1229 (Print) 0090-1229 (Linking),77,1995 Dec,IgG autoantibody response in HTLV-I-infected patients.,282-90,"['Muller, S', 'Boire, G', 'Ossondo, M', 'Ricchiuti, V', 'Smadja, D', 'Vernant, J C', 'Ozden, S']","['Muller S', 'Boire G', 'Ossondo M', 'Ricchiuti V', 'Smadja D', 'Vernant JC', 'Ozden S']","['Institut de Biologie Moleculaire et Cellulaire, UPR 9021 Centre National de la Recherche Scientifique, Strasbourg, France.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Clin Immunol Immunopathol,Clinical immunology and immunopathology,0356637,"['0 (Antibodies, Antinuclear)', '0 (Autoantibodies)', '0 (Autoantigens)', '0 (Immunoglobulin G)', '0 (Peptides)', '0 (Ribonucleoproteins)', '63231-63-0 (RNA)']",IM,"['Adult', 'Antibodies, Antinuclear/blood/immunology', 'Autoantibodies/*blood/*immunology', 'Autoantigens/*immunology', 'Enzyme-Linked Immunosorbent Assay', 'Female', 'HTLV-I Infections/*immunology', 'HeLa Cells', 'Humans', 'Immunoglobulin G/*blood/*immunology', 'Male', 'Peptides/immunology', 'Precipitin Tests', 'RNA/immunology', 'Ribonucleoproteins/immunology']",1995/12/01 00:00,1995/12/01 00:01,['1995/12/01 00:00'],"['1995/12/01 00:00 [pubmed]', '1995/12/01 00:01 [medline]', '1995/12/01 00:00 [entrez]']","['S0090122985711543 [pii]', '10.1006/clin.1995.1154 [doi]']",ppublish,Clin Immunol Immunopathol. 1995 Dec;77(3):282-90. doi: 10.1006/clin.1995.1154.,,3,"Human T-cell leukemia virus type I (HTLV-I) is associated with a large spectrum of clinical manifestation including adult T-cell leukemia (ATL) and tropical spastic paraparesis or HTLV-I-associated myelopathy (TSP/HAM). In most cases, however, infected patients remain asymptomatic. The participation of the immune system in the pathogenesis of TSP/HAM has been suggested. In this study the IgG antibody response of HTLV-I-infected individuals has been investigated using both ELISA with a panel of nuclear and cytoplasmic proteins and peptides known to be recognized by antibodies from patients with various systemic autoimmune diseases, and immunoprecipitation of ribonucleoproteins from HeLa cell extracts. The results were compared with the reactivity of sera from individuals with non-HTLV-I-related neurological diseases and healthy blood donors. Raised levels of autoantibodies reacting with several nuclear and cytoplasmic antigens were found in TSP/HAM and ATL patients. In asymptomatic HTLV-I-seropositive individuals, both the prevalence and level of IgG antibodies were lower and directed only against a restricted set of antigens. The mechanism of induction of these antibodies still remains obscure. However, the results show that a significant autoimmune response exists in these patients and it may contribute to the pathogenesis of the disease.",,,,,,,,,
7586713,NLM,MEDLINE,19951219,20190825,0305-1870 (Print) 0305-1870 (Linking),22,1995 Aug,Regulation of neural precursor differentiation in the embryonic and adult forebrain.,559-62,"['Bartlett, P F', 'Richards, L R', 'Kilpatrick, T J', 'Talman, P S', 'Bailey, K A', 'Brooker, G J', 'Dutton, R', 'Koblar, S', 'Nurcombe, V', 'Ford, M']","['Bartlett PF', 'Richards LR', 'Kilpatrick TJ', 'Talman PS', 'Bailey KA', 'Brooker GJ', 'Dutton R', 'Koblar S', 'Nurcombe V', 'Ford M', 'et al.']","['Walter and Eliza Hall Institute of Medical Research, University of Melbourne, Parkville, Victoria, Australia.']",['eng'],,"['Journal Article', 'Review']",Australia,Clin Exp Pharmacol Physiol,Clinical and experimental pharmacology & physiology,0425076,,IM,"['Adult', 'Animals', 'Cell Differentiation/physiology', 'Female', 'Humans', 'Neurons/*physiology', 'Pregnancy', 'Prosencephalon/embryology/*growth & development/physiology']",1995/08/01 00:00,1995/08/01 00:01,['1995/08/01 00:00'],"['1995/08/01 00:00 [pubmed]', '1995/08/01 00:01 [medline]', '1995/08/01 00:00 [entrez]']",['10.1111/j.1440-1681.1995.tb02066.x [doi]'],ppublish,Clin Exp Pharmacol Physiol. 1995 Aug;22(8):559-62. doi: 10.1111/j.1440-1681.1995.tb02066.x.,21,8,"1. Precursors form the neuroepithelium of the developing cortex and also from the adult sub-ventricular zone, can be cloned in vitro after stimulation with fibroblast growth factor (FGF)-2 and have the potential to give rise to both neurons and glia. The generation of neurons from these clones can be stimulated by either a factor derived from an astrocyteprecursor line, Ast-1, or FGF-1. 2. Neuronal differentiation stimulated by FGF-1 can be inhibited by diacylglycerol-lipase inhibitor and mimicked by arachidonic acid, suggesting that the neuronal differentiation is signalled through the PCL gamma pathway. 3. The sequential expression of FGF-2 and FGF-1 within the developing forebrain neuroepithelium fits with the different functions the two FGF play in precursor regulation. 4. We have shown that the precursor response to FGF-1 is regulated by a heparan sulphate proteoglycan (HSPG) expressed within the developing neuroepithelium. Precursors restricted to the astrocyte cell lineage can be stimulated by epidermal growth factor or FGF-2; however, the differentiation into GFAP positive astrocytes appears to require a cytokine acting through the leukaemia inhibitory factor beta receptor.",,,,,,,,,
7586700,NLM,MEDLINE,19951219,20190512,0009-9104 (Print) 0009-9104 (Linking),102,1995 Nov,Functional platelet-derived growth factor-beta (PDGF-beta) receptor expressed on early B-lineage precursor cells.,417-24,"['Trink, B', 'Wang, G', 'Shahar, M', 'Meydan, N', 'Roifman, C M']","['Trink B', 'Wang G', 'Shahar M', 'Meydan N', 'Roifman CM']","['Division of Immunology/Allergy, Hospital for Sick Children, University of Toronto, Ontario, Canada.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Clin Exp Immunol,Clinical and experimental immunology,0057202,"['0 (DNA Primers)', '0 (DNA, Neoplasm)', '0 (Phosphatidylinositols)', '0 (Platelet-Derived Growth Factor)', '0 (RNA, Messenger)', '21820-51-9 (Phosphotyrosine)', 'EC 2.7.10.1 (Receptor Protein-Tyrosine Kinases)', 'EC 2.7.10.1 (Receptors, Platelet-Derived Growth Factor)', 'EC 3.1.4.- (Type C Phospholipases)', 'SY7Q814VUP (Calcium)']",IM,"['B-Lymphocytes/*cytology/metabolism', 'Base Sequence', 'Calcium/metabolism', 'Cell Cycle/drug effects', 'DNA Primers/chemistry', 'DNA, Neoplasm/biosynthesis', 'Enzyme Activation', 'Gene Expression', 'Hematopoiesis', 'Humans', 'Molecular Sequence Data', 'Phosphatidylinositols/metabolism', 'Phosphotyrosine/metabolism', 'Platelet-Derived Growth Factor/pharmacology', 'RNA, Messenger/genetics', 'Receptor Protein-Tyrosine Kinases/metabolism', 'Receptors, Platelet-Derived Growth Factor/*metabolism', 'Signal Transduction', 'Tumor Cells, Cultured', 'Type C Phospholipases/metabolism']",1995/11/01 00:00,1995/11/01 00:01,['1995/11/01 00:00'],"['1995/11/01 00:00 [pubmed]', '1995/11/01 00:01 [medline]', '1995/11/01 00:00 [entrez]']",['10.1111/j.1365-2249.1995.tb03799.x [doi]'],ppublish,Clin Exp Immunol. 1995 Nov;102(2):417-24. doi: 10.1111/j.1365-2249.1995.tb03799.x.,,2,"Growth and maturation of B lymphocytes from stem cells require a series of complex processes that are dependent at least in part on growth factors. Uncontrolled expression of receptors from these early growth factors may contribute to a leukaemogenesis of such early B cell progenitors. We show here that early pre-pre-B cells, but not mature B cells, express the PDGF receptor-beta (PDGFR-beta). These receptors contain a protein tyrosine kinase domain which is activated upon ligation with PDGF in pre-pre-B cells. Further, pre-pre-B leukaemia cells seem to express more PDGFR-beta compared with their normal counterparts, suggesting a role for these receptors in growth promotion of leukaemia cells.",PMC1553398,,,,,,,,
7586576,NLM,MEDLINE,19951219,20190706,0009-8981 (Print) 0009-8981 (Linking),238,1995 Jul 14,Demonstration of induction of erythrocyte inosine monophosphate dehydrogenase activity in Ribavirin-treated patients using a high performance liquid chromatography linked method.,169-78,"['Montero, C', 'Duley, J A', 'Fairbanks, L D', 'McBride, M B', 'Micheli, V', 'Cant, A J', 'Morgan, G']","['Montero C', 'Duley JA', 'Fairbanks LD', 'McBride MB', 'Micheli V', 'Cant AJ', 'Morgan G']","['Instituto de Investigaciones Biomedicas, Madrid, Spain.']",['eng'],,"['Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Clin Chim Acta,Clinica chimica acta; international journal of clinical chemistry,1302422,"['0 (Antimetabolites)', '49717AWG6K (Ribavirin)', 'EC 1.1.1.205 (IMP Dehydrogenase)', 'EC 2.4.2.8 (Hypoxanthine Phosphoribosyltransferase)']",IM,"['Antimetabolites/*pharmacology', 'Child', 'Chromatography, High Pressure Liquid', 'Erythrocytes/*enzymology', 'Humans', 'Hypoxanthine Phosphoribosyltransferase/deficiency', 'IMP Dehydrogenase/*biosynthesis/blood', 'Immunologic Deficiency Syndromes/blood/enzymology', 'Leukemia/blood/enzymology', 'Lymphoma/blood/enzymology', 'Purine-Pyrimidine Metabolism, Inborn Errors/diagnosis/enzymology', 'Ribavirin/*pharmacology']",1995/07/14 00:00,1995/07/14 00:01,['1995/07/14 00:00'],"['1995/07/14 00:00 [pubmed]', '1995/07/14 00:01 [medline]', '1995/07/14 00:00 [entrez]']","['000989819506088U [pii]', '10.1016/0009-8981(95)06088-u [doi]']",ppublish,Clin Chim Acta. 1995 Jul 14;238(2):169-78. doi: 10.1016/0009-8981(95)06088-u.,,2,"The activity of inosine monophosphate dehydrogenase (IMPDH: EC 1.2.1.14) was measured in erythrocyte lysates using a non-radiolabelled method linked to reversed-phase liquid chromatography (RPLC). The mean activity in erythrocytes from healthy controls using this sensitive method was extremely low (mean 85 pmol/h per mg protein, range 4-183). The elevated erythrocyte IMPDH activity reported previously in hypoxanthine-guanine phosphoribosyltransferase (HPRT) deficiency was confirmed (mean 234 pmol/h per mg protein). Erythrocyte IMPDH activity of patients with other disorders of purine metabolism, or with leukaemias and lymphomas, showed no marked difference from controls, except in one instance--an immunodeficient child with purine nucleoside phosphorylase (PNP) deficiency, treated with Ribavirin, where a 30-fold increase in activity was found (2670 pmol/h per mg protein). Investigation of erythrocyte IMPDH in other immunodeficient children with normal PNP activity demonstrated that this grossly elevated erythrocyte activity was attributable to induction of IMPDH by Ribavirin therapy.",,,,,,,,,
7586542,NLM,MEDLINE,19951214,20190722,0009-9147 (Print) 0009-9147 (Linking),41,1995 Nov,Fluorescence in situ hybridization: powerful molecular tool for cancer prognosis.,1554-9,"['Fox, J L', 'Hsu, P H', 'Legator, M S', 'Morrison, L E', 'Seelig, S A']","['Fox JL', 'Hsu PH', 'Legator MS', 'Morrison LE', 'Seelig SA']",,['eng'],,"['Journal Article', 'Review']",England,Clin Chem,Clinical chemistry,9421549,,IM,"['*Chromosome Aberrations', 'Humans', '*In Situ Hybridization, Fluorescence/methods', 'Leukemia/genetics', 'Neoplasms/*genetics', 'Prognosis', 'Trisomy']",1995/11/01 00:00,1995/11/01 00:01,['1995/11/01 00:00'],"['1995/11/01 00:00 [pubmed]', '1995/11/01 00:01 [medline]', '1995/11/01 00:00 [entrez]']",,ppublish,Clin Chem. 1995 Nov;41(11):1554-9.,11,11,"We review several aspects of fluorescence in situ hybridization (FISH) technology that demonstrate its breadth and power in detecting and monitoring genetic abnormalities associated with cancers. The clinical utility of FISH in disease management is demonstrated in several examples, including trisomy 8 detection with high specificity and sensitivity in patients with myeloid leukemias; trisomy 12 detection with higher efficiency than conventional cytogenetics in patients with chronic lymphocytic leukemia; assessment of engraftment success, chimerism, and relapse in opposite sex bone marrow transplantation; and correlation of trisomy 7 with survival time in patients with prostate tumors. Advances in FISH technology include multicolor analyses, which permit the simultaneous detection of several genetic abnormalities by using cohybridization of probes labeled with several fluorescent labels or label combinations, and comparative genomic hybridization, a relatively new method whereby a single hybridization can reveal aberrations across the entire genome.",,,,,,,,,
7586520,NLM,MEDLINE,19951214,20190722,0009-9147 (Print) 0009-9147 (Linking),41,1995 Oct,Subclass typing of IgG paraproteins by immunofixation electrophoresis.,1475-9,"['Klouche, M', 'Bradwell, A R', 'Wilhelm, D', 'Kirchner, H']","['Klouche M', 'Bradwell AR', 'Wilhelm D', 'Kirchner H']","['Institute of Immunology and Transfusion Medicine, University of Lubeck Medical School, Germany.']",['eng'],,['Journal Article'],England,Clin Chem,Clinical chemistry,9421549,"['0 (Antibodies, Monoclonal)', '0 (Immunoglobulin G)', '0 (Paraproteins)']",IM,"['Antibodies, Monoclonal/blood/classification', 'Electrophoresis/*methods', 'Female', 'Humans', 'Immunoglobulin G/blood/*classification', 'Leukemia, Lymphocytic, Chronic, B-Cell/immunology', 'Lymphoma, Non-Hodgkin/*immunology', 'Male', 'Multiple Myeloma/*immunology', 'Paraproteinemias/*immunology', 'Paraproteins/*classification/isolation & purification']",1995/10/01 00:00,1995/10/01 00:01,['1995/10/01 00:00'],"['1995/10/01 00:00 [pubmed]', '1995/10/01 00:01 [medline]', '1995/10/01 00:00 [entrez]']",,ppublish,Clin Chem. 1995 Oct;41(10):1475-9.,,10,"We present a simple method for subclass typing of IgG paraproteins, with which we have demonstrated a large number of paraproteins that were undetected by conventional immunofixation techniques. The types and distribution of IgG subclass paraproteins were analyzed in 92 human sera in which IgG paraproteins had been demonstrated. The IgG subclass paraproteins were separated by agarose gel electrophoresis rapidly and simply and then typed with the use of sheep anti-human monospecific IgG1-IgG4 antibodies. In 24 of the sera analyzed, IgG subclass typing revealed 25 additional monoclonal bands that were not detected by conventional immunofixation electrophoresis with anti-IgG antisera. Most of these belonged to a different subclass type. The overall subclass frequencies were 68% IgG1, 13% IgG2, 16% IgG3, and 3% IgG4. The distribution of paraprotein subclasses, however, was different in monoclonal gammopathies of undetermined significance in which more IgG3 was shown, whereas in non-Hodgkin lymphomas the number of IgG2 paraproteins was greater than expected; this finding may have diagnostic and prognostic significance.",,,,,,,,,
