PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,CON,CIN,GR,SI,GS,TT,RF,PMC,EIN,OID,OTO,OT,GN,RIN,IR,FIR,IRAD
7534164,NLM,MEDLINE,19950417,20171116,0268-3369 (Print) 0268-3369 (Linking),14,5,1994 Nov,Impact of liver disease and hepatitis infections on allogeneic bone marrow transplantation in Europe: a survey from the European Bone Marrow Transplantation (EBMT) Group--Infectious Diseases Working Party.,833-7,"This survey investigated allogeneic bone marrow transplantation (BMT) policy in European BMT units by questionnaire, in relation to pre-transplant liver disease. It also assessed diagnostic standards for viral hepatitis infections and their prevalence in BMT candidates. Sixty-three EBMT centers from 22 countries participated in the survey. Median pre-transplant prevalences of HBsAg and anti-HCV positivity were 3.5% (range 0-15%) and 5% (range 0-45%), respectively. Forty-six (73%) centers adopt the policy of cancelling or postponing BMT in patients with ALT abnormalities but in four of these centers, BMT is not delayed when progressive disease or acute leukemia is present. In 17 institutions (27%) BMT was reported to be carried out irrespective of transaminase values. Data on fatal post-BMT liver disease were provided by 45 centers. The overall mortality rate for liver failure was 4.5% (258 of 5788) with no differences between centers performing or not performing BMT in cases of ALT elevation. These results indicate that there is strong concern in most European BMT units about performing BMT in the presence of ALT elevation and prospective studies on its real impact on fatal post-BMT liver disease should be conducted.","['Locasciulli, A', 'Alberti, A', 'de Bock, R', 'Cordonnier, C', 'Einsele, H', 'Engelhard, D', 'Grundy, J', 'Reusser, P', 'Ribaud, P', 'Ljungman, P']","['Locasciulli A', 'Alberti A', 'de Bock R', 'Cordonnier C', 'Einsele H', 'Engelhard D', 'Grundy J', 'Reusser P', 'Ribaud P', 'Ljungman P']","['Clinica Pediatrica, Universita di Milano, Italy.']",['eng'],"['Journal Article', 'Multicenter Study', ""Research Support, Non-U.S. Gov't""]",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,"['0 (Biomarkers)', '0 (Hepatitis Antibodies)', '0 (Hepatitis B Surface Antigens)', '0 (Hepatitis C Antibodies)', 'EC 2.6.1.2 (Alanine Transaminase)']",IM,"['Alanine Transaminase/blood', 'Biomarkers', 'Bone Marrow Transplantation/*adverse effects/mortality', 'Contraindications', 'Europe/epidemiology', 'Hepatitis Antibodies/blood', 'Hepatitis B/complications/diagnosis/mortality', 'Hepatitis B Surface Antigens/blood', 'Hepatitis C/complications/diagnosis/mortality', 'Hepatitis C Antibodies', 'Hepatitis, Viral, Human/*complications/diagnosis/mortality', 'Humans', 'Liver Diseases/*complications/mortality', 'Patient Selection', 'Surveys and Questionnaires', 'Tissue Donors', 'Transplantation, Homologous']",1994/11/01 00:00,1994/11/01 00:01,['1994/11/01 00:00'],"['1994/11/01 00:00 [pubmed]', '1994/11/01 00:01 [medline]', '1994/11/01 00:00 [entrez]']",ppublish,Bone Marrow Transplant. 1994 Nov;14(5):833-7.,,,,,,,,,,,,,,,,,,
7534162,NLM,MEDLINE,19950417,20071115,0268-3369 (Print) 0268-3369 (Linking),14,5,1994 Nov,Treatment of poor marrow graft function with allogeneic CD34+ cells immunoselected from G-CSF-mobilized peripheral blood progenitor cells of the marrow donor.,791-7,"The treatment effect of immunoselected allogeneic CD34+ blood cells was evaluated in two patients with poor graft function following BMT without evidence for immune-mediated rejection. Patient A had no signs of hematopoietic recovery up to day +34 post-BMT and patient B had normal leukocyte counts only with G-CSF support and remained platelet transfusion-dependent for > 200 days post-BMT. PBPC from the HLA-identical sibling BM donors were mobilized with G-CSF (2 x 5 micrograms/kg sc daily) for 5 days. Aphereses were performed on days 4 and 5 of G-CSF administration. CD34+ cells were separated from the pooled PBPC concentrates by immunoadsorption with the anti-CD34 moAb 12.8 in a biotin-avidin system. Patient A received 0.4 x 10(6) CD34+ and 4.3 x 10(5) CD3+ cells/kg body weight and patient B 3.4 x 10(6) CD34+ and 1.4 x 10(5) CD3+ cells/kg body weight. The trilineage repopulation of BM and the rapid improvement of peripheral blood parameters correlated with CD34+ cell infusion. Patients' blood and BM cell analyses proved the donor origin. Patient A died from CMV pneumonitis and multiorgan failure 27 days after CD34+ cell infusion (day +61 post-BMT). Patient B is still stable and in remission 260 days after CD34+ cell infusion (day +478 post-BMT). Neither patient suffered further exacerbation of GVHD). Thus, immunoselected allogeneic CD34+ blood cells might be appropriate for treatment of post-BMT graft failure.","['Arseniev, L', 'Tischler, H J', 'Battmer, K', 'Sudmeier, I', 'Casper, J', 'Link, H']","['Arseniev L', 'Tischler HJ', 'Battmer K', 'Sudmeier I', 'Casper J', 'Link H']","['Department of Hematology and Oncology, Medizinische Hochschule Hannover, Germany.']",['eng'],"['Case Reports', 'Journal Article']",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,"['0 (Antigens, CD)', '0 (Antigens, CD34)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)']",IM,"['Adult', 'Antigens, CD/*metabolism', 'Antigens, CD34', 'Blood Cell Count', 'Bone Marrow Transplantation/*adverse effects/immunology/physiology', 'Colony-Forming Units Assay', 'Female', 'Granulocyte Colony-Stimulating Factor/*pharmacology', 'Hematopoiesis/drug effects', 'Hematopoietic Stem Cell Transplantation/*methods', 'Hematopoietic Stem Cells/*drug effects/*immunology', 'Humans', 'Male', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma/blood/pathology/therapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood/pathology/therapy', 'Time Factors', 'Tissue Donors', 'Transplantation, Homologous']",1994/11/01 00:00,1994/11/01 00:01,['1994/11/01 00:00'],"['1994/11/01 00:00 [pubmed]', '1994/11/01 00:01 [medline]', '1994/11/01 00:00 [entrez]']",ppublish,Bone Marrow Transplant. 1994 Nov;14(5):791-7.,,,,,,,,,,,,,,,,,,
7534160,NLM,MEDLINE,19950417,20071115,0268-3369 (Print) 0268-3369 (Linking),14,5,1994 Nov,'Fetal' erythropoiesis following bone marrow transplantation as estimated by the number of F cells in the peripheral blood.,737-40,"The aim of this study was to define factor(s) influencing fetal erythropoiesis following bone marrow transplantation. Thirty-one transplanted patients (14 males, 17 females) were studied. The underlying diseases were chronic myelogenous leukaemia (CML, 18 patients), acute myeloblastic leukaemia (AML, 7 patients) and acute lymphoblastic leukaemia (ALL, 6 patients). Reticulocyte and peripheral F cell estimation was carried out in donors and patients before transplantation and repeatedly during recovery. For F cell estimation, an indirect immunofluorescence assay was utilized. A significant increase above pre-BMT values in the percentage of F cells was observed in all patients from days 11 to 40 after transplantation. The increase of F cells on days 15, 18, 25, 32, 40 and 50 after transplantation was statistically significant in 14 patients who had shown an increase of F cells following chemotherapy (high responders) compared with the remaining 17 patients who did not respond so significantly. This finding supports the influence of the host bone marrow micro environment. The nature of the mechanisms operating remains to determined.","['Meletis, J', 'Papavasiliou, S', 'Yataganas, X', 'Vavourakis, S', 'Konstantopoulos, K', 'Poziopoulos, C', 'Samarkos, M', 'Michali, E', 'Dalekou, M', 'Eliopoulos, G']","['Meletis J', 'Papavasiliou S', 'Yataganas X', 'Vavourakis S', 'Konstantopoulos K', 'Poziopoulos C', 'Samarkos M', 'Michali E', 'Dalekou M', 'Eliopoulos G', 'et al.']","['First Department of Internal Medicine, University of Athens School of Medicine, Greece.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,['9034-63-3 (Fetal Hemoglobin)'],IM,"['Adolescent', 'Adult', 'Bone Marrow Transplantation/*pathology/*physiology', 'Child', 'Child, Preschool', 'Erythrocyte Count', '*Erythropoiesis', 'Female', 'Fetal Blood/*cytology/*metabolism', 'Fetal Hemoglobin/*metabolism', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/blood/therapy', 'Leukemia, Myeloid, Acute/blood/therapy', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood/therapy', 'Time Factors']",1994/11/01 00:00,1994/11/01 00:01,['1994/11/01 00:00'],"['1994/11/01 00:00 [pubmed]', '1994/11/01 00:01 [medline]', '1994/11/01 00:00 [entrez]']",ppublish,Bone Marrow Transplant. 1994 Nov;14(5):737-40.,,,,,,,,,,,,,,,,,,
7534143,NLM,MEDLINE,19950414,20210216,0006-4971 (Print) 0006-4971 (Linking),85,6,1995 Mar 15,Granulocyte colony-stimulating factor-mobilized allogeneic peripheral blood stem cells for rescue graft failure after allogeneic bone marrow transplantation in two patients with acute myeloblastic leukemia in first complete remission.,1678-9,,"['Molina, L', 'Chabannon, C', 'Viret, F', 'Moine, A', 'Leger, J', 'Nicolini, F', 'Hollard, D', 'Sotto, J J']","['Molina L', 'Chabannon C', 'Viret F', 'Moine A', 'Leger J', 'Nicolini F', 'Hollard D', 'Sotto JJ']",,['eng'],"['Case Reports', 'Letter']",United States,Blood,Blood,7603509,['143011-72-7 (Granulocyte Colony-Stimulating Factor)'],IM,"['Adult', '*Bone Marrow Transplantation', 'Graft vs Host Disease/etiology', 'Granulocyte Colony-Stimulating Factor/*pharmacology', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Leukemia, Myeloid, Acute/*therapy', 'Male', 'Transplantation, Homologous']",1995/03/15 00:00,1995/03/15 00:01,['1995/03/15 00:00'],"['1995/03/15 00:00 [pubmed]', '1995/03/15 00:01 [medline]', '1995/03/15 00:00 [entrez]']",ppublish,Blood. 1995 Mar 15;85(6):1678-9.,['S0006-4971(20)68787-0 [pii]'],,,,,,,,,,,,,,,,,
7534142,NLM,MEDLINE,19950414,20210216,0006-4971 (Print) 0006-4971 (Linking),85,6,1995 Mar 15,"Differential diagnosis of CD3+, CD56+ T-cell leukemias.",1675-6,,"['Kingma, D W', 'Raffeld, M', 'Jaffe, E S']","['Kingma DW', 'Raffeld M', 'Jaffe ES']",,['eng'],"['Letter', 'Comment']",United States,Blood,Blood,7603509,"['0 (Antigens, CD)', '0 (Antigens, Differentiation, T-Lymphocyte)', '0 (CD3 Complex)', '0 (CD56 Antigen)', '0 (Receptors, Antigen, T-Cell, gamma-delta)', '0 (S100 Proteins)']",IM,"['Antigens, CD/*analysis', 'Antigens, Differentiation, T-Lymphocyte/*analysis', 'CD3 Complex/*analysis', 'CD56 Antigen', 'Diagnosis, Differential', 'Humans', 'Leukemia, T-Cell/*diagnosis', 'Receptors, Antigen, T-Cell, gamma-delta/analysis', 'S100 Proteins/analysis']",1995/03/15 00:00,1995/03/15 00:01,['1995/03/15 00:00'],"['1995/03/15 00:00 [pubmed]', '1995/03/15 00:01 [medline]', '1995/03/15 00:00 [entrez]']",ppublish,Blood. 1995 Mar 15;85(6):1675-6.,['S0006-4971(20)68784-5 [pii]'],['Blood. 1994 Oct 1;84(7):2315-21. PMID: 7522625'],,,,,,,,,,,,,,,,
7534141,NLM,MEDLINE,19950414,20210216,0006-4971 (Print) 0006-4971 (Linking),85,6,1995 Mar 15,Primary transplantation of allogeneic peripheral blood progenitor cells mobilized by filgrastim (granulocyte colony-stimulating factor),1666-72,"Transplantation of allogeneic peripheral blood progenitor cells (PBPCs) may have advantages over bone marrow transplantation (BMT) with regards to the speed of hematopoietic and immunologic recovery, which may then shorten the time spent in hospital and decrease costs. The recipient might also profit by an enhanced graft-versus-leukemia reaction exerted by the high number of natural killer cells contained in such grafts. The donor could be spared the discomfort and risks of general anesthesia and marrow harvesting. Primary transplantation of unmanipulated allogeneic PBPCs has not been reported so far because the vast amount of T cells contained in the collection product was thought to cause severe graft-versus-host disease. We present preliminary data on primary transplantation of allogeneic PBPCs in patients who either suffered from advanced leukemia or had a donor unable to undergo general anesthesia. Eight patients with a median age of 42 years suffering from acute myelogenous leukemia (AML) in first remission (n = 3), AML in third remission, AML in relapse (n = 2), acute lymphoblastic leukemia in second remission, or chronic myelogenous leukemia in accelerated phase received myeloablative therapy followed by transplantation of unmanipulated allogeneic PBPCs mobilized with granulocyte colony-stimulating factor (5 to 10 micrograms/kg of body weight of filgrastim administered for 5 to 6 days) in their HLA-identical donors. Hematopoietic reconstitution was achieved in all patients with a median of 15.5 (16.5) days after transplant needed to surpass an absolute neutrophil count of 0.5 (1.0) x 10(9)/L. The median time to an unsupported platelet count greater than 20 (> 50) x 10(9)/L was 19.5 (41) days after grafting. Three patients did not exhibit signs of acute graft-versus-host disease (GVHD), grade I disease was seen in one patient, and three patients experienced grade II disease limited to the skin. The only patient with severe acute GVHD (grade III) refused to take his oral cyclosporin regularly and had ineffective serum levels for most of the time until relapse. Six of eight patients are currently alive without evidence of disease between 61 and 533 days after grafting; two patients grafted for AML in relapse achieved a complete remission after transplantation but relapsed again and died of leukemia on days +48 and +70, respectively. Primary transplantation of unmanipulated allogeneic PBPCs is feasible and results in long-term engraftment without causing detrimental GVHD.","['Schmitz, N', 'Dreger, P', 'Suttorp, M', 'Rohwedder, E B', 'Haferlach, T', 'Loffler, H', 'Hunter, A', 'Russell, N H']","['Schmitz N', 'Dreger P', 'Suttorp M', 'Rohwedder EB', 'Haferlach T', 'Loffler H', 'Hunter A', 'Russell NH']","['Department of Internal Medicine II, University of Kiel, Germany.']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,['143011-72-7 (Granulocyte Colony-Stimulating Factor)'],IM,"['Adolescent', 'Adult', 'Aged', 'Female', 'Graft vs Host Disease/etiology', 'Granulocyte Colony-Stimulating Factor/*pharmacology', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Leukapheresis', 'Leukemia/*therapy', 'Male', 'Middle Aged', 'Transplantation, Homologous']",1995/03/15 00:00,1995/03/15 00:01,['1995/03/15 00:00'],"['1995/03/15 00:00 [pubmed]', '1995/03/15 00:01 [medline]', '1995/03/15 00:00 [entrez]']",ppublish,Blood. 1995 Mar 15;85(6):1666-72.,['S0006-4971(20)68781-X [pii]'],,['Blood. 1995 Jul 15;86(2):836-7. PMID: 7606019'],,,,,,,,,,,,,,,
7534137,NLM,MEDLINE,19950414,20210216,0006-4971 (Print) 0006-4971 (Linking),85,6,1995 Mar 15,Identification of soluble APO-1 in supernatants of human B- and T-cell lines and increased serum levels in B- and T-cell leukemias.,1562-9,"The cell-surface protein APO-1 is a member of the nerve growth factor (NGF)/tumor necrosis factor (TNF) receptor superfamily. APO-1 mediates apoptosis in susceptible cells upon stimulation with the monoclonal antibody anti-APO-1 or upon binding of its natural ligand. Soluble receptors had previously been identified for most members of the NGF/TNF receptor superfamily. Recently, a soluble form of APO-1 (sAPO-1) was described. We established a sandwich enzyme-linked immunosorbent assay to detect sAPO-1 in culture supernatants of human cell lines and in human sera. sAPO-1 was found in culture supernatants of different human B- and T-cell lines. Molecular weights of sAPO-1 and membrane APO-1 were similar. In addition, in comparison to healthy donors, sera from patients with different high- and low-grade malignant B- and T-cell leukemias and lymphomas contained increased levels of sAPO-1. These findings may have implications for the growth of leukemias and the diagnostic monitoring of individual patients.","['Knipping, E', 'Debatin, K M', 'Stricker, K', 'Heilig, B', 'Eder, A', 'Krammer, P H']","['Knipping E', 'Debatin KM', 'Stricker K', 'Heilig B', 'Eder A', 'Krammer PH']","['Tumorimmunology Program, German Cancer Research Center, Heidelberg.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Antigens, Surface)', '0 (fas Receptor)']",IM,"['Animals', 'Antigens, Surface/*blood', 'B-Lymphocytes/*chemistry', 'Cell Line', 'Enzyme-Linked Immunosorbent Assay', 'Humans', 'Leukemia, B-Cell/*blood', 'Leukemia, T-Cell/*blood', 'Male', 'Rabbits', 'T-Lymphocytes/*chemistry', 'fas Receptor']",1995/03/15 00:00,1995/03/15 00:01,['1995/03/15 00:00'],"['1995/03/15 00:00 [pubmed]', '1995/03/15 00:01 [medline]', '1995/03/15 00:00 [entrez]']",ppublish,Blood. 1995 Mar 15;85(6):1562-9.,['S0006-4971(20)68767-5 [pii]'],,,,,,,,,,,,,,,,,
7534136,NLM,MEDLINE,19950414,20210216,0006-4971 (Print) 0006-4971 (Linking),85,6,1995 Mar 15,Recognition of human T-leukemia virus (HTLV-1) envelope by human CD4+ T-cell lines from HTLV-1 seronegative individuals: specificity and clonal heterogeneity.,1547-54,"Because T-helper cells are critical for immune responses in retroviral infections, CD4+ T-cell lines specific for the human T-leukemia virus type 1 (HTLV-1) envelope have been generated from peripheral T lymphocytes of nonimmune donors to study their naive repertoire. Recombinant fragments (RE1, amino acids [aa] 26-200; RE3, aa 165-307; RE5, aa 308-401; and RE6, aa 165-401) of HTLV-1 envelope, whole envelope glycoprotein, and synthetic peptides were used to induce T-cell lines. CD4+ T-cell lines specific for one or more fragments were obtained from seven of eight individuals tested. T-cell lines generated against envelope glycoprotein from five of five donors did not cross-react with the RE fragments and vice versa. The lines specific for RE and env were mapped with overlapping peptides. The lines with single peptide (narrow) specificity contained a variety of clones that used different T-cell receptor V beta genes. These data (1) suggest that most of the normal individuals carry T-helper precursors specific for epitopes on HTLV-1 envelope; (2) indicate that heterogeneity of HTLV-1 envelope-specific T cells can be detected in the naive repertoire; and (3) define optimal antigenic preparations to be used to assess cellular immunity in HTLV-1-infected individuals.","['Manca, F', 'Li Pira, G', 'Fenoglio, D', 'Valle, M T', 'Kunkl, A', 'Ferraris, A', 'Lancia, F', 'Saverino, D', 'Mortara, L', 'Balderas, R']","['Manca F', 'Li Pira G', 'Fenoglio D', 'Valle MT', 'Kunkl A', 'Ferraris A', 'Lancia F', 'Saverino D', 'Mortara L', 'Balderas R', 'et al.']","['Department of Immunology, San Martino Hospital, University of Genoa, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Epitopes)', '0 (Peptide Fragments)', '0 (Receptors, Antigen, T-Cell, alpha-beta)', '0 (Recombinant Proteins)', '0 (Viral Envelope Proteins)']",IM,"['CD4-Positive T-Lymphocytes/*immunology', 'Cell Line', 'Epitopes', 'Hematopoietic Stem Cells/immunology', 'Human T-lymphotropic virus 1/*immunology', 'Humans', 'Peptide Fragments/immunology', 'Receptors, Antigen, T-Cell, alpha-beta/genetics', 'Recombinant Proteins/immunology', 'Viral Envelope Proteins/*immunology']",1995/03/15 00:00,1995/03/15 00:01,['1995/03/15 00:00'],"['1995/03/15 00:00 [pubmed]', '1995/03/15 00:01 [medline]', '1995/03/15 00:00 [entrez]']",ppublish,Blood. 1995 Mar 15;85(6):1547-54.,['S0006-4971(20)68765-1 [pii]'],,,,,,,,,,,,,,,,,
7534114,NLM,MEDLINE,19950420,20191023,1045-2257 (Print) 1045-2257 (Linking),12,1,1995 Jan,Identification of cytogenetically undetected 12p13 translocations and associated deletions with fluorescence in situ hybridization.,66-9,"We performed fluorescence in situ hybridization (FISH) on bone marrow or peripheral blood cells thought to contain a del(12p) or an unbalanced 12p11-12 translocation from 17 patients who had various hematologic malignant diseases. We used 11 cosmid, phage, and plasmid probes which we had previously ordered on 12p. Cells from three patients with myeloid disorders were shown to have 12p13 translocations that involved chromosome 2 in two of them. Moreover, in all patients, FISH showed that the translocations were associated with proximal interstitial deletions which contributed to the difficulty in identifying these translocations. Our data suggest that some rearrangements of 12p which have been described previously as deletions or unbalanced translocations may, in fact, represent 12p13 translocations accompanied by an interstitial deletion.","['Kobayashi, H', 'Rowley, J D']","['Kobayashi H', 'Rowley JD']","['Department of Medicine, University of Chicago, Illinois 60637-1470.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Genes Chromosomes Cancer,"Genes, chromosomes & cancer",9007329,,IM,"['Acute Disease', 'Aged', 'Aged, 80 and over', 'Anemia, Refractory, with Excess of Blasts/genetics', '*Chromosomes, Human, Pair 12', 'Female', '*Gene Deletion', 'Humans', 'In Situ Hybridization, Fluorescence', 'Karyotyping', 'Leukemia, Myeloid/genetics', 'Male', '*Translocation, Genetic']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",ppublish,Genes Chromosomes Cancer. 1995 Jan;12(1):66-9. doi: 10.1002/gcc.2870120112.,['10.1002/gcc.2870120112 [doi]'],,,['CA42577/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,
7534112,NLM,MEDLINE,19950420,20191023,1045-2257 (Print) 1045-2257 (Linking),12,1,1995 Jan,Inversion-associated translocations in acute myelomonocytic leukemia with eosinophilia.,58-62,Cytogenetic studies of three acute myelomonocytic leukemias with bone marrow eosinophilia (M4EO) revealed chromosome 16 inversion associated with additional abnormalities. The inverted chromosome 16 was involved in two patients. Fluorescence in situ hybridization (FISH) experiments with a YAC probe detecting inv(16) showed that the translocation breakpoints involving chromosome 16 did not implicate the inversion breakpoints. FISH can thus distinguish between true variant translocations and translocations with other breakpoints on chromosome 16 in M4EO.,"['Berger, R', 'Derre, J', 'Le Coniat, M', 'Hebert, J', 'Romana, P S', 'Jonveaux, P']","['Berger R', 'Derre J', 'Le Coniat M', 'Hebert J', 'Romana PS', 'Jonveaux P']","['Unite INSERM U 301, Montreal, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Genes Chromosomes Cancer,"Genes, chromosomes & cancer",9007329,,IM,"['Adult', '*Chromosome Inversion', '*Chromosomes, Human, Pair 16', 'Eosinophilia/*complications/genetics', 'Female', 'Humans', 'In Situ Hybridization, Fluorescence', 'Karyotyping', 'Leukemia, Myelomonocytic, Acute/complications/*genetics', 'Male', '*Translocation, Genetic']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",ppublish,Genes Chromosomes Cancer. 1995 Jan;12(1):58-62. doi: 10.1002/gcc.2870120110.,['10.1002/gcc.2870120110 [doi]'],,,"['3M01 RR01271-13S1/RR/NCRR NIH HHS/United States', 'CA 13539/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,
