PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,IP,TT,GR,PMC,CON,SI,CIN,GS,OID,OTO,OT,GN,EIN,LID,PS,FPS
7496351,NLM,MEDLINE,19960117,20190116,1042-8194 (Print) 1026-8022 (Linking),18 Suppl 1,1995,CD34+ leukemic cells assessed by different CD34 monoclonal antibodies.,25-30,"CD34 monoclonal antibodies (McAbs) are widely used to identify and isolate hemopoietic progenitors and to classify acute and chronic leukemias. We assessed the reactivity of 17 CD34 McAbs from the 5th International Workshop on Leukocyte Differentiation Antigens with a variety of cells types: normal bone marrow hemopoietic progenitors, 10 AML, 6 ALL, 11 CML. The reactivity for these McAbs was compared with that of reference CD34 McAbs (Q-Bend 10 and 8G12). For each cell population the % of McAb binding cells, the peak channel and the mean fluorescence intensity (MFI) of the positive cells was evaluated. The peak channel, the MFI and the number of positive cells varied significantly from case to case, depending on the McAb and the type of leukemia. According to the spectrum of reactivity three groups of McAbs were defined; however, 7 McAbs do not belong to any of these subgroups. These groups were not entirely in accordance with McAb classification based on enzyme cleavage that identified three epitopes of the CD34 molecule. Some reagents were found to be more specific for AML, other for ALL, CML or normal CD34+ cells. Normal bone marrow light density cells showed a significantly higher percentage of positive cells for 43A1 and MD34.2 McAbs compared to that documented for the remaining McAbs. AML cells showed the most variable pattern of expression for the CD34 McAbs. In leukemic samples, MESF (molecular equivalents of soluble fluorochrome) values ranged from 18,200 to 322,000 and the number of binding sites per cells was 5,000-81,000.(ABSTRACT TRUNCATED AT 250 WORDS)","['Lanza, F', 'Moretti, S', 'Castagnari, B', 'Latorraca, A', 'Rigolin, G M', 'Bardi, A', 'Castoldi, G']","['Lanza F', 'Moretti S', 'Castagnari B', 'Latorraca A', 'Rigolin GM', 'Bardi A', 'Castoldi G']","['Institute of Hematology, University of Ferrara, Italy.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD34)']",IM,"['Antibodies, Monoclonal/*immunology', 'Antibody Specificity', 'Antigens, CD34/*analysis', 'Humans', 'Immunophenotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*immunology/pathology', 'Leukemia, Myeloid, Acute/*immunology/pathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*immunology/pathology']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",['10.3109/10428199509075299 [doi]'],ppublish,Leuk Lymphoma. 1995;18 Suppl 1:25-30. doi: 10.3109/10428199509075299.,,,,,,,,,,,,,,,,,
7496350,NLM,MEDLINE,19960117,20190116,1042-8194 (Print) 1026-8022 (Linking),18 Suppl 1,1995,Cytogenetics of hybrid acute leukemias.,19-23,"Although the recognition of hybrid acute leukemia (HAL) is still controversial, several reports have described cytogenetic findings in these leukemias over the last 3 years. A distinct chromosomal profile appears to be associated with different immunologic subsets of HAL. The classical t(15;17), and inv(16) as well as abnormalities of the long arm of chromosome 5 and/or 7 are preferentially associated with acute myeloid leukemia (AML) with T-cell features; the t(8;21)(q22;q22), the Ph chromosome, and 11q23 rearrangements are more frequently found in AML with B-cell features; the Ph chromosome, t11q23 and 14q32 breaks without rearrangements of the immunoglobulin heavy chain gene may be associated with acute lymphoblastic leukemia (ALL) with myeloid markers. In addition, some chromosome aberrations may be encountered more frequently in acute leukemia with major phenotype deviations than in unselected cases of acute leukemia: namely the Ph chromosome, 11q23 rearrangements, and +13. These chromosome changes appear to be associated with a low complete remission (CR) rate. An association has been documented in some patients with ALL between the presence of the t(9;22) and a minor myeloid component consisting of 5-15% blast cells with myelomonocytic features, raising the possibility that a diagnosis of bilineal acute leukemia would be more appropriate in such cases. These patients appear to have a severe outcome with significantly lower CR rate than similar cases of Ph-positive ALL without a minor myeloid component.(ABSTRACT TRUNCATED AT 250 WORDS)","['Cuneo, A', 'Boogaerts, M', 'Ferrant, A', 'Michaux, J L', 'Bosly, A', 'Louwagie, A', 'Van den Berghe, H', 'Balsamo, R', 'Roberti, G', 'Bardi, A']","['Cuneo A', 'Boogaerts M', 'Ferrant A', 'Michaux JL', 'Bosly A', 'Louwagie A', 'Van den Berghe H', 'Balsamo R', 'Roberti G', 'Bardi A', 'et al.']","['Institute of Hematology, University of Ferrara, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,,IM,"['Acute Disease', 'Chromosome Aberrations/*pathology', 'Chromosome Disorders', 'Humans', 'Immunophenotyping', 'Leukemia/diagnosis/genetics/*pathology', 'Phenotype', 'Prognosis', 'Translocation, Genetic']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",['10.3109/10428199509075298 [doi]'],ppublish,Leuk Lymphoma. 1995;18 Suppl 1:19-23. doi: 10.3109/10428199509075298.,,,,,,,,,,,,,,,,,
7496349,NLM,MEDLINE,19960117,20190116,1042-8194 (Print) 1026-8022 (Linking),18 Suppl 1,1995,Immunological definition of acute minimally differentiated myeloid leukemia (MO) and acute undifferentiated leukemia (AUL).,13-7,"Immunophenotyping has become an important tool in the diagnosis of acute leukemia for several reasons. Indeed the use of a standardized panel of monoclonal antibodies (MoAb) to B and T cells, and myeloid cells, as well as non lineage restricted antigens, permits allocation of more than 98% of acute leukemia to their respective lineage. In ALL, immunophenotyping has established a basis for precise and biologically oriented classification of the disease which may be of prognostic importance. In AML immunological markers are particularly important for identification of acute leukemia with minimal myeloid, erythroblastic or megakaryoblastic differentiation. Immunological markers also allow the identification of acute leukemias with minimal or aberrant marker expression, acute biphenotypic leukemia in which single cells coexpress different lineage associated markers and acute bilineage leukemia where there are two separate blast cell populations (usually lymphoid and myeloid). There is sometimes confusion in the literature about the definition of acute unclassifiable and acute undifferentiated leukemia. This is mainly due to misinterpretation of phenotypic data or to the lack of relevant lineage specific markers in these studies, especially for the detection of cytoplasmic antigens. Indeed, it is important to stress that in hematopoietic precursors, antigens detected by monoclonal antibodies first appear in the cytoplasm during early differentiation and are only expressed on the membrane later. This has been demonstrated not only for the T lineage (Cy CD3), the B lineage (CyCD22) but also for the myeloid lineage (CyCD13).(ABSTRACT TRUNCATED AT 250 WORDS)","['Bernier, M', 'Massy, M', 'Deleeuw, N', 'Bron, D', 'Debusscher, L', 'Stryckmans, P']","['Bernier M', 'Massy M', 'Deleeuw N', 'Bron D', 'Debusscher L', 'Stryckmans P']","[""Service de Medecine et Laboratoire D'Investigation Clinique H.J. Tagnon, Institut Jules Bordet, Centre Des Tumeurs de L'Universite Libre de Bruxelles, Belgium.""]",['eng'],['Journal Article'],United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Antigens, CD)']",IM,"['Acute Disease', 'Antigens, CD/analysis', 'Cell Differentiation', 'Cells, Cultured', 'Diagnosis, Differential', 'Humans', 'Immunophenotyping', 'Leukemia/diagnosis/immunology/*pathology', 'Leukemia, Myeloid/diagnosis/immunology/*pathology']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",['10.3109/10428199509075297 [doi]'],ppublish,Leuk Lymphoma. 1995;18 Suppl 1:13-7. doi: 10.3109/10428199509075297.,,,,,,,,,,,,,,,,,
7496348,NLM,MEDLINE,19960117,20190116,1042-8194 (Print) 1026-8022 (Linking),18 Suppl 1,1995,"Proceedings of the 3rd GIMEMA Conference on Recent Advances in the Cytobiology of Acute Leukemias. Bari, Italy, 13-14 May 1994.",1-80,,,,,['eng'],"['Congress', 'Overall']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,,IM,"['Acute Disease', 'Cytogenetics', 'Humans', 'Leukemia/classification/*pathology']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",,ppublish,Leuk Lymphoma. 1995;18 Suppl 1:1-80.,,,,,,,,,,,,,,,,,
7496347,NLM,MEDLINE,19960117,20190116,1042-8194 (Print) 1026-8022 (Linking),18 Suppl 1,1995,Recommended procedures for the classification of acute leukaemias.,1-12,"The classification of acute leukaemias is now widely based on a combined morphological, cytochemical and immunophenotyping approach. Difficulties are frequently encountered however in reaching an acceptable degree of diagnostic concordance between different laboratories because of variations in the techniques used (in terms of methodologies, reagents and equipment) and diagnostic interpretation. The International Council for Standardization in Haematology (ICSH) convened an expert panel to consider currently available diagnostic techniques with the aim of defining a minimum cytochemical and immunological diagnostic panel that could be used as core components for the classification of acute leukaemia. The proposed ICSH scheme, which attempts to balance the basic requirement for providing precise and informative diagnostic information without limiting its use to only those laboratories with sophisticated facilities, is based on three sequential levels of investigation; primary cytochemistry, intracellular phenotyping and membrane immunophenotyping. The minimum ICSH recommended cytochemistries comprise myeloperoxidase (MPO), chloroacetate esterase (ChlorE) and alpha-naphthyl acetate esterase (ANAE), and standardised methods for these cytochemistries are detailed in this communication. For cases of acute leukaemia that remain unclassified by primary cytochemistry, subsequent immunological analyses for cytoplasmic CD3, CD22, MPO and nuclear TdT are recommended. The ICSH panel considers that the use of these minimum primary cytochemical and intracellular phenotyping procedures will lead to the consistent classification of most acute leukaemias, and that the third level of investigation (membrane immunophenotyping) should be used for the purposes of confirmation, diagnostic clarification of atypical leukaemias, and the subtyping of acute lymphoblastic leukaemias (ALL). The ICSH panel also recognised that there are a number of additional technologies which can provide definitive diagnostic information, such as cytogenetics and DNA genotyping, but these were excluded from the minimum panel because of their restricted availability. While many specialised laboratories, particularly in the areas of diagnostic research, will continue to use individual investigatory protocols, it is considered that the inclusion of the ICSH scheme as core components would lead to greater consistency when comparing independent studies of acute leukaemia.","['Scott, C S', 'Den Ottolander, G J', 'Swirsky, D', 'Pangalis, G A', 'Vives Corrons, J L', 'De Pasquale, A', 'Van Hove, L', 'Bennett, J M', 'Namba, K', 'Flandrin, G']","['Scott CS', 'Den Ottolander GJ', 'Swirsky D', 'Pangalis GA', 'Vives Corrons JL', 'De Pasquale A', 'Van Hove L', 'Bennett JM', 'Namba K', 'Flandrin G', 'et al.']","['Haematological Malignancy Diagnostic Service, Leeds General Infirmary, England, UK.']",['eng'],['Journal Article'],United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Antigens, CD)', '0 (Biomarkers)', 'EC 1.11.1.7 (Peroxidase)', 'EC 3.1.- (Esterases)']",IM,"['Acute Disease', 'Antigens, CD/analysis', 'Biomarkers', 'Esterases/metabolism', 'Histocytochemistry', 'Humans', 'Immunophenotyping', 'Leukemia/*classification/enzymology/immunology/pathology', 'Peroxidase/metabolism']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",['10.3109/10428199509075296 [doi]'],ppublish,Leuk Lymphoma. 1995;18 Suppl 1:1-12. doi: 10.3109/10428199509075296.,,,,,,,,,,,,,,,,,
7496333,NLM,MEDLINE,19960117,20191023,0959-8278 (Print) 0959-8278 (Linking),4 Suppl 1,1995 Sep,Exposure to extremely low frequency electromagnetic fields and the risk of malignant diseases--an evaluation of epidemiological and experimental findings.,3-107,"Epidemiological and experimental studies concerning extremely low frequency electromagnetic field exposure and malignant diseases published up to 1 July 1994 were evaluated to assess the possible carcinogenicity of electromagnetic fields and the scientific basis for environmental and occupational standard setting. We concluded that there are possible associations between (i) an increased risk of leukaemia in children and the existence of, or distance to, power lines in the vicinity of their residence, (ii) an increased risk of chronic lymphatic leukaemia and occupational exposure to low frequency electromagnetic fields and (iii) an increased risk of breast cancer, malignant melanoma of the skin, nervous system tumours, non-Hodgkin lymphoma, acute lymphatic leukaemia or acute myeloid leukaemia and certain occupations. There is no scientific basis for occupational or environmental standard setting for low frequency electric or magnetic fields.","['Hardell, L', 'Holmberg, B', 'Malker, H', 'Paulsson, L E']","['Hardell L', 'Holmberg B', 'Malker H', 'Paulsson LE']","['Department of Oncology, Orebro Medical Centre, Sweden.']",['eng'],"['Journal Article', 'Review']",England,Eur J Cancer Prev,European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP),9300837,,IM,"['Adult', 'Animals', 'Child', 'Child, Preschool', 'Electromagnetic Fields/*adverse effects', 'Environmental Exposure/*adverse effects', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Male', 'Mice', 'Neoplasms/*epidemiology/etiology', 'Occupational Exposure/adverse effects', 'Paternal Exposure', 'Rats', 'Risk Factors']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']",['10.1097/00008469-199509001-00001 [doi]'],ppublish,Eur J Cancer Prev. 1995 Sep;4 Suppl 1:3-107. doi: 10.1097/00008469-199509001-00001.,314,,,,,,,,,,,,,,,,
7496331,NLM,MEDLINE,19960117,20191023,0959-8278 (Print) 0959-8278 (Linking),4,1995 Oct,Superoxide dismutase and lipid-bound sialic acid in sera from children with cancers and juvenile chronic arthritis.,429-35,"Both experimental and epidemiological studies suggest that patients with autoimmune and other chronic inflammatory diseases are more prone to develop cancer. The aim of the present investigation is to find some typical differences between the content of lipid-bound sialic acid (LSA) and the activity of superoxide dismutase (SOD) in sera from children with neoplastic diseases and juvenile chronic arthritis (JCA). Our results show 30% lower SOD activity in the sera from children with cancer compared with the sera from children with JCA. LSA levels 102% and 166% higher than in children with JCA were observed in the sera from children with blood and solid cancers, respectively. The relation LSA/SOD is about fivefold higher in children with cancers. A negative correlation (r = 0.720, P < 0.001) exists between LSA and SOD in sera from children with cancers. No such correlation was established in the group of children with JCA. We suppose that such differentiation disappears in the beginning of neoplastic process during prolonged therapy of autoimmune diseases. From our findings SOD and LSA appear to be putative markers of malignant disease with potential usefulness not only in JCA but also in other conditions associated with an increased risk of neoplastic development.","['Maneva, A', 'Michailova, D', 'Sarbenova, M', 'Christozova, I', 'Taleva, B']","['Maneva A', 'Michailova D', 'Sarbenova M', 'Christozova I', 'Taleva B']","['Department of Biochemistry, Medical Faculty, Higher Medical Institute, Sofia, Bulgaria.']",['eng'],"['Comparative Study', 'Journal Article']",England,Eur J Cancer Prev,European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP),9300837,"['0 (Biomarkers)', '0 (Biomarkers, Tumor)', '0 (Sialic Acids)', 'EC 1.15.1.1 (Superoxide Dismutase)', 'GZP2782OP0 (N-Acetylneuraminic Acid)']",IM,"['Adolescent', 'Arthritis, Juvenile/*blood/pathology', 'Autoimmune Diseases/blood/pathology', 'Biomarkers/blood', 'Biomarkers, Tumor/blood', 'Cell Transformation, Neoplastic/pathology', 'Child', 'Child, Preschool', 'Hodgkin Disease/blood', 'Humans', 'Infant', 'Lymphoma, Non-Hodgkin/blood', 'N-Acetylneuraminic Acid', 'Neoplasms/*blood/etiology/pathology', 'Neuroblastoma/blood', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood', 'Risk Factors', 'Sensitivity and Specificity', 'Sialic Acids/*blood', 'Superoxide Dismutase/*blood']",1995/10/01 00:00,1995/10/01 00:01,['1995/10/01 00:00'],"['1995/10/01 00:00 [pubmed]', '1995/10/01 00:01 [medline]', '1995/10/01 00:00 [entrez]']",['10.1097/00008469-199510000-00012 [doi]'],ppublish,Eur J Cancer Prev. 1995 Oct;4(5):429-35. doi: 10.1097/00008469-199510000-00012.,,5,,,,,,,,,,,,,,,
7496328,NLM,MEDLINE,19960117,20191023,0959-8278 (Print) 0959-8278 (Linking),4,1995 Oct,"Cancer mortality in Europe, 1990-92.",389-417,"Histograms of all age-standardized (world population) death certification rates for 23 cancers or groups of cancers for the period 1990-92 were produced for 35 countries of the European region (including a dozen new national entities) providing data to the World ealth Organization database. Substantial variations were observed in mortality from most common sites. For lung cancer the rate in males was 81/100,000 in Hungary, followed by Belgium, the Czech Republic, the Russian Federation and Poland, while in Sweden, Iceland and Norway, where comprehensive antismoking campaigns have been adopted over the last two decades, the rates were between 24 and 30 per 100,000 males. The lung cancer epidemic in European females is still in its early phases in most countries, with the sole exception of Scotland (29/100,000, ie the highest rates in the world), the rest of the UK, Denmark, Iceland, Ireland and Hungary. With reference to colorectal cancer, the highest rates were in the Czech Republic (38/100,000 males, 21/100,000 females) and other central European countries, and the lowest in Greece, Romania and a few Republics of the former Soviet Union, as well as Finland and Sweden. The highest gastric cancer mortality rates were in the Russian Federation (41/100,000 males, 18/100,000 females), followed by a few Republics of the former Soviet Union and Portugal in Western Europe. The highest breast cancer rates (25-29 per 100,000 females) were in the UK, Belgium, Ireland, The Netherlands, Denmark and other Scandinavian countries. For overall cancer mortality, the range of variation was between 260/100,000 in Hungary and 132/100,000 in Sweden for males, and between 142/100,000 in Denmark and 76/100,000 in Kyrgizstan for females, ie approximately a twofold variation in both sexes.","['Levi, F', 'La Vecchia, C', 'Lucchini, F', 'Negri, E']","['Levi F', 'La Vecchia C', 'Lucchini F', 'Negri E']","['Institut Universitaire de Medecine Sociale et Preventive, Centre Hospitalier Universitaire Vaudois, Lausanne, Switzerland.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Eur J Cancer Prev,European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP),9300837,,IM,"['Breast Neoplasms/mortality', 'Death Certificates', 'Digestive System Neoplasms/mortality', 'Europe/epidemiology', 'Female', 'Gastrointestinal Neoplasms/mortality', 'Humans', 'Information Systems', 'Leukemia/mortality', 'Lung Neoplasms/mortality', 'Lymphoma/mortality', 'Male', 'Neoplasms/*mortality', 'Respiratory Tract Neoplasms/mortality', 'Sex Factors', 'Smoking Prevention', 'Stomach Neoplasms/mortality', 'Urogenital Neoplasms/mortality', 'World Health Organization']",1995/10/01 00:00,1995/10/01 00:01,['1995/10/01 00:00'],"['1995/10/01 00:00 [pubmed]', '1995/10/01 00:01 [medline]', '1995/10/01 00:00 [entrez]']",['10.1097/00008469-199510000-00009 [doi]'],ppublish,Eur J Cancer Prev. 1995 Oct;4(5):389-417. doi: 10.1097/00008469-199510000-00009.,,5,,,,,,,,,,,,,,,
7496314,NLM,MEDLINE,19960116,20161020,1026-3470 (Print) 1026-3470 (Linking),,1995 Jul-Aug,[The cytogenetic effect of ultralow doses of nitrosomethylurea].,430-4,Cytogenetic effects of ultra low doses of nitrosomethylurea in the range 10(-12)-10(-17) mol/(kg x day) on the chromosome structure were studied in the Ehrlich tumor and leucosis L-12110 cells. It was shown that nitrosomethylurea at an ultra low dose of 10(-17) mol/(kg x day) induces chromosome aberrations in the cells of the both studied tumors after a single and multiple injections to random bred and linear animals. The recorded effect suggests that with the decrease of therapeutic dose by 13 orders of magnitude the cytogenetic activity of the drug decreases by no more than one order of magnitude.,"['Fomina, M M', 'Ostrovskaia, L A', 'Korman, D B', 'Burlakova, E B']","['Fomina MM', 'Ostrovskaia LA', 'Korman DB', 'Burlakova EB']",,['rus'],"['Comparative Study', 'English Abstract', 'Journal Article']",Russia (Federation),Izv Akad Nauk Ser Biol,Izvestiia Akademii nauk. Seriia biologicheskaia,9300152,"['0 (Antineoplastic Agents, Alkylating)', '684-93-5 (Methylnitrosourea)']",IM,"['Animals', 'Antineoplastic Agents, Alkylating/*administration & dosage/toxicity', 'Carcinoma, Ehrlich Tumor/drug therapy/genetics', '*Chromosome Aberrations', 'Dose-Response Relationship, Drug', 'Drug Screening Assays, Antitumor', 'Leukemia L1210/drug therapy/genetics', 'Methylnitrosourea/*administration & dosage/toxicity', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred DBA', 'Neoplasm Transplantation']",1995/07/01 00:00,1995/07/01 00:01,['1995/07/01 00:00'],"['1995/07/01 00:00 [pubmed]', '1995/07/01 00:01 [medline]', '1995/07/01 00:00 [entrez]']",,ppublish,Izv Akad Nauk Ser Biol. 1995 Jul-Aug;(4):430-4.,,4,Tsitogeneticheskii effekt sverkhmalykh doz nitrozometilmocheviny.,,,,,,,,,,,,,,
7496160,NLM,MEDLINE,19960117,20191023,0960-8931 (Print) 0960-8931 (Linking),5,1995 Aug,TAL1 gene deletions and TAL1 protein expression in sporadic melanoma.,251-4,"Studies on cytogenetic abnormalities and cell lines have implicated chromosome 1p32 as being important in the pathogenesis of melanoma. Genetic linkage studies have also mapped a melanoma-susceptibility locus to chromosome 1p. The gene TAL1 is present on chromosome 1p32, and deletions within it are the commonest chromosomal abnormality in T-acute lymphoblastic leukaemia (T-ALL). A melanoma cell line harbouring a 1p32 deletion involving the TAL1 gene and the presence of TAL1 protein in developing mouse melanocytes led us to investigate whether TAL1 deletions and/or TAL1 protein expression occur in sporadic melanomas. DNA extracted from 32 fresh melanomas was amplified by standard polymerase chain reaction for the four common deletions of the TAL1 gene that occur in T-ALL. In addition, frozen and paraffin-embedded sections of these melanomas were stained with monoclonal antibodies that detect full-length and truncated TAL1 protein. The results of the study show that deletions of TAL1 do not occur in melanoma. Indeed, full and truncated TAL1 protein also could not be detected immunohistochemically in the paraffin-embedded and frozen sections of the melanomas. We conclude that the TAL1 gene and its protein are probably not directly involved in the oncogenesis of melanomas.","['Chetty, R', 'Cerroni, L', 'Pulford, K', 'Giatromanolaki, A', 'Biddolph, S', 'Kaklamanis, L', 'Gatter, K']","['Chetty R', 'Cerroni L', 'Pulford K', 'Giatromanolaki A', 'Biddolph S', 'Kaklamanis L', 'Gatter K']","['University Department of Cellular Science, University of Oxford, UK.']",['eng'],['Journal Article'],England,Melanoma Res,Melanoma research,9109623,"['0 (Basic Helix-Loop-Helix Transcription Factors)', '0 (DNA-Binding Proteins)', '0 (Proto-Oncogene Proteins)', '0 (T-Cell Acute Lymphocytic Leukemia Protein 1)', '0 (Tal1 protein, mouse)', '0 (Transcription Factors)', '135471-20-4 (TAL1 protein, human)']",IM,"['Base Sequence', 'Basic Helix-Loop-Helix Transcription Factors', 'Chromosomes, Human, Pair 1', 'DNA-Binding Proteins/analysis/biosynthesis/*genetics', 'Frozen Sections', '*Gene Deletion', 'Humans', 'Immunohistochemistry', 'Melanoma/*genetics/metabolism/pathology', 'Molecular Sequence Data', 'Paraffin Embedding', '*Proto-Oncogene Proteins', 'T-Cell Acute Lymphocytic Leukemia Protein 1', '*Transcription Factors']",1995/08/01 00:00,1995/08/01 00:01,['1995/08/01 00:00'],"['1995/08/01 00:00 [pubmed]', '1995/08/01 00:01 [medline]', '1995/08/01 00:00 [entrez]']",['10.1097/00008390-199508000-00007 [doi]'],ppublish,Melanoma Res. 1995 Aug;5(4):251-4. doi: 10.1097/00008390-199508000-00007.,,4,,,,,,,,,,,,,,,
