PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,AB,TT,PMC,OID,GN,OAB,OABL,OTO,OT,SI
7230871,NLM,MEDLINE,19810720,20190825,0145-2126 (Print) 0145-2126 (Linking),5,1,1981,"Recognition of abnormal lysosomal enzyme patterns in childhood leukaemia by isoelectric focusing, with special reference to some properties of abnormally expressed components.",29-40,"['Broadhead, D M', 'Besley, G T', 'Moss, S E', 'Bain, A D', 'Eden, O B', 'Sainsbury, C P']","['Broadhead DM', 'Besley GT', 'Moss SE', 'Bain AD', 'Eden OB', 'Sainsbury CP']",['eng'],['Journal Article'],England,Leuk Res,Leukemia research,7706787,"['EC 3.1.3.2 (Acid Phosphatase)', 'EC 3.2.1.- (Hexosaminidases)', 'EC 3.2.1.- (Mannosidases)', 'EC 3.2.1.31 (Glucuronidase)', 'EC 3.2.1.51 (alpha-L-Fucosidase)']",IM,"['Acid Phosphatase/metabolism', 'Child', 'Child, Preschool', 'Glucuronidase/metabolism', 'Hexosaminidases/metabolism', 'Humans', 'Isoelectric Focusing', 'Leukemia/*enzymology/physiopathology', 'Lymphocytes/*enzymology', 'Lysosomes/*enzymology', 'Mannosidases/metabolism', 'alpha-L-Fucosidase/metabolism']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']","['0145-2126(81)90094-1 [pii]', '10.1016/0145-2126(81)90094-1 [doi]']",ppublish,Leuk Res. 1981;5(1):29-40. doi: 10.1016/0145-2126(81)90094-1.,,,,,,,,,,,
7230869,NLM,MEDLINE,19810720,20190825,0145-2126 (Print) 0145-2126 (Linking),4,5,1980,Subsets of hairy cell leukemia defined by unique membrane proteins.,477-88,"['Spiro, R C', 'Aiba, M', 'Katayama, I', 'Raffa, P P', 'Sakamoto, K', 'Purtilo, D T', 'Sullivan, J L', 'Humphreys, R E']","['Spiro RC', 'Aiba M', 'Katayama I', 'Raffa PP', 'Sakamoto K', 'Purtilo DT', 'Sullivan JL', 'Humphreys RE']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leuk Res,Leukemia research,7706787,"['0 (HLA Antigens)', '0 (Membrane Proteins)']",IM,"['Cell Line', 'HLA Antigens/analysis', 'Humans', 'Leukemia, Hairy Cell/analysis/*classification/immunology', 'Membrane Proteins/*analysis', 'Molecular Weight']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']","['0145-2126(80)90029-6 [pii]', '10.1016/0145-2126(80)90029-6 [doi]']",ppublish,Leuk Res. 1980;4(5):477-88. doi: 10.1016/0145-2126(80)90029-6.,"['CA 23561/CA/NCI NIH HHS/United States', 'CA 25873/CA/NCI NIH HHS/United States', 'CB 64072/CB/NCI NIH HHS/United States']",,,,,,,,,,
7230867,NLM,MEDLINE,19810720,20190825,0145-2126 (Print) 0145-2126 (Linking),4,5,1980,"1,3 Bis (2-chloroethyl)-1-nitrosourea-induced host resistance to syngeneic LSA mouse leukemia.",427-35,"['Maruyama, Y', 'Feola, J']","['Maruyama Y', 'Feola J']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Leuk Res,Leukemia research,7706787,['U68WG3173Y (Carmustine)'],IM,"['Animals', 'Carmustine/*therapeutic use', 'Hematopoietic Stem Cells', 'Immunity/radiation effects', 'Leukemia, Experimental/drug therapy/*immunology', 'Lymphoma/drug therapy/immunology', 'Mice', 'Neoplasm Transplantation', 'Spleen/pathology', 'Transplantation, Homologous']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']","['0145-2126(80)90025-9 [pii]', '10.1016/0145-2126(80)90025-9 [doi]']",ppublish,Leuk Res. 1980;4(5):427-35. doi: 10.1016/0145-2126(80)90025-9.,"['P01 CA-17786/CA/NCI NIH HHS/United States', 'R01 CA 13849/CA/NCI NIH HHS/United States']",,,,,,,,,,
7230725,NLM,MEDLINE,19810709,20190711,0023-2173 (Print) 0023-2173 (Linking),59,6,1981 Mar 16,[Results of treatment with ABVD in C-MOPP-resistant Hodgkin's disease (author's transl)].,267-73,"['Gassmann, W', 'Perenyi, L', 'Pralle, H', 'Graubner, M', 'Schmitz, N', 'Loffler, H']","['Gassmann W', 'Perenyi L', 'Pralle H', 'Graubner M', 'Schmitz N', 'Loffler H']",['ger'],"['English Abstract', 'Journal Article']",Germany,Klin Wochenschr,Klinische Wochenschrift,2985205R,['0 (Antineoplastic Agents)'],IM,"['Age Factors', 'Aged', 'Antineoplastic Agents/*administration & dosage/adverse effects/therapeutic use', 'Bone Marrow/drug effects', 'Drug Therapy, Combination', 'Female', 'Hodgkin Disease/*drug therapy', 'Humans', 'Male', 'Middle Aged']",1981/03/16 00:00,1981/03/16 00:01,['1981/03/16 00:00'],"['1981/03/16 00:00 [pubmed]', '1981/03/16 00:01 [medline]', '1981/03/16 00:00 [entrez]']",['10.1007/BF01478205 [doi]'],ppublish,Klin Wochenschr. 1981 Mar 16;59(6):267-73. doi: 10.1007/BF01478205.,,"22 Patients were treated with ABVD, 19 (18 stage IV B 1 stage III B) could be evaluated. No patient with impaired but 7 of 13 patients with intact bone-marrow function achieved a complete remission. A complete remission was also achieved by all 4 patients with a treatment- and disease-free interval but only by 3 of 15 without a free interval. Pretreatment, histology, duration of disease, and age showed no clear prognostic significance with respect to induction of remission. Toxicity was severe especially in patients over 50 years of age. 2 patients discontinued therapy because of gastro-intestinal toxicity. 2 of 8 died of treatment-related causes (1 leukemia, 1 sudden cardiac death). In 3 patients with high-dose mediastinal irradiation a pneumonitis secondary to bleomycin contributed significantly to death. Our results suggest that ABVD is an effective salvage-regimen for some subgroups of MOPP-failures.",Behandlungsergebnisse mit dem ABVD-Schema bei C-MOPP-resistentem Morbus Hodgkin.,,,,,,,,
7230624,NLM,MEDLINE,19810709,20061115,0023-1495 (Print) 0023-1495 (Linking),49,3,1981 Mar,"[Incidence of mycoses in oncologic patients at the Jena University Hospital. Retrospective study, using terminal states and autopsy findings].",121-9,"['Hermann, J', 'Gundelwein, P']","['Hermann J', 'Gundelwein P']",['ger'],"['English Abstract', 'Journal Article']",Germany,Kinderarztl Prax,Kinderarztliche Praxis,0376356,['1400-61-9 (Nystatin)'],IM,"['Child', 'Humans', 'Leukemia/complications', 'Mycoses/*complications/pathology/prevention & control', 'Neoplasms/*complications/pathology', 'Nystatin/therapeutic use']",1981/03/01 00:00,1981/03/01 00:01,['1981/03/01 00:00'],"['1981/03/01 00:00 [pubmed]', '1981/03/01 00:01 [medline]', '1981/03/01 00:00 [entrez]']",,ppublish,Kinderarztl Prax. 1981 Mar;49(3):121-9.,,,Haufigkeit von Pilzinfektionen im onkologischen Krankengut der Universitats-Kinderklinik Jena. Retrospektive Studie anhand von Finalstadien und Autopsiebefunden.,,,,,,,,
7230572,NLM,MEDLINE,19810709,20190904,0021-5295 (Print) 0021-5295 (Linking),42,6,1980 Dec,Pathologic studies on juvenile bovine leukosis.,659-71,"['Ohshima, K', 'Omi, K', 'Okada, K', 'Numakunai, S']","['Ohshima K', 'Omi K', 'Okada K', 'Numakunai S']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Nihon Juigaku Zasshi,Nihon juigaku zasshi. The Japanese journal of veterinary science,0057113,,IM,"['Animals', 'Cattle', 'Cattle Diseases/*pathology', 'Female', 'Leukemia/pathology/*veterinary', 'Lymph Nodes/pathology', 'Lymphocytes/ultrastructure', 'Thymus Gland/pathology']",1980/12/01 00:00,1980/12/01 00:01,['1980/12/01 00:00'],"['1980/12/01 00:00 [pubmed]', '1980/12/01 00:01 [medline]', '1980/12/01 00:00 [entrez]']",['10.1292/jvms1939.42.659 [doi]'],ppublish,Nihon Juigaku Zasshi. 1980 Dec;42(6):659-71. doi: 10.1292/jvms1939.42.659.,,,,,,,,,,,
7230208,NLM,MEDLINE,19810720,20200611,0141-0768 (Print) 0141-0768 (Linking),73,3,1980 Mar,Psychological consequences of childhood leukaemia.,217-8,"['Maguire, G P']",['Maguire GP'],['eng'],['Journal Article'],England,J R Soc Med,Journal of the Royal Society of Medicine,7802879,,IM,"['Child', 'Counseling', 'Family', 'Humans', 'Leukemia/*psychology', 'Parent-Child Relations', 'Parents/*psychology']",1980/03/01 00:00,1980/03/01 00:01,['1980/03/01 00:00'],"['1980/03/01 00:00 [pubmed]', '1980/03/01 00:01 [medline]', '1980/03/01 00:00 [entrez]']",,ppublish,J R Soc Med. 1980 Mar;73(3):217-8.,,,,PMC1437507,,,,,,,
7229935,NLM,MEDLINE,19810720,20190711,0022-3549 (Print) 0022-3549 (Linking),70,1,1981 Jan,Synthesis and antibacterial and anticancer evaluations of alpha-methylene-gamma-butyrolactones.,84-6,"['Heindel, N D', 'Minatelli, J A']","['Heindel ND', 'Minatelli JA']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Pharm Sci,Journal of pharmaceutical sciences,2985195R,"['0 (Anti-Bacterial Agents)', '0 (Antifungal Agents)', '0 (Antineoplastic Agents)', '0 (Furans)', 'OL659KIY4X (4-Butyrolactone)']",IM,"['4-Butyrolactone/analogs & derivatives/chemical synthesis/*pharmacology', 'Animals', '*Anti-Bacterial Agents', 'Antifungal Agents', '*Antineoplastic Agents', 'Cells, Cultured', 'Drug Evaluation, Preclinical', 'Furans/*pharmacology', 'Humans', 'Leukemia L1210/drug therapy', 'Leukemia P388/drug therapy', 'Mice', 'Nasopharyngeal Neoplasms/drug therapy']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']","['S0022-3549(15)43551-8 [pii]', '10.1002/jps.2600700117 [doi]']",ppublish,J Pharm Sci. 1981 Jan;70(1):84-6. doi: 10.1002/jps.2600700117.,['CA-22579/CA/NCI NIH HHS/United States'],"Nine new alpha-methylene-gamma-butyrolactones were synthesized by the Reformatsky condensation of ethyl alpha-bromomethylacrylate with ketones, aldehydes, and an epoxide. A unique spirobutyrolactone class was prepared by reaction of the zinc alkyl derivative and N-methylisatins. The compounds were evaluated against L-1210 and P-388 leukemia and the 9KB carcinoma of the nasopharynx. They also were screened in a microbiocidal and an antifungal assay. The spiro methylene lactone of 5-iodo-N-methylisatin displayed activity in the P-388, 9KB, and antifungal screens.",,,,,,,,,
7229929,NLM,MEDLINE,19810720,20190711,0022-3549 (Print) 0022-3549 (Linking),70,1,1981 Jan,Comparison of quantitation methods for L-1210 cell populations and evaluation of selected cytotoxic agents in leukemic mice.,46-8,"['Bauguess, C T', 'Lee, Y Y', 'Kosh, J W', 'Wynn, J E']","['Bauguess CT', 'Lee YY', 'Kosh JW', 'Wynn JE']",['eng'],"['Comparative Study', 'Journal Article']",United States,J Pharm Sci,Journal of pharmaceutical sciences,2985195R,"['0 (Antineoplastic Agents)', 'CUJ6745Z9J (Aniline Mustard)']",IM,"['Aniline Mustard/analogs & derivatives/therapeutic use/toxicity', 'Animals', 'Antineoplastic Agents/*therapeutic use/toxicity', 'Cell Count/*methods', 'Cell Survival/*drug effects', 'Drug Evaluation, Preclinical', 'Lethal Dose 50', 'Leukemia L1210/*drug therapy/pathology', 'Male', 'Mice', 'Mice, Inbred Strains']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']","['S0022-3549(15)43535-X [pii]', '10.1002/jps.2600700107 [doi]']",ppublish,J Pharm Sci. 1981 Jan;70(1):46-8. doi: 10.1002/jps.2600700107.,,"A more rapid cell-counting technique using an electronic cell counter was developed as an improvement over the slower hemocytometer method. The electronic counting method produced cell counts that had a smaller standard deviation but were not significantly different from the hemocytometer method. The acetate, hexanoate, and decanoate esters of p-N,N-bis(2-chloroethyl)aminophenol were investigated for acute toxicity in mice, effects on survival times, and effects on L-1210 cell populations in L-1210 leukemic mice. The decanoate ester was the least toxic compound and was most effective in lengthening the lifespan of the mice. The acetate and hexanoate esters were more effective in reducing L-1210 cell populations.",,,,,,,,,
7229777,NLM,MEDLINE,19810720,20190630,0022-3476 (Print) 0022-3476 (Linking),98,5,1981 May,"Exchange transfusion as a treatment for hyperleukocytosis, anemia, and metabolic abnormalities in patients with leukemia.",851-2,"['Shende, A', 'Festa, R', 'Honigman, R', 'Lanzkowsky, P']","['Shende A', 'Festa R', 'Honigman R', 'Lanzkowsky P']",['eng'],"['Case Reports', 'Journal Article']",United States,J Pediatr,The Journal of pediatrics,0375410,['268B43MJ25 (Uric Acid)'],IM,"['Anemia/*therapy', '*Exchange Transfusion, Whole Blood', 'Humans', 'Leukemia/*complications', 'Leukocytosis/*therapy', 'Uric Acid/*blood']",1981/05/01 00:00,1981/05/01 00:01,['1981/05/01 00:00'],"['1981/05/01 00:00 [pubmed]', '1981/05/01 00:01 [medline]', '1981/05/01 00:00 [entrez]']","['S0022-3476(81)80868-2 [pii]', '10.1016/s0022-3476(81)80868-2 [doi]']",ppublish,J Pediatr. 1981 May;98(5):851-2. doi: 10.1016/s0022-3476(81)80868-2.,,,,,,,,,,,
