PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,TT,RF,OID,OAB,OABL,OTO,OT,GN,SI,PS,FPS,CN
7085669,NLM,MEDLINE,19820826,20210210,0021-9258 (Print) 0021-9258 (Linking),257,14,1982 Jul 25,Synthesis of the branched form of erythroglycan by Friend GM979 erythroleukemic cells.,8272-6,"Mouse GM979 erythroleukemic cells were found to synthesize the branched form of erythroglycan, a large polylactosamine structure known to be attached to band 3 and possibly to other proteins on human erythrocytes. Total protein-derived oligosaccharides from GM979 cells, labeled metabolically with [3H]glucosamine, [3H]mannose, or [3H]galactose, were prepared by hydrazinolysis after extracting the lipids. The 3H-labeled oligosaccharides were fractionated on Sephadex G-50 revealing 10-25% of each labeled product as a high molecular weight fraction (Mr = 10,000). Digestion of this [3H]glucosamine fraction with endo-beta-galactosidase from Escherichia freundii, specific for the repeating structure of Gal beta (1 leads to 4)GlcNAc beta (1 leads to 3), resulted in the following four products upon Bio-Gel P-2 Gel filtration: 1) a disaccharide with the structure GlcNAc beta (1 leads to 3)Gal, 2) a trisaccharide with the structure Gal beta (1 leads to 4)GlcNAc beta (1 leads to 3) beta Gal, 3) a tetrasaccharide with the sequence Fuc alpha (1 leads to 2)Gal beta (1 leads to 4)GlcNAc beta (1 leads to 3)Gal, and 4) a large complex fragment which contained mannose, glucosamine, galactose, and fucose (presumably the protein linkage region). Methylation linkage analysis of the large complex fraction shows mainly the presence of 4-substituted and terminal N-acetylglucosamine; 3,6-substituted, 6-substituted, 2-substituted, and 2,3-substituted galactose. The GM979 cell erythroglycan is only 30% susceptible to endo-beta-galactosidase degradation probably because of the branched galactose residues, whereas the linear form of erythroglycan from human K562 cells is 60% susceptible. The branched residues in GM979 cell saccharides indicate that this mouse cell line bears an arborized erythroglycan-like glycopeptide similar to those found on human adult erythrocytes, and thus may be a source for the enzyme which transfers an N-acetylglucosamine residue to a 3-linked galactose to form a 3,6-disubstituted galactose.","['Kaizu, T', 'Turco, S J', 'Rush, J S', 'Laine, R A']","['Kaizu T', 'Turco SJ', 'Rush JS', 'Laine RA']",['eng'],"['AM25101/AM/NIADDK NIH HHS/United States', 'GM23902/GM/NIGMS NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Anion Exchange Protein 1, Erythrocyte)', '0 (Membrane Proteins)', '0 (erythroglycan)']",IM,"['Animals', '*Anion Exchange Protein 1, Erythrocyte', 'Cell Line', 'Chromatography, Gel', 'Chromatography, Thin Layer', 'Leukemia, Experimental/*metabolism', 'Membrane Proteins/*biosynthesis/isolation & purification', 'Methylation', 'Mice']",1982/07/25 00:00,1982/07/25 00:01,['1982/07/25 00:00'],"['1982/07/25 00:00 [pubmed]', '1982/07/25 00:01 [medline]', '1982/07/25 00:00 [entrez]']",['S0021-9258(18)34327-8 [pii]'],ppublish,J Biol Chem. 1982 Jul 25;257(14):8272-6.,,,,,,,,,,,,,
7085388,NLM,MEDLINE,19820826,20190708,0360-3016 (Print) 0360-3016 (Linking),8,2,1982 Feb,Treatment of lymphocytic infiltrative ulcers of the face by minimal dose irradiation of the spleen.,314,,"['Kohn, D', 'Flatau, E', 'Schiller, D', 'Steinfeld, M', 'Kuten, A']","['Kohn D', 'Flatau E', 'Schiller D', 'Steinfeld M', 'Kuten A']",['eng'],,"['Case Reports', 'Letter']",United States,Int J Radiat Oncol Biol Phys,"International journal of radiation oncology, biology, physics",7603616,,IM,"['Humans', 'Leukemia, Lymphoid/complications', 'Male', 'Middle Aged', 'Radiotherapy Dosage', 'Skin Ulcer/*therapy', 'Spleen/*radiation effects']",1982/02/01 00:00,1982/02/01 00:01,['1982/02/01 00:00'],"['1982/02/01 00:00 [pubmed]', '1982/02/01 00:01 [medline]', '1982/02/01 00:00 [entrez]']","['0360-3016(82)90536-3 [pii]', '10.1016/0360-3016(82)90536-3 [doi]']",ppublish,Int J Radiat Oncol Biol Phys. 1982 Feb;8(2):314. doi: 10.1016/0360-3016(82)90536-3.,,,,,,,,,,,,,
7085296,NLM,MEDLINE,19820814,20061115,0017-9078 (Print) 0017-9078 (Linking),42,4,1982 Apr,Neutrons in Hiroshima?,537-9,,"['Jones, T D']",['Jones TD'],['eng'],,"['Comparative Study', 'Letter', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Health Phys,Health physics,2985093R,,IM,"['Humans', 'Japan', '*Leukemia, Radiation-Induced', '*Neutrons', '*Nuclear Warfare']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",,ppublish,Health Phys. 1982 Apr;42(4):537-9.,,,,,,,,,,,,,
7085132,NLM,MEDLINE,19820814,20190708,0020-7136 (Print) 0020-7136 (Linking),29,4,1982 Apr 15,Carcinogenicity of phenacetin: long-term feeding study in B6c3f1 mice.,439-44,"Groups of 52 B6C3F1 mice of each sex were maintained on a diet containing 1.25 or 0.6% phenacetin for 96 weeks and then fed a basal diet for 8 weeks. Control groups consisted of 50 mice of each sex and were fed a basal diet for 104 weeks. All animals were killed at the end of the experiment and all organs were examined histopathologically. Mice that died during the experiment were also autopsied and those that survived for more than 57 weeks, when the first tumor was observed, were also included in the effective number of mice. Tumors were found in the kidney, liver, lung, skin, hematopoietic system (leukemia or lymphoma) and occasionally in some other organs. The dose-related induction of renal cell tumors in the male mice fed phenacetin was clearly demonstrated in this experiment. Urinary bladder lesions that developed in the mice of either sex fed 1.25% phenacetin were also considered to be due to the tumorigenicity of phenacetin. Tumors of other organs in either the phenacetin-treated or the control group were regarded as strain-related spontaneous tumors of B6C3F1 mice.","['Nakanishi, K', 'Kurata, Y', 'Oshima, M', 'Fukushima, S', 'Ito, N']","['Nakanishi K', 'Kurata Y', 'Oshima M', 'Fukushima S', 'Ito N']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer,International journal of cancer,0042124,['ER0CTH01H9 (Phenacetin)'],IM,"['Adenoma/*chemically induced/pathology', 'Animal Feed', 'Animals', 'Carcinoma/*chemically induced/pathology', 'Female', 'Kidney Neoplasms/chemically induced/pathology', 'Leukemia, Experimental/*chemically induced/pathology', 'Male', 'Mice', 'Mice, Inbred Strains', 'Neoplasms, Experimental/*chemically induced/pathology', 'Phenacetin/*toxicity', 'Urinary Bladder Neoplasms/chemically induced/pathology']",1982/04/15 00:00,1982/04/15 00:01,['1982/04/15 00:00'],"['1982/04/15 00:00 [pubmed]', '1982/04/15 00:01 [medline]', '1982/04/15 00:00 [entrez]']",['10.1002/ijc.2910290413 [doi]'],ppublish,Int J Cancer. 1982 Apr 15;29(4):439-44. doi: 10.1002/ijc.2910290413.,,,,,,,,,,,,,
7085128,NLM,MEDLINE,19820814,20190708,0020-7136 (Print) 0020-7136 (Linking),29,4,1982 Apr 15,Studies of human natural killer cells. I. In vivo parameters affecting normal cytotoxic function.,383-90,"The results of natural killer cell (NK) studies on 539 normal healthy donors tested from once to 213 times over a seven-year time span have been presented. NK activity did not vary with donor blood group, Rh type or (in a small sample) HLA type. There was a slight but significant increase in NK activity from birth to adulthood, and between males an females. The male/female difference was present at birth and persisted through adulthood. The relative NK activity of individual donors tested repeatedly over many years was remarkably consistent in spite of variability in the absolute cytotoxicity observed. The expression of NK data in terms of relative NK was found to be superior to other methods, and the values obtained were found to be independent of the NK-sensitive target cell used. Although age and sex differences in NK activity are slight, their existence should be considered when studies of NK activity in patients are analysed.","['Pross, H F', 'Baines, M G']","['Pross HF', 'Baines MG']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer,International journal of cancer,0042124,"['0 (Blood Group Antigens)', '0 (HLA Antigens)']",IM,"['Age Factors', 'Animals', 'Antibody-Dependent Cell Cytotoxicity', 'Blood Group Antigens/*immunology', 'Cell Line', 'Female', 'HLA Antigens/*immunology', 'Humans', 'Killer Cells, Natural/*immunology', 'Leukemia/immunology', 'Male', 'Mice', 'Neoplasms/immunology', 'Sarcoma, Experimental/immunology', 'Sex Factors']",1982/04/15 00:00,1982/04/15 00:01,['1982/04/15 00:00'],"['1982/04/15 00:00 [pubmed]', '1982/04/15 00:01 [medline]', '1982/04/15 00:00 [entrez]']",['10.1002/ijc.2910290404 [doi]'],ppublish,Int J Cancer. 1982 Apr 15;29(4):383-90. doi: 10.1002/ijc.2910290404.,,,,,,,,,,,,,
7084998,NLM,MEDLINE,19820826,20181113,0019-2805 (Print) 0019-2805 (Linking),46,2,1982 Jun,Identity of effector cells participating in the reverse antibody-dependent cell-mediated cytotoxicity.,459-64,"Our previous work has shown that antibody-coated mouse spleen cells express enhanced cytotoxic activity against some Fc-receptor-bearing target tumour cells by a mechanism which appears to be similar to an antibody-dependent cell-mediated cytotoxicity (ADCC) reaction with reversed polarity of the antibody bridge (R-ADCC). In this report we have shown that (i) the levels of basal natural killer (NK), ADCC and R-ADCC cytotoxic activities in mouse spleen cells are strongly correlated with each other, (b) simultaneous induction of ADCC and R-ADCC reactions does not result in an additive cytotoxic response, and (iii) YAC cells which do not bear Fc receptors and are highly sensitive to lysis by NK cells, can specifically and competitively inhibit the ADCC and R-ADCC reactions. These results suggest that the R-ADCC reaction may be mediated by the same effector cell population as mediates NK and ADCC reactions against tumour target cells.","['Saxena, R K', 'Saxena, Q B', 'Adler, W H']","['Saxena RK', 'Saxena QB', 'Adler WH']",['eng'],,['Journal Article'],England,Immunology,Immunology,0374672,,IM,"['Animals', '*Antibody-Dependent Cell Cytotoxicity', 'Cell Line', 'Female', 'Immunity, Innate', 'Killer Cells, Natural/*immunology', 'Leukemia, Experimental/immunology', 'Mice', 'Mice, Inbred C57BL', 'Spleen/immunology']",1982/06/01 00:00,1982/06/01 00:01,['1982/06/01 00:00'],"['1982/06/01 00:00 [pubmed]', '1982/06/01 00:01 [medline]', '1982/06/01 00:00 [entrez]']",,ppublish,Immunology. 1982 Jun;46(2):459-64.,PMC1555395,,,,,,,,,,,,
7083906,NLM,MEDLINE,19820826,20190830,0070-217X (Print) 0070-217X (Linking),98,,1982,Perspectives on endogenous retroviruses in normal and pathological growth.,127-32,,"['Weiss, R A']",['Weiss RA'],['eng'],,['Journal Article'],Germany,Curr Top Microbiol Immunol,Current topics in microbiology and immunology,0110513,,IM,"['Animals', 'Avian Leukosis/etiology', 'Chickens/genetics', 'Genes', 'Genes, Viral', 'Leukemia/etiology', 'Lymphocyte Activation', 'Lymphocytes/*cytology/immunology', 'Lymphoma/etiology', 'Lysogeny', 'Mice', 'Mice, Inbred Strains/genetics', 'Models, Biological', 'Retroviridae/genetics/*pathogenicity']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",['10.1007/978-3-642-68369-5_10 [doi]'],ppublish,Curr Top Microbiol Immunol. 1982;98:127-32. doi: 10.1007/978-3-642-68369-5_10.,,,,,,,,,,,,,
7083458,NLM,MEDLINE,19820826,20190830,0344-5704 (Print) 0344-5704 (Linking),7,2-3,1982,VM26 therapy in children with drug-refractory lymphocytic leukemia.,169-72,,"['Rivera, G', 'Dahl, G V', 'Murphy, S B', 'Bowman, W P', 'Aur, R J', 'Avery, T L', 'Simone, J V']","['Rivera G', 'Dahl GV', 'Murphy SB', 'Bowman WP', 'Aur RJ', 'Avery TL', 'Simone JV']",['eng'],,['Journal Article'],Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '957E6438QA (Teniposide)', 'L36H50F353 (Podophyllotoxin)', 'VB0R961HZT (Prednisone)']",IM,"['Child', 'Cytarabine/*therapeutic use', 'Drug Evaluation', 'Drug Resistance', 'Drug Therapy, Combination', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Podophyllotoxin/*analogs & derivatives', 'Prednisone/therapeutic use', 'Teniposide/*therapeutic use', 'Vincristine/therapeutic use']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",['10.1007/BF00254541 [doi]'],ppublish,Cancer Chemother Pharmacol. 1982;7(2-3):169-72. doi: 10.1007/BF00254541.,,,,,,,,,,,,,
7083455,NLM,MEDLINE,19820826,20190830,0344-5704 (Print) 0344-5704 (Linking),7,2-3,1982,Pharmacokinetics of Teniposide (VM26) and etoposide (VP16-213) in children with cancer.,147-50,"The clinical pharmacokinetics of VM26 and VP16-213 were assessed in 15 children (median age 10 years) with acute leukemia, using a new high-performance liquid chromatography-electrochemical assay. Pharmacokinetic parameters were calculated by both model-dependent and compartment model-independent methods. These studies demonstrated substantial differences in the central volumes of distribution (VDc), steady-state volumes of distribution (VDss) and systemic clearances (Cls) of VM26 and VP16-213; with the VDc, VDss, and Cls all being smaller for VM26, Systemic clearances determined by model-independent methods were 5.2 +/- 1.0 ml/min/m2 (mean +/- SD) for VM26 and 17.8 +/- 11.2 ml/min/m2 for VP16-213. The major metabolites. detected in serum and urine were the hydroxy acids. Low levels of the picro-lactone isomers were detected in some patients while the aglycones were not detected in the serum or urine of any patients.","['Evans, W E', 'Sinkule, J A', 'Crom, W R', 'Dow, L', 'Look, A T', 'Rivera, G']","['Evans WE', 'Sinkule JA', 'Crom WR', 'Dow L', 'Look AT', 'Rivera G']",['eng'],"['CA20180/CA/NCI NIH HHS/United States', 'CA21765/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,"['6PLQ3CP4P3 (Etoposide)', '957E6438QA (Teniposide)', 'L36H50F353 (Podophyllotoxin)']",IM,"['Biotransformation', 'Child', 'Chromatography, High Pressure Liquid', 'Etoposide/*metabolism', 'Humans', 'Kinetics', 'Leukemia/metabolism', 'Models, Biological', 'Neoplasms/*metabolism', 'Podophyllotoxin/*analogs & derivatives', 'Teniposide/*metabolism']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",['10.1007/BF00254537 [doi]'],ppublish,Cancer Chemother Pharmacol. 1982;7(2-3):147-50. doi: 10.1007/BF00254537.,,,,,,,,,,,,,
7083434,NLM,MEDLINE,19820814,20091111,0009-4773 (Print) 0009-4773 (Linking),34,1,1982 Feb,[Multiple primary neoplasms].,63-85,,"['Frontini, L', 'Moro, E', 'Romanoni, P', 'Seidita, B']","['Frontini L', 'Moro E', 'Romanoni P', 'Seidita B']",['ita'],,['Journal Article'],Italy,Chir Ital,Chirurgia italiana,0151753,,IM,"['Adult', 'Aged', 'Biliary Tract Neoplasms', 'Breast Neoplasms', 'England', 'Female', 'Gastrointestinal Neoplasms', 'Genital Neoplasms, Female', 'Humans', 'India', 'Italy', 'Latin America', 'Leukemia', 'Lung Neoplasms', 'Male', 'Middle Aged', 'Neoplasms, Multiple Primary/*epidemiology/etiology/therapy', 'Nervous System Neoplasms', 'Skin Neoplasms', 'Urologic Neoplasms']",1982/02/01 00:00,1982/02/01 00:01,['1982/02/01 00:00'],"['1982/02/01 00:00 [pubmed]', '1982/02/01 00:01 [medline]', '1982/02/01 00:00 [entrez]']",,ppublish,Chir Ital. 1982 Feb;34(1):63-85.,,Le neoplasie primitive multiple.,,,,,,,,,,,
