PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,PMC,TT,AD
7006789,NLM,MEDLINE,19810424,20190620,0008-543X (Print) 0008-543X (Linking),47,1,1981 Jan 1,The superiority of CCNU in the treatment of advanced Hodgkin's disease: Cancer and Leukemia Group B Study.,14-8,"In a randomized study, the effect of single agent therapy, with CCNU was compared with that of BCNU in previously treated patients with advanced Hodgkin's disease. The dosage of CCNU was 100 mg/m2 p.o. q. 6 weeks and of BCNU, 200 mg/m2, p. 6 weeks with dose modification adjusted to individual tolerance. For 60 evaluable patients the response rate (complete and partial was 60 for CCNU and 28% for BCNU (p = 0.025); median duration of response was 4.5 months and 2.0 months, respectively (P = 0.26). Median survival for responders was 11.0 months and for non-responders 5.0 months. No major difference was observed in hematologic toxicity between the two compounds. Used as single agents in equitoxic dosages, CCNU is superior to BCNU for the treatment of previously treated advanced Hodgkin's disease, and CCNU has the additional advantage of oral administration.","['Hansen, H H', 'Selawry, O S', 'Pajak, T F', 'Spurr, C L', 'Falkson, G', 'Brunner, K', 'Cuttner, J', 'Nissen, N I', 'Holland, J F']","['Hansen HH', 'Selawry OS', 'Pajak TF', 'Spurr CL', 'Falkson G', 'Brunner K', 'Cuttner J', 'Nissen NI', 'Holland JF']",['eng'],"['CA-03927/CA/NCI NIH HHS/United States', 'CA-04326/CA/NCI NIH HHS/United States', 'CA-05662/CA/NCI NIH HHS/United States']","['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,"['0 (Nitrosourea Compounds)', '7BRF0Z81KG (Lomustine)', 'U68WG3173Y (Carmustine)']",IM,"['Adult', 'Carmustine/adverse effects/therapeutic use', 'Clinical Trials as Topic', 'Dose-Response Relationship, Drug', 'Drug Administration Schedule', 'Female', 'Hodgkin Disease/*drug therapy', 'Humans', 'Leukopenia/chemically induced', 'Lomustine/adverse effects/*therapeutic use', 'Male', 'Nausea/chemically induced', 'Nitrosourea Compounds/*therapeutic use', 'Prognosis', 'Thrombocytopenia/chemically induced', 'Vomiting/chemically induced']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1002/1097-0142(19810101)47:1<14::aid-cncr2820470103>3.0.co;2-y [doi]'],ppublish,Cancer. 1981 Jan 1;47(1):14-8. doi: 10.1002/1097-0142(19810101)47:1<14::aid-cncr2820470103>3.0.co;2-y.,,,,
7006781,NLM,MEDLINE,19810424,20181113,0008-4409 (Print) 0008-4409 (Linking),124,2,1981 Jan 15,Childhood acute lymphocytic leukemia: progress and problems in treatment.,129-42,"Acute lymphocytic leukemia is the most common cancer of childhood. A series of total therapy studies begun in 1962 at St. Jude Children's Research Hospital in Memphis, Tennessee has had a dramatic impact on the survival of children with this disease. These studies have systematically examined various drug combinations and radiation therapy in an effort to cure acute lymphocytic leukemia. As a result, a once uniformly fatal condition is now curable in nearly one half of cases. In addition to improved control of the primary disease, refinements in drug treatment and in supportive care have diminished the frequency of severe infections, which may complicate aggressive therapy. Although the quality of life for the survivors so far appears generally good, treatment-induced toxic effects may impose subtle, though significant, handicaps in some cases. A combination of clinical and laboratory investigations begun in the mid-1970s is beginning to demonstrate a previously unknown heterogeneity among patients with acute lymphocytic leukemia. It is now possible to recognize a substantial minority of patients on the basis of these studies as being at ""high risk"" for treatment failure. For them, drastic modifications of present programs are being investigated in an attempt to improve their prognosis. For patients lacking high-risk features improvements are still needed, but changes in their treatment must be kept within the framework of what is presently successful and must address the hazard of long-term toxicity.","['Bowman, W P']",['Bowman WP'],['eng'],"['CA-08480/CA/NCI NIH HHS/United States', 'CA-20180/CA/NCI NIH HHS/United States', 'CA-21765/CA/NCI NIH HHS/United States']","['Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",Canada,Can Med Assoc J,Canadian Medical Association journal,0414110,['0 (Antineoplastic Agents)'],IM,"['Adolescent', 'Antineoplastic Agents/*administration & dosage/adverse effects', 'Bone Marrow/pathology', 'Bone Marrow Transplantation', 'Child', 'Child, Preschool', 'Clinical Trials as Topic', 'Drug Resistance', 'Drug Therapy, Combination', 'Female', 'Humans', 'Infant', 'Leukemia, Lymphoid/diagnosis/*drug therapy/radiotherapy', 'Leukocyte Count', 'Male', 'Meningeal Neoplasms/prevention & control/radiotherapy/secondary', 'Prognosis', 'Transplantation, Homologous']",1981/01/15 00:00,1981/01/15 00:01,['1981/01/15 00:00'],"['1981/01/15 00:00 [pubmed]', '1981/01/15 00:01 [medline]', '1981/01/15 00:00 [entrez]']",,ppublish,Can Med Assoc J. 1981 Jan 15;124(2):129-42.,69,PMC1705168,,
7006708,NLM,MEDLINE,19810421,20210216,0006-4971 (Print) 0006-4971 (Linking),57,3,1981 Mar,Bone marrow transplantation for refractory acute leukemia in 34 patients with identical twins.,421-30,"Thirty-four patients aged 4-67 yr (median 17) with acute lymphocytic leukemia (ALL) (18 patients) or acute nonlymphocytic leukemia (ANL) (16 patients) who failed to enter complete remission (CR) or relapsed on conventional chemotherapy were treated with cyclophosphamide (CY), 60 mg/kg/day for 2 days, 1000 rad total body irradiation, and a marrow transplant from a genotypically identical normal twin. Sixteen of the patients received additional chemotherapy within the week before CY. After the transplant, 23 patients received immunotherapy consisting of killed autologous leukemic cells and/or normal twin peripheral blood lymphocytes, 16 as part of a prospectively randomized study. One moribund patient died before engraftment. Nine patients (6 ALL, 3 ANL) continued to have detectable leukemic cells. Twenty-four patients (70%) achieved CR. One of them died of viral hepatitis at 1 mo and another of viral interstitial pneumonitis at 4 mo in CR. Fourteen patients (7 ALL, 7 ANL) relapsed 2-16 mo (median 4) after transplantation. However, 8 patients (24%) (3 ALL, 5 ANL) remain in CR without any maintenance chemotherapy at 29-103 mo (median 80) after the transplant. The end results were not signficantly influenced by the type of leukemia, the immediated pre-CY chemotherapy, or the immunotherapy. The results show that this approach, even when applied to endstage patients with acute leukemia in relapse, causes tolerable morbidity, rare nonleukemic deaths, and frequent remissions, some of which represent cures.","['Fefer, A', 'Cheever, M A', 'Thomas, E D', 'Appelbaum, F R', 'Buckner, C D', 'Clift, R A', 'Glucksberg, H', 'Greenberg, P D', 'Johnson, F L', 'Kaplan, H G', 'Sanders, J E', 'Storb, R', 'Weiden, P L']","['Fefer A', 'Cheever MA', 'Thomas ED', 'Appelbaum FR', 'Buckner CD', 'Clift RA', 'Glucksberg H', 'Greenberg PD', 'Johnson FL', 'Kaplan HG', 'Sanders JE', 'Storb R', 'Weiden PL']",['eng'],"['CA 09319/CA/NCI NIH HHS/United States', 'CA 15704/CA/NCI NIH HHS/United States', 'CA 18029/CA/NCI NIH HHS/United States']","['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,['8N3DW7272P (Cyclophosphamide)'],IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', '*Bone Marrow Transplantation', 'Child', 'Child, Preschool', 'Cyclophosphamide/therapeutic use', 'Female', 'Humans', 'Leukemia/radiotherapy/*therapy', 'Male', 'Middle Aged', 'Pregnancy', 'Remission, Spontaneous', '*Transplantation, Isogeneic', 'Twins, Monozygotic']",1981/03/01 00:00,1981/03/01 00:01,['1981/03/01 00:00'],"['1981/03/01 00:00 [pubmed]', '1981/03/01 00:01 [medline]', '1981/03/01 00:00 [entrez]']",['S0006-4971(20)69667-7 [pii]'],ppublish,Blood. 1981 Mar;57(3):421-30.,,,,
7006707,NLM,MEDLINE,19810421,20210216,0006-4971 (Print) 0006-4971 (Linking),57,3,1981 Mar,Human T-lymphocyte growth factor: regulation of growth and function of T lymphocytes.,379-94,"The discovery of T-cell growth factor (TCGF) has made it possible to now routinely grow in tissue culture normal and neoplastic human T cells for long periods and in large amounts. TCGF has been recently purified. It is a small protein released by a subset of mature T cells following lectin-antigen activation, which in turn acts upon other T-cell subsets that have developed specific receptors for TCGF after lectin-antigen stimulation. Thus, release of TCGF and development of receptors for it appear to be obligatory for the clonal expansion of all activated T cells. Unlike normal T cells, neoplastic T cells respond directly to TCGF, requiring no prior in vitro lectin-antigen activation. This has led to the development of several new cell lines from patients with T-cell leukemias and lymphomas. In some cases, these cells become independent of exogenous TCGF by producing their own growth factor, implying a role for TCGF in the continuous proliferation of these cells. These developments necessitate a reevaluation of some concepts of immunoregulation of T-cell activities in terms of production and response to TCGF. In addition, this information has clinical implications. Recent results have shown that a major defect of the athymic nude mouse is the inability to produce TCGF and that some immunosuppressive agents, such as glucocorticosteroids and cyclosporin-A, exert their effects on T cells by disrupting the TCGF-T-cell interaction. Some human immune deficiencies might be due to a failure to respond to or to produce TCGF, which in some cases might be corrected by exogenous TCGF.","['Ruscetti, F W', 'Gallo, R C']","['Ruscetti FW', 'Gallo RC']",['eng'],,"['Journal Article', 'Review']",United States,Blood,Blood,7603509,"['0 (Culture Media)', '0 (Lymphokines)', '0 (Phytohemagglutinins)', '0 (Receptors, Mitogen)']",IM,"['Animals', 'B-Lymphocytes/immunology', 'Cells, Cultured', 'Culture Media', 'Cytotoxicity, Immunologic', 'Humans', 'Leukemia/immunology', 'Lymphocyte Activation', 'Lymphocyte Cooperation', 'Lymphokines/isolation & purification/*physiology', 'Lymphoma/immunology', 'Mice', 'Phytohemagglutinins', 'Receptors, Mitogen', 'Species Specificity', 'T-Lymphocytes/*immunology']",1981/03/01 00:00,1981/03/01 00:01,['1981/03/01 00:00'],"['1981/03/01 00:00 [pubmed]', '1981/03/01 00:01 [medline]', '1981/03/01 00:00 [entrez]']",['S0006-4971(20)69662-8 [pii]'],ppublish,Blood. 1981 Mar;57(3):379-94.,67,,,
7006703,NLM,MEDLINE,19810413,20190610,0006-3002 (Print) 0006-3002 (Linking),633,2,1980 Dec 1,Human lymphocyte tubulin. Purification and characterization in normal and leukemic cells.,245-57,"Tubulin has been purified from human blood and tonsil lymphocytes. Using gel filtration, the molecular weight of human lymphocyte tubulin was estimated to be 119000. The protein was shown to consist of two subunits, with molecular weights of 61000 and 58000 comparable to the alpha and beta polypeptides of human brain tubulin. A partial identity reaction was observed between lymphocyte tubulin and human tubulin when tested by double immunodiffusion against a rabbit anti-human brain tubulin antibody. In the presence of GTP, the purified protein polymerized to form microtubules. Tubulin was localized to the cell's juxtacentriolar region by immunofluorescence and electron microscopy. When assayed by a colchicine-binding assay corrected for time decay, the binding affinity was 1.50 +/- 0.86 . 10(6) M-1 and a level in normal lymphocytes of 1.21 . 10(2) +/- 0.79 g/g of soluble protein was determined. Since chronic lymphocytic leukemia lymphocytes have an anomalous capping behavior as well as an unusual susceptibility to colchicine toxicity, the properties and levels of tubulin were determined in these cells. Similar values were obtained for the level, decay rate, molecular weight, and Ka for colchicine as for normal lymphocytes. Chronic lymphocytic leukemia lymphocytes tubulin polymerized in a normal fashion. It thus appears that a decrease in the quantity for function of tubulin does not account for these anomalies in the chronic lymphocytic leukemia lymphocyte.","['Liebes, L F', 'Fleit, H', 'Zucker-Franklin, D', 'Silber, R']","['Liebes LF', 'Fleit H', 'Zucker-Franklin D', 'Silber R']",['eng'],['AM12274/AM/NIADDK NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['0 (Polymers)', '0 (Tubulin)', 'SML2Y3J35T (Colchicine)']",IM,"['B-Lymphocytes/*analysis', 'Chromatography, DEAE-Cellulose', 'Chromatography, Gel', 'Colchicine/metabolism', 'Electrophoresis, Polyacrylamide Gel', 'Fluorescent Antibody Technique', 'Humans', 'Immunoelectrophoresis, Two-Dimensional', 'Leukemia, Lymphoid/*blood', 'Lymphocytes/ultrastructure', 'Molecular Weight', 'Polymers/metabolism', 'Tubulin/analysis/*isolation & purification']",1980/12/01 00:00,1980/12/01 00:01,['1980/12/01 00:00'],"['1980/12/01 00:00 [pubmed]', '1980/12/01 00:01 [medline]', '1980/12/01 00:00 [entrez]']","['0304-4165(80)90410-9 [pii]', '10.1016/0304-4165(80)90410-9 [doi]']",ppublish,Biochim Biophys Acta. 1980 Dec 1;633(2):245-57. doi: 10.1016/0304-4165(80)90410-9.,,,,
7006701,NLM,MEDLINE,19810424,20190610,0006-3002 (Print) 0006-3002 (Linking),605,4,1980 Nov 26,Hemopoietic stem cell differentiation.,431-59,,"['Till, J E', 'McCulloch, E A']","['Till JE', 'McCulloch EA']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['0 (Antigens, Surface)', '0 (Genetic Markers)', '0 (Isoenzymes)', 'EC 1.1.1.49 (Glucosephosphate Dehydrogenase)']",IM,"['Animals', 'Antigens, Surface/immunology', '*Cell Differentiation', 'Cell Division', 'Cells, Cultured', 'Chimera', 'Clone Cells', 'Colony-Forming Units Assay', 'Embryo Transfer', 'Erythropoiesis', 'Genetic Markers', 'Glucosephosphate Dehydrogenase/genetics', 'Hematologic Diseases/genetics', '*Hematopoiesis', 'Hematopoietic Stem Cells/*cytology/metabolism', 'Humans', 'Isoenzymes/genetics', 'Leukemia/genetics', 'Spleen/cytology']",1980/11/26 00:00,1980/11/26 00:01,['1980/11/26 00:00'],"['1980/11/26 00:00 [pubmed]', '1980/11/26 00:01 [medline]', '1980/11/26 00:00 [entrez]']","['0304-419X(80)90009-8 [pii]', '10.1016/0304-419x(80)90009-8 [doi]']",ppublish,Biochim Biophys Acta. 1980 Nov 26;605(4):431-59. doi: 10.1016/0304-419x(80)90009-8.,174,,,
7006664,NLM,MEDLINE,19810413,20190515,0007-0920 (Print) 0007-0920 (Linking),42,6,1980 Dec,Treatment comparisons in the third MRC myelomatosis trial. Medical Research Council's Working Party on Leukaemia in Adults.,823-30,"Results after an average follow-up of 3 years are presented on 485 patients in the 3rd MRC therapeutic trial in myelomatosis. The 353 non-azotaemic patients (199 now dead) were randomized between i.v. cyclophosphamide (CY) and oral melphalan with prednisone (M & P). THose treated with M & P fared slightly, but non-significantly, better. The 132 azotaemic patients (111 now dead) were randomized between i.v. CY and a 4-drug regimen, and both groups fared equally badly. Finally, after one year of the allocated treatment, 297 survivors (126 now dead) were randomized either to stop all treatment until evidence of relapse was obtained, or to continue treatment with azathioprine and vincristine, interrupted every 3 months for a course of the first-allocated treatment. The overall results suggested that maintenance therapy was beneficial, though the results were not statistically significant. Most of the difference was found among the few patients with unfavourable prognostic features who survived one year and were eligible for this randomization. In this, as in the two previous MRC trials, no striking differences have emerged between the therapeutic effects of different schedules of melphalan and/or CY. Consequently, a regimen of intermittent oral melphalan (with or without prednisone) seems satisfactory, because it is among the least toxic and most convenient. The 4th myeloma trial, now beginning, seeks to discover whether the addition of vincristine to the regimen can improve these results.",,,['eng'],,"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",England,Br J Cancer,British journal of cancer,0370635,"['7BRF0Z81KG (Lomustine)', '8N3DW7272P (Cyclophosphamide)', 'Q41OR9510P (Melphalan)', 'VB0R961HZT (Prednisone)']",IM,"['Aged', 'Clinical Trials as Topic', 'Cyclophosphamide/*therapeutic use', 'Drug Therapy, Combination', 'Female', 'Follow-Up Studies', 'Humans', 'Lomustine/therapeutic use', 'Male', 'Melphalan/*therapeutic use', 'Middle Aged', 'Multiple Myeloma/complications/*drug therapy/mortality', 'Prednisone/*therapeutic use', 'Prognosis', 'Uremia/complications']",1980/12/01 00:00,1980/12/01 00:01,['1980/12/01 00:00'],"['1980/12/01 00:00 [pubmed]', '1980/12/01 00:01 [medline]', '1980/12/01 00:00 [entrez]']",['10.1038/bjc.1980.329 [doi]'],ppublish,Br J Cancer. 1980 Dec;42(6):823-30. doi: 10.1038/bjc.1980.329.,,PMC2010576,,
7006663,NLM,MEDLINE,19810413,20190515,0007-0920 (Print) 0007-0920 (Linking),42,6,1980 Dec,Report on the second myelomatosis trial after five years of follow-up. Medical Research Council's Working Party on Leukaemia in Adults.,813-22,"Three hundred and seventy-two patients were randomized between 3 regimens of chemotherapy: cyclophosphamide, intermittent melphalan, and melphalan with prednisone, and were followed up to death or for at least 5 years. There was no difference in survival between the treatments, either overall or in any subgroup of patients. Therefore, the choice among these 3 treatments should be guided by the patient's comfort and convenience. The most important prognostic feature at presentation was the quality of renal function. It was possible to define good, intermediate and poor renal-function groups which were highly correlated with prognosis (X2 for trend = 62.6). The haemoglobin level at presentation was strongly correlated with prognosis among patients in the good renal-function group. Among 107 patients who presented with good renal function and with haemoglobin above 100 g/l, the 5-year survival was 43%. Other prognostic features were much less important when account was taken of renal function and haemoglobin level.",,,['eng'],,"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial']",England,Br J Cancer,British journal of cancer,0370635,"['0 (Immunoglobulin M)', '8N3DW7272P (Cyclophosphamide)', '8W8T17847W (Urea)', 'Q41OR9510P (Melphalan)', 'VB0R961HZT (Prednisone)']",IM,"['Aged', 'Clinical Trials as Topic', 'Cyclophosphamide/*therapeutic use', 'Drug Therapy, Combination', 'Follow-Up Studies', 'Hemoglobinometry', 'Humans', 'Immunoglobulin M', 'Kidney Diseases/complications', 'Melphalan/*therapeutic use', 'Middle Aged', 'Multiple Myeloma/*drug therapy/mortality', 'Prednisone/*therapeutic use', 'Prognosis', 'Proteinuria/complications', 'Urea/blood']",1980/12/01 00:00,1980/12/01 00:01,['1980/12/01 00:00'],"['1980/12/01 00:00 [pubmed]', '1980/12/01 00:01 [medline]', '1980/12/01 00:00 [entrez]']",['10.1038/bjc.1980.328 [doi]'],ppublish,Br J Cancer. 1980 Dec;42(6):813-22. doi: 10.1038/bjc.1980.328.,,PMC2010573,,
7006376,NLM,MEDLINE,19810327,20190511,0002-9173 (Print) 0002-9173 (Linking),75,1,1981 Jan,Functional differentiation in acute monoblastic leukemia.,122-5,"Blasts from the bone marrow of a patient who had acute monoblastic leukemia were studied for functional maturity. Classification of the leukemia was based on cytochemical stains. The blasts were negative when stained with Sudan black B and did not have specific esterase activity. They were rich in alpha-naphthyl butyrate esterase, which was inhibited by fluoride. Functional assays included phagocytosis of Candida albicans, fungicidal activity measured by differential Giemsa staining of the ingested C. albicans, and locomotion using the agarose method to evaluate both random migration and chemotaxis. At a ratio of 20 yeast cells to one monoblast, 80% of the blasts could be stimulated to phagocytize an average of 4.4 organisms. These results compared favorably with the phagocytic potential of normal human monocytes. Candidacidal activity was present, but reduced. At high ratios of yeasts to monoblasts, only ten organisms were killed for every 100 phagocytic blasts. This correlates with the absence of myeloperoxidase activity demonstrated by negative Sudan black B staining. Neither chemotaxis nor random migration could be demonstrated, indicating that monoblasts lacked the apparatus necessary for locomotion. Extrapolation of these findings to normal monocyte maturation suggests that phagocytosis is acquired prior to microbicidal activity, which develops prior to locomotion.","['Glasser, L']",['Glasser L'],['eng'],['CA 17094/CA/NCI NIH HHS/United States'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Am J Clin Pathol,American journal of clinical pathology,0370470,,IM,"['Adult', 'Candida albicans', 'Cell Transformation, Neoplastic', 'Chemotaxis, Leukocyte', 'Female', 'Humans', 'Leukemia, Monocytic, Acute/*pathology', 'Monocytes/*physiology', 'Phagocytosis']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1093/ajcp/75.1.122 [doi]'],ppublish,Am J Clin Pathol. 1981 Jan;75(1):122-5. doi: 10.1093/ajcp/75.1.122.,,,,
7006210,NLM,MEDLINE,19810327,20081121,0507-3758 (Print) 0507-3758 (Linking),26,11,1980,[Method of flow impulse cytofluorometry in the UV spectrum for the study of tumor cells in the whole blood].,40-3,"Under consideration is the principal opportunity of using impulse cytofluorometers working in the UV spectrum for recording tumor cells in blood. The results of model experiments evidence the advantages of this method, however at present its sensitivity is not adequate enough.","['Iagunov, A S']",['Iagunov AS'],['rus'],,"['English Abstract', 'Journal Article']",Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,,IM,"['Animals', 'Cell Count', '*Cytological Techniques', 'Leukemia L1210/*blood', 'Leukocytes/pathology', '*Neoplastic Cells, Circulating', 'Spectrophotometry, Ultraviolet/*methods']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Vopr Onkol. 1980;26(11):40-3.,,,"Metod protochnoi, impul'snoi tsitofliuorometrii vi UF dlia registratsii opukholevykh kletok v tsel'noi krovi.",
