PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,GR,TT,AD,SI
6969276,NLM,MEDLINE,19810224,20190723,0022-1759 (Print) 0022-1759 (Linking),37,2,1980,Detection of Fc gamma receptors on human lymphoblastoid cell surfaces using a simple solid phase radioimmunoassay specific for human IgG.,123-31,"The aim of this work was to detect Fc gamma receptors on human lymphoblastoid cells using a solid phase radioimmunoassay (RIA), specific to human IgG. RIA was performed by coupling rabbit anti-human IgG (AHIgG) to acrylamide beads to make immunobeads. The specificity and sensitivity of binding of human [125I]IgG to immunobeads permitted detection of as little as 10(-10) M unlabeled human IgG or aggregated human IgG (AHIgG) in competitive assay. The cells were incubated with an AHIgG concentration (3 x 10(-10) M) giving 25% inhibition in the RIA; unbound AHIgG concentration was then measured in the cell supernatants using RIA. Results show that Fc gamma receptors could be detected at 20 degrees C or at 37 degrees C (but not at 4 degrees C) on the four B cell lines tested. At whatever temperature of incubation, Fc gamma receptors were not detected on three T cell lines nor on two 'non T-non B' cell lines. This method allows screening of a large number of Fc gamma receptor positive cells. It is also useful for detecting Fc gamma receptors in membrane preparations or in detergent extracts of human B cell membranes.","['Barel, M', 'Frade, R']","['Barel M', 'Frade R']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,J Immunol Methods,Journal of immunological methods,1305440,"['0 (Immunoglobulin G)', '0 (Receptors, Fc)']",IM,"['B-Lymphocytes/immunology', 'Cell Line', 'Cell Membrane/immunology', 'Humans', '*Immunoglobulin G', 'Leukemia/immunology', 'Lymphocytes/*immunology', 'Lymphoma/immunology', '*Radioimmunoassay', '*Receptors, Fc', 'T-Lymphocytes/immunology']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']","['0022-1759(80)90197-0 [pii]', '10.1016/0022-1759(80)90197-0 [doi]']",ppublish,J Immunol Methods. 1980;37(2):123-31. doi: 10.1016/0022-1759(80)90197-0.,,,,,
6969266,NLM,MEDLINE,19810224,20181113,0021-9738 (Print) 0021-9738 (Linking),66,6,1980 Dec,Dual parameter flow cytometry studies in human lymphomas.,1281-94,"Dual parameter flow cytometry studies using Coulter volume and cell DNA content were carried out in monodisperse cell suspensions of 64 samples of human lymphoma, chronic lymphocytic leukemia, hairy cell leukemia, and benign lymphoid proliferations. Differences in mean Coulter volume among the lymphomas were due both to the intrinsic differences in mean G1 cell Coulter volume and to the presence of increased fractions of larger S and G2 cells, especially among the large B cell lymphomas. However, the relative contribution of large non-G1 cells to the overall population Coulter volume distribution was a relatively minor one; the presence of cells in S did not increase mean Coulter volume by more than 10%, even in samples with high S fractions. There was a good correlation between mean G1 cell Coulter volume and the log of the fraction of cells in S among the B cell lymphomas (r = 0.55). Evidence is presented that within individual samples, large cells proliferate more rapidly than small cells. This was seen in every case, both in the normal samples and in the lymphomas, and in the T cell lymphomas as well as in the B cell lymphomas. Aneuploidy was detected by flow cytometry in 11 cases; in 7 cases the aneuploid cell component could be analyzed separately from the diploid cell component on the basis of cell Coulter volume differences. The aneuploid components of diploid-aneuploid mixtures had higher S fractions than the diploid components in six of seven cases (0.16 +/- 0.04 [SE] vs. 0.08 +/- 0.02). These findings are considered in relation to the histopathological classification of the lymphomas, and in relation to the concept of clonal selection and clonal evolution of tumors.","['Shackney, S E', 'Skramstad, K S', 'Cunningham, R E', 'Dugas, D J', 'Lincoln, T L', 'Lukes, R J']","['Shackney SE', 'Skramstad KS', 'Cunningham RE', 'Dugas DJ', 'Lincoln TL', 'Lukes RJ']",['eng'],['Journal Article'],United States,J Clin Invest,The Journal of clinical investigation,7802877,"['0 (DNA, Neoplasm)']",IM,"['Aneuploidy', 'B-Lymphocytes/pathology', 'Cell Cycle', 'Cell Division', 'DNA, Neoplasm/analysis', 'Fluorometry', 'Hodgkin Disease/pathology', 'Humans', 'Leukemia, Hairy Cell/pathology', 'Leukemia, Lymphoid/pathology', 'Lymphoma/classification/*pathology', 'T-Lymphocytes/pathology']",1980/12/01 00:00,1980/12/01 00:01,['1980/12/01 00:00'],"['1980/12/01 00:00 [pubmed]', '1980/12/01 00:01 [medline]', '1980/12/01 00:00 [entrez]']",['10.1172/JCI109980 [doi]'],ppublish,J Clin Invest. 1980 Dec;66(6):1281-94. doi: 10.1172/JCI109980.,PMC371613,,,,
6969246,NLM,MEDLINE,19810226,20190606,0018-0661 (Print) 0018-0661 (Linking),93,1,1980,14q +- A consistent marker of plasma cell leukaemia.,185,,"['Philip, P', 'Killman, S A']","['Philip P', 'Killman SA']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Hereditas,Hereditas,0374654,['0 (Genetic Markers)'],IM,"['B-Lymphocytes', '*Chromosomes, Human, 13-15', '*Genetic Markers', 'Humans', 'Leukemia, Plasma Cell/*genetics']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",['10.1111/j.1601-5223.1980.tb01061.x [doi]'],ppublish,Hereditas. 1980;93(1):185. doi: 10.1111/j.1601-5223.1980.tb01061.x.,,,,,
6969219,NLM,MEDLINE,19810219,20181113,0019-2805 (Print) 0019-2805 (Linking),41,2,1980 Oct,"Thymic hormonal activity on human peripheral blood lymphocytes, in vitro. I. Reciprocal effect on T and B rosette formation.",353-9,"One hour incubation with the thymic extract TP-1 induced reciprocal effect on B and T rosette formation in lymphocytes of human peripheral blood. The percentage of mouse erythrocyte rosette-forming cells among lymphocytes of chronic lymphatic leukaemia was decreased by TP-1 from 54.5% to 27.1% (P < 0.001). No such effect was observed in healthy adult or cord blood lymphocytes. On the other hand, the percentage of sheep erythrocyte rosette forming cells increased significantly after TP-1 treatment, but only under conditions of active rosette formation and not in the total rosette assay. This increase was highly significant in three conditions with relative deficiency of cell-mediated immunity: newborns (17.1 to 28.3%), cancer patients (24.5 to 31.7%) and patients with lepromatous leprosy (19.8 to 31.8%). Only a small increase was noticed in healthy adults. A similarly prepared spleen extract was not active in either B or T rosette assays.","['Shoham, J', 'Cohen, M', 'Chandali, Y', 'Avni, A']","['Shoham J', 'Cohen M', 'Chandali Y', 'Avni A']",['eng'],['Journal Article'],England,Immunology,Immunology,0374672,['0 (Thymus Extracts)'],IM,"['Adult', 'B-Lymphocytes/*immunology', 'Dose-Response Relationship, Immunologic', 'Fetal Blood/immunology', 'Gastrointestinal Neoplasms/immunology', 'Humans', 'Immunity, Cellular', 'Infant, Newborn', 'Leprosy/immunology', 'Rosette Formation', 'T-Lymphocytes/*immunology', 'Thymus Extracts/*pharmacology']",1980/10/01 00:00,1980/10/01 00:01,['1980/10/01 00:00'],"['1980/10/01 00:00 [pubmed]', '1980/10/01 00:01 [medline]', '1980/10/01 00:00 [entrez]']",,ppublish,Immunology. 1980 Oct;41(2):353-9.,PMC1458162,,,,
6969218,NLM,MEDLINE,19810219,20181113,0019-2805 (Print) 0019-2805 (Linking),41,2,1980 Oct,Immunoglobulin produced by guinea-pig leukaemic B lymphocytes: its source and use as a monitor of tumour load.,313-21,"The cells of the B lymphocytic leukaemia (L2C) of strain 2 guinea-pigs have IgM on their surfaces but produce insufficient monoclonal IgM in vivo to be detectable by conventional serum electrophoresis. A radioimmunoassay, using anti-idiotypic antibody raised against the surface IgM of these cells, has been used to estimate levels of extracellular IgM produced both in vitro and in vivo. Analyses of the contributions to such IgM from the cell surface and from an export pathway have been made by examining the effect of prior removal of surface Fab mu by papain, and by following the fate of radio-iodinated surface IgM. Results suggest that the extracellular IgM arises predominantly from an export pathway, being exported in both pentameric and monomeric forms. Only a minute contribution, possibly in the form of vesicle-bound monomeric IgM, appears to derive from the cell surface. Radioimmunoassay was used to monitor the increasing levels of this leukaemic cell product during the course of the disease. Idiotypic IgM was detectable when the body load of neoplastic cells was approximately 4% of that detectable by an increased white cell count in the blood.","['Stevenson, F K', 'Morris, D', 'Stevenson, G T']","['Stevenson FK', 'Morris D', 'Stevenson GT']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Immunology,Immunology,0374672,"['0 (Immunoglobulin Idiotypes)', '0 (Immunoglobulin M)', '0 (Receptors, Antigen, B-Cell)', 'EC 3.4.22.2 (Papain)']",IM,"['Animals', 'B-Lymphocytes/*immunology', 'Cells, Cultured', 'Electrophoresis, Polyacrylamide Gel', 'Guinea Pigs', 'Immunoglobulin Idiotypes/analysis/biosynthesis', 'Immunoglobulin M/analysis/*biosynthesis', 'Leukemia, Experimental/*immunology', 'Papain', 'Radioimmunoassay', 'Receptors, Antigen, B-Cell/analysis']",1980/10/01 00:00,1980/10/01 00:01,['1980/10/01 00:00'],"['1980/10/01 00:00 [pubmed]', '1980/10/01 00:01 [medline]', '1980/10/01 00:00 [entrez]']",,ppublish,Immunology. 1980 Oct;41(2):313-21.,PMC1458168,,,,
6969180,NLM,MEDLINE,19810226,20190909,0014-2964 (Print) 0014-2964 (Linking),16,8,1980 Aug,Limited effectiveness of in vitro high-dose methotrexate and leucovorin to overcome resistance in L1210 leukemia cells with elevations of dihydrofolate reductase.,1057-63,,"['Bruckner, H', 'Rubinoff, M', 'Waxman, S']","['Bruckner H', 'Rubinoff M', 'Waxman S']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Eur J Cancer,European journal of cancer,0074126,"['0 (DNA, Neoplasm)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'Q573I9DVLP (Leucovorin)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Cell Division/drug effects', 'Cell Line', 'DNA, Neoplasm/biosynthesis', 'Dose-Response Relationship, Drug', 'Drug Resistance', 'Leucovorin/*pharmacology', 'Leukemia L1210/*enzymology/pathology', 'Methotrexate/*pharmacology', 'Tetrahydrofolate Dehydrogenase/metabolism']",1980/08/01 00:00,1980/08/01 00:01,['1980/08/01 00:00'],"['1980/08/01 00:00 [pubmed]', '1980/08/01 00:01 [medline]', '1980/08/01 00:00 [entrez]']",['10.1016/0014-2964(80)90253-4 [doi]'],ppublish,Eur J Cancer. 1980 Aug;16(8):1057-63. doi: 10.1016/0014-2964(80)90253-4.,,"['1 RO1-AM16690-03/AM/NIADDK NIH HHS/United States', 'N01-CM 43703/CM/NCI NIH HHS/United States']",,,
6969148,NLM,MEDLINE,19810219,20181113,0009-9104 (Print) 0009-9104 (Linking),41,1,1980 Jul,Stimulation of T lymphocytes by protein A from Staphylococcus aureus in B-derived chronic lymphocytic leukaemia.,136-40,Peripheral blood lymphocytes from five untreated patients affected with B-derived chronic lymphocytic leukaemia were stimulated by protein A from Staphylococcus aureus. A very strong response (with stimulation indexes as high as 182 and percentages of blast cells as high as 90%) was found in all patients. Lymphocyte marker studies showed that the responding cells were T cells. These results and the well known abnormalities of lymphocyte response to other mitogens suggest a disbalance of T lymphocyte subpopulations in B-CLL.,"['Guglielmi, P', ""Preud'Homme, J L""]","['Guglielmi P', ""Preud'Homme JL""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Clin Exp Immunol,Clinical and experimental immunology,0057202,"['0 (Receptors, Antigen, B-Cell)', '0 (Receptors, Fc)', '0 (Staphylococcal Protein A)']",IM,"['B-Lymphocytes/immunology', 'Cells, Cultured', 'Humans', 'Leukemia, Lymphoid/*immunology', 'Leukocyte Count', 'Lymphocyte Activation', 'Receptors, Antigen, B-Cell/analysis', 'Receptors, Fc/analysis', 'Rosette Formation', 'Staphylococcal Protein A/*pharmacology', 'T-Lymphocytes/*immunology', 'Time Factors']",1980/07/01 00:00,1980/07/01 00:01,['1980/07/01 00:00'],"['1980/07/01 00:00 [pubmed]', '1980/07/01 00:01 [medline]', '1980/07/01 00:00 [entrez]']",,ppublish,Clin Exp Immunol. 1980 Jul;41(1):136-40.,PMC1536914,,,,
6969147,NLM,MEDLINE,19810219,20181113,0009-9104 (Print) 0009-9104 (Linking),41,1,1980 Jul,Immunological distinction of adult T cell leukaemia from T cell acute lymphoblastic leukaemia.,130-5,"The antigenic properties of leukaemic cells from five patients with adult T cell leukaemia were studied with rabbit anti-MOLT-4 and anti-human thymocyte antisera using indirect membrane immunofluorescent staining. The E rosette-positive, surface immunoglobulin (sIg) negative leukaemic cells from these patients gave a positive reaction with the appropriately absorbed antisera, which reacted specifically with thymocytes, cells from T cell acute lymphoblastic leukaemia (T-ALL) and T-ALL-derived lymphoblastoid cell lines (T-LCLs) and normal peripheral blood T cells. Nevertheless, the antisera further absorbed with fresh normal peripheral blood lymphocytes (FN-PBL) lost almost all the reactivities with the leukaemic cells as well as with normal peripheral blood T cells but still retained the reactivities with thymocytes, T-LCLs and T-ALL cells. The results suggest that adult T cell leukaemia cells possess a peripheral blood T cell antigen but not a thymocyte-specific antigen.","['Tsubota, T', 'Miyoshi, I', 'Uno, J', 'Hiraki, S', 'Kobayashi, T', 'Sato, U', 'Kimura, I']","['Tsubota T', 'Miyoshi I', 'Uno J', 'Hiraki S', 'Kobayashi T', 'Sato U', 'Kimura I']",['eng'],"['Case Reports', 'Journal Article']",England,Clin Exp Immunol,Clinical and experimental immunology,0057202,"['0 (Antigens, Neoplasm)', '0 (Receptors, Antigen, B-Cell)']",IM,"['Adult', 'Aged', 'Antigens, Neoplasm/analysis', 'Humans', 'Leukemia, Lymphoid/*immunology', 'Male', 'Middle Aged', 'Receptors, Antigen, B-Cell/analysis', 'Rosette Formation', 'T-Lymphocytes/*immunology']",1980/07/01 00:00,1980/07/01 00:01,['1980/07/01 00:00'],"['1980/07/01 00:00 [pubmed]', '1980/07/01 00:01 [medline]', '1980/07/01 00:00 [entrez]']",,ppublish,Clin Exp Immunol. 1980 Jul;41(1):130-5.,PMC1536924,,,,
6969112,NLM,MEDLINE,19810226,20181130,0008-5472 (Print) 0008-5472 (Linking),40,10,1980 Oct,"Comparative analysis of the immunosuppressive properties of two antiviral, iodinated thymidine analogs, 5-iodo-2'-deoxyuridine and 5-iodo-5'-amino-2',5'-dideoxyuridine.",3491-4,"5-Iodo-5'-amino-2',5'-dideoxyuridine (AldUrd), given as five single i.p. injections on Days 0 to 4 after antigenic challenge with sheep erythrocytes, had no demonstrable effect on serum hemagglutinin titers in doses as high as 2000 mg/kg/day. This was the maximum feasible single dose, but no 10% lethal dose was determinable. Similarly, 5-iodo-2'-deoxyuridine (IdUrd), 50 mg/kg/day (10% lethal dose), on Days 0 to 4 did not significantly affect this humoral response. However, with a more sensitive assay, immunocytoadherence, reductions in the number of hemagglutinin-forming cells in the spleen were found at several levels of AldUrd and IdUrd, but the same level of inhibition was attained by a course of AldUrd, 2000 mg/kg, or IdUrd, 50 mg/kg. Spleen cell-mediated immunity against lethally irradiated L1210 was measured by 4-hr 51Cr release and 48-hr growth inhibition assays. Both drugs showed dose-related immunosuppression. With AldUrd, 2000 mg/kg/day, and IdUrd, 100 mg/kg/day, on Days 0 to 4, cytotoxicity was inhibited by 35 to 68% and 73 to 90%, respectively. In comparison, a similar course of 1-beta-D arabinofuranosylcytosine, 40 mg/kg/day, completely abrogated both humoral and cell-mediated immunity. When AldUrd and IdUrd were administered on Days -5 to -1, little effect on either type of immunity was found, while pretreatment with the alkylating agent, cyclophosphamide, abolished all T-cell-mediated killing as measured on Day 7. Thus, AldUrd appears to be a very mild and IdUrd a moderate to strong cell cycle-dependent immunosuppressive.","['Kan-Mitchell, J', 'Mitchell, M S', 'Lin, T S', 'Prusoff, W H']","['Kan-Mitchell J', 'Mitchell MS', 'Lin TS', 'Prusoff WH']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Hemagglutinins)', '0 (Immunosuppressive Agents)', ""56045-73-9 (5'-amino-5-iodo-2',5'-dideoxyuridine)"", 'LGP81V5245 (Idoxuridine)']",IM,"['Animals', 'Cytotoxicity, Immunologic/drug effects', 'Female', 'Hemagglutinins/analysis', 'Idoxuridine/*analogs & derivatives/*pharmacology', 'Immunity, Cellular/*drug effects', 'Immunosuppressive Agents/*pharmacology', 'Leukemia L1210/immunology', 'Male', 'Mice', 'Rosette Formation', 'Spleen/drug effects/immunology', 'T-Lymphocytes/drug effects/immunology', 'Time Factors']",1980/10/01 00:00,1980/10/01 00:01,['1980/10/01 00:00'],"['1980/10/01 00:00 [pubmed]', '1980/10/01 00:01 [medline]', '1980/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1980 Oct;40(10):3491-4.,,['CA-5262/CA/NCI NIH HHS/United States'],,,
6969099,NLM,MEDLINE,19810219,20190904,0006-5242 (Print) 0006-5242 (Linking),41,5,1980 Nov,Peroxidase-positive acute leukemia with T-cell markers.,397-8,,"['Takagi, S', 'Morita, R', 'Morita, T', 'Yagihasi, S', 'Shimoyama, N', 'Nagai, K', 'Kawabe, H', 'Yoshida, M', 'Kurahashi, K', 'Sano, M', 'Saito, H']","['Takagi S', 'Morita R', 'Morita T', 'Yagihasi S', 'Shimoyama N', 'Nagai K', 'Kawabe H', 'Yoshida M', 'Kurahashi K', 'Sano M', 'Saito H']",['eng'],"['Case Reports', 'Journal Article']",Germany,Blut,Blut,0173401,['EC 1.11.1.- (Peroxidases)'],IM,"['Adult', 'Humans', 'Leukemia, Lymphoid/enzymology/*immunology', 'Male', 'Peroxidases/analysis', 'Rosette Formation', 'T-Lymphocytes/*immunology']",1980/11/01 00:00,1980/11/01 00:01,['1980/11/01 00:00'],"['1980/11/01 00:00 [pubmed]', '1980/11/01 00:01 [medline]', '1980/11/01 00:00 [entrez]']",['10.1007/BF01035496 [doi]'],ppublish,Blut. 1980 Nov;41(5):397-8. doi: 10.1007/BF01035496.,,,,,
