PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,PMC,GR,SI,OID,OTO,OT,GN
6951407,NLM,MEDLINE,19820621,20190821,0361-8609 (Print) 0361-8609 (Linking),12,2,1982 Apr,Acute monocytic leukemia: a surface marker study.,139-47,"Thirteen cases of acute monocytic leukemia (AMoL) were studied morphologically, cytochemically, and immunologically in an attempt to determine similarities and/or differences between acute monocytic and lymphocytic leukemias. Single class surface immunoglobulins (IgG kappa) were seen in six cases. These markers are thought to represent serum immunoglobulins attached to the leukemic monocytes via the receptors for the Fc portion of immunoglobulin and are not synthesized by the cells as is the case with B lymphocytes. Receptors for complement were also noted. It appears that surface immunoglobulins and receptors for the Fc portion of the immunoglobulin and complement, which are found on several classes of normal lymphocytes and monocytes, may also be found on leukemic monocytes. Antisera to B lymphocytes, detecting HlA-DRw antigens, also reacted with some of the leukemic monocytes.","['Mirchandani, I', 'Tabaczka, P', 'Palutke, M']","['Mirchandani I', 'Tabaczka P', 'Palutke M']",['eng'],['Journal Article'],United States,Am J Hematol,American journal of hematology,7610369,"['0 (HLA Antigens)', '0 (Receptors, Antigen, B-Cell)', '0 (Receptors, Fc)']",IM,"['Cytoplasm/immunology', 'HLA Antigens', 'Humans', 'Leukemia, Lymphoid/classification/immunology', 'Leukemia, Monocytic, Acute/enzymology/*immunology/pathology', 'Leukemia, Myeloid/immunology', 'Receptors, Antigen, B-Cell/*analysis/immunology', 'Receptors, Fc/analysis', 'Rosette Formation']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",['10.1002/ajh.2830120206 [doi]'],ppublish,Am J Hematol. 1982 Apr;12(2):139-47. doi: 10.1002/ajh.2830120206.,,,,,,,,
6951406,NLM,MEDLINE,19820624,20190511,0002-9262 (Print) 0002-9262 (Linking),115,4,1982 Apr,An alternative to ecologic regression analysis of mortality rates.,617-23,"A number of recent papers have used geographically defined data and linear models to study the relationship between a series of epidemiologic factors and the frequency of disease. This ""ecologic regression"" approach involves serious problems of interpretation. An alternate approach is discussed that does not depend on statistical models, produces easily interpreted results and yields statistical summaries that approximately parallel regression analysis. This alternative procedure is illustrated by using acute lymphocytic leukemia mortality data on a county level from among white females less than five years of age between 1969-1977.","['Selvin, S', 'Merrill, D', 'Sacks, S T']","['Selvin S', 'Merrill D', 'Sacks ST']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Am J Epidemiol,American journal of epidemiology,7910653,,IM,"['Child, Preschool', 'Computers', 'Epidemiologic Methods', 'Female', 'Humans', 'Income', 'Infant', 'Leukemia, Lymphoid/*mortality', '*Regression Analysis', 'United States']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",['10.1093/oxfordjournals.aje.a113343 [doi]'],ppublish,Am J Epidemiol. 1982 Apr;115(4):617-23. doi: 10.1093/oxfordjournals.aje.a113343.,,,,,,,,
6951405,NLM,MEDLINE,19820621,20190511,0002-9173 (Print) 0002-9173 (Linking),77,4,1982 Apr,Acute myelofibrosis.,475-8,"This report describes a 20-year-old patient with rapidly fatal fibrosis of the bone marrow associated with leukopenia, anemia, and large number of myeloblasts in peripheral blood. The bone marrow revealed extensive fibrosis and hyperplasia of the myeloblasts and megakaryocytes. The patient failed to respond to chemotherapy, developed fungal and bacterial infections, and died within less than six weeks after the diagnosis was made. The case is reported to support the concept of acute myelofibrosis and to suggest that further cases should be studied to define the clinicopathologic features of this disorder.","['Rupani, M']",['Rupani M'],['eng'],"['Case Reports', 'Journal Article']",England,Am J Clin Pathol,American journal of clinical pathology,0370470,,IM,"['Acute Disease', 'Adult', 'Bone Marrow/pathology', 'Diagnosis, Differential', 'Humans', 'Leukemia, Myeloid, Acute/pathology', 'Male', 'Megakaryocytes/pathology', 'Myeloproliferative Disorders/pathology', 'Primary Myelofibrosis/*pathology']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",['10.1093/ajcp/77.4.475 [doi]'],ppublish,Am J Clin Pathol. 1982 Apr;77(4):475-8. doi: 10.1093/ajcp/77.4.475.,,,,,,,,
6951316,NLM,MEDLINE,19820621,20071115,0040-3660 (Print) 0040-3660 (Linking),54,2,1982,[Acute leukemia associated with pregnancy].,143-4,,"['Kuvshinov, A S', ""Makhul'ko-Gorbatsevich, V G""]","['Kuvshinov AS', ""Makhul'ko-Gorbatsevich VG""]",['rus'],"['Case Reports', 'Journal Article']",Russia (Federation),Ter Arkh,Terapevticheskii arkhiv,2984818R,,IM,"['Adult', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*diagnosis', 'Pregnancy', 'Pregnancy Complications, Hematologic/*diagnosis', 'Pregnancy Trimester, Third']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",,ppublish,Ter Arkh. 1982;54(2):143-4.,Sochetanie ostrogo leikoza i beremennosti.,,,,,,,
6951309,NLM,MEDLINE,19820624,20190821,0090-3019 (Print) 0090-3019 (Linking),17,1,1982 Jan,Multifocal chloromas of the brain.,47-51,,"['Vinters, H V', 'Gilbert, J J']","['Vinters HV', 'Gilbert JJ']",['eng'],"['Case Reports', 'Journal Article']",United States,Surg Neurol,Surgical neurology,0367070,,IM,"['Adult', 'Brain Neoplasms/diagnostic imaging/*pathology', 'Female', 'Humans', 'Leukemia, Myeloid/diagnostic imaging/*pathology', 'Meningeal Neoplasms/diagnostic imaging/pathology', 'Tomography, X-Ray Computed']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']","['0090-3019(82)90042-8 [pii]', '10.1016/0090-3019(82)90042-8 [doi]']",ppublish,Surg Neurol. 1982 Jan;17(1):47-51. doi: 10.1016/0090-3019(82)90042-8.,,,,,,,,
6951283,NLM,MEDLINE,19820614,20190909,0036-553X (Print) 0036-553X (Linking),28,1,1982 Jan,Prognostic significance of cytogenetical studies in chronic granulocytic leukaemia.,77-81,"In a series of 121 patients with chronic granulocytic leukaemia (CGL) the frequence and prognostic significance of two cytogenetical features (absence of Ph'-chromosome and presence of Ph'-mosaicism) were studied. 13% of the patients were Ph'-negative, these patients showing a shorter survival than the Ph'-positive ones (P less than 0.005). 23 instances of Ph'-mosaicism were found (22.5%). This feature was observed either at diagnosis or after treatment, and irrespective of the patient's being in chronic or blastic phase of CGL, but in no case later than 2 years from diagnosis of the disease. Ph'-mosaicism patients vs the remainder of the Ph'-positive group were compared for survival, and no difference was found. The lack of prognostic significance of Ph'-mosaicism was evident regardless of the latter feature being detected at diagnosis or after treatment.","['Cervantes, F', 'Rozman, C', 'Ballesta, F', 'Mila, M']","['Cervantes F', 'Rozman C', 'Ballesta F', 'Mila M']",['eng'],"['Comparative Study', 'Journal Article']",Denmark,Scand J Haematol,Scandinavian journal of haematology,0404507,,IM,"['Adolescent', 'Adult', 'Aged', 'Bone Marrow/*ultrastructure', 'Child', '*Chromosome Aberrations', '*Chromosomes, Human, 21-22 and Y', 'Female', 'Humans', 'Leukemia, Myeloid/*genetics/mortality', 'Male', 'Middle Aged', 'Mosaicism', 'Prognosis']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",['10.1111/j.1600-0609.1982.tb02124.x [doi]'],ppublish,Scand J Haematol. 1982 Jan;28(1):77-81. doi: 10.1111/j.1600-0609.1982.tb02124.x.,,,,,,,,
6951282,NLM,MEDLINE,19820614,20190909,0036-553X (Print) 0036-553X (Linking),28,1,1982 Jan,Effect of feeder layer activity on buoyant density distributions of granulocyte-macrophage colony forming cells.,39-44,,"['Francis, G E', 'Bol, S J', 'Berney, J J']","['Francis GE', 'Bol SJ', 'Berney JJ']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Denmark,Scand J Haematol,Scandinavian journal of haematology,0404507,['0 (Culture Media)'],IM,"['Adult', 'Aged', 'Cell Separation', 'Cells, Cultured', 'Centrifugation, Density Gradient', 'Colony-Forming Units Assay', 'Culture Media', 'Female', 'Granulocytes/*cytology', 'Hematopoietic Stem Cells/*cytology', 'Humans', 'Leukemia, Myeloid, Acute/pathology', 'Macrophages/*cytology', 'Male', 'Middle Aged']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",['10.1111/j.1600-0609.1982.tb02118.x [doi]'],ppublish,Scand J Haematol. 1982 Jan;28(1):39-44. doi: 10.1111/j.1600-0609.1982.tb02118.x.,,,,,,,,
6951237,NLM,MEDLINE,19820621,20190829,0162-0886 (Print) 0162-0886 (Linking),4,1,1982 Jan-Feb,Septic arthritis due to Candida species on patients with cancer: report of five cases and review of the literature.,78-85,"In disseminated candidiasis, various organs frequently become involved, usually as a consequence of hematogenous spread of the organism. However, involvement of the joints is rare even with dissemination. Nineteen cases of joint involvement have previously been reported in adults and 21 cases in children. The most commonly involved joint has been the knee; in such cases, amphotericin B has been effective in controlling the infection. Five patients with cancer developed septic arthritis due to Candida species at the M. C. Anderson Hospital and Tumor Institute in the past five years. Four of these patients were seen in 1980. Candida albicans was isolated from three patients and Candida tropicalis from two. All five patients had predisposing conditions - e.g., intravenous and/or urinary catheterization, neutropenia, and previous treatment with steroids and antibiotics. The knee was the affected joint in all five. Different modalities of treatment were used, including intravenous miconazole, oral ketoconazole, and systemic and local amphotericin B; adequate levels of these drugs were found in the joint fluid when measured. Infection was cured in two patients. The condition of the third patient improved. The fourth patient died of disseminated disease despite therapy, and the fifth died of malignancy without the benefit of antifungal therapy. For treatment of such infections, the use of an antifungal agent is recommended in addition to frequent evacuation of the joint fluid. Some new compounds may prove useful alternatives to amphotericin B. Arthritis can be resolved even in the presence of unresolved disseminated disease.","['Fainstein, V', 'Gilmore, C', 'Hopfer, R L', 'Maksymiuk, A', 'Bodey, G P']","['Fainstein V', 'Gilmore C', 'Hopfer RL', 'Maksymiuk A', 'Bodey GP']",['eng'],"['Case Reports', 'Journal Article']",United States,Rev Infect Dis,Reviews of infectious diseases,7905878,"['0 (Antifungal Agents)', '7XU7A7DROE (Amphotericin B)']",IM,"['Adolescent', 'Aged', 'Amphotericin B/therapeutic use', 'Antifungal Agents/therapeutic use', 'Arthritis, Infectious/drug therapy/*etiology', 'Candidiasis/*complications', 'Female', 'Humans', 'Knee Joint/*pathology', 'Leukemia, Myeloid/complications', 'Male', 'Middle Aged', 'Neoplasm Metastasis', 'Neoplasms/*complications', 'Neutropenia/complications', 'Osteosarcoma/complications']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",['10.1093/clinids/4.1.78 [doi]'],ppublish,Rev Infect Dis. 1982 Jan-Feb;4(1):78-85. doi: 10.1093/clinids/4.1.78.,,,,,,,,
6951204,NLM,MEDLINE,19820621,20190501,0027-8424 (Print) 0027-8424 (Linking),79,5,1982 Mar,Natural antibodies to the structural core protein (p24) of the human T-cell leukemia (lymphoma) retrovirus found in sera of leukemia patients in Japan.,1653-7,"In Japan, adult T-cell leukemias and lymphomas are more common than in the United States and Europe, and in the southwest part of Japan these T-cell malignancy cases appear in clusters. Therefore, we investigated the involvement in these leukemias and lymphomas of the human T-cell leukemia virus (HTLV) that was previously isolated in one of our laboratories from cultured T cells of some patients in the United States with leukemias and lymphomas involving relatively mature T cells. High titers of antibodies capable of quantitative precipitation of (125)I-labeled p24, a well characterized core protein of HTLV, were detected in 12 of 12 patients with untreated adult T-cell leukemia (ATL). (One negative was a patient on chemotherapy.) Ten of the 12 positive samples were from an area where the disease is endemic. Strong precipitating antibodies were also detected in five of seven cases of T-cell malignant lymphoma (TML) which differs from ATL by having fewer leukemic cells in the peripheral blood. High antibody titers were also observed in one of five cases of acute monoblastic leukemia and one of eight cases of chronic myelogenous leukemia in the blast phase of the disease. Low to moderate titers of antibodies were detected in several categories of leukemia (two cases of blast-phase chronic myelogenous leukemia, two cases of acute lymphoblastic leukemia of the null-cell type, and one case of acute myelogenous leukemia). Among all categories of leukemias, except ATL and TML, more cases were negative than positive for anti-p24 activity. All of 79 sera from normal Japanese, including 39 collected from the endemic ATL area of southwest Japan, were negative for antibodies to HTLV p24. All the positive reactivities observed were highly specific to HTLV. The only competition observed in the precipitation of HTLV p24 was with HTLV or with cell lines expressing HTLV and not with various animal retroviruses or a large number of human and subhuman primate cell lines, not known to be producing HTLV. The data strongly indicate an association of HTLV with the increased incidence of ATL in parts of Japan, probably with other forms of leukemias in Japan, and, less commonly, with certain T-cell malignancies in the United States.","['Kalyanaraman, V S', 'Sarngadharan, M G', 'Nakao, Y', 'Ito, Y', 'Aoki, T', 'Gallo, R C']","['Kalyanaraman VS', 'Sarngadharan MG', 'Nakao Y', 'Ito Y', 'Aoki T', 'Gallo RC']",['eng'],['Journal Article'],United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Antigens, Viral)', '0 (Viral Proteins)']",IM,"['Antigens, Viral/*immunology', 'Humans', 'Leukemia/*immunology', 'Lymphoma/*immunology', 'Retroviridae/*immunology', 'Viral Proteins/*immunology']",1982/03/01 00:00,1982/03/01 00:01,['1982/03/01 00:00'],"['1982/03/01 00:00 [pubmed]', '1982/03/01 00:01 [medline]', '1982/03/01 00:00 [entrez]']",['10.1073/pnas.79.5.1653 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1982 Mar;79(5):1653-7. doi: 10.1073/pnas.79.5.1653.,,PMC346034,,,,,,
6951142,NLM,MEDLINE,19820624,20071115,,24,1,1982,Y chromosome duplication in chronic myeloid leukemia.,9-12,Y chromosome duplication appeared in a patient with chronic myeloid leukaemia (CML) during blastic crisis. Additional chromosome changes were present. Y chromosome duplication may be a minor route of karyotype evolution in CML.,"['Stoll, C', 'Oberling, F']","['Stoll C', 'Oberling F']",['eng'],"['Case Reports', 'Journal Article']",Germany,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,7909092,,IM,"['Adult', 'Bone Marrow/ultrastructure', '*Chromosome Aberrations', 'Chromosome Banding', 'Chromosomes, Human, 21-22 and Y/ultrastructure', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Leukemia, Myeloid, Acute/genetics', 'Lymphocytes/ultrastructure', 'Male', 'Sex Chromosomes/*ultrastructure', 'Spleen/ultrastructure', 'Y Chromosome/*ultrastructure']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",,ppublish,Nouv Rev Fr Hematol. 1982;24(1):9-12.,,,,,,,,
