PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,TT,OID,OTO,OT,GN
6939685,NLM,MEDLINE,19810720,20211203,0095-1137 (Print) 0095-1137 (Linking),13,4,1981 Apr,Capnocytophaga ochracea septicemia.,643-5,A case report describing Capnocytophaga ochracea (Bacteroides ochraceus) septicemia in a 21-year-old male patient receiving chemotherapy for acute lymphocytic leukemia is presented. The unusual features of this organism are discussed together with a review of the literature.,"['Gilligan, P H', 'McCarthy, L R', 'Bissett, B K']","['Gilligan PH', 'McCarthy LR', 'Bissett BK']",['eng'],"['Case Reports', 'Journal Article']",United States,J Clin Microbiol,Journal of clinical microbiology,7505564,['0 (Antineoplastic Agents)'],IM,"['Adult', 'Antineoplastic Agents/therapeutic use', 'Bacteroides/classification/isolation & purification', 'Bacteroides Infections/*etiology/microbiology', 'Blood/microbiology', 'Drug Therapy, Combination', 'Humans', 'Immunosuppression Therapy/adverse effects', 'Leukemia, Myeloid, Acute/complications/drug therapy', 'Male', 'Sepsis/*etiology/microbiology']",PMC273851,1981/04/01 00:00,1981/04/01 00:01,['1981/04/01 00:00'],"['1981/04/01 00:00 [pubmed]', '1981/04/01 00:01 [medline]', '1981/04/01 00:00 [entrez]']",['10.1128/jcm.13.4.643-645.1981 [doi]'],ppublish,J Clin Microbiol. 1981 Apr;13(4):643-5. doi: 10.1128/jcm.13.4.643-645.1981.,,,,,,
6939680,NLM,MEDLINE,19810709,20190904,0018-2214 (Print) 0018-2214 (Linking),13,1,1981 Jan,The ultrastructural localization of human neutrophil alkaline phosphatase in normal individuals during pregnancy and in patients with chronic granulocytic leukaemia.,31-43,"The intracellular localization of alkaline phosphatase was determined in human neutrophils by electron microscope cytochemistry. In normal individuals, the largest and most intense deposits of reaction product was seen in a unique cytoplasmic granule population termed 'phosphasomes'. Lighter deposits were seen on nuclear membranes, some intracytoplasmic membranes lining vacuoles and granules and occasionally in focal patches on the internal surface of the plasma membrane. In cells isolated from women in the third trimester of pregnancy, activity was found in the same intracellular sites but there were, on average, more alkaline phosphatase-containing granules per cell than in the cells from non-pregnant individuals. Neutrophils from pregnant women were also characterized by the presence of large deposits of reaction product on the external surface of the plasma membrane (extramembranous). This activity had properties characteristic of the placental isoenzyme of alkaline phosphatase, found in serum during pregnancy. Neutrophils from patients with chronic granulocytic leukaemia, showing normal mature morphology, contained significant amounts of granule reaction product but there were fewer phosphasomes per cell than in normal individuals. In morphologically immature cells, reaction product was present in nuclear membranes, endoplasmic reticulum and large granules. These results were in agreement with previous biochemical data confirming a quantitative lack of alkaline phosphatase in chronic granulocytic leukaemia.","['Wilson, P D', 'Rustin, G J', 'Peters, T J']","['Wilson PD', 'Rustin GJ', 'Peters TJ']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Histochem J,The Histochemical journal,0163161,['EC 3.1.3.1 (Alkaline Phosphatase)'],IM,"['Alkaline Phosphatase/*blood', 'Female', 'Humans', 'Leukemia, Myeloid/*enzymology', 'Neutrophils/*enzymology/ultrastructure', '*Pregnancy', 'Reference Values']",,1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1007/BF01005837 [doi]'],ppublish,Histochem J. 1981 Jan;13(1):31-43. doi: 10.1007/BF01005837.,,,,,,
6939679,NLM,MEDLINE,19810720,20190825,0021-1265 (Print) 0021-1265 (Linking),149,10,1980 Oct,Digital arteritis as a presenting feature of malignant disease.,386-90,,"[""O'Donnell, J R"", 'Keaveny, T V', ""O'Connell, L G""]","[""O'Donnell JR"", 'Keaveny TV', ""O'Connell LG""]",['eng'],"['Case Reports', 'Journal Article']",Ireland,Ir J Med Sci,Irish journal of medical science,7806864,,IM,"['Adenocarcinoma/*diagnosis', 'Arteritis/diagnosis/*etiology', 'Child', 'Diagnosis, Differential', 'Humans', 'Leukemia, Myeloid, Acute/*diagnosis', 'Male', 'Middle Aged', 'Stomach Neoplasms/*diagnosis', 'Toes/*blood supply']",,1980/10/01 00:00,1980/10/01 00:01,['1980/10/01 00:00'],"['1980/10/01 00:00 [pubmed]', '1980/10/01 00:01 [medline]', '1980/10/01 00:00 [entrez]']",['10.1007/BF02939176 [doi]'],ppublish,Ir J Med Sci. 1980 Oct;149(10):386-90. doi: 10.1007/BF02939176.,,,,,,
6939660,NLM,MEDLINE,19810723,20091111,0019-509X (Print) 0019-509X (Linking),17,4,1980 Dec,Splenectomy in chronic myeloid leukaemia.,242-4,,"['Samsi, A B', 'Mehta, B C', 'Pandya, A P', 'Usgaokar, R P', 'Kulkarni, V R', 'Kamdar, M S', 'Agarwal, M B']","['Samsi AB', 'Mehta BC', 'Pandya AP', 'Usgaokar RP', 'Kulkarni VR', 'Kamdar MS', 'Agarwal MB']",['eng'],['Journal Article'],India,Indian J Cancer,Indian journal of cancer,0112040,,IM,"['Adolescent', 'Adult', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia, Myeloid/*therapy', 'Male', 'Middle Aged', 'Postoperative Complications/epidemiology', '*Splenectomy']",,1980/12/01 00:00,1980/12/01 00:01,['1980/12/01 00:00'],"['1980/12/01 00:00 [pubmed]', '1980/12/01 00:01 [medline]', '1980/12/01 00:00 [entrez]']",,ppublish,Indian J Cancer. 1980 Dec;17(4):242-4.,,,,,,
6939652,NLM,MEDLINE,19810720,20131121,0016-867X (Print) 0016-867X (Linking),36,6,1981 Jun,Acute leukemia: early recognition can spell survival.,32-6,,"['Vaughan, W P', 'Karp, J E', 'Burke, P J']","['Vaughan WP', 'Karp JE', 'Burke PJ']",['eng'],"['Case Reports', 'Journal Article']",United States,Geriatrics,Geriatrics,2985102R,"['0 (Antibiotics, Antineoplastic)', '04079A1RDZ (Cytarabine)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Aged', 'Antibiotics, Antineoplastic/adverse effects', 'Cytarabine/therapeutic use', 'Daunorubicin/therapeutic use', 'Drug Therapy, Combination', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*diagnosis/drug therapy', 'Male', 'Middle Aged', 'Recurrence']",,1981/06/01 00:00,1981/06/01 00:01,['1981/06/01 00:00'],"['1981/06/01 00:00 [pubmed]', '1981/06/01 00:01 [medline]', '1981/06/01 00:00 [entrez]']",,ppublish,Geriatrics. 1981 Jun;36(6):32-6.,,,,,,
6939645,NLM,MEDLINE,19810720,20141003,0016-450X (Print) 0016-450X (Linking),71,5,1980 Oct,Therapeutic synergism elicited by the combination of 6-thioguanine and 3-[(4-amino-2-methyl-5-pyrimidinyl)methyl]-1-(2-chloroethyl)-1-nitrosourea hydrochloride: synergistic cytocidal activity against L1210 cells in vitro.,659-66,"In order to clarify the mechanism of therapeutic synergism elicited by a combination of 6-thioguanine and 3-[(4-amino-2-methyl-5-pyrimidinyl)methyl]-1-(2-chloroethyl)-1-nitrosourea hydrochloride (ACNU), the cytocidal activity towards L1210 leukemic cells in vitro of these two drugs, alone and in combination, was examined by the soft agar cloning assay and the regrowth assay methods. More than 10-fold greater cell-killing activity than the expected additive survival (the product of fractional survival obtained for each drug alone) was observed on treatment with the combination of these drugs in both assay methods. More-over, dose- and treatment schedule-dependent antitumor activity of this combination treatment against L1210 leukemia in vivo was clearly reflected in the cytocidal activity towards L1210 cells in vitro. These findings suggest that the therapeutic synergism elicited by the combination of ACNU and 6-thioguanine results from synergistic cytocidal activity towards tumor cells.","['Fujimoto, S', 'Ogawa, M']","['Fujimoto S', 'Ogawa M']",['eng'],['Journal Article'],Japan,Gan,Gan,0151745,"['0 (Antineoplastic Agents)', '0 (Nitrosourea Compounds)', '0S726V972K (Nimustine)', 'FTK8U1GZNX (Thioguanine)']",IM,"['Animals', 'Antineoplastic Agents/*administration & dosage', 'Cells, Cultured', 'Dose-Response Relationship, Drug', 'Drug Synergism', 'Drug Therapy, Combination', 'Female', 'Leukemia L1210/*drug therapy', 'Male', 'Mice', 'Nimustine', 'Nitrosourea Compounds/*administration & dosage', 'Thioguanine/*administration & dosage']",,1980/10/01 00:00,1980/10/01 00:01,['1980/10/01 00:00'],"['1980/10/01 00:00 [pubmed]', '1980/10/01 00:01 [medline]', '1980/10/01 00:00 [entrez]']",,ppublish,Gan. 1980 Oct;71(5):659-66.,,,,,,
6939596,NLM,MEDLINE,19810720,20071115,0301-472X (Print) 0301-472X (Linking),8,9,1980 Oct,Adherent cell-mediated inhibition of human leukemic myelopoiesis.,1146-56,"We investigated the possibility that the control of leukemic growth by autologous adherent marrow cells may explain the indolent behavior of oligoleukemia. Leukemic cluster growth was measured by in vitro agar culture. The following marrow fractions (Fr) were examined from 13 patients for leukemic growth: Fr I: ficollisopaque interface cells (density less than 1.077 g/ml); Fr II: adherent-cell depleted Fr I (4.8% +/- 2.1 (SE) monocytes); Fr III: adherent and phagocytic cell depleted Fr I (0.3% +/- 0.2 monocytes); and Fr IV: adherent cells removed from plastic surfaces by lidocaine plus EDTA (74% +/- 10.9 monocytes). Two patient groups were recognized: Group A showed cluster growth in Fr IV with no absolute increase in Fr III and no suppression of Fr III cluster growth with addition of Fr IV. In Group B, Fr III showed an absolute increase in cluster growth. Fr IV did not show cluster growth and addition of Fr IV to Fr III suppressed growth. This suggested that in Group B, monocytes may suppress leukemic growth, the failure to observe this in Group A indicated the possible leukemic nature of the adherent cell fraction and the absence of residual normal monocytes. Other possible explanations are discussed.","['Spitzer, G', 'Verma, D S', 'Zander, A', 'Beran, M', 'Dicke, K A', 'Tindle, S', 'Siegel, S']","['Spitzer G', 'Verma DS', 'Zander A', 'Beran M', 'Dicke KA', 'Tindle S', 'Siegel S']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Exp Hematol,Experimental hematology,0402313,,IM,"['Bone Marrow/pathology', 'Cell Adhesion', 'Cells, Cultured', 'Colony-Forming Units Assay', '*Hematopoiesis', 'Humans', 'Leukemia, Myeloid, Acute/*blood/immunology', 'Leukocyte Count', 'Leukocytes/immunology', 'Lymphocyte Depletion', 'Phagocytosis']",,1980/10/01 00:00,1980/10/01 00:01,['1980/10/01 00:00'],"['1980/10/01 00:00 [pubmed]', '1980/10/01 00:01 [medline]', '1980/10/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1980 Oct;8(9):1146-56.,,,,,,
6939521,NLM,MEDLINE,19810723,20131121,0301-0171 (Print) 0301-0171 (Linking),29,3,1981,Karyotypic analysis of methotrexate-resistant and sensitive mouse L5178Y cells.,145-52,,"['Berenson, R J', 'Francke, U', 'Dolnick, B J', 'Bertino, J R']","['Berenson RJ', 'Francke U', 'Dolnick BJ', 'Bertino JR']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Switzerland,Cytogenet Cell Genet,Cytogenetics and cell genetics,0367735,"['EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', '*Cell Line', 'Chromosome Mapping', 'Chromosomes/*ultrastructure', 'Drug Resistance', 'Gene Amplification', 'Genes', 'Karyotyping', '*Leukemia, Lymphoid', 'Methotrexate/*pharmacology', 'Mice', 'Tetrahydrofolate Dehydrogenase/*genetics']",,1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Cytogenet Cell Genet. 1981;29(3):145-52.,"['CA 08010/CA/NCI NIH HHS/United States', 'GM 26105/GM/NIGMS NIH HHS/United States']",,,,,
6939520,NLM,MEDLINE,19810723,20091111,0010-8901 (Print) 0010-8901 (Linking),71,1,1981 Jan,Chromosomal aberrations in leukemic cats.,43-6,"The bone marrows of two female acute lymphoblastic leukemic cats were studied cytogenetically with the conventional and one also with the G-banding techniques. Both cats had marked aneuploidies. Cat leukemia is caused by virus, FeLV. Perhaps, this virus is capable of affecting cat chromosomes and as a result of this process converts the normal cells into leukemic cells.","['Goh, K', 'Smith, R A', 'Proper, J S']","['Goh K', 'Smith RA', 'Proper JS']",['eng'],['Journal Article'],United States,Cornell Vet,The Cornell veterinarian,0074245,,IM,"['Animals', 'Cat Diseases/*genetics', 'Cats', '*Chromosome Aberrations', 'Female', 'Karyotyping', 'Leukemia, Lymphoid/genetics/*veterinary']",,1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Cornell Vet. 1981 Jan;71(1):43-6.,,,,,,
6939512,NLM,MEDLINE,19810720,20190706,0009-8981 (Print) 0009-8981 (Linking),111,1,1981 Mar 19,Subcellular localisation and properties of histone phosphate phosphatase in human polymorphonuclear leukocytes: alterations in pregnancy and chronic granulocytic leukaemia and relationship to alkaline phosphatase.,17-25,"Using [32P]histone as substrate, an assay for histone phosphate phosphatase was optimised for human polymorphonuclear leukocytes. Kinetic studies showed that the activity was optimal at pH 6.8, was stimulated by Mn2+ and Co2+, and inhibited by sodium sulphite and zinc chloride. The apparent Km of the enzyme for histone phosphate was 0.89 mumol/l. Neutrophils were homogenized in isotonic sucrose and, after low speed centrifugation, the supernatant was subjected to analytical subcellular fractionation. Gradient fractions were assayed for principal marker enzymes and for histone phosphate phosphatase. Histone phosphate phosphatase activity was shown to be solely located to the cytosol. No activity was detected in the alkaline phosphatase-containing granules. Neutrophils were isolated from the blood of control subjects, patients with chronic granulocytic leukaemia and women in the third trimester of pregnancy. The specific activity (milliunits/mg protein) of histone phosphate phosphatase was significantly reduced in patients with chronic granulocytic leukaemia compared to control values but this decrease was considerably less than that found for alkaline phosphatase. The possible implication of the reduced histone phosphatase activity in leukaemia neutrophils is discussed. There was no significant change in histone phosphate phosphatase in leucocytes from pregnant women. These results, together with the subcellular fractionation experiments and inhibitor studies, strongly indicate that histone phosphate phosphatase is not attributable to neutrophil alkaline phosphatase.","['Smith, G P', 'Peters, T J']","['Smith GP', 'Peters TJ']",['eng'],['Journal Article'],Netherlands,Clin Chim Acta,Clinica chimica acta; international journal of clinical chemistry,1302422,"['0 (Histones)', 'EC 3.1.3.1 (Alkaline Phosphatase)']",IM,"['Alkaline Phosphatase/*blood', 'Female', 'Histones/blood', 'Humans', 'Leukemia, Myeloid/*enzymology', 'Neutrophils/*enzymology/ultrastructure', 'Phosphorylation', '*Pregnancy', 'Subcellular Fractions/enzymology']",,1981/03/19 00:00,1981/03/19 00:01,['1981/03/19 00:00'],"['1981/03/19 00:00 [pubmed]', '1981/03/19 00:01 [medline]', '1981/03/19 00:00 [entrez]']","['0009-8981(81)90415-0 [pii]', '10.1016/0009-8981(81)90415-0 [doi]']",ppublish,Clin Chim Acta. 1981 Mar 19;111(1):17-25. doi: 10.1016/0009-8981(81)90415-0.,,,,,,
