PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,TT,SI,PMC,OID,OTO,OT,GN,OAB,OABL,AD,RF
6897359,NLM,MEDLINE,19830119,20190623,0006-2952 (Print) 0006-2952 (Linking),31,20,1982 Oct 15,Cooperative sequestration of m-AMSA in L1210 cells.,3269-77,"The anticancer drug 4'-(9-acridinylamino)-methanesulfon-m-anisidide (m-AMSA) is known to bind to DNA by intercalation and to produce protein-associated DNA strand breaks in cells. Previous work [Zwelling et al., Biochemistry 20, 6553 (1981)] had shown that m-AMSA is in rapid equilibrium between extracellular and intracellular compartments, and that the DNA strand breaks exist in a steady state of rapid formation and resealing. The current work reports an unusual uptake phenomenon of m-AMSA by mouse leukemia L1210 cells that occurs at higher drug concentrations than previously studied. The new uptake phenomenon was characterized by cooperativity, hysteresis, irreversibility, saturability, slowness and temperature dependence. It is concluded that m-AMSA concentrations above a critical value can initiate the irreversible sequestration of m-AMSA into a new phase, probably in an extranuclear compartment of the cell, from which the drug has no access to the nuclear DNA and probably does not contribute to cytotoxicity.","['Zwelling, L A', 'Kerrigan, D', 'Michaels, S', 'Kohn, K W']","['Zwelling LA', 'Kerrigan D', 'Michaels S', 'Kohn KW']",['eng'],['Journal Article'],England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (Aminoacridines)', '0 (Azides)', '0 (DNA, Neoplasm)', '0 (Intercalating Agents)', '00DPD30SOY (Amsacrine)']",IM,"['Allosteric Regulation', 'Aminoacridines/*metabolism', 'Amsacrine', 'Animals', 'Azides/pharmacology', 'Cell Nucleus/metabolism', 'Cells, Cultured', 'DNA, Neoplasm/metabolism', 'Energy Metabolism/drug effects', 'Hydrogen-Ion Concentration', 'Intercalating Agents/pharmacology', 'Kinetics', 'Leukemia L1210/*metabolism', 'Mice']",1982/10/15 00:00,1982/10/15 00:01,['1982/10/15 00:00'],"['1982/10/15 00:00 [pubmed]', '1982/10/15 00:01 [medline]', '1982/10/15 00:00 [entrez]']","['0006-2952(82)90561-5 [pii]', '10.1016/0006-2952(82)90561-5 [doi]']",ppublish,Biochem Pharmacol. 1982 Oct 15;31(20):3269-77. doi: 10.1016/0006-2952(82)90561-5.,,,,,,,,,,,,
6897311,NLM,MEDLINE,19830119,20190829,0165-2427 (Print) 0165-2427 (Linking),3,5,1982 Sep,Circulating immune cells and immune complexes in peripheral blood of healthy and of bovine leukemia virus-infected cows and lymphosarcomatous calves.,475-84,"The peripheral blood (lymphocytes and immune complexes (IC) from 20 healthy cows, 5 healthy calves, 10 bovine leukemia virus-infected cows and 4 lymphosarcomatous calves was investigated using 4 different immunological techniques. A highly significant increase in the percentage of surface immunoglobulin (SIg)-bearing peripheral blood lymphocytes of persistent lymphocytosis-cows could be demonstrated while the percentage was decreased in the lymphosarcomatous calves. Percentages of spontaneous sheep red blood cells(SRBC)-rosettes (E-rosettes) were not elevated. Antibodies to bovine leukemia virus-antigen were detected in the sera (immuno-diffusion test) of all the leukotic cows but not of the lymphosarcomatous calves. Although there seems to be an increased level of IC in the advanced stage, as compared to the beginning of the disease, there was no statistically significant difference in comparison with the control individuals. In the lymphosarcomatous calves as well as in the leukemic cows there was no statistical difference in the IC values between diseased animals and controls.","['Mayr, B', 'Vogel, I', 'Graninger, W', 'Schlerka, G', 'Wockl, F', 'Schleger, W']","['Mayr B', 'Vogel I', 'Graninger W', 'Schlerka G', 'Wockl F', 'Schleger W']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Vet Immunol Immunopathol,Veterinary immunology and immunopathology,8002006,"['0 (Antibodies, Viral)', '0 (Antigen-Antibody Complex)', '0 (Receptors, Antigen, B-Cell)']",IM,"['Animals', 'Antibodies, Viral/immunology', '*Antigen-Antibody Complex', 'Cattle', 'Leukemia/blood/*immunology', 'Lymphocytes/*immunology', 'Lymphoma, Non-Hodgkin/blood/*immunology', 'Receptors, Antigen, B-Cell/immunology', 'Rosette Formation', 'Sheep/immunology']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']","['0165-2427(82)90013-7 [pii]', '10.1016/0165-2427(82)90013-7 [doi]']",ppublish,Vet Immunol Immunopathol. 1982 Sep;3(5):475-84. doi: 10.1016/0165-2427(82)90013-7.,,,,,,,,,,,,
6897281,NLM,MEDLINE,19830107,20151119,0026-895X (Print) 0026-895X (Linking),22,2,1982 Sep,Comparison of the in vivo and in vitro antileukemic activity of monosubstituted derivatives of 4'-(9-acridinylamino)methanesulfon-m-anisidide.,486-92,"The growth-inhibitory activity of 4'-(9-acridinylamino)methanesulfon-m-anisidide and 47 acridine-monosubstituted derivatives has been measured using cultures of L1210 murine leukemia cells grown for 3 days in the presence of each drug. The results have been compared with previously published in vivo antitumor activity and physicochemical properties related to DNA binding, acridine base strength, stability to chemical attack by thiols, and lipophilicity. Multiple-parameter regression equations show that both dose potency and host toxicity in mice are related to a combination of in vitro activity and a nonlinear (quadratic) term in lipophilicity. The in vitro activity can in turn be modeled as a combination of terms representing DNA binding, ability to quench the fluorescence of DNA-bound ethidium stability to thiolysis, and lipophilicity. It is hypothesized that the terms for thiolytic stability and lipophilic-hydrophilic balance describe the availability of the drug to the cell, and that the DNA binding constant determines what proportion of the available drug is bound to DNA, the proposed target site. The remaining terms could reflect changes in the geometry of drug-DNA binding, which in turn affect the intrinsic activity of these drugs when bound at their site of action.","['Baguley, B C', 'Cain, B F']","['Baguley BC', 'Cain BF']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Mol Pharmacol,Molecular pharmacology,0035623,"['0 (Aminoacridines)', '0 (Antineoplastic Agents)', '00DPD30SOY (Amsacrine)', '9007-49-2 (DNA)']",IM,"['Aminoacridines/*pharmacology', 'Amsacrine', 'Animals', 'Antineoplastic Agents/metabolism/*pharmacology', 'DNA/metabolism', 'Half-Life', 'Leukemia, Experimental/drug therapy', 'Mice', 'Regression Analysis']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",,ppublish,Mol Pharmacol. 1982 Sep;22(2):486-92.,,,,,,,,,,,,
6897227,NLM,MEDLINE,19830107,20190825,0340-6997 (Print) 0340-6997 (Linking),7,10,1982,Effect of pH on tumor cell uptake of radiogallium in vitro and in vivo.,462-8,"When injected at tracer levels into the blood, radiogallium as 67Ga-citrate binds to, and it transported to the site of the tumor by, transferrin. The process by which transferrin-bound Ga is converted to tumor-bound Ga is not fully understood, but may involve the differential physiology of neoplasms compared with normal tissues. Based on the slight acidity known to be exhibited by the extracellular fluid of many animal and human tumors, we have studied the effect of pH on stability and dissociation of the Ga-transferrin complex and on the uptake of Ga by tumor cells in vitro and animal tumors in vivo. When plasma from rabbits injection 67Ga-citrate was dialyzed at pH 6.5-7.5, dissociation of Ga from transferrin showed an inverse pH-dependence. A similar inverse dependence on pH was observed for the uptake of Ga by L1210 leukemia cells and Ehrlich ascites cells incubated with Ga-transferrin complex. Tumor uptake of Ga in rats bearing Walker-256 carcinosarcoma or Murphystum lymphosarcoma whose tumor pH had been further lowered by administration of glucose showed a statistically significant increase over control rats receiving no glucose. These results demonstrate that the stability of the Ga-transferrin complex is pH-dependent and suggest that dissociation of this complex due to decreased pH at the tumor site may be one factor involved in tumor localization and binding of Ga.","['Vallabhajosula, S R', 'Harwig, J F', 'Wolf, W']","['Vallabhajosula SR', 'Harwig JF', 'Wolf W']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Germany,Eur J Nucl Med,European journal of nuclear medicine,7606882,"['0 (Gallium Radioisotopes)', '0 (Transferrin)']",IM,"['Animals', 'Carcinoma 256, Walker/metabolism', 'Carcinoma, Ehrlich Tumor/metabolism', 'Cell Survival', 'Cells, Cultured', 'Gallium Radioisotopes/*metabolism', 'Hydrogen-Ion Concentration', 'Leukemia L1210/metabolism', 'Lymphoma, Non-Hodgkin/metabolism', 'Male', 'Mice', 'Mice, Inbred DBA', 'Neoplasm Transplantation', 'Neoplasms/*metabolism', 'Rabbits', 'Rats', 'Transferrin/*metabolism']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",['10.1007/BF00253083 [doi]'],ppublish,Eur J Nucl Med. 1982;7(10):462-8. doi: 10.1007/BF00253083.,"['5 PO1 CA 19438/CA/NCI NIH HHS/United States', '5 RO1 21273/PHS HHS/United States', '5 SO7 RR 05466 13/RR/NCRR NIH HHS/United States']",,,,,,,,,,,
6897191,NLM,MEDLINE,19821216,20190623,0006-2952 (Print) 0006-2952 (Linking),31,18,1982 Sep 15,Studies on a mode of resistance to m-AMSA.,3008-10,,"['Kessel, D', 'Wheeler, C', 'Chou, T H', 'Howard, W S', 'Johnson, R K']","['Kessel D', 'Wheeler C', 'Chou TH', 'Howard WS', 'Johnson RK']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (Aminoacridines)', '0 (Antineoplastic Agents)', '00DPD30SOY (Amsacrine)', '80168379AG (Doxorubicin)']",IM,"['Aminoacridines/*pharmacology', 'Amsacrine', 'Animals', 'Antineoplastic Agents/*pharmacology', 'Doxorubicin/pharmacology', 'Drug Resistance', 'Leukemia P388/drug therapy', 'Mice']",1982/09/15 00:00,1982/09/15 00:01,['1982/09/15 00:00'],"['1982/09/15 00:00 [pubmed]', '1982/09/15 00:01 [medline]', '1982/09/15 00:00 [entrez]']","['0006-2952(82)90280-5 [pii]', '10.1016/0006-2952(82)90280-5 [doi]']",ppublish,Biochem Pharmacol. 1982 Sep 15;31(18):3008-10. doi: 10.1016/0006-2952(82)90280-5.,"['CA-23243/CA/NCI NIH HHS/United States', 'N01-CM-07302/CM/NCI NIH HHS/United States', 'N01-CM-87186/CM/NCI NIH HHS/United States']",,,,,,,,,,,
6897189,NLM,MEDLINE,19821216,20190623,0006-2952 (Print) 0006-2952 (Linking),31,18,1982 Sep 15,"Effects of bis(6-mercaptopurine-9-beta-D-ribofuranoside)-5',5""-phosphate and its butyryl derivative on mouse leukaemia L1210 and a 6-mercaptopurine-resistant subline in culture.",2903-12,,"['Tidd, D M', 'Johnston, H P', 'Gibson, I']","['Tidd DM', 'Johnston HP', 'Gibson I']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (Antineoplastic Agents)', '0 (Thionucleotides)', ""83385-96-0 (P(1),P(2)-bis(O(2'),O(3')-dibutyryl-6-mercaptopurine-9"", ""beta-ribofuranoside)-5'-pyrophosphate)"", '83385-99-3 (P(1),P(2)-bis(6-mercaptopurine-9', ""beta-ribofuranoside)-5'-pyrophosphate)"", 'E7WED276I5 (Mercaptopurine)']",IM,"['Animals', 'Antineoplastic Agents/*pharmacology', 'Cell Line', 'Drug Resistance', 'Leukemia L1210/*drug therapy', 'Mercaptopurine/*pharmacology', 'Mice', 'Thionucleotides/*pharmacology']",1982/09/15 00:00,1982/09/15 00:01,['1982/09/15 00:00'],"['1982/09/15 00:00 [pubmed]', '1982/09/15 00:01 [medline]', '1982/09/15 00:00 [entrez]']","['0006-2952(82)90262-3 [pii]', '10.1016/0006-2952(82)90262-3 [doi]']",ppublish,Biochem Pharmacol. 1982 Sep 15;31(18):2903-12. doi: 10.1016/0006-2952(82)90262-3.,,,,,,,,,,,,
6897028,NLM,MEDLINE,19821218,20190511,0009-9236 (Print) 0009-9236 (Linking),32,5,1982 Nov,Cytostatic drugs are without significant effect on digitoxin plasma level and renal excretion.,646-51,"In three patients with malignant lymphoma who received 0.5 mg digitoxin before and 24 hr after combination therapy with cyclophosphamide, Oncovin, procarbazine, and prednisone (COPP) or cyclophosphamide, Oncovin, and prednisone (COP), plasma glycoside concentrations and renal excretion were measured 0 to 168 hr after digitoxin and the areas under plasma concentration-time curves *(AUCs) were calculated. In 10 patients receiving 0.1 mg digitoxin, daily plasma glycoside concentration and daily renal excretion were measured before and after COPP, COP, or cyclophosphamide, Oncovin, cytosine-arabinoside, and prednisone (COAP) treatment schemes. In contrast to previous reports on digoxin, cytostatic drug therapy does not lead to a reduction in steady-state digitoxin plasma levels and daily renal excretion. During cytostatic therapy attainment of peak digitoxin level was delayed after a single dose, showing that the rate of digitoxin absorption was reduced, but that the AUCs and renal excretion of digitoxin (parameters of the extent of digitoxin absorption) were not diminished. Since the absorption rate is not clinically relevant in patients on long-term glycoside therapy, our results indicate that digitoxin is preferable to digoxin in such patients.","['Kuhlmann, J', 'Wilke, J', 'Rietbrock, N']","['Kuhlmann J', 'Wilke J', 'Rietbrock N']",['eng'],['Journal Article'],United States,Clin Pharmacol Ther,Clinical pharmacology and therapeutics,0372741,"['04079A1RDZ (Cytarabine)', '35S93Y190K (Procarbazine)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'E90NZP2L9U (Digitoxin)', 'VB0R961HZT (Prednisone)', 'COAP protocol', 'COP protocol 2', 'COPP protocol']",IM,"['Adolescent', 'Adult', 'Aged', '*Antineoplastic Combined Chemotherapy Protocols', 'Cyclophosphamide/*pharmacology/therapeutic use', 'Cytarabine/*pharmacology/therapeutic use', 'Digitoxin/*metabolism', 'Female', 'Heart Failure/blood/drug therapy', 'Humans', 'Leukemia/drug therapy', 'Lymphoma/drug therapy', 'Male', 'Middle Aged', 'Prednisone/*pharmacology/therapeutic use', 'Procarbazine/pharmacology/therapeutic use', 'Vincristine/*pharmacology/therapeutic use']",1982/11/01 00:00,1982/11/01 00:01,['1982/11/01 00:00'],"['1982/11/01 00:00 [pubmed]', '1982/11/01 00:01 [medline]', '1982/11/01 00:00 [entrez]']","['0009-9236(82)90076-5 [pii]', '10.1038/clpt.1982.216 [doi]']",ppublish,Clin Pharmacol Ther. 1982 Nov;32(5):646-51. doi: 10.1038/clpt.1982.216.,,,,,,,,,,,,
6897013,NLM,MEDLINE,19821216,20151119,0361-5960 (Print) 0361-5960 (Linking),66,10,1982 Oct,Phase I-II study of m-AMSA administered as a continuous infusion.,1813-7,"In vitro studies of 4'(9-acridinylamino)-methanesulfon-m-anisidide (m-AMSA) with L1210 leukemia cells have demonstrated that a given level of DNA breakage and intraceLlular m-AMSA concentration depends upon the presence of a continuous concentration of extracellular drug and that cytotoxicity increases with an increasing duration of drug exposure. Since previous studies had shown that free m-AMSA has a half-life of 6-8 hours, a trial of m-AMSA given as a continuous infusion was undertaken in patients with solid tumors and lymphomas. Patients were treated with 30 mg/m2/day x 3, 30 mg/m2/day x 4, or 40 mg/m2/ day x 3. Myelosuppression was dose-limiting and occurred at about Day 13 after the start of the infusion. Recovery was noted by Day-21. There was no evidence of cumulative hematologic toxicity. The maximally tolerated dose was 30 mg/m2/day x 3 in our patient population. Mild phlebitis occurred in all patients. There were no instances of gastrointestinal, hepatic, renal, cardiac, or neurologic toxic reactions. Evidence of some antitumor effect was seen in three patients. We conclude that it is possible to given m-AMSA as a continuous infusion and that studies should be undertaken in patients with acute myelogenous leukemias to compare the efficacy of m-AMSA infusion with conventional bolus administration as a means to enhance the duration of response.","['Micetich, K C', 'Zwelling, L A', 'Gormley, P', 'Young, R C']","['Micetich KC', 'Zwelling LA', 'Gormley P', 'Young RC']",['eng'],['Journal Article'],United States,Cancer Treat Rep,Cancer treatment reports,7607107,"['0 (Aminoacridines)', '0 (Antineoplastic Agents)', '00DPD30SOY (Amsacrine)']",IM,"['Aminoacridines/administration & dosage/adverse effects/*therapeutic use', 'Amsacrine', 'Antineoplastic Agents/administration & dosage/adverse effects/*therapeutic use', 'Bone Marrow/drug effects', 'Drug Evaluation', 'Female', 'Humans', 'Kinetics', 'Leukocyte Count', 'Male', 'Middle Aged', 'Phlebitis/etiology']",1982/10/01 00:00,1982/10/01 00:01,['1982/10/01 00:00'],"['1982/10/01 00:00 [pubmed]', '1982/10/01 00:01 [medline]', '1982/10/01 00:00 [entrez]']",,ppublish,Cancer Treat Rep. 1982 Oct;66(10):1813-7.,,,,,,,,,,,,
6897012,NLM,MEDLINE,19821216,20151119,0008-5472 (Print) 0008-5472 (Linking),42,11,1982 Nov,In vitro chemosensitivities of human tumor stem cells to the Phase II drug 4'-(9-acridinylamino)methanesulfon-m-anisidide and prospective in vivo correlations.,4495-8,"A potential application of the human tumor stem cell colony assay is to guide Phase II clinical investigations by identifying classes of tumors (or individual patients) which are sensitive in vitro to a new antitumor compound. We have tested human tumor stem cells from 140 tumor biopsies representing 20 different tumor types for chemosensitivity to the Phase II drug 4'-(9-acridinylamino)methanesulfon-m-anisidide. In vitro sensitivity was defined as a reduction in the number of tumor colony-forming cells to 30% of the control or less after a 1-hr exposure to one-tenth of the pharmacologically achievable plasma concentration of 4'-(9-acridinylamino)methanesulfon-m-anisidide. In vitro sensitivity was found in 29 cases: non-Hodgkin's lymphoma (2 of 2); cervical carcinoma (1 of 1); sarcoma (3 of 6); neuroblastoma (1 of 2); acute myelogenous leukemia (6 of 16); chronic myelogenous leukemia (1 of 3); melanoma (8 of 34); uterine carcinoma (1 of 5); lung carcinoma (1 of 9); ovarian carcinoma (4 of 36); and breast carcinoma (1 of 11). Prospective in vitro-in vivo correlations in eight patients with various tumor types showed that three of three patients sensitive in vitro to 4'-(9-acridinylamino)methanesulfon-m-anisidide responded in vivo, while five of five patients resistant in vitro had no clinical response. The results provide support for further evaluation of the utility of the human tumor stem cell colony assay for targeting Phase II clinical trials.","['Ahmann, F R', 'Meyskens, F L Jr', 'Moon, T E', 'Durie, B G', 'Salmon, S E']","['Ahmann FR', 'Meyskens FL Jr', 'Moon TE', 'Durie BG', 'Salmon SE']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Aminoacridines)', '0 (Antineoplastic Agents)', '00DPD30SOY (Amsacrine)']",IM,"['Aminoacridines/*toxicity', 'Amsacrine', 'Antineoplastic Agents/*toxicity', 'Cells, Cultured', 'Drug Evaluation', 'Female', 'Genital Neoplasms, Female/drug therapy', 'Hematopoietic Stem Cells/drug effects', 'Hodgkin Disease/drug therapy', 'Humans', 'Leukemia/drug therapy', 'Lung Neoplasms/drug therapy', 'Melanoma/drug therapy', 'Neoplasms/*drug therapy', 'Neuroblastoma/drug therapy', 'Sarcoma/drug therapy', 'Uterine Cervical Neoplasms/drug therapy']",1982/11/01 00:00,2001/03/28 10:01,['1982/11/01 00:00'],"['1982/11/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1982/11/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Nov;42(11):4495-8.,"['CA17094/CA/NCI NIH HHS/United States', 'CA21839/CA/NCI NIH HHS/United States', 'CA23074/CA/NCI NIH HHS/United States']",,,,,,,,,,,
6896975,NLM,MEDLINE,19821202,20151119,0003-9764 (Print) 0003-9764 (Linking),39,4,1982 Apr,[Hodgkin's disease in childhood: long term results].,223-9,"Between 1965 and 1976, 83 previously untreated children aged 15 years and under, with biopsy-proven Hodgkin's disease (HD) were evaluated, treated and followed at Hospital Saint Louis, Paris. Clinical stages were IA-IIA for 59 patients, IB-IIB for 19 patients and III-IV for 5 patients. Two main kinds of treatment were used: monochemotherapy-radiotherapy (MCT-RT) for 26 patients who have received mantle field irradiation followed by a monthly Vinblastine injection during 3 years; 57 patients have received a combination of MOPP and radiotherapy (MOPP-RT). The MOPP-RT treated patients have a significantly better survival and relapse free survival than the MCT-RT treated patients (86.9% vrs 76.1% and 83.5% vs 65.4%). Thirteen relapses were observed after a median complete remission of 30 months: 6 patients are now free from disease and one is still under treatment. Ten patients are dead after a 55 months median survival: 7 died from H.D. and 3 from treatment toxicity. No 2nd cancer or leukemia were observed until now. The main long term complications of therapy were sterility in male patients, growth defects and disturbances of thyroid functions.","['Cramer, P', 'Schaison, G', 'Andrieu, J M', 'Boiron, M', 'Bernard, J']","['Cramer P', 'Schaison G', 'Andrieu JM', 'Boiron M', 'Bernard J']",['fre'],"['English Abstract', 'Journal Article']",France,Arch Fr Pediatr,Archives francaises de pediatrie,0372421,"['35S93Y190K (Procarbazine)', '50D9XSG0VR (Mechlorethamine)', '5J49Q6B70F (Vincristine)', 'VB0R961HZT (Prednisone)', 'MOPP protocol']",IM,"['Adolescent', '*Antineoplastic Combined Chemotherapy Protocols', 'Child', 'Child, Preschool', 'Drug Therapy, Combination', 'Female', 'Follow-Up Studies', 'Hodgkin Disease/drug therapy/radiotherapy/*therapy', 'Humans', 'Iatrogenic Disease/epidemiology', 'Male', 'Mechlorethamine/therapeutic use', 'Neoplasm Recurrence, Local', 'Neoplasm Staging', 'Prednisone/therapeutic use', 'Procarbazine/therapeutic use', 'Vincristine/therapeutic use']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",,ppublish,Arch Fr Pediatr. 1982 Apr;39(4):223-9.,,Maladie de Hodgkin de l'enfant. Resultats a long terme du traitement.,,,,,,,,,,
