PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,PMC,TT,OID,SI
6692334,NLM,MEDLINE,19840321,20190816,0165-4608 (Print) 0165-4608 (Linking),11,2,1984 Feb,Recurrent chromosomal defects are found in most patients with acute nonlymphocytic leukemia.,125-37,"Using a methotrexate cell synchronization technique, we have successfully studied chromosome preparations of bone marrow biopsies from 49 of 51 patients with acute nonlymphocytic leukemia (ANLL). Clonal chromosomal abnormalities were detected in 46 patients, and one of eight types of recurrent chromosomal aberrations were found in 31 patients. One of these types represents a new chromosome defect [inv(16)(p13.1q22)], found in four patients with ANLL-M2, -M4. Chromosome preparations from cultured lymphocytes of two of the four patients were analyzed for the presence of chromosome fragile sites. Both cases showed a frequent break at band 16q22, an intriguing finding that suggests a possible correlation between a fragile site and predisposition to chromosomal rearrangement in human neoplasia.","['Yunis, J J']",['Yunis JJ'],['eng'],['CA-31024/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Adolescent', 'Adult', 'Aged', 'Biopsy', 'Bone Marrow', 'Chromosome Aberrations/*genetics', 'Chromosome Banding', 'Chromosome Disorders', 'Chromosome Fragile Sites', 'Chromosome Fragility', 'Female', 'Humans', 'Karyotyping', 'Leukemia/*genetics', 'Male', 'Middle Aged']",1984/02/01 00:00,1984/02/01 00:01,['1984/02/01 00:00'],"['1984/02/01 00:00 [pubmed]', '1984/02/01 00:01 [medline]', '1984/02/01 00:00 [entrez]']","['0165-4608(84)90106-7 [pii]', '10.1016/0165-4608(84)90106-7 [doi]']",ppublish,Cancer Genet Cytogenet. 1984 Feb;11(2):125-37. doi: 10.1016/0165-4608(84)90106-7.,,,,,
6692307,NLM,MEDLINE,19840319,20190620,0008-543X (Print) 0008-543X (Linking),53,5,1984 Mar 1,Prognostic factors in hairy cell leukemia (leukemic reticuloendotheliosis).,1198-1201,"Prognostic factors were examined in 31 patients with hairy cell leukemia seen at M. D. Anderson Hospital. Long survival from presentation was significantly associated with ease of aspiration of iliac crest bone marrow, absence of major infection, hemoglobin greater than 10 g/dl, and absence of a prior history of pneumonia. Long survival from splenectomy was associated most closely with absence of a prediagnosis history of pneumonia, suggesting that a long-standing host defense abnormality may exist that is not corrected by splenectomy. Generally, patients with sustained improvement in hematologic parameters postsplenectomy lived longest from splenectomy, although the results were not statistically significant.","['Stewart, D J', 'Smith, T L', 'Keating, M J', 'McCredie, K B', 'Hersh, E M', 'Quesada, J', 'Freireich, E J']","['Stewart DJ', 'Smith TL', 'Keating MJ', 'McCredie KB', 'Hersh EM', 'Quesada J', 'Freireich EJ']",['eng'],['CA-10376/CA/NCI NIH HHS/United States'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,IM,"['Age Factors', 'Biopsy, Needle', 'Blood Cell Count', 'Bone Marrow/pathology', 'Humans', 'Leukemia, Hairy Cell/drug therapy/*pathology', 'Lymphatic Diseases/drug therapy/pathology', 'Male', 'Middle Aged', 'Prognosis', 'Retrospective Studies', 'Splenectomy', 'Time Factors']",1984/03/01 00:00,1984/03/01 00:01,['1984/03/01 00:00'],"['1984/03/01 00:00 [pubmed]', '1984/03/01 00:01 [medline]', '1984/03/01 00:00 [entrez]']",['10.1002/1097-0142(19840301)53:5<1198::aid-cncr2820530529>3.0.co;2-8 [doi]'],ppublish,Cancer. 1984 Mar 1;53(5):1198-1201. doi: 10.1002/1097-0142(19840301)53:5<1198::aid-cncr2820530529>3.0.co;2-8.,,,,,
6692298,NLM,MEDLINE,19840319,20190620,0008-543X (Print) 0008-543X (Linking),53,5,1984 Mar 1,"Acute doxorubicin toxicity. Relationship to pretreatment liver function, response, and pharmacokinetics in patients with acute nonlymphocytic leukemia.",1042-8,"To determine if there is a relationship between development of acute doxorubicin toxicity, pretreatment liver function studies, and response, 64 acute nonlymphocytic leukemia patients undergoing induction chemotherapy with doxorubicin and cytosine arabinoside were evaluated. No statistically significant correlation could be found between the development of acute toxicity (mucositis) and the number or type of abnormal pretreatment liver functions. Patients receiving full doses of doxorubicin with mild hepatic dysfunction as determined by bromsulphalein (BSP) retention and serum liver function studies had the same incidence of toxicity and complete response rate as those with normal hepatic function. There was no significant difference between duration of response (P = 0.41) or survival (P = 0.17) between the two groups. Ten patients receiving a decreased dose of doxorubicin due to hepatic dysfunction had the same complete response rate but a lower incidence of toxicity as patients receiving full doxorubicin dose. Pharmacokinetic data from fluorescence plasma assays suggest no difference among patients with normal or mildly abnormal liver function studies receiving full doxorubicin doses. The results suggest that leukemia patients with mild hepatic dysfunction receiving a combination of full-dose doxorubicin and cytosine arabinoside for acute leukemia will have the same plasma pharmacokinetics, incidence of toxicity, and complete response rate as those with normal hepatic function. Reduction of doxorubicin dose in patients with abnormal liver function tests results in lower plasma concentrations, less toxicity, and the same response rate, but may also yield a shorter duration of response and survival.","['Brenner, D E', 'Wiernik, P H', 'Wesley, M', 'Bachur, N R']","['Brenner DE', 'Wiernik PH', 'Wesley M', 'Bachur NR']",['eng'],,['Journal Article'],United States,Cancer,Cancer,0374236,IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Cytarabine/administration & dosage', 'Doxorubicin/administration & dosage/*adverse effects', 'Drug Administration Schedule', 'Drug Evaluation', 'Female', 'Humans', 'Kinetics', 'Leukemia/*drug therapy/physiopathology', 'Liver/*physiopathology', 'Liver Function Tests', 'Male', 'Middle Aged', 'Prognosis']",1984/03/01 00:00,1984/03/01 00:01,['1984/03/01 00:00'],"['1984/03/01 00:00 [pubmed]', '1984/03/01 00:01 [medline]', '1984/03/01 00:00 [entrez]']",['10.1002/1097-0142(19840301)53:5<1042::aid-cncr2820530505>3.0.co;2-b [doi]'],ppublish,Cancer. 1984 Mar 1;53(5):1042-8. doi: 10.1002/1097-0142(19840301)53:5<1042::aid-cncr2820530505>3.0.co;2-b.,"['04079A1RDZ (Cytarabine)', '80168379AG (Doxorubicin)']",,,,
6692291,NLM,MEDLINE,19840309,20190620,0008-543X (Print) 0008-543X (Linking),53,4,1984 Feb 15,Prognostic value of lymphograms in chronic lymphatic leukemia.,888-95,"Chronic lymphatic leukemia (CLL) is a disease with a prognosis that has previously been difficult to assess. In recent years, this problem has largely been overcome by various classifications based on clinical and hematologic findings. This article presents the results of a study designed to show the value of lymphograms in assessing the prognosis. These results show that prognosis is associated with lymph node structure, as assessed by lymphography. Lymphography, as an investigation is superior to scanning or echography, since these give information merely on nodal size. It is proposed that lymphograms should be used for assessing the gravity of the disease and help in the choice of therapy.","['Auclerc, M F', 'Desprez-Curely, J P', 'Maral, J', 'Hucher, M', 'Auclerc, G', 'Weil, M', 'Jacquillat, C']","['Auclerc MF', 'Desprez-Curely JP', 'Maral J', 'Hucher M', 'Auclerc G', 'Weil M', 'Jacquillat C']",['eng'],['CA 13239-05/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,IM,"['Chronic Disease', 'Humans', 'Leukemia/classification/*diagnostic imaging', 'Lymph Nodes/pathology', '*Lymphography', 'Neoplasm Staging', 'Probability', 'Prognosis']",1984/02/15 00:00,1984/02/15 00:01,['1984/02/15 00:00'],"['1984/02/15 00:00 [pubmed]', '1984/02/15 00:01 [medline]', '1984/02/15 00:00 [entrez]']",['10.1002/1097-0142(19840215)53:4<888::aid-cncr2820530413>3.0.co;2-c [doi]'],ppublish,Cancer. 1984 Feb 15;53(4):888-95. doi: 10.1002/1097-0142(19840215)53:4<888::aid-cncr2820530413>3.0.co;2-c.,,,,,
6692253,NLM,MEDLINE,19840228,20190620,0008-543X (Print) 0008-543X (Linking),53,3,1984 Feb 1,Prediction of the response to chemotherapy in acute leukemia by a short-term test in vitro.,390-5,"To detect sensitivity or resistance of leukemic cells to chemotherapy prior to treatment, a short-term incubation method was employed. Blast cells from the peripheral blood or bone marrow of adult patients presenting with different forms of acute leukemia were analyzed for in vitro responsiveness to anticancer drugs in terms of suppression of 3H-uridine incorporation into cellular nucleic acids. The following agents were tested over a wide range of concentrations: Adriamycin, cytosine arabinoside, thioguanine, 6-mercaptopurine, prednisone, and 4-hydroperoxycyclophosphamide. Retrospectively, the in vitro data were compared to the clinical response of the patients to polychemotherapy. In the majority of the patients, in vitro cytotoxic effectiveness of Adriamycin (doxorubicin) and cytosine arabinoside reflected the in vivo situation. The levels of in vitro inhibition that could distinguish between drug-sensitive and drug-resistant diseases appeared to be 30% for Adriamycin and 20% for cytosine arabinoside. No correlation was found between the Adriamycin effect in vitro and the proliferative state (rate of 3H-thymidine incorporation) of the leukemic cell population. Serial in vitro sensitivity testing during the course of disease of various patients proved the ability of the test system to detect acquired resistance to chemotherapeutic agents. Therefore, the assay might serve as a reliable tool in the selection of effective chemotherapy in individual patients suffering from acute leukemia.","['Schwarzmeier, J D', 'Paietta, E', 'Mittermayer, K', 'Pirker, R']","['Schwarzmeier JD', 'Paietta E', 'Mittermayer K', 'Pirker R']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer,Cancer,0374236,IM,"['Acute Disease', 'Antineoplastic Agents/*therapeutic use', 'DNA, Neoplasm/biosynthesis', 'Drug Resistance', 'Humans', 'In Vitro Techniques', 'Leukemia/*drug therapy', 'RNA, Neoplasm/biosynthesis', 'Time Factors']",1984/02/01 00:00,1984/02/01 00:01,['1984/02/01 00:00'],"['1984/02/01 00:00 [pubmed]', '1984/02/01 00:01 [medline]', '1984/02/01 00:00 [entrez]']",['10.1002/1097-0142(19840201)53:3<390::aid-cncr2820530304>3.0.co;2-o [doi]'],ppublish,Cancer. 1984 Feb 1;53(3):390-5. doi: 10.1002/1097-0142(19840201)53:3<390::aid-cncr2820530304>3.0.co;2-o.,"['0 (Antineoplastic Agents)', '0 (DNA, Neoplasm)', '0 (RNA, Neoplasm)']",,,,
6692044,NLM,MEDLINE,19840305,20210216,0006-4971 (Print) 0006-4971 (Linking),63,2,1984 Feb,Complement alternative pathway activation by chronic lymphocytic leukemia cells: its role in their hepatosplenic localization.,463-7,"Using affinity-purified 125I-F(ab')2 anti-human C3, we have investigated the ability of various leukemic cells to activate complement. Lymphocytes from patients with chronic lymphocytic leukemia (CLL) activated the alternative pathway, but cells from patients with other forms of leukemia or normal lymphocytes did not do so. The amount of C3 deposited on the CLL cells was significantly higher in patients with organomegaly (i.e., splenomegaly and/or hepatomegaly). Activation of complement by CLL cells as assessed by C3 deposition on the membrane occurred both in vivo and in vitro and was not related to the N-acetylneuraminic acid content of the membrane.","['Praz, F', 'Karsenty, G', 'Binet, J L', 'Lesavre, P']","['Praz F', 'Karsenty G', 'Binet JL', 'Lesavre P']",['eng'],,['Journal Article'],United States,Blood,Blood,7603509,IM,"['Acute Disease', 'Adult', 'Aged', '*Complement Activation', '*Complement Pathway, Alternative', 'Female', 'Humans', 'Leukemia/blood', 'Leukemia, Lymphoid/*blood', 'Liver/*pathology', 'Male', 'Middle Aged', 'Sialic Acids/blood', 'Spleen/*pathology']",1984/02/01 00:00,1984/02/01 00:01,['1984/02/01 00:00'],"['1984/02/01 00:00 [pubmed]', '1984/02/01 00:01 [medline]', '1984/02/01 00:00 [entrez]']",['S0006-4971(20)85430-5 [pii]'],ppublish,Blood. 1984 Feb;63(2):463-7.,['0 (Sialic Acids)'],,,,
6692041,NLM,MEDLINE,19840305,20210216,0006-4971 (Print) 0006-4971 (Linking),63,2,1984 Feb,Leukemic cell differentiation in vivo and in vitro: arrest of proliferation parallels the differentiation induced by the antileukemic drug Harringtonine.,384-92,"A variety of chemical agents have been shown to induce differentiation in in vitro cultured neoplastic cell lines. We noted that blast cells in the peripheral blood of acute nonlymphoid leukemia patients treated with the drug Harringtonine appeared to undergo morphological changes that suggested differentiation. In view of the relatively minimal myelotoxicity of Harringtonine, we hypothesized that harringtonine was acting by differentiation-induction, which concomitantly arrested cell division. We tested this hypothesis using two different experimental approaches. First, the promyelocytic leukemic cell line, HL-60, was cultured with Harringtonine and shown to differentiate into a cell, which, by functional cell surface marker and morphological criteria, closely resembled normal monocytes. Furthermore, these changes were accompanied, and indeed slightly preceded by, loss of proliferative capacity. Second, to prove that the leukemic blasts were the cells undergoing the changes observed in vivo, freshly isolated leukemia cell populations were cultured with Harringtonine, and morphological changes paralleling those seen in the patients were observed. Thus, the antileukemic effect of Harringtonine appeared to be due to diversion of the proliferating blast cells into a differentiation pathway, which, as in normal myeloid cells, resulted in the arrest of proliferation.","['Boyd, A W', 'Sullivan, J R']","['Boyd AW', 'Sullivan JR']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,IM,"['Acute Disease', 'Adult', 'Alkaloids/*therapeutic use', 'Cell Differentiation/drug effects', 'Cell Division/drug effects', 'Cell Line', 'Clone Cells/drug effects', 'Cytarabine/therapeutic use', 'Female', 'Harringtonines/*therapeutic use', 'Humans', 'Leukemia/*drug therapy/pathology', 'Male', 'Middle Aged', 'Monocytes/drug effects', 'Thioguanine/therapeutic use']",1984/02/01 00:00,1984/02/01 00:01,['1984/02/01 00:00'],"['1984/02/01 00:00 [pubmed]', '1984/02/01 00:01 [medline]', '1984/02/01 00:00 [entrez]']",['S0006-4971(20)85418-4 [pii]'],ppublish,Blood. 1984 Feb;63(2):384-92.,"['0 (Alkaloids)', '0 (Harringtonines)', '04079A1RDZ (Cytarabine)', 'FTK8U1GZNX (Thioguanine)']",,,,
6692037,NLM,MEDLINE,19840305,20210216,0006-4971 (Print) 0006-4971 (Linking),63,2,1984 Feb,Refractory dysmyelopoietic anemia and acute leukemia.,314-8,"One hundred and seventeen consecutive patients with refractory dysmyelopoietic anemia (RDA) were followed and studied over 6 yr. All RDA cases had at least two marrow cell lines involved with dysplasia and usually all three. Morphologically, the series could be divided into 55 cases that had primarily ""erythroid"" hyperplasia and 62 cases with primarily ""myeloid"" dysplasia. There was a significantly higher number of acute leukemias in the myeloid group, 21/62 (33.9%), than in the erythroid group, 7/55 (12.7%). Of the 117 cases, 64 had marrow culture studies performed using implanted diffusion chambers (DC) in an irradiated rat host. There was a highly statistically significant correlation between the development of leukemia and abnormal growth in DC during the RDA stage.","['Rosenthal, D S', 'Moloney, W C']","['Rosenthal DS', 'Moloney WC']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,IM,"['Acute Disease', 'Adult', 'Aged', 'Anemia, Aplastic/*complications/diagnosis', 'Bone Marrow Examination', 'Female', 'Humans', 'Leukemia/*etiology', 'Male', 'Middle Aged']",1984/02/01 00:00,1984/02/01 00:01,['1984/02/01 00:00'],"['1984/02/01 00:00 [pubmed]', '1984/02/01 00:01 [medline]', '1984/02/01 00:00 [entrez]']",['S0006-4971(20)85407-X [pii]'],ppublish,Blood. 1984 Feb;63(2):314-8.,,,,,
6691925,NLM,MEDLINE,19840319,20190704,0007-1048 (Print) 0007-1048 (Linking),56,2,1984 Feb,Philadelphia chromosome: a rare three-way translocation in association with unique clinical and haematological features.,349-51,,"['Lorch, C A', 'Spiers, A S', 'Tartaglia, A P', 'Burkart, P T', 'Lizzi, F A', 'Bishop, M B']","['Lorch CA', 'Spiers AS', 'Tartaglia AP', 'Burkart PT', 'Lizzi FA', 'Bishop MB']",['eng'],,"['Case Reports', 'Journal Article']",England,Br J Haematol,British journal of haematology,0372544,IM,"['Aged', '*Chromosomes, Human, 21-22 and Y', 'Humans', 'Karyotyping', 'Leukemia, Lymphoid/*genetics', 'Male', '*Translocation, Genetic']",1984/02/01 00:00,1984/02/01 00:01,['1984/02/01 00:00'],"['1984/02/01 00:00 [pubmed]', '1984/02/01 00:01 [medline]', '1984/02/01 00:00 [entrez]']",['10.1111/j.1365-2141.1984.tb03962.x [doi]'],ppublish,Br J Haematol. 1984 Feb;56(2):349-51. doi: 10.1111/j.1365-2141.1984.tb03962.x.,,,,,
6691825,NLM,MEDLINE,19840224,20190717,0003-9942 (Print) 0003-9942 (Linking),41,2,1984 Feb,Neurologic complications of hairy cell leukemia.,202-3,"Involvement of the nervous system in some forms of leukemia is a common, well-recognized problem. To our knowledge, no study has investigated hairy cell leukemia (HCL) with this question in mind, so we reviewed the records of 108 patients with HCL seen during a seven-year period. Neurologic complications developed in roughly 5% of these patients. Direct infiltration of the nervous system in cases of HCL has rarely been reported in the literature, and the clinico-pathologic appearance is insufficiently documented. We found no cases of direct invasion of the nervous system and only one case of vertebral-body invasion and radicular compression, indicating that epidural spread is also rare. Infection was the most frequent cause of neurologic problems in this series of patients with HCL.","['Kimmel, D W', 'Hermann, R C Jr', ""O'Neill, B P""]","['Kimmel DW', 'Hermann RC Jr', ""O'Neill BP""]",['eng'],,"['Case Reports', 'Journal Article']",United States,Arch Neurol,Archives of neurology,0372436,IM,"['Adult', 'Aged', 'Female', 'Humans', 'Leukemia, Hairy Cell/*complications', 'Male', 'Middle Aged', 'Nervous System Diseases/*complications']",1984/02/01 00:00,2001/03/28 10:01,['1984/02/01 00:00'],"['1984/02/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1984/02/01 00:00 [entrez]']",['10.1001/archneur.1984.04050140100035 [doi]'],ppublish,Arch Neurol. 1984 Feb;41(2):202-3. doi: 10.1001/archneur.1984.04050140100035.,,,,,
