PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,PMC,TT,OID,OTO,OT,GN
6601231,NLM,MEDLINE,19830527,20190904,0098-1532 (Print) 0098-1532 (Linking),11,2,1983,"Lack of prognostic value of T-, B- and null-lymphocytes in adult acute leukemia.",106-15,"The distribution of T-, B- and null-lymphocytes was studied in the peripheral blood of 38 adult patients with acute nonlymphocytic leukemia (ANLL) and 15 with acute lymphocytic leukemia (ALL) at first diagnosis, during induction treatment, and in remission. Thirteen ANLL and 9 ALL patients were followed until relapse and during reinduction therapy. T- and B-cells were detected by specific membrane marker. The pre- and posttreatment pattern of lymphocyte subpopulations was analyzed to determine their prognostic significance for remission incidence, remission duration, and survival. It was observed that in both types of leukemia, T-cells are more affected by the leukemic process and cytostatic drugs than B-cells. Nonresponding patients possibly have a reduced potential for recruiting precursor T- and B-cells. At first diagnosis, no significant correlation was found between pre- or posttreatment variables and prognosis. At relapse, ANLL patients had a longer second remission when a high proportion of B-cells was found; ALL patients with a high lymphocyte count before and after treatment, experienced longer survival.","['Jehn, U', 'Wachholz, K', 'Kern, D', 'Holzel, D']","['Jehn U', 'Wachholz K', 'Kern D', 'Holzel D']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,['0 (Antineoplastic Agents)'],IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Antineoplastic Agents/therapeutic use', 'B-Lymphocytes/*immunology', 'Humans', 'Leukemia/drug therapy/*immunology', 'Leukocyte Count', 'Lymphocytes, Null/*immunology', 'Middle Aged', 'Prognosis', 'T-Lymphocytes/*immunology', 'Time Factors']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",['10.1002/mpo.2950110207 [doi]'],ppublish,Med Pediatr Oncol. 1983;11(2):106-15. doi: 10.1002/mpo.2950110207.,,,,,,,
6601222,NLM,MEDLINE,19830527,20190825,0145-2126 (Print) 0145-2126 (Linking),7,1,1983,Expression of an accessory cell phenotype by hairy cells during lymphocyte colony formation in agar culture.,87-95,"Human T lymphocytes require the cooperation of accessory cells to generate lymphocyte colonies in agar culture under PHA stimulation. Various hairy cell enriched fractions, as well as normal monocytes, have been found to be able to initiate colony formation by normal lymphocytes. Leukemic monocytes from CMML patients were also effective, but not the leukemic lymphocytes from CLL patients. The phenotype expressed by HC in agar colonies was further studied using cell surface and enzymatic markers. We have concluded that HC in agar culture in the presence of both normal T lymphocytes and PHA lose the B phenotype that they express in vivo and function like an accessory cell in contrast to normal or leukemic B lymphocytes.","['Farcet, J P', 'Gourdin, M F', 'Testa, U', 'Andre, C', 'Jouault, H', 'Reyes, F']","['Farcet JP', 'Gourdin MF', 'Testa U', 'Andre C', 'Jouault H', 'Reyes F']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,['0 (Phytohemagglutinins)'],IM,"['B-Lymphocytes/pathology', 'Cells, Cultured', 'Colony-Forming Units Assay', 'Humans', 'Leukemia, Hairy Cell/*pathology', 'Leukemia, Lymphoid/pathology', 'Leukemia, Myeloid/pathology', 'Lymphocyte Activation/drug effects', 'Lymphocyte Cooperation', 'Phenotype', 'Phytohemagglutinins/pharmacology']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']","['0145-2126(83)90061-9 [pii]', '10.1016/0145-2126(83)90061-9 [doi]']",ppublish,Leuk Res. 1983;7(1):87-95. doi: 10.1016/0145-2126(83)90061-9.,,,,,,,
6601221,NLM,MEDLINE,19830527,20190825,0145-2126 (Print) 0145-2126 (Linking),7,1,1983,Effect of phorbol ester on differentiation of human myeloid colony forming cells (CFU-C).,43-9,"The effects of 12-O-tetradecanoyl phorbol-13-acetate (TPA) on CFU-C were investigated. Exposure of normal bone marrow cells or peripheral blood cells from chronic myeloid leukemia patients to TPA stimulated cluster formation in agar in the absence of added colony-stimulating factors (CSF). In the presence of CSF, TPA inhibited colony and cluster formation. After enrichment of CFU-C approx. 50-fold by an immune rosette technique, TPA-induced stimulation of cluster formation in the absence of CSF was markedly diminished, while the inhibitory effect in the presence of CSF was unchanged. These results suggest that TPA may have complex effects on CFU-C; indirectly promoting colony formation by inducing other cells to secrete CSF, and directly inhibiting CFU-C proliferation.","['Griffin, J D', 'Beveridge, R P', 'Schlossman, S F']","['Griffin JD', 'Beveridge RP', 'Schlossman SF']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leuk Res,Leukemia research,7706787,"['0 (Colony-Stimulating Factors)', '0 (Phorbols)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Bone Marrow Examination', 'Cell Differentiation/drug effects', 'Cells, Cultured', 'Colony-Stimulating Factors/pharmacology', 'Drug Synergism', 'Hematopoietic Stem Cells/*drug effects', 'Humans', 'Leukemia, Myeloid/*pathology', 'Phorbols/*pharmacology', 'Rosette Formation', 'Tetradecanoylphorbol Acetate/*pharmacology']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']","['0145-2126(83)90056-5 [pii]', '10.1016/0145-2126(83)90056-5 [doi]']",ppublish,Leuk Res. 1983;7(1):43-9. doi: 10.1016/0145-2126(83)90056-5.,"['CA 09172/CA/NCI NIH HHS/United States', 'CA 19589/CA/NCI NIH HHS/United States', 'CA 25369/CA/NCI NIH HHS/United States', 'etc.']",,,,,,
6601220,NLM,MEDLINE,19830527,20190825,0145-2126 (Print) 0145-2126 (Linking),7,1,1983,Adult T-cell leukemia: a report on two white patients.,31-42,"Two white European males are reported with adult T-cell leukemia (ATL), a disease first described in Japan, but recently also in the U.K. and U.S.A. Both patients presented with lymphadenopathy, but without a mediastinal mass. In addition, one patient had skin infiltrates and the other had hepatosplenomegaly. Morphologic and ultrastructural examination of the blasts in bone marrow and lymph node biopsy revealed a predominance of polymorphic lymphoid cells with pronounced nuclear irregularities and a semi-mature chromatine pattern. Histopathology of the lymph nodes showed a diffuse infiltration with medium-sized lymphoblasts with irregular nuclei. The blasts in the bone marrow formed E rosettes with sheep erythrocytes, lacked terminal deoxynucleotidyl transferase (Tdt) activity but expressed the Ia-like antigen; although the majority of the cells reacted with a polyclonal anti-T-cell serum, they were negative for OKT3. In one patient a helper/inducer phenotype (OKT4+) was found in the lymphoblasts of bone marrow and lymph node, while in the other only in the lymph node. The difference between bone marrow and lymph node phenotype is discussed. To our knowledge, these are the first two European patients reported with ATL, a disease clearly different from convoluted T-cell acute lymphocytic leukemia.","['Tricot, G J', 'Broeckaert-Van Orshoven, A', 'den Ottolander, G J', 'de Wolf-Peeters, C', 'Meyer, C J', 'Verwilghen, R L', 'Jansen, J']","['Tricot GJ', 'Broeckaert-Van Orshoven A', 'den Ottolander GJ', 'de Wolf-Peeters C', 'Meyer CJ', 'Verwilghen RL', 'Jansen J']",['eng'],"['Case Reports', 'Journal Article']",England,Leuk Res,Leukemia research,7706787,"['0 (Antibodies, Monoclonal)', '0 (Histocompatibility Antigens Class II)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)']",IM,"['Adult', 'Antibodies, Monoclonal/analysis', 'Bone Marrow Examination', 'DNA Nucleotidylexotransferase/analysis', 'Histocompatibility Antigens Class II/analysis', 'Histocytochemistry', 'Humans', 'Leukemia/immunology/*pathology/ultrastructure', 'Lymph Nodes/immunology/pathology', 'Male', 'Microscopy, Electron', 'Middle Aged', 'Neoplasm Metastasis', 'Rosette Formation', 'Skin Neoplasms/immunology/pathology/secondary', '*T-Lymphocytes']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']","['0145-2126(83)90055-3 [pii]', '10.1016/0145-2126(83)90055-3 [doi]']",ppublish,Leuk Res. 1983;7(1):31-42. doi: 10.1016/0145-2126(83)90055-3.,,,,,,,
6601196,NLM,MEDLINE,19830527,20200724,0022-538X (Print) 0022-538X (Linking),45,3,1983 Mar,"Further studies on the glycosylated gag gene products of Rauscher murine leukemia virus: identification of an N-terminal 45,000-dalton cleavage product.",1200-6,"A glycosylated 45,000-Mr protein containing Rauscher murine leukemia virus p15 and p12 antigenic sites and tryptic peptides was identified in Rauscher murine leukemia virus-infected cells. This glycoprotein, termed gP45gag, was also shown to contain a single tryptic peptide also present in gPr80gag and its unglycosylated apoprotein precursor Pr75gag, but lacking in Pr65gag or Pr40gag. The presence of this peptide only in viral precursor proteins containing the so-called leader (L) sequence strongly suggests that gPr45gag is an N-terminal fragment of larger glycosylated gag polyproteins, composed of L sequences in addition to p15 and p12. The kinetics of appearance of radiolabeled gPr45gag and its disappearance during chase-incubation is suggestive of a precursor-like role for this intermediate gene product. An observed 27,000-Mr glycosylated polypeptide, termed gP27gag and containing p15 but not p12, p30, or p10 antigenic determinants, is a candidate cleavage product derived from gPr45gag. These observations suggest that gPr45gag and its putative cleavage product gP27gag represent an authentic pathway for intracellular processing of glycosylated core proteins.","['Naso, R B', 'Stanker, L H', 'Kopchick, J J', 'Ng, V L', 'Karshin, W L', 'Arlinghaus, R B']","['Naso RB', 'Stanker LH', 'Kopchick JJ', 'Ng VL', 'Karshin WL', 'Arlinghaus RB']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (Gene Products, gag)', '0 (Glycoproteins)', '0 (Protein Precursors)', '0 (Viral Proteins)']",IM,"['Gene Products, gag', 'Glycoproteins/genetics/*isolation & purification', 'Protein Precursors/genetics/*isolation & purification', 'Protein Processing, Post-Translational', 'Rauscher Virus/analysis/*genetics', 'Viral Proteins/genetics/*isolation & purification']",1983/03/01 00:00,1983/03/01 00:01,['1983/03/01 00:00'],"['1983/03/01 00:00 [pubmed]', '1983/03/01 00:01 [medline]', '1983/03/01 00:00 [entrez]']",['10.1128/JVI.45.3.1200-1206.1983 [doi]'],ppublish,J Virol. 1983 Mar;45(3):1200-6. doi: 10.1128/JVI.45.3.1200-1206.1983.,"['CA-09299/CA/NCI NIH HHS/United States', 'CA-16672/CA/NCI NIH HHS/United States', 'CA-25465/CA/NCI NIH HHS/United States']",PMC256534,,,,,
6601195,NLM,MEDLINE,19830505,20200724,0022-538X (Print) 0022-538X (Linking),45,2,1983 Feb,Identification of B-lymphotropic papovavirus-coded proteins.,872-5,"The lymphotropic papovavirus (LPV)-specific mRNAs were translated in vitro in rabbit reticulocyte lysates. The specific products were 84,000-dalton (84K), 41K, 35K, and 26K proteins. Immunoprecipitation with anti-LPV hamster sera and analysis of partially purified LPV virions showed that the last three proteins were the LPV capsid proteins, and we designated the 41K, 35K, and 26K proteins VP1 (major capsid protein), VP2, and VP3, respectively. Several characteristics, such as the small amount of mRNA for the 84K protein at late stages of infection, its absence from partially purified virus preparations, no common tryptic peptides between the 84K and 41K proteins, and the pattern of in vivo phosphorylation, suggest that the 84K protein is not a simple dimer of the 41K protein. Normal human sera and sera from certain leukemic patients positive for antibody to LPV viral antigens immunoprecipitated the 41K protein.","['Segawa, K', 'Takemoto, K K']","['Segawa K', 'Takemoto KK']",['eng'],['Journal Article'],United States,J Virol,Journal of virology,0113724,"['0 (Antibodies, Viral)', '0 (RNA, Messenger)', '0 (RNA, Viral)', '0 (Viral Proteins)']",IM,"['Animals', 'Antibodies, Viral/immunology', 'B-Lymphocytes', 'Capsid/analysis/immunology', 'Chlorocebus aethiops', 'Humans', 'Leukemia, Lymphoid/immunology', 'Papillomaviridae/*analysis', '*Polyomaviridae', 'Protein Biosynthesis', 'RNA, Messenger/genetics', 'RNA, Viral/genetics', 'Viral Proteins/*analysis']",1983/02/01 00:00,1983/02/01 00:01,['1983/02/01 00:00'],"['1983/02/01 00:00 [pubmed]', '1983/02/01 00:01 [medline]', '1983/02/01 00:00 [entrez]']",['10.1128/JVI.45.2.872-875.1983 [doi]'],ppublish,J Virol. 1983 Feb;45(2):872-5. doi: 10.1128/JVI.45.2.872-875.1983.,,PMC256483,,,,,
6601168,NLM,MEDLINE,19830505,20190511,0022-1899 (Print) 0022-1899 (Linking),147,3,1983 Mar,Human T-cell leukemia/lymphoma virus: the retrovirus of adult T-cell leukemia/lymphoma.,399-405,"Human T (thymus-derived)-cell leukemia/lymphoma virus (HTLV) is a new retrovirus first isolated from T-cell lines from a patient with cutaneous T-cell lymphoma from the southeastern United States. Closely related viruses have since been isolated from several patients with adult T-cell leukemia and lymphoma (and some normal persons) from different areas of the world. HTLV is not a genetically transmitted endogenous virus of humans, but it rather is acquired by postzygotic infection. Natural antibodies to several purified viral proteins have been observed in infected individuals. HTLV is transmissible in vitro to human cord blood T cells, and infection results in an increased growth rate, a reduced requirement for (and often independence from) T-cell growth factor, and an abrogation of the crisis period that usually occurs a month after the establishment of normal T-cell cultures. These data suggest that HTLV is the etiologic agent in some human cases of leukemia and lymphoma.","['Reitz, M S Jr', 'Kalyanaraman, V S', 'Robert-Guroff, M', 'Popovic, M', 'Sarngadharan, M G', 'Sarin, P S', 'Gallo, R C']","['Reitz MS Jr', 'Kalyanaraman VS', 'Robert-Guroff M', 'Popovic M', 'Sarngadharan MG', 'Sarin PS', 'Gallo RC']",['eng'],['Journal Article'],United States,J Infect Dis,The Journal of infectious diseases,0413675,"['0 (Antibodies, Viral)', '0 (DNA, Viral)']",IM,"['Antibodies, Viral/immunology', 'Cells, Cultured', 'DNA, Viral/metabolism', 'Female', 'Humans', 'Japan', 'Leukemia/*microbiology', 'Lymphoma/*microbiology', 'Male', 'Retroviridae/immunology/isolation & purification/*physiology', 'T-Lymphocytes', 'West Indies']",1983/03/01 00:00,2001/03/28 10:01,['1983/03/01 00:00'],"['1983/03/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1983/03/01 00:00 [entrez]']",['10.1093/infdis/147.3.399 [doi]'],ppublish,J Infect Dis. 1983 Mar;147(3):399-405. doi: 10.1093/infdis/147.3.399.,,,,,,,
6601163,NLM,MEDLINE,19830527,20190723,0022-1759 (Print) 0022-1759 (Linking),58,3,1983 Mar 25,Enumeration of human lymphocyte subpopulations by immunofluorescence: a comparative study using automated flow microfluorometry and fluorescence microscopy.,337-47,"These studies reveal that the enumeration of peripheral blood mononuclear cells by fluorescence microscopy and automated flow microfluorometry show a high degree of correlation whether the cells came from normals, individuals with common variable immunodeficiency, chronic lymphocytic leukemia of B cell origin or chronic lymphocytic leukemia of T cell origin. There was excellent agreement between these two methods when counting positive cells stained by the pan-T monoclonal antibodies OKT3 and Leu-1, the helper T reagents OKT4 and Leu-3a, and the suppressor T antibodies OKT8 and Leu-2a. The values obtained for B cells using a pan-B (HB-2) cell antibody analyzed by fluorescence microscopy and automated flow microfluorometry gave a correlation coefficient of 0.86. The percentage of cells identified by antibodies with reactivities toward peripheral blood monocytes (MMA or Leu-M1), the HLA-DR determinant, and HNK-1 (Leu-7) positive cells gave correlation coefficients of 0.90, 0.90, and 0.80 respectively when compared by the 2 methods mentioned above. These data suggest that comparable values for lymphocyte subpopulations in human blood samples can be obtained using the most convenient and available technology.","['Landay, A', 'Gartland, G L', 'Abo, T', 'Cooper, M D']","['Landay A', 'Gartland GL', 'Abo T', 'Cooper MD']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,J Immunol Methods,Journal of immunological methods,1305440,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Surface)']",IM,"['Antibodies, Monoclonal', 'Antigens, Surface/analysis', 'B-Lymphocytes/analysis', 'Flow Cytometry', 'Humans', 'Killer Cells, Natural/analysis', 'Lymphocytes/*classification/immunology', 'Microscopy, Fluorescence', 'Monocytes/analysis', 'T-Lymphocytes/analysis', 'T-Lymphocytes, Cytotoxic/analysis']",1983/03/25 00:00,1983/03/25 00:01,['1983/03/25 00:00'],"['1983/03/25 00:00 [pubmed]', '1983/03/25 00:01 [medline]', '1983/03/25 00:00 [entrez]']","['0022-1759(83)90361-7 [pii]', '10.1016/0022-1759(83)90361-7 [doi]']",ppublish,J Immunol Methods. 1983 Mar 25;58(3):337-47. doi: 10.1016/0022-1759(83)90361-7.,"['T32 AI007051/AI/NIAID NIH HHS/United States', 'CA 13148/CA/NCI NIH HHS/United States', 'CA 16673/CA/NCI NIH HHS/United States', 'T32 AI 07051/AI/NIAID NIH HHS/United States']",,,,,,
6601146,NLM,MEDLINE,19830527,20171116,0022-1767 (Print) 0022-1767 (Linking),130,5,1983 May,The adjuvanticity of interleukin 1 in vivo.,2191-4,"Interleukin 1 (IL 1) was shown to enhance in vivo secondary antibody responses of mice to a protein antigen. The activity was found to be dose and time dependent. The maximum enhancing effect was obtained with 2000 LAF units of IL 1 given 2 hr after the priming dose of antigen. The observation is consistent with the in vitro immunoenhancing activities of IL 1 and strongly suggests that this protein may be an important mediator of host defense responses, as well as of the stimulatory effects of some adjuvants.","['Staruch, M J', 'Wood, D D']","['Staruch MJ', 'Wood DD']",['eng'],['Journal Article'],United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Adjuvants, Immunologic)', '0 (Interleukin-1)', '0 (Lipopolysaccharides)', '27432CM55Q (Serum Albumin, Bovine)']",IM,"['Adjuvants, Immunologic/administration & dosage/*physiology', 'Animals', 'Antibody Formation', 'Cattle', 'Dose-Response Relationship, Immunologic', 'Female', 'Humans', 'Interleukin-1/administration & dosage/*physiology', 'Leukemia, Myeloid/immunology', 'Lipopolysaccharides/immunology', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C3H', 'Serum Albumin, Bovine/administration & dosage/immunology', 'Species Specificity']",1983/05/01 00:00,1983/05/01 00:01,['1983/05/01 00:00'],"['1983/05/01 00:00 [pubmed]', '1983/05/01 00:01 [medline]', '1983/05/01 00:00 [entrez]']",,ppublish,J Immunol. 1983 May;130(5):2191-4.,,,,,,,
6601135,NLM,MEDLINE,19830505,20071114,0022-1767 (Print) 0022-1767 (Linking),130,4,1983 Apr,Heterogeneity of human NK cells: comparison of effectors that lyse HSV-1-infected fibroblasts and K562 erythroleukemia targets.,1663-7,"In this study, we compared the natural killer (NK) cells that lyse HSV-1-infected NK(HSV-1) or uninfected [NK-(FS)] fibroblasts to those that lyse K562 erythroleukemia cells [NK(K562)]. Activity against all three targets was found in Percoll gradient fractions enriched for large granular lymphocytes, which suggests that these effector cells have a common morphology. In competition studies between 51Cr-labeled targets and unlabeled targets, both the infected and the uninfected fibroblasts competed for lysis of NK(HSV-1) and NK(FS) activity, whereas K562 cells competed poorly. In contrast, when 51Cr-labeled K562 cells were used, the unlabeled K562 cells competed well, but HSV-1-infected and uninfected fibroblasts competed poorly. Panning studies and complement elimination experiments using monoclonal antibodies were performed to describe cell surface markers on the NK cell populations. Treatment with an antibody to an la framework antigen reduced NK(HSV-1) but not NK(K562) activity. In contrast, the majority of NK(K562) effectors were recognized by antibodies to the E-rosette receptor (Lyt-3 and OKT11A), whereas NK(HSV-1) activity was much less sensitive to this antibody. OKM1, OKT10, and Leu-7 (HNK-1) markers were found on a portion, but not all, of the cells that lysed both the HSV-FS and K562 targets, while treatment with HLA plus complement totally abrogated both NK activities. Taken together, these data are consistent with the concept that human NK cells are heterogeneous and that we are dealing with at least three subpopulations of effector cells--one that kills the infected or uninfected fibroblasts; one that kills K562 cells; and a third population that may be able to kill all three targets. Patient studies provide additional evidence for heterogeneity within the NK cells that lyse the fibroblasts and K562 cells. We have studied a number of individuals who have normal NK activity with one target (HSV-FS or K562) but have low or no activity against the other. These patients provide strong evidence not only that NK cells are heterogeneous but also that these NK subpopulations can be regulated independently of each other in vivo.","['Fitzgerald, P A', 'Evans, R', 'Kirkpatrick, D', 'Lopez, C']","['Fitzgerald PA', 'Evans R', 'Kirkpatrick D', 'Lopez C']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Heterophile)']",IM,"['Adult', 'Anemia, Aplastic/immunology', 'Animals', 'Antibodies, Monoclonal/immunology', 'Antigens, Heterophile/*immunology', 'Binding, Competitive', 'Cell Separation', 'Centrifugation, Density Gradient', 'Cytotoxicity Tests, Immunologic', 'Female', 'Fibroblasts/immunology', 'Herpes Simplex/*immunology', 'Humans', 'Killer Cells, Natural/classification/*immunology', 'Leukemia, Erythroblastic, Acute/*immunology', 'Male', 'Mice']",1983/04/01 00:00,1983/04/01 00:01,['1983/04/01 00:00'],"['1983/04/01 00:00 [pubmed]', '1983/04/01 00:01 [medline]', '1983/04/01 00:00 [entrez]']",,ppublish,J Immunol. 1983 Apr;130(4):1663-7.,"['CA-08748/CA/NCI NIH HHS/United States', 'CA-23766/CA/NCI NIH HHS/United States']",,,,,,
