PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AB,RN,AID,GR,PMC,OID,SI,OAB,OABL,OTO,OT,GN
6584298,NLM,MEDLINE,19840521,20041117,0012-0472 (Print) 0012-0472 (Linking),109,15,1984 Apr 13,[Chromosome anomalies in chronic myelocytic leukemia].,596-7,"['Bruhn, H D', 'Zurborn, K H', 'Godde-Salz, E']","['Bruhn HD', 'Zurborn KH', 'Godde-Salz E']",['ger'],['Letter'],Chromosomenanomalien bei chronisch-myeloischen Leukamien.,Germany,Dtsch Med Wochenschr,Deutsche medizinische Wochenschrift (1946),0006723,IM,"['*Chromosome Aberrations', 'Humans', 'Leukemia, Myeloid/*genetics']",1984/04/13 00:00,1984/04/13 00:01,['1984/04/13 00:00'],"['1984/04/13 00:00 [pubmed]', '1984/04/13 00:01 [medline]', '1984/04/13 00:00 [entrez]']",ppublish,Dtsch Med Wochenschr. 1984 Apr 13;109(15):596-7.,,,,,,,,,,,,
6584297,NLM,MEDLINE,19840521,20071115,0012-0472 (Print) 0012-0472 (Linking),109,14,1984 Apr 6,[The leukemic retinal infiltrate: a rare extramedullary non-occult manifestation of leukemia?].,555-6,"['Meusers, P', 'Brittinger, G']","['Meusers P', 'Brittinger G']",['ger'],"['Case Reports', 'Letter']","Das leukamische Retina-Infiltrat: Seltene extramedullare, nicht okkulte Leukamiemanifestation?",Germany,Dtsch Med Wochenschr,Deutsche medizinische Wochenschrift (1946),0006723,IM,"['Adult', '*Eye Diseases', 'Humans', 'Leukemia, Myeloid, Acute/*physiopathology', 'Male']",1984/04/06 00:00,1984/04/06 00:01,['1984/04/06 00:00'],"['1984/04/06 00:00 [pubmed]', '1984/04/06 00:01 [medline]', '1984/04/06 00:00 [entrez]']",ppublish,Dtsch Med Wochenschr. 1984 Apr 6;109(14):555-6.,,,,,,,,,,,,
6584233,NLM,MEDLINE,19840427,20041117,0081-1270 (Print) 0081-1270 (Linking),83,5,1983 May,[Granulocytic sarcoma (chloroma) of the uvea].,621-5,"['Dhermy, P', 'Renard, G', 'Dao, C', 'Zittoun, R', 'Halimi, R']","['Dhermy P', 'Renard G', 'Dao C', 'Zittoun R', 'Halimi R']",['fre'],"['Case Reports', 'Journal Article']",Sarcome granulocytaire (chlorome) de l'uvee.,France,Bull Soc Ophtalmol Fr,Bulletin des societes d'ophtalmologie de France,0372675,IM,"['Adult', 'Anterior Chamber/pathology', 'Humans', 'Leukemia, Myeloid/*diagnosis/pathology', 'Male', 'Uveal Neoplasms/*diagnosis/pathology', 'Uveitis, Anterior/etiology']",1983/05/01 00:00,1983/05/01 00:01,['1983/05/01 00:00'],"['1983/05/01 00:00 [pubmed]', '1983/05/01 00:01 [medline]', '1983/05/01 00:00 [entrez]']",ppublish,Bull Soc Ophtalmol Fr. 1983 May;83(5):621-5.,,,,,,,,,,,,
6584232,NLM,MEDLINE,19840517,20071115,0180-5738 (Print) 0180-5738 (Linking),24,6,1983,[Acute digestive complications in leukemic children. Apropos of a case of cecal necrosis].,401-3,"['Sancho-Cerquella, V', 'Trujillo, M', 'Espejo, E']","['Sancho-Cerquella V', 'Trujillo M', 'Espejo E']",['fre'],"['Case Reports', 'English Abstract', 'Journal Article']",Les complications digestives aigues chez les enfants leucemiques. A propos d'un cas d'infarcissement coecal.,France,Chir Pediatr,Chirurgie pediatrique,7804068,IM,"['Cecal Diseases/diagnosis/*etiology/pathology', 'Cecum/pathology', 'Child', 'Female', 'Humans', 'Leukemia, Lymphoid/*complications', 'Necrosis', 'Neoplasm Invasiveness']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",ppublish,Chir Pediatr. 1983;24(6):401-3.,A caecal necrosis attributed to a hemorrhagic infarct from the ileocaecal vascular thrombosis associated with lymphoblastic infiltration. Early surgical operation with supportive hematological measures is required when a acute abdomen is suspected cue to the poor prognosis of this complication when untreated.,,,,,,,,,,,
6584208,NLM,MEDLINE,19840503,20121115,0361-5960 (Print) 0361-5960 (Linking),68,3,1984 Mar,Phase I-II trial of anthracenedicarboxaldehyde in patients with refractory adult acute leukemia.,535-7,"['Gerad, H', 'Van Echo, D A', 'Donehower, M', 'Pocelinko, R', 'Wiernik, P H']","['Gerad H', 'Van Echo DA', 'Donehower M', 'Pocelinko R', 'Wiernik PH']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Cancer Treat Rep,Cancer treatment reports,7607107,IM,"['Acute Disease', 'Acute Kidney Injury/chemically induced', 'Adult', 'Aged', 'Anthracenes/adverse effects/therapeutic use', 'Digestive System/drug effects', 'Drug Evaluation', 'Female', 'Heart Failure/chemically induced', 'Humans', 'Hypotension/chemically induced', 'Leukemia/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Liver/drug effects', 'Male', 'Middle Aged']",1984/03/01 00:00,1984/03/01 00:01,['1984/03/01 00:00'],"['1984/03/01 00:00 [pubmed]', '1984/03/01 00:01 [medline]', '1984/03/01 00:00 [entrez]']",ppublish,Cancer Treat Rep. 1984 Mar;68(3):535-7.,,"['0 (Anthracenes)', '39C34M111K (bisantrene)']",,,,,,,,,,
6584207,NLM,MEDLINE,19840503,20131121,0361-5960 (Print) 0361-5960 (Linking),68,3,1984 Mar,Aclarubicin-associated QTc prolongation and ventricular fibrillation.,527-9,"['Iwata, N', 'Karasawa, M', 'Omine, M', 'Maekawa, T', 'Suzuki, T', 'Kawai, Y']","['Iwata N', 'Karasawa M', 'Omine M', 'Maekawa T', 'Suzuki T', 'Kawai Y']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Cancer Treat Rep,Cancer treatment reports,7607107,IM,"['Aclarubicin', 'Adolescent', 'Adult', 'Antibiotics, Antineoplastic', 'Electrocardiography', 'Female', 'Heart Rate/*drug effects', 'Humans', 'Leukemia, Erythroblastic, Acute/*drug therapy', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Naphthacenes/adverse effects/therapeutic use', 'Ventricular Fibrillation/*chemically induced']",1984/03/01 00:00,1984/03/01 00:01,['1984/03/01 00:00'],"['1984/03/01 00:00 [pubmed]', '1984/03/01 00:01 [medline]', '1984/03/01 00:00 [entrez]']",ppublish,Cancer Treat Rep. 1984 Mar;68(3):527-9.,"A marked prolongation of QTc (corrected QT interval for heart rate) in ECG developed in two patients with acute leukemia during induction chemotherapy with aclarubicin, one of the anthracycline antibiotics. This ECG change was followed by ventricular fibrillation. No signs or symptoms of congestive heart failure were noted. The outcome in one case was fatal; in the other case, the ECG change was reversible. These observations suggest that QTc prolongation, which has been considered to be a sign of acute cardiotoxicity of anthracycline derivatives, may signal a clinical risk of ventricular fibrillation.","['0 (Antibiotics, Antineoplastic)', '0 (Naphthacenes)', '74KXF8I502 (Aclarubicin)']",,,,,,,,,,
6584206,NLM,MEDLINE,19840504,20151119,0008-5472 (Print) 0008-5472 (Linking),44,4,1984 Apr,Schedule-dependent enhancement of 1-beta-D-arabinofuranosylcytosine incorporation into HL-60 DNA by deoxyguanosine.,1530-5,"['Ross, D D', 'Akman, S A', 'Joneckis, C C', 'Yang, E', 'Bachur, N R']","['Ross DD', 'Akman SA', 'Joneckis CC', 'Yang E', 'Bachur NR']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Cancer Res,Cancer research,2984705R,IM,"['Cell Line', 'Clone Cells', 'Cytarabine/*metabolism/toxicity', 'DNA Replication/drug effects', 'Deoxyguanosine/*pharmacology', 'Flow Cytometry', 'Humans', 'Kinetics', 'Leukemia, Lymphoid/metabolism', 'Phosphorylation', 'Thymidine/metabolism/pharmacology', 'Tritium']",1984/04/01 00:00,1984/04/01 00:01,['1984/04/01 00:00'],"['1984/04/01 00:00 [pubmed]', '1984/04/01 00:01 [medline]', '1984/04/01 00:00 [entrez]']",ppublish,Cancer Res. 1984 Apr;44(4):1530-5.,"We studied the ability of the purine deoxynucleoside deoxyguanosine (dGuo) to enhance 1-beta-D-arabinofuranosylcytosine (ara-C) incorporation into DNA of HL-60 cultured human leukemia cells. The effects of dGuo on ara-C incorporation into DNA were compared to those of thymidine (dThd), a pyrimidine deoxynucleoside known to augment ara-C effects both in vitro and in vivo. Both deoxynucleosides doubled the cells in the S phase of the cell cycle within the exposure periods (up to 48 hr) and concentrations (10 to 1000 microM) tested. Both deoxynucleosides enhanced ara-C incorporation into DNA equally. However, dThd and dGuo differed in the schedule required to achieve this effect. Simultaneous exposure of cells to ara-C and dThd increased ara-C incorporation into DNA approximately 3.5-fold. Preincubation of cells with dThd for 16 hr prior to the addition of ara-C further enhanced ara-C incorporation into DNA (to approximately 5-fold) in direct proportion to the dThd-induced increase in cells in S phase. Preincubation was essential for dGuo, since 16-hr preincubation of cells with concentrations as low as 30 microM caused augmentation of ara-C incorporation into DNA; but simultaneous exposure of cells to dGuo and ara-C caused no augmentation of ara-C incorporation into DNA. The augmentation of ara-C incorporation into DNA caused by preincubation of the cells with dGuo results from a number of factors, including the cytokinetic effect of increasing the percentage of cells in S phase and the reduction of intracellular dCTP pools. Maximal dGuo enhancement of ara-C incorporation into DNA (approximately 5-fold) required greater than 100 microM dGuo, 16-hr preincubation with dGuo, and final incubation of cells with ara-C after removal of dGuo. We explain this further augmentation of ara-C incorporation into DNA caused by the removal of dGuo prior to adding ara-C by our observed inhibition of ara-C phosphorylation by dGuo concentrations greater than 100 microM.","['04079A1RDZ (Cytarabine)', '10028-17-8 (Tritium)', 'G9481N71RO (Deoxyguanosine)', 'VC2W18DGKR (Thymidine)']",,,,,,,,,,
6584204,NLM,MEDLINE,19840511,20190816,0165-4608 (Print) 0165-4608 (Linking),11,4,1984 Apr,Critical chromosome rearrangement in acute promyelocytic leukemia.,473-7,"['Knuutila, S', 'Ruutu, T', 'Kovanen, R', 'Ekblom, M', 'de la Chapelle, A']","['Knuutila S', 'Ruutu T', 'Kovanen R', 'Ekblom M', 'de la Chapelle A']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Bone Marrow/ultrastructure', 'Chromosome Banding', '*Chromosomes, Human, 13-15', '*Chromosomes, Human, 16-18', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/*genetics', 'Middle Aged', '*Translocation, Genetic']",1984/04/01 00:00,1984/04/01 00:01,['1984/04/01 00:00'],"['1984/04/01 00:00 [pubmed]', '1984/04/01 00:01 [medline]', '1984/04/01 00:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 1984 Apr;11(4):473-7. doi: 10.1016/0165-4608(84)90027-x.,"We report here a patient with acute promyelocytic leukemia (APL) who has two normal chromosomes #15 but a structurally abnormal chromosome #17. This case indicates that the critical point of rearrangement in APL is not necessarily in chromosome #15 but may, alternatively, be in chromosome #17.",,"['0165-4608(84)90027-X [pii]', '10.1016/0165-4608(84)90027-x [doi]']",,,,,,,,,
6584202,NLM,MEDLINE,19840511,20190816,0165-4608 (Print) 0165-4608 (Linking),11,4,1984 Apr,Chromosome analysis of Dalton's lymphoma adapted to the Swiss mouse: clonal evaluation and C-heterochromatin distribution.,417-23,"['Chakrabarti, S', 'Chakrabarti, A', 'Pal, A K']","['Chakrabarti S', 'Chakrabarti A', 'Pal AK']",['eng'],['Journal Article'],,United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Animals', 'Chromosome Banding', 'Clone Cells', '*Genetic Markers', 'Heterochromatin/*ultrastructure', 'Karyotyping', 'Leukemia, Experimental/*genetics', 'Lymphoma/*genetics', 'Mice', 'Mice, Inbred DBA', 'Mice, Inbred Strains', 'Neoplasm Transplantation', 'Time Factors', '*Translocation, Genetic']",1984/04/01 00:00,1984/04/01 00:01,['1984/04/01 00:00'],"['1984/04/01 00:00 [pubmed]', '1984/04/01 00:01 [medline]', '1984/04/01 00:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 1984 Apr;11(4):417-23. doi: 10.1016/0165-4608(84)90022-0.,"Chromosome studies of Dalton's lymphoma, which was originally developed in the DBA/2 mouse and later adapted to a close inbred strain of the Swiss albino mouse, revealed only one rb-marker in all cells bearing a modal number (71). After several successive in vivo passages of the tumor, a new cell clone appeared with a different modal number (70) and two rb-markers. This new cell clone gradually outnumbered the stem cells and an apparent enhancement in tumorigenicity was noted. C-banding of the new cell clone revealed that one of the two telomeric heterochromatin-bearing chromosomes, originally present in the stem cells, had been involved in a Robertsonian fusion to form the additional marker chromosome. G-banded analysis indicated the noninvolvement of chromosome #15 in the fusion.","['0 (Genetic Markers)', '0 (Heterochromatin)']","['0165-4608(84)90022-0 [pii]', '10.1016/0165-4608(84)90022-0 [doi]']",,,,,,,,,
6584200,NLM,MEDLINE,19840511,20190816,0165-4608 (Print) 0165-4608 (Linking),11,4,1984 Apr,High resolution chromosomes of the t(9;22) positive leukemias.,361-7,"['Prakash, O', 'Yunis, J J']","['Prakash O', 'Yunis JJ']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Acute Disease', 'Adult', 'Aged', 'Bone Marrow/*ultrastructure', 'Child', 'Chromosome Banding', 'Chromosomes, Human, 21-22 and Y/*ultrastructure', 'Chromosomes, Human, 6-12 and X/*ultrastructure', 'Female', 'Humans', 'Karyotyping', 'Leukemia/*genetics', 'Leukemia, Lymphoid/genetics', 'Leukemia, Myeloid/genetics', 'Male', 'Middle Aged', '*Translocation, Genetic']",1984/04/01 00:00,1984/04/01 00:01,['1984/04/01 00:00'],"['1984/04/01 00:00 [pubmed]', '1984/04/01 00:01 [medline]', '1984/04/01 00:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 1984 Apr;11(4):361-7. doi: 10.1016/0165-4608(84)90015-3.,"A combined bromodeoxyuridine (BrdU) and actinomycin D (AMD) treatment of methotrexate (MTX) synchronized bone marrow cells from four patients with chronic myelogenous leukemia (CML), and two each with acute lymphocytic (ALL) and acute nonlymphocytic (ANLL) leukemia were used to define the breakpoints involved in the t(9;22) found in subgroups of these three disorders. An additional 20 patients with CML were studied with the MTX technique alone. All cases showed the same breakpoints at subbands 9q34.1 and 22q11.2. In CML, it was possible to further define the breakpoint of chromosome 22 to subband q11.21.",,"['0165-4608(84)90015-3 [pii]', '10.1016/0165-4608(84)90015-3 [doi]']",['CA-31024/CA/NCI NIH HHS/United States'],,,,,,,,
