PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,TT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,GR,PMC,RF,AD,SI,LID,CIN,OID,RIN,ROF,PS,FPS
6451160,NLM,MEDLINE,19810413,20131121,0323-4398 (Print) 0323-4398 (Linking),26,3,1980,[Lymphocyte transformation using anti-lymphocyte globulin in child patients (author's transl)].,217-21,"In normal children about under PHA 67% of the lymphocytes, but only 8% under AHLG show a blast transformation. Children with juvenile rheumatoid arthritis reveal (in autologeous serum) a PHA-reactivity of the normal range, whereas the transformation rate under AHLG is increased on more than 60%. In immune proliferative disease the results are different. Further investigations have to show, if these results are of importance for diagnosis and therapy of the above mentioned diseases.","['Exadaktylos, P', 'Rumler, W', 'Oppermann, J', 'Gravinghoff, J']","['Exadaktylos P', 'Rumler W', 'Oppermann J', 'Gravinghoff J']",['ger'],"['English Abstract', 'Journal Article']",Uber die Lymphozytentransformation durch Anti-Humanlymphozyten-Globulin (AHLG) bei verschiedenen Krankheiten im Kindesalter.,Germany,Allerg Immunol (Leipz),Allergie und Immunologie,0314702,"['0 (Antilymphocyte Serum)', '0 (Phytohemagglutinins)']",IM,"['*Antilymphocyte Serum', 'Arthritis, Juvenile/*immunology', 'Autoimmune Diseases/immunology', 'Child', 'Hepatitis/*immunology', 'Humans', 'Leukemia/*immunology', '*Lymphocyte Activation/drug effects', 'Phytohemagglutinins/pharmacology']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",ppublish,Allerg Immunol (Leipz). 1980;26(3):217-21.,,,,,,,,,,,,,
6451145,NLM,MEDLINE,19810424,20171006,0386-300X (Print) 0386-300X (Linking),34,6,1980 Dec,Transplantable murine plasma cell leukemia with polyclonal gammopathy.,389-99,"A transplantable plasma cell leukemia cell line, designated as S27, was established from a 12-month-old female New Zealand Black mouse (NZB); serum showed polyclonal elevation of gamma globulin with agarose-agar gel electrophoresis. Immunoelectrophoretic analysis of the serum showed precipitation lines in the IgG1, IgG2a, IgG2b and IgM regions. The amount of serum immunoglobulin increased rapidly with tumor growth. S27 cells proliferating in the spleen contained simultaneously IgG1, IgG2a, IgG2b in the cytoplasm as revealed by indirect immunofluorescence. Membrane immunofluorescence revealed IgG1 on the tumor cell surface. S27 cells were transplantable to syngeneic NZB mice with inoculation of spleen cell suspension, and showed the same histological and immunological findings as those of the original mouse. These findings imply that a single clone of plasma cells has the capacity to produce more than one class of immunoglobulin.","['Yumoto, T', 'Yoshida, H', 'Ando, K', 'Tanaka, T']","['Yumoto T', 'Yoshida H', 'Ando K', 'Tanaka T']",['eng'],['Journal Article'],,Japan,Acta Med Okayama,Acta medica Okayama,0417611,"['0 (Immunoglobulin G)', '0 (Immunoglobulin M)']",IM,"['Animals', 'Electrophoresis, Agar Gel', 'Female', 'Fluorescent Antibody Technique', 'Hypergammaglobulinemia/*complications/immunology', 'Immunoglobulin G/*analysis', 'Immunoglobulin M/analysis', 'Leukemia, Experimental/immunology', 'Leukemia, Plasma Cell/*immunology', 'Mice', 'Mice, Inbred NZB', 'Neoplasm Transplantation']",1980/12/01 00:00,1980/12/01 00:01,['1980/12/01 00:00'],"['1980/12/01 00:00 [pubmed]', '1980/12/01 00:01 [medline]', '1980/12/01 00:00 [entrez]']",ppublish,Acta Med Okayama. 1980 Dec;34(6):389-99. doi: 10.18926/AMO/30532.,['10.18926/AMO/30532 [doi]'],,,,,,,,,,,,
6451143,NLM,MEDLINE,19810424,20171006,0386-300X (Print) 0386-300X (Linking),34,6,1980 Dec,Chromosome abnormalities in patients with chronic myelocytic leukemia.,367-82,"Fifty patients with chronic myelocytic leukemia (CML) grouped into four stages on the basis of clinical and hematological results were analyzed with chromosomal banding techniques. Of the 50 patients, 48 hand the ""standard"" type of Ph1 translocation, t(9 ; 22) (q34 ; q11) and the remaining 2 had Ph1-negative diploid karyotype. The frequency of numerical chromosomal changes and/or structural chromosomal changes other than the Ph1 translocation varied with the stages; the frequency was 1 of 28 cases (3.6%) for patients in stage I (chronic phase), 5 of 11 (45.5%) in stage II (early stage of blastic phase), 11 of 13 (84.6%) in stage III (blastic phase) and 2 of 7 (28.6%) in stage IV (remission phase). Numerical changes in hyperdiploid leukemic cells correlated well with the appearance of extra #8 and extra Ph1 In 5 cases with hypodiploid leukemic cells, one of the #7 pair was absent in 4 cases and Y in 1 case. As structural changes, partial excess of chromosome 1, isochromosome 17q, isochromosome 1q, tdic (20p+ ; 21q-), del (7) (q11), t(2p+ ; 11p-), #12q+ and Xp+ were observed. Chromosomal analysis alone is not the best marker to diagnose the onset of blastic phase; however, it is a useful parameter when considered in combination with clinical and hematological results.","['Miyamoto, K']",['Miyamoto K'],['eng'],"['Case Reports', 'Journal Article']",,Japan,Acta Med Okayama,Acta medica Okayama,0417611,,IM,"['Adult', 'Aged', '*Chromosome Aberrations', 'Chromosomes, Human, 21-22 and Y/ultrastructure', 'Diploidy', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Male', 'Middle Aged', 'Neoplasm Staging', 'Translocation, Genetic']",1980/12/01 00:00,1980/12/01 00:01,['1980/12/01 00:00'],"['1980/12/01 00:00 [pubmed]', '1980/12/01 00:01 [medline]', '1980/12/01 00:00 [entrez]']",ppublish,Acta Med Okayama. 1980 Dec;34(6):367-82. doi: 10.18926/AMO/30529.,['10.18926/AMO/30529 [doi]'],,,,,,,,,,,,
6451024,NLM,MEDLINE,19810424,20190818,0300-9475 (Print) 0300-9475 (Linking),12,3,1980,Effector cell potential of two human T-cell subpopulations with different affinities to sheep erythrocytes.,183-91,"Two human T lymphocyte subpopulations were purified on the basis of their different affinities to sheep erythrocytes and compared with unseparated and non-T lymphocytes as effectors in cell-mediated lympholysis (CML) after mixed lymphocyte culture (MCL), in antibody-dependent cellular cytotoxicity (ADCC) against the mouse mastocytoma line P 815, and in spontaneous cell-mediated cytotoxicity (SCMC) against the human myeloid leukaemia line K 562 and the Burkitt lymphoma line RAJI. The low-avidity T cells (T1) had developed into more potent effectors than the high-avidity (Te) when assessed in CML. In ADCC and SCMC both subsets exhibited low but consistent lysis with no demonstrable differences. Addition of human leucocyte interferon to the ADCC and SCMC cultures resulted in enhanced SCMC, most notable and to an equal extent with the T cell subsets. In contrast, ADCC of unseparated cells, non-T cells, and the two T subsets was found to be unchanged after interferon addition. These data are discussed in relation to findings with human T-cell subpopulations purified by other methods.","['Hokland, P', 'Heron, I']","['Hokland P', 'Heron I']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Scand J Immunol,Scandinavian journal of immunology,0323767,,IM,"['Animals', '*Antibody-Dependent Cell Cytotoxicity', '*Cytotoxicity, Immunologic', 'Erythrocytes/*immunology', 'Humans', 'Immunity, Cellular', 'Lymphocyte Culture Test, Mixed', 'Rabbits', 'Sheep', 'T-Lymphocytes/*classification']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",ppublish,Scand J Immunol. 1980;12(3):183-91. doi: 10.1111/j.1365-3083.1980.tb00058.x.,['10.1111/j.1365-3083.1980.tb00058.x [doi]'],,,,,,,,,,,,
6450621,NLM,MEDLINE,19810421,20210216,0006-4971 (Print) 0006-4971 (Linking),57,3,1981 Mar,"Proliferation, differentiation, and cytogenetics of chronic leukemic B lymphocytes cultured with mitomycin-treated normal cells.",444-51,"Lymphocytes from 6 patients with chronic lymphocytic leukemia of the B-cell variety (B-CLL) were cultured with equal numbers of mitomycin-treated mononuclear cells from normal blood. When stimulated with pokeweed mitogen (PWM), phytohemagglutinin (PHA), or the tumor-promoting agent, phorbol tetradecanoyl-acetate (TPA), the CLL cells proliferated actively by day 3 or 4 of culture, and in four cases, differentiated to significant numbers of immunoglobulin-containing cells. Chromosome studies on the proliferating lymphocytes demonstrated a cytogenetically abnormal clone in three patients, including two with a 14q+ marker chromosome and two with a translocation involving the short arm of chromosome 9. One patient had a translocation from 22q to 14q, producing a Philadelphia chromosome as well as the 14q+ marker. The results indicate that the neoplastic lymphocytes of B-CLL may proliferate and differentiate when appropriately stimulated in vitro, and that chromosomally abnormal clones are not uncommon. With several techniques now available for successful short-term culture of B-CLL lymphocytes, there is opportunity for better understanding of the cellular alterations in this disease.","['Nowell, P', 'Shankey, T V', 'Finan, J', 'Guerry, D', 'Besa, E']","['Nowell P', 'Shankey TV', 'Finan J', 'Guerry D', 'Besa E']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,United States,Blood,Blood,7603509,['0 (Mitomycins)'],IM,"['B-Lymphocytes/*immunology', 'Cell Differentiation', 'Chromosome Aberrations', 'Chromosomes, Human, 21-22 and Y', 'Chromosomes, Human, 6-12 and X', 'Humans', 'Leukemia, Lymphoid/*blood', '*Lymphocyte Activation', 'Lymphocyte Culture Test, Mixed', 'Mitomycins', 'Translocation, Genetic']",1981/03/01 00:00,1981/03/01 00:01,['1981/03/01 00:00'],"['1981/03/01 00:00 [pubmed]', '1981/03/01 00:01 [medline]', '1981/03/01 00:00 [entrez]']",ppublish,Blood. 1981 Mar;57(3):444-51.,['S0006-4971(20)69670-7 [pii]'],"['CA 12779/CA/NCI NIH HHS/United States', 'CA 15822/CA/NCI NIH HHS/United States']",,,,,,,,,,,
6450620,NLM,MEDLINE,19810421,20210216,0006-4971 (Print) 0006-4971 (Linking),57,3,1981 Mar,Abnormal T-cell subpopulation function in CLL: excessive suppressor (T gamma) and deficient helper (T mu) activity with respect to B-cell proliferation.,418-20,"T-cell function directly influences several B-cell functions. The effect of T-cell subgroups on B-cell function (DNA synthesis) was evaluated for controls and patients with B-cell type of CLL. Control and CLL intact T cells, T cells with receptors for IgG (T gamma), and T cells without Fc receptors at isolation (T non-gamma) were admixed with control B cells. Two predominant differences between control and CLL T cells were observed. First, CLL T gamma cells were excessively effective at suppressing B-cell DNA synthesis, and secondly, control T non-gamma cells were more efficient than CLL T non-gamma at promoting control B-cell DNA synthesis. While it is unclear whether the qualitative and quantitative T-cell abnormalities are part of the CLL disease process, it is possible that excessive T gamma cell numbers and function may reflect an appropriate immune response to a malignant B-cell clone.","['Kay, N E']",['Kay NE'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",,United States,Blood,Blood,7603509,['9007-49-2 (DNA)'],IM,"['B-Lymphocytes/*immunology', 'DNA/biosynthesis', 'Humans', 'Leukemia, Lymphoid/*immunology', 'Lymphocyte Activation', 'Lymphocyte Cooperation', 'T-Lymphocytes/*immunology', 'T-Lymphocytes, Regulatory/*immunology']",1981/03/01 00:00,1981/03/01 00:01,['1981/03/01 00:00'],"['1981/03/01 00:00 [pubmed]', '1981/03/01 00:01 [medline]', '1981/03/01 00:00 [entrez]']",ppublish,Blood. 1981 Mar;57(3):418-20.,['S0006-4971(20)69666-5 [pii]'],,,,,,,,,,,,
6450603,NLM,MEDLINE,19810413,20190515,0007-0920 (Print) 0007-0920 (Linking),43,1,1981 Jan,In vitro generation of lymphocytotoxicity to autochthonous leukaemic cells in chronic myeloid leukaemia.,13-8,"Lymphocytes from 13 chronic myeloid leukaemia (CML) patients in remission were tested for their ability to differentiate in vitro into a cell population cytotoxic to autochthonous target leukaemic cells. CML remission lymphocytes were cultured in vitro with autochthonous leukaemic cells and allogeneic normal lymphocytes from an unrelated donor, singly or in combination. The cytotoxic lymphocytes obtained after 7 days of culture were tested for their ability to kill autochthonous leukaemic cells in a 3h 51Cr-release assay. It was found that with the allogeneic stimulus alone, cytotoxicity was generated in 5/13 cases, whilst stimulation of lymphocytes with autochthonous leukaemic cells alone induced cytotoxicity in 7/13 cases. In contrast, anti-leukaemic cytotoxicity was shown in 12/13 cases when responder lymphocytes were stimulated with both autochthonous leukaemic and unrelated allogeneic normal lymphocytes. The specificity of cytotoxicity was confirmed using other targets such as autochthonous PHA-transformed lymphoblasts and mouse L1210 cells. In 1/5 cases, CML remission lymphocytes stimulated with autochthonous leukaemic cells showed cytotoxicity to PHA-transformed autochthonous normal lymphoblasts, whilst 1/4 patients showed nonspecific cytotoxicity to L1210 cells when lymphocytes were cultured in MLC or MLTC, as well as in a 3-cell assay.","['Khare, A G', 'Advani, S H', 'Gangal, S G']","['Khare AG', 'Advani SH', 'Gangal SG']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Br J Cancer,British journal of cancer,0370635,['0 (Phytohemagglutinins)'],IM,"['Animals', 'Cells, Cultured', '*Cytotoxicity, Immunologic', 'Humans', 'Leukemia L1210/immunology', 'Leukemia, Myeloid/*immunology', 'Lymphocyte Activation', 'Lymphocyte Culture Test, Mixed', 'Lymphocytes/*immunology', 'Mice', 'Phytohemagglutinins/immunology']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",ppublish,Br J Cancer. 1981 Jan;43(1):13-8. doi: 10.1038/bjc.1981.3.,['10.1038/bjc.1981.3 [doi]'],,PMC2010486,,,,,,,,,,
6450366,NLM,MEDLINE,19810324,20091111,0029-8573 (Print) 0029-8573 (Linking),42,8,1980 Aug,[Carcinogenic risk from ionizing radiation and possible synergisms].,503-12,,"['Streffer, C']",['Streffer C'],['ger'],['Journal Article'],Kanzerogenes Risiko durch ionisierende Strahlen und mogliche Synergismen.,Germany,Offentl Gesundheitswes,Das Offentliche Gesundheitswesen,0107170,['0 (Carcinogens)'],IM,"['Carcinogens/*pharmacology', 'Humans', 'Leukemia, Radiation-Induced/etiology', 'Neoplasms, Radiation-Induced/*etiology', 'Radiation Dosage', 'Radiation, Ionizing', 'Risk']",1980/08/01 00:00,1980/08/01 00:01,['1980/08/01 00:00'],"['1980/08/01 00:00 [pubmed]', '1980/08/01 00:01 [medline]', '1980/08/01 00:00 [entrez]']",ppublish,Offentl Gesundheitswes. 1980 Aug;42(8):503-12.,,,,,,,,,,,,,
6450292,NLM,MEDLINE,19810327,20061115,0485-1439 (Print) 0485-1439 (Linking),21,9,1980 Sep,[Immunotherapy of acute leukemia (author's transl)].,1324-7,,"['Ohno, R', 'Kato, Y']","['Ohno R', 'Kato Y']",['jpn'],"['English Abstract', 'Journal Article']",,Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Antigens, Neoplasm)', '0 (BCG Vaccine)']",IM,"['Acute Disease', 'Adult', 'Antigens, Neoplasm/analysis', 'BCG Vaccine/therapeutic use', 'Humans', '*Immunotherapy', 'Leukemia/immunology/*therapy', 'Lymphocyte Culture Test, Mixed', 'Male']",1980/09/01 00:00,1980/09/01 00:01,['1980/09/01 00:00'],"['1980/09/01 00:00 [pubmed]', '1980/09/01 00:01 [medline]', '1980/09/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1980 Sep;21(9):1324-7.,,,,,,,,,,,,,
6450244,NLM,MEDLINE,19810324,20061115,0022-1767 (Print) 0022-1767 (Linking),126,2,1981 Feb,Inhibition of cytolytic T lymphocyte clones reactive with Moloney leukemia virus-associated antigens by monoclonal antibodies: a direct approach to the study of H-2 restriction.,482-5,"H-2 restriction in cytolytic T lymphocyte (CTL)-mediated lysis of syngeneic murine Moloney leukemia virus (MoLV)-induced tumor cells was studied at the clonal level by testing the inhibitory effect of monoclonal anti-H-2 antibodies on the lytic interaction between CTL clones and target cells. Large numbers of MoLV-specific CTL clones were generated by placing limiting numbers of C57BL/6 regressor (responder) spleen cells into micro-mixed leukocyte-tumor cell cultures. The clonal CTL populations thus obtained were split into 5 aliquots and tested for lytic activity in the presence (or absence) of 1 of 3 monoclonal antibodies or of an anti-whole H-2b haplotype antiserum. Two of the monoclonal antibodies were directed against H-2Db and one against H-2Kb determinants. Specificity of these reagents had been verified by demonstrating inhibition of lysis by CTL populations directed against H-2Db and H-2Kb alloantigens. In 44 of a total of 51 clones tested, results showed selective inhibition by the anti-H-2Db (and the anti-whole haplotype) reagents, and lack of inhibition by the anti-H-2Kb antibody., Of the remaining 7 clones, none was inhibited by the anti-H-2Db antibody, and 3 were inhibited by the anti-whole haplotype antiserum. These studies show that the recognition of MoLV-associated antigens by the majority of CTL clones was restricted to the H-2Db region, and that there exists limited heterogeneity in the H-2 restriction of such clones.","['Weiss, A', 'MacDonald, H R', 'Cerottini, J C', 'Brunner, K T']","['Weiss A', 'MacDonald HR', 'Cerottini JC', 'Brunner KT']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Antibodies, Neoplasm)', '0 (Antigens, Neoplasm)', '0 (H-2 Antigens)']",IM,"['Animals', 'Antibodies, Neoplasm', 'Antigen-Antibody Reactions', '*Antigens, Neoplasm', 'Clone Cells/immunology', '*Cytotoxicity, Immunologic', 'H-2 Antigens', 'Leukemia, Experimental/*immunology', 'Lymphocyte Culture Test, Mixed', 'Mice', 'Mice, Inbred C57BL', 'Moloney murine leukemia virus/immunology', 'T-Lymphocytes/*immunology']",1981/02/01 00:00,1981/02/01 00:01,['1981/02/01 00:00'],"['1981/02/01 00:00 [pubmed]', '1981/02/01 00:01 [medline]', '1981/02/01 00:00 [entrez]']",ppublish,J Immunol. 1981 Feb;126(2):482-5.,,,,,,,,,,,,,
