PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,TT,PMC,PS,FPS,CN,CIN,OID,OAB,OABL,OTO,OT,GN,RIN,SI
6385797,NLM,MEDLINE,19841114,20190619,0003-4819 (Print) 0003-4819 (Linking),101,5,1984 Nov,Bone marrow transplantation or chemotherapy after remission induction for adults with acute nonlymphoblastic leukemia. A prospective comparison.,581-8,"We compared the outcome of marrow transplantation with that of continued chemotherapy for adults with acute nonlymphoblastic leukemia who achieve a first remission. From May 1977 to July 1982, 111 consecutive adults (ages 17 to 50) with newly diagnosed acute nonlymphoblastic leukemia were treated with induction chemotherapy. Ninety patients (81%) had a complete remission. Forty-four remission patients had available donors: 33 received a transplant and 11 did not. Forty-six patients in remission without matched donors were treated with continued chemotherapy. Kaplan-Meier estimates of 5-year, disease-free survival from complete remission are 49% +/- 18% for the transplant group and 20% +/- 13% for the chemotherapy group. When compared to the chemotherapy group, patients undergoing transplantation had a higher risk of dying during the first 6 months after remission induction but a lower risk of dying thereafter. Within the transplant group, only age influenced survival. Within the chemotherapy group, a leukocyte count of greater than 10 000 mm3 at diagnosis, a French-American-British (FAB) Cooperative Group morphologic status of M-4, M-5, or M-6, and the presence of infection at diagnosis were all associated with shorter survival.","['Appelbaum, F R', 'Dahlberg, S', 'Thomas, E D', 'Buckner, C D', 'Cheever, M A', 'Clift, R A', 'Crowley, J', 'Deeg, H J', 'Fefer, A', 'Greenberg, P D']","['Appelbaum FR', 'Dahlberg S', 'Thomas ED', 'Buckner CD', 'Cheever MA', 'Clift RA', 'Crowley J', 'Deeg HJ', 'Fefer A', 'Greenberg PD', 'et al.']",['eng'],"['CA 15704/CA/NCI NIH HHS/United States', 'CA 18029/CA/NCI NIH HHS/United States', 'CA 18221/CA/NCI NIH HHS/United States', 'etc.']","['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Ann Intern Med,Annals of internal medicine,0372351,['0 (HLA Antigens)'],IM,"['Acute Disease', 'Adolescent', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage/*therapeutic use', '*Bone Marrow Transplantation', 'Combined Modality Therapy', 'Drug Administration Schedule', 'Evaluation Studies as Topic', 'Female', 'HLA Antigens/analysis', 'Humans', 'Leukemia/drug therapy/*therapy', 'Male', 'Middle Aged', 'Prospective Studies', 'Random Allocation', 'Regression Analysis']",1984/11/01 00:00,1984/11/01 00:01,['1984/11/01 00:00'],"['1984/11/01 00:00 [pubmed]', '1984/11/01 00:01 [medline]', '1984/11/01 00:00 [entrez]']",['10.7326/0003-4819-101-5-581 [doi]'],ppublish,Ann Intern Med. 1984 Nov;101(5):581-8. doi: 10.7326/0003-4819-101-5-581.,,,,,,,,,,,,,,,
6385694,NLM,MEDLINE,19841109,20190627,0002-9343 (Print) 0002-9343 (Linking),77,4,1984 Oct,Plasma fibronectin as a marker for cancer and other diseases.,685-9,"The blood concentration of the high-molecular-weight glycoprotein fibronectin showed great promise as a marker for cancer and certain other disease states. However, it now appears that plasma fibronectin levels are influenced by many factors (e.g., age, sex, nutritional state, trauma, shock, inflammation, certain drugs), sometimes giving conflicting responses. Furthermore, unrecognized pitfalls exist in fibronectin determinations with respect to blood sampling methods, plasma preparation, plasma storage, and re-use and assay methods. It is concluded that the plasma fibronectin level, as frequently reported, has little value as a marker for cancer and other disease states.","['Zerlauth, G', 'Wolf, G']","['Zerlauth G', 'Wolf G']",['eng'],['CA-13792/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Am J Med,The American journal of medicine,0267200,['0 (Fibronectins)'],IM,"['Adult', 'Animals', 'Blood Preservation', 'Blood Specimen Collection', 'Female', 'Fibronectins/*blood', 'Humans', 'Immunochemistry', 'Leukemia/blood', 'Liver Diseases/blood', 'Male', 'Neoplasms/*blood/diagnosis', 'Reference Values']",1984/10/01 00:00,1984/10/01 00:01,['1984/10/01 00:00'],"['1984/10/01 00:00 [pubmed]', '1984/10/01 00:01 [medline]', '1984/10/01 00:00 [entrez]']","['0002-9343(84)90366-8 [pii]', '10.1016/0002-9343(84)90366-8 [doi]']",ppublish,Am J Med. 1984 Oct;77(4):685-9. doi: 10.1016/0002-9343(84)90366-8.,68,,,,,,,,,,,,,,
6385692,NLM,MEDLINE,19841109,20190627,0002-9343 (Print) 0002-9343 (Linking),77,4,1984 Oct,Invasive Fusarium infections in bone marrow transplant recipients.,645-51,"From November 1982 to September 1983, three cases of invasive infection due to Fusarium species were documented in bone marrow transplant recipients. Fusarium was cultured from discrete skin nodules (one patient), maxillary sinus (one patient), or from the blood and surgically excised nasal septum (one patient). All three isolates were resistant to 5-fluorocytosine, whereas only one isolate was resistant to amphotericin B. Although all three patients died, two of the patients had clearing of their Fusarium infection. From this experience and from a review of the literature, it is concluded that despite the dismal prognosis for immunocompromised patients with Fusarium, beneficial therapies would include systemic amphotericin B, local surgical resection, and possibly leukocyte transfusions.","['Blazar, B R', 'Hurd, D D', 'Snover, D C', 'Alexander, J W', 'McGlave, P B']","['Blazar BR', 'Hurd DD', 'Snover DC', 'Alexander JW', 'McGlave PB']",['eng'],"['5-T32-CA09445/CA/NCI NIH HHS/United States', 'CA-21737/CA/NCI NIH HHS/United States']","['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Med,The American journal of medicine,0267200,"['0 (Anti-Bacterial Agents)', '0 (Antifungal Agents)', '0 (Antineoplastic Agents)', '0 (Immunosuppressive Agents)']",IM,"['Adolescent', 'Adult', 'Anti-Bacterial Agents/adverse effects', 'Antifungal Agents/therapeutic use', 'Antineoplastic Agents/adverse effects', '*Bone Marrow Transplantation', 'Drug Resistance, Microbial', 'Exudates and Transudates/microbiology', 'Female', 'Fusarium/drug effects/immunology/*isolation & purification', 'Humans', 'Immune Tolerance', 'Immunosuppressive Agents/adverse effects', 'Leukemia/complications/therapy', 'Leukocyte Count', 'Male', 'Mycoses/*microbiology/prevention & control/therapy', 'Postoperative Complications/microbiology', 'Prognosis']",1984/10/01 00:00,1984/10/01 00:01,['1984/10/01 00:00'],"['1984/10/01 00:00 [pubmed]', '1984/10/01 00:01 [medline]', '1984/10/01 00:00 [entrez]']","['0002-9343(84)90355-3 [pii]', '10.1016/0002-9343(84)90355-3 [doi]']",ppublish,Am J Med. 1984 Oct;77(4):645-51. doi: 10.1016/0002-9343(84)90355-3.,,,,,,,,,,,,,,,
6385336,NLM,MEDLINE,19841113,20080716,0029-2001 (Print) 0029-2001 (Linking),104,23,1984 Aug 20,[Bone marrow transplantation. Indications in adult patients with leukemia or aplastic anemia].,1542-4,,"['Evensen, S A', 'Froland, S S', 'Stavem, P', 'Albrechtsen, D', 'Flatmark, A']","['Evensen SA', 'Froland SS', 'Stavem P', 'Albrechtsen D', 'Flatmark A']",['nor'],,"['English Abstract', 'Journal Article']",Norway,Tidsskr Nor Laegeforen,"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke",0413423,['0 (HLA Antigens)'],IM,"['Adult', 'Anemia, Aplastic/*therapy', 'Bone Marrow/immunology', '*Bone Marrow Transplantation', 'HLA Antigens/analysis', 'Humans', 'Leukemia/*therapy', 'Transplantation Immunology']",1984/08/20 00:00,1984/08/20 00:01,['1984/08/20 00:00'],"['1984/08/20 00:00 [pubmed]', '1984/08/20 00:01 [medline]', '1984/08/20 00:00 [entrez]']",,ppublish,Tidsskr Nor Laegeforen. 1984 Aug 20;104(23):1542-4.,,Benmargtransplantasjon. Indikasjoner hos voksne pasienter med levkemi eller aplastisk anemi.,,,,,,,,,,,,,
6385265,NLM,MEDLINE,19841101,20180524,0093-7754 (Print) 0093-7754 (Linking),11,3 Suppl 1,1984 Sep,Mitoxantrone in the treatment of relapsed and refractory acute leukemia.,41-6,"Eleven academic institutions were selected to study mitoxantrone administered on a schedule of 10 mg/m2/d for five days initially and later at 12 mg/m2/d for five days, each given as a 30 minute intravenous (IV) infusion each day. Patients with acute or chronic leukemia were stratified by leukemic type and clinical status and included one group of patients considered to be in relapse after complete remission from previous chemotherapy and another group of patients considered refractory to standard induction and/or salvage chemotherapy. During the initial treatment schedule, complete remissions were obtained in two of seven patients with acute nonlymphoblastic leukemia, in one of three patients with acute lymphoblastic leukemia, but in none of the patients with chronic granulocytic leukemia in blast crisis. The durations of remission for these three patients were 22, 57, and 78 days, respectively. An increase in mitoxantrone dose to 12 mg/m2/d produced complete remissions in 8 of 19 evaluable patients with acute nonlymphoblastic leukemia, in one of ten patients with refractory acute nonlymphoblastic leukemia, and in one of four patients with chronic granulocytic leukemia in blast crisis. Each of these patients required only a single course of mitoxantrone to achieve remission; the median time to remission was 37 days (range 18 to 64 days). Remission duration ranged from 35 days (chronic granulocytic leukemia) to 186 days, with the median duration for those patients with acute nonlymphoblastic leukemia achieving remission being 135 days. Of the six patients with acute lymphoblastic leukemia, none achieved remission at the higher dose level. Drug-related gastrointestinal toxicity included mucositis (25%), diarrhea (21%), and nausea and vomiting (61%). Systemic infection (nonfatal) was experienced by 21% of patients and alopecia by 17%. Other side effects that occurred occasionally were hepatic dysfunction, decreased renal function, confusion, lethargy, anxiety, and fever. Possible drug-related phlebitis developed in one patient, and a single episode of minor epistaxis was reported in another. Cardiovascular toxicity was low. At a mitoxantrone dose of 10 mg/m2/d for five days, one patient developed hypotension, and one episode of congestive heart failure was reported in another. At the higher dose of 12 mg/m2/d, no drug-related hypotension, congestive heart failure, tachycardia, or chest pain were reported. These data indicate that mitoxantrone is a promising single drug for the treatment of acute nonlymphoblastic leukemia and possibly for acute lymphoblastic leukemia.","['Moore, J O', 'Olsen, G A']","['Moore JO', 'Olsen GA']",['eng'],,"['Clinical Trial', 'Comparative Study', 'Journal Article']",United States,Semin Oncol,Seminars in oncology,0420432,"['0 (Anthraquinones)', '0 (Antineoplastic Agents)', 'BZ114NVM5P (Mitoxantrone)']",IM,"['Acute Disease', 'Adult', 'Aged', 'Anthraquinones/administration & dosage/*therapeutic use/toxicity', 'Antineoplastic Agents/*therapeutic use', 'Clinical Trials as Topic', 'Drug Administration Schedule', 'Female', 'Follow-Up Studies', 'Heart/drug effects', 'Humans', 'Infusions, Parenteral', 'Leukemia/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid/drug therapy', 'Male', 'Middle Aged', 'Mitoxantrone']",1984/09/01 00:00,1984/09/01 00:01,['1984/09/01 00:00'],"['1984/09/01 00:00 [pubmed]', '1984/09/01 00:01 [medline]', '1984/09/01 00:00 [entrez]']",['0093-7754(84)90010-1 [pii]'],ppublish,Semin Oncol. 1984 Sep;11(3 Suppl 1):41-6.,,,,,,,,,,,,,,,
6385264,NLM,MEDLINE,19841101,20180524,0093-7754 (Print) 0093-7754 (Linking),11,3 Suppl 1,1984 Sep,Mitoxantrone as a single agent and in combination chemotherapy in patients with refractory acute leukemia.,36-40,"A total of 47 patients with relapsed or primarily refractory leukemia were treated with mitoxantrone alone or in combination with vincristine sulfate and prednisone or cytarabine. Eligible patients included those with adequate renal and hepatic function, normal left ventricular ejection fraction, and those who had received previous treatment. When mitoxantrone was given alone in a once daily times five schedule, 5 of 12 acute lymphoblastic leukemia patients achieved complete remission; 4 of these patients had been refractory to reinduction and 1 to induction chemotherapy with anthracycline-containing treatments. Four of these patients had progressive disease, and three died during induction. Of 12 patients with acute myeloid leukemia, 1 had a complete remission, 1 had a partial remission, 8 had progressive disease, and 2 died during induction. Mitoxantrone was also found to be active in two patients in the blastic transformation of chronic myeloid leukemia with a response in one patient lasting 17 weeks. Combinations of mitoxantrone with vincristine sulfate and prednisone resulted in complete remission in four of nine acute lymphoblastic leukemia patients and one of four patients with Tdt-positive chronic myeloid leukemia in blast crisis. Three of these patients had not experienced a prior remission following anthracycline-containing treatments. Partial remission occurred in two of the acute lymphoblastic leukemia patients and one of the Tdt-positive chronic myeloid leukemia patients. Two of this latter group of patients died in induction. Treatment with mitoxantrone and cytarabine resulted in two acute myeloid leukemia patients achieving complete remission and one a partial remission; two patients had progressive disease, and one died in induction. No response was seen in a patient with Tdt-negative chronic myeloid leukemia after two courses of treatment. One patient with acute leukemia in the course of myelofibrosis died in induction. All the patients achieving complete remission are alive and have been in complete remission from 2 to 12 months. Side effects included mild nausea and vomiting in 9 of 13 patients treated with the mitoxantrone-vincristine sulfate-prednisone combination, and in 3 of 8 patients treated with the mitoxantrone-cytarabine combination. Other side effects of the combination treatments include drug-induced oral mucositis (of a lesser degree than with mitoxantrone alone), transient hepatic abnormalities, and infectious complications, such as sepsis, Candida sp colonization of the upper digestive tract, and soft tissue cellulitis, in a few patients.(ABSTRACT TRUNCATED AT 400 WORDS)","['Paciucci, P A', 'Cuttner, J', 'Holland, J F']","['Paciucci PA', 'Cuttner J', 'Holland JF']",['eng'],"['CA-15936/CA/NCI NIH HHS/United States', 'N01-CM 97275/CM/NCI NIH HHS/United States']","['Clinical Trial', 'Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Semin Oncol,Seminars in oncology,0420432,"['0 (Anthraquinones)', '0 (Antineoplastic Agents)', '04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', 'BZ114NVM5P (Mitoxantrone)', 'VB0R961HZT (Prednisone)']",IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Anthraquinones/administration & dosage/*therapeutic use/toxicity', 'Antineoplastic Agents/*therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use/toxicity', 'Child', 'Child, Preschool', 'Clinical Trials as Topic', 'Cytarabine/administration & dosage', 'Female', 'Humans', 'Leukemia/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Male', 'Middle Aged', 'Mitoxantrone', 'Prednisone/administration & dosage', 'Vincristine/administration & dosage']",1984/09/01 00:00,1984/09/01 00:01,['1984/09/01 00:00'],"['1984/09/01 00:00 [pubmed]', '1984/09/01 00:01 [medline]', '1984/09/01 00:00 [entrez]']",['0093-7754(84)90009-5 [pii]'],ppublish,Semin Oncol. 1984 Sep;11(3 Suppl 1):36-40.,,,,,,,,,,,,,,,
6385263,NLM,MEDLINE,19841101,20180524,0093-7754 (Print) 0093-7754 (Linking),11,3 Suppl 1,1984 Sep,Mitoxantrone in relapsed and refractory acute leukemia.,32-5,"Mitoxantrone is a relatively new synthetic anthracenedione derivative with intercalating properties. An in vitro study with established leukemia cell lines indicated that DNA strand breaks were caused by mitoxantrone; when these were progressive after the initial insult, the cell line was sensitive to the drug. Clinical trials involved patients with relapsed and/or refractory acute leukemia. None of the patients receiving a single slow infusion of mitoxantrone achieved a complete remission. A five day treatment regimen produced an overall response rate of 48% with a complete remission rate of 25%. Toxicity in these preliminary studies was limited compared to that expected with the anthracycline antibiotics. Alopecia and nausea were the only commonly observed side effects. The trials were too short, however, to evaluate possible cardiac toxicity. Mitoxantrone is an acute and relatively nontoxic agent that merits further study to identify its role in the first line therapy of acute leukemia; such studies are underway.","['Prentice, H G', 'Robbins, G', 'Ma, D D', 'Ho, A D']","['Prentice HG', 'Robbins G', 'Ma DD', 'Ho AD']",['eng'],,"['Clinical Trial', 'Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Semin Oncol,Seminars in oncology,0420432,"['0 (Anthraquinones)', '0 (Antineoplastic Agents)', 'BZ114NVM5P (Mitoxantrone)']",IM,"['Acute Disease', 'Aged', 'Anthraquinones/*therapeutic use/toxicity', 'Antineoplastic Agents/*therapeutic use', 'Cell Line', 'Clinical Trials as Topic', 'Follow-Up Studies', 'Humans', 'Leukemia/*drug therapy/pathology', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid/drug therapy', 'Mitoxantrone']",1984/09/01 00:00,1984/09/01 00:01,['1984/09/01 00:00'],"['1984/09/01 00:00 [pubmed]', '1984/09/01 00:01 [medline]', '1984/09/01 00:00 [entrez]']",['0093-7754(84)90008-3 [pii]'],ppublish,Semin Oncol. 1984 Sep;11(3 Suppl 1):32-5.,,,,,,,,,,,,,,,
6385122,NLM,MEDLINE,19841114,20191031,0079-6263 (Print) 0079-6263 (Linking),27,,1984,Brain tumor-associated antigens.,118-31,,"['de Tribolet, N', 'Carrel, S', 'Mach, J P']","['de Tribolet N', 'Carrel S', 'Mach JP']",['eng'],,"['Journal Article', 'Review']",Switzerland,Prog Exp Tumor Res,Progress in experimental tumor research,0376446,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)', '0 (Glial Fibrillary Acidic Protein)', '0 (HLA-DR Antigens)', '0 (Histocompatibility Antigens Class II)']",IM,"['Animals', 'Antibodies, Monoclonal/immunology', 'Antigens, Neoplasm/*analysis', 'Brain Neoplasms/*immunology', 'Glial Fibrillary Acidic Protein/analysis', 'Glioma/immunology', 'HLA-DR Antigens', 'Histocompatibility Antigens Class II/analysis', 'Humans', 'Hybridomas', 'Immunoenzyme Techniques', 'Leukemia, Lymphoid/immunology']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",['10.1159/000408226 [doi]'],ppublish,Prog Exp Tumor Res. 1984;27:118-31. doi: 10.1159/000408226.,25,,,,,,,,,,,,,,
6385011,NLM,MEDLINE,19841119,20200930,0037-9727 (Print) 0037-9727 (Linking),177,2,1984 Nov,"Homing receptors as functional markers for classification, prognosis, and therapy of leukemias and lymphomas.",211-9,,"['Kamenov, B', 'Kieran, M W', 'Barrington-Leigh, J', 'Longenecker, B M']","['Kamenov B', 'Kieran MW', 'Barrington-Leigh J', 'Longenecker BM']",['eng'],,"['Journal Article', 'Review']",United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)', '0 (Receptors, Antigen)']",IM,"['Animals', 'Antibodies, Monoclonal', 'Antigens, Neoplasm/*analysis/immunology/physiology', 'B-Lymphocytes/pathology', 'Bone Marrow/pathology', 'Cell Adhesion', 'Cell Line', 'Disease Models, Animal', 'Hematopoietic Stem Cells/pathology', 'Hodgkin Disease', 'Humans', '*Leukemia/classification/pathology/therapy', 'Leukemia, Lymphoid', 'Liver/pathology', 'Lymph Nodes/pathology', 'Lymphatic System/pathology', '*Lymphoma/classification/pathology/therapy', 'Neoplasm Metastasis', 'Neoplasm Transplantation', 'Prognosis', 'Receptors, Antigen/*analysis/immunology/physiology', 'Spleen/pathology', 'T-Lymphocytes/pathology', 'Thymus Gland/pathology']",1984/11/01 00:00,1984/11/01 00:01,['1984/11/01 00:00'],"['1984/11/01 00:00 [pubmed]', '1984/11/01 00:01 [medline]', '1984/11/01 00:00 [entrez]']",['10.3181/00379727-177-41933 [doi]'],ppublish,Proc Soc Exp Biol Med. 1984 Nov;177(2):211-9. doi: 10.3181/00379727-177-41933.,24,,,,,,,,,,,,,,
6384986,NLM,MEDLINE,19841119,20041117,0032-6518 (Print) 0032-6518 (Linking),228,1396,1984 Oct,Bone marrow transplantation.,899-901,,"['Clink, H']",['Clink H'],['eng'],,['Journal Article'],England,Practitioner,The Practitioner,0404245,,IM,"['Adult', '*Bone Marrow Transplantation', 'Child', 'Graft vs Host Disease/complications', 'Humans', 'Leukemia/therapy', 'Postoperative Complications']",1984/10/01 00:00,1984/10/01 00:01,['1984/10/01 00:00'],"['1984/10/01 00:00 [pubmed]', '1984/10/01 00:01 [medline]', '1984/10/01 00:00 [entrez]']",,ppublish,Practitioner. 1984 Oct;228(1396):899-901.,,,,,,,,,,,,,,,
