PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,FAU,AU,RN,AB,GR,PMC,TT,RF,SI,OID,PS,FPS,CN
6333634,NLM,MEDLINE,19841205,20171116,0028-4793 (Print) 0028-4793 (Linking),311,20,1984 Nov 15,Case records of the Massachusetts General Hospital. Weekly clinicopathological exercises. A 63-year-old man with respiratory failure after an unmaintained remission of acute myelogenous leukemia.,1303-10,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,N Engl J Med,The New England journal of medicine,0255562,IM,"['Acquired Immunodeficiency Syndrome/diagnosis/etiology/*pathology', 'Candidiasis/pathology', 'Diagnosis, Differential', 'Humans', 'Leukemia, Myeloid, Acute/therapy', 'Liver/pathology', 'Lung/ultrastructure', 'Male', 'Middle Aged', 'Pneumonia, Pneumocystis/diagnosis/pathology', 'Pneumonia, Viral/diagnosis', '*Transfusion Reaction']",1984/11/15 00:00,1984/11/15 00:01,['1984/11/15 00:00'],"['1984/11/15 00:00 [pubmed]', '1984/11/15 00:01 [medline]', '1984/11/15 00:00 [entrez]']",['10.1056/NEJM198411153112008 [doi]'],ppublish,N Engl J Med. 1984 Nov 15;311(20):1303-10. doi: 10.1056/NEJM198411153112008.,,,,,,,,,,,,,
6333614,NLM,MEDLINE,19841205,20161123,0027-2507 (Print) 0027-2507 (Linking),51,4,1984 Jul-Aug,Life-threatening gastrointestinal complications of leukemia.,508-15,['eng'],['Journal Article'],United States,Mt Sinai J Med,"The Mount Sinai journal of medicine, New York",0241032,IM,"['Adolescent', 'Adult', 'Aged', 'Child, Preschool', 'Female', 'Gastrointestinal Diseases/*diagnostic imaging', 'Gastrointestinal Neoplasms/diagnostic imaging/secondary', 'Humans', 'Leukemia/*complications', 'Male', 'Middle Aged', 'Radiography']",1984/07/01 00:00,1984/07/01 00:01,['1984/07/01 00:00'],"['1984/07/01 00:00 [pubmed]', '1984/07/01 00:01 [medline]', '1984/07/01 00:00 [entrez]']",,ppublish,Mt Sinai J Med. 1984 Jul-Aug;51(4):508-15.,"['Hunter, T B', 'Bjelland, J C']","['Hunter TB', 'Bjelland JC']",,,,,,,,,,,
6333568,NLM,MEDLINE,19841218,20071115,0277-6766 (Print) 0277-6766 (Linking),3,4,1984 Summer,A subclone of the CEM cell line produces human B cell growth factor activity.,183-91,['eng'],"['Comparative Study', 'Journal Article']",United States,Lymphokine Res,Lymphokine research,8308208,IM,"['Animals', 'B-Lymphocytes/*immunology', 'Biological Assay', 'Clone Cells/immunology', 'Growth Substances/analysis/*biosynthesis', 'Humans', 'Interleukin-2/biosynthesis', 'Interleukin-4', 'Leukemia, Lymphoid/immunology', 'Lymphocyte Activation', 'Lymphokines/analysis/*biosynthesis', 'Mice', 'T-Lymphocytes/immunology']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",,ppublish,Lymphokine Res. 1984 Summer;3(4):183-91.,"['Ligler, F S']",['Ligler FS'],"['0 (Growth Substances)', '0 (Interleukin-2)', '0 (Lymphokines)', '207137-56-2 (Interleukin-4)']",,,,,,,,,,
6333565,NLM,MEDLINE,19841130,20190825,0145-2126 (Print) 0145-2126 (Linking),8,5,1984,Demonstration and characterization of virus released by murine B cell leukemia cells (BCL1).,821-32,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leuk Res,Leukemia research,7706787,IM,"['Animals', 'B-Lymphocytes/*microbiology/ultrastructure', 'Leukemia, Experimental/*microbiology', 'Mice', 'Mice, Inbred BALB C', 'Microscopy, Electron']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",['10.1016/0145-2126(84)90103-6 [doi]'],ppublish,Leuk Res. 1984;8(5):821-32. doi: 10.1016/0145-2126(84)90103-6.,"['Morecki, S', 'Slavin, S', 'Weiss, L', 'Weigensberg, M', 'Friedman, A', 'Kotler, M']","['Morecki S', 'Slavin S', 'Weiss L', 'Weigensberg M', 'Friedman A', 'Kotler M']",,"LPS-stimulated leukemia cells derived from BALB/c mice bearing transplantable B-lymphocytic leukemia (BCL1) which arose spontaneously in a female BALB/c mouse, contained viral particles as suggested by electron microscopy as well as by tissue cultures using the XC assay. Some cell free extracts prepared from BCL1 cells were capable of transforming normal B-lymphocytes when inoculated into untreated syngeneic recipients. Cytogenetic analysis of spleen cells obtained from a splenomegalic male mouse neonatally inoculated with cell-free extract indicated that the tumor cells had a male karyotype with 42 chromosomes as compared to 37 chromosomes and a female karyotype in original BCL1 cells, thus excluding the possibility of tumor propagation by transplantation of intact BCL1 cells. These findings suggest viral involvement in the etiology of BCL1.","['AI-15387/AI/NIAID NIH HHS/United States', 'CA-30313/CA/NCI NIH HHS/United States']",,,,,,,,
6333564,NLM,MEDLINE,19841130,20190825,0145-2126 (Print) 0145-2126 (Linking),8,5,1984,Cytochemical analysis of acid hydrolases expression during phorbol diester (TPA)-driven differentiation of B-chronic lymphocytic leukaemia cells in vitro.,813-20,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,IM,"['Acetylglucosaminidase/metabolism', 'Acid Phosphatase/metabolism', 'Aged', 'B-Lymphocytes/*enzymology', 'Cell Differentiation/drug effects', 'Glucuronidase/metabolism', 'Humans', 'Leukemia, Lymphoid/*pathology', 'Lysosomes/*enzymology', 'Naphthol AS D Esterase/metabolism', 'Phorbols/*pharmacology', 'Tetradecanoylphorbol Acetate/*pharmacology']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",['10.1016/0145-2126(84)90102-4 [doi]'],ppublish,Leuk Res. 1984;8(5):813-20. doi: 10.1016/0145-2126(84)90102-4.,"['Dufer, J', 'Bernard, J']","['Dufer J', 'Bernard J']","['0 (Phorbols)', 'EC 3.1.- (Naphthol AS D Esterase)', 'EC 3.1.3.2 (Acid Phosphatase)', 'EC 3.2.1.31 (Glucuronidase)', 'EC 3.2.1.52 (Acetylglucosaminidase)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']","Four acid hydrolases, acid phosphatase (AP), alpha-naphthyl acetate acid esterase (ANAE), beta-glucuronidase (BG) and N-acetyl-beta-glucosaminidase (NABG) were determined cytochemically in B-chronic lymphocytic leukaemia (B-CLL) cells exposed in vitro to the tumor promoter 12-0-tetradecanoyl phorbol 13 acetate (TPA). TPA, which has been previously shown to induce B-CLL cells to mature towards plasmacytoid cells, results in the progressive expression of the enzymes tested in the cytoplasm of malignant cells, in particular AP and ANAE. Furthermore, the sensitivity to inhibitors and the pattern of reactivity of ANAE provide evidence for an enzyme subtype normally restricted to plasma cells. Thus, acid hydrolases--some of which showing plasma cell type of activity--are expressed during B-CLL cells differentiation induced in vitro. These results confirm the value of cytochemistry in subtyping B-cell malignancies.",,,,,,,,,
6333515,NLM,MEDLINE,19841128,20200724,0022-538X (Print) 0022-538X (Linking),52,2,1984 Nov,Quantitative separation of murine leukemia virus proteins by reversed-phase high-pressure liquid chromatography reveals newly described gag and env cleavage products.,492-500,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,IM,"['Amino Acid Sequence', 'Animals', 'Antigens, Viral/*isolation & purification', 'Cell Line', 'Chromatography, High Pressure Liquid/methods', 'Gene Products, gag', '*Genes', '*Genes, Viral', 'Glycoproteins/isolation & purification', 'Mice', 'Mice, Inbred BALB C', 'Moloney murine leukemia virus/*analysis/genetics', 'Rauscher Virus/*analysis/genetics', 'Viral Envelope Proteins/*isolation & purification', 'Viral Proteins/genetics/*isolation & purification']",1984/11/01 00:00,1984/11/01 00:01,['1984/11/01 00:00'],"['1984/11/01 00:00 [pubmed]', '1984/11/01 00:01 [medline]', '1984/11/01 00:00 [entrez]']",['10.1128/JVI.52.2.492-500.1984 [doi]'],ppublish,J Virol. 1984 Nov;52(2):492-500. doi: 10.1128/JVI.52.2.492-500.1984.,"['Henderson, L E', 'Sowder, R', 'Copeland, T D', 'Smythers, G', 'Oroszlan, S']","['Henderson LE', 'Sowder R', 'Copeland TD', 'Smythers G', 'Oroszlan S']","['0 (Antigens, Viral)', '0 (Gene Products, gag)', '0 (Glycoproteins)', '0 (Viral Envelope Proteins)', '0 (Viral Proteins)']","The structural proteins of murine type C retroviruses are proteolytic cleavage products of two different precursor polyproteins coded by the viral gag and env genes. To further investigate the nature and number of proteolytic cleavages involved in virus maturation, we quantitatively isolated the structural proteins of the Rauscher and Moloney strains of type C murine leukemia virus (R-MuLV and M-MuLV, respectively) by reversed-phase high-pressure liquid chromatography. Proteins and polypeptides isolated from R-MuLV included p10, p12, p15, p30, p15(E), gp69, and gp71 and three previously undescribed virus components designated here as p10', p2(E), and p2(E). Homologous proteins and polypeptides were isolated from M-MuLV. Complete or partial amino acid sequences of all the proteins listed above were either determined in this study or were available in previous reports from this laboratory. These data were compared with those from the translation of the M-MuLV proviral DNA sequence (Shinnick et al., Nature [London] 293:543-548, 1981) to determine the exact nature of proteolytic cleavages for all the structural proteins described above and to determine the origin of p10' and p2(E)s. The results showed that, during proteolytic processing of gp80env from M-MuLV (M-gp 80env), a single Arg residue was excised between gp70 and p15(E) and a single peptide bond was cleaved between p15(E) and p2(E). The structure of M-gPr80env is gp70-(Arg)-p15(E)-p2(E). The data suggest that proteolytic cleavage sites in R-gp85env are identical to corresponding cleavage sites in M-gp80env. The p2(E)s are shown to be different genetic variants of p2(E) present in the uncloned-virus preparations. The data for R- and M-p10's shows that they are cleavage products of the gag precursor with the structure p10-Thr-Leu-Asp-Asp-OH. The complete structure of Pr65gag is p15-p12-p30-p10'. Stoichiometries of the gag and env cleavage products in mature R- and M-MuLV were determined. In each virus, gag cleavage products (p15, p12, p30, and p10 plus p10') were found in equimolar amounts and p15(E)s were equimolar with p2(E)s. The stoichiometry of gag to env cleavage products was 4:1. These data are consistent with the proposal that proteolytic processing of precursor polyproteins occurs after virus assembly and that the C-terminal portion of Pr15(E) [i.e., p15(E)-p2(E)] is located on the inner side of the lipid bilayer of the virus.",['N01-CO-23909/CO/NCI NIH HHS/United States'],PMC254550,,,,,,,
6333488,NLM,MEDLINE,19841128,20170210,0732-183X (Print) 0732-183X (Linking),2,10,1984 Oct,"Cytogenetic studies in 77 patients with chronic lymphocytic leukemia: correlations with clinical, immunologic, and phenotypic data.",1121-32,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,IM,"['B-Lymphocytes/drug effects/ultrastructure', '*Chromosome Aberrations', 'Chromosomes, Human, 6-12 and X', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Lymphoid/*genetics/immunology', 'Lymphocytosis/genetics', 'Male', 'Metaphase/drug effects', 'Middle Aged', 'Mitogens/pharmacology', 'Mitosis/drug effects', 'Neoplasm Staging', 'Phenotype', 'Trisomy']",1984/10/01 00:00,1984/10/01 00:01,['1984/10/01 00:00'],"['1984/10/01 00:00 [pubmed]', '1984/10/01 00:01 [medline]', '1984/10/01 00:00 [entrez]']",['10.1200/JCO.1984.2.10.1121 [doi]'],ppublish,J Clin Oncol. 1984 Oct;2(10):1121-32. doi: 10.1200/JCO.1984.2.10.1121.,"['Han, T', 'Sadamori, N', 'Ozer, H', 'Gajera, R', 'Gomez, G A', 'Henderson, E S', 'Bhargava, A', 'Fitzpatrick, J', 'Minowada, J', 'Bloom, M L']","['Han T', 'Sadamori N', 'Ozer H', 'Gajera R', 'Gomez GA', 'Henderson ES', 'Bhargava A', 'Fitzpatrick J', 'Minowada J', 'Bloom ML', 'et al.']",['0 (Mitogens)'],"Cytogenetic analyses by G-banding and/or Q-banding techniques of polyclonal B cell mitogen-stimulated peripheral blood lymphocytes in 77 patients with chronic lymphocytic leukemia were carried out in the present study. Adequate metaphases were obtained in 65 patients (84%). Of 29 patients with abnormal karyotypes, ten (34%) had trisomy 12 as the sole abnormality, eight (28%) had trisomy 12 in combination with other karyotypic changes, and the remaining 11 had various karyotypic changes other than trisomy 12. There was a significant relationship between the abnormal karyotype and disease status, clinical stage, lymphocyte count, bone marrow infiltration pattern, monoclonal IgM gammopathy, and urinary monoclonal-free light chain status. Six of seven patients (87%) with trisomy 12 only had stage 0-11 disease, whereas all eight patients with trisomy 12 with other changes had stage III or IV disease (P less than .02). However, of nine patients with other karyotypic changes without trisomy 12, five had stage 0-II and four had stage III or IV disease. These observations suggest that trisomy 12 may be the primary or the earliest karyotypic change in a majority of aneuploid patients with chronic lymphocytic leukemia, and that other karyotypic changes in addition to trisomy 12 may develop as a result of clonal evolution, dedifferentiation, or therapy. Of nine patients in whom autopsy studies were carried out, four were found to have diffuse histiocytic lymphoma or Richter's syndrome (three with trisomy 12 in combination with other chromosome changes and one with normal karyotype). Our findings clearly demonstrate that cytogenetic study may be of value in the clinical and prognostic evaluation of patients with chronic lymphocytic leukemia.","['CA-14555/CA/NCI NIH HHS/United States', 'CA-27691/CA/NCI NIH HHS/United States', 'CA-5834/CA/NCI NIH HHS/United States']",,,,,,,,
6333459,NLM,MEDLINE,19841219,20071115,0022-1767 (Print) 0022-1767 (Linking),133,6,1984 Dec,"Circulating monoclonal IgM proteins in B cell chronic lymphocytic leukemia: their identification, characterization and relationship to membrane IgM.",3396-400,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,IM,"['Animals', 'Antibodies, Anti-Idiotypic/analysis', 'Antibodies, Monoclonal/analysis/isolation & purification', 'B-Lymphocytes/*immunology', 'Humans', 'Immunoglobulin Idiotypes/immunology', 'Immunoglobulin M/analysis/immunology/*isolation & purification', 'Immunoglobulin Variable Region/immunology', 'Leukemia, Lymphoid/*immunology', 'Molecular Weight', 'Rabbits', '*Receptors, Antigen, B-Cell']",1984/12/01 00:00,1984/12/01 00:01,['1984/12/01 00:00'],"['1984/12/01 00:00 [pubmed]', '1984/12/01 00:01 [medline]', '1984/12/01 00:00 [entrez]']",,ppublish,J Immunol. 1984 Dec;133(6):3396-400.,"['Qian, G X', 'Fu, S M', 'Solanki, D L', 'Rai, K R']","['Qian GX', 'Fu SM', 'Solanki DL', 'Rai KR']","['0 (Antibodies, Anti-Idiotypic)', '0 (Antibodies, Monoclonal)', '0 (Immunoglobulin Idiotypes)', '0 (Immunoglobulin M)', '0 (Immunoglobulin Variable Region)', '0 (Receptors, Antigen, B-Cell)']","Accumulated evidence indicates that there is a circulating monoclonal Ig protein related to the leukemic cell-associated Ig in the majority of patients with B cell chronic lymphocytic leukemia (CLL) despite the failure to demonstrate such a protein by conventional serum electrophoresis. Methodology has been developed to reveal these hidden monoclonal bands and to show that they are related to the leukemia-associated membrane Ig (mIg). Of nine CLL cases with stainable mIgM and without discernable plasma Ig bands, marked hypogammaglobulinemia was evident in six. In the other three, a significant amount of protein was present in the gamma region. IgM was isolated from the plasma of these patients by affinity chromatography with Sepharose-4B, conjugated with affinity purified anti-human IgM antibodies. One to 3 mg were isolated from 20 to 40 ml of plasma. Agarose electrophoresis revealed a monoclonal Ig band in the isolated IgM in all cases. Eight of these IgM proteins were analyzed by high-pressure liquid chromatography. Five were found to be pentameric IgM. In the remaining three, various amounts of monomeric IgM were detected. Attempts to make anti-idiotypic antibodies to the isolated proteins have been successful. Thus far, a rabbit anti-idiotypic antiserum was obtained in one case and two mouse monoclonal anti-idiotypic antibodies in two additional cases. Immunofluorescence analysis revealed that plasma IgM and mIgM shared similar idiotypic determinants. One other monoclonal antibody was shown to be specific for a V region marker of a minor Ig population. These findings indicate that B leukemic lymphocytes do secrete a small amount of IgM and lend further support to the thesis that the maturation defect in CLL is incomplete. It is also feasible to isolate the secreted IgM and to produce anti-idiotypic antibodies to them. In view of the potential therapeutic effect of anti-idiotypic antibodies, this may offer an alternative and efficient approach to generate a large panel of anti-idiotypic antibodies for clinical trials. The possibility also exists that this approach is applicable to other B cell proliferative disorders such as the non-Hodgkin B cell lymphomas.",['CA-34546/CA/NCI NIH HHS/United States'],,,,,,,,
6333397,NLM,MEDLINE,19841130,20190708,0020-7136 (Print) 0020-7136 (Linking),34,4,1984 Oct 15,Colony formation in the absence of added growth factors by peripheral blood T-cell colony-forming cells of patients with T-cell malignancies.,471-7,['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer,International journal of cancer,0042124,IM,"['Adolescent', 'Adult', 'Aged', 'Antibodies, Monoclonal/analysis', 'Cell Separation', 'Child', 'Chromosome Aberrations', 'Colony-Forming Units Assay', 'Female', 'Humans', 'Interleukin-2/*physiology', 'Karyotyping', 'Leukemia/genetics/*pathology', 'Lymphoma/genetics/*pathology', 'Male', 'Middle Aged', 'Multiple Myeloma/genetics/pathology', 'Phenotype', 'Stem Cells/*pathology', 'T-Lymphocytes/*pathology']",1984/10/15 00:00,1984/10/15 00:01,['1984/10/15 00:00'],"['1984/10/15 00:00 [pubmed]', '1984/10/15 00:01 [medline]', '1984/10/15 00:00 [entrez]']",['10.1002/ijc.2910340407 [doi]'],ppublish,Int J Cancer. 1984 Oct 15;34(4):471-7. doi: 10.1002/ijc.2910340407.,"['Georgoulias, V', 'Bourinbaiar, A', 'Amesland, F', 'Canon, C', 'Auclair, H', 'Jasmin, C']","['Georgoulias V', 'Bourinbaiar A', 'Amesland F', 'Canon C', 'Auclair H', 'Jasmin C']","['0 (Antibodies, Monoclonal)', '0 (Interleukin-2)']","Clonogenic cells from peripheral blood of 13/16 patients with T-cell malignancies generated colonies in methylcellulose in absence of added growth factors or mitogenic stimulation. Spontaneous colonies were also obtained from purified cell fractions (E-OKT3- and/or E+ cells) in 73% and 57% of the patients, respectively. No spontaneous colony growth was observed with mononuclear cells of patients with solid tumors, non-T-cell leukemias or normal subjects. Colonies consisted of acid-phosphatase-positive, myeloperoxidase-and PAS-negative lymphoblasts bearing T-cell surface markers. Although the phenotype of pooled colony cells from either unfractionated mononuclear cells or E-OKT3- -derived colonies varied from patient to patient, the colonies, like fresh leukemic cells, were mostly composed of relatively immature cells as assessed by the high proportion (greater than 40%) of OKT6+ and OKT10+ cells and the low proportion (less than 40%) of OKT3+ and/or E+ cells. Cytogenetic analysis of colony cells revealed either normal metaphases or chromosome anomalies similar to those observed in fresh leukemic cells. Moreover, cells from primary colonies exhibited a capacity for self-renewal in the absence of added growth factors.",,,,,,,,,
6333380,NLM,MEDLINE,19841207,20200304,0340-6717 (Print) 0340-6717 (Linking),67,4,1984,Telomeric association of chromosomes in B-cell lymphoid leukemia.,385-90,['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Hum Genet,Human genetics,7613873,IM,"['Adolescent', 'Aged', 'B-Lymphocytes/*ultrastructure', 'Base Sequence', 'Bone Marrow/ultrastructure', '*Chromosome Aberrations', 'Chromosomes, Human, 1-3/ultrastructure', 'Chromosomes, Human, 16-18/ultrastructure', 'Female', 'Heterochromatin/ultrastructure', 'Humans', 'Leukemia, Lymphoid/*genetics', 'Male', 'Translocation, Genetic', 'Trisomy']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",['10.1007/BF00291396 [doi]'],ppublish,Hum Genet. 1984;67(4):385-90. doi: 10.1007/BF00291396.,"['Fitzgerald, P H', 'Morris, C M']","['Fitzgerald PH', 'Morris CM']",['0 (Heterochromatin)'],"About 20% of leukemic bone marrow cells from each of two patients with B-cell lymphoid leukemias showed apparent translocations which appeared to be the result of telomeric association. In one patient, whole chromosomes were associated telomere to telomere in pairs; in the other patient, telomeres of whole chromosomes were associated with breakpoints located close to the proximal or distal ends of the heterochromatic band 1q12. Repeated base sequences, particularly (CA)n sequences, are believed to be the basis of telomere pairing, and likewise repeated base sequences of heterochromatin may explain the association of 1qh and telomeres. Telomeric association may be considered as a potential origin of new stable cytogenetic combinations that have a role in oncogene transposition and tumor etiology.",,,,,,,,,
