PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,GR,PMC,TT,RF,SI,OID,CIN,EIN
6301316,NLM,MEDLINE,19830527,20151119,0002-9645 (Print) 0002-9645 (Linking),44,3,1983 Mar,Ferrokinetic and erythrocyte survival studies in healthy and anemic cats.,424-7,"Erythrocyte survival and ferrokinetic studies were adapted to the cat. For 5 clinically healthy 4- to 9-month-old cats, mean 51Cr-labeled erythrocyte survival was 144 hours, and mean plasma 59Fe-labeled transferrin disappearance halftime was 51 minutes. Erythrocyte use of radioiron was rapid and efficient, with 50% to 80% of labeled iron incorporated into the erythron by 100 hours after injection into the cat. Six cats with feline leukemia virus infection were studied. For 2 cats with erythroid aplasia associated with C subgroup of feline leukemia virus, erythrocyte survival times were similar to those determined for the healthy cats, but plasma radioiron disappearance half time and erythrocyte use of radioiron were markedly diminished.","['Madewell, B R', 'Holmes, P H', 'Onions, D E']","['Madewell BR', 'Holmes PH', 'Onions DE']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Vet Res,American journal of veterinary research,0375011,"['0 (Chromium Radioisotopes)', '0 (Iron Radioisotopes)', '0 (Transferrin)', 'E1UOL152H7 (Iron)']",IM,"['Anemia/blood/*veterinary', 'Animals', 'Cat Diseases/*blood', 'Cats/*blood', 'Chromium Radioisotopes', '*Erythrocyte Aging', 'Erythrocytes/metabolism', 'Female', 'Iron/blood', 'Iron Radioisotopes', 'Leukemia Virus, Feline', 'Leukemia, Experimental/blood', 'Male', 'Transferrin/*metabolism']",1983/03/01 00:00,1983/03/01 00:01,['1983/03/01 00:00'],"['1983/03/01 00:00 [pubmed]', '1983/03/01 00:01 [medline]', '1983/03/01 00:00 [entrez]']",ppublish,Am J Vet Res. 1983 Mar;44(3):424-7.,,,,,,,,,
6301305,NLM,MEDLINE,19830527,20211203,0192-8562 (Print) 0192-8562 (Linking),4,4,1982 Winter,Diagnostic open lung biopsy for diffuse pulmonary disease in immunocompromised pediatric patients.,355-9,"Diagnostic open lung biopsy was performed in 40 pediatric patients with diffuse pulmonary disease and underlying malignancy or immunosuppression. Specific diagnoses on which therapy could be based were made in 32 patients and there was only one false-negative result. Pneumocystis carinii was diagnosed antemortem in 28 patients. Complications of surgery occurred in six patients (15%), but no patients died as a result of the procedure. Open lung biopsy appears to be a safe and effective diagnostic procedure in immunocompromised pediatric patients with diffuse pulmonary disease of uncertain etiology.","['Mason, W H', 'Siegel, S E', 'Tucker, B L']","['Mason WH', 'Siegel SE', 'Tucker BL']",['eng'],['Journal Article'],United States,Am J Pediatr Hematol Oncol,The American journal of pediatric hematology/oncology,7908071,,IM,"['Biopsy/*methods', 'Brain Neoplasms/complications', 'Child', 'Child, Preschool', 'Cytomegalovirus Infections/*pathology', 'Female', 'Humans', 'Immunologic Deficiency Syndromes/complications', 'Immunosuppression Therapy', 'Infant', 'Kidney Neoplasms/complications', 'Leukemia/complications', 'Lung/*pathology', 'Lung Neoplasms/*pathology', 'Lymphoma/*pathology', 'Male', 'Pneumonia, Mycoplasma/*pathology', 'Pneumonia, Pneumocystis/*pathology', 'Pneumonia, Viral/*pathology']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",ppublish,Am J Pediatr Hematol Oncol. 1982 Winter;4(4):355-9. doi: 10.1097/00043426-198224000-00001.,['10.1097/00043426-198224000-00001 [doi]'],,,,,,,,
6301260,NLM,MEDLINE,19830527,20190511,0002-9173 (Print) 0002-9173 (Linking),79,5,1983 May,Bone marrow histology in hairy cell leukemia. Identification of subtypes and their prognostic significance.,531-45,"Bone marrow biopsy specimens taken on initial investigation of 134 patients with hairy cell leukemia (HCL) were processed into plastic, and sections cut at 3 microns were used for histologic and histomorphometric evaluation. Twenty-four clinical, 10 histologic, and four histomorphometric variables were tested for their prognostic significance. Bone marrow involvement was found in all cases, and on the basis of their morphology, the hairy cells were divided into three types: ovoid (47%), convoluted (37%), and indented (16%); this classification proved to be highly significant in the test statistics, with median survivals for the three groups of 56, 12, and 5 months, respectively. The characteristic nuclear features of the three types also were identified in smears of peripheral blood, in sections of spleen, and by electron microscopy. In addition, significant differences were found when the patients were grouped according to the tumor cell mass (volume %) in the biopsy sections, with median survivals of 55, 21, and 8 months noted for less than 20 vol%, 20-50 vol%, and greater than 50 vol%, respectively. Other factors with prognostic relevance were cytoplasmic inclusion bodies in the hairy cells (HC) and a number of clinical variables, including initial values of Hb and ESR, and platelets and monocytes in the peripheral blood. These results confirm that the bone marrow always is involved in HCL and its histology is diagnostic; that HCL may be classified according to the predominant neoplastic cell type; and that the patients may be staged on the basis of the tumor cell burden in the bone marrow biopsy.","['Bartl, R', 'Frisch, B', 'Hill, W', 'Burkhardt, R', 'Sommerfeld, W', 'Sund, M']","['Bartl R', 'Frisch B', 'Hill W', 'Burkhardt R', 'Sommerfeld W', 'Sund M']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Am J Clin Pathol,American journal of clinical pathology,0370470,,IM,"['Adult', 'Aged', 'Biopsy', 'Bone Marrow/*pathology/ultrastructure', 'Cytoplasm/ultrastructure', 'Female', 'Humans', 'Inclusion Bodies/ultrastructure', 'Leukemia, Hairy Cell/blood/*pathology/ultrastructure', 'Male', 'Microscopy, Electron', 'Middle Aged', 'Neoplasm Staging', 'Prognosis', 'Retrospective Studies', 'Spleen/pathology']",1983/05/01 00:00,1983/05/01 00:01,['1983/05/01 00:00'],"['1983/05/01 00:00 [pubmed]', '1983/05/01 00:01 [medline]', '1983/05/01 00:00 [entrez]']",ppublish,Am J Clin Pathol. 1983 May;79(5):531-45. doi: 10.1093/ajcp/79.5.531.,['10.1093/ajcp/79.5.531 [doi]'],,,,,,,,
6301193,NLM,MEDLINE,19830527,20110728,0001-5806 (Print) 0001-5806 (Linking),45,7,1982 Dec,Pathological and immunological identification of target cells for murine leukemia viruses in rats.,1277-86,,"['Takeichi, N', 'Suzuki, K', 'Kasai, M', 'Moriuchi, T', 'Kobayashi, H']","['Takeichi N', 'Suzuki K', 'Kasai M', 'Moriuchi T', 'Kobayashi H']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,,IM,"['Animals', 'Female', 'Leukemia Virus, Murine/immunology', 'Leukemia, Experimental/etiology/immunology/*pathology', 'Lymphoma/etiology/immunology/*pathology', 'Male', 'Mice', 'Rats', 'Rats, Inbred Strains', 'Rosette Formation']",1982/12/01 00:00,1982/12/01 00:01,['1982/12/01 00:00'],"['1982/12/01 00:00 [pubmed]', '1982/12/01 00:01 [medline]', '1982/12/01 00:00 [entrez]']",ppublish,Nihon Ketsueki Gakkai Zasshi. 1982 Dec;45(7):1277-86.,,,,,,,,,
6301192,NLM,MEDLINE,19830527,20110728,0001-5806 (Print) 0001-5806 (Linking),45,7,1982 Dec,In vitro studies of leukemogenesis: role of the thymic epithelial reticulum cell and mink cell focus-inducing murine leukemia virus.,1269-76,,"['Yanagihara, K', 'Seyama, T', 'Yokoro, K']","['Yanagihara K', 'Seyama T', 'Yokoro K']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,,IM,"['Animals', 'Cell Line', 'Epithelial Cells', 'Leukemia Virus, Murine/ultrastructure', 'Leukemia, Experimental/*etiology/ultrastructure', 'Mice', 'Mice, Inbred AKR', 'Mice, Inbred C57BL', 'Thymus Gland/cytology']",1982/12/01 00:00,1982/12/01 00:01,['1982/12/01 00:00'],"['1982/12/01 00:00 [pubmed]', '1982/12/01 00:01 [medline]', '1982/12/01 00:00 [entrez]']",ppublish,Nihon Ketsueki Gakkai Zasshi. 1982 Dec;45(7):1269-76.,,,,,,,,,
6301184,NLM,MEDLINE,19830505,20061115,0001-5547 (Print) 0001-5547 (Linking),27,2,1983 Mar-Apr,Urinary bladder washings in autopsies. A cytopathologic study of 63 cases.,128-32,"The sediment from urinary bladder washings from 63 consecutive autopsies was cytologically studied in order to achieve a better understanding of the changes in urothelial cells collected from hospital populations. The observed alterations were correlated with alterations in the urinary system and with therapy preceding death. The specimens obtained were of good quality. In 39.7% of the cases, the sediment contained giant superficial multinucleated cells. Three of nine cases previously subjected to radiation or chemotherapy showed atypical urothelial cells. In three cases with immunosuppression, there was cytologic evidence of subclinical infection by polyomavirus, and virus particles were identified by electron microscopy of the vesical mucosa. The study of the smear background offered additional information: the sediment contained hyaline or hematic or hyaline-cellular casts in 17.4% of the cases, in all of which there were renal tubulopathies when the kidney sections were studied. The method is useful for a good evaluation of the autopsy as well as for training in urinary cytopathology.","['Tani, E M', 'Montenegro, M R', 'Viana de Camargo, J L']","['Tani EM', 'Montenegro MR', 'Viana de Camargo JL']",['eng'],['Journal Article'],Switzerland,Acta Cytol,Acta cytologica,0370307,,IM,"['Adolescent', 'Adult', 'Aged', 'Autopsy', 'Cell Nucleus/pathology', 'Child', 'Child, Preschool', 'Epithelium/pathology/ultrastructure', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Kidney Tubular Necrosis, Acute/pathology', 'Leukemia/drug therapy/pathology', 'Lymphoma/drug therapy/pathology', 'Male', 'Middle Aged', 'Polyomavirus/ultrastructure', 'Urinary Bladder/*pathology']",1983/03/01 00:00,1983/03/01 00:01,['1983/03/01 00:00'],"['1983/03/01 00:00 [pubmed]', '1983/03/01 00:01 [medline]', '1983/03/01 00:00 [entrez]']",ppublish,Acta Cytol. 1983 Mar-Apr;27(2):128-32.,,,,,,,,,
6301152,NLM,MEDLINE,19830527,20190714,0042-6822 (Print) 0042-6822 (Linking),125,2,1983 Mar,2-5A synthetase activity does not increase in interferon-resistant Friend leukemia cell variants treated with alpha/beta interferon despite the presence of high-affinity interferon receptor sites.,508-12,"The presence of interferon (IFN) receptors on mouse Friend leukemia cells (FLC) has been investigated in binding experiments with highly purified 125I-labeled mouse alpha/beta IFN. Both IFN-resistant clones and wild-type IFN-sensitive FLC showed a specific saturable binding site for mouse IFN with a similar affinity constant. In contrast to IFN-sensitive FLC, IFN-resistant FLC variants were not inducible by IFN for double-stranded RNA-dependent 2-5A synthetase activity.","['Affabris, E', 'Romeo, G', 'Belardelli, F', 'Jemma, C', 'Mechti, N', 'Gresser, I', 'Rossi, G B']","['Affabris E', 'Romeo G', 'Belardelli F', 'Jemma C', 'Mechti N', 'Gresser I', 'Rossi GB']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Virology,Virology,0110674,"['0 (Interferon Type I)', '0 (Receptors, Cell Surface)', '0 (Receptors, Interferon)', ""EC 2.7.7.84 (2',5'-Oligoadenylate Synthetase)""]",IM,"[""2',5'-Oligoadenylate Synthetase/*metabolism"", 'Animals', 'Clone Cells/metabolism', 'Friend murine leukemia virus', 'Interferon Type I/*pharmacology', 'Leukemia, Experimental/*enzymology', 'Mice', 'Receptors, Cell Surface/*metabolism', 'Receptors, Interferon']",1983/03/01 00:00,1983/03/01 00:01,['1983/03/01 00:00'],"['1983/03/01 00:00 [pubmed]', '1983/03/01 00:01 [medline]', '1983/03/01 00:00 [entrez]']",ppublish,Virology. 1983 Mar;125(2):508-12. doi: 10.1016/0042-6822(83)90224-6.,['10.1016/0042-6822(83)90224-6 [doi]'],,,,,,,,
6301150,NLM,MEDLINE,19830527,20190714,0042-6822 (Print) 0042-6822 (Linking),125,2,1983 Mar,Transforming genes of avian (v-fps) and mammalian (v-fes) retroviruses correspond to a common cellular locus.,480-6,"The Gardner (GA) and Snyder-Theilen (ST) isolates of feline sarcoma virus (FeSV) represent genetic recombinants between feline leukemia virus (FeLV) and transformation-specific sequences (v-fes gene) of cat cellular origin. A related transforming gene (v-fps), common to the Fujinami, PRC II, and UR 1 strains of avian sarcoma virus has also been described. Translational products of each of these recombinant virus isolates are expressed in the form of polyproteins exhibiting protein kinase activities with specificity for tyrosine residues. In the present study, v-fes and v-fps homologous sequences of GA-FeSV, ST-FeSV, and Fujinami sarcoma virus (FSV) are defined and these independently derived transforming genes are shown to correspond to a common cellular genetic locus which has remained highly conserved throughout vertebrate evolution.","['Groffen, J', 'Heisterkamp, N', 'Shibuya, M', 'Hanafusa, H', 'Stephenson, J R']","['Groffen J', 'Heisterkamp N', 'Shibuya M', 'Hanafusa H', 'Stephenson JR']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Virology,Virology,0110674,,IM,"['Animals', 'Avian Sarcoma Viruses/genetics', 'Base Sequence', '*Cell Transformation, Viral', '*Genes, Viral', 'Humans', 'Nucleic Acid Hybridization', 'Retroviridae/*genetics', 'Sarcoma Viruses, Feline/genetics']",1983/03/01 00:00,1983/03/01 00:01,['1983/03/01 00:00'],"['1983/03/01 00:00 [pubmed]', '1983/03/01 00:01 [medline]', '1983/03/01 00:00 [entrez]']",ppublish,Virology. 1983 Mar;125(2):480-6. doi: 10.1016/0042-6822(83)90219-2.,['10.1016/0042-6822(83)90219-2 [doi]'],"['CA-14935/CA/NCI NIH HHS/United States', 'N0I-CO-75380/CO/NCI NIH HHS/United States']",,,,,,,
6301119,NLM,MEDLINE,19830505,20211203,0041-1345 (Print) 0041-1345 (Linking),14,4,1982 Dec,Glioblastoma multiforme in a patient with acute lymphoblastic leukemia who received a marrow transplant.,770-4,,"['Sanders, J', 'Sale, G E', 'Ramberg, R', 'Clift, R', 'Buckner, C D', 'Thomas, E D']","['Sanders J', 'Sale GE', 'Ramberg R', 'Clift R', 'Buckner CD', 'Thomas ED']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Transplant Proc,Transplantation proceedings,0243532,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/adverse effects', '*Bone Marrow Transplantation', '*Brain Neoplasms/etiology', 'Child, Preschool', 'Female', '*Frontal Lobe', '*Glioblastoma/etiology', 'Humans', 'Immunosuppression Therapy/adverse effects', '*Leukemia, Lymphoid', '*Neoplasms, Multiple Primary', 'Neoplasms, Radiation-Induced', 'Postoperative Complications', 'Radiotherapy/adverse effects', 'Transplantation, Homologous/adverse effects']",1982/12/01 00:00,1982/12/01 00:01,['1982/12/01 00:00'],"['1982/12/01 00:00 [pubmed]', '1982/12/01 00:01 [medline]', '1982/12/01 00:00 [entrez]']",ppublish,Transplant Proc. 1982 Dec;14(4):770-4.,,"['CA 15704/CA/NCI NIH HHS/United States', 'CA 18029/CA/NCI NIH HHS/United States', 'CA 18579/CA/NCI NIH HHS/United States', 'etc.']",,,,,,,
6301072,NLM,MEDLINE,19830527,20190702,0038-4348 (Print) 0038-4348 (Linking),76,4,1983 Apr,Herpes simplex virus type II meningoencephalitis in an immunocompromised adult.,538-9,"A 35-year-old man with chronic granulocytic leukemia had disseminated herpes simplex virus type II. Cerebrospinal fluid pleocytosis, aphasia, and an abnormal electroencephalogram suggested the diagnosis of meningoencephalitis. He was treated with adenosine arabinoside and recovered without clinically evident sequelae.","[""O'Donoghue, S"", 'Miller, K J', 'Weinberg, P B', 'Rose, R C 3rd']","[""O'Donoghue S"", 'Miller KJ', 'Weinberg PB', 'Rose RC 3rd']",['eng'],"['Case Reports', 'Journal Article']",United States,South Med J,Southern medical journal,0404522,['FA2DM6879K (Vidarabine)'],IM,"['Adult', 'Cerebrospinal Fluid/analysis', 'Electroencephalography', 'Herpes Simplex/*complications', 'Humans', '*Immune Tolerance', 'Leukemia, Myeloid/complications', 'Male', 'Meningoencephalitis/diagnosis/drug therapy/*etiology', 'Simplexvirus/isolation & purification', 'Vidarabine/therapeutic use']",1983/04/01 00:00,1983/04/01 00:01,['1983/04/01 00:00'],"['1983/04/01 00:00 [pubmed]', '1983/04/01 00:01 [medline]', '1983/04/01 00:00 [entrez]']",ppublish,South Med J. 1983 Apr;76(4):538-9. doi: 10.1097/00007611-198304000-00040.,['10.1097/00007611-198304000-00040 [doi]'],,,,,,,,
