PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,PMC,TT,RF,SI,AD
6263002,NLM,MEDLINE,19810720,20190714,0042-6822 (Print) 0042-6822 (Linking),111,1,1981 May,A comparison of avian and murine retrovirus polyprotein cleavage activities.,239-50,"['Yoshinaka, Y', 'Luftig, R B']","['Yoshinaka Y', 'Luftig RB']",['eng'],['CA-28077/CA/NCI NIH HHS/United States'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Virology,Virology,0110674,"['0 (Detergents)', '0 (Protein Precursors)', '0 (Viral Proteins)', '451W47IQ8X (Sodium Chloride)', 'EC 3.4.- (Peptide Hydrolases)']",IM,"['Avian Leukosis Virus/*enzymology', 'Avian Myeloblastosis Virus/*enzymology', 'Detergents/pharmacology', 'Hydrogen-Ion Concentration', 'Leukemia Virus, Murine/*enzymology', 'Peptide Hydrolases/*metabolism', 'Protein Precursors/metabolism', 'Sodium Chloride/pharmacology', 'Viral Proteins/*metabolism']",1981/05/01 00:00,1981/05/01 00:01,['1981/05/01 00:00'],"['1981/05/01 00:00 [pubmed]', '1981/05/01 00:01 [medline]', '1981/05/01 00:00 [entrez]']",['10.1016/0042-6822(81)90668-1 [doi]'],ppublish,Virology. 1981 May;111(1):239-50. doi: 10.1016/0042-6822(81)90668-1.,,,,,,
6262958,NLM,MEDLINE,19810723,20190913,0049-4747 (Print) 0049-4747 (Linking),13,2,1981 May,Enzootic bovine leukosis virus in Brazil.,107-11,"['Romero, C H', 'Rowe, C A']","['Romero CH', 'Rowe CA']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Trop Anim Health Prod,Tropical animal health and production,1277355,"['0 (Antibodies, Viral)', '0 (Glycoproteins)', '0 (Viral Proteins)']",IM,"['Aging', 'Animals', 'Antibodies, Viral/*analysis', 'Brazil', 'Cattle', 'Cattle Diseases/*diagnosis', 'Female', 'Glycoproteins/immunology', 'Leukemia/diagnosis/*veterinary', 'Leukemia Virus, Bovine/*immunology', 'Male', 'Precipitin Tests/veterinary', 'Retroviridae/*immunology', 'Viral Proteins/immunology']",1981/05/01 00:00,1981/05/01 00:01,['1981/05/01 00:00'],"['1981/05/01 00:00 [pubmed]', '1981/05/01 00:01 [medline]', '1981/05/01 00:00 [entrez]']",['10.1007/BF02237902 [doi]'],ppublish,Trop Anim Health Prod. 1981 May;13(2):107-11. doi: 10.1007/BF02237902.,"A sero-epidemiological survey for antibodies to the glycoprotein of enzootic bovine leukosis virus showed that the infection is widely disseminated in the State of Rio de Janeiro, Brazil. Sero from 1,290 females and 154 males from 12 dairy herds were tested by the agar gel precipitin test. Seven hundred and one females (54.3%) and 68 males (44.2%) were found to have specific antibodies. These antibodies were demonstrated in all 7 age groups tested. The older age groups contained the highest percentage of reactors. The results are briefly discussed in relation to management practices and environmental conditions.",,,,,
6262953,NLM,MEDLINE,19810720,20071114,0165-6090 (Print) 0165-6090 (Linking),2,4-5,1981 Feb,"Macrophage and lymphocyte-depleted thymus reticuloepithelial cell cultures: establishment and functional influence on T-lymphocyte maturation, C-type virus expression and lymphomatous transformation in vitro.",193-213,"['Boniver, J', 'Decleve, A', 'Dailey, M O', 'Honsik, C', 'Lieberman, M', 'Kaplan, H S']","['Boniver J', 'Decleve A', 'Dailey MO', 'Honsik C', 'Lieberman M', 'Kaplan HS']",['eng'],['N01-CP-7-1052/CP/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Thymus,Thymus,8009032,"['0 (Phytohemagglutinins)', '11028-71-0 (Concanavalin A)']",IM,"['Animals', 'Cell Differentiation', 'Cells, Cultured', 'Concanavalin A/pharmacology', 'Epithelial Cells', 'Lymphocyte Activation', 'Lymphocytes/*cytology', 'Macrophages/*cytology', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Phytohemagglutinins/pharmacology', 'Retroviridae', 'T-Lymphocytes/*cytology', 'Thymus Gland/*cytology']",1981/02/01 00:00,1981/02/01 00:01,['1981/02/01 00:00'],"['1981/02/01 00:00 [pubmed]', '1981/02/01 00:01 [medline]', '1981/02/01 00:00 [entrez]']",,ppublish,Thymus. 1981 Feb;2(4-5):193-213.,"A method of cultivation has been developed that yields thymus reticuloepithelial (TRE) cell monolayers composed almost entirely of epithelial-like cells, with no detectable macrophages or lymphocytes. These cultures show the capacity to induce responsiveness to lectin mitogens in immature thymocytes. Such monolayers induce Thy-1 expression in nude mouse spleen and bone marrow cells. The functional macrophage-lymphocyte depleted TRE monolayers can be cryptically infected by radiation leukemia virus (RadLV). However, RadLV-infected TRE cells lack the capacity to induce neoplastic transformation in normal weanling and newborn thymocytes. Cultures prepared from C57BL/Ka mice treated with a leukemogenic course of irradiation produce a B-fibrotropic nonleukemogenic virus, and normal thymocytes cocultivated with these monolayers do not undergo in vitro transformation. It is concluded that TRE monolayers depleted of macrophages and lymphocytes: (1) exhibit the functional capacity to induce some of the properties of mature T cells; (2) are infectable by RadLV; (3) are one of the sites for expression of ecotropic virus after leukemogenic fractionated irradiation; and (4) are not capable of transforming normal thymocytes in vitro.",,,,,
6262865,NLM,MEDLINE,19810709,20080226,0079-645X (Print) 0079-645X (Linking),27,,1981,Feline leukemia virus and hepatitis B virus: a comparison of late manifestations.,127-32,"['Francis, D P', 'Essex, M', 'Maynard, J E']","['Francis DP', 'Essex M', 'Maynard JE']",['eng'],,"['Comparative Study', 'Journal Article']",Switzerland,Prog Med Virol,Progress in medical virology. Fortschritte der medizinischen Virusforschung. Progres en virologie medicale,0376451,,IM,"['Animals', 'Cats', 'Hepatitis B/*etiology/transmission', 'Hepatitis B virus', 'Humans', 'Leukemia Virus, Feline', 'Leukemia, Experimental/*etiology/transmission']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Prog Med Virol. 1981;27:127-32.,,,,,,
6262813,NLM,MEDLINE,19810723,20190501,0027-8424 (Print) 0027-8424 (Linking),78,3,1981 Mar,Evidence that the Abelson virus protein functions in vivo as a protein kinase that phosphorylates tyrosine.,1552-6,"['Sefton, B M', 'Hunter, T', 'Raschke, W C']","['Sefton BM', 'Hunter T', 'Raschke WC']",['eng'],"['CA 14195/CA/NCI NIH HHS/United States', 'CA 17096/CA/NCI NIH HHS/United States', 'CA 21531/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Peptide Fragments)', '0 (Phosphopeptides)', '0 (Viral Proteins)', '42HK56048U (Tyrosine)', 'EC 2.7.- (Protein Kinases)', 'EC 3.4.21.4 (Trypsin)']",IM,"['Abelson murine leukemia virus/*enzymology', 'Animals', 'Cell Line', 'Cell Transformation, Viral', 'Fibroblasts/metabolism', 'Leukemia Virus, Murine/*enzymology', 'Lymphocytes/metabolism', 'Mice', 'Peptide Fragments/analysis', 'Phosphopeptides/analysis', 'Phosphorylation', 'Protein Kinases/*metabolism', 'Trypsin', 'Tyrosine/analysis', 'Viral Proteins/*metabolism']",1981/03/01 00:00,1981/03/01 00:01,['1981/03/01 00:00'],"['1981/03/01 00:00 [pubmed]', '1981/03/01 00:01 [medline]', '1981/03/01 00:00 [entrez]']",['10.1073/pnas.78.3.1552 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1981 Mar;78(3):1552-6. doi: 10.1073/pnas.78.3.1552.,"Both lymphocytes and fibroblasts that have been transformed by ABelson murine leukemia virus contain 6- to 12-fold increased levels of the rare modified amino acid phosphotyrosine in their proteins. This observation, coupled with the fact that the p120 protein encoded by this virus has been shown to undergo an apparent autophosphorylation to yield phosphotyrosine in vitro, suggests that Abelson virus encodes a protein kinase that phosphorylates tyrosine in transformed cells. These results are similar to those obtained previously with Rous sarcoma virus and suggest, by analogy, that the modification of cellular polypeptides through the phosphorylation of tyrosine may be involved in cellular transformation by Abelson virus. p120 isolated from transformed cells contains phosphoserine, phosphothreonine, and phosphotyrosine. The phosphotyrosine is found at two sites in the protein. p120 therefore may be a protein kinase that undergoes autophosphorylation in vivo.",PMC319169,,,,
6262810,NLM,MEDLINE,19810723,20190501,0027-8424 (Print) 0027-8424 (Linking),78,3,1981 Mar,Molecular cloning of avian myelocytomatosis virus (MC29) transforming sequences.,1518-22,"['Lautenberger, J A', 'Schulz, R A', 'Garon, C F', 'Tsichlis, P N', 'Papas, T S']","['Lautenberger JA', 'Schulz RA', 'Garon CF', 'Tsichlis PN', 'Papas TS']",['eng'],,['Journal Article'],United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (DNA, Recombinant)', 'EC 3.1.21.- (DNA Restriction Enzymes)']",IM,"['Animals', 'Avian Leukosis Virus/*genetics', 'Bacteriophage lambda/metabolism', 'Base Sequence', '*Cell Transformation, Viral', 'Cells, Cultured', 'Chickens', '*Cloning, Molecular', 'DNA Restriction Enzymes', 'DNA, Recombinant/*metabolism', '*Genes, Viral', 'Mice', 'Microscopy, Electron', 'Nucleic Acid Conformation']",1981/03/01 00:00,1981/03/01 00:01,['1981/03/01 00:00'],"['1981/03/01 00:00 [pubmed]', '1981/03/01 00:01 [medline]', '1981/03/01 00:00 [entrez]']",['10.1073/pnas.78.3.1518 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1981 Mar;78(3):1518-22. doi: 10.1073/pnas.78.3.1518.,"Avian myelocytomatosis virus (MC29), a defective acute leukemia virus, has a broad oncogenic spectrum in vivo and transforms fibroblasts and hematopoietic target cells in vitro. We have used recombinant DNA technology to isolate and to characterize the sequences that are essential in the transformation process. Integrated MC29 proviral DNA was isolated from a library of recombinant phage containing DNA from the MC29-transformed nonproducer quail cell line Q5. The cloned DNA was analyzed by Southern blotting of restriction endonuclease digests and by electron microscopic visualization of R loops formed between the cloned DNA and MC29 or helper virus RNA. It was found that the 9.2-kilobase cloned DNA insert contains approximately 4 kilobases of viral sequences and 5.2 kilobases of quail cellular sequences. The viral sequences contain all of the MC29-specific sequences and 5' helper-related sequences as well as part of the envelope region. The size of the cloned EcoRI fragment is the same as that of the major band in EcoRI-cleaved Q5 DNA that hybridizes to viral sequences. Transfection of the cloned DNA into NIH 3T3 cells revealed that the MC29-specific sequences are functional in that they induce foci of transformed cells with high efficiency.",PMC319162,,,,
6262751,NLM,MEDLINE,19810709,20190501,0027-8424 (Print) 0027-8424 (Linking),78,2,1981 Feb,alpha-Globulin sequences are located in a region of early-replicating DNA in murine erythroleukemia cells.,1023-7,"['Furst, A', 'Brown, E H', 'Braunstein, J D', 'Schildkraut, C L']","['Furst A', 'Brown EH', 'Braunstein JD', 'Schildkraut CL']",['eng'],"['GM19100/GM/NIGMS NIH HHS/United States', 'GM22322/GM/NIGMS NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (DNA, Neoplasm)', '4HK400G5UO (Bromouracil)', '9004-22-2 (Globins)', 'EC 3.1.21.- (DNA Restriction Enzymes)']",IM,"['Animals', 'Base Sequence', 'Bromouracil', 'Cell Cycle', 'Cell Line', '*DNA Replication', 'DNA Restriction Enzymes', 'DNA, Neoplasm/*genetics', 'Friend murine leukemia virus', 'Genes', 'Globins/*genetics', 'Leukemia, Experimental/*metabolism', 'Mice', 'Nucleic Acid Hybridization']",1981/02/01 00:00,1981/02/01 00:01,['1981/02/01 00:00'],"['1981/02/01 00:00 [pubmed]', '1981/02/01 00:01 [medline]', '1981/02/01 00:00 [entrez]']",['10.1073/pnas.78.2.1023 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1981 Feb;78(2):1023-7. doi: 10.1073/pnas.78.2.1023.,"The time of replication in the S phase of regions of the mouse genome including the alpha-globin genes was determined in the murine erythroleukemia cell line transformed by Friend virus. Cells grown for short times in the presence of BrdUrd were fractionated into synchronous populations by centrifugal elutriation. The DNA was cleaved by restriction endonucleases, and fragments containing bromouracil (BrU-DNA) were isolated in density gradients of Cs2SO4. BrU-DNA fractions replicated during selected S-phase intervals were subjected to electrophoresis in agarose gels, transferred to diazobenzyloxymethyl-paper, and hybridized to an alpha-globin probe. Reconstruction experiments using a cloned mouse EcoRI fragment including one alpha-globin gene demonstrated that the extent of hybridization provides an accurate measurement that the extent of hybridization provides an accurate measurement of the concentrations of specific fragments in a DNA sample. The alpha-globin fragments were detected primarily in the BrU-DNA replicated during early S phase (approximately the first quarter of S). This result was confirmed in other synchrony experiments and by Cot analysis. (Cot is the initial concentration of DNA in mol of nucleotide per liter multiplied by the time in sec.) The temporal replication of mouse satellite sequences, already known from previous studies, was used as an internal control for cell synchrony. To show that the globin sequences were not lost from the cells in late S phase during isolation of the DNA, we quantitated th alpha-globin fragments in BrU-DNA prepared from a mixture of cells in early and late S phase. The results demonstrate that the alpha-globin gene regions in these cells are replicated during early S phase.",PMC319938,,,,
6262742,NLM,MEDLINE,19810723,20071115,1013-2058 (Print) 1013-2058 (Linking),70,20,1981 May 12,[Malignant disease in childhood (author's transl)].,902-8,"['Hitzig, W H']",['Hitzig WH'],['ger'],,"['English Abstract', 'Journal Article']",Switzerland,Schweiz Rundsch Med Prax,Schweizerische Rundschau fur Medizin Praxis = Revue suisse de medecine Praxis,8403202,,IM,"['Child', 'Child, Preschool', 'Congenital Abnormalities/complications', 'Drug Therapy, Combination', 'Hodgkin Disease/therapy', 'Humans', 'Infant', 'Leukemia/pathology', 'Leukemia, Lymphoid/drug therapy', 'Neoplasms/*drug therapy/etiology', 'Neuroblastoma/therapy', 'Patient Care Team', 'Wilms Tumor/embryology/therapy']",1981/05/12 00:00,1981/05/12 00:01,['1981/05/12 00:00'],"['1981/05/12 00:00 [pubmed]', '1981/05/12 00:01 [medline]', '1981/05/12 00:00 [entrez]']",,ppublish,Schweiz Rundsch Med Prax. 1981 May 12;70(20):902-8.,,,Malignome im Kindesalter.,,,
6262669,NLM,MEDLINE,19810723,20071115,0028-2685 (Print) 0028-2685 (Linking),27,5,1980,Comparison of radioimmunoassay for internal protein of bovine leukemia virus with neutralization test employing VSV-BLV pseudotype.,517-23,"['Zajac, V', 'Altaner, C', 'Zavada, J', 'Cerny, L']","['Zajac V', 'Altaner C', 'Zavada J', 'Cerny L']",['eng'],,"['Comparative Study', 'Journal Article']",Slovakia,Neoplasma,Neoplasma,0377266,"['0 (Antibodies, Viral)', '0 (Viral Proteins)']",IM,"['Animals', 'Antibodies, Viral/analysis', 'Cattle', 'Leukemia Virus, Bovine/*analysis/immunology', 'Neutralization Tests', 'Radioimmunoassay', 'Retroviridae/*analysis', 'Vesicular stomatitis Indiana virus/*immunology', 'Viral Proteins/*analysis']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Neoplasma. 1980;27(5):517-23.,"Two methods for the detection of antibodies to the bovine leukemia virus (BLV) in infected animals were compared for their suitability for the early diagnosis of bovine leukemia - pseudotype neutralization test (PNT) employing vesicular stomatitis virus - bovine leukemia virus pseudotypes (VSV-BLV), and radioimmunoassay test (RIA) for major internal viral protein p24 of the BLV. The comparison was made using more than 300 sera from cows of the herds with high incidence of bovine leukemia. In infected animals the presence of antibodies against virus envelope glycoprotein detected by PNT and antibodies against major structural viral protein p24 detected by RIA were found always coincidentally. Both methods were found highly comparable and suitable for early detection of bovine leukemia virus infected animals.",,,,,
6262668,NLM,MEDLINE,19810723,20211203,0028-2685 (Print) 0028-2685 (Linking),27,5,1980,Radioimmunoassay for major internal structural protein (p21) of the bovine leukemia virus; antibodies detection and viruses identification.,509-16,"['Tarassishin, L A', 'Zajac, V', 'Altaner, C', 'Popovic, M', 'Grofova, M', 'Grinenko, N F', 'Altstein, A D', 'Zhdanov, V M']","['Tarassishin LA', 'Zajac V', 'Altaner C', 'Popovic M', 'Grofova M', 'Grinenko NF', 'Altstein AD', 'Zhdanov VM']",['eng'],,"['Comparative Study', 'Journal Article']",Slovakia,Neoplasma,Neoplasma,0377266,"['0 (Antibodies, Viral)', '0 (CBX5 protein, human)', '0 (Glycoproteins)', '0 (Viral Proteins)', '107283-02-3 (Chromobox Protein Homolog 5)']",IM,"['Animals', 'Antibodies, Viral/analysis', 'Cattle', 'Chromatography, Ion Exchange', 'Chromobox Protein Homolog 5', 'Cross Reactions', 'Glycoproteins/immunology', 'Immunodiffusion', 'Leukemia Virus, Bovine/*analysis/*classification/immunology', 'Radioimmunoassay', 'Retroviridae/*analysis/*classification', 'Viral Proteins/*isolation & purification']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Neoplasma. 1980;27(5):509-16.,"The major internal protein of bovine leukemia virus (BLV p24) was isolated using ion exchange chromatography on phosphocellulose and gel filtration. The specificity of the BLV p24 isolated was checked by both the radioimmunoprecipitation (RIP) and the competitive radioimmunoassay (RIA). No cross reactivity between BLV p25 and the mammalian viruses of type C and D and the retrovirus isolated from human myeloma cells RPMI8226 [8, 17] was detected. The analysis of 429 leukemia-suspected bovine blood sera resulted in the detection of 165 (38.5%) positive and 264 (61.5%) negative blood sera. A correlation of the results of radioimmunoprecipitation reaction of major internal protein p24 and immunodiffusion test on the glycoprotein antigen of BLV was observed.",,,,,
