PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,AB,TT,RF,PMC,SI,RIN
6213545,NLM,MEDLINE,19821021,20191031,8755-4542 (Print) 8755-4542 (Linking),17,6,1982 Jun,Chronic lymphocytic leukemia in the elderly.,131-41,"['Silber, R']",['Silber R'],['eng'],['Journal Article'],United States,Hosp Pract (Hosp Ed),Hospital practice (Hospital ed.),9880471,"['0 (Immunoglobulin Light Chains)', '0 (Isoenzymes)', '18D0SL7309 (Chlorambucil)', 'EC 1.1.1.49 (Glucosephosphate Dehydrogenase)', 'VB0R961HZT (Prednisone)']",IM,"['*Aged', 'B-Lymphocytes/enzymology/immunology', 'Chlorambucil/therapeutic use', 'Diagnosis, Differential', 'Glucosephosphate Dehydrogenase', 'Humans', 'Hypersensitivity, Delayed/immunology', 'Immune Tolerance', 'Immunoglobulin Light Chains', 'Isoenzymes/analysis', 'Leukemia, Hairy Cell/diagnosis', '*Leukemia, Lymphoid/blood/diagnosis/drug therapy/immunology', 'Lymphocyte Activation', 'Lymphocytosis/etiology', 'Lymphoma, Non-Hodgkin/diagnosis', 'Middle Aged', 'Neoplasm Staging', 'Prednisone/therapeutic use', 'Prognosis', 'T-Lymphocytes/immunology', 'T-Lymphocytes, Regulatory/immunology']",1982/06/01 00:00,1982/06/01 00:01,['1982/06/01 00:00'],"['1982/06/01 00:00 [pubmed]', '1982/06/01 00:01 [medline]', '1982/06/01 00:00 [entrez]']",['10.1080/21548331.1982.11702337 [doi]'],ppublish,Hosp Pract (Hosp Ed). 1982 Jun;17(6):131-41. doi: 10.1080/21548331.1982.11702337.,,,,,,,
6213296,NLM,MEDLINE,19821012,20131121,0008-5472 (Print) 0008-5472 (Linking),42,9,1982 Sep,Effect of cellular fatty acid alteration on hyperthermic sensitivity in cultured L1210 murine leukemia cells.,3625-30,"['Guffy, M M', 'Rosenberger, J A', 'Simon, I', 'Burns, C P']","['Guffy MM', 'Rosenberger JA', 'Simon I', 'Burns CP']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Culture Media)', '0 (Fatty Acids)', '0 (Fatty Acids, Unsaturated)', '0 (Lipids)', '0 (Membrane Lipids)', '0 (Oleic Acids)', '0 (Phospholipids)', '25167-62-8 (Docosahexaenoic Acids)', '2UMI9U37CP (Oleic Acid)']",IM,"['Animals', 'Cell Line', 'Cell Survival', 'Culture Media', 'Docosahexaenoic Acids', 'Fatty Acids/analysis/*physiology', 'Fatty Acids, Unsaturated/analysis', '*Hot Temperature', 'Leukemia L1210/analysis/*pathology', 'Lipids/analysis', '*Membrane Fluidity', 'Membrane Lipids/*physiology', 'Mice', 'Oleic Acid', 'Oleic Acids/analysis', 'Phospholipids/analysis']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Sep;42(9):3625-30.,"['CA 00324/CA/NCI NIH HHS/United States', 'CA 17283/CA/NCI NIH HHS/United States', 'T32 HL 07344/HL/NHLBI NIH HHS/United States']",,,,,,
6213295,NLM,MEDLINE,19821012,20151119,0008-5472 (Print) 0008-5472 (Linking),42,9,1982 Sep,Inhibition of concanavalin A response during osteopetrosis virus infection.,3617-24,"['Price, J A', 'Smith, R E']","['Price JA', 'Smith RE']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Receptors, Concanavalin A)', '11028-71-0 (Concanavalin A)']",IM,"['Anemia/etiology', 'Animals', 'Avian Leukosis/*immunology', 'Avian Myeloblastosis Virus', 'Chickens', 'Concanavalin A/*pharmacology', 'Immune Tolerance', '*Lymphocyte Activation', 'Macrophages/*immunology', 'Osteopetrosis/etiology/*immunology', 'Receptors, Concanavalin A/metabolism', 'Satellite Viruses', 'T-Lymphocytes, Regulatory/immunology']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Sep;42(9):3617-24.,"['CA 09111/CA/NCI NIH HHS/United States', 'CA12323/CA/NCI NIH HHS/United States', 'CA14236/CA/NCI NIH HHS/United States']","Infection of animals with oncogenic viruses frequently leads to an immunosuppressed state. We have examined immunosuppression induced by an avian osteopetrosis virus, myeloblastosis-associated virus of subgroup B inducing osteopetrosis [MAV-2(O)], and our results suggest that this virus induces immunosuppression by a novel mechanism. Lymphoid cells from osteopetrotic chickens did not respond to a wide dose range of concanavalin A (Con A) over a wide cell density range. Failure to undergo blastogenesis was not due to a lack of Con A-binding sites, since 125I-labeled Con A bound to lymphocytes from infected and uninfected chickens. Infected lymphocytes failed to respond to sodium metaperiodate stimulation, indicating that failure of blastogenesis was not due to a blockage of Con A receptor sites. MAV-2(O) infection of chicks 8 days of age resulted in a transient immunosuppression which appeared 1 to 2 weeks after infection. Cell-mixing experiments showed that MAV-2(O)-induced immunosuppression was not attributable to suppressor cells. In contrast, adherent cells from normal lymphoid preparations restored mitogenicity to lymphocytes from MAV-2(O)-infected animals. Adherent cells were present in the spleen and peripheral blood lymphocytes of MAV-2(O)-infected chickens in numbers comparable to those of the uninfected animal, and both sets of cells contained Fc-dependent phagocytic activity and nonspecific esterase. Peritoneal exudate cells were elicited from osteopetrotic and normal chickens in similar numbers. We conclude that MAV-2(O) induces immunosuppression by interfering with an accessory function of macrophage-like adherent cells.",,,,,
6213294,NLM,MEDLINE,19821012,20151123,0008-5472 (Print) 0008-5472 (Linking),42,9,1982 Sep,Modulation of 1-beta-D-arabinofuranosylcytosine metabolism and cytotoxicity in L1210 cells by fluoropyrimidine pretreatment.,3550-6,"['Grant, S', 'Cadman, E']","['Grant S', 'Cadman E']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Deoxyribonucleotides)', '039LU44I5M (Floxuridine)', '04079A1RDZ (Cytarabine)', '13191-15-6 (Arabinofuranosylcytosine Triphosphate)', '134-46-3 (Fluorodeoxyuridylate)', '4K0M952561 (5-fluorouridine)', 'U3P01618RT (Fluorouracil)', 'V1JK16Y2JP (doxifluridine)', 'W78I7AY22C (Deoxyuridine)', 'WHI7HQ7H85 (Uridine)']",IM,"['Animals', 'Arabinofuranosylcytosine Triphosphate/metabolism', 'Cell Line', 'Cell Survival/*drug effects', 'Clone Cells', 'Cytarabine/*metabolism/pharmacology', 'Deoxyribonucleotides/metabolism', 'Deoxyuridine/metabolism', 'Drug Interactions', 'Floxuridine/*pharmacology', 'Fluorodeoxyuridylate/metabolism', 'Fluorouracil/*pharmacology', 'Leukemia L1210', 'Mice', 'Uridine/*analogs & derivatives/pharmacology']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Sep;42(9):3550-6.,"['CA-08341/CA/NCI NIH HHS/United States', 'CA-24187/CA/NCI NIH HHS/United States', 'CA-27130/CA/NCI NIH HHS/United States']","The effect of pretreatment with the fluoropyrimidines 5-fluorouracil (FUra), 5-fluorouridine (FUrd), 5-fluoro-2'-deoxyuridine (FdUrd), and 5'-deoxy-5-fluorouridine (5'-dFUrd) on the intracellular metabolism and in vitro cytotoxicity of 1-beta-D-arabinofuranosylcytosine (ara-C) was explored in L1210 cells. A 4-hr exposure to 100 microM FUra, FUrd, or FdUrd produced greater than 3-fold increments in the intracellular accumulation of [3H]deoxycytidine, and 2-fold increments in the intracellular accumulation of [3H]ara-C were produced over a 1-hr exposure. Intracellular 1-beta-D-arabinofuranosylcytosine 5'-triphosphate levels in cells exposed to these 3 agents were also increased over 2-fold. L1210 cells exposed sequentially to 1 microM FUra, FUrd, or FdUrd followed by 5 microM ara-C for 1 hr resulted in synergistic cell killing measured by soft-agar cloning. Although intracellular 2'-deoxycytidine 5'-triphosphate levels were reduced in cells treated for 4 hr with FUra and FUrd, this was not associated directly with the maximum accumulation of ara-C. FdUrd treatment was as effective as FUra and FUrd at enhancing ara-C accumulation and 1-beta-D-arabinofuranosylcytosine 5'-triphosphate formation and producing synergistic cytotoxicity; however, the 2'-deoxycytidine 5'-triphosphate pools were minimally affected. 5'-Deoxy-5-fluorouridine did not increase intracellular ara-C accumulation, reduce intracellular 2'-deoxycytidine 5'-triphosphate levels, or enhance ara-C cytotoxicity. This sequential drug interaction is similar to that which we have observed when methotrexate precedes ara-C and provides a rational basis from which further in vivo studies can be designed.",,,,,
6213279,NLM,MEDLINE,19821021,20210216,0006-4971 (Print) 0006-4971 (Linking),60,3,1982 Sep,Constitutive expression of platelet glycoproteins by the human leukemia cell line K562.,785-9,"['Gewirtz, A M', 'Burger, D', 'Rado, T A', 'Benz, E J Jr', 'Hoffman, R']","['Gewirtz AM', 'Burger D', 'Rado TA', 'Benz EJ Jr', 'Hoffman R']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Glycoproteins)', '0 (Immune Sera)', '0 (Membrane Proteins)', '0 (Platelet Membrane Glycoproteins)']",IM,"['Animals', 'Blood Platelets/cytology', 'Cell Differentiation', 'Cell Line', 'Cell Separation', 'Flow Cytometry', 'Glycoproteins/*analysis/immunology', 'Humans', 'Immune Sera/pharmacology', 'Leukemia, Myeloid/*analysis', 'Membrane Proteins/*analysis/immunology', 'Molecular Weight', 'Platelet Membrane Glycoproteins', 'Rabbits']",1982/09/01 00:00,2001/03/28 10:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1982/09/01 00:00 [entrez]']",['S0006-4971(20)79167-6 [pii]'],ppublish,Blood. 1982 Sep;60(3):785-9.,"['AM 28376/AM/NIADDK NIH HHS/United States', 'CA 22697/CA/NCI NIH HHS/United States', 'HL 07262/HL/NHLBI NIH HHS/United States']","The human leukemia cell line K562 was derived from a patient with chronic granulocytic leukemia. This cell line has subsequently been shown to possess phenotypic markers typical of erythroid and myeloid cells. Using a rabbit antiserum directed against purified platelet glycoproteins (PGPs), we have obtained evidence for the constitutive expression of PGPs on the surface of K562 cells. PGPs expressed have been tentatively identified as IIa and III based on their apparent migration in a 7% sodium dodecylsulfate polyacrylamide gel. K562 may become an important tool for the study of early events involved in megakaryocytic differentiation.",,,,,
6213276,NLM,MEDLINE,19821021,20210216,0006-4971 (Print) 0006-4971 (Linking),60,3,1982 Sep,Analysis of late infections after human bone marrow transplantation: role of genotypic nonidentity between marrow donor and recipient and of nonspecific suppressor cells in patients with chronic graft-versus-host disease.,714-20,"['Atkinson, K', 'Farewell, V', 'Storb, R', 'Tsoi, M S', 'Sullivan, K M', 'Witherspoon, R P', 'Fefer, A', 'Clift, R', 'Goodell, B', 'Thomas, E D']","['Atkinson K', 'Farewell V', 'Storb R', 'Tsoi MS', 'Sullivan KM', 'Witherspoon RP', 'Fefer A', 'Clift R', 'Goodell B', 'Thomas ED']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aging', 'Bacterial Infections/etiology', '*Bone Marrow Transplantation', 'Child', 'Child, Preschool', 'Chronic Disease', '*Graft vs Host Reaction', 'Herpes Zoster/etiology', 'Humans', 'Infections/*etiology', 'Leukemia/complications/therapy', 'Middle Aged', 'T-Lymphocytes, Regulatory/immunology', 'Time Factors', 'Transplantation, Homologous/*adverse effects']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",['S0006-4971(20)79158-5 [pii]'],ppublish,Blood. 1982 Sep;60(3):714-20.,"['CA 15704/CA/NCI NIH HHS/United States', 'CA 18029/CA/NCI NIH HHS/United States', 'CA 18221/CA/NCI NIH HHS/United States', 'etc.']","Infections occurring 6 mo or later after bone marrow transplantation for severe aplastic anemia or hematologic malignancy were analyzed in 98 long-term survivors. Varicella-zoster (VZ) infections were analyzed separately from all other infections. The factor predisposing most strongly to late VZ infection was genotypic nonidentity for HLA between marrow donor and recipient. There was a suggestion that chronic graft-versus-host disease (GVHD) associated with the presence of nonspecific suppressor cells also predisposed to late VZ infection, while age less than 10 yr was protective against such infections. Chronic GVHD predisposed to late non-VZ infections, but this was not increased by the presence of nonspecific suppressor cells. HLA nonidentify between patient and marrow donor further increased the risk of late non-VZ infections over and above that due to the presence of chronic GVHD. Receipt of a syngeneic transplant appeared protective for late non-VZ infections. These findings suggest that full genotypic identity for HLA between donor and recipient may be required for optimal immune reconstitution after marrow transplantation and may denote a possible biologic role for nonspecific suppressor T cells in humans.",,,,,
6213154,NLM,MEDLINE,19820924,20061115,0148-7299 (Print) 0148-7299 (Linking),12,2,1982 Jun,The implications of S-phase exchanges for the mechanisms of radiosensitivity in trisomy 21.,141-6,"['Athanasiou, K', 'Bartsocas, C S']","['Athanasiou K', 'Bartsocas CS']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Med Genet,American journal of medical genetics,7708900,,IM,"['Cells, Cultured', '*Crossing Over, Genetic', 'DNA Repair', 'Down Syndrome/*genetics', 'Humans', 'Interphase', 'Lymphocytes/radiation effects', '*Radiation Tolerance', '*Sister Chromatid Exchange']",1982/06/01 00:00,1982/06/01 00:01,['1982/06/01 00:00'],"['1982/06/01 00:00 [pubmed]', '1982/06/01 00:01 [medline]', '1982/06/01 00:00 [entrez]']",['10.1002/ajmg.1320120204 [doi]'],ppublish,Am J Med Genet. 1982 Jun;12(2):141-6. doi: 10.1002/ajmg.1320120204.,,Human lymphocytes obtained from four patients with Down syndrome and from two normal individuals were irradiated with X-rays during their S phase and examined for chromatid type aberrations. It is suggested that the significantly increased frequency of asymmetrical chromatid interchanges found in trisomic cells is related to an altered DNA repair system. This altered repair system is probably responsible for the increased frequency of chromosome aberrations that can be induced in these cells by x-rays and the increased tendency for leukemia observed in Down syndrome as well.,,,,,
6212896,NLM,MEDLINE,19820924,20061115,0030-932X (Print) 0030-932X (Linking),21,1,1982,[Perinatal leucosis and Down's syndrome--review].,53-68,"['Reddemann, H', 'Lohse, G', 'Schwesinger, G']","['Reddemann H', 'Lohse G', 'Schwesinger G']",['ger'],"['Case Reports', 'English Abstract', 'Journal Article', 'Review']",Germany,Padiatr Grenzgeb,Padiatrie und Grenzgebiete,0401115,,IM,"['Down Syndrome/*diagnosis', 'Humans', 'Infant, Newborn', 'Leukemia/*congenital/diagnosis', 'Male']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",,ppublish,Padiatr Grenzgeb. 1982;21(1):53-68.,,,Perinatale Leukose und Down-Syndrom--Ubersicht.,67,,,
6212588,NLM,MEDLINE,19820910,20190508,0021-9525 (Print) 0021-9525 (Linking),93,2,1982 May,Phosphorylation of lymphocyte myosin catalyzed in vitro and in intact cells.,261-8,"['Fechheimer, M', 'Cebra, J J']","['Fechheimer M', 'Cebra JJ']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Cell Biol,The Journal of cell biology,0375356,"['0 (Actins)', 'EC 2.7.- (Protein Kinases)', 'EC 2.7.11.18 (Myosin-Light-Chain Kinase)', 'EC 3.6.1.- (Adenosine Triphosphatases)', 'EC 3.6.4.1 (Myosins)']",IM,"['Actins/pharmacology', 'Adenosine Triphosphatases/metabolism', 'Animals', 'B-Lymphocytes/immunology/*metabolism', 'Cell Line', 'Cell Movement', 'Leukemia, Experimental', 'Lymphocyte Activation', 'Myosin-Light-Chain Kinase', 'Myosins/*metabolism', 'Phosphorylation', 'Protein Kinases/metabolism']",1982/05/01 00:00,1982/05/01 00:01,['1982/05/01 00:00'],"['1982/05/01 00:00 [pubmed]', '1982/05/01 00:01 [medline]', '1982/05/01 00:00 [entrez]']",['10.1083/jcb.93.2.261 [doi]'],ppublish,J Cell Biol. 1982 May;93(2):261-8. doi: 10.1083/jcb.93.2.261.,['AI-17997/AI/NIAID NIH HHS/United States'],"Myosin has been isolated from guinea pig B-lymphocytic leukemia cells (L2C). The myosin has been enzymatically phosphorylated and dephosphorylated in vitro using both heterologous and lymphocyte-derived enzymes. Both the heavy chain and 20,000-dalton light chain of lymphocyte myosin are phosphorylated in vitro. Phosphorylation of myosin enhances actin-activated ATPase activity. Phosphorylation of myosin in murine lymphocytes was analyzed by use of a novel technique for rapid immunoprecipitation of myosin from cell extracts. Both the heavy chain and 20,000-dalton light chain of myosin are phosphorylated in intact cells. Addition of antibody reactive with cell-surface immunoglobulin to lymphocyte populations enriched for B cells stimulates locomotion of these cells and also increases the quantity of 32P isolated in association with the 20,000-dalton light chain of lymphocyte myosin, when 32Pi was present in the medium. In addition, an unidentified, phosphorylated polypeptides with a molecular mass of 22,000 daltons is co-isolated with myosin from cells by rapid immunoprecipitation. These results are consistent with the hypothesis that phosphorylation of myosin may contribute to regulation of movements performed by lymphocytes which are related to their participation in immunologic reactions.",,,PMC2112837,,
6212581,NLM,MEDLINE,19820917,20190511,0021-924X (Print) 0021-924X (Linking),91,4,1982 Apr,Changes in myosin during differentiation of myeloid leukemia cells.,1363-72,"['Sagara, J', 'Nagata, K', 'Ichikawa, Y']","['Sagara J', 'Nagata K', 'Ichikawa Y']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,J Biochem,Journal of biochemistry,0376600,"['EC 3.6.1.- (Adenosine Triphosphatases)', 'EC 3.6.4.1 (Myosins)']",IM,"['Adenosine Triphosphatases/metabolism', 'Animals', 'Cell Differentiation', 'Cell Line', 'Chickens', 'Leukemia, Experimental/*metabolism', 'Leukemia, Myeloid/metabolism', 'Macrophages/metabolism', 'Mice', 'Myosins/*metabolism', 'Rabbits']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",['10.1093/oxfordjournals.jbchem.a133824 [doi]'],ppublish,J Biochem. 1982 Apr;91(4):1363-72. doi: 10.1093/oxfordjournals.jbchem.a133824.,,"Changes in cellular myosin were followed during the differentiation into macrophages of a myeloid leukemia cell line (Ml) which can be induced by conditioned medium (CM) from a rat embryo culture. To extract the myosin, we used three different procedures, all of which gave a lower yield of myosin for the differentiated than for the undifferentiated Ml cells. This low extractability we attributed to increased binding of the myosin to the plasma membrane. Taking the different extractabilities into consideration, we calculated the myosin contents in the total cellular protein from the densitometry of SDS-polyacrylamide electrophoresis, 0.6% for the untreated Ml cells and 1.0% for the differentiated ones. The three ATPase activities of the Ml cell myosin were in the order, K+-EDTA-=Ca2+- much greater than Mg2+-ATPase in the presence of 0.6 M KCl, whether or not there was treatment with CM. Myosin was purified through fractionation with 25-55% saturated ammonium sulfate, then gel filtration with Sepharose 4B followed by affinity chromatography on F actin-Sepharose 4B. The Ml cell myosin consists of 1 heavy chain (H) and 3 light chains (L1, L2, L3), with molecular ratios of L1 + L2/H not equal to and L3/H not equal to 1. The ratio of L1/L2 was about 1.2 for the untreated Ml cells, but it decreased to about 0.7 after differentiation.",,,,,
