PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,AB,OID,RF
5440599,NLM,MEDLINE,19700605,20190501,0007-1447 (Print) 0007-1447 (Linking),2,5702,1970 Apr 18,Severe generalized primary herpes treated with cytarabine.,154-5,"['Juel-Jensen, B E']",['Juel-Jensen BE'],['eng'],['Journal Article'],England,Br Med J,British medical journal,0372673,['04079A1RDZ (Cytarabine)'],IM,"['Adult', 'Cytarabine/adverse effects/*therapeutic use', 'Encephalitis/drug therapy', 'Herpes Simplex/*drug therapy', 'Humans', 'Leukemia/complications', 'Male', 'Stomatitis/chemically induced/drug therapy']",PMC1699995,1970/04/18 00:00,1970/04/18 00:01,['1970/04/18 00:00'],"['1970/04/18 00:00 [pubmed]', '1970/04/18 00:01 [medline]', '1970/04/18 00:00 [entrez]']",['10.1136/bmj.2.5702.154 [doi]'],ppublish,Br Med J. 1970 Apr 18;2(5702):154-5. doi: 10.1136/bmj.2.5702.154.,,,,
5440245,NLM,MEDLINE,19700605,20190501,0007-1447 (Print) 0007-1447 (Linking),1,5696,1970 Mar 7,Immunotherapy in acute leukaemia.,628,"['Roath, S']",['Roath S'],['eng'],['Journal Article'],England,Br Med J,British medical journal,0372673,['0 (Pertussis Vaccine)'],IM,"['Acute Disease', 'Animals', 'Humans', 'In Vitro Techniques', 'Leukemia/*drug therapy', 'Lymphocytes/immunology', 'Pertussis Vaccine/*therapeutic use', 'Rats']",PMC1699638,1970/03/07 00:00,1970/03/07 00:01,['1970/03/07 00:00'],"['1970/03/07 00:00 [pubmed]', '1970/03/07 00:01 [medline]', '1970/03/07 00:00 [entrez]']",['10.1136/bmj.1.5696.628-a [doi]'],ppublish,Br Med J. 1970 Mar 7;1(5696):628. doi: 10.1136/bmj.1.5696.628-a.,,,,
5439782,NLM,MEDLINE,19700603,20041117,0507-3758 (Print) 0507-3758 (Linking),16,2,1970,[Multiplication of Friend leukosis virus in the cells of transplantable sarcoma 180].,66-8,"['Merekalova, Z I']",['Merekalova ZI'],['rus'],['Journal Article'],Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,,IM,"['Animals', 'Culture Techniques', '*Friend murine leukemia virus', 'Methods', 'Mice', 'Neoplasm Transplantation', '*Sarcoma 180', '*Virus Cultivation']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",,ppublish,Vopr Onkol. 1970;16(2):66-8.,Razmnozhenie virusa leikoza Frend v kletkakh perevivaemoi sarkomy 180.,,,
5439710,NLM,MEDLINE,19700603,20071115,0024-7790 (Print) 0024-7790 (Linking),223,7,1970 Feb 15,[A case of cutaneous leukemia].,463,"['Rollier, R', 'Cherkaoui, A', 'Devico']","['Rollier R', 'Cherkaoui A', 'Devico']",['fre'],"['Case Reports', 'Journal Article']",France,Lyon Med,Lyon medical,0335015,,IM,"['Aged', 'Female', 'Humans', '*Leukemia, Lymphoid', '*Skin Neoplasms']",,1970/02/15 00:00,1970/02/15 00:01,['1970/02/15 00:00'],"['1970/02/15 00:00 [pubmed]', '1970/02/15 00:01 [medline]', '1970/02/15 00:00 [entrez]']",,ppublish,Lyon Med. 1970 Feb 15;223(7):463.,Sur un cas de leucemie cutanee.,,,
5439545,NLM,MEDLINE,19700603,20071115,0012-0472 (Print) 0012-0472 (Linking),95,16,1970 Apr 17,[Fine structure of peripheral lymphocytes in chronic lymphatic leukemia].,897-901,"['Huhn, D']",['Huhn D'],['ger'],['Journal Article'],Germany,Dtsch Med Wochenschr,Deutsche medizinische Wochenschrift (1946),0006723,,IM,"['Cell Nucleus', 'Chronic Disease', 'Cytoplasm', 'Humans', 'Leukemia, Lymphoid/*blood', '*Lymphocytes', 'Microscopy, Electron', 'Mitochondria', 'Ribosomes']",,1970/04/17 00:00,1970/04/17 00:01,['1970/04/17 00:00'],"['1970/04/17 00:00 [pubmed]', '1970/04/17 00:01 [medline]', '1970/04/17 00:00 [entrez]']",['10.1055/s-0028-1108560 [doi]'],ppublish,Dtsch Med Wochenschr. 1970 Apr 17;95(16):897-901. doi: 10.1055/s-0028-1108560.,Feinstruktur peripherer Lymphozyten bei chronischer lymphatischer Leukamie.,,,
5439528,NLM,MEDLINE,19700603,20180216,0009-3157 (Print) 0009-3157 (Linking),15,2,1970,Combination chemotherapy of mouse leukemia L 1210 with a neuroleptic and antimetabolites.,105-10,"['Pujman, V', 'Sandberg, J', 'Howsden, L', 'Goldin, A']","['Pujman V', 'Sandberg J', 'Howsden L', 'Goldin A']",['eng'],['Journal Article'],Switzerland,Chemotherapy,Chemotherapy,0144731,"['0 (Antimetabolites)', '0 (Antineoplastic Agents)', '0 (Hypoxanthines)', '0 (Tranquilizing Agents)', '9S7OD60EWP (Chlorprothixene)']",IM,"['Animals', 'Antimetabolites/pharmacology', 'Antineoplastic Agents/*administration & dosage', 'Chlorprothixene/*administration & dosage', 'Drug Synergism', 'Hypoxanthines/*administration & dosage', 'Leukemia, Experimental/*drug therapy', 'Male', 'Mice', 'Neoplasm Transplantation', 'Tranquilizing Agents/pharmacology']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",['10.1159/000220672 [doi]'],ppublish,Chemotherapy. 1970;15(2):105-10. doi: 10.1159/000220672.,,,,
5439185,NLM,MEDLINE,19700601,20170306,,44,3,1970 Mar,[Asparaginase in the treatment of acute leukemias].,289-90,"['Plachecka-Gutowska, M']",['Plachecka-Gutowska M'],['pol'],['Journal Article'],Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,['EC 3.5.1.1 (Asparaginase)'],IM,"['Acute Disease', 'Asparaginase/*therapeutic use', 'Humans', 'Leukemia/*drug therapy']",,1970/03/01 00:00,1970/03/01 00:01,['1970/03/01 00:00'],"['1970/03/01 00:00 [pubmed]', '1970/03/01 00:01 [medline]', '1970/03/01 00:00 [entrez]']",,ppublish,Pol Arch Med Wewn. 1970 Mar;44(3):289-90.,Asparaginaza w leczeniu ostrych bialaczek.,,,
5438973,NLM,MEDLINE,19700528,20191111,0044-2917 (Print) 0044-2917 (Linking),107,4,1970,[Ataxia-telangiectasia (Louis-Bar-syndrome). Report on seven cases].,324-42,"['Terheggen, H G', 'Kramer, S', 'Heimann, K']","['Terheggen HG', 'Kramer S', 'Heimann K']",['ger'],['Journal Article'],Germany,Z Kinderheilkd,Zeitschrift fur Kinderheilkunde,7604363,,IM,"['Adolescent', 'Ataxia Telangiectasia/*diagnosis/diagnostic imaging/etiology/genetics/immunology', 'Brain Neoplasms/complications', 'Cerebellum/abnormalities', 'Child', 'Child, Preschool', 'Diagnosis, Differential', 'Eye Manifestations', 'Female', 'Hemangioma/complications', 'Humans', 'Infant', 'Leukemia/complications', 'Lymphoma/complications', 'Male', 'Radiography', 'Skin Manifestations']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",['10.1007/BF00438894 [doi]'],ppublish,Z Kinderheilkd. 1970;107(4):324-42. doi: 10.1007/BF00438894.,Ataxia Telangiectasia (Louis-Bar-Syndrom). Bericht uber sieben Falle.,,,
5438882,NLM,MEDLINE,19700528,20071115,0028-2162 (Print) 0028-2162 (Linking),114,16,1970 Apr 18,[Chronic lymphatic leukemia].,669-71,"['de Vries, S I']",['de Vries SI'],['dut'],['Journal Article'],Netherlands,Ned Tijdschr Geneeskd,Nederlands tijdschrift voor geneeskunde,0400770,['0 (Arsenicals)'],IM,"['Aged', 'Arsenicals/therapeutic use', 'Female', 'Humans', 'Leukemia, Lymphoid/diagnosis/drug therapy/*therapy', 'Middle Aged']",,1970/04/18 00:00,1970/04/18 00:01,['1970/04/18 00:00'],"['1970/04/18 00:00 [pubmed]', '1970/04/18 00:01 [medline]', '1970/04/18 00:00 [entrez]']",,ppublish,Ned Tijdschr Geneeskd. 1970 Apr 18;114(16):669-71.,Chronische lymfatische leukemie.,,,
5438562,NLM,MEDLINE,19700527,20071115,0004-069X (Print) 0004-069X (Linking),18,1,1970,The action of interferon in transplantable lymphatic leukemia of Gross.,16-22,"['Stelmachowska, A', 'Blach-Olszewska, Z', 'Skurska, Z']","['Stelmachowska A', 'Blach-Olszewska Z', 'Skurska Z']",['eng'],['Journal Article'],Switzerland,Arch Immunol Ther Exp (Warsz),Archivum immunologiae et therapiae experimentalis,0114365,['9008-11-1 (Interferons)'],IM,"['AKR murine leukemia virus/*immunology', 'Animals', 'Interferons/*therapeutic use', 'Kidney/immunology/pathology', 'Leukemia, Experimental/pathology/*prevention & control', 'Leukemia, Lymphoid/mortality/pathology/*prevention & control', 'Mice', 'Neoplasm Transplantation', 'Spleen/immunology/pathology']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",,ppublish,Arch Immunol Ther Exp (Warsz). 1970;18(1):16-22.,,,,
