PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,PMC,AB
5264815,NLM,MEDLINE,19700427,20081212,0032-7867 (Print) 0032-7867 (Linking),78,6,1970 Jan 31,[Hope of life in acute leukemia].,251,"['Bernard, J']",['Bernard J'],['fre'],['Journal Article'],Espoir de vie des leucemies aigues.,France,Presse Med,La Presse medicale,0312556,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Age Factors', 'Aged', 'Blood Platelets', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Leukemia/chemically induced/*mortality', 'Leukemia, Lymphoid/mortality', 'Leukemia, Myeloid, Acute/drug therapy/mortality', 'Male', 'Middle Aged']",1970/01/31 00:00,1970/01/31 00:01,['1970/01/31 00:00'],"['1970/01/31 00:00 [pubmed]', '1970/01/31 00:01 [medline]', '1970/01/31 00:00 [entrez]']",ppublish,Presse Med. 1970 Jan 31;78(6):251.,,,,
5264814,NLM,MEDLINE,19700427,20161122,0032-7867 (Print) 0032-7867 (Linking),78,4,1970 Jan 24,[Treatment of acute leukemia with the L-asparaginase. Preliminary results based on 84 cases].,161-6,"['Bernard, J', 'Jacquillat, C', 'Boiron, M', 'Weil, M', 'Bussel, A', 'Larrieu, M J', 'Delobel, J', 'Goguel, A', 'Levy, D', 'Tanzer, J']","['Bernard J', 'Jacquillat C', 'Boiron M', 'Weil M', 'Bussel A', 'Larrieu MJ', 'Delobel J', 'Goguel A', 'Levy D', 'Tanzer J']",['fre'],['Journal Article'],Traitement des leucemies aigues par la L-asparaginase. Resultats preliminaires portant sur 84 cas.,France,Presse Med,La Presse medicale,0312556,IM,"['Asparaginase/*administration & dosage/adverse effects', 'Blood Coagulation Disorders/chemically induced', 'Chemical and Drug Induced Liver Injury', 'Drug Hypersensitivity/etiology', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Leukemia, Monocytic, Acute/*drug therapy', 'Leukemia, Myeloid, Acute/*drug therapy', 'Prednisone/therapeutic use', 'Vincristine/therapeutic use']",1970/01/24 00:00,1970/01/24 00:01,['1970/01/24 00:00'],"['1970/01/24 00:00 [pubmed]', '1970/01/24 00:01 [medline]', '1970/01/24 00:00 [entrez]']",ppublish,Presse Med. 1970 Jan 24;78(4):161-6.,"['5J49Q6B70F (Vincristine)', 'EC 3.5.1.1 (Asparaginase)', 'VB0R961HZT (Prednisone)']",,,
5264795,NLM,MEDLINE,19700424,20041117,0040-3660 (Print) 0040-3660 (Linking),40,10,1968 Oct,[Some peculiarities of the clinical picture of chronic myeloleucosis in young persons].,28-31,"['Petrov, N S']",['Petrov NS'],['rus'],['Journal Article'],Nekotorye osobennosti kliniki khronicheskogo mieloleikoza u molodykh lits.,Russia (Federation),Ter Arkh,Terapevticheskii arkhiv,2984818R,IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Candidiasis', 'Dyspepsia', 'Female', 'Fever', 'Hemorrhagic Disorders', 'Humans', 'Leukemia, Myeloid/*complications', 'Male', 'Middle Aged', 'Splenic Infarction', 'Splenomegaly', 'Stomach Diseases/complications']",1968/10/01 00:00,1968/10/01 00:01,['1968/10/01 00:00'],"['1968/10/01 00:00 [pubmed]', '1968/10/01 00:01 [medline]', '1968/10/01 00:00 [entrez]']",ppublish,Ter Arkh. 1968 Oct;40(10):28-31.,,,,
5264791,NLM,MEDLINE,19700424,20190908,0036-553X (Print) 0036-553X (Linking),6,6,1969,HL-A genotypes of children with acute leukaemia. A family study.,409-15,"['Thorsby, E', 'Bratlie, A', 'Lie, S O']","['Thorsby E', 'Bratlie A', 'Lie SO']",['eng'],['Journal Article'],,Denmark,Scand J Haematol,Scandinavian journal of haematology,0404507,IM,"['ABO Blood-Group System', 'Adolescent', '*Blood Group Antigens', 'Cell Transformation, Neoplastic/immunology', 'Child', 'Child, Preschool', 'Chromosome Mapping', '*Genotype', 'Histocompatibility Testing', 'Humans', 'Immune Sera', 'Leukemia, Lymphoid/*genetics/immunology', 'Leukemia, Myeloid, Acute/*genetics/immunology', 'Lymphocytes/immunology']",1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",ppublish,Scand J Haematol. 1969;6(6):409-15. doi: 10.1111/j.1600-0609.1969.tb01835.x.,"['0 (ABO Blood-Group System)', '0 (Blood Group Antigens)', '0 (Immune Sera)']",['10.1111/j.1600-0609.1969.tb01835.x [doi]'],,
5264739,NLM,MEDLINE,19700424,20071115,0009-0875 (Print) 0009-0875 (Linking),14,4,1969 Dec,Familial leukaemia.,192-5,"['Rajasuriya, K', 'Karunaratne, H B']","['Rajasuriya K', 'Karunaratne HB']",['eng'],['Journal Article'],,Sri Lanka,Ceylon Med J,The Ceylon medical journal,1264702,IM,"['Adult', 'Aged', 'Female', 'Humans', 'Leukemia, Lymphoid/*genetics', 'Leukemia, Myeloid, Acute/*genetics', 'Male']",1969/12/01 00:00,1969/12/01 00:01,['1969/12/01 00:00'],"['1969/12/01 00:00 [pubmed]', '1969/12/01 00:01 [medline]', '1969/12/01 00:00 [entrez]']",ppublish,Ceylon Med J. 1969 Dec;14(4):192-5.,,,,
5264696,NLM,MEDLINE,19700422,20041117,0031-4021 (Print) 0031-4021 (Linking),23,1,1968 Jan-Feb,[A case of congenital hypoplastic amegakaryocytic thrombopenia with skeletal and visceral malformations].,111-6,"['Beaudoing, A', 'Butin, L P', 'Pont, J', 'Hadjian, A J', 'Bachelot, C']","['Beaudoing A', 'Butin LP', 'Pont J', 'Hadjian AJ', 'Bachelot C']",['fre'],['Journal Article'],Un cas de thrombopenie hypoplastique amegacaryocytaire congenitale avec malformations squelettiques et viscerales.,France,Pediatrie,Pediatrie,0401127,IM,"['Abnormalities, Multiple/*complications', 'Bone and Bones/abnormalities', 'Female', 'Heart Septal Defects, Atrial/complications', 'Humans', 'Infant, Newborn', 'Leukemia, Myeloid/complications', 'Leukocytosis/complications', 'Megakaryocytes', 'Thrombocytopenia/*complications']",1968/01/01 00:00,2000/05/05 09:00,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '2000/05/05 09:00 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Pediatrie. 1968 Jan-Feb;23(1):111-6.,,,,
5264667,NLM,MEDLINE,19700422,20141120,0365-463X (Print) 0365-463X (Linking),498,,1969,[Life-span and destruction of human thrombocytes].,1-95,"['Bleifeld, W']",['Bleifeld W'],['ger'],['Journal Article'],Uberlebenszeit und Abbau menschlicher Thrombozyten.,Sweden,Acta Med Scand Suppl,Acta medica Scandinavica. Supplementum,0370331,IM,"['Adolescent', 'Adult', 'Anemia, Aplastic/blood', 'Blood Platelets/*physiology/physiopathology', 'Chromium Isotopes', 'Female', 'Humans', 'Hypersplenism/blood', 'Immunoglobulin G/blood', 'In Vitro Techniques', 'Leukemia/blood', 'Liver/*metabolism', 'Lupus Erythematosus, Systemic/physiopathology', 'Male', 'Middle Aged', 'Mononuclear Phagocyte System/physiology', 'Phosphorus Isotopes', 'Spleen/*metabolism', 'Thrombocytopenia/blood/diagnosis/*etiology', 'Time Factors']",1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",ppublish,Acta Med Scand Suppl. 1969;498:1-95.,"['0 (Chromium Isotopes)', '0 (Immunoglobulin G)', '0 (Phosphorus Isotopes)']",,,
5264636,NLM,MEDLINE,19700420,20131121,0028-4793 (Print) 0028-4793 (Linking),282,12,1970 Mar 19,"Leukemia, drugs and ACTH.",692,"['Tobin, M S']",['Tobin MS'],['eng'],['Journal Article'],,United States,N Engl J Med,The New England journal of medicine,0255562,IM,"['Adrenal Insufficiency/etiology', 'Busulfan/*adverse effects', 'Humans', 'Leukemia, Myeloid/*complications', 'Myeloproliferative Disorders/complications', 'Pituitary-Adrenal System/*drug effects']",1970/03/19 00:00,1970/03/19 00:01,['1970/03/19 00:00'],"['1970/03/19 00:00 [pubmed]', '1970/03/19 00:01 [medline]', '1970/03/19 00:00 [entrez]']",ppublish,N Engl J Med. 1970 Mar 19;282(12):692.,['G1LN9045DK (Busulfan)'],,,
5264635,NLM,MEDLINE,19700420,20161122,0028-4793 (Print) 0028-4793 (Linking),282,12,1970 Mar 19,Hypercalcemia in chronic myelogenous leukemia.,663-5,"['Ballard, H S', 'Marcus, A J']","['Ballard HS', 'Marcus AJ']",['eng'],['Journal Article'],,United States,N Engl J Med,The New England journal of medicine,0255562,IM,"['Adult', 'Calcinosis/etiology/pathology', 'Heart Atria/pathology', 'Hip/diagnostic imaging', 'Humans', 'Hypercalcemia/*etiology/pathology', 'Leukemia, Myeloid/*complications/pathology', 'Lung/pathology', 'Male', 'Myocardium/pathology', 'Radiography']",1970/03/19 00:00,1970/03/19 00:01,['1970/03/19 00:00'],"['1970/03/19 00:00 [pubmed]', '1970/03/19 00:01 [medline]', '1970/03/19 00:00 [entrez]']",ppublish,N Engl J Med. 1970 Mar 19;282(12):663-5. doi: 10.1056/NEJM197003192821207.,,['10.1056/NEJM197003192821207 [doi]'],,
5264537,NLM,MEDLINE,19700420,20041117,0049-6804 (Print) 0049-6804 (Linking),1,,1969 Jan,[Fetal hemoglobin levels in several hematologic syndromes].,32-5,"['Progonnaia, V V']",['Progonnaia VV'],['rus'],['Journal Article'],Soderzhanie fetal'nogo gemoglobina pri nekotorykh gematologicheskikh sindromakh.,Ukraine,Vrach Delo,Vrachebnoe delo,0413607,IM,"['Anemia, Hemolytic, Congenital/blood', 'Chronic Disease', 'Fetal Hemoglobin/*analysis', 'Hematologic Diseases/*blood', 'Humans', 'Leukemia, Myeloid/blood', 'Polycythemia/blood']",1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",ppublish,Vrach Delo. 1969 Jan;1:32-5.,['9034-63-3 (Fetal Hemoglobin)'],,,
