PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,TT,PMC,AB,LID,OID
5237350,NLM,MEDLINE,19680411,20171116,0008-5472 (Print) 0008-5472 (Linking),27,12,1967 Dec,Treatment of the acute leukemias.,2557-60,"['Zubrod, C G']",['Zubrod CG'],['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Antineoplastic Agents)', '0 (Nitroso Compounds)', '04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', '8W8T17847W (Urea)', 'E7WED276I5 (Mercaptopurine)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Antineoplastic Agents/therapeutic use', 'Cyclophosphamide/therapeutic use', 'Cytarabine/therapeutic use', 'Daunorubicin/therapeutic use', 'Humans', 'Leukemia, Lymphoid/*drug therapy/mortality', 'Leukemia, Myeloid, Acute/*drug therapy', 'Mercaptopurine/therapeutic use', 'Methotrexate/therapeutic use', 'Nitroso Compounds/therapeutic use', 'Prednisone/therapeutic use', 'Urea/therapeutic use', 'Vincristine/therapeutic use']",1967/12/01 00:00,1967/12/01 00:01,['1967/12/01 00:00'],"['1967/12/01 00:00 [pubmed]', '1967/12/01 00:01 [medline]', '1967/12/01 00:00 [entrez]']",ppublish,Cancer Res. 1967 Dec;27(12):2557-60.,,,,,,
5237349,NLM,MEDLINE,19680411,20141120,0008-5472 (Print) 0008-5472 (Linking),27,12,1967 Dec,Human leukemic cells in tissue culture: an electron microscope survey.,2447-64,"['De Harven, E']",['De Harven E'],['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,,IM,"['Burkitt Lymphoma/pathology', 'Culture Techniques', 'Endoplasmic Reticulum', 'Herpesviridae/isolation & purification', 'Humans', 'Leukemia/*microbiology/*pathology', 'Leukemia, Lymphoid/pathology', 'Leukemia, Myeloid/pathology', 'Leukemia, Myeloid, Acute/pathology', 'Microscopy, Electron', 'Mitochondria']",1967/12/01 00:00,1967/12/01 00:01,['1967/12/01 00:00'],"['1967/12/01 00:00 [pubmed]', '1967/12/01 00:01 [medline]', '1967/12/01 00:00 [entrez]']",ppublish,Cancer Res. 1967 Dec;27(12):2447-64.,,,,,,
5237348,NLM,MEDLINE,19680411,20131121,0008-5472 (Print) 0008-5472 (Linking),27,12,1967 Dec,The metabolic activities of leukocytes from lymphoproliferative and myeloproliferative disorders during phagocytosis.,2287-94,"['Selvaraj, J', 'McRipley, R J', 'Sbarra, A J']","['Selvaraj J', 'McRipley RJ', 'Sbarra AJ']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Carbon Isotopes)', '0 (Lactates)', 'IY9XDZ35W2 (Glucose)']",IM,"['Carbon Isotopes', 'Glucose/metabolism', 'Humans', 'Lactates/blood', 'Leukemia, Lymphoid/*metabolism', 'Leukemia, Myeloid/*metabolism', 'Leukocyte Count', 'Leukocytes/*metabolism', 'Lymphoma/*metabolism', 'Lymphoma, Non-Hodgkin/*metabolism', 'Multiple Myeloma/*metabolism', 'Neoplasms/*metabolism', '*Phagocytosis', 'Staphylococcus']",1967/12/01 00:00,1967/12/01 00:01,['1967/12/01 00:00'],"['1967/12/01 00:00 [pubmed]', '1967/12/01 00:01 [medline]', '1967/12/01 00:00 [entrez]']",ppublish,Cancer Res. 1967 Dec;27(12):2287-94.,,,,,,
5237297,NLM,MEDLINE,19680410,20190620,0008-543X (Print) 0008-543X (Linking),21,3,1968 Mar,Possible defect in RNA metabolism in leukemic cells.,357-67,"['Hyman, G A', 'Fingerhut, B', 'Tiburcio, A C']","['Hyman GA', 'Fingerhut B', 'Tiburcio AC']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,"['0 (Nucleosides)', '0 (RNA, Neoplasm)', '10028-17-8 (Tritium)', 'VC2W18DGKR (Thymidine)', 'WHI7HQ7H85 (Uridine)']",IM,"['Acute Disease', 'Adult', 'Bone Marrow/metabolism', 'Bone Marrow Cells', 'Chronic Disease', 'Humans', 'Leukemia/*blood', 'Leukemia, Lymphoid/blood', 'Leukemia, Myeloid/blood', 'Leukocytes/*metabolism', 'Methods', 'Nucleosides/metabolism', 'RNA, Neoplasm/*biosynthesis', 'Thymidine/metabolism', 'Tritium', 'Uridine/metabolism']",1968/03/01 00:00,1968/03/01 00:01,['1968/03/01 00:00'],"['1968/03/01 00:00 [pubmed]', '1968/03/01 00:01 [medline]', '1968/03/01 00:00 [entrez]']",ppublish,Cancer. 1968 Mar;21(3):357-67. doi: 10.1002/1097-0142(196803)21:3<357::aid-cncr2820210305>3.0.co;2-o.,['10.1002/1097-0142(196803)21:3<357::aid-cncr2820210305>3.0.co;2-o [doi]'],,,,,
5237296,NLM,MEDLINE,19680410,20190620,0008-543X (Print) 0008-543X (Linking),21,3,1968 Mar,Varying prednisone dosage in remission induction of previously untreated childhood leukemia.,346-51,"['Leikin, S L', 'Brubaker, C', 'Hartmann, J R', 'Murphy, M L', 'Wolff, J A', 'Perrin, E']","['Leikin SL', 'Brubaker C', 'Hartmann JR', 'Murphy ML', 'Wolff JA', 'Perrin E']",['eng'],"['Comparative Study', 'Journal Article']",United States,Cancer,Cancer,0374236,['VB0R961HZT (Prednisone)'],IM,"['Acute Disease', 'Adolescent', 'Body Weight', 'Bone Marrow/pathology', 'Child', 'Child, Preschool', 'Humans', 'Infant', 'Leukemia/classification/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Leukocyte Count', 'Prednisone/*administration & dosage']",1968/03/01 00:00,1968/03/01 00:01,['1968/03/01 00:00'],"['1968/03/01 00:00 [pubmed]', '1968/03/01 00:01 [medline]', '1968/03/01 00:00 [entrez]']",ppublish,Cancer. 1968 Mar;21(3):346-51. doi: 10.1002/1097-0142(196803)21:3<346::aid-cncr2820210303>3.0.co;2-y.,['10.1002/1097-0142(196803)21:3<346::aid-cncr2820210303>3.0.co;2-y [doi]'],,,,,
5237280,NLM,MEDLINE,19680410,20071115,0017-6575 (Print) 0017-6575 (Linking),9,3,1966 Jul-Sep,"[The agar test in patients with hemoblastosis, before and after ""in vitro"" irradiation and addition of streptokinase-streptodornase (SK-SD)].",195-9,"['Szirmai, E', 'Berkarda, B']","['Szirmai E', 'Berkarda B']",['ger'],['Journal Article'],Italy,Haematol Lat,Haematologica Latina,0373001,"['9002-18-0 (Agar)', 'EC 3.- (Streptodornase and Streptokinase)']",IM,"['Agar', 'Allergy and Immunology', 'Hodgkin Disease/*diagnosis', 'Humans', 'Leukemia, Lymphoid/*diagnosis', 'Leukemia, Myeloid/*diagnosis', 'Leukemia, Myeloid, Acute/*diagnosis', '*Radiation Effects', '*Serologic Tests', 'Streptodornase and Streptokinase/*pharmacology']",1966/07/01 00:00,1966/07/01 00:01,['1966/07/01 00:00'],"['1966/07/01 00:00 [pubmed]', '1966/07/01 00:01 [medline]', '1966/07/01 00:00 [entrez]']",ppublish,Haematol Lat. 1966 Jul-Sep;9(3):195-9.,,"Agar-Test bei Hamoblastosen, teilweise nach ""in vitro"" -Bestrahlung und Streptokinase-- Streptodornase (SK-SD)Zusatz.",,,,
5237279,NLM,MEDLINE,19680410,20071115,0015-5616 (Print) 0015-5616 (Linking),9,2,1967,[Incidence of leukemias in the Cracow region in 1951-1960 in the light of statistics].,261-311,"['Janicki, K']",['Janicki K'],['pol'],['Journal Article'],Poland,Folia Med Cracov,Folia medica Cracoviensia,0374617,,IM,"['Adolescent', 'Adult', 'Aged', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Leukemia/*epidemiology', 'Leukemia, Lymphoid/epidemiology', 'Leukemia, Myeloid, Acute/epidemiology', 'Male', 'Middle Aged', 'Poland', 'Rural Population', 'Statistics as Topic', 'Urban Population']",1967/01/01 00:00,1967/01/01 00:01,['1967/01/01 00:00'],"['1967/01/01 00:00 [pubmed]', '1967/01/01 00:01 [medline]', '1967/01/01 00:00 [entrez]']",ppublish,Folia Med Cracov. 1967;9(2):261-311.,,Zachorowalnosc na bialaczki w regionie krakowskim w latach 1951-1960 w swietle statystyki.,,,,
5237250,NLM,MEDLINE,19680410,20190629,0014-4754 (Print) 0014-4754 (Linking),24,1,1968 Jan 15,Observations on plasma ammonia in patients with leukemia.,28,"['Rezzonico, A', 'Gervasini, N', 'Secchi, G C']","['Rezzonico A', 'Gervasini N', 'Secchi GC']",['eng'],['Journal Article'],Switzerland,Experientia,Experientia,0376547,['7664-41-7 (Ammonia)'],IM,"['Ammonia/*blood', 'Analysis of Variance', 'Humans', 'Leukemia/*blood', 'Leukemia, Lymphoid/*blood', 'Leukemia, Myeloid/*blood']",1968/01/15 00:00,1968/01/15 00:01,['1968/01/15 00:00'],"['1968/01/15 00:00 [pubmed]', '1968/01/15 00:01 [medline]', '1968/01/15 00:00 [entrez]']",ppublish,Experientia. 1968 Jan 15;24(1):28. doi: 10.1007/BF02136771.,['10.1007/BF02136771 [doi]'],,,,,
5237174,NLM,MEDLINE,19680410,20190709,0022-2623 (Print) 0022-2623 (Linking),11,1,1968 Jan,"The synthesis and properties of 2,6-dihydroxylaminopurine and its 9-beta-D-ribofuranosyl derivative.",52-4,"['Giner-Sorolla, A', 'Nanos, C', 'Burchenal, J H', 'Dollinger, M', 'Bendich, A']","['Giner-Sorolla A', 'Nanos C', 'Burchenal JH', 'Dollinger M', 'Bendich A']",['eng'],['Journal Article'],United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Amines)', '0 (Antineoplastic Agents)', '0 (Nucleosides)', '0 (Purines)', '681HV46001 (Ribose)']",IM,"['Amines', 'Animals', '*Antineoplastic Agents', 'Female', 'Leukemia L1210/drug therapy', 'Leukemia, Experimental/drug therapy', 'Methods', 'Mice', 'Nucleosides/*chemical synthesis/therapeutic use', 'Osteosarcoma/drug therapy', 'Purines/*chemical synthesis/therapeutic use', 'Ribose']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,J Med Chem. 1968 Jan;11(1):52-4. doi: 10.1021/jm00307a600.,['10.1021/jm00307a600 [doi]'],,,,,
5237173,NLM,MEDLINE,19680410,20190709,0022-2623 (Print) 0022-2623 (Linking),11,1,1968 Jan,"Irreversible enzyme inhibitors. CXII. Active-site-directed irreversible inhibitors of dihydrofolic reductase derived from 4,6-diamino-1,2-dihydro-2,2-dimethyl-1-phenyl-s-triazine substituted with a terminal sulfonyl fluoride. II.",38-41,"['Baker, B R', 'Lourens, G J']","['Baker BR', 'Lourens GJ']",['eng'],['Journal Article'],United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Amines)', '0 (Benzene Derivatives)', '0 (Folic Acid Antagonists)', '0 (Sulfanilamides)', '0 (Sulfonic Acids)', '0 (Triazines)', '284SYP0193 (Fluorine)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)']",IM,"['Amines', 'Animals', 'Benzene Derivatives', '*Binding Sites', 'Carcinoma 256, Walker/enzymology', 'Chemical Phenomena', 'Chemistry', 'Columbidae', 'Fluorine', '*Folic Acid Antagonists', 'Leukemia L1210/enzymology', 'Liver/enzymology', 'Methods', 'Mice', 'Rats', 'Sulfanilamides/pharmacology', 'Sulfonic Acids', 'Tetrahydrofolate Dehydrogenase/metabolism', '*Triazines/chemical synthesis/pharmacology']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,J Med Chem. 1968 Jan;11(1):38-41. doi: 10.1021/jm00307a007.,['10.1021/jm00307a007 [doi]'],,,,,
