PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,TT,AB,PMC,CIN,PS,FPS,OID
4982616,NLM,MEDLINE,19700130,20180216,0001-5792 (Print) 0001-5792 (Linking),42,1,1969,Leukocyte alkaline phosphatase. The effect of age and sex.,18-22,"['Ray, P K', 'Pinkerton, P H']","['Ray PK', 'Pinkerton PH']",['eng'],['Journal Article'],Switzerland,Acta Haematol,Acta haematologica,0141053,['EC 3.1.3.1 (Alkaline Phosphatase)'],IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Alkaline Phosphatase/*blood', 'Female', 'Histocytochemistry', 'Humans', 'Leukemia, Myeloid/enzymology', 'Leukocytes/*enzymology', 'Male', 'Middle Aged', 'Sex Factors']",1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",['10.1159/000208757 [doi]'],ppublish,Acta Haematol. 1969;42(1):18-22. doi: 10.1159/000208757.,,,,,,,,
4982581,NLM,MEDLINE,19700130,20180216,0001-5792 (Print) 0001-5792 (Linking),42,2,1969,"Distribution of amino acids in urine, plasma, leucocytes and erythrocytes of leukaemic and normal subjects.",86-93,"['Lee, M B', 'Bolger, C D', 'Bridges, J M']","['Lee MB', 'Bolger CD', 'Bridges JM']",['eng'],['Journal Article'],Switzerland,Acta Haematol,Acta haematologica,0141053,['0 (Amino Acids)'],IM,"['Amino Acids/*analysis/blood/urine', 'Chromatography, Paper', 'Erythrocytes/*analysis', 'Humans', 'Leukemia/blood/*metabolism/urine', 'Leukemia, Lymphoid/metabolism', 'Leukemia, Myeloid/metabolism', 'Leukemia, Myeloid, Acute/metabolism', 'Leukocytes/*analysis']",1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",['10.1159/000208766 [doi]'],ppublish,Acta Haematol. 1969;42(2):86-93. doi: 10.1159/000208766.,,,,,,,,
4982574,NLM,MEDLINE,19700130,20180216,0001-5792 (Print) 0001-5792 (Linking),41,6,1969,The effect of cytosine arabinoside on nucleic acid synthesis in normal and leukaemic human leucocytes in vitro.,321-7,"['Chan, B W']",['Chan BW'],['eng'],['Journal Article'],Switzerland,Acta Haematol,Acta haematologica,0141053,"['04079A1RDZ (Cytarabine)', '10028-17-8 (Tritium)', '63231-63-0 (RNA)', '9007-49-2 (DNA)', 'VC2W18DGKR (Thymidine)', 'WHI7HQ7H85 (Uridine)']",IM,"['Autoradiography', 'Culture Techniques', 'Cytarabine/*pharmacology', 'DNA/*biosynthesis', 'Humans', 'Leukemia, Lymphoid/*pathology', 'Leukocytes/*drug effects/metabolism', 'RNA/*biosynthesis', 'Thymidine/metabolism', 'Tritium', 'Uridine/metabolism']",1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",['10.1159/000208868 [doi]'],ppublish,Acta Haematol. 1969;41(6):321-7. doi: 10.1159/000208868.,,,,,,,,
4982548,NLM,MEDLINE,19700129,20171116,0008-5472 (Print) 0008-5472 (Linking),29,11,1969 Nov,Chemotherapy and comparative biochemistry: G. H. A. Clowes memorial lecture.,1895-903,"['Hitchings, G H']",['Hitchings GH'],['eng'],"['Journal Article', 'Review']",United States,Cancer Res,Cancer research,2984705R,"['0 (Antimetabolites)', '0 (Enzyme Inhibitors)', '0 (Enzyme Precursors)', '0 (Folic Acid Antagonists)', '0 (Nucleic Acids)', '0 (Purines)', '268B43MJ25 (Uric Acid)', '63CZ7GJN5I (Allopurinol)', '935E97BOY8 (Folic Acid)', 'E7WED276I5 (Mercaptopurine)', 'EC 1.17.3.2 (Xanthine Oxidase)', 'EC 2.- (Transferases)', 'MRK240IY2L (Azathioprine)', 'QR26YLT7LT (Thymine)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Allopurinol/metabolism', 'Animals', 'Antimetabolites/metabolism/*therapeutic use', 'Azathioprine', '*Binding Sites', '*Drug Therapy', '*Enzyme Inhibitors', 'Enzyme Precursors', 'Folic Acid/metabolism', 'Folic Acid Antagonists', 'Humans', 'Lactobacillus', 'Leukemia, Myeloid/drug therapy', 'Liver/metabolism', 'Mercaptopurine/metabolism', 'Methotrexate/metabolism', 'Mice', 'Molecular Weight', 'Neoplasms/drug therapy/*enzymology', 'Nucleic Acids/biosynthesis', 'Proteus/enzymology', 'Purines/metabolism', 'Research', 'Species Specificity', 'Thymine/metabolism', 'Transferases/metabolism', 'Uric Acid/blood', 'Xanthine Oxidase/metabolism']",1969/11/01 00:00,1969/11/01 00:01,['1969/11/01 00:00'],"['1969/11/01 00:00 [pubmed]', '1969/11/01 00:01 [medline]', '1969/11/01 00:00 [entrez]']",,ppublish,Cancer Res. 1969 Nov;29(11):1895-903.,75,,,,,,,
4982274,NLM,MEDLINE,19700119,20041117,0070-427X (Print) 0070-427X (Linking),69,,1969,[Exophthalmos in children].,87-98,"['Rintelen, F']",['Rintelen F'],['ger'],['Journal Article'],Germany,Ber Zusammenkunft Dtsch Ophthalmol Ges,Bericht uber die Zusammenkunft. Deutsche Ophthalmologische Gesellschaft,7505238,,IM,"['Adolescent', 'Cellulitis/complications', 'Child', 'Child, Preschool', 'Craniofacial Dysostosis/complications', 'Dermoid Cyst/complications', 'Exophthalmos/congenital/*etiology', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia/complications', 'Neuroblastoma/complications', 'Neurofibromatosis 1/complications', 'Orbital Neoplasms/complications', 'Rhabdomyosarcoma/complications', 'Sarcoidosis/complications', 'Xanthogranuloma, Juvenile/complications']",1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",,ppublish,Ber Zusammenkunft Dtsch Ophthalmol Ges. 1969;69:87-98.,,Exophthalmus im Kindesalter.,,,,,,
4982122,NLM,MEDLINE,19700109,20191210,0008-543X (Print) 0008-543X (Linking),24,5,1969 Nov,Studies of patients in a laminar air flow unit.,972-80,"['Bodey, G P', 'Freireich, E J', 'Frei, E 3rd']","['Bodey GP', 'Freireich EJ', 'Frei E 3rd']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,['0 (Anti-Bacterial Agents)'],IM,"['Acute Disease', 'Adult', '*Air Microbiology', 'Anti-Bacterial Agents/therapeutic use/toxicity', 'Antisepsis', 'Candida/isolation & purification', 'Ear/microbiology', 'Escherichia coli/isolation & purification', 'Humans', '*Infection Control', 'Infections/pathology', 'Leukemia/*drug therapy', 'Male', 'Methods', 'Middle Aged', 'Nose/microbiology', '*Patient Isolators', 'Skin/microbiology', 'Urine/microbiology']",1969/11/01 00:00,1969/11/01 00:01,['1969/11/01 00:00'],"['1969/11/01 00:00 [pubmed]', '1969/11/01 00:01 [medline]', '1969/11/01 00:00 [entrez]']",['10.1002/1097-0142(196911)24:5<972::aid-cncr2820240516>3.0.co;2-k [doi]'],ppublish,Cancer. 1969 Nov;24(5):972-80. doi: 10.1002/1097-0142(196911)24:5<972::aid-cncr2820240516>3.0.co;2-k.,,,,,,,,
4982100,NLM,MEDLINE,19700109,20041117,0026-3532 (Print) 0026-3532 (Linking),19,2,1969 Sep,Immunological studies on leukemia with special reference to the circulating antibodies against the human leukemic antigens in human sera.,157-71,"['Kamiya, H']",['Kamiya H'],['eng'],['Journal Article'],Japan,Mie Med J,Mie medical journal,0376650,"['0 (Antibodies)', '0 (Antigens)', '0 (Immune Sera)']",IM,"['Agglutination Tests', 'Anaphylaxis', '*Antibodies', 'Antigens', 'Brain/immunology', 'Humans', '*Immune Sera', 'Immunodiffusion', 'Leukemia/*immunology', 'Leukocytes']",1969/09/01 00:00,1969/09/01 00:01,['1969/09/01 00:00'],"['1969/09/01 00:00 [pubmed]', '1969/09/01 00:01 [medline]', '1969/09/01 00:00 [entrez]']",,ppublish,Mie Med J. 1969 Sep;19(2):157-71.,,,,,,,,
4981927,NLM,MEDLINE,19700106,20190819,0042-9007 (Print) 0042-9007 (Linking),17,3,1969 Sep,"Further observations on human anti-LDL antibodies: serological behaviour, frequency and mode of formation.",230-6,"['Butler, R', 'Brunner, E']","['Butler R', 'Brunner E']",['eng'],['Journal Article'],England,Vox Sang,Vox sanguinis,0413606,"['0 (Antigens)', '0 (Isoantibodies)', '0 (Lipoproteins)']",IM,"['Anemia, Aplastic/immunology', '*Antibody Formation', '*Antigens', 'Blood Transfusion', 'Chemical Precipitation', 'Female', 'Hemagglutination Tests', 'Humans', 'Immunodiffusion', '*Isoantibodies', 'Leukemia, Myeloid/immunology', '*Lipoproteins', 'Male', 'Pregnancy', 'Thalassemia']",1969/09/01 00:00,1969/09/01 00:01,['1969/09/01 00:00'],"['1969/09/01 00:00 [pubmed]', '1969/09/01 00:01 [medline]', '1969/09/01 00:00 [entrez]']",['10.1111/j.1423-0410.1969.tb00393.x [doi]'],ppublish,Vox Sang. 1969 Sep;17(3):230-6. doi: 10.1111/j.1423-0410.1969.tb00393.x.,,,,,,,,
4981717,NLM,MEDLINE,19691230,20041117,0083-1921 (Print) 0083-1921 (Linking),32,,1969 Aug,Comparative aspects of the mastocytoses.,289-95,"['Lngeman, C H']",['Lngeman CH'],['eng'],['Journal Article'],United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,,IM,"['*Animal Diseases', 'Animals', 'Cat Diseases', 'Cats', 'Cattle', 'Cattle Diseases', 'Dog Diseases', 'Dogs', 'Humans', '*Leukemia/*veterinary', '*Mast Cells', 'Mast-Cell Sarcoma/*veterinary', 'Mice', 'Rodent Diseases', 'Skin Neoplasms/*veterinary', 'Swine', 'Swine Diseases', '*Urticaria Pigmentosa']",1969/08/01 00:00,1969/08/01 00:01,['1969/08/01 00:00'],"['1969/08/01 00:00 [pubmed]', '1969/08/01 00:01 [medline]', '1969/08/01 00:00 [entrez]']",,ppublish,Natl Cancer Inst Monogr. 1969 Aug;32:289-95.,,,,,,,,
4981715,NLM,MEDLINE,19691230,20041117,0083-1921 (Print) 0083-1921 (Linking),32,,1969 Aug,"Spontaneous hematopoietic neoplasms of nonhuman primates. Review, case report, and comparative studies.",157-70,"['Lingeman, C H', 'Reed, R E', 'Garner, F M']","['Lingeman CH', 'Reed RE', 'Garner FM']",['eng'],['Journal Article'],United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,,IM,"['Animals', 'Female', 'Haplorhini', '*Hominidae', 'Leukemia/veterinary', 'Liver/pathology', 'Lymph Nodes/pathology', 'Lymphoma/pathology/*veterinary', 'Male', '*Monkey Diseases', 'Spleen/pathology']",1969/08/01 00:00,1969/08/01 00:01,['1969/08/01 00:00'],"['1969/08/01 00:00 [pubmed]', '1969/08/01 00:01 [medline]', '1969/08/01 00:00 [entrez]']",,ppublish,Natl Cancer Inst Monogr. 1969 Aug;32:157-70.,,,,,,,,
