PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PS,FPS,TT,RN,RF,PMC,GR,OID
4884354,NLM,MEDLINE,19690318,20190618,0036-8075 (Print) 0036-8075 (Linking),162,3853,1968 Nov 1,Mutant Sl alleles of mice affect susceptibility to Friend spleen focus-forming virus.,564-5,"Mice of genotypes S1/S1(d), S1/+, and S1(d)/+ (but not S1(T)/S1(T) or S1(T)/+) were resistant to spleen focucs-forming virus. The ""environment"" in which hemopoietic target cells for this virus develop was not conducive for infection or focus formation, or both, but the target cells were not altered directly. The same genes appear to regulate hemopoiesis and leukemogenic transformation.","['Bennett, M', 'Steeves, R A', 'Cudkowicz, G', 'Mirand, E A', 'Russell, L B']","['Bennett M', 'Steeves RA', 'Cudkowicz G', 'Mirand EA', 'Russell LB']",['eng'],['Journal Article'],United States,Science,"Science (New York, N.Y.)",0404511,IM,"['*Alleles', 'Animals', 'Bone Marrow Transplantation', 'Cell Transformation, Neoplastic', 'Female', 'Friend murine leukemia virus/*pathogenicity', 'Genotype', 'Hematocrit', 'Hematopoiesis', 'Leukemia, Experimental/etiology', 'Male', 'Mice', '*Mutation', 'Spleen/*microbiology']",1968/11/01 00:00,1968/11/01 00:01,['1968/11/01 00:00'],"['1968/11/01 00:00 [pubmed]', '1968/11/01 00:01 [medline]', '1968/11/01 00:00 [entrez]']",['10.1126/science.162.3853.564 [doi]'],ppublish,Science. 1968 Nov 1;162(3853):564-5. doi: 10.1126/science.162.3853.564.,,,,,,,,
4884332,NLM,MEDLINE,19690318,20110727,0047-1852 (Print) 0047-1852 (Linking),26,7,1968 Jul,[Dr. Jacob Furth].,1749-53,,"['Yokoro, K']",['Yokoro K'],['jpn'],"['Biography', 'Historical Article', 'Journal Article']",Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,IM,"['History, 20th Century', 'Leukemia/history', 'United States']",1968/07/01 00:00,1968/07/01 00:01,['1968/07/01 00:00'],"['1968/07/01 00:00 [pubmed]', '1968/07/01 00:01 [medline]', '1968/07/01 00:00 [entrez]']",,ppublish,Nihon Rinsho. 1968 Jul;26(7):1749-53.,['Furth J'],"['Furth, J']",,,,,,
4884331,NLM,MEDLINE,19690318,20110727,0047-1852 (Print) 0047-1852 (Linking),26,7,1968 Jul,[2 autopsy cases of malignant lymphoma in young children].,1740-8,,"['Mashima, E', 'Nakamura, O', 'Kamei, I', 'Sakurai, M', 'Watanabe, K']","['Mashima E', 'Nakamura O', 'Kamei I', 'Sakurai M', 'Watanabe K']",['jpn'],['Journal Article'],Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,IM,"['Child', 'Child, Preschool', 'Humans', 'Leukemia/complications', 'Lymphoma, Large B-Cell, Diffuse/*pathology', 'Lymphoma, Non-Hodgkin/*pathology', 'Male']",1968/07/01 00:00,1968/07/01 00:01,['1968/07/01 00:00'],"['1968/07/01 00:00 [pubmed]', '1968/07/01 00:01 [medline]', '1968/07/01 00:00 [entrez]']",,ppublish,Nihon Rinsho. 1968 Jul;26(7):1740-8.,,,,,,,,
4884251,NLM,MEDLINE,19690307,20171213,0300-8916 (Print) 0300-8916 (Linking),54,5,1968 Sep-Oct,[The use of vinblastine and vincristine in the combined therapy of tumors].,345-51,,"['Cardinali, G', 'Nervi, C']","['Cardinali G', 'Nervi C']",['ita'],['Journal Article'],United States,Tumori,Tumori,0111356,IM,"['Female', 'Genital Neoplasms, Female/drug therapy', 'Hodgkin Disease/drug therapy', 'Humans', 'Leukemia, Lymphoid/drug therapy', 'Lung Neoplasms/drug therapy', 'Lymphoma, Large B-Cell, Diffuse/drug therapy', 'Lymphoma, Non-Hodgkin/drug therapy', 'Mycosis Fungoides/drug therapy', 'Vinblastine/administration & dosage', 'Vincristine/administration & dosage']",1968/09/01 00:00,1968/09/01 00:01,['1968/09/01 00:00'],"['1968/09/01 00:00 [pubmed]', '1968/09/01 00:01 [medline]', '1968/09/01 00:00 [entrez]']",,ppublish,Tumori. 1968 Sep-Oct;54(5):345-51.,,,L'impiego della vinblastina e della vincristina nella terapia combinata dei tumori.,"['5J49Q6B70F (Vincristine)', '5V9KLZ54CY (Vinblastine)']",,,,
4884050,NLM,MEDLINE,19690306,20190717,0003-987X (Print) 0003-987X (Linking),99,2,1969 Feb,Chalones and cancer.,232-3,,"['Caron, G A']",['Caron GA'],['eng'],"['Journal Article', 'Review']",United States,Arch Dermatol,Archives of dermatology,0372433,IM,"['Animals', 'Antineoplastic Agents/*therapeutic use', 'Cricetinae', 'Leukemia, Experimental', 'Leukemia, Myeloid/drug therapy', 'Melanoma/drug therapy', 'Mice', 'Molecular Weight', 'Neoplasms/*drug therapy', 'Rabbits', 'Tissue Extracts/*therapeutic use']",1969/02/01 00:00,1969/02/01 00:01,['1969/02/01 00:00'],"['1969/02/01 00:00 [pubmed]', '1969/02/01 00:01 [medline]', '1969/02/01 00:00 [entrez]']",['10.1001/archderm.99.2.232 [doi]'],ppublish,Arch Dermatol. 1969 Feb;99(2):232-3. doi: 10.1001/archderm.99.2.232.,,,,"['0 (Antineoplastic Agents)', '0 (Tissue Extracts)']",5,,,
4883972,NLM,MEDLINE,19690306,20110726,0001-6543 (Print) 0001-6543 (Linking),72,7,1968 Jul 1,[10 cases of acute hematological diseases in children treated by bone marrow transplantation].,859-64,,"['Akabane, T', 'Iinuma, K', 'Takizawa, Y', 'Abe, Y', 'Nishihira, K']","['Akabane T', 'Iinuma K', 'Takizawa Y', 'Abe Y', 'Nishihira K']",['jpn'],['Journal Article'],Japan,Nihon Shonika Gakkai Zasshi,Nihon Shonika Gakkai zasshi. Acta paediatrica Japonica,0413547,IM,"['Adolescent', 'Anemia, Aplastic/*surgery', 'Blood Cell Count', '*Bone Marrow Transplantation', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*surgery', 'Male', 'Purpura, Thrombotic Thrombocytopenic/*surgery', 'Transplantation, Homologous']",1968/07/01 00:00,1968/07/01 00:01,['1968/07/01 00:00'],"['1968/07/01 00:00 [pubmed]', '1968/07/01 00:01 [medline]', '1968/07/01 00:00 [entrez]']",,ppublish,Nihon Shonika Gakkai Zasshi. 1968 Jul 1;72(7):859-64.,,,,,,,,
4883771,NLM,MEDLINE,19690304,20041117,0071-111X (Print) 0071-111X (Linking),27,,1968,[Blood volume].,155-249,,"['Schmidt, H A']",['Schmidt HA'],['ger'],['Journal Article'],Germany,Ergeb Inn Med Kinderheilkd,Ergebnisse der inneren Medizin und Kinderheilkunde,0370703,IM,"['Agglutination Tests', 'Animals', '*Blood Volume', 'Blood Volume Determination', 'Cardiovascular Diseases/blood', 'Female', 'Guinea Pigs', 'Hematocrit', 'Humans', 'Indicators and Reagents', 'Leukemia/blood', 'Liver Diseases/blood', 'Lung Diseases/blood', 'Male', 'Mammals', 'Methods', 'Mice', 'Plasma Volume', 'Radioisotope Dilution Technique', 'Radioisotopes', 'Rats', 'Serum Albumin, Radio-Iodinated', 'Sex Factors', 'Urologic Diseases/blood']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",,ppublish,Ergeb Inn Med Kinderheilkd. 1968;27:155-249.,,,Das Blutvolumen.,"['0 (Indicators and Reagents)', '0 (Radioisotopes)', '0 (Serum Albumin, Radio-Iodinated)']",,,,
4883549,NLM,MEDLINE,19690227,20131121,0041-6959 (Print) 0041-6959 (Linking),98,1,1969 Jan,[Isotopie determination of serum vitamin B 12].,70-4,,"['Rioux, E']",['Rioux E'],['fre'],"['Comparative Study', 'Journal Article']",Canada,Union Med Can,L'union medicale du Canada,0030444,IM,"['Anemia, Hemolytic/blood', 'Anemia, Pernicious/diagnosis', 'Hodgkin Disease/blood', 'Humans', 'Leukemia/blood', 'Lymphoma, Non-Hodgkin/blood', 'Malabsorption Syndromes/blood', 'Polycythemia Vera/blood', 'Primary Myelofibrosis/blood', '*Radioisotope Dilution Technique', 'Schilling Test', 'Vitamin B 12/*blood']",1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",,ppublish,Union Med Can. 1969 Jan;98(1):70-4.,,,Dosage isotopique de la vitamine B 12 serique.,['P6YC3EG204 (Vitamin B 12)'],,,,
4883524,NLM,MEDLINE,19690227,20071115,0025-8458 (Print) 0025-8458 (Linking),64,1,1969 Jan 3,"[Clinical picture, classification and pathogenesis of acute leukemias].",1-4,,"['Rastetter, J', 'Begemann, H']","['Rastetter J', 'Begemann H']",['ger'],"['Journal Article', 'Review']",Germany,Med Klin,Medizinische Klinik,0376637,IM,"['Humans', 'Leukemia/classification/*diagnosis/epidemiology/etiology', 'Leukemia, Lymphoid/diagnosis', 'Leukemia, Monocytic, Acute/diagnosis', 'Leukemia, Myeloid, Acute/diagnosis', 'Prognosis', 'Retroviridae']",1969/01/03 00:00,2000/03/22 09:00,['1969/01/03 00:00'],"['1969/01/03 00:00 [pubmed]', '2000/03/22 09:00 [medline]', '1969/01/03 00:00 [entrez]']",,ppublish,Med Klin. 1969 Jan 3;64(1):1-4.,,,"Klinik, Einteilung und Pathogenese der akuten Leukamien.",,22,,,
4883365,NLM,MEDLINE,19690225,20071115,0029-6120 (Print) 0029-6120 (Linking),33,5,1967 May,[Secondary involvement of the heart during malignant lymphopathies: 2 cases].,555-68,,"['Pacini, C', 'Leoni, V']","['Pacini C', 'Leoni V']",['ita'],['Journal Article'],Italy,Nunt Radiol,Nuntius radiologicus,0401005,IM,"['Adult', 'Angiography', 'Electrokymography', '*Heart Neoplasms', 'Humans', '*Leukemia, Lymphoid', '*Lymphoma, Large B-Cell, Diffuse', 'Male', '*Mediastinal Neoplasms', 'Middle Aged', '*Neoplasm Metastasis', 'Radiography, Thoracic', 'Tomography', 'Venae Cavae']",1967/05/01 00:00,1967/05/01 00:01,['1967/05/01 00:00'],"['1967/05/01 00:00 [pubmed]', '1967/05/01 00:01 [medline]', '1967/05/01 00:00 [entrez]']",,ppublish,Nunt Radiol. 1967 May;33(5):555-68.,,,Interessamento secondarion del cuore in corso di linfopatie maligne: due osservazioni.,,,,,
4883285,NLM,MEDLINE,19690222,20161122,0033-832X (Print) 0033-832X (Linking),8,7,1968 Jul,[The special importance of supplemental examination methods in lymphography].,202-12,,"['de Roo, T']",['de Roo T'],['ger'],['Journal Article'],Germany,Radiologe,Der Radiologe,0401257,IM,"['Adenocarcinoma/diagnostic imaging', 'Adult', 'Angiography', 'Female', 'Hodgkin Disease/diagnostic imaging', 'Humans', 'Leukemia, Lymphoid/diagnostic imaging', 'Lymphatic Diseases/diagnostic imaging', 'Lymphatic Metastasis/diagnostic imaging', 'Lymphedema/diagnostic imaging', '*Lymphography', 'Lymphoma, Large B-Cell, Diffuse/diagnostic imaging', 'Male', 'Melanoma/diagnostic imaging', 'Neoplasms/*diagnostic imaging', 'Ovarian Neoplasms/diagnostic imaging', 'Tomography', 'Urinary Bladder Neoplasms/diagnostic imaging', 'Uterine Cervical Neoplasms/diagnostic imaging']",1968/07/01 00:00,1968/07/01 00:01,['1968/07/01 00:00'],"['1968/07/01 00:00 [pubmed]', '1968/07/01 00:01 [medline]', '1968/07/01 00:00 [entrez]']",,ppublish,Radiologe. 1968 Jul;8(7):202-12.,,,Die besondere Bedeutung erganzender Untersuchungsmethoden bei der Lymphographie.,,,,,
