PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,PMC,AB
4530891,NLM,MEDLINE,19750310,20071115,0026-4946 (Print) 0026-4946 (Linking),26,37,1974 Nov 24,[Study of colonization in agar of bone marrow of leukemic patients in various phases of the disease].,1863-5,"['Gabutti, V', 'Patrucco, G', 'Pomi, L', 'Tovo, P A']","['Gabutti V', 'Patrucco G', 'Pomi L', 'Tovo PA']",['ita'],['Journal Article'],Studio della colonizzazione in agar di midollo osseo di leucemici in varie fasi di malattia,Italy,Minerva Pediatr,Minerva pediatrica,0400740,['9002-18-0 (Agar)'],IM,"['Adult', 'Agar', 'Bone Marrow/*growth & development', '*Bone Marrow Cells', 'Cell Division', 'Cells, Cultured', 'Child', 'Child, Preschool', 'Clone Cells', 'Humans', 'Infant', '*Leukemia, Lymphoid', '*Leukemia, Myeloid, Acute']",1974/11/24 00:00,1974/11/24 00:01,['1974/11/24 00:00'],"['1974/11/24 00:00 [pubmed]', '1974/11/24 00:01 [medline]', '1974/11/24 00:00 [entrez]']",ppublish,Minerva Pediatr. 1974 Nov 24;26(37):1863-5.,,,
4530890,NLM,MEDLINE,19750227,20190606,0025-7974 (Print) 0025-7974 (Linking),53,6,1974 Nov,Intravascular leukocyte thrombi and aggregates as a cause of morbidity and mortality in leukemia.,463-78,"['McKee, L C Jr', 'Collins, R D']","['McKee LC Jr', 'Collins RD']",['eng'],['Journal Article'],,United States,Medicine (Baltimore),Medicine,2985248R,,IM,"['Autopsy', 'Blood Vessels/*pathology', 'Brain/pathology', 'Humans', 'Leukemia/mortality/*pathology', 'Leukemia, Lymphoid/pathology', 'Leukemia, Myeloid/pathology', 'Leukemia, Myeloid, Acute/pathology', 'Leukocytes/*pathology', 'Lung/pathology', 'Thrombosis/*pathology']",1974/11/01 00:00,2001/03/28 10:01,['1974/11/01 00:00'],"['1974/11/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1974/11/01 00:00 [entrez]']",ppublish,Medicine (Baltimore). 1974 Nov;53(6):463-78. doi: 10.1097/00005792-197411000-00006.,['10.1097/00005792-197411000-00006 [doi]'],,
4530882,NLM,MEDLINE,19750318,20081121,0023-2149 (Print) 0023-2149 (Linking),52,11,1974 Nov,[Importance of cytogenetic methods of examination in the hematological clinic].,31-8,"['Fleishman, E V']",['Fleishman EV'],['rus'],['Journal Article'],Znachenie tsitogeneticheskikh metodov issledovaniia v gematologicheskoi klinike,Russia (Federation),Klin Med (Mosk),Klinicheskaia meditsina,2985204R,,IM,"['Bone Marrow/pathology', 'Bone Marrow Cells', '*Chromosome Aberrations', 'Chromosomes, Human, 21-22 and Y', 'Female', 'Hodgkin Disease/genetics', 'Humans', 'Karyotyping', 'Leukemia, Lymphoid/*genetics/pathology', 'Leukemia, Myeloid/*genetics/pathology', 'Lymphatic Diseases/*genetics', 'Lymphoma/*genetics/pathology', 'Male']",1974/11/01 00:00,1974/11/01 00:01,['1974/11/01 00:00'],"['1974/11/01 00:00 [pubmed]', '1974/11/01 00:01 [medline]', '1974/11/01 00:00 [entrez]']",ppublish,Klin Med (Mosk). 1974 Nov;52(11):31-8.,,,
4530881,NLM,MEDLINE,19750227,20191210,0021-5031 (Print) 0021-5031 (Linking),44,3,1974 Jun,Comparison of cytotoxic effects of various anthraquinonoids on cultured mammalian cells.,249-55,"['Umeda, M', 'Saito, M', 'Shibata, S']","['Umeda M', 'Saito M', 'Shibata S']",['eng'],"['Comparative Study', 'Journal Article']",,Japan,Jpn J Exp Med,The Japanese journal of experimental medicine,9800765,"['0 (Anthraquinones)', '0 (Mycotoxins)']",IM,"['Animals', 'Anthraquinones/*toxicity', 'Cattle', 'Cell Line', 'Cells, Cultured/*drug effects', 'Chemical Phenomena', 'Chemistry', 'HeLa Cells/drug effects/growth & development', 'L Cells/drug effects/growth & development', 'Leukemia, Lymphoid', 'Liver/cytology', 'Mice', 'Mycotoxins/pharmacology', 'Rats', 'Structure-Activity Relationship']",1974/06/01 00:00,1974/06/01 00:01,['1974/06/01 00:00'],"['1974/06/01 00:00 [pubmed]', '1974/06/01 00:01 [medline]', '1974/06/01 00:00 [entrez]']",ppublish,Jpn J Exp Med. 1974 Jun;44(3):249-55.,,,
4530880,NLM,MEDLINE,19750310,20071115,0485-1439 (Print) 0485-1439 (Linking),15,9,1974 Sep,"[The chemotherapy of acute promyelocytic leukemia with a new antileukemic agent ""neocarzinostatin"" (author's transl)].",1021-7,"['Nagao, T', 'Kamimura, O', 'Fuchimoto, T', 'Chen, H', 'Toki, H']","['Nagao T', 'Kamimura O', 'Fuchimoto T', 'Chen H', 'Toki H']",['jpn'],"['Comparative Study', 'English Abstract', 'Journal Article']",,Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Antibiotics, Antineoplastic)', '0 (Antineoplastic Agents)', '0 (Bacterial Proteins)']",IM,"['Adolescent', 'Adult', 'Antibiotics, Antineoplastic/*administration & dosage/therapeutic use', 'Antineoplastic Agents/administration & dosage/therapeutic use', 'Bacterial Proteins/administration & dosage/therapeutic use', 'Drug Therapy, Combination', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Middle Aged']",1974/09/01 00:00,1974/09/01 00:01,['1974/09/01 00:00'],"['1974/09/01 00:00 [pubmed]', '1974/09/01 00:01 [medline]', '1974/09/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1974 Sep;15(9):1021-7.,,,
4530878,NLM,MEDLINE,19750314,20071115,0027-8874 (Print) 0027-8874 (Linking),53,6,1974 Dec,Herpesvirus saimiri: VII. Induction of malignant lymphoma in New Zealand white rabbits.,1803-7,"['Daniel, M D', 'Melendez, L V', 'Hunt, R D', 'King, N W', 'Anver, M', 'Fraser, C E', 'Barahona, H', 'Baggs, R B']","['Daniel MD', 'Melendez LV', 'Hunt RD', 'King NW', 'Anver M', 'Fraser CE', 'Barahona H', 'Baggs RB']",['eng'],['Journal Article'],,United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Antigens, Neoplasm)']",IM,"['Animals', 'Antigens, Neoplasm/analysis', 'Blood Cell Count', 'Female', '*Herpesviridae', 'Leukemia, Experimental/transmission', 'Leukemia, Lymphoid/immunology/*transmission', '*Oncogenic Viruses', 'Rabbits', 'Time Factors']",1974/12/01 00:00,1974/12/01 00:01,['1974/12/01 00:00'],"['1974/12/01 00:00 [pubmed]', '1974/12/01 00:01 [medline]', '1974/12/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1974 Dec;53(6):1803-7.,,,
4530877,NLM,MEDLINE,19750314,20131121,0027-8874 (Print) 0027-8874 (Linking),53,6,1974 Dec,Human leukemia antigen. II. Purification.,1639-43,"['Billing, R', 'Terasaki, P I']","['Billing R', 'Terasaki PI']",['eng'],['Journal Article'],,United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Antigens, Neoplasm)', '0 (Immune Sera)', '0 (Iodine Radioisotopes)', '11028-71-0 (Concanavalin A)', '368GB5141J (Sodium Dodecyl Sulfate)', '60-24-2 (Mercaptoethanol)', '8W8T17847W (Urea)', 'EC 3.4.22.2 (Papain)']",IM,"['Animals', 'Antigens, Neoplasm/*isolation & purification', 'Burkitt Lymphoma/*immunology', 'Cell Line', 'Chromatography, Affinity', 'Concanavalin A', 'Electrophoresis, Polyacrylamide Gel', 'Humans', 'Immune Sera', 'Iodine Radioisotopes', 'Leukemia/*immunology', 'Leukemia, Myeloid/*immunology', 'Mercaptoethanol', 'Molecular Weight', 'Papain', 'Rabbits/immunology', 'Sodium Dodecyl Sulfate', 'Urea/pharmacology']",1974/12/01 00:00,1974/12/01 00:01,['1974/12/01 00:00'],"['1974/12/01 00:00 [pubmed]', '1974/12/01 00:01 [medline]', '1974/12/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1974 Dec;53(6):1639-43.,,,
4530793,NLM,MEDLINE,19750227,20071115,0021-9541 (Print) 0021-9541 (Linking),84,3,1974 Dec,Heterogeneity of molecules with low molecular weight isolated from media conditioned by human leukocytes and capable of stimulating colony formation by human granulopoietic progenitor cells.,383-96,"['Price, G B', 'Senn, J S', 'McCulloch, E A', 'Till, J E']","['Price GB', 'Senn JS', 'McCulloch EA', 'Till JE']",['eng'],['Journal Article'],,United States,J Cell Physiol,Journal of cellular physiology,0050222,"['0 (Culture Media)', '0 (Iodine Radioisotopes)', 'EC 3.4.21.1 (Chymotrypsin)', 'EC 3.4.21.4 (Trypsin)']",IM,"['Biological Availability', 'Cell Division', 'Cells, Cultured', 'Chromatography, Thin Layer', 'Chymotrypsin/metabolism', 'Clone Cells', 'Culture Media', 'Hematopoietic Stem Cells/*immunology', 'Humans', 'Iodine Radioisotopes', 'Leukemia, Myeloid', 'Leukemia, Myeloid, Acute', 'Leukocytes/*immunology', 'Molecular Weight', 'Trypsin/metabolism']",1974/12/01 00:00,1974/12/01 00:01,['1974/12/01 00:00'],"['1974/12/01 00:00 [pubmed]', '1974/12/01 00:01 [medline]', '1974/12/01 00:00 [entrez]']",ppublish,J Cell Physiol. 1974 Dec;84(3):383-96. doi: 10.1002/jcp.1040840307.,['10.1002/jcp.1040840307 [doi]'],,
4530792,NLM,MEDLINE,19750227,20131121,0021-9541 (Print) 0021-9541 (Linking),84,3,1974 Dec,Effect of hyperthermia on protein biosynthesis in L5178Y murine leukemic lymphoblasts.,365-72,"['Fuhr, J E']",['Fuhr JE'],['eng'],['Journal Article'],,United States,J Cell Physiol,Journal of cellular physiology,0050222,"['0 (Proteins)', '10028-17-8 (Tritium)', '1CC1JFE158 (Dactinomycin)', '63231-63-0 (RNA)', '98600C0908 (Cycloheximide)', 'GMW67QNF9C (Leucine)']",IM,"['Animals', 'Cell Line', 'Cycloheximide/pharmacology', 'Dactinomycin/pharmacology', 'Hot Temperature/*adverse effects', 'Leucine', '*Leukemia, Lymphoid', 'Mice', '*Protein Biosynthesis', 'Proteins/antagonists & inhibitors', 'RNA/antagonists & inhibitors', 'Tritium']",1974/12/01 00:00,1974/12/01 00:01,['1974/12/01 00:00'],"['1974/12/01 00:00 [pubmed]', '1974/12/01 00:01 [medline]', '1974/12/01 00:00 [entrez]']",ppublish,J Cell Physiol. 1974 Dec;84(3):365-72. doi: 10.1002/jcp.1040840305.,['10.1002/jcp.1040840305 [doi]'],,
4530781,NLM,MEDLINE,19750310,20061115,0301-1208 (Print) 0301-1208 (Linking),11,1,1974 Mar,Peroxidase activity in human leucocyte granules under normal and leukaemic conditions.,80-2,"['Ray, B', 'Basu, B', 'Bhattacharyya, D K', 'Chatterjee, G C']","['Ray B', 'Basu B', 'Bhattacharyya DK', 'Chatterjee GC']",['eng'],['Journal Article'],,India,Indian J Biochem Biophys,Indian journal of biochemistry & biophysics,0310774,['EC 1.11.1.- (Peroxidases)'],IM,"['Humans', 'Leukemia, Myeloid/*enzymology', 'Leukocytes/*enzymology', 'Peroxidases/*metabolism', 'Subcellular Fractions/enzymology']",1974/03/01 00:00,1974/03/01 00:01,['1974/03/01 00:00'],"['1974/03/01 00:00 [pubmed]', '1974/03/01 00:01 [medline]', '1974/03/01 00:00 [entrez]']",ppublish,Indian J Biochem Biophys. 1974 Mar;11(1):80-2.,,,
