PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,TT,AID,AB,PMC,OID
4515471,NLM,MEDLINE,19730912,20151119,0003-4479 (Print) 0003-4479 (Linking),50,4,1972,"Proliferation, survival and malignancy of chloroleukaemia cells grown in diffusion chambers in vivo.",168-74,"['Vilpo, J A']",['Vilpo JA'],['eng'],['Journal Article'],Finland,Ann Med Exp Biol Fenn,Annales medicinae experimentalis et biologiae Fenniae,0420465,"['0 (Radioisotopes)', '10028-17-8 (Tritium)', 'VC2W18DGKR (Thymidine)']",IM,"['Animals', 'Autoradiography', 'Cell Aggregation', 'Cell Count', 'Cell Division', 'Cell Survival', 'Cells, Cultured', 'Diffusion', 'Female', 'Leukemia, Experimental/pathology', 'Leukemia, Myeloid/*pathology', 'Macrophages', 'Male', 'Methods', 'Micropore Filters', 'Neoplasm Transplantation', 'Radioisotopes', 'Rats', 'Thymidine', 'Time Factors', 'Transplantation, Homologous', 'Tritium']",1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,Ann Med Exp Biol Fenn. 1972;50(4):168-74.,,,,,
4515470,NLM,MEDLINE,19730912,20171116,0044-2542 (Print) 0044-2542 (Linking),28,8,1973 Apr 15,[3-year results of cytostatic combination therapy in immature leukoses of adults in comparison with earlier therapeutic methods].,128 contd,"['Helbig, W', 'Schwenke, H', 'Runge, A', 'Kavalle, M', 'Storch, H', 'Fritzsche, W', 'Schneider, D', 'von Baehr, R']","['Helbig W', 'Schwenke H', 'Runge A', 'Kavalle M', 'Storch H', 'Fritzsche W', 'Schneider D', 'von Baehr R']",['ger'],['Journal Article'],Germany,Z Gesamte Inn Med,Zeitschrift fur die gesamte innere Medizin und ihre Grenzgebiete,21730470R,"['5J49Q6B70F (Vincristine)', 'E7WED276I5 (Mercaptopurine)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Acute Disease', 'Female', 'Humans', 'Leukemia/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Male', 'Mercaptopurine/therapeutic use', 'Methotrexate/therapeutic use', 'Prednisone/therapeutic use', 'Remission, Spontaneous', 'Vincristine/therapeutic use']",1973/04/15 00:00,1973/04/15 00:01,['1973/04/15 00:00'],"['1973/04/15 00:00 [pubmed]', '1973/04/15 00:01 [medline]', '1973/04/15 00:00 [entrez]']",ppublish,Z Gesamte Inn Med. 1973 Apr 15;28(8):128 contd.,Drejahresresultate der zytostatischen Kombinationsbehandlung unreifzelliger Leukosen Erwachsener im Vergleich zu Fruheren Therapieverfahren.,,,,
4515259,NLM,MEDLINE,19730912,20190620,0008-543X (Print) 0008-543X (Linking),32,1,1973 Jul,Pomp combination chemotherapy of adult acute leukemia.,69-75,"['Rodriguez, V', 'Hart, J S', 'Freireich, E J', 'Bodey, G P', 'McCredie, K B', 'Whitecar, J P Jr', 'Coltman, C A Jr']","['Rodriguez V', 'Hart JS', 'Freireich EJ', 'Bodey GP', 'McCredie KB', 'Whitecar JP Jr', 'Coltman CA Jr']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,"['0 (Antineoplastic Agents)', '5J49Q6B70F (Vincristine)', 'E7WED276I5 (Mercaptopurine)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Adolescent', 'Adult', 'Age Factors', 'Antineoplastic Agents/administration & dosage/adverse effects', 'Bone Marrow/drug effects', 'Digestive System/drug effects', 'Evaluation Studies as Topic', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Leukemia, Myeloid, Acute/*drug therapy', 'Liver/drug effects', 'Mercaptopurine/*therapeutic use', 'Methotrexate/*therapeutic use', 'Middle Aged', 'Paresthesia/chemically induced', 'Prednisone/*therapeutic use', 'Prognosis', 'Remission, Spontaneous', 'Time Factors', 'Vincristine/*therapeutic use']",1973/07/01 00:00,2001/03/28 10:01,['1973/07/01 00:00'],"['1973/07/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1973/07/01 00:00 [entrez]']",ppublish,Cancer. 1973 Jul;32(1):69-75. doi: 10.1002/1097-0142(197307)32:1<69::aid-cncr2820320109>3.0.co;2-0.,,['10.1002/1097-0142(197307)32:1<69::aid-cncr2820320109>3.0.co;2-0 [doi]'],,,
4515258,NLM,MEDLINE,19730912,20190620,0008-543X (Print) 0008-543X (Linking),32,1,1973 Jul,Chronic subdural hematoma in childhood acute leukemia.,185-90,"['Pitner, S E', 'Johnson, W W']","['Pitner SE', 'Johnson WW']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,,IM,"['Autopsy', 'Child', 'Child, Preschool', 'Chronic Disease', 'Female', 'Hematoma, Subdural/*complications', 'Humans', 'Infant', 'Leukemia, Lymphoid/cerebrospinal fluid/*complications', 'Male', 'Meninges', 'Neurologic Manifestations', 'Thrombocytopenia/complications']",1973/07/01 00:00,1973/07/01 00:01,['1973/07/01 00:00'],"['1973/07/01 00:00 [pubmed]', '1973/07/01 00:01 [medline]', '1973/07/01 00:00 [entrez]']",ppublish,Cancer. 1973 Jul;32(1):185-90. doi: 10.1002/1097-0142(197307)32:1<185::aid-cncr2820320128>3.0.co;2-o.,,['10.1002/1097-0142(197307)32:1<185::aid-cncr2820320128>3.0.co;2-o [doi]'],,,
4515149,NLM,MEDLINE,19730906,20071115,0026-4946 (Print) 0026-4946 (Linking),25,8,1973 Mar 10,[Dermatoglyphics and acute lymphatic leukemia in childhood].,335-7,"['Colombo, A', 'Gasparoni, M C', 'Biscatti, G', 'Severi, F']","['Colombo A', 'Gasparoni MC', 'Biscatti G', 'Severi F']",['ita'],['Journal Article'],Italy,Minerva Pediatr,Minerva pediatrica,0400740,,IM,"['Adolescent', 'Child', 'Child, Preschool', '*Dermatoglyphics', 'Female', 'Humans', 'Infant', 'Leukemia, Lymphoid/*genetics', 'Male']",1973/03/10 00:00,1973/03/10 00:01,['1973/03/10 00:00'],"['1973/03/10 00:00 [pubmed]', '1973/03/10 00:01 [medline]', '1973/03/10 00:00 [entrez]']",ppublish,Minerva Pediatr. 1973 Mar 10;25(8):335-7.,Dermatoglifi e leucemia linfatica acuta nell'infanzia.,,,,
4515081,NLM,MEDLINE,19730906,20181113,0002-9440 (Print) 0002-9440 (Linking),71,3,1973 Jun,Granule assembly in precursors of human leukemia granulocytes.,467-76,"['Zeya, H I', 'Laszlo, J']","['Zeya HI', 'Laszlo J']",['eng'],['Journal Article'],United States,Am J Pathol,The American journal of pathology,0370502,"['EC 1.11.1.- (Peroxidases)', 'EC 3.1.3.1 (Alkaline Phosphatase)', 'EC 3.1.3.2 (Acid Phosphatase)', 'EC 3.2.1.17 (Muramidase)', 'EC 3.2.1.31 (Glucuronidase)']",IM,"['Acid Phosphatase/blood', 'Alkaline Phosphatase/blood', 'Centrifugation, Density Gradient', 'Cytoplasmic Granules/enzymology', 'Electrophoresis, Paper', 'Glucuronidase/blood', 'Humans', 'Leukemia, Myeloid/blood/*enzymology', 'Leukemia, Myeloid, Acute/blood/*enzymology', 'Leukocytes/*enzymology', 'Muramidase/blood', 'Peroxidases/blood', 'Subcellular Fractions/enzymology']",1973/06/01 00:00,1973/06/01 00:01,['1973/06/01 00:00'],"['1973/06/01 00:00 [pubmed]', '1973/06/01 00:01 [medline]', '1973/06/01 00:00 [entrez]']",ppublish,Am J Pathol. 1973 Jun;71(3):467-76.,,,"In human leukemic myeloblasts, the granule enzymes beta-glucuronidase, myeloperoxidase and acid phosphatase were associated with light particles of varying densities that were separable from each other by means of zonal density gradient centrifugation. In more mature granulocytic cells of chronic myelogenous leukemia the three enzymes merged within a single group of denser particles; such particles were absent in myeloblasts. Myeloblast particles had two to three times higher activity of beta-glucuronidase and acid phosphatase, but only one-tenth of the myeloperoxidase activity. Some of the cationic proteins and lysozyme were not found in leukemic myeloblasts but were present in particles of chronic myelogenous leukemia; alkaline phosphatase was absent from both types of leukemic cells.",PMC1903936,
4515080,NLM,MEDLINE,19730906,20190626,0002-9343 (Print) 0002-9343 (Linking),55,1,1973 Jul,Acute lymphoblastic leukemia with pulmonary complications.,71-9,,,['eng'],"['Case Reports', 'Journal Article']",United States,Am J Med,The American journal of medicine,0267200,,IM,"['Adenocarcinoma/pathology', 'Adolescent', 'Adrenal Glands/pathology', 'Anemia/complications', 'Bone Marrow Cells', 'Female', 'Hemorrhage/pathology', 'Histoplasmosis/complications/*pathology', 'Humans', 'Hydrothorax/pathology', 'Intestine, Small/pathology', 'Leukemia, Lymphoid/*pathology', 'Liver/pathology', 'Lung/pathology', 'Lung Diseases/complications/*pathology', 'Lymph Nodes/pathology', 'Ovary/pathology', 'Pancreas/pathology', 'Pleura/pathology', 'Spleen/pathology']",1973/07/01 00:00,1973/07/01 00:01,['1973/07/01 00:00'],"['1973/07/01 00:00 [pubmed]', '1973/07/01 00:01 [medline]', '1973/07/01 00:00 [entrez]']",ppublish,Am J Med. 1973 Jul;55(1):71-9. doi: 10.1016/0002-9343(73)90151-4.,,"['0002-9343(73)90151-4 [pii]', '10.1016/0002-9343(73)90151-4 [doi]']",,,
4515079,NLM,MEDLINE,19730906,20190626,0002-9343 (Print) 0002-9343 (Linking),55,1,1973 Jul,Preleukemia. The hematologic syndrome preceding acute leukemia.,38-48,"['Saarni, M I', 'Linman, J W']","['Saarni MI', 'Linman JW']",['eng'],['Journal Article'],United States,Am J Med,The American journal of medicine,0267200,,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Blood Cell Count', 'Bone Marrow Cells', 'Erythropoiesis', 'Female', 'Humans', 'Leukemia/blood/*diagnosis', 'Leukemia, Myeloid/blood/diagnosis', 'Male', 'Megakaryocytes', 'Middle Aged', 'Myeloproliferative Disorders/blood', 'Time Factors']",1973/07/01 00:00,1973/07/01 00:01,['1973/07/01 00:00'],"['1973/07/01 00:00 [pubmed]', '1973/07/01 00:01 [medline]', '1973/07/01 00:00 [entrez]']",ppublish,Am J Med. 1973 Jul;55(1):38-48. doi: 10.1016/0002-9343(73)90148-4.,,"['0002-9343(73)90148-4 [pii]', '10.1016/0002-9343(73)90148-4 [doi]']",,,
4514977,NLM,MEDLINE,19730904,20200515,0019-5359 (Print) 0019-5359 (Linking),27,3,1973 Mar,Paroxysmal nocturnal hemoglobinuria in a case of chronic myeloid leukemia.,249-52,"['Mehta, B C', 'Bhatt, P D', 'Iyer, P', 'Golwala, A F', 'Patel, J C']","['Mehta BC', 'Bhatt PD', 'Iyer P', 'Golwala AF', 'Patel JC']",['eng'],"['Case Reports', 'Journal Article']",India,Indian J Med Sci,Indian journal of medical sciences,0373023,,IM,"['Chronic Disease', 'Hemoglobinuria, Paroxysmal/*complications', 'Humans', 'Leukemia, Myeloid/*complications', 'Male', 'Middle Aged']",1973/03/01 00:00,1973/03/01 00:01,['1973/03/01 00:00'],"['1973/03/01 00:00 [pubmed]', '1973/03/01 00:01 [medline]', '1973/03/01 00:00 [entrez]']",ppublish,Indian J Med Sci. 1973 Mar;27(3):249-52.,,,,,
4514974,NLM,MEDLINE,19730904,20190511,0006-8950 (Print) 0006-8950 (Linking),96,2,1973 Jun,Intention myoclonus in acute leukaemia.,395-8,"['Oka, H', 'Matsushima, M', 'Ando, K', 'Hoshizaki, H']","['Oka H', 'Matsushima M', 'Ando K', 'Hoshizaki H']",['eng'],['Journal Article'],England,Brain,Brain : a journal of neurology,0372537,,IM,"['Adult', 'Cerebellum/pathology/physiopathology', 'Humans', 'Leukemia, Lymphoid/*complications/pathology/physiopathology', 'Male', 'Myoclonus/*etiology/pathology/physiopathology', 'Purkinje Cells', 'Spinal Cord/pathology']",1973/06/01 00:00,1973/06/01 00:01,['1973/06/01 00:00'],"['1973/06/01 00:00 [pubmed]', '1973/06/01 00:01 [medline]', '1973/06/01 00:00 [entrez]']",ppublish,Brain. 1973 Jun;96(2):395-8. doi: 10.1093/brain/96.2.395.,,['10.1093/brain/96.2.395 [doi]'],,,
