PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,AB,PMC,AID,TT,OID,OAB,OABL,OTO,OT,GN,EIN
4349499,NLM,MEDLINE,19730625,20061115,0021-5031 (Print) 0021-5031 (Linking),43,1,1973 Feb,A genetic model of the host range restriction of murine leukemia viruses: a review and a hypothesis.,1-7,"['Yoshikura, H']",['Yoshikura H'],['eng'],"['Journal Article', 'Review']",Japan,Jpn J Exp Med,The Japanese journal of experimental medicine,9800765,"['0 (DNA, Viral)', '0 (RNA, Viral)']",IM,"['Animals', 'Avian Sarcoma Viruses', 'Cells, Cultured', 'DNA, Viral', 'Genetics, Microbial', '*Leukemia Virus, Murine', 'Mice', '*Models, Biological', 'RNA, Viral', 'Virus Replication']",30,1973/02/01 00:00,1973/02/01 00:01,['1973/02/01 00:00'],"['1973/02/01 00:00 [pubmed]', '1973/02/01 00:01 [medline]', '1973/02/01 00:00 [entrez]']",ppublish,Jpn J Exp Med. 1973 Feb;43(1):1-7.,,,,,,,,,,,
4349492,NLM,MEDLINE,19730625,20200724,0022-538X (Print) 0022-538X (Linking),11,4,1973 Apr,Surface antigens on cat leukemic cells induced by feline leukemia virus: area density and antibody-binding affinity.,515-9,"['Boone, C W', 'Gordin, F', 'Kawakami, T G']","['Boone CW', 'Gordin F', 'Kawakami TG']",['eng'],['Journal Article'],United States,J Virol,Journal of virology,0113724,"['0 (Antibodies)', '0 (Antigens, Viral)', '0 (Immune Sera)', '0 (Immunoglobulin G)', '0 (Iodine Isotopes)']",IM,"['Animals', 'Antibodies/analysis', 'Antigen-Antibody Reactions', '*Antigens, Viral', '*Binding Sites, Antibody', 'Cats', 'Cattle/immunology', 'Cell Line', 'Immune Sera', 'Immunoglobulin G', 'Iodine Isotopes', 'Leukemia Virus, Feline/*immunology', 'Leukemia, Lymphoid/*immunology', 'Methods']",,1973/04/01 00:00,1973/04/01 00:01,['1973/04/01 00:00'],"['1973/04/01 00:00 [pubmed]', '1973/04/01 00:01 [medline]', '1973/04/01 00:00 [entrez]']",ppublish,J Virol. 1973 Apr;11(4):515-9. doi: 10.1128/JVI.11.4.515-519.1973.,"The binding of autologous bovine antibody to feline leukemia virus-induced cell surface antigens (FeCSA) on cat leukemia cells was studied by performing certain titration procedures with a mixture of immune and normal sera labeled with different iodine radioisotopes (paired-label technique). By using plots of titration data which conformed to linear equations derived from the mass action law, we determined the following constants. (i) The density of FeCSA was 2.03 x 10(6) sites per cell, or 5,230 sites per mum(2). (ii) The equilibrium constant of the FeCSA-antibody reaction was 2.67 x 10(7), from which the antibody binding affinity or standard free energy of the FeCSA-antibody bond was determined to be - 10.48 kcal (-43,869.28 J) per mol. The use of the techniques described to measure the concentration of antibody in antiserum, in micrograms per milliliter, is discussed.",PMC355132,['10.1128/JVI.11.4.515-519.1973 [doi]'],,,,,,,,
4349435,NLM,MEDLINE,19730622,20190908,0090-0028 (Print) 0090-0028 (Linking),241,110,1973 Feb 7,Genetic control of the group-specific antigen of murine leukaemia virus.,184-6,"['Taylor, B A', 'Meier, H', 'Huebner, R J']","['Taylor BA', 'Meier H', 'Huebner RJ']",['eng'],['Journal Article'],England,Nat New Biol,Nature: New biology,0410463,"['0 (Antigens, Viral)', '0 (Histocompatibility Antigens)', '0 (Immune Sera)']",IM,"['Animals', '*Antigens, Viral/analysis', 'Complement Fixation Tests', 'Crosses, Genetic', '*Genes', 'Genes, Recessive', 'Genetic Linkage', 'Guinea Pigs/immunology', 'Histocompatibility', 'Histocompatibility Antigens', 'Immune Sera', 'Leukemia Virus, Murine/*immunology', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred Strains', 'Rats/immunology', 'Species Specificity', 'Spleen/immunology']",,1973/02/07 00:00,1973/02/07 00:01,['1973/02/07 00:00'],"['1973/02/07 00:00 [pubmed]', '1973/02/07 00:01 [medline]', '1973/02/07 00:00 [entrez]']",ppublish,Nat New Biol. 1973 Feb 7;241(110):184-6. doi: 10.1038/newbio241184a0.,,,['10.1038/newbio241184a0 [doi]'],,,,,,,,
4349396,NLM,MEDLINE,19730622,20190913,0003-9012 (Print) 0003-9012 (Linking),40,3,1973,DEAE-dextran enhancement of in vivo infection with murine leukemia virus.,307-10,"['Ebbesen, P']",['Ebbesen P'],['eng'],['Journal Article'],Austria,Arch Gesamte Virusforsch,Archiv fur die gesamte Virusforschung,7506868,['0 (Dextrans)'],IM,"['Animals', 'Dextrans/administration & dosage/*pharmacology', 'Injections, Intraperitoneal', 'Leukemia Virus, Murine/isolation & purification/*pathogenicity', 'Leukemia, Experimental/blood/*microbiology', 'Male', 'Mice', 'Mice, Inbred C3H', 'Organ Specificity', 'Rauscher Virus/isolation & purification/*pathogenicity', 'Spleen/microbiology', 'Thymus Gland/microbiology']",,1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",ppublish,Arch Gesamte Virusforsch. 1973;40(3):307-10. doi: 10.1007/BF01242550.,,,['10.1007/BF01242550 [doi]'],,,,,,,,
4349276,NLM,MEDLINE,19730621,20111117,0011-3840 (Print) 0011-3840 (Linking),,,1973 Feb,Evaluation of chronic pain in children.,64-72,"['Dunn, D K', 'Jannetta, P J']","['Dunn DK', 'Jannetta PJ']",['eng'],"['Journal Article', 'Review']",United States,Curr Probl Surg,Current problems in surgery,0372617,,IM,"['Abdomen', 'Adolescent', 'Calcinosis/physiopathology', 'Child', 'Child, Preschool', 'Headache/diagnosis/etiology', 'Humans', 'Hydrocephalus/complications', 'Intervertebral Disc', 'Intervertebral Disc Displacement/physiopathology', 'Leukemia/physiopathology', 'Migraine Disorders/diagnosis', 'Neoplasms, Nerve Tissue/physiopathology', 'Pain/diagnosis/*etiology', 'Spinal Diseases/physiopathology', 'Spinal Neoplasms/physiopathology']",100,1973/02/01 00:00,1973/02/01 00:01,['1973/02/01 00:00'],"['1973/02/01 00:00 [pubmed]', '1973/02/01 00:01 [medline]', '1973/02/01 00:00 [entrez]']",ppublish,Curr Probl Surg. 1973 Feb:64-72.,,,,,,,,,,,
4349243,NLM,MEDLINE,19730621,20041117,0044-2917 (Print) 0044-2917 (Linking),114,2,1973 Apr 4,"[Allergic dermatitis following 2,4-dinitrochlorbenzol in childhood leukemia and solid tumors].",143-54,"['Schulte-Wissermann, H', 'Neidhardt, M', 'Oda, Y']","['Schulte-Wissermann H', 'Neidhardt M', 'Oda Y']",['ger'],['Journal Article'],Germany,Z Kinderheilkd,Zeitschrift fur Kinderheilkunde,7604363,['0 (Nitrobenzenes)'],IM,"['Acute Disease', 'Child', 'Humans', 'Hypersensitivity, Delayed/*etiology', 'Leukemia/drug therapy/*immunology/radiotherapy', 'Neoplasms, Nerve Tissue/drug therapy/*immunology/radiotherapy', '*Nitrobenzenes', 'Remission, Spontaneous', 'Sarcoma/drug therapy/*immunology/radiotherapy', 'Skin Tests', 'Tuberculin Test']",,1973/04/04 00:00,1973/04/04 00:01,['1973/04/04 00:00'],"['1973/04/04 00:00 [pubmed]', '1973/04/04 00:01 [medline]', '1973/04/04 00:00 [entrez]']",ppublish,Z Kinderheilkd. 1973 Apr 4;114(2):143-54.,,,,"Die cutan-allergische Reaktion auf 2,4-Dinitrochlorbenzol bei kindlichen Leukamien und soliden Tumoren.",,,,,,,
4349232,NLM,MEDLINE,19730621,20190630,0022-3476 (Print) 0022-3476 (Linking),82,5,1973 May,Poland's syndrome associated with leukemia.,889,"['Walters, T R', 'Reddy, B N', 'Bailon, A', 'Vitale, L F']","['Walters TR', 'Reddy BN', 'Bailon A', 'Vitale LF']",['eng'],['Journal Article'],United States,J Pediatr,The Journal of pediatrics,0375410,,IM,"['Child, Preschool', 'Humans', 'Leukemia, Lymphoid/*complications', 'Male', 'Pectoralis Muscles/*abnormalities', 'Syndactyly/*complications', 'Syndrome']",,1973/05/01 00:00,1973/05/01 00:01,['1973/05/01 00:00'],"['1973/05/01 00:00 [pubmed]', '1973/05/01 00:01 [medline]', '1973/05/01 00:00 [entrez]']",ppublish,J Pediatr. 1973 May;82(5):889. doi: 10.1016/s0022-3476(73)80093-9.,,,"['S0022-3476(73)80093-9 [pii]', '10.1016/s0022-3476(73)80093-9 [doi]']",,,,,,,,
4349180,NLM,MEDLINE,19730621,20190829,0002-9580 (Print) 0002-9580 (Linking),117,4,1973 Apr,The roentgenographic manifestations of pulmonary opportunistic infections.,798-809,"['Bragg, D G', 'Janis, B']","['Bragg DG', 'Janis B']",['eng'],['Journal Article'],United States,Am J Roentgenol Radium Ther Nucl Med,"The American journal of roentgenology, radium therapy, and nuclear medicine",7605534,,IM,"['Aspergillosis/complications/diagnostic imaging', 'Cytomegalovirus Infections/complications/diagnostic imaging', 'Female', 'Humans', 'Kidney Transplantation', 'Leukemia/complications', 'Lung Diseases/*diagnostic imaging', 'Lung Diseases, Fungal/complications/diagnostic imaging', 'Lymphoma/complications', 'Male', 'Mucormycosis/complications/diagnostic imaging', 'Nocardia Infections/complications/diagnostic imaging', 'Nocardia asteroides', 'Pneumonia, Pneumocystis/complications/diagnostic imaging', 'Pneumonia, Staphylococcal/complications/diagnostic imaging', 'Postoperative Complications', 'Pseudomonas Infections/complications/diagnostic imaging', 'Radiography']",,1973/04/01 00:00,1973/04/01 00:01,['1973/04/01 00:00'],"['1973/04/01 00:00 [pubmed]', '1973/04/01 00:01 [medline]', '1973/04/01 00:00 [entrez]']",ppublish,Am J Roentgenol Radium Ther Nucl Med. 1973 Apr;117(4):798-809. doi: 10.2214/ajr.117.4.798.,,,['10.2214/ajr.117.4.798 [doi]'],,,,,,,,
4349159,NLM,MEDLINE,19730619,20151119,0090-0028 (Print) 0090-0028 (Linking),241,106,1973 Jan 10,Occurrence of aminoacyl-tRNA synthetase in an RNA oncogenic virus.,60-2,"['Travnicek, M', 'Riman, J']","['Travnicek M', 'Riman J']",['eng'],['Journal Article'],England,Nat New Biol,Nature: New biology,0410463,"['0 (Carbon Isotopes)', '0 (Detergents)', '0 (RNA, Viral)', '9014-25-9 (RNA, Transfer)', 'EC 6.1.1.- (Amino Acyl-tRNA Synthetases)', 'GMW67QNF9C (Leucine)', 'HG18B9YRS7 (Valine)', 'K3Z4F929H6 (Lysine)']",IM,"['Amino Acyl-tRNA Synthetases/*analysis/isolation & purification/metabolism', 'Animals', 'Avian Leukosis/microbiology', 'Avian Leukosis Virus/*enzymology/isolation & purification', 'Carbon Isotopes', 'Centrifugation, Density Gradient', 'Chickens', 'Chromatography, DEAE-Cellulose', 'Detergents', 'Kinetics', 'Leucine/metabolism', 'Lysine/metabolism', 'RNA, Transfer/biosynthesis', 'RNA, Viral/biosynthesis', 'Valine/metabolism']",,1973/01/10 00:00,1973/01/10 00:01,['1973/01/10 00:00'],"['1973/01/10 00:00 [pubmed]', '1973/01/10 00:01 [medline]', '1973/01/10 00:00 [entrez]']",ppublish,Nat New Biol. 1973 Jan 10;241(106):60-2.,,,,,,,,,,,
4349068,NLM,MEDLINE,19730619,20151119,0030-9338 (Print) 0030-9338 (Linking),8,2,1973,[Isotope studies in childhood tumors].,125-34,"['Riccabona, G', 'Fill, H', 'Bauer, H']","['Riccabona G', 'Fill H', 'Bauer H']",['ger'],['Journal Article'],Austria,Padiatr Padol,Padiatrie und Padologie,0022370,"['0 (Iodine Radioisotopes)', '0 (Radioisotopes)', '7440-26-8 (Technetium)', 'CH46OC8YV4 (Gallium)']",IM,"['Adolescent', 'Age Factors', 'Astrocytoma/diagnosis', 'Brain Neoplasms/diagnosis', 'Child', 'Female', 'Gallium', 'Hodgkin Disease/diagnosis', 'Humans', 'Iodine Radioisotopes', 'Kidney Neoplasms/diagnosis', 'Leukemia/diagnosis', 'Liver Neoplasms/diagnosis', 'Lymphoma, Non-Hodgkin/diagnosis', 'Male', 'Methods', 'Neoplasms/*diagnosis', 'Neuroblastoma/diagnosis', 'Radiation Dosage', 'Radioisotopes', '*Radionuclide Imaging', 'Technetium', 'Thyroid Neoplasms/diagnosis', 'Wilms Tumor/diagnosis']",,1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",ppublish,Padiatr Padol. 1973;8(2):125-34.,,,,Isotopenuntersuchung bei kindlichen Tumoren.,,,,,,,
