PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,AB,PMC,OID,OTO,OT,GN
4312261,NLM,MEDLINE,19700220,20141120,0042-1324 (Print) 0042-1324 (Linking),65,1,1968 Jan-Feb,[Interaction between tumor viruses and cells].,66-82,"[""Zil'ber, L A""]","[""Zil'ber LA""]",['rus'],"['Journal Article', 'Review']",Vzaimodeistvie opukholerodnykh virusov i kletok.,Russia (Federation),Usp Sovrem Biol,Uspekhi sovremennoi biologii,0413771,IM,"['Animals', 'Avian Sarcoma Viruses', '*Cell Transformation, Neoplastic', 'DNA Viruses', 'Friend murine leukemia virus', 'Humans', 'In Vitro Techniques', '*Oncogenic Viruses', 'Polyomavirus', 'RNA Viruses', 'Simian virus 40']",76,1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Usp Sovrem Biol. 1968 Jan-Feb;65(1):66-82.,,,,,,,,
4312238,NLM,MEDLINE,19700220,20151119,0028-2685 (Print) 0028-2685 (Linking),16,5,1969,Erythroblastosis and erythroblastic leukemia in rats induced by material from chick erythroblastosis.,491-9,"['Tobiska, J', 'Brada, Z', 'Drozdova, A']","['Tobiska J', 'Brada Z', 'Drozdova A']",['eng'],['Journal Article'],,Slovakia,Neoplasma,Neoplasma,0377266,IM,"['Animals', 'Animals, Newborn', '*Avian Leukosis', 'Avian Leukosis Virus', 'Freezing', 'Leukemia', '*Neoplasms, Experimental', 'Rats', 'Tissue Preservation']",,1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",ppublish,Neoplasma. 1969;16(5):491-9.,,,,,,,,
4312155,NLM,MEDLINE,19700217,20171116,0552-2080 (Print) 0552-2080 (Linking),14,7,1969 Jul,[Treatment of patients with acute leukemia in the remission stage].,7-12,"['Rynskaia, L M']",['Rynskaia LM'],['rus'],['Journal Article'],Lechenie bol'nykh ostrym leikozom v stadii remissii.,Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,IM,"['Adolescent', 'Adult', 'Aftercare', 'Aged', 'Antineoplastic Agents/therapeutic use', 'Child', 'Child, Preschool', 'Cyclophosphamide/therapeutic use', 'Female', 'Humans', 'Leukemia/*drug therapy', 'Male', 'Mercaptopurine/therapeutic use', 'Methotrexate/therapeutic use', 'Middle Aged', 'Prednisolone/therapeutic use']",,1969/07/01 00:00,1969/07/01 00:01,['1969/07/01 00:00'],"['1969/07/01 00:00 [pubmed]', '1969/07/01 00:01 [medline]', '1969/07/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1969 Jul;14(7):7-12.,"['0 (Antineoplastic Agents)', '8N3DW7272P (Cyclophosphamide)', '9PHQ9Y1OLM (Prednisolone)', 'E7WED276I5 (Mercaptopurine)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,,,
4312154,NLM,MEDLINE,19700217,20031114,0552-2080 (Print) 0552-2080 (Linking),14,7,1969 Jul,[Bone marrow transplantation after administration of large doses of a radioactive solution of yttrium silicate with Y90 in experimental leukemia].,38-43,"['Shkarenkov, A A', 'Reshchikov, V P', 'Vinogorova, G F']","['Shkarenkov AA', 'Reshchikov VP', 'Vinogorova GF']",['rus'],['Journal Article'],Transplantatsiia kostnogo mozga posle vvedeniia bol'shikh doz radioaktivnogo kolloidnogo rastvora silikata ittriia s Y90 pri eksperimental'nykh leikozakh.,Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,IM,"['Animals', 'Blood Cell Count', '*Bone Marrow Cells', '*Bone Marrow Transplantation', 'Leukemia, Experimental/therapy', 'Leukemia, Radiation-Induced/*therapy', 'Mice', 'Silicon Dioxide', 'Transplantation, Homologous', '*Yttrium Isotopes']",,1969/07/01 00:00,1969/07/01 00:01,['1969/07/01 00:00'],"['1969/07/01 00:00 [pubmed]', '1969/07/01 00:01 [medline]', '1969/07/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1969 Jul;14(7):38-43.,"['0 (Yttrium Isotopes)', '7631-86-9 (Silicon Dioxide)']",,,,,,,
4312003,NLM,MEDLINE,19700214,20131121,0027-8874 (Print) 0027-8874 (Linking),43,5,1969 Nov,Alterations in the characteristics of sugar uptake by mouse cells transformed by murine sarcoma viruses.,1091-6,"['Hatanaka, M', 'Huebner, R J', 'Gilden, R V']","['Hatanaka M', 'Huebner RJ', 'Gilden RV']",['eng'],['Journal Article'],,United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,IM,"['AKR murine leukemia virus', 'Animals', '*Carbohydrate Metabolism', 'Cell Membrane', '*Cell Transformation, Neoplastic', 'Culture Techniques', 'Embryo, Mammalian', 'Friend murine leukemia virus', 'Fructose/metabolism', 'Galactose/metabolism', '*Gammaretrovirus', 'Glucose/metabolism', 'Leucine/metabolism', 'Mannose/metabolism', 'Mice', 'Moloney murine leukemia virus', 'Phosphates/metabolism', 'Rauscher Virus', 'Sarcoma, Experimental/*metabolism', 'Sucrose/metabolism', 'Thymidine/metabolism', 'Uridine/metabolism']",,1969/11/01 00:00,1969/11/01 00:01,['1969/11/01 00:00'],"['1969/11/01 00:00 [pubmed]', '1969/11/01 00:01 [medline]', '1969/11/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1969 Nov;43(5):1091-6.,"['0 (Phosphates)', '30237-26-4 (Fructose)', '57-50-1 (Sucrose)', 'GMW67QNF9C (Leucine)', 'IY9XDZ35W2 (Glucose)', 'PHA4727WTP (Mannose)', 'VC2W18DGKR (Thymidine)', 'WHI7HQ7H85 (Uridine)', 'X2RN3Q8DNE (Galactose)']",,,,,,,
4311905,NLM,MEDLINE,19700205,20131121,0013-7227 (Print) 0013-7227 (Linking),86,2,1970 Feb,"Enzymatic activities of cortisol hydroxylation at C-2a and C-6 beta in liver, adrenal and spleen homogenates of L2C-NB leukemia-bearing guinea pigs.",391-5,"['Burstein, S', 'Nadel, E M']","['Burstein S', 'Nadel EM']",['eng'],['Journal Article'],,United States,Endocrinology,Endocrinology,0375040,IM,"['Adrenal Glands/enzymology/*metabolism', 'Adrenocorticotropic Hormone/*pharmacology', 'Animals', 'Carbon Isotopes', 'Depression, Chemical', 'Guinea Pigs', 'Hydrocortisone/*metabolism', 'Leukemia, Experimental/enzymology/*metabolism', 'Liver/enzymology/*metabolism', 'Mixed Function Oxygenases/*metabolism', 'Neoplasm Transplantation', 'Spleen/enzymology/*metabolism']",,1970/02/01 00:00,1970/02/01 00:01,['1970/02/01 00:00'],"['1970/02/01 00:00 [pubmed]', '1970/02/01 00:01 [medline]', '1970/02/01 00:00 [entrez]']",ppublish,Endocrinology. 1970 Feb;86(2):391-5. doi: 10.1210/endo-86-2-391.,"['0 (Carbon Isotopes)', '9002-60-2 (Adrenocorticotropic Hormone)', 'EC 1.- (Mixed Function Oxygenases)', 'WI4X0X7BPJ (Hydrocortisone)']",['10.1210/endo-86-2-391 [doi]'],,,,,,
4311881,NLM,MEDLINE,19700205,20181130,0028-4793 (Print) 0028-4793 (Linking),282,4,1970 Jan 22,Adrenocorticotrophic-hormone deficiency in chronic myelogenous leukemia after treatment.,187-90,"['Tobin, M S', 'Kyung-Suk-Kim', 'Kossowsky, W A']","['Tobin MS', 'Kyung-Suk-Kim', 'Kossowsky WA']",['eng'],['Journal Article'],,United States,N Engl J Med,The New England journal of medicine,0255562,IM,"['17-Hydroxycorticosteroids/urine', '17-Ketosteroids/urine', 'Adolescent', 'Adrenal Insufficiency/*chemically induced', 'Adrenocorticotropic Hormone/metabolism', 'Adult', 'Allopurinol/*adverse effects', 'Humans', 'Hydrocortisone/blood', 'Hypothalamo-Hypophyseal System/drug effects', 'Leukemia, Myeloid/*drug therapy', 'Male', 'Mercaptopurine/*adverse effects', 'Metyrapone']",,1970/01/22 00:00,1970/01/22 00:01,['1970/01/22 00:00'],"['1970/01/22 00:00 [pubmed]', '1970/01/22 00:01 [medline]', '1970/01/22 00:00 [entrez]']",ppublish,N Engl J Med. 1970 Jan 22;282(4):187-90. doi: 10.1056/NEJM197001222820403.,"['0 (17-Hydroxycorticosteroids)', '0 (17-Ketosteroids)', '63CZ7GJN5I (Allopurinol)', '9002-60-2 (Adrenocorticotropic Hormone)', 'E7WED276I5 (Mercaptopurine)', 'WI4X0X7BPJ (Hydrocortisone)', 'ZS9KD92H6V (Metyrapone)']",['10.1056/NEJM197001222820403 [doi]'],,,,,,
4311861,NLM,MEDLINE,19700205,20041117,0005-2086 (Print) 0005-2086 (Linking),13,4,1969 Nov,Marek's disease herpesvirus: in vivo and in vitro infection of kidney cells of different genetic strains of chickens.,753-61,"['Spencer, J L']",['Spencer JL'],['eng'],['Journal Article'],,United States,Avian Dis,Avian diseases,0370617,IM,"['Animals', 'Avian Leukosis/*microbiology', '*Chickens', 'Culture Techniques', 'Herpesviridae/*isolation & purification', 'Herpesviridae Infections/*veterinary', 'Kidney', 'Poultry Diseases/*microbiology', '*Virus Cultivation']",,1969/11/01 00:00,1969/11/01 00:01,['1969/11/01 00:00'],"['1969/11/01 00:00 [pubmed]', '1969/11/01 00:01 [medline]', '1969/11/01 00:00 [entrez]']",ppublish,Avian Dis. 1969 Nov;13(4):753-61.,,,,,,,,
4311844,NLM,MEDLINE,19700205,20200930,0037-9727 (Print) 0037-9727 (Linking),132,3,1969 Dec,Inhibition of Friend virus-induced splenomegaly by an associated lymphatic leukemia virus.,898-901,"['Dawson, P J', 'Fieldsteel, A H']","['Dawson PJ', 'Fieldsteel AH']",['eng'],['Journal Article'],,United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,IM,"['Animals', 'Antibody Formation', 'Female', '*Friend murine leukemia virus', 'Injections, Intraperitoneal', '*Leukemia Virus, Murine', 'Mercaptopurine/pharmacology', 'Methods', 'Mice', 'Organ Size', '*Splenomegaly', 'Time', 'Virus Replication']",,1969/12/01 00:00,1969/12/01 00:01,['1969/12/01 00:00'],"['1969/12/01 00:00 [pubmed]', '1969/12/01 00:01 [medline]', '1969/12/01 00:00 [entrez]']",ppublish,Proc Soc Exp Biol Med. 1969 Dec;132(3):898-901. doi: 10.3181/00379727-132-34332.,['E7WED276I5 (Mercaptopurine)'],['10.3181/00379727-132-34332 [doi]'],,,,,,
4311833,NLM,MEDLINE,19700205,20190824,0028-1042 (Print) 0028-1042 (Linking),56,5,1969 May,Demonstration of N-acetyl-D-galactosamine in tumor cells by the immunofluorescence technic.,285,"['Schnitzler, S', 'Prokop, O', 'von Ardenne, M']","['Schnitzler S', 'Prokop O', 'von Ardenne M']",['eng'],['Journal Article'],,Germany,Naturwissenschaften,Die Naturwissenschaften,0400767,IM,"['ABO Blood-Group System', 'Animals', 'Carcinoma, Ehrlich Tumor/*metabolism', 'Carcinoma, Hepatocellular/*metabolism', 'Fluorescent Antibody Technique', 'Hexosamines/*analysis', 'Leukemia, Experimental/*metabolism', 'Liver Neoplasms', 'Mice', 'Rats', 'Snails']",,1969/05/01 00:00,1969/05/01 00:01,['1969/05/01 00:00'],"['1969/05/01 00:00 [pubmed]', '1969/05/01 00:01 [medline]', '1969/05/01 00:00 [entrez]']",ppublish,Naturwissenschaften. 1969 May;56(5):285. doi: 10.1007/BF00633939.,"['0 (ABO Blood-Group System)', '0 (Hexosamines)']",['10.1007/BF00633939 [doi]'],,,,,,
